"year","regtyp","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2016","Laendlicher Raum","Westdeutschland","6.1","6.5","564","4","6","7","7","7","6","6.2","1","7","7","7"
"2016","Staedtischer Raum","Ostdeutschland","6.38","6.5","185","5","6","7","7","7","6.22","6.54","1","7","7","7"
"2016","Staedtischer Raum","Westdeutschland","5.7","5.5","1923","4","4","7","7","7","5.65","5.75","1","7","7","7"
"2017","Laendlicher Raum","Ostdeutschland","6.61","6.5","96","5","7","7","7","7","6.37","6.85","1","7","7","7"
"2017","Laendlicher Raum","Westdeutschland","6.53","6.5","501","5","7","7","7","7","6.42","6.64","1","7","7","7"
"2017","Staedtischer Raum","Ostdeutschland","6.37","6.5","106","5","6","7","7","7","6.13","6.61","1","7","7","7"
"2017","Staedtischer Raum","Westdeutschland","6.29","6.5","1118","5","6","7","7","7","6.23","6.35","1","7","7","7"
"2018","Laendlicher Raum","Ostdeutschland","6.44","6.5","31","5","6","7","7","7","5.88","7","1","7","7","7"
"2018","Laendlicher Raum","Westdeutschland","6.64","6.5","118","5","7","7","7","7","6.45","6.83","1","7","7","7"
"2018","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2018","Staedtischer Raum","Westdeutschland","6.25","6.5","211","4","7","7","7","7","6.06","6.44","1","7","7","7"
"2019","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2019","Laendlicher Raum","Westdeutschland","5.87","5.5","78","4","5","7","7","7","5.54","6.2","1","7","6","7"
"2019","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2019","Staedtischer Raum","Westdeutschland","6.26","6.5","157","4","6","7","7","7","6.06","6.46","2","7","7","7"
"2020","Laendlicher Raum","Ostdeutschland","5.37","5.5","3623","4","4","6","7","7","5.32","5.42","1","7","6","6"
"2020","Laendlicher Raum","Westdeutschland","5.37","5.5","5883","4","5","6","7","7","5.33","5.41","1","7","6","6"
"2020","Staedtischer Raum","Ostdeutschland","5.32","5.5","2201","3","5","6","7","7","5.26","5.38","1","7","6","6"
"2020","Staedtischer Raum","Westdeutschland","5.4","5.5","17626","4","5","6","7","7","5.38","5.42","1","7","6","6"
