"year","migback","sampreg","mean","median","n","lower_confidence","upper_confidence"
"2010","kein Migrationshintergrund","Westdeutschland","5.16","4.5","10431","5.13","5.19"
"2011","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2011","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2011","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2011","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2011","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2011","kein Migrationshintergrund","Westdeutschland","","","","",""
"2012","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2012","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2012","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2012","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2012","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2012","kein Migrationshintergrund","Westdeutschland","","","","",""
"2013","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2013","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2013","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2013","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2013","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2013","kein Migrationshintergrund","Westdeutschland","","","","",""
"2014","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2014","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2014","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2014","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2014","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2014","kein Migrationshintergrund","Westdeutschland","","","","",""
"2015","direkter Migrationshintergrund","Ostdeutschland","5.34","5.5","420","5.16","5.52"
"2015","direkter Migrationshintergrund","Westdeutschland","5.49","5.5","5281","5.45","5.53"
"2015","indirekter Migrationshintergrund","Ostdeutschland","5.33","5.5","102","5.01","5.65"
"2015","indirekter Migrationshintergrund","Westdeutschland","5.37","5.5","1573","5.29","5.45"
"2015","kein Migrationshintergrund","Ostdeutschland","5.23","5.5","4862","5.19","5.27"
"2015","kein Migrationshintergrund","Westdeutschland","5.26","5.5","14253","5.24","5.28"
"2016","direkter Migrationshintergrund","Ostdeutschland","6.38","6.5","466","6.29","6.47"
"2016","direkter Migrationshintergrund","Westdeutschland","5.94","6.5","2458","5.9","5.98"
"2016","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2016","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2016","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2016","kein Migrationshintergrund","Westdeutschland","","","","",""
"2017","direkter Migrationshintergrund","Ostdeutschland","6.49","6.5","202","6.32","6.66"
"2017","direkter Migrationshintergrund","Westdeutschland","6.37","6.5","1619","6.31","6.43"
"2017","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2017","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2017","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2017","kein Migrationshintergrund","Westdeutschland","","","","",""
"2018","direkter Migrationshintergrund","Ostdeutschland","6.3","6.5","44","5.83","6.77"
"2018","direkter Migrationshintergrund","Westdeutschland","6.38","6.5","329","6.24","6.52"
"2018","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2018","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2018","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2018","kein Migrationshintergrund","Westdeutschland","","","","",""
"2019","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2019","direkter Migrationshintergrund","Westdeutschland","6.15","6.5","235","5.98","6.32"
"2019","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2019","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2019","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2019","kein Migrationshintergrund","Westdeutschland","","","","",""
"2020","direkter Migrationshintergrund","Ostdeutschland","6","5.5","974","5.92","6.08"
"2020","direkter Migrationshintergrund","Westdeutschland","5.64","5.5","8102","5.61","5.67"
"2020","indirekter Migrationshintergrund","Ostdeutschland","5.39","4.5","136","5.15","5.63"
"2020","indirekter Migrationshintergrund","Westdeutschland","5.45","5.5","1535","5.38","5.52"
"2020","kein Migrationshintergrund","Ostdeutschland","5.32","5.5","4714","5.28","5.36"
"2020","kein Migrationshintergrund","Westdeutschland","5.33","5.5","13872","5.31","5.35"
