,Unnamed: 0,year,hhtyp,hgeqpinsul,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
48,48,2019,Single-person household,Yes,0.58145,1917,12549,0.5609,0.60238
49,49,2019,Single-person household,No,0.41855,1319,12549,0.40127,0.43543
50,50,2019,Couple without children,Yes,0.68781,2623,12549,0.66389,0.70985
51,51,2019,Couple without children,No,0.31219,1224,12549,0.29592,0.3319
52,52,2019,Single parent,Yes,0.55472,717,12549,0.50675,0.59679
53,53,2019,Single parent,No,0.44528,504,12549,0.3948,0.4866
54,54,2019,Couple with children,Yes,0.69045,2772,12549,0.65502,0.72538
55,55,2019,Couple with children,No,0.30955,1228,12549,0.28893,0.33215
56,56,2019,Multi-generational household,Yes,0.62287,47,12549,0.44838,0.8538
57,57,2019,Multi-generational household,No,0.37713,38,12549,0.24711,0.58484
58,58,2019,Other Combinations,Yes,0.60741,96,12549,0.49488,0.73419
59,59,2019,Other Combinations,No,0.39259,64,12549,0.29794,0.49086
60,60,2020,Single-person household,Yes,0.60491,2576,16050,0.58279,0.63009
61,61,2020,Single-person household,No,0.39509,1915,16050,0.37689,0.41529
62,62,2020,Couple without children,Yes,0.67955,3353,16050,0.65463,0.70313
63,63,2020,Couple without children,No,0.32045,1614,16050,0.30287,0.33733
64,64,2020,Single parent,Yes,0.55432,771,16050,0.50548,0.60891
65,65,2020,Single parent,No,0.44568,560,16050,0.40148,0.49826
66,66,2020,Couple with children,Yes,0.73695,3403,16050,0.7037,0.77306
67,67,2020,Couple with children,No,0.26305,1454,16050,0.24487,0.28136
68,68,2020,Multi-generational household,Yes,0.66078,71,16050,0.46864,0.87357
69,69,2020,Multi-generational household,No,0.33922,46,16050,0.21103,0.51169
70,70,2020,Other Combinations,Yes,0.60629,155,16050,0.49624,0.72454
71,71,2020,Other Combinations,No,0.39371,132,16050,0.29278,0.5085
72,72,2021,Single-person household,Yes,0.59482,1658,9777,0.56553,0.62293
73,73,2021,Single-person household,No,0.40518,1102,9777,0.38109,0.4256
74,74,2021,Couple without children,Yes,0.6785,2135,9777,0.64931,0.71944
75,75,2021,Couple without children,No,0.3215,959,9777,0.29631,0.34823
76,76,2021,Single parent,Yes,0.54997,502,9777,0.49721,0.60624
77,77,2021,Single parent,No,0.45003,319,9777,0.39014,0.50924
78,78,2021,Couple with children,Yes,0.75394,2040,9777,0.71611,0.79603
79,79,2021,Couple with children,No,0.24606,805,9777,0.22563,0.26153
80,80,2021,Multi-generational household,Yes,1.0,40,9777,0.58137,1.52957
81,81,2021,Other Combinations,Yes,0.65998,136,9777,0.53921,0.79511
82,82,2021,Other Combinations,No,0.34002,81,9777,0.25503,0.43979
