"hgeqpinsul","year","quintil","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","2019","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2020","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2020","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2020","2","Staedtischer Raum","1385","","",""
"Ja","2020","2","Laendlicher Raum","841","0.592391937908281","0.567424580526153","0.61735929529041"
"Ja","2020","3","Staedtischer Raum","1865","","",""
"Ja","2020","3","Laendlicher Raum","1378","","",""
"Ja","2020","4","Staedtischer Raum","4188","0.683438250572245","0.672052437169229","0.69482406397526"
"Ja","2020","4","Laendlicher Raum","2498","","",""
"Ja","2020","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2020","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2020","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2020","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2020","2","Staedtischer Raum","1243","","",""
"Nein","2020","2","Laendlicher Raum","647","0.407608062091719","0.38264070470959","0.432575419473847"
"Nein","2020","3","Staedtischer Raum","1384","","",""
"Nein","2020","3","Laendlicher Raum","743","0.324816605623974","0.304886585149118","0.34474662609883"
"Nein","2020","4","Staedtischer Raum","2223","","",""
"Nein","2020","4","Laendlicher Raum","1199","","",""
"Nein","2020","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2020","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
