"hgeqpinsul","year","hhtyp","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2016","Paar mit Kind(ern)","2","1784","","",""
"Ja","2016","Paar mit Kind(ern)","3","2433","","",""
"Ja","2016","Paar mit Kind(ern)","4","3652","0.715271965017571","0.703086707583638","0.727457222451504"
"Ja","2016","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Ja","2016","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Ja","2016","Sonstige","2","119","","",""
"Ja","2016","Sonstige","3","87","0.330272902393584","0.266358044067611","0.394187760719556"
"Ja","2016","Sonstige","4","120","","",""
"Ja","2016","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Nein","2016","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Nein","2016","1-Pers.- Haushalt","2","265","","",""
"Nein","2016","1-Pers.- Haushalt","3","290","","",""
"Nein","2016","1-Pers.- Haushalt","4","369","0.427236463323598","0.395078540684967","0.459394385962228"
"Nein","2016","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Nein","2016","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Nein","2016","(Ehe-)Paar ohne Kind(er)","2","322","0.476587865821116","0.440406418602199","0.512769313040033"
"Nein","2016","(Ehe-)Paar ohne Kind(er)","3","478","0.345158913898405","0.320183886098112","0.370133941698699"
"Nein","2016","(Ehe-)Paar ohne Kind(er)","4","740","0.317208382424036","0.297805405274879","0.336611359573193"
"Nein","2016","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Nein","2016","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Nein","2016","Alleinerziehende","2","548","0.537650483110902","0.50879677684287","0.566504189378933"
"Nein","2016","Alleinerziehende","3","316","0.447624798424475","0.411429409838206","0.483820187010745"
"Nein","2016","Alleinerziehende","4","256","","",""
"Nein","2016","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Nein","2016","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Nein","2016","Paar mit Kind(ern)","2","1760","","",""
"Nein","2016","Paar mit Kind(ern)","3","1427","","",""
"Nein","2016","Paar mit Kind(ern)","4","1617","","",""
"Nein","2016","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Nein","2016","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Nein","2016","Sonstige","2","96","0.489865758466087","0.423045270854533","0.556686246077641"
"Nein","2016","Sonstige","3","121","","",""
"Nein","2016","Sonstige","4","67","0.383386878654958","0.313699794782883","0.453073962527032"
"Nein","2016","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Ja","2017","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Ja","2017","1-Pers.- Haushalt","2","256","","",""
"Ja","2017","1-Pers.- Haushalt","3","309","0.526635619150274","0.486347686011992","0.566923552288556"
"Ja","2017","1-Pers.- Haushalt","4","655","0.598630622189395","0.569163817753503","0.628097426625286"
"Ja","2017","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Ja","2017","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Ja","2017","(Ehe-)Paar ohne Kind(er)","2","404","0.574449408204898","0.537664485451688","0.611234330958108"
"Ja","2017","(Ehe-)Paar ohne Kind(er)","3","918","0.617339837939618","0.592476820157599","0.642202855721637"
"Ja","2017","(Ehe-)Paar ohne Kind(er)","4","1574","","",""
"Ja","2017","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Ja","2017","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Ja","2017","Alleinerziehende","2","586","0.512050996719243","0.481831268198228","0.542270725240257"
"Ja","2017","Alleinerziehende","3","455","0.595960884904288","0.561568261971495","0.630353507837081"
"Ja","2017","Alleinerziehende","4","424","0.535033845629323","0.498085042970271","0.571982648288375"
"Ja","2017","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Ja","2017","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Ja","2017","Paar mit Kind(ern)","2","1879","","",""
"Ja","2017","Paar mit Kind(ern)","3","2736","","",""
"Ja","2017","Paar mit Kind(ern)","4","4144","0.754219227711389","0.743013475377477","0.765424980045301"
"Ja","2017","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Ja","2017","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Ja","2017","Sonstige","2","132","","",""
"Ja","2017","Sonstige","3","94","0.399186390642159","0.323539183786918","0.474833597497399"
"Ja","2017","Sonstige","4","209","","",""
"Ja","2017","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Nein","2017","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Nein","2017","1-Pers.- Haushalt","2","259","","",""
"Nein","2017","1-Pers.- Haushalt","3","281","","",""
"Nein","2017","1-Pers.- Haushalt","4","408","0.401369377810605","0.371902573374714","0.430836182246497"
"Nein","2017","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Nein","2017","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Nein","2017","(Ehe-)Paar ohne Kind(er)","2","290","","",""
"Nein","2017","(Ehe-)Paar ohne Kind(er)","3","550","0.382660162060382","0.357797144278363","0.407523179842401"
"Nein","2017","(Ehe-)Paar ohne Kind(er)","4","784","0.341535342802013","0.322394535487729","0.360676150116296"
"Nein","2017","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Nein","2017","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Nein","2017","Alleinerziehende","2","465","0.487949003280757","0.457729274759743","0.518168731801772"
"Nein","2017","Alleinerziehende","3","327","0.404039115095712","0.369646492162919","0.438431738028505"
"Nein","2017","Alleinerziehende","4","276","","",""
"Nein","2017","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Nein","2017","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Nein","2017","Paar mit Kind(ern)","2","1221","","",""
"Nein","2017","Paar mit Kind(ern)","3","1504","","",""
"Nein","2017","Paar mit Kind(ern)","4","1527","","",""
"Nein","2017","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Nein","2017","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Nein","2017","Sonstige","2","160","","",""
"Nein","2017","Sonstige","3","67","0.600813609357841","0.525166402502601","0.676460816213082"
"Nein","2017","Sonstige","4","104","","",""
"Nein","2017","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Ja","2018","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Ja","2018","1-Pers.- Haushalt","2","306","0.552163214084217","0.510792290485973","0.59353413768246"
"Ja","2018","1-Pers.- Haushalt","3","329","0.540166082674682","0.500221153504383","0.58011101184498"
"Ja","2018","1-Pers.- Haushalt","4","673","0.582266494754476","0.553015049598254","0.611517939910697"
"Ja","2018","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Ja","2018","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Ja","2018","(Ehe-)Paar ohne Kind(er)","2","314","0.537259165678151","0.496397985511184","0.578120345845118"
"Ja","2018","(Ehe-)Paar ohne Kind(er)","3","906","0.644872947192669","0.619504563860828","0.670241330524509"
"Ja","2018","(Ehe-)Paar ohne Kind(er)","4","1532","","",""
"Ja","2018","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Ja","2018","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Ja","2018","Alleinerziehende","2","515","0.523810730450148","0.492589621132304","0.555031839767991"
"Ja","2018","Alleinerziehende","3","469","0.633815766196642","0.59947432373229","0.668157208660994"
"Ja","2018","Alleinerziehende","4","523","0.611045273465461","0.578155332880426","0.643935214050496"
"Ja","2018","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Ja","2018","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Ja","2018","Paar mit Kind(ern)","2","1465","","",""
"Ja","2018","Paar mit Kind(ern)","3","2492","","",""
"Ja","2018","Paar mit Kind(ern)","4","4081","0.705944062174662","0.694159414078462","0.717728710270861"
"Ja","2018","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Ja","2018","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Ja","2018","Sonstige","2","83","0.437049728049801","0.370747319549758","0.503352136549845"
"Ja","2018","Sonstige","3","127","","",""
"Ja","2018","Sonstige","4","189","","",""
"Ja","2018","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Nein","2018","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Nein","2018","1-Pers.- Haushalt","2","249","","",""
"Nein","2018","1-Pers.- Haushalt","3","269","","",""
"Nein","2018","1-Pers.- Haushalt","4","419","0.417733505245525","0.388482060089303","0.446984950401746"
"Nein","2018","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Nein","2018","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Nein","2018","(Ehe-)Paar ohne Kind(er)","2","258","","",""
"Nein","2018","(Ehe-)Paar ohne Kind(er)","3","461","0.355127052807331","0.329758669475491","0.380495436139172"
"Nein","2018","(Ehe-)Paar ohne Kind(er)","4","794","0.341052320873338","0.321786868693354","0.360317773053322"
"Nein","2018","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Nein","2018","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Nein","2018","Alleinerziehende","2","468","0.476189269549852","0.444968160232009","0.507410378867696"
"Nein","2018","Alleinerziehende","3","287","","",""
"Nein","2018","Alleinerziehende","4","321","0.388954726534539","0.356064785949504","0.421844667119574"
"Nein","2018","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Nein","2018","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Nein","2018","Paar mit Kind(ern)","2","1111","","",""
"Nein","2018","Paar mit Kind(ern)","3","1357","","",""
"Nein","2018","Paar mit Kind(ern)","4","1661","","",""
"Nein","2018","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Nein","2018","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Nein","2018","Sonstige","2","132","","",""
"Nein","2018","Sonstige","3","101","","",""
"Nein","2018","Sonstige","4","74","0.289686639426124","0.234864063033954","0.344509215818294"
"Nein","2018","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Ja","2019","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Ja","2019","1-Pers.- Haushalt","2","239","","",""
"Ja","2019","1-Pers.- Haushalt","3","271","","",""
"Ja","2019","1-Pers.- Haushalt","4","546","0.595707321127418","0.563609590357559","0.627805051897277"
"Ja","2019","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Ja","2019","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Ja","2019","(Ehe-)Paar ohne Kind(er)","2","288","","",""
"Ja","2019","(Ehe-)Paar ohne Kind(er)","3","670","0.642041310011513","0.612764252908418","0.671318367114608"
"Ja","2019","(Ehe-)Paar ohne Kind(er)","4","1268","","",""
"Ja","2019","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Ja","2019","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Ja","2019","Alleinerziehende","2","399","0.5297864757186","0.49404230925351","0.565530642183691"
"Ja","2019","Alleinerziehende","3","372","0.565165354712236","0.526112516552617","0.604218192871854"
"Ja","2019","Alleinerziehende","4","465","0.649889554587787","0.614950279327327","0.684828829848247"
"Ja","2019","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Ja","2019","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Ja","2019","Paar mit Kind(ern)","2","1021","","",""
"Ja","2019","Paar mit Kind(ern)","3","1852","","",""
"Ja","2019","Paar mit Kind(ern)","4","3312","0.711557014636145","0.698585765764038","0.724528263508251"
"Ja","2019","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Ja","2019","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Ja","2019","Sonstige","2","51","0.260045467589238","0.186858170300145","0.333232764878331"
"Ja","2019","Sonstige","3","68","0.530005967598026","0.439180917096357","0.620831018099696"
"Ja","2019","Sonstige","4","125","","",""
"Ja","2019","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Nein","2019","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Nein","2019","1-Pers.- Haushalt","2","184","","",""
"Nein","2019","1-Pers.- Haushalt","3","205","","",""
"Nein","2019","1-Pers.- Haushalt","4","352","0.404292678872582","0.372194948102723","0.436390409642441"
"Nein","2019","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Nein","2019","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Nein","2019","(Ehe-)Paar ohne Kind(er)","2","250","","",""
"Nein","2019","(Ehe-)Paar ohne Kind(er)","3","360","0.357958689988487","0.328681632885392","0.387235747091582"
"Nein","2019","(Ehe-)Paar ohne Kind(er)","4","694","0.33495679172755","0.31407258830141","0.355840995153691"
"Nein","2019","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Nein","2019","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Nein","2019","Alleinerziehende","2","350","0.4702135242814","0.434469357816309","0.50595769074649"
"Nein","2019","Alleinerziehende","3","247","","",""
"Nein","2019","Alleinerziehende","4","251","","",""
"Nein","2019","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Nein","2019","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Nein","2019","Paar mit Kind(ern)","2","773","0.464698519341024","0.441619266855175","0.487777771826873"
"Nein","2019","Paar mit Kind(ern)","3","965","0.331138311380621","0.313759200947365","0.348517421813877"
"Nein","2019","Paar mit Kind(ern)","4","1374","","",""
"Nein","2019","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Nein","2019","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Nein","2019","Sonstige","2","87","0.739954532410762","0.666767235121669","0.813141829699855"
"Nein","2019","Sonstige","3","48","0.469994032401974","0.379168981900304","0.560819082903643"
"Nein","2019","Sonstige","4","100","","",""
"Nein","2019","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Ja","2020","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Ja","2020","1-Pers.- Haushalt","2","296","","",""
"Ja","2020","1-Pers.- Haushalt","3","336","0.563134513745074","0.523965947428972","0.602303080061175"
"Ja","2020","1-Pers.- Haushalt","4","698","0.631129374411404","0.603541045772199","0.658717703050609"
"Ja","2020","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Ja","2020","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Ja","2020","(Ehe-)Paar ohne Kind(er)","2","324","0.604359085694006","0.564425806414408","0.644292364973604"
"Ja","2020","(Ehe-)Paar ohne Kind(er)","3","644","0.585497451264893","0.556184514641368","0.614810387888417"
"Ja","2020","(Ehe-)Paar ohne Kind(er)","4","1556","","",""
"Ja","2020","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Ja","2020","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Ja","2020","Alleinerziehende","2","332","0.493732106648414","0.45612680456417","0.531337408732657"
"Ja","2020","Alleinerziehende","3","407","0.564115773617788","0.527538154032644","0.600693393202932"
"Ja","2020","Alleinerziehende","4","527","0.591235809460018","0.558398822404723","0.624072796515313"
"Ja","2020","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Ja","2020","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Ja","2020","Paar mit Kind(ern)","2","1178","","",""
"Ja","2020","Paar mit Kind(ern)","3","1724","","",""
"Ja","2020","Paar mit Kind(ern)","4","3688","0.737901158850044","0.726043516879671","0.749758800820417"
"Ja","2020","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Ja","2020","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Ja","2020","Sonstige","2","96","0.505528310453688","0.430809951603351","0.580246669304025"
"Ja","2020","Sonstige","3","132","","",""
"Ja","2020","Sonstige","4","217","","",""
"Ja","2020","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Nein","2020","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Nein","2020","1-Pers.- Haushalt","2","279","","",""
"Nein","2020","1-Pers.- Haushalt","3","280","","",""
"Nein","2020","1-Pers.- Haushalt","4","477","0.368870625588596","0.341282296949391","0.396458954227801"
"Nein","2020","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Nein","2020","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Nein","2020","(Ehe-)Paar ohne Kind(er)","2","252","","",""
"Nein","2020","(Ehe-)Paar ohne Kind(er)","3","441","0.414502548735107","0.385189612111583","0.443815485358632"
"Nein","2020","(Ehe-)Paar ohne Kind(er)","4","886","0.353509860321079","0.334549046237437","0.372470674404721"
"Nein","2020","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Nein","2020","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Nein","2020","Alleinerziehende","2","347","0.506267893351586","0.468662591267343","0.54387319543583"
"Nein","2020","Alleinerziehende","3","299","","",""
"Nein","2020","Alleinerziehende","4","334","0.408764190539982","0.375927203484687","0.441601177595276"
"Nein","2020","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Nein","2020","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Nein","2020","Paar mit Kind(ern)","2","936","0.397597159135782","0.376734928537946","0.418459389733618"
"Nein","2020","Paar mit Kind(ern)","3","982","0.288824068063174","0.271747939710817","0.305900196415532"
"Nein","2020","Paar mit Kind(ern)","4","1596","","",""
"Nein","2020","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Nein","2020","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Nein","2020","Sonstige","2","76","0.494471689546312","0.419753330695975","0.569190048396648"
"Nein","2020","Sonstige","3","125","","",""
"Nein","2020","Sonstige","4","129","","",""
"Nein","2020","Sonstige","5 Einkommensstärkstes Quintil","","","",""
