year,migback,plh0040,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2006,No migration background,Somewhat concerned,0.43664,8487,21818,0.43651,0.43677
2006,No migration background,Not concerned at all,0.10529,1988,21818,0.10521,0.10538
2006,Direct migration background,Very concerned,0.42385,1008,21818,0.42352,0.42418
2006,Direct migration background,Somewhat concerned,0.46114,1088,21818,0.46081,0.46147
2006,Direct migration background,Not concerned at all,0.11501,264,21818,0.11480,0.11522
2006,Indirect migration background,Very concerned,0.41011,311,21818,0.40952,0.41070
2006,Indirect migration background,Somewhat concerned,0.44629,372,21818,0.44570,0.44689
2006,Indirect migration background,Not concerned at all,0.14360,115,21818,0.14318,0.14402
2007,No migration background,Very concerned,0.46494,7873,20373,0.46481,0.46508
2007,No migration background,Somewhat concerned,0.42646,7689,20373,0.42633,0.42658
2007,No migration background,Not concerned at all,0.10860,1939,20373,0.10852,0.10868
2007,Direct migration background,Very concerned,0.40060,832,20373,0.40027,0.40093
2007,Direct migration background,Somewhat concerned,0.49076,1031,20373,0.49043,0.49109
2007,Direct migration background,Not concerned at all,0.10864,238,20373,0.10843,0.10885
2007,Indirect migration background,Very concerned,0.38696,291,20373,0.38640,0.38752
2007,Indirect migration background,Somewhat concerned,0.46599,361,20373,0.46542,0.46657
2007,Indirect migration background,Not concerned at all,0.14705,119,20373,0.14664,0.14745
2008,No migration background,Very concerned,0.41159,6536,19241,0.41146,0.41172
2008,No migration background,Somewhat concerned,0.46040,7840,19241,0.46027,0.46053
2008,No migration background,Not concerned at all,0.12802,2214,19241,0.12793,0.12811
2008,Direct migration background,Very concerned,0.37643,712,19241,0.37611,0.37676
2008,Direct migration background,Somewhat concerned,0.50337,956,19241,0.50304,0.50371
2008,Direct migration background,Not concerned at all,0.12019,222,19241,0.11998,0.12041
2008,Indirect migration background,Very concerned,0.35444,260,19241,0.35392,0.35497
2008,Indirect migration background,Somewhat concerned,0.45767,365,19241,0.45712,0.45822
2008,Indirect migration background,Not concerned at all,0.18789,136,19241,0.18746,0.18832
2009,No migration background,Very concerned,0.34007,5171,17934,0.33995,0.34020
2009,No migration background,Somewhat concerned,0.50641,7947,17934,0.50628,0.50654
2009,No migration background,Not concerned at all,0.15352,2464,17934,0.15343,0.15361
2009,Direct migration background,Very concerned,0.32652,528,17934,0.32620,0.32684
2009,Direct migration background,Somewhat concerned,0.52690,872,17934,0.52656,0.52724
2009,Direct migration background,Not concerned at all,0.14658,251,17934,0.14634,0.14682
2009,Indirect migration background,Very concerned,0.27174,210,17934,0.27127,0.27222
2009,Indirect migration background,Somewhat concerned,0.51194,353,17934,0.51141,0.51247
2009,Indirect migration background,Not concerned at all,0.21632,138,17934,0.21588,0.21676
2010,No migration background,Very concerned,0.38330,7314,23855,0.38318,0.38343
2010,No migration background,Somewhat concerned,0.46441,9432,23855,0.46428,0.46454
2010,No migration background,Not concerned at all,0.15229,3087,23855,0.15220,0.15238
2010,Direct migration background,Very concerned,0.38436,1130,23855,0.38404,0.38467
2010,Direct migration background,Somewhat concerned,0.48096,1339,23855,0.48064,0.48128
2010,Direct migration background,Not concerned at all,0.13468,453,23855,0.13446,0.13490
2010,Indirect migration background,Very concerned,0.32699,402,23855,0.32644,0.32754
2010,Indirect migration background,Somewhat concerned,0.48315,510,23855,0.48257,0.48374
2010,Indirect migration background,Not concerned at all,0.18986,188,23855,0.18940,0.19031
2011,No migration background,Very concerned,0.33764,5822,20477,0.33751,0.33777
2011,No migration background,Somewhat concerned,0.47983,8619,20477,0.47969,0.47997
2011,No migration background,Not concerned at all,0.18253,3281,20477,0.18242,0.18264
2011,Direct migration background,Very concerned,0.31061,648,20477,0.31027,0.31094
2011,Direct migration background,Somewhat concerned,0.51929,992,20477,0.51893,0.51965
2011,Direct migration background,Not concerned at all,0.17010,333,20477,0.16983,0.17037
2011,Indirect migration background,Very concerned,0.27235,217,20477,0.27178,0.27292
2011,Indirect migration background,Somewhat concerned,0.49005,388,20477,0.48941,0.49069
2011,Indirect migration background,Not concerned at all,0.23760,177,20477,0.23705,0.23815
2012,No migration background,Very concerned,0.31335,5444,20385,0.31323,0.31348
2012,No migration background,Somewhat concerned,0.48625,8708,20385,0.48611,0.48639
2012,No migration background,Not concerned at all,0.20040,3494,20385,0.20028,0.20051
2012,Direct migration background,Very concerned,0.32410,649,20385,0.32377,0.32442
2012,Direct migration background,Somewhat concerned,0.47841,934,20385,0.47806,0.47875
2012,Direct migration background,Not concerned at all,0.19750,383,20385,0.19722,0.19777
2012,Indirect migration background,Very concerned,0.23209,218,20385,0.23155,0.23262
2012,Indirect migration background,Somewhat concerned,0.53373,367,20385,0.53310,0.53436
2012,Indirect migration background,Not concerned at all,0.23418,188,20385,0.23365,0.23472
2013,No migration background,Very concerned,0.30921,5025,18765,0.30908,0.30934
2013,No migration background,Somewhat concerned,0.49188,8133,18765,0.49174,0.49202
2013,No migration background,Not concerned at all,0.19891,3199,18765,0.19880,0.19902
2013,Direct migration background,Very concerned,0.30073,544,18765,0.30032,0.30113
2013,Direct migration background,Somewhat concerned,0.48614,824,18765,0.48570,0.48658
2013,Direct migration background,Not concerned at all,0.21314,342,18765,0.21277,0.21350
2013,Indirect migration background,Very concerned,0.19156,187,18765,0.19094,0.19217
2013,Indirect migration background,Somewhat concerned,0.52379,344,18765,0.52301,0.52458
2013,Indirect migration background,Not concerned at all,0.28465,167,18765,0.28394,0.28536
2014,No migration background,Very concerned,0.32298,6278,26946,0.32286,0.32311
2014,No migration background,Somewhat concerned,0.48928,9938,26946,0.48915,0.48941
2014,No migration background,Not concerned at all,0.18774,3851,26946,0.18764,0.18784
2014,Direct migration background,Very concerned,0.29338,1619,26946,0.29309,0.29367
2014,Direct migration background,Somewhat concerned,0.47570,2460,26946,0.47539,0.47602
2014,Direct migration background,Not concerned at all,0.23092,1093,26946,0.23065,0.23119
2014,Indirect migration background,Very concerned,0.30926,536,26946,0.30876,0.30976
2014,Indirect migration background,Somewhat concerned,0.44243,793,26946,0.44189,0.44297
2014,Indirect migration background,Not concerned at all,0.24831,378,26946,0.24784,0.24877
2015,No migration background,Very concerned,0.38625,6926,24872,0.38612,0.38638
2015,No migration background,Somewhat concerned,0.45305,8877,24872,0.45291,0.45318
2015,No migration background,Not concerned at all,0.16070,3137,24872,0.16061,0.16080
2015,Direct migration background,Very concerned,0.35120,1522,24872,0.35088,0.35151
2015,Direct migration background,Somewhat concerned,0.46411,2100,24872,0.46378,0.46444
2015,Direct migration background,Not concerned at all,0.18469,758,24872,0.18444,0.18495
2015,Indirect migration background,Very concerned,0.30255,499,24872,0.30205,0.30305
2015,Indirect migration background,Somewhat concerned,0.47401,740,24872,0.47347,0.47455
2015,Indirect migration background,Not concerned at all,0.22344,313,24872,0.22299,0.22390
2016,No migration background,Very concerned,0.48335,8395,24060,0.48322,0.48348
2016,No migration background,Somewhat concerned,0.40517,7286,24060,0.40504,0.40530
2016,No migration background,Not concerned at all,0.11148,2059,24060,0.11140,0.11156
2016,Direct migration background,Very concerned,0.46120,2240,24060,0.46089,0.46151
2016,Direct migration background,Somewhat concerned,0.40239,1963,24060,0.40209,0.40270
2016,Direct migration background,Not concerned at all,0.13641,652,24060,0.13619,0.13662
2016,Indirect migration background,Very concerned,0.34714,611,24060,0.34664,0.34763
2016,Indirect migration background,Somewhat concerned,0.45580,615,24060,0.45528,0.45632
2016,Indirect migration background,Not concerned at all,0.19706,239,24060,0.19665,0.19748
2017,No migration background,Very concerned,0.46622,8992,26411,0.46608,0.46635
2017,No migration background,Somewhat concerned,0.40926,8488,26411,0.40913,0.40939
2017,No migration background,Not concerned at all,0.12452,2592,26411,0.12443,0.12461
2017,Direct migration background,Very concerned,0.45404,2158,26411,0.45373,0.45434
2017,Direct migration background,Somewhat concerned,0.40904,1946,26411,0.40874,0.40934
2017,Direct migration background,Not concerned at all,0.13692,609,26411,0.13671,0.13713
2017,Indirect migration background,Very concerned,0.39642,669,26411,0.39592,0.39691
2017,Indirect migration background,Somewhat concerned,0.40475,679,26411,0.40425,0.40525
2017,Indirect migration background,Not concerned at all,0.19883,278,26411,0.19843,0.19924
2018,No migration background,Very concerned,0.38496,7211,25554,0.38483,0.38509
2018,No migration background,Somewhat concerned,0.44993,8746,25554,0.44980,0.45006
2018,No migration background,Not concerned at all,0.16511,3450,25554,0.16501,0.16521
2018,Direct migration background,Very concerned,0.36937,1740,25554,0.36908,0.36967
2018,Direct migration background,Somewhat concerned,0.45829,2003,25554,0.45799,0.45860
2018,Direct migration background,Not concerned at all,0.17234,777,25554,0.17211,0.17257
2018,Indirect migration background,Very concerned,0.30170,526,25554,0.30125,0.30215
2018,Indirect migration background,Somewhat concerned,0.48535,735,25554,0.48486,0.48584
2018,Indirect migration background,Not concerned at all,0.21295,366,25554,0.21254,0.21335
2019,No migration background,Very concerned,0.35159,6696,25591,0.35147,0.35172
2019,No migration background,Somewhat concerned,0.47629,9712,25591,0.47615,0.47642
2019,No migration background,Not concerned at all,0.17212,3693,25591,0.17202,0.17222
2019,Direct migration background,Very concerned,0.35032,1420,25591,0.35003,0.35061
2019,Direct migration background,Somewhat concerned,0.47415,1839,25591,0.47385,0.47446
2019,Direct migration background,Not concerned at all,0.17553,665,25591,0.17529,0.17576
2019,Indirect migration background,Very concerned,0.28579,501,25591,0.28535,0.28624
2019,Indirect migration background,Somewhat concerned,0.48960,724,25591,0.48911,0.49009
2019,Indirect migration background,Not concerned at all,0.22460,341,25591,0.22419,0.22501
2020,No migration background,Very concerned,0.29705,5159,25499,0.29693,0.29717
2020,No migration background,Somewhat concerned,0.46911,8699,25499,0.46898,0.46924
2020,No migration background,Not concerned at all,0.23384,4660,25499,0.23372,0.23395
2020,Direct migration background,Very concerned,0.28882,1400,25499,0.28853,0.28911
2020,Direct migration background,Somewhat concerned,0.48977,2481,25499,0.48945,0.49008
2020,Direct migration background,Not concerned at all,0.22141,1563,25499,0.22115,0.22168
2020,Indirect migration background,Very concerned,0.26328,359,25499,0.26284,0.26373
2020,Indirect migration background,Somewhat concerned,0.44740,699,25499,0.44690,0.44790
2020,Indirect migration background,Not concerned at all,0.28932,479,25499,0.28886,0.28977
2021,No migration background,Very concerned,0.31463,3736,17105,0.31450,0.31475
2021,No migration background,Somewhat concerned,0.46426,6262,17105,0.46413,0.46439
2021,No migration background,Not concerned at all,0.22111,3176,17105,0.22100,0.22122
2021,Direct migration background,Very concerned,0.31745,931,17105,0.31716,0.31774
2021,Direct migration background,Somewhat concerned,0.44840,1331,17105,0.44809,0.44871
2021,Direct migration background,Not concerned at all,0.23415,732,17105,0.23388,0.23441
2021,Indirect migration background,Very concerned,0.28403,222,17105,0.28357,0.28449
2021,Indirect migration background,Somewhat concerned,0.40085,418,17105,0.40035,0.40134
2021,Indirect migration background,Not concerned at all,0.31512,297,17105,0.31465,0.31559
