,Unnamed: 0,year,age_gr,quintil_oecd,plh0040,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
34,34,1994,46-65 y.,4th Quintile,Somewhat concerned,0.33847,274,12541,0.30949,0.3629
35,35,1994,46-65 y.,5th Quintile,Very concerned,0.59041,538,12541,0.55978,0.62168
36,36,1994,46-65 y.,5th Quintile,Somewhat concerned,0.40959,349,12541,0.3823,0.43063
37,37,1994,66 and older,1st Quintile,Very concerned,0.75885,290,12541,0.71565,0.80816
38,38,1994,66 and older,1st Quintile,Somewhat concerned,0.24115,86,12541,0.21027,0.27289
39,39,1994,66 and older,2nd Quintile,Very concerned,0.73821,282,12541,0.68926,0.79171
40,40,1994,66 and older,2nd Quintile,Somewhat concerned,0.26179,92,12541,0.23405,0.28838
41,41,1994,66 and older,3rd Quintile,Very concerned,0.72147,203,12541,0.66868,0.77178
42,42,1994,66 and older,3rd Quintile,Somewhat concerned,0.27853,65,12541,0.24614,0.30606
43,43,1994,66 and older,4th Quintile,Very concerned,0.6499,142,12541,0.59661,0.71189
44,44,1994,66 and older,4th Quintile,Somewhat concerned,0.3501,68,12541,0.29683,0.40097
45,45,1994,66 and older,5th Quintile,Very concerned,0.69062,129,12541,0.63078,0.7455
46,46,1994,66 and older,5th Quintile,Somewhat concerned,0.30938,70,12541,0.27714,0.33787
47,47,1995,17-29 y.,1st Quintile,Very concerned,0.44014,361,13001,0.39919,0.4763
48,48,1995,17-29 y.,1st Quintile,Somewhat concerned,0.46773,325,13001,0.42384,0.51103
49,49,1995,17-29 y.,1st Quintile,Not concerned at all,0.09214,62,13001,0.07567,0.11232
50,50,1995,17-29 y.,2nd Quintile,Very concerned,0.46074,342,13001,0.41896,0.49752
51,51,1995,17-29 y.,2nd Quintile,Somewhat concerned,0.4726,316,13001,0.43337,0.51859
52,52,1995,17-29 y.,2nd Quintile,Not concerned at all,0.06666,50,13001,0.05502,0.08126
53,53,1995,17-29 y.,3rd Quintile,Very concerned,0.46289,330,13001,0.42488,0.49731
54,54,1995,17-29 y.,3rd Quintile,Somewhat concerned,0.47068,312,13001,0.43019,0.50842
55,55,1995,17-29 y.,3rd Quintile,Not concerned at all,0.06643,49,13001,0.05331,0.08152
56,56,1995,17-29 y.,4th Quintile,Very concerned,0.41623,308,13001,0.37908,0.45092
57,57,1995,17-29 y.,4th Quintile,Somewhat concerned,0.512,331,13001,0.47306,0.56602
58,58,1995,17-29 y.,4th Quintile,Not concerned at all,0.07177,44,13001,0.0575,0.08789
59,59,1995,17-29 y.,5th Quintile,Very concerned,0.38045,196,13001,0.34945,0.41441
60,60,1995,17-29 y.,5th Quintile,Somewhat concerned,0.52784,251,13001,0.48078,0.57674
61,61,1995,17-29 y.,5th Quintile,Not concerned at all,0.0917,42,13001,0.07196,0.11387
62,62,1995,30-45 y.,1st Quintile,Very concerned,0.50171,450,13001,0.46497,0.53895
63,63,1995,30-45 y.,1st Quintile,Somewhat concerned,0.44352,333,13001,0.39858,0.48559
64,64,1995,30-45 y.,1st Quintile,Not concerned at all,0.05477,42,13001,0.04155,0.07009
65,65,1995,30-45 y.,2nd Quintile,Very concerned,0.49324,521,13001,0.45627,0.52785
66,66,1995,30-45 y.,2nd Quintile,Somewhat concerned,0.44405,436,13001,0.4162,0.47542
67,67,1995,30-45 y.,2nd Quintile,Not concerned at all,0.06272,54,13001,0.04948,0.07605
68,68,1995,30-45 y.,3rd Quintile,Very concerned,0.53302,512,13001,0.50531,0.57196
69,69,1995,30-45 y.,3rd Quintile,Somewhat concerned,0.4091,396,13001,0.37978,0.44006
70,70,1995,30-45 y.,3rd Quintile,Not concerned at all,0.05789,41,13001,0.04431,0.07448
71,71,1995,30-45 y.,4th Quintile,Very concerned,0.48885,400,13001,0.45178,0.52367
72,72,1995,30-45 y.,4th Quintile,Somewhat concerned,0.46458,390,13001,0.43481,0.49727
73,73,1995,30-45 y.,4th Quintile,Not concerned at all,0.04657,36,13001,0.0379,0.05935
74,74,1995,30-45 y.,5th Quintile,Very concerned,0.3751,317,13001,0.34637,0.40877
75,75,1995,30-45 y.,5th Quintile,Somewhat concerned,0.54258,409,13001,0.50278,0.58659
76,76,1995,30-45 y.,5th Quintile,Not concerned at all,0.08233,63,13001,0.07067,0.0949
77,77,1995,46-65 y.,1st Quintile,Very concerned,0.71548,432,13001,0.66538,0.77829
78,78,1995,46-65 y.,1st Quintile,Somewhat concerned,0.28452,177,13001,0.25053,0.32811
79,79,1995,46-65 y.,2nd Quintile,Very concerned,0.68014,466,13001,0.63451,0.7197
80,80,1995,46-65 y.,2nd Quintile,Somewhat concerned,0.31986,225,13001,0.28836,0.35396
81,81,1995,46-65 y.,3rd Quintile,Very concerned,0.67331,472,13001,0.63251,0.71185
82,82,1995,46-65 y.,3rd Quintile,Somewhat concerned,0.32669,243,13001,0.29902,0.35798
83,83,1995,46-65 y.,4th Quintile,Very concerned,0.65526,561,13001,0.61801,0.69562
84,84,1995,46-65 y.,4th Quintile,Somewhat concerned,0.31421,287,13001,0.29316,0.34432
85,85,1995,46-65 y.,4th Quintile,Not concerned at all,0.03053,34,13001,0.02164,0.04272
86,86,1995,46-65 y.,5th Quintile,Very concerned,0.57818,553,13001,0.55099,0.60727
87,87,1995,46-65 y.,5th Quintile,Somewhat concerned,0.42182,384,13001,0.39809,0.44843
88,88,1995,66 and older,1st Quintile,Very concerned,0.7527,214,13001,0.70108,0.80107
89,89,1995,66 and older,1st Quintile,Somewhat concerned,0.2473,70,13001,0.2196,0.28087
90,90,1995,66 and older,2nd Quintile,Very concerned,0.7088,293,13001,0.67023,0.75331
91,91,1995,66 and older,2nd Quintile,Somewhat concerned,0.2912,97,13001,0.26144,0.31868
92,92,1995,66 and older,3rd Quintile,Very concerned,0.73831,231,13001,0.69044,0.79085
93,93,1995,66 and older,3rd Quintile,Somewhat concerned,0.26169,82,13001,0.2332,0.29041
94,94,1995,66 and older,4th Quintile,Very concerned,0.70941,181,13001,0.65279,0.75929
95,95,1995,66 and older,4th Quintile,Somewhat concerned,0.29059,73,13001,0.25617,0.32651
96,96,1995,66 and older,5th Quintile,Very concerned,0.71637,143,13001,0.65744,0.77807
97,97,1995,66 and older,5th Quintile,Somewhat concerned,0.28363,64,13001,0.24706,0.32641
98,98,1996,17-29 y.,1st Quintile,Very concerned,0.50352,389,12705,0.45655,0.55065
99,99,1996,17-29 y.,1st Quintile,Somewhat concerned,0.4349,317,12705,0.39704,0.4802
100,100,1996,17-29 y.,1st Quintile,Not concerned at all,0.06158,40,12705,0.04805,0.07726
101,101,1996,17-29 y.,2nd Quintile,Very concerned,0.46294,329,12705,0.41578,0.50604
102,102,1996,17-29 y.,2nd Quintile,Somewhat concerned,0.46914,314,12705,0.42663,0.5197
103,103,1996,17-29 y.,2nd Quintile,Not concerned at all,0.06792,41,12705,0.05185,0.09122
104,104,1996,17-29 y.,3rd Quintile,Very concerned,0.54552,302,12705,0.49595,0.60344
105,105,1996,17-29 y.,3rd Quintile,Somewhat concerned,0.45448,267,12705,0.41017,0.50059
106,106,1996,17-29 y.,4th Quintile,Very concerned,0.43104,294,12705,0.39534,0.4741
107,107,1996,17-29 y.,4th Quintile,Somewhat concerned,0.49882,327,12705,0.46271,0.53565
108,108,1996,17-29 y.,4th Quintile,Not concerned at all,0.07015,36,12705,0.05447,0.08718
109,109,1996,17-29 y.,5th Quintile,Very concerned,0.38686,187,12705,0.34598,0.42554
110,110,1996,17-29 y.,5th Quintile,Somewhat concerned,0.54359,223,12705,0.49912,0.59413
111,111,1996,17-29 y.,5th Quintile,Not concerned at all,0.06955,35,12705,0.05725,0.07998
112,112,1996,30-45 y.,1st Quintile,Very concerned,0.55713,472,12705,0.51164,0.6011
113,113,1996,30-45 y.,1st Quintile,Somewhat concerned,0.39712,312,12705,0.35767,0.43555
114,114,1996,30-45 y.,1st Quintile,Not concerned at all,0.04575,38,12705,0.0371,0.05625
115,115,1996,30-45 y.,2nd Quintile,Very concerned,0.53619,558,12705,0.49871,0.57665
116,116,1996,30-45 y.,2nd Quintile,Somewhat concerned,0.41268,410,12705,0.38829,0.44119
117,117,1996,30-45 y.,2nd Quintile,Not concerned at all,0.05113,38,12705,0.04034,0.06274
118,118,1996,30-45 y.,3rd Quintile,Very concerned,0.60564,553,12705,0.56807,0.65539
119,119,1996,30-45 y.,3rd Quintile,Somewhat concerned,0.39436,351,12705,0.36127,0.4244
120,120,1996,30-45 y.,4th Quintile,Very concerned,0.48676,450,12705,0.45107,0.51969
121,121,1996,30-45 y.,4th Quintile,Somewhat concerned,0.46465,392,12705,0.42786,0.49662
122,122,1996,30-45 y.,4th Quintile,Not concerned at all,0.04859,33,12705,0.03533,0.06288
123,123,1996,30-45 y.,5th Quintile,Very concerned,0.37716,306,12705,0.34628,0.41164
124,124,1996,30-45 y.,5th Quintile,Somewhat concerned,0.54836,411,12705,0.50657,0.58823
125,125,1996,30-45 y.,5th Quintile,Not concerned at all,0.07448,57,12705,0.06003,0.08782
126,126,1996,46-65 y.,1st Quintile,Very concerned,0.696,413,12705,0.64062,0.7487
127,127,1996,46-65 y.,1st Quintile,Somewhat concerned,0.304,181,12705,0.26338,0.34111
128,128,1996,46-65 y.,2nd Quintile,Very concerned,0.73158,449,12705,0.67557,0.77766
129,129,1996,46-65 y.,2nd Quintile,Somewhat concerned,0.26842,179,12705,0.23577,0.29921
130,130,1996,46-65 y.,3rd Quintile,Very concerned,0.7171,522,12705,0.67286,0.75785
131,131,1996,46-65 y.,3rd Quintile,Somewhat concerned,0.2829,232,12705,0.2574,0.31327
132,132,1996,46-65 y.,4th Quintile,Very concerned,0.67268,560,12705,0.63211,0.71498
133,133,1996,46-65 y.,4th Quintile,Somewhat concerned,0.32732,286,12705,0.3031,0.35646
134,134,1996,46-65 y.,5th Quintile,Very concerned,0.58626,549,12705,0.55593,0.62395
135,135,1996,46-65 y.,5th Quintile,Somewhat concerned,0.41374,366,12705,0.38443,0.44314
136,136,1996,66 and older,1st Quintile,Very concerned,0.72696,234,12705,0.66958,0.78022
137,137,1996,66 and older,1st Quintile,Somewhat concerned,0.27304,85,12705,0.24149,0.3005
138,138,1996,66 and older,2nd Quintile,Very concerned,0.76919,291,12705,0.72253,0.82114
139,139,1996,66 and older,2nd Quintile,Somewhat concerned,0.23081,83,12705,0.20129,0.2586
140,140,1996,66 and older,3rd Quintile,Very concerned,0.79345,251,12705,0.74359,0.86588
141,141,1996,66 and older,3rd Quintile,Somewhat concerned,0.20655,73,12705,0.17903,0.23446
142,142,1996,66 and older,4th Quintile,Very concerned,0.80004,218,12705,0.7337,0.86257
143,143,1996,66 and older,4th Quintile,Somewhat concerned,0.19996,55,12705,0.17455,0.23133
144,144,1996,66 and older,5th Quintile,Very concerned,0.76677,149,12705,0.70448,0.82674
145,145,1996,66 and older,5th Quintile,Somewhat concerned,0.23323,47,12705,0.20014,0.26308
146,146,1997,17-29 y.,1st Quintile,Very concerned,0.528,346,12487,0.48258,0.58134
147,147,1997,17-29 y.,1st Quintile,Somewhat concerned,0.39162,287,12487,0.35544,0.42982
148,148,1997,17-29 y.,1st Quintile,Not concerned at all,0.08038,44,12487,0.05864,0.10137
149,149,1997,17-29 y.,2nd Quintile,Very concerned,0.53749,357,12487,0.4826,0.60144
150,150,1997,17-29 y.,2nd Quintile,Somewhat concerned,0.39951,267,12487,0.36104,0.44371
151,151,1997,17-29 y.,2nd Quintile,Not concerned at all,0.06301,49,12487,0.04964,0.07563
152,152,1997,17-29 y.,3rd Quintile,Very concerned,0.54436,306,12487,0.49553,0.59758
153,153,1997,17-29 y.,3rd Quintile,Somewhat concerned,0.45564,245,12487,0.40506,0.5126
154,154,1997,17-29 y.,4th Quintile,Very concerned,0.49609,312,12487,0.46128,0.53767
155,155,1997,17-29 y.,4th Quintile,Somewhat concerned,0.43782,285,12487,0.40457,0.4832
156,156,1997,17-29 y.,4th Quintile,Not concerned at all,0.0661,39,12487,0.04938,0.08481
157,157,1997,17-29 y.,5th Quintile,Very concerned,0.46536,204,12487,0.41325,0.50725
158,158,1997,17-29 y.,5th Quintile,Somewhat concerned,0.53464,216,12487,0.47619,0.58993
159,159,1997,30-45 y.,1st Quintile,Very concerned,0.67397,484,12487,0.62761,0.71507
160,160,1997,30-45 y.,1st Quintile,Somewhat concerned,0.32603,252,12487,0.29031,0.36873
161,161,1997,30-45 y.,2nd Quintile,Very concerned,0.56512,557,12487,0.52843,0.61135
162,162,1997,30-45 y.,2nd Quintile,Somewhat concerned,0.39393,402,12487,0.36279,0.41962
163,163,1997,30-45 y.,2nd Quintile,Not concerned at all,0.04095,32,12487,0.02946,0.05256
164,164,1997,30-45 y.,3rd Quintile,Very concerned,0.63894,561,12487,0.59844,0.68397
165,165,1997,30-45 y.,3rd Quintile,Somewhat concerned,0.36106,327,12487,0.33089,0.39297
166,166,1997,30-45 y.,4th Quintile,Very concerned,0.5607,493,12487,0.51771,0.60979
167,167,1997,30-45 y.,4th Quintile,Somewhat concerned,0.4393,354,12487,0.40046,0.48073
168,168,1997,30-45 y.,5th Quintile,Very concerned,0.4433,374,12487,0.4119,0.48449
169,169,1997,30-45 y.,5th Quintile,Somewhat concerned,0.50322,378,12487,0.46694,0.54667
170,170,1997,30-45 y.,5th Quintile,Not concerned at all,0.05348,46,12487,0.04222,0.06638
171,171,1997,46-65 y.,1st Quintile,Very concerned,0.71712,389,12487,0.65719,0.76356
172,172,1997,46-65 y.,1st Quintile,Somewhat concerned,0.28288,167,12487,0.24813,0.32107
173,173,1997,46-65 y.,2nd Quintile,Very concerned,0.7168,457,12487,0.67365,0.77574
174,174,1997,46-65 y.,2nd Quintile,Somewhat concerned,0.2832,202,12487,0.25527,0.31278
175,175,1997,46-65 y.,3rd Quintile,Very concerned,0.71411,502,12487,0.6706,0.7619
176,176,1997,46-65 y.,3rd Quintile,Somewhat concerned,0.28589,201,12487,0.25809,0.31997
177,177,1997,46-65 y.,4th Quintile,Very concerned,0.70962,623,12487,0.67023,0.75108
178,178,1997,46-65 y.,4th Quintile,Somewhat concerned,0.29038,257,12487,0.26338,0.31637
179,179,1997,46-65 y.,5th Quintile,Very concerned,0.59326,553,12487,0.56071,0.62725
180,180,1997,46-65 y.,5th Quintile,Somewhat concerned,0.40674,379,12487,0.37242,0.4357
181,181,1997,66 and older,1st Quintile,Very concerned,0.70507,239,12487,0.65728,0.75193
182,182,1997,66 and older,1st Quintile,Somewhat concerned,0.29493,89,12487,0.25837,0.33027
183,183,1997,66 and older,2nd Quintile,Very concerned,0.81537,327,12487,0.76413,0.85934
184,184,1997,66 and older,2nd Quintile,Somewhat concerned,0.18463,78,12487,0.16002,0.20631
185,185,1997,66 and older,3rd Quintile,Very concerned,0.78872,269,12487,0.74762,0.84101
186,186,1997,66 and older,3rd Quintile,Somewhat concerned,0.21128,68,12487,0.18514,0.24258
187,187,1997,66 and older,4th Quintile,Very concerned,0.7261,174,12487,0.66312,0.7856
188,188,1997,66 and older,4th Quintile,Somewhat concerned,0.2739,68,12487,0.2409,0.30594
189,189,1997,66 and older,5th Quintile,Very concerned,0.76061,172,12487,0.70287,0.81908
190,190,1997,66 and older,5th Quintile,Somewhat concerned,0.23939,56,12487,0.20616,0.27856
191,191,1998,17-29 y.,1st Quintile,Very concerned,0.48378,327,11963,0.44436,0.52827
192,192,1998,17-29 y.,1st Quintile,Somewhat concerned,0.44495,312,11963,0.40133,0.4907
193,193,1998,17-29 y.,1st Quintile,Not concerned at all,0.07127,44,11963,0.05718,0.08541
194,194,1998,17-29 y.,2nd Quintile,Very concerned,0.42172,273,11963,0.38251,0.45952
195,195,1998,17-29 y.,2nd Quintile,Somewhat concerned,0.51423,337,11963,0.47379,0.56801
196,196,1998,17-29 y.,2nd Quintile,Not concerned at all,0.06405,35,11963,0.0488,0.07844
197,197,1998,17-29 y.,3rd Quintile,Very concerned,0.39886,216,11963,0.36128,0.44736
198,198,1998,17-29 y.,3rd Quintile,Somewhat concerned,0.52623,286,11963,0.48058,0.57466
199,199,1998,17-29 y.,3rd Quintile,Not concerned at all,0.07492,34,11963,0.05219,0.10299
200,200,1998,17-29 y.,4th Quintile,Very concerned,0.54685,298,11963,0.49518,0.60305
201,201,1998,17-29 y.,4th Quintile,Somewhat concerned,0.45315,261,11963,0.40879,0.49362
202,202,1998,17-29 y.,5th Quintile,Very concerned,0.39943,137,11963,0.34513,0.44892
203,203,1998,17-29 y.,5th Quintile,Somewhat concerned,0.60057,202,11963,0.54285,0.67492
204,204,1998,30-45 y.,1st Quintile,Very concerned,0.5753,405,11963,0.52809,0.62634
205,205,1998,30-45 y.,1st Quintile,Somewhat concerned,0.4247,314,11963,0.38738,0.45841
206,206,1998,30-45 y.,2nd Quintile,Very concerned,0.54296,513,11963,0.50322,0.58249
207,207,1998,30-45 y.,2nd Quintile,Somewhat concerned,0.42153,396,11963,0.39343,0.458
208,208,1998,30-45 y.,2nd Quintile,Not concerned at all,0.0355,33,11963,0.02834,0.04781
209,209,1998,30-45 y.,3rd Quintile,Very concerned,0.53485,474,11963,0.49896,0.57654
210,210,1998,30-45 y.,3rd Quintile,Somewhat concerned,0.42315,377,11963,0.3903,0.46616
211,211,1998,30-45 y.,3rd Quintile,Not concerned at all,0.042,39,11963,0.02916,0.0564
212,212,1998,30-45 y.,4th Quintile,Very concerned,0.4976,435,11963,0.46453,0.5335
213,213,1998,30-45 y.,4th Quintile,Somewhat concerned,0.45028,383,11963,0.41902,0.48743
214,214,1998,30-45 y.,4th Quintile,Not concerned at all,0.05212,36,11963,0.03854,0.06535
215,215,1998,30-45 y.,5th Quintile,Very concerned,0.41964,329,11963,0.38434,0.45543
216,216,1998,30-45 y.,5th Quintile,Somewhat concerned,0.51799,384,11963,0.47222,0.5532
217,217,1998,30-45 y.,5th Quintile,Not concerned at all,0.06238,47,11963,0.04828,0.07607
218,218,1998,46-65 y.,1st Quintile,Very concerned,0.7028,377,11963,0.65015,0.75258
219,219,1998,46-65 y.,1st Quintile,Somewhat concerned,0.2972,170,11963,0.27026,0.32437
220,220,1998,46-65 y.,2nd Quintile,Very concerned,0.67476,382,11963,0.62883,0.71667
221,221,1998,46-65 y.,2nd Quintile,Somewhat concerned,0.32524,209,11963,0.28818,0.36892
222,222,1998,46-65 y.,3rd Quintile,Very concerned,0.72598,503,11963,0.6794,0.77514
223,223,1998,46-65 y.,3rd Quintile,Somewhat concerned,0.27402,200,11963,0.24319,0.31117
224,224,1998,46-65 y.,4th Quintile,Very concerned,0.669,558,11963,0.62479,0.71237
225,225,1998,46-65 y.,4th Quintile,Somewhat concerned,0.331,273,11963,0.30245,0.35781
226,226,1998,46-65 y.,5th Quintile,Very concerned,0.57791,517,11963,0.5416,0.60903
227,227,1998,46-65 y.,5th Quintile,Somewhat concerned,0.42209,361,11963,0.38986,0.45382
228,228,1998,66 and older,1st Quintile,Very concerned,0.69167,208,11963,0.64557,0.73626
229,229,1998,66 and older,1st Quintile,Somewhat concerned,0.30833,93,11963,0.26365,0.34855
230,230,1998,66 and older,2nd Quintile,Very concerned,0.79723,276,11963,0.74604,0.84452
231,231,1998,66 and older,2nd Quintile,Somewhat concerned,0.20277,71,11963,0.17289,0.23036
232,232,1998,66 and older,3rd Quintile,Very concerned,0.78448,270,11963,0.73598,0.83073
233,233,1998,66 and older,3rd Quintile,Somewhat concerned,0.21552,83,11963,0.18851,0.24342
234,234,1998,66 and older,4th Quintile,Very concerned,0.74398,195,11963,0.67518,0.80528
235,235,1998,66 and older,4th Quintile,Somewhat concerned,0.25602,67,11963,0.22858,0.29123
236,236,1998,66 and older,5th Quintile,Very concerned,0.71155,156,11963,0.65792,0.76896
237,237,1998,66 and older,5th Quintile,Somewhat concerned,0.28845,67,11963,0.24947,0.33177
238,238,1999,17-29 y.,1st Quintile,Very concerned,0.45596,333,13534,0.4209,0.4907
239,239,1999,17-29 y.,1st Quintile,Somewhat concerned,0.43759,329,13534,0.39917,0.4741
240,240,1999,17-29 y.,1st Quintile,Not concerned at all,0.10645,80,13534,0.08896,0.13035
241,241,1999,17-29 y.,2nd Quintile,Very concerned,0.45156,305,13534,0.41389,0.49076
242,242,1999,17-29 y.,2nd Quintile,Somewhat concerned,0.43225,281,13534,0.39302,0.47755
243,243,1999,17-29 y.,2nd Quintile,Not concerned at all,0.11619,59,13534,0.09108,0.14896
244,244,1999,17-29 y.,3rd Quintile,Very concerned,0.4365,265,13534,0.38377,0.49278
245,245,1999,17-29 y.,3rd Quintile,Somewhat concerned,0.49415,300,13534,0.45488,0.53482
246,246,1999,17-29 y.,3rd Quintile,Not concerned at all,0.06935,54,13534,0.05844,0.08097
247,247,1999,17-29 y.,4th Quintile,Very concerned,0.4498,241,13534,0.39933,0.50095
248,248,1999,17-29 y.,4th Quintile,Somewhat concerned,0.44775,267,13534,0.40674,0.49274
249,249,1999,17-29 y.,4th Quintile,Not concerned at all,0.10245,52,13534,0.08128,0.12284
250,250,1999,17-29 y.,5th Quintile,Very concerned,0.37728,155,13534,0.32985,0.42213
251,251,1999,17-29 y.,5th Quintile,Somewhat concerned,0.50796,197,13534,0.45684,0.56803
252,252,1999,17-29 y.,5th Quintile,Not concerned at all,0.11477,47,13534,0.09992,0.13016
253,253,1999,30-45 y.,1st Quintile,Very concerned,0.50714,444,13534,0.47488,0.54068
254,254,1999,30-45 y.,1st Quintile,Somewhat concerned,0.42558,364,13534,0.38771,0.46466
255,255,1999,30-45 y.,1st Quintile,Not concerned at all,0.06728,52,13534,0.0548,0.08195
256,256,1999,30-45 y.,2nd Quintile,Very concerned,0.51338,547,13534,0.48232,0.55897
257,257,1999,30-45 y.,2nd Quintile,Somewhat concerned,0.40756,430,13534,0.37933,0.43749
258,258,1999,30-45 y.,2nd Quintile,Not concerned at all,0.07905,74,13534,0.06655,0.09638
259,259,1999,30-45 y.,3rd Quintile,Very concerned,0.52918,527,13534,0.49725,0.56511
260,260,1999,30-45 y.,3rd Quintile,Somewhat concerned,0.42967,432,13534,0.39826,0.45946
261,261,1999,30-45 y.,3rd Quintile,Not concerned at all,0.04116,37,13534,0.03239,0.05388
262,262,1999,30-45 y.,4th Quintile,Very concerned,0.46055,450,13534,0.43112,0.49211
263,263,1999,30-45 y.,4th Quintile,Somewhat concerned,0.47578,433,13534,0.4408,0.50945
264,264,1999,30-45 y.,4th Quintile,Not concerned at all,0.06367,65,13534,0.05367,0.0736
265,265,1999,30-45 y.,5th Quintile,Very concerned,0.37777,338,13534,0.35383,0.41085
266,266,1999,30-45 y.,5th Quintile,Somewhat concerned,0.51373,430,13534,0.4743,0.55384
267,267,1999,30-45 y.,5th Quintile,Not concerned at all,0.1085,80,13534,0.0886,0.12886
268,268,1999,46-65 y.,1st Quintile,Very concerned,0.64176,368,13534,0.59564,0.69311
269,269,1999,46-65 y.,1st Quintile,Somewhat concerned,0.35824,220,13534,0.32623,0.38876
270,270,1999,46-65 y.,2nd Quintile,Very concerned,0.63466,456,13534,0.59764,0.67276
271,271,1999,46-65 y.,2nd Quintile,Somewhat concerned,0.31838,232,13534,0.28513,0.34898
272,272,1999,46-65 y.,2nd Quintile,Not concerned at all,0.04696,33,13534,0.03695,0.0594
273,273,1999,46-65 y.,3rd Quintile,Very concerned,0.63357,516,13534,0.59433,0.66601
274,274,1999,46-65 y.,3rd Quintile,Somewhat concerned,0.31712,235,13534,0.28729,0.35581
275,275,1999,46-65 y.,3rd Quintile,Not concerned at all,0.04931,40,13534,0.03577,0.06164
276,276,1999,46-65 y.,4th Quintile,Very concerned,0.60349,600,13534,0.57024,0.63853
277,277,1999,46-65 y.,4th Quintile,Somewhat concerned,0.3517,320,13534,0.32462,0.38255
278,278,1999,46-65 y.,4th Quintile,Not concerned at all,0.04482,46,13534,0.03541,0.05415
279,279,1999,46-65 y.,5th Quintile,Very concerned,0.49567,546,13534,0.46973,0.52617
280,280,1999,46-65 y.,5th Quintile,Somewhat concerned,0.44862,486,13534,0.42516,0.47285
281,281,1999,46-65 y.,5th Quintile,Not concerned at all,0.05571,53,13534,0.04479,0.06639
282,282,1999,66 and older,1st Quintile,Very concerned,0.64694,226,13534,0.60501,0.69422
283,283,1999,66 and older,1st Quintile,Somewhat concerned,0.35306,115,13534,0.31421,0.38155
284,284,1999,66 and older,2nd Quintile,Very concerned,0.70118,307,13534,0.66464,0.74436
