"year","quintil","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2015","2","461.95","449.5","4886","247","324","575","695","1030","456.09","467.81","0","1700","485","500"
"2015","3","488.55","451.5","4104","272","353","582","733","1190","481.67","495.43","0","1617","492","502"
"2015","4","538.28","494","4022","270","378","641","827","1510","530.11","546.45","0","2070","539","552"
"2015","5 Einkommensstärkstes Quintil","732.09","629.5","3088","368","476","895","1210","2101","715.81","748.37","25","4920","670","705"
"2016","1 Einkommensschwächstes Quintil","454","404.5","4007","255","320","550","690","1121","447.65","460.35","15","1500","480","494"
"2016","2","499.89","480.5","4136","282","368","595","740","1069","493.12","506.66","34","2640","519","530"
"2016","3","518.63","480.5","3490","308","380","615","750","1230","510.97","526.29","30","2300","506","521"
"2016","4","553.88","519.5","3773","312","405","654","815","1275","545.44","562.32","6","2410","550","576"
"2016","5 Einkommensstärkstes Quintil","751.63","653.5","3053","393","500","877","1200","2200","736.22","767.04","40","5148","695","720"
"2017","1 Einkommensschwächstes Quintil","480.02","429.5","3636","260","335","575","750","1148","471.86","488.18","50","2500","500","505"
"2017","2","505.37","469.5","3905","282","369","610","743","1209","498.44","512.3","30","1824","518","530"
"2017","3","521.78","499.5","3636","300","390","630","780","1130","514.63","528.93","36","1870","540","550"
"2017","4","552.28","518.5","4127","320","400","665","820","1270","545.07","559.49","40","1730","545","560"
"2017","5 Einkommensstärkstes Quintil","736.44","658","3776","384","502","875","1165","1900","724.25","748.63","10","4950","690","710"
"2018","1 Einkommensschwächstes Quintil","466.61","416.5","3412","240","318","570","750","1208","458.47","474.75","40","1630","490","500"
"2018","2","526.8","489.5","3580","306","381","631","790","1200","519.93","533.67","36","1840","523","545"
"2018","3","547.95","509","3748","310","400","650","821","1340","540","555.9","100","2500","543","555"
"2018","4","567.01","529.5","4394","325","410","675","848","1310","559.94","574.08","8","1950","560","571"
"2018","5 Einkommensstärkstes Quintil","742.4","674.5","3894","398","510","895","1170","2000","731.06","753.74","5","3380","690","710"
"2019","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2019","2","522.67","487","3006","303","378","620","770","1300","515.16","530.18","40","1470","530","550"
"2019","3","539.11","504.5","3007","308","400","650","800","1200","531.14","547.08","50","1780","540","550"
"2019","4","596.38","549.5","4354","330","430","703","900","1400","588.84","603.92","27","2511","567","590"
"2019","5 Einkommensstärkstes Quintil","757.8","689","4577","390","507","915","1200","2060","744.66","770.94","20","5060","730","758"
"2020","1 Einkommensschwächstes Quintil","505.59","459.5","8823","255","340","633","800","1200","499.64","511.54","22","3000","600","608"
"2020","2","539.83","499.5","6217","300","380","655","810","1260","533.45","546.21","30","2740","596","610"
"2020","3","559.35","519","4320","300","400","675","830","1230","551.21","567.49","24","3430","570","590"
"2020","4","597.83","549","5285","340","433","710","905","1430","590.74","604.92","20","2880","570","588"
"2020","5 Einkommensstärkstes Quintil","779.1","699.5","5374","400","520","943","1260","2200","766.88","791.32","10","4800","710","735"
