,Unnamed: 0,year,bula_h,pet_cat,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
49,49,2001,Saxony,Yes,0.20744,192,11646,0.1913,0.22105
50,50,2001,Saxony,No,0.79256,657,11646,0.75846,0.82472
51,51,2001,Saxony-Anhalt,Yes,0.21476,120,11646,0.19522,0.23624
52,52,2001,Saxony-Anhalt,No,0.78524,385,11646,0.74168,0.83176
53,53,2001,Thuringa,Yes,0.22829,126,11646,0.2013,0.25418
54,54,2001,Thuringa,No,0.77171,368,11646,0.72925,0.82693
55,55,2006,Schleswig-Holstein,Yes,0.18098,71,12231,0.1521,0.20556
56,56,2006,Schleswig-Holstein,No,0.81902,318,12231,0.75965,0.87759
57,57,2006,Hamburg,No,1.0,175,12231,0.88445,1.09231
58,58,2006,Lower Saxony,Yes,0.13937,166,12231,0.12564,0.15452
59,59,2006,Lower Saxony,No,0.86063,908,12231,0.81829,0.90912
60,60,2006,Bremen,No,1.0,75,12231,0.84488,1.14114
61,61,2006,North Rhine-Westphalia,Yes,0.11776,321,12231,0.1088,0.12827
62,62,2006,North Rhine-Westphalia,No,0.88224,2217,12231,0.85444,0.90713
63,63,2006,Hesse,Yes,0.13909,132,12231,0.12329,0.15799
64,64,2006,Hesse,No,0.86091,714,12231,0.81829,0.91326
65,65,2006,"Rhineland-Palatinate, Saarland",Yes,0.17401,136,12231,0.15358,0.19599
66,66,2006,"Rhineland-Palatinate, Saarland",No,0.82599,591,12231,0.78448,0.8713
67,67,2006,Baden-Wuerttemberg,Yes,0.13368,208,12231,0.11939,0.14757
68,68,2006,Baden-Wuerttemberg,No,0.86632,1265,12231,0.83259,0.9016
69,69,2006,Bavaria,Yes,0.16983,333,12231,0.15474,0.18472
70,70,2006,Bavaria,No,0.83017,1397,12231,0.79979,0.85757
71,71,2006,Berlin,Yes,0.1028,67,12231,0.08506,0.12202
72,72,2006,Berlin,No,0.8972,417,12231,0.84486,0.95172
73,73,2006,Brandenburg,Yes,0.26609,144,12231,0.23682,0.30259
74,74,2006,Brandenburg,No,0.73391,388,12231,0.67673,0.79079
75,75,2006,Mecklenburg-Western Pomerania,Yes,0.17474,59,12231,0.14769,0.20955
76,76,2006,Mecklenburg-Western Pomerania,No,0.82526,245,12231,0.75061,0.90641
77,77,2006,Saxony,Yes,0.20695,191,12231,0.18262,0.23263
78,78,2006,Saxony,No,0.79305,686,12231,0.74862,0.83448
79,79,2006,Saxony-Anhalt,Yes,0.20472,120,12231,0.17906,0.23219
80,80,2006,Saxony-Anhalt,No,0.79528,372,12231,0.7357,0.84876
81,81,2006,Thuringa,Yes,0.16701,112,12231,0.1458,0.194
82,82,2006,Thuringa,No,0.83299,403,12231,0.77036,0.90118
83,83,2011,Schleswig-Holstein,Yes,0.16402,74,12055,0.13582,0.20062
84,84,2011,Schleswig-Holstein,No,0.83598,332,12055,0.75249,0.91057
85,85,2011,Hamburg,No,1.0,176,12055,0.90325,1.13228
86,86,2011,Lower Saxony,Yes,0.13663,165,12055,0.12073,0.15752
87,87,2011,Lower Saxony,No,0.86337,922,12055,0.81226,0.90997
88,88,2011,Bremen,No,1.0,71,12055,0.82656,1.15526
89,89,2011,North Rhine-Westphalia,Yes,0.12684,319,12055,0.11549,0.14077
90,90,2011,North Rhine-Westphalia,No,0.87316,2034,12055,0.83868,0.90384
91,91,2011,Hesse,Yes,0.13831,137,12055,0.12102,0.15536
92,92,2011,Hesse,No,0.86169,693,12055,0.80564,0.91236
93,93,2011,"Rhineland-Palatinate, Saarland",Yes,0.1546,136,12055,0.1324,0.1771
94,94,2011,"Rhineland-Palatinate, Saarland",No,0.8454,574,12055,0.78444,0.89608
95,95,2011,Baden-Wuerttemberg,Yes,0.14268,225,12055,0.12547,0.163
96,96,2011,Baden-Wuerttemberg,No,0.85732,1176,12055,0.81087,0.90423
97,97,2011,Bavaria,Yes,0.18619,371,12055,0.16966,0.20508
98,98,2011,Bavaria,No,0.81381,1468,12055,0.77265,0.8474
99,99,2011,Berlin,Yes,0.08895,71,12055,0.07193,0.10702
100,100,2011,Berlin,No,0.91105,442,12055,0.84389,0.97771
101,101,2011,Brandenburg,Yes,0.22193,127,12055,0.19174,0.25341
102,102,2011,Brandenburg,No,0.77807,391,12055,0.7116,0.85223
103,103,2011,Mecklenburg-Western Pomerania,Yes,0.16801,56,12055,0.13101,0.21874
104,104,2011,Mecklenburg-Western Pomerania,No,0.83199,259,12055,0.74296,0.91986
105,105,2011,Saxony,Yes,0.21127,172,12055,0.18857,0.24516
106,106,2011,Saxony,No,0.78873,636,12055,0.74074,0.84192
107,107,2011,Saxony-Anhalt,Yes,0.18649,111,12055,0.1647,0.21843
108,108,2011,Saxony-Anhalt,No,0.81351,398,12055,0.74327,0.90018
109,109,2011,Thuringa,Yes,0.2059,115,12055,0.17483,0.23749
110,110,2011,Thuringa,No,0.7941,404,12055,0.73163,0.86529
111,111,2016,Schleswig-Holstein,Yes,0.21084,115,14284,0.16592,0.26031
112,112,2016,Schleswig-Holstein,No,0.78916,388,14284,0.7117,0.86004
113,113,2016,Hamburg,Yes,0.12159,35,14284,0.08018,0.17522
114,114,2016,Hamburg,No,0.87841,229,14284,0.77991,0.97257
115,115,2016,Lower Saxony,Yes,0.13828,232,14284,0.12154,0.15499
116,116,2016,Lower Saxony,No,0.86172,1116,14284,0.80622,0.91797
117,117,2016,Bremen,No,1.0,87,14284,0.79121,1.22443
118,118,2016,North Rhine-Westphalia,Yes,0.12885,397,14284,0.11202,0.14404
119,119,2016,North Rhine-Westphalia,No,0.87115,2510,14284,0.83635,0.91902
120,120,2016,Hesse,Yes,0.13144,147,14284,0.10905,0.15459
121,121,2016,Hesse,No,0.86856,831,14284,0.80619,0.92569
122,122,2016,"Rhineland-Palatinate, Saarland",Yes,0.15437,144,14284,0.1311,0.17825
123,123,2016,"Rhineland-Palatinate, Saarland",No,0.84563,704,14284,0.78931,0.905
124,124,2016,Baden-Wuerttemberg,Yes,0.12789,273,14284,0.11141,0.14621
125,125,2016,Baden-Wuerttemberg,No,0.87211,1354,14284,0.82445,0.926
126,126,2016,Bavaria,Yes,0.18026,470,14284,0.16178,0.20394
127,127,2016,Bavaria,No,0.81974,1830,14284,0.7807,0.86606
128,128,2016,Berlin,Yes,0.11517,86,14284,0.09208,0.14064
129,129,2016,Berlin,No,0.88483,524,14284,0.81062,0.94781
130,130,2016,Brandenburg,Yes,0.28069,171,14284,0.22786,0.33213
131,131,2016,Brandenburg,No,0.71931,391,14284,0.64504,0.8172
132,132,2016,Mecklenburg-Western Pomerania,Yes,0.19038,66,14284,0.14047,0.24472
133,133,2016,Mecklenburg-Western Pomerania,No,0.80962,262,14284,0.7029,0.9282
134,134,2016,Saxony,Yes,0.2325,196,14284,0.19789,0.27167
135,135,2016,Saxony,No,0.7675,669,14284,0.71608,0.82475
136,136,2016,Saxony-Anhalt,Yes,0.18907,123,14284,0.15408,0.22415
137,137,2016,Saxony-Anhalt,No,0.81093,390,14284,0.74336,0.89902
138,138,2016,Thuringa,Yes,0.20148,126,14284,0.17261,0.23243
139,139,2016,Thuringa,No,0.79852,418,14284,0.70668,0.87692
140,140,2021,Schleswig-Holstein,Yes,0.15123,85,11044,0.11897,0.19105
141,141,2021,Schleswig-Holstein,No,0.84877,342,11044,0.74319,0.96183
142,142,2021,Hamburg,Yes,0.1251,33,11044,0.08507,0.17253
143,143,2021,Hamburg,No,0.8749,235,11044,0.77171,0.99845
144,144,2021,Lower Saxony,Yes,0.16917,214,11044,0.14021,0.1969
145,145,2021,Lower Saxony,No,0.83083,848,11044,0.77559,0.89199
146,146,2021,Bremen,No,1.0,68,11044,0.71086,1.27173
147,147,2021,North Rhine-Westphalia,Yes,0.15011,349,11044,0.13034,0.16788
148,148,2021,North Rhine-Westphalia,No,0.84989,1934,11044,0.80999,0.89459
149,149,2021,Hesse,Yes,0.16153,127,11044,0.13245,0.20286
150,150,2021,Hesse,No,0.83847,567,11044,0.76283,0.922
151,151,2021,"Rhineland-Palatinate, Saarland",Yes,0.17899,100,11044,0.14234,0.22942
152,152,2021,"Rhineland-Palatinate, Saarland",No,0.82101,435,11044,0.74011,0.91478
153,153,2021,Baden-Wuerttemberg,Yes,0.16714,222,11044,0.14298,0.19191
154,154,2021,Baden-Wuerttemberg,No,0.83286,993,11044,0.76536,0.90313
155,155,2021,Bavaria,Yes,0.16922,357,11044,0.14742,0.20048
156,156,2021,Bavaria,No,0.83078,1390,11044,0.77459,0.88552
157,157,2021,Berlin,Yes,0.08644,73,11044,0.06755,0.10177
158,158,2021,Berlin,No,0.91356,480,11044,0.81225,1.01429
159,159,2021,Brandenburg,Yes,0.2452,128,11044,0.19739,0.30306
160,160,2021,Brandenburg,No,0.7548,318,11044,0.66884,0.85025
161,161,2021,Mecklenburg-Western Pomerania,Yes,0.18975,57,11044,0.13918,0.25257
162,162,2021,Mecklenburg-Western Pomerania,No,0.81025,204,11044,0.69745,0.94646
163,163,2021,Saxony,Yes,0.22055,160,11044,0.18279,0.25587
164,164,2021,Saxony,No,0.77945,573,11044,0.71823,0.87045
165,165,2021,Saxony-Anhalt,Yes,0.22023,100,11044,0.17849,0.27469
166,166,2021,Saxony-Anhalt,No,0.77977,269,11044,0.63808,0.90921
167,167,2021,Thuringa,Yes,0.17033,84,11044,0.12368,0.22643
168,168,2021,Thuringa,No,0.82967,299,11044,0.72741,0.98396
