year,hhtyp,rentown,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Single parent,Tenant,Yes,0.08970,118,561,0.06603,0.11337
2011,Single parent,Tenant,No,0.38308,443,561,0.34281,0.42334
2011,Couple with children,Owner,Yes,0.21098,526,2030,0.19323,0.22873
2011,Couple with children,Owner,No,0.62795,1504,2030,0.60692,0.64899
2011,Couple with children,Tenant,Yes,0.16741,255,1210,0.14636,0.18845
2011,Couple with children,Tenant,No,0.55694,955,1210,0.52893,0.58494
2011,Multi-generational household,Owner,No,0.65794,40,40,0.50905,0.80683
2011,Other Combinations,Owner,No,0.78174,34,34,0.64080,0.92267
2011,Other Combinations,Tenant,No,0.76967,43,43,0.64233,0.89701
2016,Single-person household,Owner,Yes,0.12861,136,932,0.10711,0.15012
2016,Single-person household,Owner,No,0.87139,796,932,0.84988,0.89289
2016,Single-person household,Tenant,Yes,0.09401,240,2455,0.08247,0.10556
2016,Single-person household,Tenant,No,0.90599,2215,2455,0.89444,0.91753
2016,Couple without children,Owner,Yes,0.15429,373,2222,0.13927,0.16931
2016,Couple without children,Owner,No,0.84571,1849,2222,0.83069,0.86073
2016,Couple without children,Tenant,Yes,0.16299,295,1875,0.14626,0.17971
2016,Couple without children,Tenant,No,0.83701,1580,1875,0.82029,0.85374
2016,Single parent,Owner,Yes,0.26120,112,382,0.21709,0.30531
2016,Single parent,Owner,No,0.73880,270,382,0.69469,0.78291
2016,Single parent,Tenant,Yes,0.22653,273,1142,0.20224,0.25082
2016,Single parent,Tenant,No,0.77347,869,1142,0.74918,0.79776
2016,Couple with children,Owner,Yes,0.24249,682,2662,0.22621,0.25878
2016,Couple with children,Owner,No,0.75751,1980,2662,0.74122,0.77379
2016,Couple with children,Tenant,Yes,0.19464,434,2328,0.17855,0.21073
2016,Couple with children,Tenant,No,0.80536,1894,2328,0.78927,0.82145
2016,Multi-generational household,Owner,No,0.62989,33,33,0.46260,0.79718
2016,Multi-generational household,Tenant,No,0.75151,45,45,0.62383,0.87920
2016,Other Combinations,Owner,No,0.75383,45,45,0.62654,0.88112
2016,Other Combinations,Tenant,No,0.84999,126,126,0.78739,0.91259
2021,Single-person household,Owner,Yes,0.13502,121,862,0.11219,0.15785
2021,Single-person household,Owner,No,0.86482,741,862,0.84199,0.88766
2021,Single-person household,Tenant,Yes,0.10359,248,2325,0.09120,0.11598
2021,Single-person household,Tenant,No,0.88075,2077,2325,0.86757,0.89392
2021,Couple without children,Owner,Yes,0.17411,347,1924,0.15716,0.19105
2021,Couple without children,Owner,No,0.82588,1577,1924,0.80893,0.84283
2021,Couple without children,Tenant,Yes,0.16588,243,1489,0.14698,0.18478
2021,Couple without children,Tenant,No,0.82897,1246,1489,0.80984,0.84810
2021,Single parent,Owner,Yes,0.30495,84,249,0.24765,0.36225
2021,Single parent,Owner,No,0.69505,165,249,0.63775,0.75235
2021,Single parent,Tenant,Yes,0.26428,180,647,0.23027,0.29828
2021,Single parent,Tenant,No,0.71341,467,647,0.67854,0.74827
2021,Couple with children,Owner,Yes,0.22593,503,1881,0.20703,0.24483
2021,Couple with children,Owner,No,0.77057,1378,1881,0.75156,0.78958
2021,Couple with children,Tenant,Yes,0.20771,282,1278,0.18546,0.22996
2021,Couple with children,Tenant,No,0.73939,996,1278,0.71531,0.76347
2021,Other Combinations,Owner,No,0.72312,80,80,0.62445,0.82179
2021,Other Combinations,Tenant,No,0.83928,128,128,0.77540,0.90316
