year,hhtyp,regtyp,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Multi-generational household,Rural regions,No,0.61528,33,33,0.44671,0.78386
2001,Other Combinations,Urban regions,No,0.75988,66,66,0.65603,0.86372
2006,Single-person household,Urban regions,Yes,0.08733,204,2260,0.07569,0.09898
2006,Single-person household,Urban regions,No,0.91267,2056,2260,0.90102,0.92431
2006,Single-person household,Rural regions,Yes,0.13055,145,1028,0.10995,0.15116
2006,Single-person household,Rural regions,No,0.86945,883,1028,0.84884,0.89005
2006,Couple without children,Urban regions,Yes,0.12029,366,2787,0.10821,0.13237
2006,Couple without children,Urban regions,No,0.87971,2421,2787,0.86763,0.89179
2006,Couple without children,Rural regions,Yes,0.20859,288,1371,0.18707,0.23010
2006,Couple without children,Rural regions,No,0.79141,1083,1371,0.76990,0.81293
2006,Single parent,Urban regions,Yes,0.17804,89,495,0.14431,0.21177
2006,Single parent,Urban regions,No,0.82196,406,495,0.78823,0.85569
2006,Single parent,Rural regions,Yes,0.27965,82,277,0.22670,0.33260
2006,Single parent,Rural regions,No,0.72035,195,277,0.66740,0.77330
2006,Couple with children,Urban regions,Yes,0.17161,461,2499,0.15683,0.18640
2006,Couple with children,Urban regions,No,0.82839,2038,2499,0.81360,0.84317
2006,Couple with children,Rural regions,Yes,0.30560,409,1338,0.28090,0.33029
2006,Couple with children,Rural regions,No,0.69440,929,1338,0.66971,0.71910
2006,Multi-generational household,Urban regions,No,0.78622,49,49,0.67024,0.90221
2006,Other Combinations,Urban regions,No,0.85529,57,57,0.76315,0.94744
2006,Other Combinations,Rural regions,No,0.85082,31,31,0.72333,0.97831
2011,Single-person household,Urban regions,Yes,0.08705,223,2389,0.07575,0.09836
2011,Single-person household,Urban regions,No,0.91295,2166,2389,0.90164,0.92425
2011,Single-person household,Rural regions,Yes,0.13263,152,1121,0.11277,0.15250
2011,Single-person household,Rural regions,No,0.86737,969,1121,0.84750,0.88723
2011,Couple without children,Urban regions,Yes,0.13599,403,2772,0.12323,0.14876
2011,Couple without children,Urban regions,No,0.86401,2369,2772,0.85124,0.87677
2011,Couple without children,Rural regions,Yes,0.19576,328,1599,0.17630,0.21521
2011,Couple without children,Rural regions,No,0.80424,1271,1599,0.78479,0.82370
2011,Single parent,Urban regions,Yes,0.21223,115,518,0.17698,0.24747
2011,Single parent,Urban regions,No,0.78777,403,518,0.75253,0.82302
2011,Single parent,Rural regions,Yes,0.29147,64,266,0.23675,0.34618
2011,Single parent,Rural regions,No,0.70853,202,266,0.65382,0.76325
2011,Couple with children,Urban regions,Yes,0.21297,426,2087,0.19540,0.23054
2011,Couple with children,Urban regions,No,0.78703,1661,2087,0.76946,0.80460
2011,Couple with children,Rural regions,Yes,0.30856,355,1153,0.28189,0.33524
2011,Couple with children,Rural regions,No,0.69144,798,1153,0.66476,0.71811
2011,Multi-generational household,Urban regions,No,0.77495,35,35,0.63458,0.91533
2011,Other Combinations,Urban regions,No,0.83507,52,52,0.73322,0.93693
2016,Single-person household,Urban regions,Yes,0.08674,219,2319,0.07528,0.09820
2016,Single-person household,Urban regions,No,0.91326,2100,2319,0.90180,0.92472
2016,Single-person household,Rural regions,Yes,0.14995,157,1069,0.12854,0.17137
2016,Single-person household,Rural regions,No,0.85005,912,1069,0.82863,0.87146
2016,Couple without children,Urban regions,Yes,0.13244,341,2568,0.11933,0.14556
2016,Couple without children,Urban regions,No,0.86756,2227,2568,0.85444,0.88067
2016,Couple without children,Rural regions,Yes,0.20570,327,1529,0.18543,0.22597
2016,Couple without children,Rural regions,No,0.79430,1202,1529,0.77403,0.81457
2016,Single parent,Urban regions,Yes,0.20577,221,992,0.18060,0.23094
2016,Single parent,Urban regions,No,0.79423,771,992,0.76906,0.81940
2016,Single parent,Rural regions,Yes,0.29374,164,532,0.25499,0.33248
2016,Single parent,Rural regions,No,0.70626,368,532,0.66752,0.74501
2016,Couple with children,Urban regions,Yes,0.19205,600,3297,0.17860,0.20549
2016,Couple with children,Urban regions,No,0.80795,2697,3297,0.79451,0.82140
2016,Couple with children,Rural regions,Yes,0.29301,516,1693,0.27132,0.31470
2016,Couple with children,Rural regions,No,0.70699,1177,1693,0.68530,0.72868
2016,Multi-generational household,Urban regions,No,0.82746,52,52,0.72376,0.93117
2016,Other Combinations,Urban regions,No,0.86219,121,121,0.80052,0.92387
2016,Other Combinations,Rural regions,No,0.67535,50,50,0.54424,0.80646
2021,No answer / don't know,Urban regions,No,0.93558,34,34,0.85182,1.01934
2021,Single-person household,Urban regions,Yes,0.10087,228,2248,0.08842,0.11332
2021,Single-person household,Urban regions,No,0.89913,2020,2248,0.88668,0.91158
2021,Single-person household,Rural regions,Yes,0.14847,141,939,0.12572,0.17123
2021,Single-person household,Rural regions,No,0.85153,798,939,0.82877,0.87428
2021,Couple without children,Urban regions,Yes,0.14706,323,2217,0.13231,0.16180
2021,Couple without children,Urban regions,No,0.85294,1894,2217,0.83820,0.86769
2021,Couple without children,Rural regions,Yes,0.22213,267,1197,0.19857,0.24569
2021,Couple without children,Rural regions,No,0.77787,930,1197,0.75431,0.80143
2021,Single parent,Urban regions,Yes,0.24117,141,572,0.20608,0.27626
2021,Single parent,Urban regions,No,0.75883,431,572,0.72374,0.79392
2021,Single parent,Rural regions,Yes,0.35079,123,324,0.29874,0.40283
2021,Single parent,Rural regions,No,0.64921,201,324,0.59717,0.70126
2021,Couple with children,Urban regions,Yes,0.20179,435,2101,0.18462,0.21895
2021,Couple with children,Urban regions,No,0.79821,1666,2101,0.78105,0.81538
2021,Couple with children,Rural regions,Yes,0.27104,350,1061,0.24428,0.29780
2021,Couple with children,Rural regions,No,0.72896,711,1061,0.70220,0.75572
2021,Multi-generational household,Urban regions,No,0.86742,35,35,0.75343,0.98141
2021,Other Combinations,Urban regions,No,0.87469,156,156,0.82257,0.92681
2021,Other Combinations,Rural regions,No,0.66559,52,52,0.53610,0.79507
