year,hhtyp,sampreg,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Single parent,East,No,0.79562,152,192,0.73843,0.85281
2001,Couple with children,West,Yes,0.18147,574,3208,0.16813,0.19481
2001,Couple with children,West,No,0.81853,2634,3208,0.80519,0.83187
2001,Couple with children,East,Yes,0.27846,288,967,0.25019,0.30672
2001,Couple with children,East,No,0.72154,679,967,0.69328,0.74981
2001,Multi-generational household,West,Yes,0.26158,31,134,0.18689,0.33628
2001,Multi-generational household,West,No,0.73842,103,134,0.66372,0.81311
2001,Other Combinations,West,No,0.74437,74,74,0.64430,0.84444
2006,Single-person household,West,Yes,0.09311,239,2472,0.08165,0.10457
2006,Single-person household,West,No,0.90689,2233,2472,0.89543,0.91835
2006,Single-person household,East,Yes,0.12694,110,816,0.10408,0.14979
2006,Single-person household,East,No,0.87306,706,816,0.85021,0.89592
2006,Couple without children,West,Yes,0.13355,433,3132,0.12163,0.14546
2006,Couple without children,West,No,0.86645,2699,3132,0.85454,0.87837
2006,Couple without children,East,Yes,0.20982,221,1026,0.18489,0.23475
2006,Couple without children,East,No,0.79018,805,1026,0.76525,0.81511
2006,Single parent,West,Yes,0.21218,125,582,0.17894,0.24543
2006,Single parent,West,No,0.78782,457,582,0.75457,0.82106
2006,Single parent,East,Yes,0.21281,46,190,0.15446,0.27116
2006,Single parent,East,No,0.78719,144,190,0.72884,0.84554
2006,Couple with children,West,Yes,0.19938,609,2984,0.18504,0.21372
2006,Couple with children,West,No,0.80062,2375,2984,0.78628,0.81496
2006,Couple with children,East,Yes,0.29778,261,853,0.26707,0.32848
2006,Couple with children,East,No,0.70222,592,853,0.67152,0.73293
2006,Multi-generational household,West,No,0.73464,61,61,0.62292,0.84636
2006,Other Combinations,West,No,0.85114,72,72,0.76834,0.93394
2011,Single-person household,West,Yes,0.09579,266,2622,0.08452,0.10705
2011,Single-person household,West,No,0.90214,2356,2622,0.89076,0.91351
2011,Single-person household,East,Yes,0.11744,109,888,0.09625,0.13862
2011,Single-person household,East,No,0.88181,779,888,0.86057,0.90306
2011,Couple without children,West,Yes,0.14182,487,3281,0.12988,0.15376
2011,Couple without children,West,No,0.85782,2794,3281,0.84587,0.86978
2011,Couple without children,East,Yes,0.21896,244,1090,0.19440,0.24353
2011,Couple without children,East,No,0.78104,846,1090,0.75647,0.80560
2011,Single parent,West,Yes,0.11673,129,585,0.09069,0.14277
2011,Single parent,West,No,0.40484,456,585,0.36503,0.44465
2011,Single parent,East,Yes,0.15560,50,199,0.10511,0.20609
2011,Single parent,East,No,0.38268,149,199,0.31498,0.45038
2011,Couple with children,West,Yes,0.18496,580,2566,0.16994,0.19999
2011,Couple with children,West,No,0.61160,1986,2566,0.59274,0.63047
2011,Couple with children,East,Yes,0.24426,201,674,0.21180,0.27672
2011,Couple with children,East,No,0.53799,473,674,0.50032,0.57566
2011,Multi-generational household,West,No,0.68845,48,48,0.55604,0.82085
2011,Other Combinations,West,No,0.80570,63,63,0.70721,0.90418
2016,Single-person household,West,Yes,0.09745,262,2535,0.08590,0.10899
2016,Single-person household,West,No,0.89619,2273,2535,0.88432,0.90807
2016,Single-person household,East,Yes,0.13401,114,853,0.11113,0.15688
2016,Single-person household,East,No,0.86038,739,853,0.83710,0.88365
2016,Couple without children,West,Yes,0.13818,431,3085,0.12600,0.15036
2016,Couple without children,West,No,0.86106,2654,3085,0.84885,0.87327
2016,Couple without children,East,Yes,0.24708,237,1012,0.22049,0.27366
2016,Couple without children,East,No,0.75208,775,1012,0.72547,0.77870
2016,Single parent,West,Yes,0.22185,287,1188,0.19821,0.24548
2016,Single parent,West,No,0.77261,901,1188,0.74876,0.79645
2016,Single parent,East,Yes,0.29697,98,336,0.24804,0.34590
2016,Single parent,East,No,0.69280,238,336,0.64339,0.74220
2016,Couple with children,West,Yes,0.20598,858,4169,0.19370,0.21826
2016,Couple with children,West,No,0.78674,3311,4169,0.77430,0.79917
2016,Couple with children,East,Yes,0.31078,258,821,0.27910,0.34245
2016,Couple with children,East,No,0.68000,563,821,0.64807,0.71193
2016,Multi-generational household,West,No,0.72705,63,63,0.61616,0.83793
2016,Other Combinations,West,No,0.78896,149,149,0.72322,0.85471
2021,Single-person household,West,Yes,0.11181,285,2478,0.09940,0.12422
2021,Single-person household,West,No,0.87767,2193,2478,0.86477,0.89058
2021,Single-person household,East,Yes,0.12411,84,710,0.09984,0.14838
2021,Single-person household,East,No,0.86590,626,710,0.84082,0.89098
2021,Couple without children,West,Yes,0.16160,411,2595,0.14743,0.17576
2021,Couple without children,West,No,0.83626,2184,2595,0.82202,0.85050
2021,Couple without children,East,Yes,0.21265,179,819,0.18461,0.24069
2021,Couple without children,East,No,0.78576,640,819,0.75765,0.81388
2021,Single parent,West,Yes,0.24312,177,657,0.21030,0.27595
2021,Single parent,West,No,0.73980,480,657,0.70623,0.77338
2021,Single parent,East,Yes,0.40324,87,239,0.34092,0.46556
2021,Single parent,East,No,0.58636,152,239,0.52379,0.64893
2021,Couple with children,West,Yes,0.20490,598,2611,0.18942,0.22039
2021,Couple with children,West,No,0.77185,2013,2611,0.75575,0.78795
2021,Couple with children,East,Yes,0.30265,187,551,0.26426,0.34105
2021,Couple with children,East,No,0.67693,364,551,0.63785,0.71602
2021,Multi-generational household,West,No,0.74655,39,39,0.60824,0.88485
2021,Other Combinations,West,Yes,0.17764,44,220,0.12702,0.22826
2021,Other Combinations,West,No,0.79496,176,220,0.74148,0.84843
2021,Other Combinations,East,No,0.76461,32,32,0.61526,0.91395
