year,migback,pli0092_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1994,Indirect migration background,Seldom,0.28766,117,12662,0.28687,0.28846
1994,Indirect migration background,Never,0.25091,125,12662,0.25015,0.25167
1995,No migration background,At least once per week,0.28748,2807,13183,0.28736,0.28760
1995,No migration background,At least once per month,0.07533,759,13183,0.07526,0.07540
1995,No migration background,Seldom,0.21743,2377,13183,0.21732,0.21754
1995,No migration background,Never,0.41976,3983,13183,0.41963,0.41989
1995,Direct migration background,At least once per week,0.21722,449,13183,0.21695,0.21748
1995,Direct migration background,At least once per month,0.04947,136,13183,0.04933,0.04961
1995,Direct migration background,Seldom,0.17171,445,13183,0.17147,0.17195
1995,Direct migration background,Never,0.56160,1727,13183,0.56128,0.56192
1995,Indirect migration background,At least once per week,0.42916,213,13183,0.42827,0.43006
1995,Indirect migration background,At least once per month,0.10745,60,13183,0.10689,0.10801
1995,Indirect migration background,Seldom,0.21864,106,13183,0.21789,0.21939
1995,Indirect migration background,Never,0.24475,121,13183,0.24398,0.24553
1996,No migration background,At least once per week,0.25364,2382,12944,0.25353,0.25376
1996,No migration background,At least once per month,0.06900,701,12944,0.06893,0.06906
1996,No migration background,Seldom,0.20116,2125,12944,0.20106,0.20127
1996,No migration background,Never,0.47620,4616,12944,0.47606,0.47633
1996,Direct migration background,At least once per week,0.16069,321,12944,0.16045,0.16092
1996,Direct migration background,At least once per month,0.06471,144,12944,0.06455,0.06487
1996,Direct migration background,Seldom,0.16968,424,12944,0.16944,0.16992
1996,Direct migration background,Never,0.60492,1693,12944,0.60461,0.60524
1996,Indirect migration background,At least once per week,0.36410,174,12944,0.36327,0.36493
1996,Indirect migration background,At least once per month,0.12808,72,12944,0.12750,0.12866
1996,Indirect migration background,Seldom,0.24318,144,12944,0.24244,0.24392
1996,Indirect migration background,Never,0.26464,148,12944,0.26387,0.26540
1997,No migration background,At least once per week,0.26052,2414,12689,0.26040,0.26063
1997,No migration background,At least once per month,0.05749,591,12689,0.05743,0.05756
1997,No migration background,Seldom,0.18897,1969,12689,0.18887,0.18908
1997,No migration background,Never,0.49302,4707,12689,0.49288,0.49315
1997,Direct migration background,At least once per week,0.16823,320,12689,0.16799,0.16847
1997,Direct migration background,At least once per month,0.04737,102,12689,0.04723,0.04751
1997,Direct migration background,Seldom,0.14716,359,12689,0.14693,0.14738
1997,Direct migration background,Never,0.63724,1667,12689,0.63693,0.63756
1997,Indirect migration background,At least once per week,0.40492,224,12689,0.40413,0.40571
1997,Indirect migration background,At least once per month,0.10670,64,12689,0.10620,0.10720
1997,Indirect migration background,Seldom,0.25958,145,12689,0.25888,0.26029
1997,Indirect migration background,Never,0.22880,127,12689,0.22812,0.22948
1998,No migration background,At least once per week,0.31011,3363,14111,0.30999,0.31023
1998,No migration background,At least once per month,0.07876,903,14111,0.07869,0.07883
1998,No migration background,Seldom,0.21554,2633,14111,0.21544,0.21565
1998,No migration background,Never,0.39558,4242,14111,0.39546,0.39571
1998,Direct migration background,At least once per week,0.18733,349,14111,0.18708,0.18759
1998,Direct migration background,At least once per month,0.05505,123,14111,0.05490,0.05520
1998,Direct migration background,Seldom,0.17641,408,14111,0.17616,0.17666
1998,Direct migration background,Never,0.58121,1498,14111,0.58088,0.58153
1998,Indirect migration background,At least once per week,0.41940,222,14111,0.41867,0.42013
1998,Indirect migration background,At least once per month,0.13571,76,14111,0.13520,0.13622
1998,Indirect migration background,Seldom,0.22363,150,14111,0.22301,0.22424
1998,Indirect migration background,Never,0.22126,144,14111,0.22065,0.22188
1999,No migration background,At least once per week,0.26516,2762,13536,0.26504,0.26527
1999,No migration background,At least once per month,0.06366,733,13536,0.06360,0.06373
1999,No migration background,Seldom,0.19539,2283,13536,0.19529,0.19550
1999,No migration background,Never,0.47578,4978,13536,0.47565,0.47592
1999,Direct migration background,At least once per week,0.17732,299,13536,0.17706,0.17757
1999,Direct migration background,At least once per month,0.05892,111,13536,0.05876,0.05907
1999,Direct migration background,Seldom,0.14237,322,13536,0.14214,0.14260
1999,Direct migration background,Never,0.62139,1446,13536,0.62107,0.62172
1999,Indirect migration background,At least once per week,0.37540,209,13536,0.37471,0.37609
1999,Indirect migration background,At least once per month,0.12126,75,13536,0.12080,0.12173
1999,Indirect migration background,Seldom,0.26644,170,13536,0.26581,0.26707
1999,Indirect migration background,Never,0.23689,148,13536,0.23629,0.23750
2001,No migration background,At least once per week,0.28162,5105,21722,0.28151,0.28174
2001,No migration background,At least once per month,0.06187,1156,21722,0.06181,0.06194
2001,No migration background,Seldom,0.16294,3141,21722,0.16285,0.16304
2001,No migration background,Never,0.49356,8668,21722,0.49343,0.49369
2001,Direct migration background,At least once per week,0.17884,470,21722,0.17858,0.17910
2001,Direct migration background,At least once per month,0.05946,142,21722,0.05930,0.05962
2001,Direct migration background,Seldom,0.12703,369,21722,0.12680,0.12725
2001,Direct migration background,Never,0.63468,1913,21722,0.63435,0.63500
2001,Indirect migration background,At least once per week,0.39329,278,21722,0.39259,0.39400
2001,Indirect migration background,At least once per month,0.07263,64,21722,0.07225,0.07300
2001,Indirect migration background,Seldom,0.22459,165,21722,0.22399,0.22519
2001,Indirect migration background,Never,0.30949,251,21722,0.30882,0.31015
2003,No migration background,At least once per week,0.34857,6991,22029,0.34845,0.34870
2003,No migration background,At least once per month,0.07723,1505,22029,0.07717,0.07730
2003,No migration background,Seldom,0.19217,3712,22029,0.19207,0.19227
2003,No migration background,Never,0.38202,6454,22029,0.38189,0.38215
2003,Direct migration background,At least once per week,0.20772,520,22029,0.20745,0.20799
2003,Direct migration background,At least once per month,0.05835,147,22029,0.05819,0.05850
2003,Direct migration background,Seldom,0.16438,404,22029,0.16413,0.16462
2003,Direct migration background,Never,0.56955,1524,22029,0.56922,0.56988
2003,Indirect migration background,At least once per week,0.41047,317,22029,0.40980,0.41114
2003,Indirect migration background,At least once per month,0.08947,73,22029,0.08908,0.08986
2003,Indirect migration background,Seldom,0.20783,151,22029,0.20728,0.20838
2003,Indirect migration background,Never,0.29224,231,22029,0.29162,0.29286
2005,No migration background,At least once per week,0.31861,5983,20559,0.31849,0.31873
2005,No migration background,At least once per month,0.07966,1388,20559,0.07959,0.07973
2005,No migration background,Seldom,0.18358,3305,20559,0.18348,0.18368
2005,No migration background,Never,0.41816,6719,20559,0.41803,0.41829
2005,Direct migration background,At least once per week,0.20821,461,20559,0.20795,0.20848
2005,Direct migration background,At least once per month,0.06517,142,20559,0.06500,0.06533
2005,Direct migration background,Seldom,0.16456,371,20559,0.16432,0.16480
2005,Direct migration background,Never,0.56206,1378,20559,0.56173,0.56239
2005,Indirect migration background,At least once per week,0.35554,307,20559,0.35496,0.35613
2005,Indirect migration background,At least once per month,0.12391,88,20559,0.12351,0.12431
2005,Indirect migration background,Seldom,0.25222,190,20559,0.25169,0.25275
2005,Indirect migration background,Never,0.26833,227,20559,0.26779,0.26887
2007,No migration background,At least once per week,0.34825,6365,20390,0.34813,0.34838
2007,No migration background,At least once per month,0.07049,1294,20390,0.07042,0.07056
2007,No migration background,Seldom,0.17809,3141,20390,0.17799,0.17819
2007,No migration background,Never,0.40317,6711,20390,0.40305,0.40330
2007,Direct migration background,At least once per week,0.21954,454,20390,0.21927,0.21982
2007,Direct migration background,At least once per month,0.05712,109,20390,0.05697,0.05728
2007,Direct migration background,Seldom,0.16681,334,20390,0.16656,0.16705
2007,Direct migration background,Never,0.55653,1209,20390,0.55620,0.55686
2007,Indirect migration background,At least once per week,0.38402,297,20390,0.38346,0.38458
2007,Indirect migration background,At least once per month,0.12038,95,20390,0.12001,0.12076
2007,Indirect migration background,Seldom,0.21373,154,20390,0.21326,0.21420
2007,Indirect migration background,Never,0.28187,227,20390,0.28135,0.28238
2008,No migration background,At least once per week,0.40529,6954,19210,0.40516,0.40542
2008,No migration background,At least once per month,0.07574,1266,19210,0.07567,0.07581
2008,No migration background,Seldom,0.19388,3198,19210,0.19377,0.19398
2008,No migration background,Never,0.32509,5143,19210,0.32497,0.32522
2008,Direct migration background,At least once per week,0.26452,497,19210,0.26423,0.26482
2008,Direct migration background,At least once per month,0.06104,119,19210,0.06088,0.06120
2008,Direct migration background,Seldom,0.16162,296,19210,0.16137,0.16186
2008,Direct migration background,Never,0.51282,981,19210,0.51249,0.51315
2008,Indirect migration background,At least once per week,0.43298,316,19210,0.43243,0.43353
2008,Indirect migration background,At least once per month,0.14764,94,19210,0.14724,0.14803
2008,Indirect migration background,Seldom,0.19056,151,19210,0.19013,0.19099
2008,Indirect migration background,Never,0.22883,195,19210,0.22836,0.22929
2009,No migration background,At least once per week,0.36678,5839,17919,0.36665,0.36690
2009,No migration background,At least once per month,0.07374,1130,17919,0.07367,0.07380
2009,No migration background,Seldom,0.17823,2792,17919,0.17813,0.17833
2009,No migration background,Never,0.38126,5805,17919,0.38113,0.38138
2009,Direct migration background,At least once per week,0.25849,396,17919,0.25819,0.25879
2009,Direct migration background,At least once per month,0.07111,118,17919,0.07093,0.07128
2009,Direct migration background,Seldom,0.15852,257,17919,0.15827,0.15877
2009,Direct migration background,Never,0.51188,881,17919,0.51154,0.51222
2009,Indirect migration background,At least once per week,0.40933,280,17919,0.40880,0.40985
2009,Indirect migration background,At least once per month,0.14088,82,17919,0.14050,0.14125
2009,Indirect migration background,Seldom,0.23243,160,17919,0.23198,0.23288
2009,Indirect migration background,Never,0.21737,179,17919,0.21693,0.21781
2011,No migration background,At least once per week,0.37969,9009,28258,0.37956,0.37982
2011,No migration background,At least once per month,0.06721,1558,28258,0.06715,0.06728
2011,No migration background,Seldom,0.15896,3837,28258,0.15887,0.15906
2011,No migration background,Never,0.39414,9313,28258,0.39401,0.39427
2011,Direct migration background,At least once per week,0.26565,845,28258,0.26535,0.26594
2011,Direct migration background,At least once per month,0.04375,149,28258,0.04361,0.04389
2011,Direct migration background,Seldom,0.15820,497,28258,0.15796,0.15844
2011,Direct migration background,Never,0.53241,1800,28258,0.53207,0.53274
2011,Indirect migration background,At least once per week,0.41079,493,28258,0.41020,0.41137
2011,Indirect migration background,At least once per month,0.08287,99,28258,0.08254,0.08320
2011,Indirect migration background,Seldom,0.23285,249,28258,0.23234,0.23335
2011,Indirect migration background,Never,0.27349,409,28258,0.27296,0.27402
2013,No migration background,At least once per week,0.49223,10538,25384,0.49209,0.49236
2013,No migration background,At least once per month,0.05089,1058,25384,0.05083,0.05095
2013,No migration background,Seldom,0.14343,3117,25384,0.14334,0.14352
2013,No migration background,Never,0.31345,6796,25384,0.31333,0.31358
2013,Direct migration background,At least once per week,0.35151,932,25384,0.35111,0.35192
2013,Direct migration background,At least once per month,0.05049,114,25384,0.05030,0.05067
2013,Direct migration background,Seldom,0.14459,367,25384,0.14429,0.14489
2013,Direct migration background,Never,0.45341,1336,25384,0.45299,0.45383
2013,Indirect migration background,At least once per week,0.53451,584,25384,0.53377,0.53524
2013,Indirect migration background,At least once per month,0.08407,76,25384,0.08366,0.08448
2013,Indirect migration background,Seldom,0.13706,170,25384,0.13655,0.13757
2013,Indirect migration background,Never,0.24436,296,25384,0.24373,0.24500
2015,No migration background,At least once per week,0.44095,8454,26690,0.44082,0.44108
2015,No migration background,At least once per month,0.05693,1087,26690,0.05687,0.05699
2015,No migration background,Seldom,0.13719,2621,26690,0.13710,0.13728
2015,No migration background,Never,0.36493,6933,26690,0.36480,0.36506
2015,Direct migration background,At least once per week,0.34632,1983,26690,0.34603,0.34662
2015,Direct migration background,At least once per month,0.05003,259,26690,0.04990,0.05017
2015,Direct migration background,Seldom,0.12376,795,26690,0.12356,0.12396
2015,Direct migration background,Never,0.47989,2943,26690,0.47958,0.48019
2015,Indirect migration background,At least once per week,0.53554,795,26690,0.53500,0.53607
2015,Indirect migration background,At least once per month,0.06293,93,26690,0.06267,0.06319
2015,Indirect migration background,Seldom,0.13998,257,26690,0.13960,0.14035
2015,Indirect migration background,Never,0.26156,470,26690,0.26109,0.26203
2017,No migration background,At least once per week,0.46568,9384,30424,0.46554,0.46581
2017,No migration background,At least once per month,0.05380,1092,30424,0.05374,0.05386
2017,No migration background,Seldom,0.13195,2715,30424,0.13186,0.13205
2017,No migration background,Never,0.34857,6891,30424,0.34844,0.34870
2017,Direct migration background,At least once per week,0.37572,2913,30424,0.37543,0.37601
2017,Direct migration background,At least once per month,0.03968,380,30424,0.03956,0.03979
2017,Direct migration background,Seldom,0.11778,1132,30424,0.11759,0.11797
2017,Direct migration background,Never,0.46682,4281,30424,0.46652,0.46712
2017,Indirect migration background,At least once per week,0.53283,804,30424,0.53233,0.53334
2017,Indirect migration background,At least once per month,0.05754,91,30424,0.05730,0.05777
2017,Indirect migration background,Seldom,0.15077,234,30424,0.15041,0.15113
2017,Indirect migration background,Never,0.25886,507,30424,0.25842,0.25930
2019,No migration background,At least once per week,0.55270,11398,28750,0.55257,0.55284
2019,No migration background,At least once per month,0.04860,932,28750,0.04854,0.04866
2019,No migration background,Seldom,0.13462,2647,28750,0.13453,0.13471
2019,No migration background,Never,0.26407,5144,28750,0.26396,0.26419
2019,Direct migration background,At least once per week,0.44518,2940,28750,0.44489,0.44548
2019,Direct migration background,At least once per month,0.04263,336,28750,0.04251,0.04275
2019,Direct migration background,Seldom,0.12585,917,28750,0.12565,0.12604
2019,Direct migration background,Never,0.38634,2860,28750,0.38605,0.38663
2019,Indirect migration background,At least once per week,0.62468,930,28750,0.62421,0.62515
2019,Indirect migration background,At least once per month,0.04067,67,28750,0.04048,0.04086
2019,Indirect migration background,Seldom,0.11641,205,28750,0.11610,0.11673
2019,Indirect migration background,Never,0.21824,374,28750,0.21783,0.21864
2021,No migration background,At least once per week,0.56673,7746,17189,0.56660,0.56686
2021,No migration background,At least once per month,0.08631,1100,17189,0.08624,0.08639
2021,No migration background,Seldom,0.14550,1800,17189,0.14541,0.14559
2021,No migration background,Never,0.20146,2565,17189,0.20135,0.20156
2021,Direct migration background,At least once per week,0.48686,1571,17189,0.48655,0.48717
2021,Direct migration background,At least once per month,0.07810,244,17189,0.07793,0.07827
2021,Direct migration background,Seldom,0.15443,501,17189,0.15420,0.15465
2021,Direct migration background,Never,0.28061,726,17189,0.28033,0.28089
2021,Indirect migration background,At least once per week,0.57065,553,17189,0.57015,0.57116
2021,Indirect migration background,At least once per month,0.10306,96,17189,0.10275,0.10337
2021,Indirect migration background,Seldom,0.15302,129,17189,0.15266,0.15339
2021,Indirect migration background,Never,0.17327,158,17189,0.17288,0.17365
