"pli0092_h","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Min 1x pro Monat","1986","Hauptschule","indirekter Migrationshintergrund","7","0.0749446185351714","0.018637598744287","0.131251638326056"
"Min 1x pro Monat","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1986","Realschule","kein Migrationshintergrund","120","","",""
"Min 1x pro Monat","1986","Realschule","direkter Migrationshintergrund","13","","",""
"Min 1x pro Monat","1986","Realschule","indirekter Migrationshintergrund","2","","",""
"Min 1x pro Monat","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1986","(Fach-)Abitur","kein Migrationshintergrund","41","0.0800050605383299","0.0576543505323594","0.1023557705443"
"Min 1x pro Monat","1986","(Fach-)Abitur","direkter Migrationshintergrund","13","","",""
"Min 1x pro Monat","1986","(Fach-)Abitur","indirekter Migrationshintergrund","2","","",""
"Min 1x pro Monat","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1986","AkademikerIn","kein Migrationshintergrund","59","0.0923378412222648","0.0697673232840688","0.114908359160461"
"Min 1x pro Monat","1986","AkademikerIn","direkter Migrationshintergrund","8","0.0836927836621751","0.0314650990139105","0.13592046831044"
"Min 1x pro Monat","1986","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1986","(noch) kein Abschluss","kein Migrationshintergrund","30","0.129783850048346","0.0850699944187649","0.174497705677927"
"Seltener","1986","(noch) kein Abschluss","direkter Migrationshintergrund","55","0.0596464283035891","0.0429940835996221","0.0762987730075561"
"Seltener","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","3","","",""
"Seltener","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1986","Hauptschule","kein Migrationshintergrund","468","0.0959712232972363","0.0873218253352371","0.104620621259235"
"Seltener","1986","Hauptschule","direkter Migrationshintergrund","140","","",""
"Seltener","1986","Hauptschule","indirekter Migrationshintergrund","15","","",""
"Seltener","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1986","Realschule","kein Migrationshintergrund","269","","",""
"Seltener","1986","Realschule","direkter Migrationshintergrund","21","","",""
"Seltener","1986","Realschule","indirekter Migrationshintergrund","3","","",""
"Seltener","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1986","(Fach-)Abitur","kein Migrationshintergrund","122","","",""
"Seltener","1986","(Fach-)Abitur","direkter Migrationshintergrund","23","","",""
"Seltener","1986","(Fach-)Abitur","indirekter Migrationshintergrund","1","","",""
"Seltener","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1986","AkademikerIn","kein Migrationshintergrund","83","0.132425360222141","0.105999535037734","0.158851185406547"
"Seltener","1986","AkademikerIn","direkter Migrationshintergrund","26","","",""
"Seltener","1986","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Seltener","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1986","(noch) kein Abschluss","kein Migrationshintergrund","67","0.353468532562735","0.289863945674044","0.417073119451426"
"Nie","1986","(noch) kein Abschluss","direkter Migrationshintergrund","645","0.810431753112774","0.782871791851319","0.83799171437423"
"Nie","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","6","0.157411119118226","-0.00219835192787052","0.317020590164322"
"Nie","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1986","Hauptschule","kein Migrationshintergrund","2950","","",""
"Nie","1986","Hauptschule","direkter Migrationshintergrund","1032","","",""
"Nie","1986","Hauptschule","indirekter Migrationshintergrund","37","0.505662041741258","0.398744096293672","0.612579987188843"
"Nie","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1986","Realschule","kein Migrationshintergrund","637","0.432347915768225","0.407974441968844","0.456721389567606"
"Nie","1986","Realschule","direkter Migrationshintergrund","65","0.563663666619946","0.482942988899723","0.64438434434017"
"Nie","1986","Realschule","indirekter Migrationshintergrund","11","","",""
"Nie","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1986","(Fach-)Abitur","kein Migrationshintergrund","154","","",""
"Nie","1986","(Fach-)Abitur","direkter Migrationshintergrund","137","","",""
"Nie","1986","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1986","AkademikerIn","kein Migrationshintergrund","217","","",""
"Nie","1986","AkademikerIn","direkter Migrationshintergrund","51","0.487626608980973","0.393356676677874","0.581896541284071"
"Nie","1986","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Nie","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1987","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1987","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Taeglich","1987","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1987","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1987","Hauptschule","kein Migrationshintergrund","","","",""
"Taeglich","1987","Hauptschule","direkter Migrationshintergrund","","","",""
"Taeglich","1987","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1987","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1987","Realschule","kein Migrationshintergrund","","","",""
"Taeglich","1987","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1987","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1987","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1987","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1987","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Taeglich","1987","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1987","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1987","AkademikerIn","kein Migrationshintergrund","","","",""
"Taeglich","1987","AkademikerIn","direkter Migrationshintergrund","","","",""
"Taeglich","1987","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1987","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1987","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1987","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1987","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1987","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1987","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1987","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1987","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1987","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1987","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1987","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1987","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Seltener","1987","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Seltener","1987","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Seltener","1987","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1987","Hauptschule","kein Migrationshintergrund","","","",""
"Seltener","1987","Hauptschule","direkter Migrationshintergrund","","","",""
"Seltener","1987","Hauptschule","indirekter Migrationshintergrund","","","",""
"Seltener","1987","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1987","Realschule","kein Migrationshintergrund","","","",""
"Seltener","1987","Realschule","direkter Migrationshintergrund","","","",""
"Seltener","1987","Realschule","indirekter Migrationshintergrund","","","",""
"Seltener","1987","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1987","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Seltener","1987","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Seltener","1987","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Seltener","1987","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1987","AkademikerIn","kein Migrationshintergrund","","","",""
"Seltener","1987","AkademikerIn","direkter Migrationshintergrund","","","",""
"Seltener","1987","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Seltener","1987","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1987","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","1987","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","1987","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","1987","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1987","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","1987","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","1987","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","1987","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1987","Realschule","kein Migrationshintergrund","","","",""
"Nie","1987","Realschule","direkter Migrationshintergrund","","","",""
"Nie","1987","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","1987","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1987","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","1987","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","1987","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","1987","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1987","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","1987","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","1987","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","1987","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1988","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1988","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Taeglich","1988","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1988","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1988","Hauptschule","kein Migrationshintergrund","","","",""
"Taeglich","1988","Hauptschule","direkter Migrationshintergrund","","","",""
"Taeglich","1988","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1988","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1988","Realschule","kein Migrationshintergrund","","","",""
"Taeglich","1988","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1988","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1988","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1988","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1988","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Taeglich","1988","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1988","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1988","AkademikerIn","kein Migrationshintergrund","","","",""
"Taeglich","1988","AkademikerIn","direkter Migrationshintergrund","","","",""
