year,hhtyp,sampreg,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Couple with children,East,No,0.27997,244,674,0.24604,0.31389
2011,Multi-generational household,West,Yes,0.39055,31,64,0.27007,0.51102
2011,Multi-generational household,West,No,0.48170,33,64,0.35831,0.60509
2011,Other Combinations,West,No,0.61676,46,46,0.47471,0.75881
2016,Single-person household,West,Yes,0.19164,487,2535,0.17631,0.20696
2016,Single-person household,West,No,0.80200,2048,2535,0.78649,0.81752
2016,Single-person household,East,Yes,0.23361,201,853,0.20519,0.26202
2016,Single-person household,East,No,0.76078,652,853,0.73213,0.78943
2016,Couple without children,West,Yes,0.30093,921,3085,0.28474,0.31712
2016,Couple without children,West,No,0.69831,2164,3085,0.68211,0.71451
2016,Couple without children,East,Yes,0.44795,425,1012,0.41729,0.47860
2016,Couple without children,East,No,0.55122,587,1012,0.52056,0.58188
2016,Single parent,West,Yes,0.45278,549,1188,0.42446,0.48110
2016,Single parent,West,No,0.54167,639,1188,0.51333,0.57002
2016,Single parent,East,Yes,0.56902,187,336,0.51599,0.62205
2016,Single parent,East,No,0.42074,149,336,0.36787,0.47360
2016,Couple with children,West,Yes,0.45360,1908,4169,0.43849,0.46871
2016,Couple with children,West,No,0.53912,2261,4169,0.52398,0.55425
2016,Couple with children,East,Yes,0.58545,494,821,0.55173,0.61917
2016,Couple with children,East,No,0.40533,327,821,0.37173,0.43894
2016,Multi-generational household,West,Yes,0.49368,40,84,0.38612,0.60124
2016,Multi-generational household,West,No,0.49901,44,84,0.39144,0.60657
2016,Other Combinations,West,Yes,0.31952,44,167,0.24858,0.39045
2016,Other Combinations,West,No,0.64303,123,167,0.57014,0.71591
2021,Single-person household,West,Yes,0.19960,502,2489,0.18389,0.21530
2021,Single-person household,West,No,0.79099,1987,2489,0.77502,0.80697
2021,Single-person household,East,Yes,0.23236,169,710,0.20127,0.26345
2021,Single-person household,East,No,0.75765,541,710,0.72611,0.78919
2021,Couple without children,West,Yes,0.30683,806,2601,0.28910,0.32456
2021,Couple without children,West,No,0.69127,1795,2601,0.67351,0.70903
2021,Couple without children,East,Yes,0.39472,320,821,0.36126,0.42818
2021,Couple without children,East,No,0.60418,501,821,0.57070,0.63765
2021,Single parent,West,Yes,0.52098,365,657,0.48275,0.55921
2021,Single parent,West,No,0.46195,292,657,0.42379,0.50010
2021,Single parent,East,Yes,0.61928,144,239,0.55759,0.68097
2021,Single parent,East,No,0.37032,95,239,0.30897,0.43167
2021,Couple with children,West,Yes,0.44570,1287,2622,0.42667,0.46473
2021,Couple with children,West,No,0.53375,1335,2622,0.51465,0.55285
2021,Couple with children,East,Yes,0.55986,344,553,0.51844,0.60127
2021,Couple with children,East,No,0.41992,209,553,0.37875,0.46110
2021,Multi-generational household,West,Yes,0.45718,31,31,0.27892,0.63545
2021,Other Combinations,West,Yes,0.36813,83,222,0.30454,0.43172
2021,Other Combinations,West,No,0.60495,139,222,0.54049,0.66940
