,Unnamed: 0,year,hhtyp,rentown,petyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
66,66,2011,Couple without children,Tenant,Yes,0.31563,600,11937,0.29148,0.34264
67,67,2011,Couple without children,Tenant,No,0.68437,1257,11937,0.64861,0.71586
68,68,2011,Single parent,Owner,Yes,0.4994,108,11937,0.41499,0.58227
69,69,2011,Single parent,Owner,No,0.5006,115,11937,0.4313,0.57962
70,70,2011,Single parent,Tenant,Yes,0.37703,236,11937,0.33838,0.4256
71,71,2011,Single parent,Tenant,No,0.62297,325,11937,0.55997,0.69624
72,72,2011,Couple with children,Owner,Yes,0.5709,1168,11937,0.53024,0.60589
73,73,2011,Couple with children,Owner,No,0.4291,862,11937,0.39919,0.45584
74,74,2011,Couple with children,Tenant,Yes,0.47559,594,11937,0.4271,0.52041
75,75,2011,Couple with children,Tenant,No,0.52441,616,11937,0.48259,0.56556
76,76,2011,Other Combinations,Tenant,No,1.0,32,11937,0.73108,1.36498
77,77,2016,Single-person household,Owner,Yes,0.23394,240,14206,0.21332,0.25353
78,78,2016,Single-person household,Owner,No,0.76606,692,14206,0.73226,0.79795
79,79,2016,Single-person household,Tenant,Yes,0.18583,448,14206,0.17223,0.1986
80,80,2016,Single-person household,Tenant,No,0.81417,2007,14206,0.78847,0.84494
81,81,2016,Couple without children,Owner,Yes,0.3302,756,14206,0.30858,0.35766
82,82,2016,Couple without children,Owner,No,0.6698,1466,14206,0.6421,0.70617
83,83,2016,Couple without children,Tenant,Yes,0.32414,590,14206,0.29627,0.35529
84,84,2016,Couple without children,Tenant,No,0.67586,1285,14206,0.63639,0.72484
85,85,2016,Single parent,Owner,Yes,0.48463,202,14206,0.42951,0.54647
86,86,2016,Single parent,Owner,No,0.51537,180,14206,0.43117,0.60485
87,87,2016,Single parent,Tenant,Yes,0.47112,534,14206,0.42676,0.51571
88,88,2016,Single parent,Tenant,No,0.52888,608,14206,0.48504,0.5784
89,89,2016,Couple with children,Owner,Yes,0.53659,1466,14206,0.49913,0.57597
90,90,2016,Couple with children,Owner,No,0.46341,1196,14206,0.4307,0.49409
91,91,2016,Couple with children,Tenant,Yes,0.39298,936,14206,0.36597,0.42922
92,92,2016,Couple with children,Tenant,No,0.60702,1392,14206,0.56804,0.65308
93,93,2016,Multi-generational household,Owner,Yes,1.0,32,14206,0.66969,1.46882
94,94,2016,Other Combinations,Owner,No,1.0,33,14206,0.68005,1.36703
95,95,2016,Other Combinations,Tenant,Yes,0.27894,35,14206,0.18329,0.36871
96,96,2016,Other Combinations,Tenant,No,0.72106,108,14206,0.57027,0.83607
97,97,2021,Single-person household,Owner,Yes,0.24457,228,10904,0.21592,0.27192
98,98,2021,Single-person household,Owner,No,0.75543,636,10904,0.69676,0.81057
99,99,2021,Single-person household,Tenant,Yes,0.18878,444,10904,0.17112,0.21034
100,100,2021,Single-person household,Tenant,No,0.81122,1898,10904,0.77679,0.84793
101,101,2021,Couple without children,Owner,Yes,0.33595,687,10904,0.30503,0.36767
102,102,2021,Couple without children,Owner,No,0.66405,1230,10904,0.62035,0.70276
103,103,2021,Couple without children,Tenant,Yes,0.30189,432,10904,0.26584,0.34067
104,104,2021,Couple without children,Tenant,No,0.69811,1056,10904,0.64841,0.74427
105,105,2021,Single parent,Owner,Yes,0.62997,165,10904,0.51097,0.75203
106,106,2021,Single parent,Owner,No,0.37003,83,10904,0.28546,0.46629
107,107,2021,Single parent,Tenant,Yes,0.52498,345,10904,0.46536,0.60305
108,108,2021,Single parent,Tenant,No,0.47502,301,10904,0.40667,0.5518
109,109,2021,Couple with children,Owner,Yes,0.51747,1075,10904,0.47184,0.55653
110,110,2021,Couple with children,Owner,No,0.48253,799,10904,0.43795,0.52374
111,111,2021,Couple with children,Tenant,Yes,0.40145,542,10904,0.36051,0.4426
112,112,2021,Couple with children,Tenant,No,0.59855,731,10904,0.54758,0.66089
113,113,2021,Other Combinations,Owner,Yes,0.5592,55,10904,0.36843,0.75909
114,114,2021,Other Combinations,Owner,No,0.4408,51,10904,0.30742,0.61097
115,115,2021,Other Combinations,Tenant,Yes,0.2458,41,10904,0.19028,0.30156
116,116,2021,Other Combinations,Tenant,No,0.7542,105,10904,0.5963,0.92572
