"ple0004","year","age_gr","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Stark","2014","35-65","1278","0.0972098590485672","0.0925545589306521","0.101865159166482"
"Stark","2014","66 +","1276","0.274284600722076","0.261839442869785","0.286729758574368"
"Ein wenig","2014","17-34","1045","0.149275579572096","0.140622320351505","0.157928838792686"
"Ein wenig","2014","35-65","4552","0.319149991377198","0.311824744500338","0.326475238254058"
"Ein wenig","2014","66 +","2115","0.44494341392952","0.431081041936149","0.45880578592289"
"Gar nicht","2014","17-34","5335","0.830222512625613","0.82110601160737","0.839339013643856"
"Gar nicht","2014","35-65","9726","0.583640149574235","0.575893638862474","0.591386660285996"
"Gar nicht","2014","66 +","1546","0.280771985348404","0.268236916850628","0.29330705384618"
"Stark","2015","17-34","","","",""
"Stark","2015","35-65","","","",""
"Stark","2015","66 +","","","",""
"Ein wenig","2015","17-34","","","",""
"Ein wenig","2015","35-65","","","",""
"Ein wenig","2015","66 +","","","",""
"Gar nicht","2015","17-34","","","",""
"Gar nicht","2015","35-65","","","",""
"Gar nicht","2015","66 +","","","",""
"Stark","2016","17-34","205","0.0251285924476168","0.02148975478461","0.0287674301106236"
"Stark","2016","35-65","1285","0.0929555854833507","0.0883438496784584","0.0975673212882431"
"Stark","2016","66 +","1191","0.269898956321579","0.257243048016809","0.282554864626348"
"Ein wenig","2016","17-34","1171","0.157409009641409","0.148942037476152","0.165875981806666"
"Ein wenig","2016","35-65","4542","0.321214714100855","0.313798601367196","0.328630826834514"
"Ein wenig","2016","66 +","2038","0.442161657436651","0.428002221494982","0.45632109337832"
"Gar nicht","2016","17-34","5731","0.817462397910974","0.808481598502103","0.826443197319845"
"Gar nicht","2016","35-65","9402","0.585829700415794","0.578006443969613","0.593652956861974"
"Gar nicht","2016","66 +","1497","0.287939386241771","0.275029861571266","0.300848910912275"
"Stark","2017","17-34","45","0.0421900982581322","0.0304590054449634","0.0539211910713011"
"Stark","2017","35-65","111","0.152345926495175","0.125762908527314","0.178928944463036"
"Stark","2017","66 +","12","","",""
"Ein wenig","2017","17-34","177","0.156538381390536","0.135333462132731","0.177743300648341"
"Ein wenig","2017","35-65","234","0.334705419706534","0.299797987754202","0.369612851658867"
"Ein wenig","2017","66 +","5","","",""
"Gar nicht","2017","17-34","906","0.801271520351332","0.777984525366893","0.82455851533577"
"Gar nicht","2017","35-65","357","0.512948653798291","0.475974022145809","0.549923285450773"
"Gar nicht","2017","66 +","4","","",""
"Stark","2018","17-34","220","0.0257334808491107","0.022206902186035","0.0292600595121864"
"Stark","2018","35-65","1447","0.0884740747275414","0.0841202120412442","0.0928279374138385"
"Stark","2018","66 +","1209","0.267682835883781","0.255427765914148","0.279937905853415"
"Ein wenig","2018","17-34","1312","0.160998449597201","0.1528127152283","0.169184183966102"
"Ein wenig","2018","35-65","5055","0.328680509397834","0.321478829654069","0.3358821891416"
"Ein wenig","2018","66 +","2160","0.434047492833139","0.420328742695289","0.447766242970988"
"Gar nicht","2018","17-34","6212","0.813268069553689","0.804588632195746","0.821947506911631"
"Gar nicht","2018","35-65","9841","0.582845415874624","0.575285666401462","0.590405165347787"
"Gar nicht","2018","66 +","1645","0.29826967128308","0.285606409133433","0.310932933432727"
"Stark","2019","17-34","10","","",""
"Stark","2019","35-65","23","","",""
"Stark","2019","66 +","3","","",""
"Ein wenig","2019","17-34","19","","",""
"Ein wenig","2019","35-65","33","0.309208570602785","0.226860270650859","0.391556870554711"
"Ein wenig","2019","66 +","1","","",""
"Gar nicht","2019","17-34","102","0.749606630555666","0.675417451558516","0.823795809552816"
"Gar nicht","2019","35-65","65","0.461512503561296","0.372687557289927","0.550337449832665"
"Gar nicht","2019","66 +","2","","",""
"Stark","2020","17-34","252","0.030450049339722","0.0266987077860577","0.0342013908933863"
"Stark","2020","35-65","1482","0.0908095306382252","0.0864173809874838","0.0952016802889667"
"Stark","2020","66 +","1081","0.257448272803273","0.245282826150587","0.269613719455959"
"Ein wenig","2020","17-34","1495","0.179016992598241","0.170647064528873","0.187386920667608"
"Ein wenig","2020","35-65","5259","0.346499416037368","0.339225668555334","0.353773163519402"
"Ein wenig","2020","66 +","2278","0.46027728233027","0.446409250480865","0.474145314179675"
"Gar nicht","2020","17-34","6312","0.790532958062037","0.781648614320033","0.799417301804042"
"Gar nicht","2020","35-65","9700","0.562691053324407","0.555108540341726","0.570273566307088"
"Gar nicht","2020","66 +","1603","0.282274444866457","0.269750686003052","0.294798203729862"
