"ple0004","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Gar nicht","2009","Laendlicher Raum","Westdeutschland","","","",""
"Gar nicht","2009","Laendlicher Raum","Ostdeutschland","","","",""
"Stark","2010","Staedtischer Raum","Westdeutschland","983","0.125726736003602","0.119037268564613","0.132416203442591"
"Stark","2010","Staedtischer Raum","Ostdeutschland","174","","",""
"Stark","2010","Laendlicher Raum","Westdeutschland","323","0.119541402076188","0.108024007338716","0.13105879681366"
"Stark","2010","Laendlicher Raum","Ostdeutschland","337","0.146914749831739","0.133605539719091","0.160223959944387"
"Ein wenig","2010","Staedtischer Raum","Westdeutschland","2781","","",""
"Ein wenig","2010","Staedtischer Raum","Ostdeutschland","460","0.312212541116541","0.287921462271287","0.336503619961794"
"Ein wenig","2010","Laendlicher Raum","Westdeutschland","994","0.349406625782311","0.332480366244758","0.366332885319863"
"Ein wenig","2010","Laendlicher Raum","Ostdeutschland","1054","","",""
"Gar nicht","2010","Staedtischer Raum","Westdeutschland","5672","0.558232130057472","0.548212340443218","0.568251919671725"
"Gar nicht","2010","Staedtischer Raum","Ostdeutschland","764","0.544357022329489","0.51825051575412","0.570463528904858"
"Gar nicht","2010","Laendlicher Raum","Westdeutschland","1731","","",""
"Gar nicht","2010","Laendlicher Raum","Ostdeutschland","1327","","",""
"Stark","2011","Staedtischer Raum","Westdeutschland","","","",""
"Stark","2011","Staedtischer Raum","Ostdeutschland","","","",""
"Stark","2011","Laendlicher Raum","Westdeutschland","","","",""
"Stark","2011","Laendlicher Raum","Ostdeutschland","","","",""
"Ein wenig","2011","Staedtischer Raum","Westdeutschland","","","",""
"Ein wenig","2011","Staedtischer Raum","Ostdeutschland","","","",""
"Ein wenig","2011","Laendlicher Raum","Westdeutschland","","","",""
"Ein wenig","2011","Laendlicher Raum","Ostdeutschland","","","",""
"Gar nicht","2011","Staedtischer Raum","Westdeutschland","","","",""
"Gar nicht","2011","Staedtischer Raum","Ostdeutschland","","","",""
"Gar nicht","2011","Laendlicher Raum","Westdeutschland","","","",""
"Gar nicht","2011","Laendlicher Raum","Ostdeutschland","","","",""
"Stark","2012","Staedtischer Raum","Westdeutschland","1190","","",""
"Stark","2012","Staedtischer Raum","Ostdeutschland","208","","",""
"Stark","2012","Laendlicher Raum","Westdeutschland","501","0.129996809328718","0.119837003747521","0.140156614909915"
"Stark","2012","Laendlicher Raum","Ostdeutschland","440","0.149881126070141","0.137565346389515","0.162196905750767"
"Ein wenig","2012","Staedtischer Raum","Westdeutschland","3479","0.32058741757566","0.312022159055285","0.329152676096035"
"Ein wenig","2012","Staedtischer Raum","Ostdeutschland","553","0.35586809389163","0.33244509463428","0.37929109314898"
"Ein wenig","2012","Laendlicher Raum","Westdeutschland","1369","","",""
"Ein wenig","2012","Laendlicher Raum","Ostdeutschland","1235","","",""
"Gar nicht","2012","Staedtischer Raum","Westdeutschland","6736","0.564284979437537","0.555184779018879","0.573385179856196"
"Gar nicht","2012","Staedtischer Raum","Ostdeutschland","844","0.501384561480529","0.476923296518872","0.525845826442186"
"Gar nicht","2012","Laendlicher Raum","Westdeutschland","2339","","",""
"Gar nicht","2012","Laendlicher Raum","Ostdeutschland","1552","","",""
"Stark","2013","Staedtischer Raum","Westdeutschland","","","",""
"Stark","2013","Staedtischer Raum","Ostdeutschland","","","",""
"Stark","2013","Laendlicher Raum","Westdeutschland","","","",""
"Stark","2013","Laendlicher Raum","Ostdeutschland","","","",""
"Ein wenig","2013","Staedtischer Raum","Westdeutschland","","","",""
"Ein wenig","2013","Staedtischer Raum","Ostdeutschland","","","",""
"Ein wenig","2013","Laendlicher Raum","Westdeutschland","","","",""
"Ein wenig","2013","Laendlicher Raum","Ostdeutschland","","","",""
"Gar nicht","2013","Staedtischer Raum","Westdeutschland","","","",""
"Gar nicht","2013","Staedtischer Raum","Ostdeutschland","","","",""
"Gar nicht","2013","Laendlicher Raum","Westdeutschland","","","",""
"Gar nicht","2013","Laendlicher Raum","Ostdeutschland","","","",""
"Stark","2014","Staedtischer Raum","Westdeutschland","1492","","",""
"Stark","2014","Staedtischer Raum","Ostdeutschland","214","","",""
"Stark","2014","Laendlicher Raum","Westdeutschland","508","0.109395916305962","0.101371227780848","0.117420604831076"
"Stark","2014","Laendlicher Raum","Ostdeutschland","475","0.157273929221248","0.145442205397697","0.1691056530448"
"Ein wenig","2014","Staedtischer Raum","Westdeutschland","4188","0.291982120577514","0.284854557662519","0.299109683492509"
"Ein wenig","2014","Staedtischer Raum","Ostdeutschland","623","0.340525032984092","0.319366726050719","0.361683339917466"
"Ein wenig","2014","Laendlicher Raum","Westdeutschland","1613","","",""
"Ein wenig","2014","Laendlicher Raum","Ostdeutschland","1288","","",""
"Gar nicht","2014","Staedtischer Raum","Westdeutschland","9952","0.588488686244124","0.580774310882232","0.596203061606017"
"Gar nicht","2014","Staedtischer Raum","Ostdeutschland","1090","","",""
"Gar nicht","2014","Laendlicher Raum","Westdeutschland","3691","0.571268929650168","0.558545679397194","0.583992179903142"
"Gar nicht","2014","Laendlicher Raum","Ostdeutschland","1874","","",""
"Stark","2015","Staedtischer Raum","Westdeutschland","","","",""
"Stark","2015","Staedtischer Raum","Ostdeutschland","","","",""
"Stark","2015","Laendlicher Raum","Westdeutschland","","","",""
"Stark","2015","Laendlicher Raum","Ostdeutschland","","","",""
"Ein wenig","2015","Staedtischer Raum","Westdeutschland","","","",""
"Ein wenig","2015","Staedtischer Raum","Ostdeutschland","","","",""
"Ein wenig","2015","Laendlicher Raum","Westdeutschland","","","",""
"Ein wenig","2015","Laendlicher Raum","Ostdeutschland","","","",""
"Gar nicht","2015","Staedtischer Raum","Westdeutschland","","","",""
"Gar nicht","2015","Staedtischer Raum","Ostdeutschland","","","",""
"Gar nicht","2015","Laendlicher Raum","Westdeutschland","","","",""
"Gar nicht","2015","Laendlicher Raum","Ostdeutschland","","","",""
"Stark","2016","Staedtischer Raum","Westdeutschland","1464","","",""
"Stark","2016","Staedtischer Raum","Ostdeutschland","237","","",""
"Stark","2016","Laendlicher Raum","Westdeutschland","558","0.115383337524404","0.107166186212654","0.123600488836154"
"Stark","2016","Laendlicher Raum","Ostdeutschland","422","0.134734758091382","0.123526637976677","0.145942878206087"
"Ein wenig","2016","Staedtischer Raum","Westdeutschland","4273","0.298223844550615","0.291075379372668","0.305372309728561"
"Ein wenig","2016","Staedtischer Raum","Ostdeutschland","616","0.308424271854315","0.287962331066711","0.328886212641919"
"Ein wenig","2016","Laendlicher Raum","Westdeutschland","1594","","",""
"Ein wenig","2016","Laendlicher Raum","Ostdeutschland","1268","","",""
"Gar nicht","2016","Staedtischer Raum","Westdeutschland","9996","0.584409439263748","0.576708676078488","0.592110202449008"
"Gar nicht","2016","Staedtischer Raum","Ostdeutschland","1104","","",""
"Gar nicht","2016","Laendlicher Raum","Westdeutschland","3655","0.565648195150611","0.552899486502769","0.578396903798453"
"Gar nicht","2016","Laendlicher Raum","Ostdeutschland","1875","","",""
"Stark","2017","Staedtischer Raum","Westdeutschland","107","","",""
"Stark","2017","Staedtischer Raum","Ostdeutschland","10","","",""
"Stark","2017","Laendlicher Raum","Westdeutschland","43","0.0726681702465276","0.0502264457033033","0.0951098947897519"
"Stark","2017","Laendlicher Raum","Ostdeutschland","8","0.0886484812282914","0.0320843873430185","0.145212575113564"
"Ein wenig","2017","Staedtischer Raum","Westdeutschland","257","","",""
"Ein wenig","2017","Staedtischer Raum","Ostdeutschland","29","","",""
"Ein wenig","2017","Laendlicher Raum","Westdeutschland","109","","",""
"Ein wenig","2017","Laendlicher Raum","Ostdeutschland","21","","",""
"Gar nicht","2017","Staedtischer Raum","Westdeutschland","769","0.691755369510952","0.664867452094507","0.718643286927397"
"Gar nicht","2017","Staedtischer Raum","Ostdeutschland","68","0.613562012114145","0.521299486319987","0.705824537908303"
"Gar nicht","2017","Laendlicher Raum","Westdeutschland","362","0.759995355175368","0.723073643723972","0.796917066626764"
"Gar nicht","2017","Laendlicher Raum","Ostdeutschland","68","0.733979172863268","0.646044143695787","0.82191420203075"
"Stark","2018","Staedtischer Raum","Westdeutschland","1666","","",""
"Stark","2018","Staedtischer Raum","Ostdeutschland","217","","",""
"Stark","2018","Laendlicher Raum","Westdeutschland","556","0.110956383975071","0.103116326764456","0.118796441185686"
"Stark","2018","Laendlicher Raum","Ostdeutschland","437","0.127714103974102","0.117128342170897","0.138299865777306"
"Ein wenig","2018","Staedtischer Raum","Westdeutschland","4708","0.300604697342244","0.293700923733856","0.307508470950632"
"Ein wenig","2018","Staedtischer Raum","Ostdeutschland","697","0.319580879981539","0.299970011408515","0.339191748554562"
"Ein wenig","2018","Laendlicher Raum","Westdeutschland","1743","","",""
"Ein wenig","2018","Laendlicher Raum","Ostdeutschland","1379","","",""
"Gar nicht","2018","Staedtischer Raum","Westdeutschland","10571","","",""
"Gar nicht","2018","Staedtischer Raum","Ostdeutschland","1258","","",""
"Gar nicht","2018","Laendlicher Raum","Westdeutschland","3866","0.55990056374698","0.547509391071615","0.572291736422345"
"Gar nicht","2018","Laendlicher Raum","Ostdeutschland","2003","","",""
"Stark","2019","Staedtischer Raum","Westdeutschland","24","","",""
"Stark","2019","Staedtischer Raum","Ostdeutschland","","","",""
"Stark","2019","Laendlicher Raum","Westdeutschland","11","","",""
"Stark","2019","Laendlicher Raum","Ostdeutschland","1","","",""
"Ein wenig","2019","Staedtischer Raum","Westdeutschland","36","0.192339187944789","0.1308826710956","0.253795704793977"
"Ein wenig","2019","Staedtischer Raum","Ostdeutschland","","","",""
"Ein wenig","2019","Laendlicher Raum","Westdeutschland","9","0.133241015123499","0.0578240707759215","0.208657959471077"
"Ein wenig","2019","Laendlicher Raum","Ostdeutschland","8","0.450045527044287","0.22021726517298","0.679873788915593"
"Gar nicht","2019","Staedtischer Raum","Westdeutschland","98","0.561021750227712","0.483641363085061","0.638402137370362"
"Gar nicht","2019","Staedtischer Raum","Ostdeutschland","4","1","1","1"
"Gar nicht","2019","Laendlicher Raum","Westdeutschland","58","0.758027243292127","0.662982865268399","0.853071621315854"
"Gar nicht","2019","Laendlicher Raum","Ostdeutschland","9","0.520123564675902","0.289326747317669","0.750920382034135"
"Stark","2020","Staedtischer Raum","Westdeutschland","1637","","",""
"Stark","2020","Staedtischer Raum","Ostdeutschland","226","","",""
"Stark","2020","Laendlicher Raum","Westdeutschland","523","0.114668656175383","0.10655432916042","0.122782983190345"
"Stark","2020","Laendlicher Raum","Ostdeutschland","429","0.136421887224016","0.125262291303438","0.147581483144594"
"Ein wenig","2020","Staedtischer Raum","Westdeutschland","5240","0.326457975989002","0.319549309049416","0.333366642928588"
"Ein wenig","2020","Staedtischer Raum","Ostdeutschland","689","0.309010289150804","0.289740698292926","0.328279880008681"
"Ein wenig","2020","Laendlicher Raum","Westdeutschland","1793","","",""
"Ein wenig","2020","Laendlicher Raum","Ostdeutschland","1310","","",""
"Gar nicht","2020","Staedtischer Raum","Westdeutschland","10820","","",""
"Gar nicht","2020","Staedtischer Raum","Ostdeutschland","1294","","",""
"Gar nicht","2020","Laendlicher Raum","Westdeutschland","3607","0.535371297934941","0.522669716877516","0.548072878992366"
"Gar nicht","2020","Laendlicher Raum","Ostdeutschland","1895","","",""
