"ple0014","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Nein","2010","(Fach-)Abitur","Westdeutschland","","","",""
"Nein","2010","(Fach-)Abitur","Ostdeutschland","","","",""
"Nein","2010","AkademikerIn","Westdeutschland","","","",""
"Nein","2010","AkademikerIn","Ostdeutschland","","","",""
"Ja","2011","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja","2011","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","2011","Hauptschule","Westdeutschland","834","0.146075536024956","0.137097721400854","0.155053350649057"
"Ja","2011","Hauptschule","Ostdeutschland","233","0.207895316194317","0.18498304132564","0.230807591062995"
"Ja","2011","Realschule","Westdeutschland","234","0.0657713077800243","0.0577417234075312","0.0738008921525174"
"Ja","2011","Realschule","Ostdeutschland","127","0.0653777953043661","0.0541258811778658","0.0766297094308664"
"Ja","2011","(Fach-)Abitur","Westdeutschland","81","0.0430950328373863","0.0342720812399724","0.0519179844348001"
"Ja","2011","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","2011","AkademikerIn","Westdeutschland","256","0.0778880441733461","0.0687444204271631","0.0870316679195292"
"Ja","2011","AkademikerIn","Ostdeutschland","139","0.134405146520262","0.115777609223278","0.153032683817246"
"Nein","2011","(noch) kein Abschluss","Westdeutschland","468","0.910225671107712","0.885043329264928","0.935408012950495"
"Nein","2011","(noch) kein Abschluss","Ostdeutschland","60","0.885627943502654","0.80884553271438","0.962410354290928"
"Nein","2011","Hauptschule","Westdeutschland","5111","0.853924463975044","0.844946649350943","0.862902278599146"
"Nein","2011","Hauptschule","Ostdeutschland","972","0.792104683805683","0.769192408937005","0.81501695867436"
"Nein","2011","Realschule","Westdeutschland","3427","0.934228692219976","0.926199107847483","0.942258276592469"
"Nein","2011","Realschule","Ostdeutschland","1727","0.934622204695634","0.923370290569134","0.945874118822134"
"Nein","2011","(Fach-)Abitur","Westdeutschland","1954","0.956904967162614","0.9480820155652","0.965727918760028"
"Nein","2011","(Fach-)Abitur","Ostdeutschland","388","0.955392129637212","0.935311300129586","0.975472959144837"
"Nein","2011","AkademikerIn","Westdeutschland","3044","0.922111955826654","0.912968332080471","0.931255579572837"
"Nein","2011","AkademikerIn","Ostdeutschland","1149","0.865594853479738","0.846967316182754","0.884222390776722"
"Ja","2012","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja","2012","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","2012","Hauptschule","Westdeutschland","","","",""
"Ja","2012","Hauptschule","Ostdeutschland","","","",""
"Ja","2012","Realschule","Westdeutschland","","","",""
"Ja","2012","Realschule","Ostdeutschland","","","",""
"Ja","2012","(Fach-)Abitur","Westdeutschland","","","",""
"Ja","2012","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","2012","AkademikerIn","Westdeutschland","","","",""
"Ja","2012","AkademikerIn","Ostdeutschland","","","",""
"Nein","2012","(noch) kein Abschluss","Westdeutschland","","","",""
"Nein","2012","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein","2012","Hauptschule","Westdeutschland","","","",""
"Nein","2012","Hauptschule","Ostdeutschland","","","",""
"Nein","2012","Realschule","Westdeutschland","","","",""
"Nein","2012","Realschule","Ostdeutschland","","","",""
"Nein","2012","(Fach-)Abitur","Westdeutschland","","","",""
"Nein","2012","(Fach-)Abitur","Ostdeutschland","","","",""
"Nein","2012","AkademikerIn","Westdeutschland","","","",""
"Nein","2012","AkademikerIn","Ostdeutschland","","","",""
"Ja","2013","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja","2013","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","2013","Hauptschule","Westdeutschland","778","0.163187160394994","0.153085763174439","0.173288557615549"
"Ja","2013","Hauptschule","Ostdeutschland","218","0.222697368684584","0.197837744031725","0.247556993337443"
"Ja","2013","Realschule","Westdeutschland","267","0.0812159836388599","0.0719753896148958","0.0904565776628239"
"Ja","2013","Realschule","Ostdeutschland","130","0.0703156436878919","0.0581004664444077","0.0825308209313762"
"Ja","2013","(Fach-)Abitur","Westdeutschland","96","0.0603628574945263","0.0495830144389573","0.0711427005500953"
"Ja","2013","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","2013","AkademikerIn","Westdeutschland","275","0.0907066375638215","0.0808481376826378","0.100565137445005"
"Ja","2013","AkademikerIn","Ostdeutschland","127","0.12094975033645","0.102546955854905","0.139352544817994"
"Nein","2013","(noch) kein Abschluss","Westdeutschland","396","0.914523071391476","0.887688055864086","0.941358086918867"
"Nein","2013","(noch) kein Abschluss","Ostdeutschland","59","0.878981291583176","0.800885656276374","0.957076926889979"
"Nein","2013","Hauptschule","Westdeutschland","4363","0.836812839605006","0.826711442384451","0.846914236825561"
"Nein","2013","Hauptschule","Ostdeutschland","858","0.777302631315416","0.752443006662557","0.802162255968275"
"Nein","2013","Realschule","Westdeutschland","3090","0.91878401636114","0.909543422337176","0.928024610385104"
"Nein","2013","Realschule","Ostdeutschland","1553","0.929684356312108","0.917469179068624","0.941899533555592"
"Nein","2013","(Fach-)Abitur","Westdeutschland","1779","0.939637142505474","0.928857299449905","0.950416985561043"
"Nein","2013","(Fach-)Abitur","Ostdeutschland","325","0.951634786631959","0.928830822928206","0.974438750335712"
"Nein","2013","AkademikerIn","Westdeutschland","2985","0.909293362436179","0.899434862554995","0.919151862317362"
"Nein","2013","AkademikerIn","Ostdeutschland","1079","0.87905024966355","0.860647455182006","0.897453044145095"
"Ja","2014","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja","2014","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","2014","Hauptschule","Westdeutschland","","","",""
"Ja","2014","Hauptschule","Ostdeutschland","","","",""
"Ja","2014","Realschule","Westdeutschland","","","",""
"Ja","2014","Realschule","Ostdeutschland","","","",""
"Ja","2014","(Fach-)Abitur","Westdeutschland","","","",""
"Ja","2014","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","2014","AkademikerIn","Westdeutschland","","","",""
"Ja","2014","AkademikerIn","Ostdeutschland","","","",""
"Nein","2014","(noch) kein Abschluss","Westdeutschland","","","",""
"Nein","2014","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein","2014","Hauptschule","Westdeutschland","","","",""
"Nein","2014","Hauptschule","Ostdeutschland","","","",""
"Nein","2014","Realschule","Westdeutschland","","","",""
"Nein","2014","Realschule","Ostdeutschland","","","",""
"Nein","2014","(Fach-)Abitur","Westdeutschland","","","",""
"Nein","2014","(Fach-)Abitur","Ostdeutschland","","","",""
"Nein","2014","AkademikerIn","Westdeutschland","","","",""
"Nein","2014","AkademikerIn","Ostdeutschland","","","",""
"Ja","2015","(noch) kein Abschluss","Westdeutschland","42","0.0705644184898455","0.0516737089159571","0.089455128063734"
"Ja","2015","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","2015","Hauptschule","Westdeutschland","774","0.154552836814082","0.145559436368821","0.163546237259343"
"Ja","2015","Hauptschule","Ostdeutschland","217","0.220332163844474","0.196511602441444","0.244152725247504"
"Ja","2015","Realschule","Westdeutschland","276","0.0730698342109026","0.065462587366845","0.0806770810549601"
"Ja","2015","Realschule","Ostdeutschland","164","0.08891733881754","0.0764526989462665","0.101381978688814"
"Ja","2015","(Fach-)Abitur","Westdeutschland","129","0.0474528850753171","0.0400518407717657","0.0548539293788685"
"Ja","2015","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","2015","AkademikerIn","Westdeutschland","289","0.0815536343405486","0.0735635222526595","0.0895437464284376"
"Ja","2015","AkademikerIn","Ostdeutschland","136","0.106578226844904","0.0902143857792059","0.122942067910601"
"Nein","2015","(noch) kein Abschluss","Westdeutschland","664","0.929435581510154","0.910544871936266","0.948326291084043"
"Nein","2015","(noch) kein Abschluss","Ostdeutschland","99","0.891035464805379","0.832806130011242","0.949264799599515"
"Nein","2015","Hauptschule","Westdeutschland","5432","0.845447163185918","0.836453762740657","0.854440563631179"
"Nein","2015","Hauptschule","Ostdeutschland","946","0.779667836155526","0.755847274752496","0.803488397558556"
"Nein","2015","Realschule","Westdeutschland","4220","0.926930165789097","0.91932291894504","0.934537412633155"
"Nein","2015","Realschule","Ostdeutschland","1839","0.91108266118246","0.898618021311186","0.923547301053734"
"Nein","2015","(Fach-)Abitur","Westdeutschland","3041","0.952547114924683","0.945146070621132","0.959948159228234"
"Nein","2015","(Fach-)Abitur","Ostdeutschland","465","0.976385076622936","0.96282917499082","0.989940978255052"
"Nein","2015","AkademikerIn","Westdeutschland","4218","0.918446365659451","0.910456253571562","0.926436477747341"
"Nein","2015","AkademikerIn","Ostdeutschland","1230","0.893421773155096","0.877057932089399","0.909785614220794"
"Ja","2016","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja","2016","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","2016","Hauptschule","Westdeutschland","","","",""
"Ja","2016","Hauptschule","Ostdeutschland","","","",""
"Ja","2016","Realschule","Westdeutschland","","","",""
"Ja","2016","Realschule","Ostdeutschland","","","",""
"Ja","2016","(Fach-)Abitur","Westdeutschland","","","",""
"Ja","2016","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","2016","AkademikerIn","Westdeutschland","","","",""
"Ja","2016","AkademikerIn","Ostdeutschland","","","",""
"Nein","2016","(noch) kein Abschluss","Westdeutschland","","","",""
"Nein","2016","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein","2016","Hauptschule","Westdeutschland","","","",""
"Nein","2016","Hauptschule","Ostdeutschland","","","",""
"Nein","2016","Realschule","Westdeutschland","","","",""
"Nein","2016","Realschule","Ostdeutschland","","","",""
"Nein","2016","(Fach-)Abitur","Westdeutschland","","","",""
"Nein","2016","(Fach-)Abitur","Ostdeutschland","","","",""
"Nein","2016","AkademikerIn","Westdeutschland","","","",""
"Nein","2016","AkademikerIn","Ostdeutschland","","","",""
"Ja","2017","(noch) kein Abschluss","Westdeutschland","41","0.0599473154619298","0.0435992432155846","0.0762953877082751"
"Ja","2017","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","2017","Hauptschule","Westdeutschland","712","0.138607332279909","0.129912628685382","0.147302035874437"
"Ja","2017","Hauptschule","Ostdeutschland","208","0.221900113368774","0.197355800991033","0.246444425746516"
"Ja","2017","Realschule","Westdeutschland","299","0.0775656275052572","0.0699539891689331","0.0851772658415814"
"Ja","2017","Realschule","Ostdeutschland","196","0.0940740893389794","0.081858592617613","0.106289586060346"
"Ja","2017","(Fach-)Abitur","Westdeutschland","158","0.0607843650350373","0.0529289709340438","0.0686397591360309"
"Ja","2017","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","2017","AkademikerIn","Westdeutschland","333","0.0795267642357109","0.0720881335136498","0.0869653949577719"
"Ja","2017","AkademikerIn","Ostdeutschland","130","0.0880126253149287","0.0733439161913825","0.102681334438475"
"Nein","2017","(noch) kein Abschluss","Westdeutschland","769","0.94005268453807","0.923704612291725","0.956400756784415"
"Nein","2017","(noch) kein Abschluss","Ostdeutschland","115","0.906283109228068","0.855396478423315","0.95716974003282"
"Nein","2017","Hauptschule","Westdeutschland","5355","0.861392667720091","0.852697964125563","0.870087371314618"
"Nein","2017","Hauptschule","Ostdeutschland","893","0.778099886631226","0.753555574253484","0.802644199008967"
"Nein","2017","Realschule","Westdeutschland","4445","0.922434372494743","0.914822734158419","0.930046010831067"
"Nein","2017","Realschule","Ostdeutschland","1998","0.90592591066102","0.893710413939654","0.918141407382387"
"Nein","2017","(Fach-)Abitur","Westdeutschland","3396","0.939215634964963","0.931360240863969","0.947071029065956"
"Nein","2017","(Fach-)Abitur","Ostdeutschland","566","0.944904261386389","0.926570882378296","0.963237640394482"
"Nein","2017","AkademikerIn","Westdeutschland","4749","0.920473235764289","0.913034605042228","0.92791186648635"
"Nein","2017","AkademikerIn","Ostdeutschland","1303","0.911987374685071","0.897318665561525","0.926656083808618"
"Ja","2018","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja","2018","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","2018","Hauptschule","Westdeutschland","","","",""
"Ja","2018","Hauptschule","Ostdeutschland","","","",""
"Ja","2018","Realschule","Westdeutschland","","","",""
"Ja","2018","Realschule","Ostdeutschland","","","",""
"Ja","2018","(Fach-)Abitur","Westdeutschland","","","",""
"Ja","2018","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","2018","AkademikerIn","Westdeutschland","","","",""
"Ja","2018","AkademikerIn","Ostdeutschland","","","",""
"Nein","2018","(noch) kein Abschluss","Westdeutschland","","","",""
"Nein","2018","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein","2018","Hauptschule","Westdeutschland","","","",""
"Nein","2018","Hauptschule","Ostdeutschland","","","",""
"Nein","2018","Realschule","Westdeutschland","","","",""
"Nein","2018","Realschule","Ostdeutschland","","","",""
"Nein","2018","(Fach-)Abitur","Westdeutschland","","","",""
"Nein","2018","(Fach-)Abitur","Ostdeutschland","","","",""
"Nein","2018","AkademikerIn","Westdeutschland","","","",""
"Nein","2018","AkademikerIn","Ostdeutschland","","","",""
"Ja","2019","(noch) kein Abschluss","Westdeutschland","41","0.0654952792029867","0.0468041169434959","0.0841864414624776"
"Ja","2019","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","2019","Hauptschule","Westdeutschland","753","0.159908467319691","0.150018502843365","0.169798431796017"
"Ja","2019","Hauptschule","Ostdeutschland","184","0.22925351690977","0.202367338626148","0.256139695193393"
"Ja","2019","Realschule","Westdeutschland","339","0.0848863079235499","0.0768180061117033","0.0929546097353965"
"Ja","2019","Realschule","Ostdeutschland","208","0.107019889661803","0.0939769491590617","0.120062830164544"
"Ja","2019","(Fach-)Abitur","Westdeutschland","181","0.0508489644498746","0.0436130429446684","0.0580848859550807"
"Ja","2019","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","2019","AkademikerIn","Westdeutschland","381","0.0745455496451279","0.0675529794862655","0.0815381198039903"
"Ja","2019","AkademikerIn","Ostdeutschland","161","0.108419239101956","0.0931611105682266","0.123677367635685"
"Nein","2019","(noch) kein Abschluss","Westdeutschland","632","0.934504720797013","0.915813558537522","0.953195883056504"
"Nein","2019","(noch) kein Abschluss","Ostdeutschland","95","0.882392287005088","0.820479525495854","0.944305048514322"
"Nein","2019","Hauptschule","Westdeutschland","4523","0.840091532680309","0.830201568203983","0.849981497156635"
"Nein","2019","Hauptschule","Ostdeutschland","755","0.770746483090229","0.743860304806606","0.797632661373852"
"Nein","2019","Realschule","Westdeutschland","4245","0.91511369207645","0.907045390264604","0.923181993888297"
"Nein","2019","Realschule","Ostdeutschland","1950","0.892980110338197","0.879937169835456","0.906023050840938"
"Nein","2019","(Fach-)Abitur","Westdeutschland","3360","0.949151035550125","0.941915114044919","0.956386957055331"
"Nein","2019","(Fach-)Abitur","Ostdeutschland","575","0.931028715987613","0.91081969311554","0.951237738859685"
"Nein","2019","AkademikerIn","Westdeutschland","5039","0.925454450354872","0.91846188019601","0.932447020513735"
"Nein","2019","AkademikerIn","Ostdeutschland","1434","0.891580760898044","0.876322632364315","0.906838889431773"
