"ple0014","year","age_gr","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2012","46-65","Ostdeutschland","","","",""
"Ja","2012","66","Westdeutschland","","","",""
"Ja","2012","66","Ostdeutschland","","","",""
"Nein","2012","17-29","Westdeutschland","","","",""
"Nein","2012","17-29","Ostdeutschland","","","",""
"Nein","2012","30-45","Westdeutschland","","","",""
"Nein","2012","30-45","Ostdeutschland","","","",""
"Nein","2012","46-65","Westdeutschland","","","",""
"Nein","2012","46-65","Ostdeutschland","","","",""
"Nein","2012","66","Westdeutschland","","","",""
"Nein","2012","66","Ostdeutschland","","","",""
"Ja","2013","17-29","Westdeutschland","20","","",""
"Ja","2013","17-29","Ostdeutschland","6","","",""
"Ja","2013","30-45","Westdeutschland","61","0.0207470584344651","0.015777357470988","0.0257167593979422"
"Ja","2013","30-45","Ostdeutschland","21","","",""
"Ja","2013","46-65","Westdeutschland","432","0.0852142288480192","0.0778354837827929","0.0925929739132455"
"Ja","2013","46-65","Ostdeutschland","139","0.0739823374755038","0.0619540056345032","0.0860106693165044"
"Ja","2013","66","Westdeutschland","","","",""
"Ja","2013","66","Ostdeutschland","","","",""
"Nein","2013","17-29","Westdeutschland","2014","0.987656957163641","0.98285866378193","0.992455250545353"
"Nein","2013","17-29","Ostdeutschland","496","0.992912411356192","0.985574018563722","1.00025080414866"
"Nein","2013","30-45","Westdeutschland","3099","0.979252941565535","0.974283240602058","0.984222642529012"
"Nein","2013","30-45","Ostdeutschland","892","0.97981793246213","0.970696391313715","0.988939473610546"
"Nein","2013","46-65","Westdeutschland","5068","0.914785771151981","0.907407026086755","0.922164516217207"
"Nein","2013","46-65","Ostdeutschland","1680","0.926017662524496","0.913989330683496","0.938045994365497"
"Nein","2013","66","Westdeutschland","","","",""
"Nein","2013","66","Ostdeutschland","","","",""
"Ja","2014","17-29","Westdeutschland","","","",""
"Ja","2014","17-29","Ostdeutschland","","","",""
"Ja","2014","30-45","Westdeutschland","","","",""
"Ja","2014","30-45","Ostdeutschland","","","",""
"Ja","2014","46-65","Westdeutschland","","","",""
"Ja","2014","46-65","Ostdeutschland","","","",""
"Ja","2014","66","Westdeutschland","","","",""
"Ja","2014","66","Ostdeutschland","","","",""
"Nein","2014","17-29","Westdeutschland","","","",""
"Nein","2014","17-29","Ostdeutschland","","","",""
"Nein","2014","30-45","Westdeutschland","","","",""
"Nein","2014","30-45","Ostdeutschland","","","",""
"Nein","2014","46-65","Westdeutschland","","","",""
"Nein","2014","46-65","Ostdeutschland","","","",""
"Nein","2014","66","Westdeutschland","","","",""
"Nein","2014","66","Ostdeutschland","","","",""
"Ja","2015","17-29","Westdeutschland","40","0.0131476909924055","0.00924355407685588","0.0170518279079552"
"Ja","2015","17-29","Ostdeutschland","13","","",""
"Ja","2015","30-45","Westdeutschland","100","0.018224471541769","0.0148092927583122","0.0216396503252257"
"Ja","2015","30-45","Ostdeutschland","23","","",""
"Ja","2015","46-65","Westdeutschland","472","0.0777899587260093","0.0714970509571654","0.0840828664948532"
"Ja","2015","46-65","Ostdeutschland","165","0.0895815590214175","0.0768008890397337","0.102362229003101"
"Ja","2015","66","Westdeutschland","","","",""
"Ja","2015","66","Ostdeutschland","","","",""
"Nein","2015","17-29","Westdeutschland","3230","0.986852309007595","0.982948172092045","0.990756445923144"
"Nein","2015","17-29","Ostdeutschland","640","0.987563824915621","0.979063852804701","0.996063797026541"
"Nein","2015","30-45","Westdeutschland","5793","0.981775528458231","0.978360349674774","0.985190707241688"
"Nein","2015","30-45","Ostdeutschland","1440","0.982671987176964","0.975985398689716","0.989358575664211"
"Nein","2015","46-65","Westdeutschland","6487","0.922210041273991","0.915917133505147","0.928502949042835"
"Nein","2015","46-65","Ostdeutschland","1753","0.910418440978582","0.897637770996899","0.923199110960266"
"Nein","2015","66","Westdeutschland","","","",""
"Nein","2015","66","Ostdeutschland","","","",""
"Ja","2016","17-29","Westdeutschland","","","",""
"Ja","2016","17-29","Ostdeutschland","","","",""
"Ja","2016","30-45","Westdeutschland","","","",""
"Ja","2016","30-45","Ostdeutschland","","","",""
"Ja","2016","46-65","Westdeutschland","","","",""
"Ja","2016","46-65","Ostdeutschland","","","",""
"Ja","2016","66","Westdeutschland","","","",""
"Ja","2016","66","Ostdeutschland","","","",""
"Nein","2016","17-29","Westdeutschland","","","",""
"Nein","2016","17-29","Ostdeutschland","","","",""
"Nein","2016","30-45","Westdeutschland","","","",""
"Nein","2016","30-45","Ostdeutschland","","","",""
"Nein","2016","46-65","Westdeutschland","","","",""
"Nein","2016","46-65","Ostdeutschland","","","",""
"Nein","2016","66","Westdeutschland","","","",""
"Nein","2016","66","Ostdeutschland","","","",""
"Ja","2017","17-29","Westdeutschland","35","0.00901102403592721","0.00593226793696132","0.0120897801348931"
"Ja","2017","17-29","Ostdeutschland","18","","",""
"Ja","2017","30-45","Westdeutschland","119","0.0240470036780425","0.0201020558634763","0.0279919514926087"
"Ja","2017","30-45","Ostdeutschland","34","0.023155324636285","0.0154513339953416","0.0308593152772284"
"Ja","2017","46-65","Westdeutschland","531","0.0740564559561868","0.068246629271432","0.0798662826409417"
"Ja","2017","46-65","Ostdeutschland","190","0.105403642233807","0.0924807510630435","0.118326533404571"
"Ja","2017","66","Westdeutschland","","","",""
"Ja","2017","66","Ostdeutschland","","","",""
"Nein","2017","17-29","Westdeutschland","3584","0.990988975964073","0.987910219865107","0.994067732063039"
"Nein","2017","17-29","Ostdeutschland","722","0.978199553164171","0.967678028953966","0.988721077374376"
"Nein","2017","30-45","Westdeutschland","5674","0.975952996321958","0.972008048507391","0.979897944136524"
"Nein","2017","30-45","Ostdeutschland","1430","0.976844675363715","0.969140684722772","0.984548666004659"
"Nein","2017","46-65","Westdeutschland","7273","0.925943544043813","0.920133717359058","0.931753370728568"
"Nein","2017","46-65","Ostdeutschland","1979","0.894596357766193","0.881673466595429","0.907519248936957"
"Nein","2017","66","Westdeutschland","","","",""
"Nein","2017","66","Ostdeutschland","","","",""
"Ja","2018","17-29","Westdeutschland","","","",""
"Ja","2018","17-29","Ostdeutschland","","","",""
"Ja","2018","30-45","Westdeutschland","","","",""
"Ja","2018","30-45","Ostdeutschland","","","",""
"Ja","2018","46-65","Westdeutschland","","","",""
"Ja","2018","46-65","Ostdeutschland","","","",""
"Ja","2018","66","Westdeutschland","","","",""
"Ja","2018","66","Ostdeutschland","","","",""
"Nein","2018","17-29","Westdeutschland","","","",""
"Nein","2018","17-29","Ostdeutschland","","","",""
"Nein","2018","30-45","Westdeutschland","","","",""
"Nein","2018","30-45","Ostdeutschland","","","",""
"Nein","2018","46-65","Westdeutschland","","","",""
"Nein","2018","46-65","Ostdeutschland","","","",""
"Nein","2018","66","Westdeutschland","","","",""
"Nein","2018","66","Ostdeutschland","","","",""
"Ja","2019","17-29","Westdeutschland","38","0.0114749364367379","0.00779112895959535","0.0151587439138805"
"Ja","2019","17-29","Ostdeutschland","18","","",""
"Ja","2019","30-45","Westdeutschland","113","0.0200956714736527","0.0161809252426613","0.0240104177046441"
"Ja","2019","30-45","Ostdeutschland","33","0.0246331498353785","0.0163183570989315","0.0329479425718255"
"Ja","2019","46-65","Westdeutschland","586","0.083223872814907","0.077217780336098","0.089229965293716"
"Ja","2019","46-65","Ostdeutschland","192","0.0997815420340745","0.0874794285245104","0.112083655543639"
"Ja","2019","66","Westdeutschland","","","",""
"Ja","2019","66","Ostdeutschland","","","",""
"Nein","2019","17-29","Westdeutschland","3173","0.988525063563262","0.984841256086119","0.992208871040405"
"Nein","2019","17-29","Ostdeutschland","625","0.960913678693892","0.945934183041008","0.975893174346776"
"Nein","2019","30-45","Westdeutschland","4823","0.979904328526347","0.975989582295356","0.983819074757339"
"Nein","2019","30-45","Ostdeutschland","1302","0.975366850164622","0.967052057428175","0.983681642901069"
"Nein","2019","46-65","Westdeutschland","7539","0.916776127185093","0.910770034706284","0.922782219663902"
"Nein","2019","46-65","Ostdeutschland","2088","0.900218457965925","0.887916344456361","0.91252057147549"
"Nein","2019","66","Westdeutschland","","","",""
"Nein","2019","66","Ostdeutschland","","","",""
