"year","migback","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2012","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2012","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2012","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2013","direkter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2013","direkter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2013","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2013","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2013","kein Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2013","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2013","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2013","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2014","direkter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2014","direkter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2014","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2014","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2014","kein Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2014","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2014","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2014","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2015","direkter Migrationshintergrund","Laendlicher Raum","6.47","6.5","1475","5","6","7","7","7","6.42","6.52","1","7","7","7"
"2015","direkter Migrationshintergrund","Staedtischer Raum","6.31","6.5","4275","5","6","7","7","7","6.28","6.34","1","7","7","7"
"2015","indirekter Migrationshintergrund","Laendlicher Raum","6.27","6.5","314","5","6","7","7","7","6.17","6.37","1","7","7","7"
"2015","indirekter Migrationshintergrund","Staedtischer Raum","6.46","6.5","1362","5","6","7","7","7","6.41","6.51","1","7","7","7"
"2015","kein Migrationshintergrund","Laendlicher Raum","6.36","6.5","7499","5","6","7","7","7","6.34","6.38","1","7","7","7"
"2015","kein Migrationshintergrund","Staedtischer Raum","6.42","6.5","11673","5","6","7","7","7","6.4","6.44","1","7","7","7"
"2015","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2015","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2016","direkter Migrationshintergrund","Laendlicher Raum","6.75","6.5","853","6","7","7","7","7","6.71","6.79","1","7","7","7"
"2016","direkter Migrationshintergrund","Staedtischer Raum","6.55","6.5","2105","5","6","7","7","7","6.52","6.58","1","7","7","7"
"2016","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2016","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2016","kein Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2016","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2016","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2016","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2017","direkter Migrationshintergrund","Laendlicher Raum","6.83","6.5","606","7","7","7","7","7","6.77","6.89","1","7","7","7"
"2017","direkter Migrationshintergrund","Staedtischer Raum","6.82","6.5","1235","6","7","7","7","7","6.79","6.85","1","7","7","7"
"2017","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2017","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2017","kein Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2017","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2017","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2017","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2018","direkter Migrationshintergrund","Laendlicher Raum","6.88","6.5","151","7","7","7","7","7","6.81","6.95","5","7","7","7"
"2018","direkter Migrationshintergrund","Staedtischer Raum","6.83","6.5","225","7","7","7","7","7","6.74","6.92","1","7","7","7"
"2018","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2018","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2018","kein Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2018","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2018","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2018","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2019","direkter Migrationshintergrund","Laendlicher Raum","6.8","6.5","96","6","7","7","7","7","6.68","6.92","4","7","7","7"
"2019","direkter Migrationshintergrund","Staedtischer Raum","6.75","6.5","163","6","7","7","7","7","6.62","6.88","1","7","7","7"
"2019","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2019","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2019","kein Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2019","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2019","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2019","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2020","direkter Migrationshintergrund","Laendlicher Raum","6.3","6.5","2186","5","6","7","7","7","6.25","6.35","1","7","7","7"
"2020","direkter Migrationshintergrund","Staedtischer Raum","6.21","6.5","6920","4","6","7","7","7","6.18","6.24","1","7","7","7"
"2020","indirekter Migrationshintergrund","Laendlicher Raum","5.96","6.5","341","4","6","7","7","7","5.84","6.08","1","7","7","7"
"2020","indirekter Migrationshintergrund","Staedtischer Raum","6.44","6.5","1334","5","6","7","7","7","6.39","6.49","1","7","7","7"
"2020","kein Migrationshintergrund","Laendlicher Raum","6.42","6.5","7018","5","6","7","7","7","6.4","6.44","1","7","7","7"
"2020","kein Migrationshintergrund","Staedtischer Raum","6.41","6.5","11617","5","6","7","7","7","6.39","6.43","1","7","7","7"
"2020","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2020","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
