,Unnamed: 0,year,sex,m11124,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
35,35,1995,female,Disabled (> 30%),0.11229,555,13165,0.10519,0.1195
36,36,1996,male,Not Disabled (<= 30%),0.85763,5602,12999,0.83979,0.87539
37,37,1996,male,Disabled (> 30%),0.14237,672,12999,0.13472,0.14964
38,38,1996,female,Not Disabled (<= 30%),0.88884,6165,12999,0.8706,0.90775
39,39,1996,female,Disabled (> 30%),0.11116,560,12999,0.10413,0.1185
40,40,1997,male,Not Disabled (<= 30%),0.8602,5524,12767,0.84494,0.88002
41,41,1997,male,Disabled (> 30%),0.1398,655,12767,0.13346,0.14646
42,42,1997,female,Not Disabled (<= 30%),0.88935,6032,12767,0.87191,0.9057
43,43,1997,female,Disabled (> 30%),0.11065,556,12767,0.10366,0.11648
44,44,1998,male,Not Disabled (<= 30%),0.86275,6102,14191,0.84349,0.87825
45,45,1998,male,Disabled (> 30%),0.13725,764,14191,0.13138,0.14305
46,46,1998,female,Not Disabled (<= 30%),0.88733,6677,14191,0.8716,0.90116
47,47,1998,female,Disabled (> 30%),0.11267,648,14191,0.10774,0.11862
48,48,1999,male,Not Disabled (<= 30%),0.86099,5866,13650,0.84391,0.88002
49,49,1999,male,Disabled (> 30%),0.13901,732,13650,0.13402,0.14575
50,50,1999,female,Not Disabled (<= 30%),0.88172,6399,13650,0.86487,0.89816
51,51,1999,female,Disabled (> 30%),0.11828,653,13650,0.11301,0.12363
52,52,2000,male,Not Disabled (<= 30%),0.87088,10224,24054,0.86169,0.88141
53,53,2000,male,Disabled (> 30%),0.12912,1330,24054,0.12549,0.13235
54,54,2000,female,Not Disabled (<= 30%),0.89874,11408,24054,0.88938,0.90929
55,55,2000,female,Disabled (> 30%),0.10126,1092,24054,0.09784,0.10471
56,56,2001,male,Not Disabled (<= 30%),0.87248,9315,21864,0.86149,0.88442
57,57,2001,male,Disabled (> 30%),0.12752,1185,21864,0.12287,0.13253
58,58,2001,female,Not Disabled (<= 30%),0.89725,10354,21864,0.88635,0.90811
59,59,2001,female,Disabled (> 30%),0.10275,1010,21864,0.09913,0.1067
60,60,2002,male,Not Disabled (<= 30%),0.86379,9828,22977,0.84908,0.87689
61,61,2002,male,Disabled (> 30%),0.13621,1277,22977,0.13114,0.141
62,62,2002,female,Not Disabled (<= 30%),0.88861,10788,22977,0.87577,0.89964
63,63,2002,female,Disabled (> 30%),0.11139,1084,22977,0.10687,0.11526
64,64,2003,male,Not Disabled (<= 30%),0.86486,9408,22127,0.84893,0.87885
65,65,2003,male,Disabled (> 30%),0.13514,1253,22127,0.13066,0.14046
66,66,2003,female,Not Disabled (<= 30%),0.89001,10408,22127,0.87892,0.90333
67,67,2003,female,Disabled (> 30%),0.10999,1058,22127,0.10599,0.11476
68,68,2004,male,Not Disabled (<= 30%),0.86196,9118,21575,0.84604,0.87775
69,69,2004,male,Disabled (> 30%),0.13804,1243,21575,0.13176,0.14375
70,70,2004,female,Not Disabled (<= 30%),0.88367,10125,21575,0.86888,0.89816
71,71,2004,female,Disabled (> 30%),0.11633,1089,21575,0.11149,0.12128
72,72,2005,male,Not Disabled (<= 30%),0.86184,8646,20660,0.84681,0.8768
73,73,2005,male,Disabled (> 30%),0.13816,1234,20660,0.13272,0.14314
74,74,2005,female,Not Disabled (<= 30%),0.88776,9724,20660,0.87389,0.90425
75,75,2005,female,Disabled (> 30%),0.11224,1056,20660,0.1072,0.11715
76,76,2006,male,Not Disabled (<= 30%),0.85957,9096,21922,0.84233,0.87417
77,77,2006,male,Disabled (> 30%),0.14043,1354,21922,0.13445,0.14652
78,78,2006,female,Not Disabled (<= 30%),0.88178,10296,21922,0.86851,0.8943
79,79,2006,female,Disabled (> 30%),0.11822,1176,21922,0.11433,0.12292
80,80,2007,male,Not Disabled (<= 30%),0.85931,8492,20472,0.84457,0.87567
81,81,2007,male,Disabled (> 30%),0.14069,1262,20472,0.13443,0.14719
82,82,2007,female,Not Disabled (<= 30%),0.88211,9588,20472,0.86802,0.89787
83,83,2007,female,Disabled (> 30%),0.11789,1130,20472,0.1132,0.12309
84,84,2008,male,Not Disabled (<= 30%),0.86267,7992,19279,0.84915,0.87797
85,85,2008,male,Disabled (> 30%),0.13733,1196,19279,0.13121,0.14316
86,86,2008,female,Not Disabled (<= 30%),0.88314,9041,19279,0.8672,0.89654
87,87,2008,female,Disabled (> 30%),0.11686,1050,19279,0.11061,0.12219
88,88,2009,male,Not Disabled (<= 30%),0.86464,7441,17980,0.84661,0.88695
89,89,2009,male,Disabled (> 30%),0.13536,1137,17980,0.1278,0.14279
90,90,2009,female,Not Disabled (<= 30%),0.88204,8406,17980,0.8643,0.89605
91,91,2009,female,Disabled (> 30%),0.11796,996,17980,0.11273,0.12462
92,92,2010,male,Not Disabled (<= 30%),0.86508,9709,23900,0.84308,0.88734
93,93,2010,male,Disabled (> 30%),0.13492,1171,23900,0.12818,0.14246
94,94,2010,female,Not Disabled (<= 30%),0.88147,11965,23900,0.85936,0.90087
95,95,2010,female,Disabled (> 30%),0.11853,1055,23900,0.1124,0.12393
96,96,2011,male,Not Disabled (<= 30%),0.87068,11367,28341,0.84797,0.8923
97,97,2011,male,Disabled (> 30%),0.12932,1473,28341,0.12346,0.1354
98,98,2011,female,Not Disabled (<= 30%),0.87792,14104,28341,0.86075,0.89485
99,99,2011,female,Disabled (> 30%),0.12208,1397,28341,0.11618,0.12886
100,100,2012,male,Not Disabled (<= 30%),0.86167,10997,27589,0.84184,0.87876
101,101,2012,male,Disabled (> 30%),0.13833,1537,27589,0.13193,0.144
102,102,2012,female,Not Disabled (<= 30%),0.87639,13592,27589,0.86185,0.89413
103,103,2012,female,Disabled (> 30%),0.12361,1463,27589,0.11865,0.12943
104,104,2013,male,Not Disabled (<= 30%),0.86338,12387,30578,0.84536,0.88361
105,105,2013,male,Disabled (> 30%),0.13662,1582,30578,0.13097,0.1432
106,106,2013,female,Not Disabled (<= 30%),0.87539,15151,30578,0.85769,0.89195
107,107,2013,female,Disabled (> 30%),0.12461,1458,30578,0.11799,0.13021
108,108,2014,male,Not Disabled (<= 30%),0.85844,10904,27034,0.8402,0.87915
109,109,2014,male,Disabled (> 30%),0.14156,1507,27034,0.13482,0.14736
110,110,2014,female,Not Disabled (<= 30%),0.86708,13173,27034,0.84997,0.88406
111,111,2014,female,Disabled (> 30%),0.13292,1450,27034,0.12726,0.13989
112,112,2015,male,Not Disabled (<= 30%),0.86298,10929,26735,0.84476,0.88417
113,113,2015,male,Disabled (> 30%),0.13702,1359,26735,0.1307,0.14385
114,114,2015,female,Not Disabled (<= 30%),0.87263,13077,26735,0.85491,0.8919
115,115,2015,female,Disabled (> 30%),0.12737,1370,26735,0.12185,0.13448
116,116,2016,male,Not Disabled (<= 30%),0.86017,9810,24230,0.84224,0.88367
117,117,2016,male,Disabled (> 30%),0.13983,1293,24230,0.13207,0.14716
118,118,2016,female,Not Disabled (<= 30%),0.87589,11852,24230,0.85867,0.8972
119,119,2016,female,Disabled (> 30%),0.12411,1275,24230,0.11723,0.13036
120,120,2017,male,Not Disabled (<= 30%),0.86557,10818,26491,0.84786,0.88366
121,121,2017,male,Disabled (> 30%),0.13443,1419,26491,0.1268,0.14134
122,122,2017,female,Not Disabled (<= 30%),0.87599,12848,26491,0.85839,0.89373
123,123,2017,female,Disabled (> 30%),0.12401,1406,26491,0.11795,0.13045
124,124,2018,male,Not Disabled (<= 30%),0.86118,10342,25589,0.84123,0.87859
125,125,2018,male,Disabled (> 30%),0.13882,1446,25589,0.13175,0.14505
126,126,2018,female,Not Disabled (<= 30%),0.87814,12343,25589,0.85792,0.89832
127,127,2018,female,Disabled (> 30%),0.12186,1458,25589,0.11464,0.12874
128,128,2019,male,Not Disabled (<= 30%),0.86554,10834,25665,0.84376,0.88537
129,129,2019,male,Disabled (> 30%),0.13446,1427,25665,0.12653,0.14197
130,130,2019,female,Not Disabled (<= 30%),0.87709,12032,25665,0.85626,0.8989
131,131,2019,female,Disabled (> 30%),0.12291,1372,25665,0.11675,0.13014
132,132,2020,male,Not Disabled (<= 30%),0.86626,12578,28350,0.84759,0.89299
133,133,2020,male,Disabled (> 30%),0.13374,1356,28350,0.12688,0.14093
134,134,2020,female,Not Disabled (<= 30%),0.87425,13067,28350,0.85651,0.8928
135,135,2020,female,Disabled (> 30%),0.12575,1349,28350,0.11896,0.13277
136,136,2021,male,Not Disabled (<= 30%),0.86503,8350,19222,0.84057,0.89219
137,137,2021,male,Disabled (> 30%),0.13497,981,19222,0.12482,0.14756
138,138,2021,female,Not Disabled (<= 30%),0.87265,8917,19222,0.84928,0.90033
139,139,2021,female,Disabled (> 30%),0.12735,974,19222,0.11844,0.13585
