year,age_gr,migback,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1989,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.82965,775,898,0.80505,0.85425
1989,46-65 y.,Direct migration background,Disabled (> 30%),0.17035,123,898,0.14575,0.19495
1989,66 and older,No migration background,Not Disabled (<= 30%),0.72102,663,932,0.69221,0.74983
1989,66 and older,No migration background,Disabled (> 30%),0.27898,269,932,0.25017,0.30779
1989,66 and older,Direct migration background,Not Disabled (<= 30%),0.67888,48,48,0.54540,0.81237
1991,17-29 y.,No migration background,Not Disabled (<= 30%),0.98604,2679,2712,0.98162,0.99045
1991,17-29 y.,No migration background,Disabled (> 30%),0.01396,33,2712,0.00955,0.01838
1991,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.98444,652,652,0.97493,0.99394
1991,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.96511,306,306,0.94452,0.98571
1991,30-45 y.,No migration background,Not Disabled (<= 30%),0.96149,3355,3448,0.95507,0.96792
1991,30-45 y.,No migration background,Disabled (> 30%),0.03851,93,3448,0.03208,0.04493
1991,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.96984,808,808,0.95804,0.98164
1991,46-65 y.,No migration background,Not Disabled (<= 30%),0.85196,2764,3112,0.83948,0.86444
1991,46-65 y.,No migration background,Disabled (> 30%),0.14804,348,3112,0.13556,0.16052
1991,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.87063,877,997,0.84978,0.89147
1991,46-65 y.,Direct migration background,Disabled (> 30%),0.12937,120,997,0.10853,0.15022
1991,66 and older,No migration background,Not Disabled (<= 30%),0.76348,1032,1310,0.74046,0.78650
1991,66 and older,No migration background,Disabled (> 30%),0.23652,278,1310,0.21350,0.25954
1991,66 and older,Direct migration background,Not Disabled (<= 30%),0.67124,89,120,0.58684,0.75564
1991,66 and older,Direct migration background,Disabled (> 30%),0.32876,31,120,0.24436,0.41316
1992,17-29 y.,No migration background,Not Disabled (<= 30%),0.98569,2534,2569,0.98109,0.99028
1992,17-29 y.,No migration background,Disabled (> 30%),0.01431,35,2569,0.00972,0.01891
1992,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.98920,619,619,0.98106,0.99735
1992,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.96924,360,360,0.95138,0.98710
1992,30-45 y.,No migration background,Not Disabled (<= 30%),0.95630,3299,3430,0.94946,0.96314
1992,30-45 y.,No migration background,Disabled (> 30%),0.04370,131,3430,0.03686,0.05054
1992,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.96918,762,762,0.95690,0.98146
1992,46-65 y.,No migration background,Not Disabled (<= 30%),0.82993,2538,2985,0.81645,0.84341
1992,46-65 y.,No migration background,Disabled (> 30%),0.17007,447,2985,0.15659,0.18355
1992,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.84817,850,987,0.82577,0.87057
1992,46-65 y.,Direct migration background,Disabled (> 30%),0.15183,137,987,0.12943,0.17423
1992,66 and older,No migration background,Not Disabled (<= 30%),0.72095,946,1291,0.69648,0.74543
1992,66 and older,No migration background,Disabled (> 30%),0.27905,345,1291,0.25457,0.30352
1992,66 and older,Direct migration background,Not Disabled (<= 30%),0.62857,91,134,0.54645,0.71069
1992,66 and older,Direct migration background,Disabled (> 30%),0.37143,43,134,0.28931,0.45355
1994,17-29 y.,No migration background,Not Disabled (<= 30%),0.98568,2342,2378,0.98090,0.99045
1994,17-29 y.,No migration background,Disabled (> 30%),0.01432,36,2378,0.00955,0.01910
1994,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.99334,517,517,0.98631,1.00036
1994,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.98636,429,429,0.97537,0.99735
1994,30-45 y.,No migration background,Not Disabled (<= 30%),0.95533,3256,3390,0.94837,0.96228
1994,30-45 y.,No migration background,Disabled (> 30%),0.04467,134,3390,0.03772,0.05163
1994,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.96997,684,684,0.95717,0.98277
1994,30-45 y.,Indirect migration background,Not Disabled (<= 30%),0.92268,40,40,0.83885,1.00651
1994,46-65 y.,No migration background,Not Disabled (<= 30%),0.84008,2492,2902,0.82674,0.85342
1994,46-65 y.,No migration background,Disabled (> 30%),0.15992,410,2902,0.14658,0.17326
1994,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.85048,810,947,0.82776,0.87321
1994,46-65 y.,Direct migration background,Disabled (> 30%),0.14952,137,947,0.12679,0.17224
1994,66 and older,No migration background,Not Disabled (<= 30%),0.73865,978,1309,0.71484,0.76246
1994,66 and older,No migration background,Disabled (> 30%),0.26135,331,1309,0.23754,0.28516
1994,66 and older,Direct migration background,Not Disabled (<= 30%),0.59993,109,169,0.52585,0.67401
1994,66 and older,Direct migration background,Disabled (> 30%),0.40007,60,169,0.32599,0.47415
1995,17-29 y.,No migration background,Not Disabled (<= 30%),0.98456,2262,2298,0.97952,0.98960
1995,17-29 y.,No migration background,Disabled (> 30%),0.01544,36,2298,0.01040,0.02048
1995,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.99343,598,598,0.98694,0.99991
1995,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.99280,434,434,0.98483,1.00076
1995,30-45 y.,No migration background,Not Disabled (<= 30%),0.95583,3306,3449,0.94898,0.96269
1995,30-45 y.,No migration background,Disabled (> 30%),0.04417,143,3449,0.03731,0.05102
1995,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.97205,890,890,0.96122,0.98289
1995,30-45 y.,Indirect migration background,Not Disabled (<= 30%),0.91787,44,44,0.83581,0.99994
1995,46-65 y.,No migration background,Not Disabled (<= 30%),0.82609,2436,2868,0.81222,0.83996
1995,46-65 y.,No migration background,Disabled (> 30%),0.17391,432,2868,0.16004,0.18778
1995,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.86357,878,1023,0.84252,0.88461
1995,46-65 y.,Direct migration background,Disabled (> 30%),0.13643,145,1023,0.11539,0.15748
1995,66 and older,No migration background,Not Disabled (<= 30%),0.70630,931,1294,0.68147,0.73112
1995,66 and older,No migration background,Disabled (> 30%),0.29370,363,1294,0.26888,0.31853
1995,66 and older,Direct migration background,Not Disabled (<= 30%),0.61729,147,210,0.55139,0.68319
1995,66 and older,Direct migration background,Disabled (> 30%),0.38271,63,210,0.31681,0.44861
1996,17-29 y.,No migration background,Not Disabled (<= 30%),0.98738,2132,2132,0.98264,0.99212
1996,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.98169,528,528,0.97025,0.99314
1996,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.99051,455,455,0.98159,0.99943
1996,30-45 y.,No migration background,Not Disabled (<= 30%),0.95397,3364,3510,0.94704,0.96091
1996,30-45 y.,No migration background,Disabled (> 30%),0.04603,146,3510,0.03909,0.05296
1996,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.97640,829,829,0.96606,0.98674
1996,30-45 y.,Indirect migration background,Not Disabled (<= 30%),0.92936,61,61,0.86453,0.99419
1996,46-65 y.,No migration background,Not Disabled (<= 30%),0.82333,2439,2888,0.80942,0.83724
1996,46-65 y.,No migration background,Disabled (> 30%),0.17667,449,2888,0.16276,0.19058
1996,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.85494,838,979,0.83287,0.87701
1996,46-65 y.,Direct migration background,Disabled (> 30%),0.14506,141,979,0.12299,0.16713
1996,66 and older,No migration background,Not Disabled (<= 30%),0.71295,953,1309,0.68843,0.73747
1996,66 and older,No migration background,Disabled (> 30%),0.28705,356,1309,0.26253,0.31157
1996,66 and older,Direct migration background,Not Disabled (<= 30%),0.62461,154,225,0.56120,0.68802
1996,66 and older,Direct migration background,Disabled (> 30%),0.37539,71,225,0.31198,0.43880
1997,17-29 y.,No migration background,Not Disabled (<= 30%),0.98339,2038,2070,0.97788,0.98890
1997,17-29 y.,No migration background,Disabled (> 30%),0.01661,32,2070,0.01110,0.02212
1997,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.99259,473,473,0.98486,1.00033
1997,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.99075,467,467,0.98207,0.99944
1997,30-45 y.,No migration background,Not Disabled (<= 30%),0.95569,3315,3459,0.94883,0.96255
1997,30-45 y.,No migration background,Disabled (> 30%),0.04431,144,3459,0.03745,0.05117
1997,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.97511,801,801,0.96431,0.98590
1997,30-45 y.,Indirect migration background,Not Disabled (<= 30%),0.91798,65,65,0.85075,0.98521
1997,46-65 y.,No migration background,Not Disabled (<= 30%),0.82049,2421,2875,0.80646,0.83452
1997,46-65 y.,No migration background,Disabled (> 30%),0.17951,454,2875,0.16548,0.19354
1997,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.86627,800,933,0.84441,0.88812
1997,46-65 y.,Direct migration background,Disabled (> 30%),0.13373,133,933,0.11188,0.15559
1997,66 and older,No migration background,Not Disabled (<= 30%),0.72438,992,1335,0.70041,0.74836
1997,66 and older,No migration background,Disabled (> 30%),0.27562,343,1335,0.25164,0.29959
1997,66 and older,Direct migration background,Not Disabled (<= 30%),0.66501,166,232,0.60414,0.72587
1997,66 and older,Direct migration background,Disabled (> 30%),0.33499,66,232,0.27413,0.39586
1998,17-29 y.,No migration background,Not Disabled (<= 30%),0.98367,2207,2244,0.97842,0.98891
1998,17-29 y.,No migration background,Disabled (> 30%),0.01633,37,2244,0.01109,0.02158
1998,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.98959,430,430,0.97999,0.99920
1998,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.99116,476,476,0.98274,0.99958
1998,30-45 y.,No migration background,Not Disabled (<= 30%),0.96212,3802,3947,0.95616,0.96807
1998,30-45 y.,No migration background,Disabled (> 30%),0.03788,145,3947,0.03193,0.04384
1998,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.97697,765,765,0.96633,0.98761
1998,30-45 y.,Indirect migration background,Not Disabled (<= 30%),0.95152,84,84,0.90531,0.99773
1998,46-65 y.,No migration background,Not Disabled (<= 30%),0.82301,2853,3415,0.81020,0.83581
1998,46-65 y.,No migration background,Disabled (> 30%),0.17699,562,3415,0.16419,0.18980
1998,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.86799,794,926,0.84617,0.88980
1998,46-65 y.,Direct migration background,Disabled (> 30%),0.13201,132,926,0.11020,0.15383
1998,66 and older,No migration background,Not Disabled (<= 30%),0.71107,1171,1598,0.68884,0.73330
1998,66 and older,No migration background,Disabled (> 30%),0.28893,427,1598,0.26670,0.31116
1998,66 and older,Direct migration background,Not Disabled (<= 30%),0.66949,177,247,0.61070,0.72827
1998,66 and older,Direct migration background,Disabled (> 30%),0.33051,70,247,0.27173,0.38930
1999,17-29 y.,No migration background,Not Disabled (<= 30%),0.98415,2084,2119,0.97883,0.98947
1999,17-29 y.,No migration background,Disabled (> 30%),0.01585,35,2119,0.01053,0.02117
1999,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.98861,364,364,0.97770,0.99953
1999,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.98674,474,474,0.97643,0.99705
1999,30-45 y.,No migration background,Not Disabled (<= 30%),0.96336,3726,3872,0.95745,0.96928
1999,30-45 y.,No migration background,Disabled (> 30%),0.03664,146,3872,0.03072,0.04255
1999,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.97972,725,725,0.96945,0.98999
1999,30-45 y.,Indirect migration background,Not Disabled (<= 30%),0.98131,94,94,0.95378,1.00883
1999,46-65 y.,No migration background,Not Disabled (<= 30%),0.81901,2758,3315,0.80591,0.83212
1999,46-65 y.,No migration background,Disabled (> 30%),0.18099,557,3315,0.16788,0.19409
1999,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.87319,721,845,0.85074,0.89564
1999,46-65 y.,Direct migration background,Disabled (> 30%),0.12681,124,845,0.10436,0.14926
1999,66 and older,No migration background,Not Disabled (<= 30%),0.70063,1125,1540,0.67775,0.72351
1999,66 and older,No migration background,Disabled (> 30%),0.29937,415,1540,0.27649,0.32225
1999,66 and older,Direct migration background,Not Disabled (<= 30%),0.65200,176,247,0.59247,0.71152
1999,66 and older,Direct migration background,Disabled (> 30%),0.34800,71,247,0.28848,0.40753
2000,17-29 y.,No migration background,Not Disabled (<= 30%),0.98372,3313,3366,0.97944,0.98799
2000,17-29 y.,No migration background,Disabled (> 30%),0.01628,53,3366,0.01201,0.02056
2000,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.99097,587,587,0.98330,0.99863
2000,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.98673,604,604,0.97760,0.99586
2000,30-45 y.,No migration background,Not Disabled (<= 30%),0.96233,6577,6822,0.95782,0.96685
2000,30-45 y.,No migration background,Disabled (> 30%),0.03767,245,6822,0.03315,0.04218
2000,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.97869,1150,1150,0.97034,0.98704
2000,30-45 y.,Indirect migration background,Not Disabled (<= 30%),0.98204,154,154,0.96099,1.00308
2000,46-65 y.,No migration background,Not Disabled (<= 30%),0.83079,5451,6532,0.82169,0.83988
2000,46-65 y.,No migration background,Disabled (> 30%),0.16921,1081,6532,0.16012,0.17831
2000,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.88639,1031,1180,0.86827,0.90450
2000,46-65 y.,Direct migration background,Disabled (> 30%),0.11361,149,1180,0.09550,0.13173
2000,66 and older,No migration background,Not Disabled (<= 30%),0.75481,2470,3216,0.73994,0.76968
2000,66 and older,No migration background,Disabled (> 30%),0.24519,746,3216,0.23032,0.26006
2000,66 and older,Direct migration background,Not Disabled (<= 30%),0.71386,261,353,0.66665,0.76108
2000,66 and older,Direct migration background,Disabled (> 30%),0.28614,92,353,0.23892,0.33335
2001,17-29 y.,No migration background,Not Disabled (<= 30%),0.98815,3014,3053,0.98431,0.99199
2001,17-29 y.,No migration background,Disabled (> 30%),0.01185,39,3053,0.00801,0.01569
2001,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.99081,492,492,0.98237,0.99925
2001,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.97647,535,535,0.96361,0.98932
2001,30-45 y.,No migration background,Not Disabled (<= 30%),0.96199,5893,6110,0.95719,0.96678
2001,30-45 y.,No migration background,Disabled (> 30%),0.03801,217,6110,0.03322,0.04281
2001,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.97315,1013,1013,0.96318,0.98311
2001,30-45 y.,Indirect migration background,Not Disabled (<= 30%),0.97542,160,160,0.95135,0.99949
2001,46-65 y.,No migration background,Not Disabled (<= 30%),0.83107,5027,5997,0.82159,0.84056
2001,46-65 y.,No migration background,Disabled (> 30%),0.16893,970,5997,0.15944,0.17841
2001,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.86488,898,1043,0.84413,0.88564
2001,46-65 y.,Direct migration background,Disabled (> 30%),0.13512,145,1043,0.11436,0.15587
2001,66 and older,No migration background,Not Disabled (<= 30%),0.75999,2336,3028,0.74477,0.77520
2001,66 and older,No migration background,Disabled (> 30%),0.24001,692,3028,0.22480,0.25523
2001,66 and older,Direct migration background,Not Disabled (<= 30%),0.78022,264,334,0.73575,0.82470
2001,66 and older,Direct migration background,Disabled (> 30%),0.21978,70,334,0.17530,0.26425
2002,17-29 y.,No migration background,Not Disabled (<= 30%),0.98008,3123,3174,0.97522,0.98494
2002,17-29 y.,No migration background,Disabled (> 30%),0.01992,51,3174,0.01506,0.02478
2002,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.98946,435,435,0.97985,0.99907
2002,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.98234,515,515,0.97095,0.99373
2002,30-45 y.,No migration background,Not Disabled (<= 30%),0.95824,6051,6277,0.95329,0.96319
2002,30-45 y.,No migration background,Disabled (> 30%),0.04176,226,6277,0.03681,0.04671
2002,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.97500,946,946,0.96505,0.98496
2002,30-45 y.,Indirect migration background,Not Disabled (<= 30%),0.96201,180,180,0.93400,0.99001
2002,46-65 y.,No migration background,Not Disabled (<= 30%),0.81997,5697,6748,0.81081,0.82914
2002,46-65 y.,No migration background,Disabled (> 30%),0.18003,1051,6748,0.17086,0.18919
2002,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.86807,906,1036,0.84745,0.88869
2002,46-65 y.,Direct migration background,Disabled (> 30%),0.13193,130,1036,0.11131,0.15255
2002,46-65 y.,Indirect migration background,Not Disabled (<= 30%),0.82099,34,34,0.69019,0.95179
2002,66 and older,No migration background,Not Disabled (<= 30%),0.74690,2455,3215,0.73187,0.76193
2002,66 and older,No migration background,Disabled (> 30%),0.25310,760,3215,0.23807,0.26813
2002,66 and older,Direct migration background,Not Disabled (<= 30%),0.75965,263,348,0.71469,0.80461
2002,66 and older,Direct migration background,Disabled (> 30%),0.24035,85,348,0.19539,0.28531
2003,17-29 y.,No migration background,Not Disabled (<= 30%),0.98155,3069,3121,0.97682,0.98627
2003,17-29 y.,No migration background,Disabled (> 30%),0.01845,52,3121,0.01373,0.02318
2003,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.98744,374,374,0.97613,0.99874
2003,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.99117,500,500,0.98297,0.99938
2003,30-45 y.,No migration background,Not Disabled (<= 30%),0.96111,5617,5824,0.95614,0.96608
2003,30-45 y.,No migration background,Disabled (> 30%),0.03889,207,5824,0.03392,0.04386
2003,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.96476,866,866,0.95247,0.97705
2003,30-45 y.,Indirect migration background,Not Disabled (<= 30%),0.96693,205,205,0.94238,0.99147
2003,46-65 y.,No migration background,Not Disabled (<= 30%),0.82584,5526,6522,0.81664,0.83505
2003,46-65 y.,No migration background,Disabled (> 30%),0.17416,996,6522,0.16495,0.18336
2003,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.87075,854,987,0.84981,0.89169
2003,46-65 y.,Direct migration background,Disabled (> 30%),0.12925,133,987,0.10831,0.15019
2003,46-65 y.,Indirect migration background,Not Disabled (<= 30%),0.82407,35,35,0.69609,0.95206
2003,66 and older,No migration background,Not Disabled (<= 30%),0.74302,2478,3267,0.72804,0.75801
2003,66 and older,No migration background,Disabled (> 30%),0.25698,789,3267,0.24199,0.27196
2003,66 and older,Direct migration background,Not Disabled (<= 30%),0.78151,281,356,0.73852,0.82450
2003,66 and older,Direct migration background,Disabled (> 30%),0.21849,75,356,0.17550,0.26148
2004,17-29 y.,No migration background,Not Disabled (<= 30%),0.97837,3008,3066,0.97322,0.98352
2004,17-29 y.,No migration background,Disabled (> 30%),0.02163,58,3066,0.01648,0.02678
2004,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.99756,369,369,0.99252,1.00260
2004,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.97998,509,509,0.96781,0.99216
2004,30-45 y.,No migration background,Not Disabled (<= 30%),0.95515,5247,5454,0.94966,0.96065
2004,30-45 y.,No migration background,Disabled (> 30%),0.04485,207,5454,0.03935,0.05034
2004,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.96261,814,846,0.94982,0.97540
2004,30-45 y.,Direct migration background,Disabled (> 30%),0.03739,32,846,0.02460,0.05018
2004,30-45 y.,Indirect migration background,Not Disabled (<= 30%),0.95197,210,210,0.92298,0.98096
2004,46-65 y.,No migration background,Not Disabled (<= 30%),0.82529,5388,6354,0.81595,0.83463
2004,46-65 y.,No migration background,Disabled (> 30%),0.17471,966,6354,0.16537,0.18405
2004,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.85087,816,952,0.82823,0.87351
2004,46-65 y.,Direct migration background,Disabled (> 30%),0.14913,136,952,0.12649,0.17177
2004,46-65 y.,Indirect migration background,Not Disabled (<= 30%),0.86127,40,40,0.75279,0.96976
2004,66 and older,No migration background,Not Disabled (<= 30%),0.73940,2544,3371,0.72458,0.75422
2004,66 and older,No migration background,Disabled (> 30%),0.26060,827,3371,0.24578,0.27542
2004,66 and older,Direct migration background,Not Disabled (<= 30%),0.79767,289,362,0.75623,0.83912
2004,66 and older,Direct migration background,Disabled (> 30%),0.20233,73,362,0.16088,0.24377
2005,17-29 y.,No migration background,Not Disabled (<= 30%),0.98148,2940,2988,0.97665,0.98632
2005,17-29 y.,No migration background,Disabled (> 30%),0.01852,48,2988,0.01368,0.02335
2005,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.99723,312,312,0.99139,1.00307
2005,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.98381,518,518,0.97293,0.99469
2005,30-45 y.,No migration background,Not Disabled (<= 30%),0.95192,4837,5046,0.94601,0.95782
2005,30-45 y.,No migration background,Disabled (> 30%),0.04808,209,5046,0.04218,0.05399
2005,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.95496,763,795,0.94053,0.96938
2005,30-45 y.,Direct migration background,Disabled (> 30%),0.04504,32,795,0.03062,0.05947
2005,30-45 y.,Indirect migration background,Not Disabled (<= 30%),0.96571,231,231,0.94219,0.98923
2005,46-65 y.,No migration background,Not Disabled (<= 30%),0.82683,5126,6065,0.81730,0.83635
2005,46-65 y.,No migration background,Disabled (> 30%),0.17317,939,6065,0.16365,0.18270
2005,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.85862,762,887,0.83568,0.88156
2005,46-65 y.,Direct migration background,Disabled (> 30%),0.14138,125,887,0.11844,0.16432
