year,regtyp,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Rural regions,Not Disabled (<= 30%),0.71819,4109,4484,0.70502,0.73136
1996,Rural regions,Disabled (> 30%),0.09369,375,4484,0.08516,0.10222
1997,Urban regions,Not Disabled (<= 30%),0.71776,7523,8357,0.70811,0.72741
1997,Urban regions,Disabled (> 30%),0.10618,834,8357,0.09957,0.11278
1997,Rural regions,Not Disabled (<= 30%),0.71690,4032,4409,0.70360,0.73020
1997,Rural regions,Disabled (> 30%),0.09349,377,4409,0.08489,0.10208
1998,Urban regions,Not Disabled (<= 30%),0.72161,8296,9270,0.71249,0.73074
1998,Urban regions,Disabled (> 30%),0.10742,974,9270,0.10112,0.11373
1998,Rural regions,Not Disabled (<= 30%),0.71900,4483,4921,0.70644,0.73156
1998,Rural regions,Disabled (> 30%),0.09194,438,4921,0.08387,0.10002
1999,Urban regions,Not Disabled (<= 30%),0.71998,7933,8882,0.71064,0.72932
1999,Urban regions,Disabled (> 30%),0.11115,949,8882,0.10461,0.11769
1999,Rural regions,Not Disabled (<= 30%),0.72149,4332,4768,0.70876,0.73421
1999,Rural regions,Disabled (> 30%),0.09496,436,4768,0.08664,0.10328
2000,Urban regions,Not Disabled (<= 30%),0.72906,14062,15716,0.72211,0.73601
2000,Urban regions,Disabled (> 30%),0.09835,1654,15716,0.09369,0.10300
2000,Rural regions,Not Disabled (<= 30%),0.73484,7570,8338,0.72537,0.74432
2000,Rural regions,Disabled (> 30%),0.08694,768,8338,0.08090,0.09299
2001,Urban regions,Not Disabled (<= 30%),0.72663,12778,14308,0.71933,0.73394
2001,Urban regions,Disabled (> 30%),0.09992,1530,14308,0.09501,0.10484
2001,Rural regions,Not Disabled (<= 30%),0.74227,6891,7556,0.73241,0.75214
2001,Rural regions,Disabled (> 30%),0.08390,665,7556,0.07764,0.09015
2002,Urban regions,Not Disabled (<= 30%),0.72297,13646,15280,0.71587,0.73006
2002,Urban regions,Disabled (> 30%),0.10645,1634,15280,0.10156,0.11134
2002,Rural regions,Not Disabled (<= 30%),0.73414,6970,7697,0.72427,0.74401
2002,Rural regions,Disabled (> 30%),0.09347,727,7697,0.08696,0.09997
2003,Urban regions,Not Disabled (<= 30%),0.72497,13152,14741,0.71776,0.73218
2003,Urban regions,Disabled (> 30%),0.10505,1589,14741,0.10010,0.11000
2003,Rural regions,Not Disabled (<= 30%),0.73853,6664,7386,0.72851,0.74856
2003,Rural regions,Disabled (> 30%),0.09388,722,7386,0.08723,0.10054
2004,Urban regions,Not Disabled (<= 30%),0.72417,12752,14354,0.71686,0.73149
2004,Urban regions,Disabled (> 30%),0.10893,1602,14354,0.10384,0.11403
2004,Rural regions,Not Disabled (<= 30%),0.74010,6491,7221,0.72998,0.75021
2004,Rural regions,Disabled (> 30%),0.09952,730,7221,0.09261,0.10642
2005,Urban regions,Not Disabled (<= 30%),0.73245,12201,13760,0.72506,0.73985
2005,Urban regions,Disabled (> 30%),0.10668,1559,13760,0.10152,0.11184
2005,Rural regions,Not Disabled (<= 30%),0.74057,6169,6900,0.73023,0.75091
2005,Rural regions,Disabled (> 30%),0.10090,731,6900,0.09379,0.10801
2006,Urban regions,Not Disabled (<= 30%),0.72144,12741,14461,0.71413,0.72874
2006,Urban regions,Disabled (> 30%),0.11113,1720,14461,0.10600,0.11625
2006,Rural regions,Not Disabled (<= 30%),0.73096,6651,7461,0.72090,0.74103
2006,Rural regions,Disabled (> 30%),0.09920,810,7461,0.09242,0.10598
2007,Urban regions,Not Disabled (<= 30%),0.71972,11847,13468,0.71213,0.72730
2007,Urban regions,Disabled (> 30%),0.11091,1621,13468,0.10561,0.11621
2007,Rural regions,Not Disabled (<= 30%),0.73839,6233,7004,0.72810,0.74869
2007,Rural regions,Disabled (> 30%),0.10005,771,7004,0.09302,0.10708
2008,Urban regions,Not Disabled (<= 30%),0.72759,11176,12683,0.71984,0.73534
2008,Urban regions,Disabled (> 30%),0.10811,1507,12683,0.10271,0.11352
2008,Rural regions,Not Disabled (<= 30%),0.74137,5857,6596,0.73080,0.75194
2008,Rural regions,Disabled (> 30%),0.10241,739,6596,0.09509,0.10973
2009,Urban regions,Not Disabled (<= 30%),0.73045,10286,11699,0.72241,0.73849
2009,Urban regions,Disabled (> 30%),0.10920,1413,11699,0.10354,0.11485
2009,Rural regions,Not Disabled (<= 30%),0.74599,5561,6281,0.73522,0.75675
2009,Rural regions,Disabled (> 30%),0.10062,720,6281,0.09318,0.10806
2010,Urban regions,Not Disabled (<= 30%),0.73185,14150,15631,0.72491,0.73880
2010,Urban regions,Disabled (> 30%),0.10809,1481,15631,0.10322,0.11296
2010,Rural regions,Not Disabled (<= 30%),0.74291,7524,8269,0.73349,0.75233
2010,Rural regions,Disabled (> 30%),0.10292,745,8269,0.09637,0.10947
2011,Urban regions,Not Disabled (<= 30%),0.72870,16345,18193,0.72224,0.73516
2011,Urban regions,Disabled (> 30%),0.10600,1848,18193,0.10152,0.11047
2011,Rural regions,Not Disabled (<= 30%),0.73893,9126,10148,0.73038,0.74748
2011,Rural regions,Disabled (> 30%),0.10326,1022,10148,0.09734,0.10918
2012,Urban regions,Not Disabled (<= 30%),0.72611,15607,17504,0.71950,0.73271
2012,Urban regions,Disabled (> 30%),0.10903,1897,17504,0.10441,0.11365
2012,Rural regions,Not Disabled (<= 30%),0.73489,8982,10085,0.72628,0.74351
2012,Rural regions,Disabled (> 30%),0.11080,1103,10085,0.10467,0.11692
2013,Urban regions,Not Disabled (<= 30%),0.72766,18167,20143,0.72151,0.73381
2013,Urban regions,Disabled (> 30%),0.10979,1976,20143,0.10547,0.11410
2013,Rural regions,Not Disabled (<= 30%),0.73739,9371,10435,0.72894,0.74583
2013,Rural regions,Disabled (> 30%),0.10887,1064,10435,0.10289,0.11485
2014,Urban regions,Not Disabled (<= 30%),0.72294,15754,17628,0.71634,0.72955
2014,Urban regions,Disabled (> 30%),0.11345,1874,17628,0.10877,0.11814
2014,Rural regions,Not Disabled (<= 30%),0.73171,8323,9406,0.72275,0.74066
2014,Rural regions,Disabled (> 30%),0.11922,1083,9406,0.11267,0.12577
2015,Urban regions,Not Disabled (<= 30%),0.72921,15730,17466,0.72262,0.73580
2015,Urban regions,Disabled (> 30%),0.11104,1736,17466,0.10638,0.11570
2015,Rural regions,Not Disabled (<= 30%),0.73410,8276,9269,0.72511,0.74310
2015,Rural regions,Disabled (> 30%),0.11203,993,9269,0.10561,0.11845
2016,Urban regions,Not Disabled (<= 30%),0.72371,14118,15748,0.71672,0.73069
2016,Urban regions,Disabled (> 30%),0.10960,1630,15748,0.10472,0.11448
2016,Rural regions,Not Disabled (<= 30%),0.72728,7544,8482,0.71780,0.73676
2016,Rural regions,Disabled (> 30%),0.11189,938,8482,0.10518,0.11860
2017,Urban regions,Not Disabled (<= 30%),0.72238,15353,17144,0.71567,0.72908
2017,Urban regions,Disabled (> 30%),0.10694,1791,17144,0.10232,0.11157
2017,Rural regions,Not Disabled (<= 30%),0.72839,8313,9347,0.71937,0.73741
2017,Rural regions,Disabled (> 30%),0.10856,1034,9347,0.10225,0.11486
2018,Urban regions,Not Disabled (<= 30%),0.72753,14814,16659,0.72077,0.73429
2018,Urban regions,Disabled (> 30%),0.10686,1845,16659,0.10217,0.11155
2018,Rural regions,Not Disabled (<= 30%),0.72423,7871,8930,0.71496,0.73350
2018,Rural regions,Disabled (> 30%),0.11286,1059,8930,0.10630,0.11943
2019,Urban regions,Not Disabled (<= 30%),0.72383,14648,16356,0.71698,0.73068
2019,Urban regions,Disabled (> 30%),0.10333,1708,16356,0.09867,0.10800
2019,Rural regions,Not Disabled (<= 30%),0.71814,7761,8763,0.70872,0.72757
2019,Rural regions,Disabled (> 30%),0.11282,1002,8763,0.10619,0.11944
2020,Urban regions,Not Disabled (<= 30%),0.72766,17318,19040,0.72133,0.73398
2020,Urban regions,Disabled (> 30%),0.10365,1722,19040,0.09932,0.10798
2020,Rural regions,Not Disabled (<= 30%),0.71320,8333,9318,0.70401,0.72238
2020,Rural regions,Disabled (> 30%),0.11646,985,9318,0.10994,0.12297
2021,Urban regions,Not Disabled (<= 30%),0.71961,11785,13059,0.71190,0.72731
2021,Urban regions,Disabled (> 30%),0.10608,1274,13059,0.10080,0.11136
2021,Rural regions,Not Disabled (<= 30%),0.71736,5485,6169,0.70612,0.72860
2021,Rural regions,Disabled (> 30%),0.11487,684,6169,0.10691,0.12282
2022,Urban regions,Not Disabled (<= 30%),0.72738,17549,19103,0.72107,0.73370
2022,Urban regions,Disabled (> 30%),0.09710,1554,19103,0.09290,0.10130
2022,Rural regions,Not Disabled (<= 30%),0.71929,7844,8789,0.70990,0.72869
2022,Rural regions,Disabled (> 30%),0.11381,945,8789,0.10717,0.12045
