year,regtyp,sampreg,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Urban regions,West,Not Disabled (<= 30%),0.87838,12364,13869,0.87294,0.88382
2000,Urban regions,West,Disabled (> 30%),0.12162,1505,13869,0.11618,0.12706
2000,Urban regions,East,Not Disabled (<= 30%),0.90910,1698,1847,0.89598,0.92221
2000,Urban regions,East,Disabled (> 30%),0.09090,149,1847,0.07779,0.10402
2000,Rural regions,West,Not Disabled (<= 30%),0.88437,3920,4355,0.87487,0.89387
2000,Rural regions,West,Disabled (> 30%),0.11563,435,4355,0.10613,0.12513
2000,Rural regions,East,Not Disabled (<= 30%),0.90839,3650,3983,0.89943,0.91735
2000,Rural regions,East,Disabled (> 30%),0.09161,333,3983,0.08265,0.10057
2001,Urban regions,West,Not Disabled (<= 30%),0.87656,11184,12566,0.87081,0.88231
2001,Urban regions,West,Disabled (> 30%),0.12344,1382,12566,0.11769,0.12919
2001,Urban regions,East,Not Disabled (<= 30%),0.90460,1594,1742,0.89080,0.91840
2001,Urban regions,East,Disabled (> 30%),0.09540,148,1742,0.08160,0.10920
2001,Rural regions,West,Not Disabled (<= 30%),0.88707,3517,3893,0.87712,0.89701
2001,Rural regions,West,Disabled (> 30%),0.11293,376,3893,0.10299,0.12288
2001,Rural regions,East,Not Disabled (<= 30%),0.91549,3374,3663,0.90648,0.92450
2001,Rural regions,East,Disabled (> 30%),0.08451,289,3663,0.07550,0.09352
2002,Urban regions,West,Not Disabled (<= 30%),0.86909,12033,13511,0.86340,0.87478
2002,Urban regions,West,Disabled (> 30%),0.13091,1478,13511,0.12522,0.13660
2002,Urban regions,East,Not Disabled (<= 30%),0.89730,1613,1769,0.88315,0.91145
2002,Urban regions,East,Disabled (> 30%),0.10270,156,1769,0.08855,0.11685
2002,Rural regions,West,Not Disabled (<= 30%),0.88040,3660,4060,0.87042,0.89038
2002,Rural regions,West,Disabled (> 30%),0.11960,400,4060,0.10962,0.12958
2002,Rural regions,East,Not Disabled (<= 30%),0.89710,3310,3637,0.88723,0.90698
2002,Rural regions,East,Disabled (> 30%),0.10290,327,3637,0.09302,0.11277
2003,Urban regions,West,Not Disabled (<= 30%),0.87081,11548,12980,0.86503,0.87658
2003,Urban regions,West,Disabled (> 30%),0.12919,1432,12980,0.12342,0.13497
2003,Urban regions,East,Not Disabled (<= 30%),0.90018,1604,1761,0.88618,0.91419
2003,Urban regions,East,Disabled (> 30%),0.09982,157,1761,0.08581,0.11382
2003,Rural regions,West,Not Disabled (<= 30%),0.88034,3425,3820,0.87005,0.89063
2003,Rural regions,West,Disabled (> 30%),0.11966,395,3820,0.10937,0.12995
2003,Rural regions,East,Not Disabled (<= 30%),0.89748,3239,3566,0.88752,0.90744
2003,Rural regions,East,Disabled (> 30%),0.10252,327,3566,0.09256,0.11248
2004,Urban regions,West,Not Disabled (<= 30%),0.86685,11157,12593,0.86091,0.87278
2004,Urban regions,West,Disabled (> 30%),0.13315,1436,12593,0.12722,0.13909
2004,Urban regions,East,Not Disabled (<= 30%),0.89266,1595,1761,0.87819,0.90712
2004,Urban regions,East,Disabled (> 30%),0.10734,166,1761,0.09288,0.12181
2004,Rural regions,West,Not Disabled (<= 30%),0.87362,3370,3774,0.86302,0.88422
2004,Rural regions,West,Disabled (> 30%),0.12638,404,3774,0.11578,0.13698
2004,Rural regions,East,Not Disabled (<= 30%),0.89380,3121,3447,0.88351,0.90409
2004,Rural regions,East,Disabled (> 30%),0.10620,326,3447,0.09591,0.11649
2005,Urban regions,West,Not Disabled (<= 30%),0.87157,10666,12057,0.86560,0.87754
2005,Urban regions,West,Disabled (> 30%),0.12843,1391,12057,0.12246,0.13440
2005,Urban regions,East,Not Disabled (<= 30%),0.88529,1535,1703,0.87015,0.90043
2005,Urban regions,East,Disabled (> 30%),0.11471,168,1703,0.09957,0.12985
2005,Rural regions,West,Not Disabled (<= 30%),0.87508,3181,3578,0.86424,0.88592
2005,Rural regions,West,Disabled (> 30%),0.12492,397,3578,0.11408,0.13576
2005,Rural regions,East,Not Disabled (<= 30%),0.88806,2988,3322,0.87733,0.89878
2005,Rural regions,East,Disabled (> 30%),0.11194,334,3322,0.10122,0.12267
2006,Urban regions,West,Not Disabled (<= 30%),0.86638,11182,12720,0.86047,0.87230
2006,Urban regions,West,Disabled (> 30%),0.13362,1538,12720,0.12770,0.13953
2006,Urban regions,East,Not Disabled (<= 30%),0.86790,1559,1741,0.85199,0.88381
2006,Urban regions,East,Disabled (> 30%),0.13210,182,1741,0.11619,0.14801
2006,Rural regions,West,Not Disabled (<= 30%),0.87531,3498,3943,0.86500,0.88563
2006,Rural regions,West,Disabled (> 30%),0.12469,445,3943,0.11437,0.13500
2006,Rural regions,East,Not Disabled (<= 30%),0.88871,3153,3518,0.87832,0.89911
2006,Rural regions,East,Disabled (> 30%),0.11129,365,3518,0.10089,0.12168
2007,Urban regions,West,Not Disabled (<= 30%),0.86525,10343,11799,0.85909,0.87141
2007,Urban regions,West,Disabled (> 30%),0.13475,1456,11799,0.12859,0.14091
2007,Urban regions,East,Not Disabled (<= 30%),0.87808,1504,1669,0.86238,0.89378
2007,Urban regions,East,Disabled (> 30%),0.12192,165,1669,0.10622,0.13762
2007,Rural regions,West,Not Disabled (<= 30%),0.87543,3256,3674,0.86475,0.88611
2007,Rural regions,West,Disabled (> 30%),0.12457,418,3674,0.11389,0.13525
2007,Rural regions,East,Not Disabled (<= 30%),0.88887,2977,3330,0.87819,0.89955
2007,Rural regions,East,Disabled (> 30%),0.11113,353,3330,0.10045,0.12181
2008,Urban regions,West,Not Disabled (<= 30%),0.86879,9726,11069,0.86250,0.87508
2008,Urban regions,West,Disabled (> 30%),0.13121,1343,11069,0.12492,0.13750
2008,Urban regions,East,Not Disabled (<= 30%),0.88818,1450,1614,0.87280,0.90356
2008,Urban regions,East,Disabled (> 30%),0.11182,164,1614,0.09644,0.12720
2008,Rural regions,West,Not Disabled (<= 30%),0.87278,3041,3454,0.86166,0.88389
2008,Rural regions,West,Disabled (> 30%),0.12722,413,3454,0.11611,0.13834
2008,Rural regions,East,Not Disabled (<= 30%),0.88817,2816,3142,0.87715,0.89919
2008,Rural regions,East,Disabled (> 30%),0.11183,326,3142,0.10081,0.12285
2009,Urban regions,West,Not Disabled (<= 30%),0.86831,8920,10168,0.86174,0.87489
2009,Urban regions,West,Disabled (> 30%),0.13169,1248,10168,0.12511,0.13826
2009,Urban regions,East,Not Disabled (<= 30%),0.88515,1366,1531,0.86917,0.90113
2009,Urban regions,East,Disabled (> 30%),0.11485,165,1531,0.09887,0.13083
2009,Rural regions,West,Not Disabled (<= 30%),0.87192,2877,3279,0.86048,0.88336
2009,Rural regions,West,Disabled (> 30%),0.12808,402,3279,0.11664,0.13952
2009,Rural regions,East,Not Disabled (<= 30%),0.89633,2684,3002,0.88542,0.90724
2009,Rural regions,East,Disabled (> 30%),0.10367,318,3002,0.09276,0.11458
2010,Urban regions,West,Not Disabled (<= 30%),0.86999,12424,13737,0.86437,0.87562
2010,Urban regions,West,Disabled (> 30%),0.13001,1313,13737,0.12438,0.13563
2010,Urban regions,East,Not Disabled (<= 30%),0.88380,1726,1894,0.86936,0.89823
2010,Urban regions,East,Disabled (> 30%),0.11620,168,1894,0.10177,0.13064
2010,Rural regions,West,Not Disabled (<= 30%),0.87545,4301,4714,0.86602,0.88488
2010,Rural regions,West,Disabled (> 30%),0.12455,413,4714,0.11512,0.13398
2010,Rural regions,East,Not Disabled (<= 30%),0.88321,3223,3555,0.87265,0.89377
2010,Rural regions,East,Disabled (> 30%),0.11679,332,3555,0.10623,0.12735
2011,Urban regions,West,Not Disabled (<= 30%),0.87177,14390,16019,0.86659,0.87695
2011,Urban regions,West,Disabled (> 30%),0.12823,1629,16019,0.12305,0.13341
2011,Urban regions,East,Not Disabled (<= 30%),0.88495,1955,2174,0.87153,0.89837
2011,Urban regions,East,Disabled (> 30%),0.11505,219,2174,0.10163,0.12847
2011,Rural regions,West,Not Disabled (<= 30%),0.87674,5423,6021,0.86843,0.88504
2011,Rural regions,West,Disabled (> 30%),0.12326,598,6021,0.11496,0.13157
2011,Rural regions,East,Not Disabled (<= 30%),0.87853,3703,4127,0.86857,0.88850
2011,Rural regions,East,Disabled (> 30%),0.12147,424,4127,0.11150,0.13143
2012,Urban regions,West,Not Disabled (<= 30%),0.86936,13756,15415,0.86404,0.87468
2012,Urban regions,West,Disabled (> 30%),0.13064,1659,15415,0.12532,0.13596
2012,Urban regions,East,Not Disabled (<= 30%),0.87030,1851,2089,0.85589,0.88471
2012,Urban regions,East,Disabled (> 30%),0.12970,238,2089,0.11529,0.14411
2012,Rural regions,West,Not Disabled (<= 30%),0.87052,5367,6013,0.86204,0.87901
2012,Rural regions,West,Disabled (> 30%),0.12948,646,6013,0.12099,0.13796
2012,Rural regions,East,Not Disabled (<= 30%),0.86619,3615,4072,0.85573,0.87665
2012,Rural regions,East,Disabled (> 30%),0.13381,457,4072,0.12335,0.14427
2013,Urban regions,West,Not Disabled (<= 30%),0.86880,16278,18023,0.86387,0.87373
2013,Urban regions,West,Disabled (> 30%),0.13120,1745,18023,0.12627,0.13613
2013,Urban regions,East,Not Disabled (<= 30%),0.86995,1889,2120,0.85563,0.88428
2013,Urban regions,East,Disabled (> 30%),0.13005,231,2120,0.11572,0.14437
2013,Rural regions,West,Not Disabled (<= 30%),0.87064,5816,6457,0.86245,0.87882
2013,Rural regions,West,Disabled (> 30%),0.12936,641,6457,0.12118,0.13755
2013,Rural regions,East,Not Disabled (<= 30%),0.87261,3555,3978,0.86224,0.88297
2013,Rural regions,East,Disabled (> 30%),0.12739,423,3978,0.11703,0.13776
2014,Urban regions,West,Not Disabled (<= 30%),0.86406,14047,15698,0.85869,0.86942
2014,Urban regions,West,Disabled (> 30%),0.13594,1651,15698,0.13058,0.14131
2014,Urban regions,East,Not Disabled (<= 30%),0.86728,1707,1930,0.85214,0.88242
2014,Urban regions,East,Disabled (> 30%),0.13272,223,1930,0.11758,0.14786
2014,Rural regions,West,Not Disabled (<= 30%),0.85905,5111,5765,0.85006,0.86803
2014,Rural regions,West,Disabled (> 30%),0.14095,654,5765,0.13197,0.14994
2014,Rural regions,East,Not Disabled (<= 30%),0.86143,3212,3641,0.85021,0.87266
2014,Rural regions,East,Disabled (> 30%),0.13857,429,3641,0.12734,0.14979
2015,Urban regions,West,Not Disabled (<= 30%),0.86692,14022,15551,0.86158,0.87225
2015,Urban regions,West,Disabled (> 30%),0.13308,1529,15551,0.12775,0.13842
2015,Urban regions,East,Not Disabled (<= 30%),0.87685,1708,1915,0.86213,0.89157
2015,Urban regions,East,Disabled (> 30%),0.12315,207,1915,0.10843,0.13787
2015,Rural regions,West,Not Disabled (<= 30%),0.86799,5182,5786,0.85927,0.87671
2015,Rural regions,West,Disabled (> 30%),0.13201,604,5786,0.12329,0.14073
2015,Rural regions,East,Not Disabled (<= 30%),0.86688,3094,3483,0.85560,0.87816
2015,Rural regions,East,Disabled (> 30%),0.13312,389,3483,0.12184,0.14440
2016,Urban regions,West,Not Disabled (<= 30%),0.86666,12545,13987,0.86102,0.87229
2016,Urban regions,West,Disabled (> 30%),0.13334,1442,13987,0.12771,0.13898
2016,Urban regions,East,Not Disabled (<= 30%),0.88627,1573,1761,0.87144,0.90111
2016,Urban regions,East,Disabled (> 30%),0.11373,188,1761,0.09889,0.12856
2016,Rural regions,West,Not Disabled (<= 30%),0.86701,4656,5222,0.85780,0.87622
2016,Rural regions,West,Disabled (> 30%),0.13299,566,5222,0.12378,0.14220
2016,Rural regions,East,Not Disabled (<= 30%),0.86603,2888,3260,0.85433,0.87772
2016,Rural regions,East,Disabled (> 30%),0.13397,372,3260,0.12228,0.14567
2017,Urban regions,West,Not Disabled (<= 30%),0.86981,13619,15199,0.86446,0.87516
2017,Urban regions,West,Disabled (> 30%),0.13019,1580,15199,0.12484,0.13554
2017,Urban regions,East,Not Disabled (<= 30%),0.88318,1734,1945,0.86890,0.89746
2017,Urban regions,East,Disabled (> 30%),0.11682,211,1945,0.10254,0.13110
2017,Rural regions,West,Not Disabled (<= 30%),0.86845,5087,5717,0.85969,0.87722
2017,Rural regions,West,Disabled (> 30%),0.13155,630,5717,0.12278,0.14031
2017,Rural regions,East,Not Disabled (<= 30%),0.87373,3226,3630,0.86292,0.88453
2017,Rural regions,East,Disabled (> 30%),0.12627,404,3630,0.11547,0.13708
2018,Urban regions,West,Not Disabled (<= 30%),0.87172,13119,14744,0.86632,0.87712
2018,Urban regions,West,Disabled (> 30%),0.12828,1625,14744,0.12288,0.13368
2018,Urban regions,East,Not Disabled (<= 30%),0.87405,1695,1915,0.85918,0.88891
2018,Urban regions,East,Disabled (> 30%),0.12595,220,1915,0.11109,0.14082
2018,Rural regions,West,Not Disabled (<= 30%),0.86040,4736,5376,0.85113,0.86966
2018,Rural regions,West,Disabled (> 30%),0.13960,640,5376,0.13034,0.14887
2018,Rural regions,East,Not Disabled (<= 30%),0.87415,3135,3554,0.86324,0.88506
2018,Rural regions,East,Disabled (> 30%),0.12585,419,3554,0.11494,0.13676
2019,No answer / don't know,Does not apply,Not Disabled (<= 30%),0.86045,65,65,0.77555,0.94535
2019,No answer / don't know,West,Not Disabled (<= 30%),0.86725,337,404,0.83412,0.90038
2019,No answer / don't know,West,Disabled (> 30%),0.13275,67,404,0.09962,0.16588
2019,No answer / don't know,East,Not Disabled (<= 30%),0.87383,61,61,0.78981,0.95784
2019,Urban regions,West,Not Disabled (<= 30%),0.87552,12972,14461,0.87014,0.88090
2019,Urban regions,West,Disabled (> 30%),0.12448,1489,14461,0.11910,0.12986
2019,Urban regions,East,Not Disabled (<= 30%),0.87053,1676,1895,0.85541,0.88565
2019,Urban regions,East,Disabled (> 30%),0.12947,219,1895,0.11435,0.14459
2019,Rural regions,West,Not Disabled (<= 30%),0.86153,4606,5198,0.85213,0.87092
2019,Rural regions,West,Disabled (> 30%),0.13847,592,5198,0.12908,0.14787
2019,Rural regions,East,Not Disabled (<= 30%),0.86919,3155,3565,0.85812,0.88026
2019,Rural regions,East,Disabled (> 30%),0.13081,410,3565,0.11974,0.14188
2020,Urban regions,West,Not Disabled (<= 30%),0.87551,15427,16933,0.87054,0.88049
2020,Urban regions,West,Disabled (> 30%),0.12449,1506,16933,0.11951,0.12946
2020,Urban regions,East,Not Disabled (<= 30%),0.87342,1891,2107,0.85922,0.88762
2020,Urban regions,East,Disabled (> 30%),0.12658,216,2107,0.11238,0.14078
2020,Rural regions,West,Not Disabled (<= 30%),0.85929,5151,5729,0.85029,0.86830
2020,Rural regions,West,Disabled (> 30%),0.14071,578,5729,0.13170,0.14971
2020,Rural regions,East,Not Disabled (<= 30%),0.86026,3182,3589,0.84892,0.87161
2020,Rural regions,East,Disabled (> 30%),0.13974,407,3589,0.12839,0.15108
2021,Urban regions,West,Not Disabled (<= 30%),0.87117,10435,11553,0.86507,0.87728
2021,Urban regions,West,Disabled (> 30%),0.12883,1118,11553,0.12272,0.13493
2021,Urban regions,East,Not Disabled (<= 30%),0.87519,1350,1506,0.85849,0.89189
2021,Urban regions,East,Disabled (> 30%),0.12481,156,1506,0.10811,0.14151
2021,Rural regions,West,Not Disabled (<= 30%),0.86326,3410,3821,0.85236,0.87415
2021,Rural regions,West,Disabled (> 30%),0.13674,411,3821,0.12585,0.14764
2021,Rural regions,East,Not Disabled (<= 30%),0.85953,2075,2348,0.84548,0.87359
2021,Rural regions,East,Disabled (> 30%),0.14047,273,2348,0.12641,0.15452
2022,Urban regions,West,Not Disabled (<= 30%),0.88091,15423,16802,0.87601,0.88581
2022,Urban regions,West,Disabled (> 30%),0.11909,1379,16802,0.11419,0.12399
2022,Urban regions,East,Not Disabled (<= 30%),0.89484,2126,2301,0.88231,0.90738
2022,Urban regions,East,Disabled (> 30%),0.10516,175,2301,0.09262,0.11769
2022,Rural regions,West,Not Disabled (<= 30%),0.86671,4690,5244,0.85751,0.87591
2022,Rural regions,West,Disabled (> 30%),0.13329,554,5244,0.12409,0.14249
2022,Rural regions,East,Not Disabled (<= 30%),0.85646,3154,3545,0.84491,0.86800
2022,Rural regions,East,Disabled (> 30%),0.14354,391,3545,0.13200,0.15509
