year,bula_h,quintil_oecd,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,Not Disabled (<= 30%),0.89025,186,186,0.84520,0.93529
1984,"Rhineland-Palatinate, Saarland",3rd Quintile,Not Disabled (<= 30%),0.90303,170,170,0.85842,0.94765
1984,"Rhineland-Palatinate, Saarland",4th Quintile,Not Disabled (<= 30%),0.90752,148,148,0.86068,0.95435
1984,"Rhineland-Palatinate, Saarland",5th Quintile,Not Disabled (<= 30%),0.94594,121,121,0.90548,0.98640
1984,Baden-Wuerttemberg,1st Quintile,Not Disabled (<= 30%),0.91080,362,362,0.88139,0.94020
1984,Baden-Wuerttemberg,2nd Quintile,Not Disabled (<= 30%),0.91704,443,443,0.89133,0.94276
1984,Baden-Wuerttemberg,3rd Quintile,Not Disabled (<= 30%),0.92267,430,430,0.89739,0.94794
1984,Baden-Wuerttemberg,4th Quintile,Not Disabled (<= 30%),0.91977,459,494,0.89580,0.94375
1984,Baden-Wuerttemberg,4th Quintile,Disabled (> 30%),0.08023,35,494,0.05625,0.10420
1984,Baden-Wuerttemberg,5th Quintile,Not Disabled (<= 30%),0.90641,408,441,0.87919,0.93362
1984,Baden-Wuerttemberg,5th Quintile,Disabled (> 30%),0.09359,33,441,0.06638,0.12081
1984,Bavaria,1st Quintile,Not Disabled (<= 30%),0.89451,354,386,0.86382,0.92519
1984,Bavaria,1st Quintile,Disabled (> 30%),0.10549,32,386,0.07481,0.13618
1984,Bavaria,2nd Quintile,Not Disabled (<= 30%),0.88028,373,412,0.84890,0.91167
1984,Bavaria,2nd Quintile,Disabled (> 30%),0.11972,39,412,0.08833,0.15110
1984,Bavaria,3rd Quintile,Not Disabled (<= 30%),0.90650,402,434,0.87908,0.93392
1984,Bavaria,3rd Quintile,Disabled (> 30%),0.09350,32,434,0.06608,0.12092
1984,Bavaria,4th Quintile,Not Disabled (<= 30%),0.88763,380,416,0.85724,0.91801
1984,Bavaria,4th Quintile,Disabled (> 30%),0.11237,36,416,0.08199,0.14276
1984,Bavaria,5th Quintile,Not Disabled (<= 30%),0.90977,395,430,0.88266,0.93689
1984,Bavaria,5th Quintile,Disabled (> 30%),0.09023,35,430,0.06311,0.11734
1984,Berlin,1st Quintile,Not Disabled (<= 30%),0.80177,52,52,0.69236,0.91119
1984,Berlin,2nd Quintile,Not Disabled (<= 30%),0.97380,50,50,0.92908,1.01852
1984,Berlin,3rd Quintile,Not Disabled (<= 30%),0.80648,93,93,0.72576,0.88721
1984,Berlin,4th Quintile,Not Disabled (<= 30%),0.83082,69,69,0.74171,0.91993
1984,Berlin,5th Quintile,Not Disabled (<= 30%),0.80622,89,89,0.72364,0.88881
1985,Schleswig-Holstein,1st Quintile,Not Disabled (<= 30%),0.89003,68,68,0.81511,0.96494
1985,Schleswig-Holstein,2nd Quintile,Not Disabled (<= 30%),0.90855,70,70,0.84053,0.97656
1985,Schleswig-Holstein,3rd Quintile,Not Disabled (<= 30%),0.88866,53,53,0.80316,0.97415
1985,Schleswig-Holstein,4th Quintile,Not Disabled (<= 30%),0.94119,67,67,0.88444,0.99795
1985,Schleswig-Holstein,5th Quintile,Not Disabled (<= 30%),0.91631,65,65,0.84846,0.98415
1985,Hamburg,1st Quintile,Not Disabled (<= 30%),0.90172,48,48,0.81661,0.98683
1985,Hamburg,2nd Quintile,Not Disabled (<= 30%),0.86971,34,34,0.75485,0.98456
1985,Hamburg,3rd Quintile,Not Disabled (<= 30%),0.97400,57,57,0.93232,1.01568
1985,Hamburg,4th Quintile,Not Disabled (<= 30%),0.96856,55,55,0.92202,1.01510
1985,Hamburg,5th Quintile,Not Disabled (<= 30%),0.90945,67,67,0.84021,0.97868
1985,Lower Saxony,1st Quintile,Not Disabled (<= 30%),0.89575,215,215,0.85480,0.93669
1985,Lower Saxony,2nd Quintile,Not Disabled (<= 30%),0.86255,167,167,0.81017,0.91493
1985,Lower Saxony,3rd Quintile,Not Disabled (<= 30%),0.88269,211,211,0.83916,0.92621
1985,Lower Saxony,4th Quintile,Not Disabled (<= 30%),0.94793,183,183,0.91565,0.98021
1985,Lower Saxony,5th Quintile,Not Disabled (<= 30%),0.90500,225,225,0.86660,0.94340
1985,North Rhine-Westphalia,1st Quintile,Not Disabled (<= 30%),0.85422,611,675,0.82758,0.88086
1985,North Rhine-Westphalia,1st Quintile,Disabled (> 30%),0.14578,64,675,0.11914,0.17242
1985,North Rhine-Westphalia,2nd Quintile,Not Disabled (<= 30%),0.87272,566,621,0.84648,0.89895
1985,North Rhine-Westphalia,2nd Quintile,Disabled (> 30%),0.12728,55,621,0.10105,0.15352
1985,North Rhine-Westphalia,3rd Quintile,Not Disabled (<= 30%),0.86336,465,520,0.83381,0.89291
1985,North Rhine-Westphalia,3rd Quintile,Disabled (> 30%),0.13664,55,520,0.10709,0.16619
1985,North Rhine-Westphalia,4th Quintile,Not Disabled (<= 30%),0.88470,541,599,0.85910,0.91030
1985,North Rhine-Westphalia,4th Quintile,Disabled (> 30%),0.11530,58,599,0.08970,0.14090
1985,North Rhine-Westphalia,5th Quintile,Not Disabled (<= 30%),0.85723,476,538,0.82764,0.88682
1985,North Rhine-Westphalia,5th Quintile,Disabled (> 30%),0.14277,62,538,0.11318,0.17236
1985,Hesse,1st Quintile,Not Disabled (<= 30%),0.90102,241,241,0.86324,0.93880
1985,Hesse,2nd Quintile,Not Disabled (<= 30%),0.83194,179,179,0.77700,0.88687
1985,Hesse,3rd Quintile,Not Disabled (<= 30%),0.84923,179,179,0.79666,0.90180
1985,Hesse,4th Quintile,Not Disabled (<= 30%),0.93795,226,226,0.90643,0.96947
1985,Hesse,5th Quintile,Not Disabled (<= 30%),0.92736,213,213,0.89243,0.96230
1985,"Rhineland-Palatinate, Saarland",1st Quintile,Not Disabled (<= 30%),0.89554,157,157,0.84754,0.94354
1985,"Rhineland-Palatinate, Saarland",2nd Quintile,Not Disabled (<= 30%),0.85024,114,114,0.78445,0.91603
1985,"Rhineland-Palatinate, Saarland",3rd Quintile,Not Disabled (<= 30%),0.92408,174,174,0.88461,0.96355
1985,"Rhineland-Palatinate, Saarland",4th Quintile,Not Disabled (<= 30%),0.91143,146,146,0.86519,0.95768
1985,"Rhineland-Palatinate, Saarland",5th Quintile,Not Disabled (<= 30%),0.89305,113,113,0.83582,0.95029
1985,Baden-Wuerttemberg,1st Quintile,Not Disabled (<= 30%),0.91228,364,364,0.88318,0.94138
1985,Baden-Wuerttemberg,2nd Quintile,Not Disabled (<= 30%),0.92828,384,384,0.90244,0.95412
1985,Baden-Wuerttemberg,3rd Quintile,Not Disabled (<= 30%),0.90387,440,440,0.87630,0.93144
1985,Baden-Wuerttemberg,4th Quintile,Not Disabled (<= 30%),0.92362,392,392,0.89729,0.94995
1985,Baden-Wuerttemberg,5th Quintile,Not Disabled (<= 30%),0.92058,331,331,0.89141,0.94976
1985,Bavaria,1st Quintile,Not Disabled (<= 30%),0.87454,267,267,0.83474,0.91435
1985,Bavaria,2nd Quintile,Not Disabled (<= 30%),0.89298,370,406,0.86287,0.92309
1985,Bavaria,2nd Quintile,Disabled (> 30%),0.10702,36,406,0.07691,0.13713
1985,Bavaria,3rd Quintile,Not Disabled (<= 30%),0.89456,340,340,0.86187,0.92726
1985,Bavaria,4th Quintile,Not Disabled (<= 30%),0.89722,350,350,0.86537,0.92908
1985,Bavaria,5th Quintile,Not Disabled (<= 30%),0.91121,407,440,0.88460,0.93782
1985,Bavaria,5th Quintile,Disabled (> 30%),0.08879,33,440,0.06218,0.11540
1985,Berlin,1st Quintile,Not Disabled (<= 30%),0.81610,59,59,0.71640,0.91580
1985,Berlin,2nd Quintile,Not Disabled (<= 30%),0.79249,52,52,0.68119,0.90379
1985,Berlin,3rd Quintile,Not Disabled (<= 30%),0.89234,63,63,0.81519,0.96949
1985,Berlin,4th Quintile,Not Disabled (<= 30%),0.89432,66,66,0.81958,0.96906
1985,Berlin,5th Quintile,Not Disabled (<= 30%),0.80767,78,78,0.71964,0.89571
1987,Schleswig-Holstein,1st Quintile,Not Disabled (<= 30%),0.87005,61,61,0.78496,0.95513
1987,Schleswig-Holstein,2nd Quintile,Not Disabled (<= 30%),0.86361,61,61,0.77676,0.95045
1987,Schleswig-Holstein,3rd Quintile,Not Disabled (<= 30%),0.86467,58,58,0.77587,0.95348
1987,Schleswig-Holstein,4th Quintile,Not Disabled (<= 30%),0.92820,48,48,0.85440,1.00201
1987,Schleswig-Holstein,5th Quintile,Not Disabled (<= 30%),0.90706,66,66,0.83647,0.97765
1987,Hamburg,1st Quintile,Not Disabled (<= 30%),0.79515,40,40,0.66849,0.92182
1987,Hamburg,2nd Quintile,Not Disabled (<= 30%),0.92391,34,34,0.83344,1.01437
1987,Hamburg,4th Quintile,Not Disabled (<= 30%),0.94605,45,45,0.87930,1.01281
1987,Hamburg,5th Quintile,Not Disabled (<= 30%),0.95507,57,57,0.90081,1.00933
1987,Lower Saxony,1st Quintile,Not Disabled (<= 30%),0.80721,207,243,0.75751,0.85692
1987,Lower Saxony,1st Quintile,Disabled (> 30%),0.19279,36,243,0.14308,0.24249
1987,Lower Saxony,2nd Quintile,Not Disabled (<= 30%),0.91534,186,186,0.87523,0.95545
1987,Lower Saxony,3rd Quintile,Not Disabled (<= 30%),0.89459,196,196,0.85148,0.93769
1987,Lower Saxony,4th Quintile,Not Disabled (<= 30%),0.90853,206,206,0.86906,0.94799
1987,Lower Saxony,5th Quintile,Not Disabled (<= 30%),0.90208,196,196,0.86036,0.94379
1987,North Rhine-Westphalia,1st Quintile,Not Disabled (<= 30%),0.83733,557,625,0.80837,0.86629
1987,North Rhine-Westphalia,1st Quintile,Disabled (> 30%),0.16267,68,625,0.13371,0.19163
1987,North Rhine-Westphalia,2nd Quintile,Not Disabled (<= 30%),0.86248,528,584,0.83452,0.89043
1987,North Rhine-Westphalia,2nd Quintile,Disabled (> 30%),0.13752,56,584,0.10957,0.16548
1987,North Rhine-Westphalia,3rd Quintile,Not Disabled (<= 30%),0.87096,486,539,0.84263,0.89929
1987,North Rhine-Westphalia,3rd Quintile,Disabled (> 30%),0.12904,53,539,0.10071,0.15737
1987,North Rhine-Westphalia,4th Quintile,Not Disabled (<= 30%),0.87903,458,508,0.85065,0.90742
1987,North Rhine-Westphalia,4th Quintile,Disabled (> 30%),0.12097,50,508,0.09258,0.14935
1987,North Rhine-Westphalia,5th Quintile,Not Disabled (<= 30%),0.88531,503,560,0.85889,0.91172
1987,North Rhine-Westphalia,5th Quintile,Disabled (> 30%),0.11469,57,560,0.08828,0.14111
1987,Hesse,1st Quintile,Not Disabled (<= 30%),0.86010,204,204,0.81238,0.90782
1987,Hesse,2nd Quintile,Not Disabled (<= 30%),0.86139,172,172,0.80960,0.91318
1987,Hesse,3rd Quintile,Not Disabled (<= 30%),0.91703,166,166,0.87494,0.95912
1987,Hesse,4th Quintile,Not Disabled (<= 30%),0.93397,233,233,0.90202,0.96593
1987,Hesse,5th Quintile,Not Disabled (<= 30%),0.91006,197,197,0.87001,0.95011
1987,"Rhineland-Palatinate, Saarland",1st Quintile,Not Disabled (<= 30%),0.90487,137,137,0.85556,0.95418
1987,"Rhineland-Palatinate, Saarland",2nd Quintile,Not Disabled (<= 30%),0.85369,139,139,0.79473,0.91266
1987,"Rhineland-Palatinate, Saarland",3rd Quintile,Not Disabled (<= 30%),0.92282,159,159,0.88121,0.96443
1987,"Rhineland-Palatinate, Saarland",4th Quintile,Not Disabled (<= 30%),0.90587,143,143,0.85784,0.95390
1987,"Rhineland-Palatinate, Saarland",5th Quintile,Not Disabled (<= 30%),0.90704,121,121,0.85509,0.95900
1987,Baden-Wuerttemberg,1st Quintile,Not Disabled (<= 30%),0.92720,282,282,0.89683,0.95758
1987,Baden-Wuerttemberg,2nd Quintile,Not Disabled (<= 30%),0.91118,393,393,0.88301,0.93934
1987,Baden-Wuerttemberg,3rd Quintile,Not Disabled (<= 30%),0.91142,388,388,0.88311,0.93973
1987,Baden-Wuerttemberg,4th Quintile,Not Disabled (<= 30%),0.89104,414,453,0.86231,0.91977
1987,Baden-Wuerttemberg,4th Quintile,Disabled (> 30%),0.10896,39,453,0.08023,0.13769
1987,Baden-Wuerttemberg,5th Quintile,Not Disabled (<= 30%),0.93150,347,347,0.90489,0.95812
1987,Bavaria,1st Quintile,Not Disabled (<= 30%),0.89263,259,259,0.85485,0.93041
1987,Bavaria,2nd Quintile,Not Disabled (<= 30%),0.90544,315,315,0.87307,0.93780
1987,Bavaria,3rd Quintile,Not Disabled (<= 30%),0.90566,345,345,0.87478,0.93655
1987,Bavaria,4th Quintile,Not Disabled (<= 30%),0.91109,326,326,0.88015,0.94204
1987,Bavaria,5th Quintile,Not Disabled (<= 30%),0.91288,348,348,0.88321,0.94256
1987,Berlin,1st Quintile,Not Disabled (<= 30%),0.95774,49,49,0.90082,1.01465
1987,Berlin,2nd Quintile,Not Disabled (<= 30%),0.90641,52,52,0.82647,0.98635
1987,Berlin,3rd Quintile,Not Disabled (<= 30%),0.83403,75,75,0.74926,0.91880
1987,Berlin,4th Quintile,Not Disabled (<= 30%),0.79050,73,73,0.69650,0.88450
1987,Berlin,5th Quintile,Not Disabled (<= 30%),0.80854,62,62,0.70980,0.90727
1988,Schleswig-Holstein,1st Quintile,Not Disabled (<= 30%),0.82451,53,53,0.72112,0.92790
1988,Schleswig-Holstein,2nd Quintile,Not Disabled (<= 30%),0.79939,57,57,0.69451,0.90428
1988,Schleswig-Holstein,3rd Quintile,Not Disabled (<= 30%),0.92420,65,65,0.85935,0.98904
1988,Schleswig-Holstein,4th Quintile,Not Disabled (<= 30%),0.87139,54,54,0.78126,0.96152
1988,Schleswig-Holstein,5th Quintile,Not Disabled (<= 30%),0.91585,56,56,0.84247,0.98922
1988,Hamburg,1st Quintile,Not Disabled (<= 30%),0.82978,36,36,0.70527,0.95429
1988,Hamburg,3rd Quintile,Not Disabled (<= 30%),0.89909,40,40,0.80455,0.99362
1988,Hamburg,4th Quintile,Not Disabled (<= 30%),0.97595,36,36,0.92520,1.02671
1988,Hamburg,5th Quintile,Not Disabled (<= 30%),0.94175,47,47,0.87406,1.00943
1988,Lower Saxony,1st Quintile,Not Disabled (<= 30%),0.84037,184,184,0.78731,0.89344
1988,Lower Saxony,2nd Quintile,Not Disabled (<= 30%),0.89684,183,183,0.85265,0.94103
1988,Lower Saxony,3rd Quintile,Not Disabled (<= 30%),0.90140,163,163,0.85549,0.94731
1988,Lower Saxony,4th Quintile,Not Disabled (<= 30%),0.91167,220,220,0.87409,0.94925
1988,Lower Saxony,5th Quintile,Not Disabled (<= 30%),0.91804,195,195,0.87943,0.95664
1988,North Rhine-Westphalia,1st Quintile,Not Disabled (<= 30%),0.80386,548,630,0.77283,0.83489
1988,North Rhine-Westphalia,1st Quintile,Disabled (> 30%),0.19614,82,630,0.16511,0.22717
1988,North Rhine-Westphalia,2nd Quintile,Not Disabled (<= 30%),0.85432,495,548,0.82475,0.88388
1988,North Rhine-Westphalia,2nd Quintile,Disabled (> 30%),0.14568,53,548,0.11612,0.17525
1988,North Rhine-Westphalia,3rd Quintile,Not Disabled (<= 30%),0.82971,415,482,0.79611,0.86330
1988,North Rhine-Westphalia,3rd Quintile,Disabled (> 30%),0.17029,67,482,0.13670,0.20389
1988,North Rhine-Westphalia,4th Quintile,Not Disabled (<= 30%),0.88359,452,499,0.85542,0.91176
1988,North Rhine-Westphalia,4th Quintile,Disabled (> 30%),0.11641,47,499,0.08824,0.14458
1988,North Rhine-Westphalia,5th Quintile,Not Disabled (<= 30%),0.89012,471,522,0.86327,0.91698
1988,North Rhine-Westphalia,5th Quintile,Disabled (> 30%),0.10988,51,522,0.08302,0.13673
1988,Hesse,1st Quintile,Not Disabled (<= 30%),0.83575,180,180,0.78147,0.89003
1988,Hesse,2nd Quintile,Not Disabled (<= 30%),0.84437,179,179,0.79111,0.89762
1988,Hesse,3rd Quintile,Not Disabled (<= 30%),0.90218,147,147,0.85399,0.95037
1988,Hesse,4th Quintile,Not Disabled (<= 30%),0.87455,231,231,0.83175,0.91736
1988,Hesse,5th Quintile,Not Disabled (<= 30%),0.90821,168,168,0.86442,0.95200
1988,"Rhineland-Palatinate, Saarland",1st Quintile,Not Disabled (<= 30%),0.81878,136,136,0.75380,0.88376
1988,"Rhineland-Palatinate, Saarland",2nd Quintile,Not Disabled (<= 30%),0.83838,111,111,0.76958,0.90717
1988,"Rhineland-Palatinate, Saarland",3rd Quintile,Not Disabled (<= 30%),0.90652,163,163,0.86169,0.95135
1988,"Rhineland-Palatinate, Saarland",4th Quintile,Not Disabled (<= 30%),0.86597,132,132,0.80763,0.92431
1988,"Rhineland-Palatinate, Saarland",5th Quintile,Not Disabled (<= 30%),0.86399,109,109,0.79934,0.92864
1988,Baden-Wuerttemberg,1st Quintile,Not Disabled (<= 30%),0.90375,289,289,0.86968,0.93781
1988,Baden-Wuerttemberg,2nd Quintile,Not Disabled (<= 30%),0.92215,389,389,0.89549,0.94881
1988,Baden-Wuerttemberg,3rd Quintile,Not Disabled (<= 30%),0.87027,366,403,0.83742,0.90311
1988,Baden-Wuerttemberg,3rd Quintile,Disabled (> 30%),0.12973,37,403,0.09689,0.16258
1988,Baden-Wuerttemberg,4th Quintile,Not Disabled (<= 30%),0.89922,368,408,0.86997,0.92846
1988,Baden-Wuerttemberg,4th Quintile,Disabled (> 30%),0.10078,40,408,0.07154,0.13003
1988,Baden-Wuerttemberg,5th Quintile,Not Disabled (<= 30%),0.93907,326,326,0.91306,0.96507
1988,Bavaria,1st Quintile,Not Disabled (<= 30%),0.85726,239,239,0.81281,0.90170
1988,Bavaria,2nd Quintile,Not Disabled (<= 30%),0.84524,284,284,0.80310,0.88738
1988,Bavaria,3rd Quintile,Not Disabled (<= 30%),0.92333,356,356,0.89565,0.95101
1988,Bavaria,4th Quintile,Not Disabled (<= 30%),0.90673,316,316,0.87462,0.93885
1988,Bavaria,5th Quintile,Not Disabled (<= 30%),0.92325,319,319,0.89399,0.95251
1988,Berlin,1st Quintile,Not Disabled (<= 30%),0.96240,56,56,0.91212,1.01267
1988,Berlin,2nd Quintile,Not Disabled (<= 30%),0.80579,43,43,0.68615,0.92543
1988,Berlin,3rd Quintile,Not Disabled (<= 30%),0.89135,66,66,0.81569,0.96700
1988,Berlin,4th Quintile,Not Disabled (<= 30%),0.77911,53,53,0.66636,0.89187
1988,Berlin,5th Quintile,Not Disabled (<= 30%),0.81469,70,70,0.72301,0.90637
1989,Schleswig-Holstein,1st Quintile,Not Disabled (<= 30%),0.87651,55,55,0.78877,0.96426
1989,Schleswig-Holstein,2nd Quintile,Not Disabled (<= 30%),0.80322,68,68,0.70802,0.89842
1989,Schleswig-Holstein,3rd Quintile,Not Disabled (<= 30%),0.85491,56,56,0.76183,0.94799
1989,Schleswig-Holstein,4th Quintile,Not Disabled (<= 30%),0.88914,44,44,0.79530,0.98298
1989,Schleswig-Holstein,5th Quintile,Not Disabled (<= 30%),0.85549,43,43,0.74915,0.96183
1989,Hamburg,1st Quintile,Not Disabled (<= 30%),0.84729,36,36,0.72812,0.96646
1989,Hamburg,4th Quintile,Not Disabled (<= 30%),0.91193,38,38,0.82061,1.00325
1989,Hamburg,5th Quintile,Not Disabled (<= 30%),0.93728,49,49,0.86869,1.00587
1989,Lower Saxony,1st Quintile,Not Disabled (<= 30%),0.81490,180,180,0.75800,0.87179
1989,Lower Saxony,2nd Quintile,Not Disabled (<= 30%),0.88771,149,149,0.83684,0.93858
1989,Lower Saxony,3rd Quintile,Not Disabled (<= 30%),0.89936,174,174,0.85453,0.94419
1989,Lower Saxony,4th Quintile,Not Disabled (<= 30%),0.89391,220,220,0.85313,0.93470
1989,Lower Saxony,5th Quintile,Not Disabled (<= 30%),0.91822,171,171,0.87702,0.95941
1989,North Rhine-Westphalia,1st Quintile,Not Disabled (<= 30%),0.81441,526,598,0.78322,0.84560
1989,North Rhine-Westphalia,1st Quintile,Disabled (> 30%),0.18559,72,598,0.15440,0.21678
1989,North Rhine-Westphalia,2nd Quintile,Not Disabled (<= 30%),0.81266,451,513,0.77886,0.84646
1989,North Rhine-Westphalia,2nd Quintile,Disabled (> 30%),0.18734,62,513,0.15354,0.22114
1989,North Rhine-Westphalia,3rd Quintile,Not Disabled (<= 30%),0.84494,454,516,0.81368,0.87621
1989,North Rhine-Westphalia,3rd Quintile,Disabled (> 30%),0.15506,62,516,0.12379,0.18632
1989,North Rhine-Westphalia,4th Quintile,Not Disabled (<= 30%),0.88848,432,478,0.86023,0.91673
1989,North Rhine-Westphalia,4th Quintile,Disabled (> 30%),0.11152,46,478,0.08327,0.13977
1989,North Rhine-Westphalia,5th Quintile,Not Disabled (<= 30%),0.88422,450,500,0.85615,0.91229
1989,North Rhine-Westphalia,5th Quintile,Disabled (> 30%),0.11578,50,500,0.08771,0.14385
1989,Hesse,1st Quintile,Not Disabled (<= 30%),0.85659,200,200,0.80789,0.90528
1989,Hesse,2nd Quintile,Not Disabled (<= 30%),0.87482,162,162,0.82370,0.92594
1989,Hesse,3rd Quintile,Not Disabled (<= 30%),0.88647,177,177,0.83960,0.93334
1989,Hesse,4th Quintile,Not Disabled (<= 30%),0.84424,167,167,0.78908,0.89941
1989,Hesse,5th Quintile,Not Disabled (<= 30%),0.92707,197,197,0.89067,0.96347
1989,"Rhineland-Palatinate, Saarland",1st Quintile,Not Disabled (<= 30%),0.86620,122,122,0.80554,0.92686
1989,"Rhineland-Palatinate, Saarland",2nd Quintile,Not Disabled (<= 30%),0.90630,163,163,0.86142,0.95117
1989,"Rhineland-Palatinate, Saarland",3rd Quintile,Not Disabled (<= 30%),0.89416,132,132,0.84147,0.94684
1989,"Rhineland-Palatinate, Saarland",4th Quintile,Not Disabled (<= 30%),0.87583,116,116,0.81556,0.93610
1989,"Rhineland-Palatinate, Saarland",5th Quintile,Not Disabled (<= 30%),0.83684,85,85,0.75782,0.91586
1989,Baden-Wuerttemberg,1st Quintile,Not Disabled (<= 30%),0.87319,292,292,0.83495,0.91142
1989,Baden-Wuerttemberg,2nd Quintile,Not Disabled (<= 30%),0.92074,370,370,0.89317,0.94830
1989,Baden-Wuerttemberg,3rd Quintile,Not Disabled (<= 30%),0.89626,321,354,0.86445,0.92807
1989,Baden-Wuerttemberg,3rd Quintile,Disabled (> 30%),0.10374,33,354,0.07193,0.13555
1989,Baden-Wuerttemberg,4th Quintile,Not Disabled (<= 30%),0.89514,386,425,0.86598,0.92430
1989,Baden-Wuerttemberg,4th Quintile,Disabled (> 30%),0.10486,39,425,0.07570,0.13402
1989,Baden-Wuerttemberg,5th Quintile,Not Disabled (<= 30%),0.92038,294,294,0.88938,0.95137
1989,Bavaria,1st Quintile,Not Disabled (<= 30%),0.81883,221,252,0.77118,0.86648
1989,Bavaria,1st Quintile,Disabled (> 30%),0.18117,31,252,0.13352,0.22882
1989,Bavaria,2nd Quintile,Not Disabled (<= 30%),0.89782,322,322,0.86468,0.93095
1989,Bavaria,3rd Quintile,Not Disabled (<= 30%),0.90218,282,282,0.86744,0.93691
1989,Bavaria,4th Quintile,Not Disabled (<= 30%),0.88645,324,324,0.85185,0.92105
1989,Bavaria,5th Quintile,Not Disabled (<= 30%),0.91973,331,331,0.89042,0.94905
1989,Berlin,1st Quintile,Not Disabled (<= 30%),0.88201,56,56,0.79675,0.96727
1989,Berlin,2nd Quintile,Not Disabled (<= 30%),0.80840,52,52,0.70039,0.91641
1989,Berlin,3rd Quintile,Not Disabled (<= 30%),0.85636,48,48,0.75608,0.95663
1989,Berlin,4th Quintile,Not Disabled (<= 30%),0.82726,68,68,0.73674,0.91777
1989,Berlin,5th Quintile,Not Disabled (<= 30%),0.82481,57,57,0.72525,0.92437
1991,Schleswig-Holstein,1st Quintile,Not Disabled (<= 30%),0.83046,56,56,0.73129,0.92963
1991,Schleswig-Holstein,2nd Quintile,Not Disabled (<= 30%),0.85708,58,58,0.76622,0.94794
1991,Schleswig-Holstein,3rd Quintile,Not Disabled (<= 30%),0.90377,58,58,0.82721,0.98033
1991,Schleswig-Holstein,4th Quintile,Not Disabled (<= 30%),0.84211,49,49,0.73895,0.94527
1991,Schleswig-Holstein,5th Quintile,Not Disabled (<= 30%),0.93557,39,39,0.85751,1.01363
