year,pgisced97,sampreg,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,First Stage of Tertiary Education,West,Disabled (> 30%),0.14533,69,537,0.11549,0.17516
1988,Second Stage of Tertiary Education,West,Not Disabled (<= 30%),0.90752,647,700,0.88605,0.92900
1988,Second Stage of Tertiary Education,West,Disabled (> 30%),0.09023,53,700,0.06899,0.11147
1989,Pre-primary Level,West,Not Disabled (<= 30%),0.97721,172,172,0.95485,0.99958
1989,Primary Level,West,Not Disabled (<= 30%),0.83562,583,650,0.80711,0.86414
1989,Primary Level,West,Disabled (> 30%),0.15933,67,650,0.13117,0.18749
1989,Lower Secondary Level,West,Not Disabled (<= 30%),0.86739,2331,2557,0.85424,0.88054
1989,Lower Secondary Level,West,Disabled (> 30%),0.12696,226,2557,0.11406,0.13987
1989,Upper Secondary Level,West,Not Disabled (<= 30%),0.86339,4114,4602,0.85346,0.87331
1989,Upper Secondary Level,West,Disabled (> 30%),0.13155,488,4602,0.12178,0.14131
1989,Post-secondary Non-tertiary Level,West,Not Disabled (<= 30%),0.91249,266,266,0.87846,0.94651
1989,First Stage of Tertiary Education,West,Not Disabled (<= 30%),0.85499,449,515,0.82454,0.88543
1989,First Stage of Tertiary Education,West,Disabled (> 30%),0.14501,66,515,0.11457,0.17546
1989,Second Stage of Tertiary Education,West,Not Disabled (<= 30%),0.89964,638,693,0.87725,0.92203
1989,Second Stage of Tertiary Education,West,Disabled (> 30%),0.09202,55,693,0.07049,0.11356
1991,Pre-primary Level,West,Not Disabled (<= 30%),0.96491,146,146,0.93496,0.99486
1991,Primary Level,West,Not Disabled (<= 30%),0.82386,545,616,0.79375,0.85396
1991,Primary Level,West,Disabled (> 30%),0.16821,71,616,0.13864,0.19777
1991,Lower Secondary Level,West,Not Disabled (<= 30%),0.86050,2168,2395,0.84662,0.87438
1991,Lower Secondary Level,West,Disabled (> 30%),0.13448,227,2395,0.12081,0.14814
1991,Upper Secondary Level,West,Not Disabled (<= 30%),0.85787,4038,4532,0.84770,0.86804
1991,Upper Secondary Level,West,Disabled (> 30%),0.13501,494,4532,0.12506,0.14496
1991,Post-secondary Non-tertiary Level,West,Not Disabled (<= 30%),0.88703,277,277,0.84968,0.92438
1991,First Stage of Tertiary Education,West,Not Disabled (<= 30%),0.86118,457,516,0.83132,0.89104
1991,First Stage of Tertiary Education,West,Disabled (> 30%),0.13228,59,516,0.10302,0.16154
1991,Second Stage of Tertiary Education,West,Not Disabled (<= 30%),0.90961,666,723,0.88870,0.93053
1991,Second Stage of Tertiary Education,West,Disabled (> 30%),0.08860,57,723,0.06788,0.10933
1992,Pre-primary Level,West,Not Disabled (<= 30%),0.98726,141,141,0.96867,1.00584
1992,Primary Level,West,Not Disabled (<= 30%),0.80684,525,597,0.77515,0.83854
1992,Primary Level,West,Disabled (> 30%),0.17748,72,597,0.14680,0.20815
1992,Lower Secondary Level,West,Not Disabled (<= 30%),0.85674,2090,2323,0.84249,0.87099
1992,Lower Secondary Level,West,Disabled (> 30%),0.13929,233,2323,0.12520,0.15337
1992,Lower Secondary Level,East,Not Disabled (<= 30%),0.88013,410,410,0.84865,0.91161
1992,Upper Secondary Level,West,Not Disabled (<= 30%),0.85449,3970,4484,0.84417,0.86482
1992,Upper Secondary Level,West,Disabled (> 30%),0.14027,514,4484,0.13011,0.15044
1992,Upper Secondary Level,East,Not Disabled (<= 30%),0.91822,2065,2188,0.90674,0.92971
1992,Upper Secondary Level,East,Disabled (> 30%),0.06479,123,2188,0.05447,0.07510
1992,Post-secondary Non-tertiary Level,West,Not Disabled (<= 30%),0.90232,292,292,0.86821,0.93643
1992,Post-secondary Non-tertiary Level,East,Not Disabled (<= 30%),0.94765,65,65,0.89308,1.00222
1992,First Stage of Tertiary Education,West,Not Disabled (<= 30%),0.85700,467,531,0.82719,0.88680
1992,First Stage of Tertiary Education,West,Disabled (> 30%),0.14169,64,531,0.11200,0.17138
1992,First Stage of Tertiary Education,East,Not Disabled (<= 30%),0.94659,222,222,0.91695,0.97624
1992,Second Stage of Tertiary Education,West,Not Disabled (<= 30%),0.90652,679,736,0.88547,0.92756
1992,Second Stage of Tertiary Education,West,Disabled (> 30%),0.09135,57,736,0.07053,0.11218
1992,Second Stage of Tertiary Education,East,Not Disabled (<= 30%),0.93147,859,907,0.91502,0.94792
1992,Second Stage of Tertiary Education,East,Disabled (> 30%),0.05856,48,907,0.04327,0.07385
1994,Pre-primary Level,West,Not Disabled (<= 30%),0.99761,155,155,0.98989,1.00532
1994,Pre-primary Level,East,Not Disabled (<= 30%),0.98934,84,84,0.96724,1.01143
1994,Primary Level,West,Not Disabled (<= 30%),0.84532,482,543,0.81488,0.87577
1994,Primary Level,West,Disabled (> 30%),0.15309,61,543,0.12278,0.18341
1994,Lower Secondary Level,West,Not Disabled (<= 30%),0.85047,1853,2080,0.83514,0.86580
1994,Lower Secondary Level,West,Disabled (> 30%),0.14403,227,2080,0.12893,0.15912
1994,Lower Secondary Level,East,Not Disabled (<= 30%),0.88009,363,396,0.84806,0.91213
1994,Lower Secondary Level,East,Disabled (> 30%),0.10035,33,396,0.07072,0.12998
1994,Upper Secondary Level,West,Not Disabled (<= 30%),0.86413,3969,4461,0.85407,0.87418
1994,Upper Secondary Level,West,Disabled (> 30%),0.13228,492,4461,0.12234,0.14222
1994,Upper Secondary Level,East,Not Disabled (<= 30%),0.92196,1957,2077,0.91042,0.93350
1994,Upper Secondary Level,East,Disabled (> 30%),0.06957,120,2077,0.05862,0.08051
1994,Post-secondary Non-tertiary Level,West,Not Disabled (<= 30%),0.92002,295,295,0.88902,0.95103
1994,First Stage of Tertiary Education,West,Not Disabled (<= 30%),0.83946,447,514,0.80769,0.87123
1994,First Stage of Tertiary Education,West,Disabled (> 30%),0.15608,67,514,0.12468,0.18749
1994,First Stage of Tertiary Education,East,Not Disabled (<= 30%),0.94267,225,225,0.91223,0.97312
1994,Second Stage of Tertiary Education,West,Not Disabled (<= 30%),0.91503,738,792,0.89560,0.93446
1994,Second Stage of Tertiary Education,West,Disabled (> 30%),0.07906,54,792,0.06025,0.09786
1994,Second Stage of Tertiary Education,East,Not Disabled (<= 30%),0.92292,801,852,0.90500,0.94084
1994,Second Stage of Tertiary Education,East,Disabled (> 30%),0.06831,51,852,0.05136,0.08526
1995,Pre-primary Level,West,Not Disabled (<= 30%),0.97102,187,187,0.94691,0.99513
1995,Primary Level,West,Not Disabled (<= 30%),0.82714,452,518,0.79455,0.85974
1995,Primary Level,West,Disabled (> 30%),0.16681,66,518,0.13468,0.19895
1995,Lower Secondary Level,West,Not Disabled (<= 30%),0.84391,1877,2100,0.82838,0.85944
1995,Lower Secondary Level,West,Disabled (> 30%),0.14777,223,2100,0.13259,0.16296
1995,Lower Secondary Level,East,Not Disabled (<= 30%),0.88630,340,372,0.85400,0.91860
1995,Lower Secondary Level,East,Disabled (> 30%),0.09699,32,372,0.06687,0.12710
1995,Upper Secondary Level,West,Not Disabled (<= 30%),0.84023,4080,4616,0.82966,0.85080
1995,Upper Secondary Level,West,Disabled (> 30%),0.14538,536,4616,0.13521,0.15555
1995,Upper Secondary Level,East,Not Disabled (<= 30%),0.91790,1910,2041,0.90598,0.92981
1995,Upper Secondary Level,East,Disabled (> 30%),0.07550,131,2041,0.06404,0.08697
1995,Post-secondary Non-tertiary Level,West,Not Disabled (<= 30%),0.92736,377,377,0.90113,0.95360
1995,Post-secondary Non-tertiary Level,East,Not Disabled (<= 30%),0.98784,68,68,0.96159,1.01408
1995,First Stage of Tertiary Education,West,Not Disabled (<= 30%),0.83594,454,517,0.80399,0.86789
1995,First Stage of Tertiary Education,West,Disabled (> 30%),0.14987,63,517,0.11907,0.18067
1995,First Stage of Tertiary Education,East,Not Disabled (<= 30%),0.87076,211,211,0.82538,0.91613
1995,Second Stage of Tertiary Education,West,Not Disabled (<= 30%),0.90776,851,915,0.88900,0.92652
1995,Second Stage of Tertiary Education,West,Disabled (> 30%),0.08769,64,915,0.06935,0.10602
1995,Second Stage of Tertiary Education,East,Not Disabled (<= 30%),0.91003,773,829,0.89054,0.92952
1995,Second Stage of Tertiary Education,East,Disabled (> 30%),0.08345,56,829,0.06461,0.10229
1996,Primary Level,West,Not Disabled (<= 30%),0.82020,411,478,0.78574,0.85467
1996,Primary Level,West,Disabled (> 30%),0.17941,67,478,0.14498,0.21384
1996,Lower Secondary Level,West,Not Disabled (<= 30%),0.83869,1778,2010,0.82261,0.85477
1996,Lower Secondary Level,West,Disabled (> 30%),0.15649,232,2010,0.14060,0.17238
1996,Lower Secondary Level,East,Not Disabled (<= 30%),0.87459,327,365,0.84057,0.90861
1996,Lower Secondary Level,East,Disabled (> 30%),0.11789,38,365,0.08476,0.15102
1996,Upper Secondary Level,West,Not Disabled (<= 30%),0.85044,4050,4578,0.84011,0.86077
1996,Upper Secondary Level,West,Disabled (> 30%),0.14713,528,4578,0.13686,0.15739
1996,Upper Secondary Level,East,Not Disabled (<= 30%),0.90807,1872,2015,0.89545,0.92069
1996,Upper Secondary Level,East,Disabled (> 30%),0.08414,143,2015,0.07201,0.09626
1996,Post-secondary Non-tertiary Level,West,Not Disabled (<= 30%),0.92959,374,374,0.90363,0.95556
1996,First Stage of Tertiary Education,West,Not Disabled (<= 30%),0.82568,464,528,0.79328,0.85807
1996,First Stage of Tertiary Education,West,Disabled (> 30%),0.16012,64,528,0.12881,0.19143
1996,First Stage of Tertiary Education,East,Not Disabled (<= 30%),0.89977,213,213,0.85934,0.94019
1996,Second Stage of Tertiary Education,West,Not Disabled (<= 30%),0.91765,865,922,0.89990,0.93541
1996,Second Stage of Tertiary Education,West,Disabled (> 30%),0.07859,57,922,0.06121,0.09597
1996,Second Stage of Tertiary Education,East,Not Disabled (<= 30%),0.91550,782,836,0.89663,0.93436
1996,Second Stage of Tertiary Education,East,Disabled (> 30%),0.08085,54,836,0.06236,0.09934
1997,Pre-primary Level,West,Not Disabled (<= 30%),0.98106,202,202,0.96222,0.99991
1997,Primary Level,West,Not Disabled (<= 30%),0.82828,389,452,0.79348,0.86309
1997,Primary Level,West,Disabled (> 30%),0.16971,63,452,0.13507,0.20436
1997,Lower Secondary Level,West,Not Disabled (<= 30%),0.84366,1749,1973,0.82763,0.85969
1997,Lower Secondary Level,West,Disabled (> 30%),0.15332,224,1973,0.13742,0.16922
1997,Lower Secondary Level,East,Not Disabled (<= 30%),0.86522,308,344,0.82908,0.90136
1997,Lower Secondary Level,East,Disabled (> 30%),0.12003,36,344,0.08563,0.15442
1997,Upper Secondary Level,West,Not Disabled (<= 30%),0.84508,3949,4477,0.83448,0.85568
1997,Upper Secondary Level,West,Disabled (> 30%),0.14832,528,4477,0.13791,0.15873
1997,Upper Secondary Level,East,Not Disabled (<= 30%),0.91052,1829,1968,0.89790,0.92313
1997,Upper Secondary Level,East,Disabled (> 30%),0.08058,139,1968,0.06855,0.09261
1997,Post-secondary Non-tertiary Level,West,Not Disabled (<= 30%),0.92973,356,356,0.90315,0.95632
1997,Post-secondary Non-tertiary Level,East,Not Disabled (<= 30%),0.96216,70,70,0.91715,1.00718
1997,First Stage of Tertiary Education,West,Not Disabled (<= 30%),0.85391,466,521,0.82356,0.88427
1997,First Stage of Tertiary Education,West,Disabled (> 30%),0.14007,55,521,0.11024,0.16990
1997,First Stage of Tertiary Education,East,Not Disabled (<= 30%),0.87851,207,207,0.83390,0.92313
1997,Second Stage of Tertiary Education,West,Not Disabled (<= 30%),0.92410,873,928,0.90705,0.94115
1997,Second Stage of Tertiary Education,West,Disabled (> 30%),0.07393,55,928,0.05708,0.09077
1997,Second Stage of Tertiary Education,East,Not Disabled (<= 30%),0.91839,780,834,0.89980,0.93698
1997,Second Stage of Tertiary Education,East,Disabled (> 30%),0.07819,54,834,0.05996,0.09642
1998,Pre-primary Level,West,Not Disabled (<= 30%),0.97212,218,218,0.95022,0.99402
1998,Pre-primary Level,East,Not Disabled (<= 30%),0.99024,108,108,0.97161,1.00887
1998,Primary Level,West,Not Disabled (<= 30%),0.82113,364,430,0.78487,0.85740
1998,Primary Level,West,Disabled (> 30%),0.17729,66,430,0.14115,0.21343
1998,Lower Secondary Level,West,Not Disabled (<= 30%),0.84802,1902,2163,0.83289,0.86316
1998,Lower Secondary Level,West,Disabled (> 30%),0.15172,261,2163,0.13659,0.16684
1998,Lower Secondary Level,East,Not Disabled (<= 30%),0.88164,333,372,0.84877,0.91451
1998,Lower Secondary Level,East,Disabled (> 30%),0.11283,39,372,0.08064,0.14503
1998,Upper Secondary Level,West,Not Disabled (<= 30%),0.84905,4327,4920,0.83905,0.85906
1998,Upper Secondary Level,West,Disabled (> 30%),0.14847,593,4920,0.13853,0.15840
1998,Upper Secondary Level,East,Not Disabled (<= 30%),0.91229,1928,2075,0.90011,0.92446
1998,Upper Secondary Level,East,Disabled (> 30%),0.07517,147,2075,0.06382,0.08651
1998,Post-secondary Non-tertiary Level,West,Not Disabled (<= 30%),0.92402,409,409,0.89831,0.94973
1998,Post-secondary Non-tertiary Level,East,Not Disabled (<= 30%),0.96593,65,65,0.92148,1.01038
1998,First Stage of Tertiary Education,West,Not Disabled (<= 30%),0.84480,514,581,0.81533,0.87427
1998,First Stage of Tertiary Education,West,Disabled (> 30%),0.15327,67,581,0.12396,0.18259
1998,First Stage of Tertiary Education,East,Not Disabled (<= 30%),0.90413,217,217,0.86487,0.94339
1998,Second Stage of Tertiary Education,West,Not Disabled (<= 30%),0.92338,1035,1100,0.90766,0.93911
1998,Second Stage of Tertiary Education,West,Disabled (> 30%),0.07588,65,1100,0.06023,0.09154
1998,Second Stage of Tertiary Education,East,Not Disabled (<= 30%),0.90407,797,862,0.88440,0.92374
1998,Second Stage of Tertiary Education,East,Disabled (> 30%),0.08642,65,862,0.06765,0.10519
1999,Pre-primary Level,West,Not Disabled (<= 30%),0.97686,208,208,0.95638,0.99734
1999,Primary Level,West,Not Disabled (<= 30%),0.81204,342,411,0.77423,0.84986
1999,Primary Level,West,Disabled (> 30%),0.18796,69,411,0.15014,0.22577
1999,Lower Secondary Level,West,Not Disabled (<= 30%),0.84298,1813,2064,0.82728,0.85868
1999,Lower Secondary Level,West,Disabled (> 30%),0.15473,251,2064,0.13912,0.17033
1999,Lower Secondary Level,East,Not Disabled (<= 30%),0.87933,330,368,0.84601,0.91266
1999,Lower Secondary Level,East,Disabled (> 30%),0.11455,38,368,0.08197,0.14714
1999,Upper Secondary Level,West,Not Disabled (<= 30%),0.84216,4243,4850,0.83190,0.85242
1999,Upper Secondary Level,West,Disabled (> 30%),0.15635,607,4850,0.14613,0.16657
1999,Upper Secondary Level,East,Not Disabled (<= 30%),0.91341,1909,2071,0.90130,0.92553
1999,Upper Secondary Level,East,Disabled (> 30%),0.08450,162,2071,0.07251,0.09648
1999,Post-secondary Non-tertiary Level,West,Not Disabled (<= 30%),0.93093,405,405,0.90620,0.95566
1999,Post-secondary Non-tertiary Level,East,Not Disabled (<= 30%),0.98476,72,72,0.95626,1.01326
1999,First Stage of Tertiary Education,West,Not Disabled (<= 30%),0.85454,508,571,0.82559,0.88348
1999,First Stage of Tertiary Education,West,Disabled (> 30%),0.14546,63,571,0.11652,0.17441
1999,First Stage of Tertiary Education,East,Not Disabled (<= 30%),0.89777,222,222,0.85783,0.93772
1999,Second Stage of Tertiary Education,West,Not Disabled (<= 30%),0.92765,1040,1102,0.91235,0.94296
1999,Second Stage of Tertiary Education,West,Disabled (> 30%),0.07235,62,1102,0.05704,0.08765
1999,Second Stage of Tertiary Education,East,Not Disabled (<= 30%),0.90491,786,854,0.88522,0.92459
1999,Second Stage of Tertiary Education,East,Disabled (> 30%),0.09073,68,854,0.07145,0.11000
2000,Pre-primary Level,West,Not Disabled (<= 30%),0.97203,343,343,0.95455,0.98950
2000,Primary Level,West,Not Disabled (<= 30%),0.84068,322,383,0.80398,0.87739
2000,Primary Level,West,Disabled (> 30%),0.15577,61,383,0.11940,0.19214
2000,Lower Secondary Level,West,Not Disabled (<= 30%),0.86185,2665,3031,0.84956,0.87414
2000,Lower Secondary Level,West,Disabled (> 30%),0.13272,366,3031,0.12064,0.14480
2000,Lower Secondary Level,East,Not Disabled (<= 30%),0.88944,459,508,0.86214,0.91673
2000,Lower Secondary Level,East,Disabled (> 30%),0.10170,49,508,0.07539,0.12802
2000,Upper Secondary Level,West,Not Disabled (<= 30%),0.86396,8394,9532,0.85707,0.87084
2000,Upper Secondary Level,West,Disabled (> 30%),0.13449,1138,9532,0.12765,0.14134
2000,Upper Secondary Level,East,Not Disabled (<= 30%),0.90090,2959,3241,0.89061,0.91118
2000,Upper Secondary Level,East,Disabled (> 30%),0.09516,282,3241,0.08505,0.10526
2000,Post-secondary Non-tertiary Level,West,Not Disabled (<= 30%),0.92858,934,991,0.91254,0.94462
2000,Post-secondary Non-tertiary Level,West,Disabled (> 30%),0.06821,57,991,0.05250,0.08391
2000,Post-secondary Non-tertiary Level,East,Not Disabled (<= 30%),0.98903,122,122,0.97047,1.00759
2000,First Stage of Tertiary Education,West,Not Disabled (<= 30%),0.86228,1226,1371,0.84403,0.88053
2000,First Stage of Tertiary Education,West,Disabled (> 30%),0.13385,145,1371,0.11582,0.15188
2000,First Stage of Tertiary Education,East,Not Disabled (<= 30%),0.89553,457,506,0.86885,0.92221
2000,First Stage of Tertiary Education,East,Disabled (> 30%),0.10447,49,506,0.07779,0.13115
2000,Second Stage of Tertiary Education,West,Not Disabled (<= 30%),0.92842,2366,2526,0.91836,0.93847
2000,Second Stage of Tertiary Education,West,Disabled (> 30%),0.07092,160,2526,0.06091,0.08093
2000,Second Stage of Tertiary Education,East,Not Disabled (<= 30%),0.91027,1189,1288,0.89466,0.92589
2000,Second Stage of Tertiary Education,East,Disabled (> 30%),0.08761,99,1288,0.07216,0.10306
2001,Pre-primary Level,West,Not Disabled (<= 30%),0.99056,381,381,0.98084,1.00028
2001,Primary Level,West,Not Disabled (<= 30%),0.83443,246,296,0.79201,0.87684
2001,Primary Level,West,Disabled (> 30%),0.16144,50,296,0.11945,0.20343
2001,Lower Secondary Level,West,Not Disabled (<= 30%),0.85760,2298,2627,0.84423,0.87097
2001,Lower Secondary Level,West,Disabled (> 30%),0.14002,329,2627,0.12675,0.15330
2001,Lower Secondary Level,East,Not Disabled (<= 30%),0.88637,403,448,0.85695,0.91579
2001,Lower Secondary Level,East,Disabled (> 30%),0.10725,45,448,0.07856,0.13593
2001,Upper Secondary Level,West,Not Disabled (<= 30%),0.86544,7555,8565,0.85821,0.87267
2001,Upper Secondary Level,West,Disabled (> 30%),0.13226,1010,8565,0.12509,0.13944
2001,Upper Secondary Level,East,Not Disabled (<= 30%),0.90722,2734,2975,0.89679,0.91765
2001,Upper Secondary Level,East,Disabled (> 30%),0.08440,241,2975,0.07441,0.09439
2001,Post-secondary Non-tertiary Level,West,Not Disabled (<= 30%),0.91355,879,943,0.89561,0.93150
2001,Post-secondary Non-tertiary Level,West,Disabled (> 30%),0.08301,64,943,0.06539,0.10062
2001,Post-secondary Non-tertiary Level,East,Not Disabled (<= 30%),0.96537,117,117,0.93209,0.99864
2001,First Stage of Tertiary Education,West,Not Disabled (<= 30%),0.85802,1097,1228,0.83849,0.87755
2001,First Stage of Tertiary Education,West,Disabled (> 30%),0.13703,131,1228,0.11779,0.15627
2001,First Stage of Tertiary Education,East,Not Disabled (<= 30%),0.89488,399,442,0.86626,0.92351
2001,First Stage of Tertiary Education,East,Disabled (> 30%),0.10232,43,442,0.07403,0.13060
2001,Second Stage of Tertiary Education,West,Not Disabled (<= 30%),0.92326,2165,2325,0.91244,0.93408
2001,Second Stage of Tertiary Education,West,Disabled (> 30%),0.07504,160,2325,0.06433,0.08575
2001,Second Stage of Tertiary Education,East,Not Disabled (<= 30%),0.90106,1119,1220,0.88430,0.91782
2001,Second Stage of Tertiary Education,East,Disabled (> 30%),0.09616,101,1220,0.07961,0.11271
2002,Pre-primary Level,West,Not Disabled (<= 30%),0.98026,453,453,0.96744,0.99308
2002,Pre-primary Level,East,Not Disabled (<= 30%),0.97068,152,152,0.94377,0.99759
2002,Primary Level,West,Not Disabled (<= 30%),0.83225,225,270,0.78760,0.87690
2002,Primary Level,West,Disabled (> 30%),0.16775,45,270,0.12310,0.21240
2002,Lower Secondary Level,West,Not Disabled (<= 30%),0.84640,2130,2465,0.83216,0.86064
2002,Lower Secondary Level,West,Disabled (> 30%),0.15004,335,2465,0.13594,0.16414
2002,Lower Secondary Level,East,Not Disabled (<= 30%),0.87298,368,419,0.84105,0.90490
2002,Lower Secondary Level,East,Disabled (> 30%),0.12482,51,419,0.09314,0.15651
2002,Upper Secondary Level,West,Not Disabled (<= 30%),0.85461,7616,8691,0.84720,0.86202
2002,Upper Secondary Level,West,Disabled (> 30%),0.14270,1075,8691,0.13535,0.15006
2002,Upper Secondary Level,East,Not Disabled (<= 30%),0.88669,2587,2859,0.87507,0.89832
2002,Upper Secondary Level,East,Disabled (> 30%),0.10516,272,2859,0.09392,0.11641
2002,Post-secondary Non-tertiary Level,West,Not Disabled (<= 30%),0.92458,963,1030,0.90844,0.94071
2002,Post-secondary Non-tertiary Level,West,Disabled (> 30%),0.07542,67,1030,0.05929,0.09156
2002,Post-secondary Non-tertiary Level,East,Not Disabled (<= 30%),0.93208,128,128,0.88832,0.97584
2002,First Stage of Tertiary Education,West,Not Disabled (<= 30%),0.86014,1149,1287,0.84118,0.87910
2002,First Stage of Tertiary Education,West,Disabled (> 30%),0.13735,138,1287,0.11853,0.15616
2002,First Stage of Tertiary Education,East,Not Disabled (<= 30%),0.89480,410,452,0.86648,0.92311
2002,First Stage of Tertiary Education,East,Disabled (> 30%),0.10520,42,452,0.07689,0.13352
2002,Second Stage of Tertiary Education,West,Not Disabled (<= 30%),0.92147,3031,3234,0.91220,0.93074
2002,Second Stage of Tertiary Education,West,Disabled (> 30%),0.07793,203,3234,0.06869,0.08717
2002,Second Stage of Tertiary Education,East,Not Disabled (<= 30%),0.90201,1216,1322,0.88597,0.91804
2002,Second Stage of Tertiary Education,East,Disabled (> 30%),0.09710,106,1322,0.08114,0.11307
2003,Pre-primary Level,West,Not Disabled (<= 30%),0.98340,450,450,0.97158,0.99522
2003,Primary Level,West,Not Disabled (<= 30%),0.81705,210,257,0.76969,0.86441
2003,Primary Level,West,Disabled (> 30%),0.17447,47,257,0.12798,0.22096
2003,Lower Secondary Level,West,Not Disabled (<= 30%),0.84468,1994,2318,0.82993,0.85942
2003,Lower Secondary Level,West,Disabled (> 30%),0.15193,324,2318,0.13732,0.16655
2003,Lower Secondary Level,East,Not Disabled (<= 30%),0.89466,365,408,0.86483,0.92448
2003,Lower Secondary Level,East,Disabled (> 30%),0.10206,43,408,0.07265,0.13147
2003,Upper Secondary Level,West,Not Disabled (<= 30%),0.85987,7275,8286,0.85240,0.86735
2003,Upper Secondary Level,West,Disabled (> 30%),0.13847,1011,8286,0.13103,0.14590
2003,Upper Secondary Level,East,Not Disabled (<= 30%),0.88714,2523,2797,0.87541,0.89887
2003,Upper Secondary Level,East,Disabled (> 30%),0.10463,274,2797,0.09329,0.11598
2003,Post-secondary Non-tertiary Level,West,Not Disabled (<= 30%),0.93080,946,1009,0.91513,0.94647
2003,Post-secondary Non-tertiary Level,West,Disabled (> 30%),0.06810,63,1009,0.05255,0.08365
2003,Post-secondary Non-tertiary Level,East,Not Disabled (<= 30%),0.95467,136,136,0.91958,0.98976
