year,migback,regtyp,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,No migration background,Rural regions,Not Disabled (<= 30%),0.90269,3716,4006,0.89351,0.91187
1992,No migration background,Rural regions,Disabled (> 30%),0.09731,290,4006,0.08813,0.10649
1992,Direct migration background,Urban regions,Not Disabled (<= 30%),0.88473,1950,2133,0.87117,0.89828
1992,Direct migration background,Urban regions,Disabled (> 30%),0.11527,183,2133,0.10172,0.12883
1992,Direct migration background,Rural regions,Not Disabled (<= 30%),0.88160,371,402,0.84997,0.91322
1992,Direct migration background,Rural regions,Disabled (> 30%),0.11840,31,402,0.08678,0.15003
1992,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.94029,333,333,0.91480,0.96578
1994,No migration background,Urban regions,Not Disabled (<= 30%),0.87326,5448,6071,0.86489,0.88163
1994,No migration background,Urban regions,Disabled (> 30%),0.12674,623,6071,0.11837,0.13511
1994,No migration background,Rural regions,Not Disabled (<= 30%),0.90492,3620,3908,0.89572,0.91411
1994,No migration background,Rural regions,Disabled (> 30%),0.09508,288,3908,0.08589,0.10428
1994,Direct migration background,Urban regions,Not Disabled (<= 30%),0.87437,1778,1969,0.85973,0.88902
1994,Direct migration background,Urban regions,Disabled (> 30%),0.12563,191,1969,0.11098,0.14027
1994,Direct migration background,Rural regions,Not Disabled (<= 30%),0.87315,342,376,0.83947,0.90684
1994,Direct migration background,Rural regions,Disabled (> 30%),0.12685,34,376,0.09316,0.16053
1994,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.95559,405,405,0.93550,0.97567
1995,No migration background,Urban regions,Not Disabled (<= 30%),0.86024,5279,5941,0.85142,0.86906
1995,No migration background,Urban regions,Disabled (> 30%),0.13976,662,5941,0.13094,0.14858
1995,No migration background,Rural regions,Not Disabled (<= 30%),0.89317,3656,3968,0.88356,0.90279
1995,No migration background,Rural regions,Disabled (> 30%),0.10683,312,3968,0.09721,0.11644
1995,Direct migration background,Urban regions,Not Disabled (<= 30%),0.89017,2084,2287,0.87735,0.90299
1995,Direct migration background,Urban regions,Disabled (> 30%),0.10983,203,2287,0.09701,0.12265
1995,Direct migration background,Rural regions,Not Disabled (<= 30%),0.88033,429,469,0.85092,0.90974
1995,Direct migration background,Rural regions,Disabled (> 30%),0.11967,40,469,0.09026,0.14908
1995,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.96110,414,414,0.94246,0.97975
1996,No migration background,Urban regions,Not Disabled (<= 30%),0.86235,5275,5927,0.85357,0.87112
1996,No migration background,Urban regions,Disabled (> 30%),0.13765,652,5927,0.12888,0.14643
1996,No migration background,Rural regions,Not Disabled (<= 30%),0.88686,3613,3942,0.87697,0.89675
1996,No migration background,Rural regions,Disabled (> 30%),0.11314,329,3942,0.10325,0.12303
1996,Direct migration background,Urban regions,Not Disabled (<= 30%),0.88840,1942,2136,0.87504,0.90175
1996,Direct migration background,Urban regions,Disabled (> 30%),0.11160,194,2136,0.09825,0.12496
1996,Direct migration background,Rural regions,Not Disabled (<= 30%),0.84619,407,453,0.81294,0.87945
1996,Direct migration background,Rural regions,Disabled (> 30%),0.15381,46,453,0.12055,0.18706
1996,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.96300,441,441,0.94536,0.98063
1997,No migration background,Urban regions,Not Disabled (<= 30%),0.86338,5200,5840,0.85458,0.87219
1997,No migration background,Urban regions,Disabled (> 30%),0.13662,640,5840,0.12781,0.14542
1997,No migration background,Rural regions,Not Disabled (<= 30%),0.88477,3565,3898,0.87475,0.89480
1997,No migration background,Rural regions,Disabled (> 30%),0.11523,333,3898,0.10520,0.12525
1997,Direct migration background,Urban regions,Not Disabled (<= 30%),0.89568,1857,2036,0.88240,0.90896
1997,Direct migration background,Urban regions,Disabled (> 30%),0.10432,179,2036,0.09104,0.11760
1997,Direct migration background,Rural regions,Not Disabled (<= 30%),0.86918,383,426,0.83712,0.90124
1997,Direct migration background,Rural regions,Disabled (> 30%),0.13082,43,426,0.09876,0.16288
1997,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.95252,466,466,0.93319,0.97185
1997,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.98884,84,84,0.96625,1.01144
1998,No migration background,Urban regions,Not Disabled (<= 30%),0.86103,6008,6784,0.85280,0.86927
1998,No migration background,Urban regions,Disabled (> 30%),0.13897,776,6784,0.13073,0.14720
1998,No migration background,Rural regions,Not Disabled (<= 30%),0.88669,4025,4420,0.87734,0.89603
1998,No migration background,Rural regions,Disabled (> 30%),0.11331,395,4420,0.10397,0.12266
1998,Direct migration background,Urban regions,Not Disabled (<= 30%),0.89627,1798,1983,0.88285,0.90970
1998,Direct migration background,Urban regions,Disabled (> 30%),0.10373,185,1983,0.09030,0.11715
1998,Direct migration background,Rural regions,Not Disabled (<= 30%),0.86912,368,409,0.83640,0.90185
1998,Direct migration background,Rural regions,Disabled (> 30%),0.13088,41,409,0.09815,0.16360
1998,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.97789,490,490,0.96486,0.99092
1998,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.98866,90,90,0.96667,1.01066
1999,No migration background,Urban regions,Not Disabled (<= 30%),0.85589,5761,6523,0.84737,0.86441
1999,No migration background,Urban regions,Disabled (> 30%),0.14411,762,6523,0.13559,0.15263
1999,No migration background,Rural regions,Not Disabled (<= 30%),0.88529,3932,4323,0.87578,0.89479
1999,No migration background,Rural regions,Disabled (> 30%),0.11471,391,4323,0.10521,0.12422
1999,Direct migration background,Urban regions,Not Disabled (<= 30%),0.89434,1671,1842,0.88029,0.90838
1999,Direct migration background,Urban regions,Disabled (> 30%),0.10566,171,1842,0.09162,0.11971
1999,Direct migration background,Rural regions,Not Disabled (<= 30%),0.85209,315,358,0.81527,0.88892
1999,Direct migration background,Rural regions,Disabled (> 30%),0.14791,43,358,0.11108,0.18473
1999,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.97480,501,501,0.96106,0.98853
1999,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.95888,85,85,0.91642,1.00134
2000,No migration background,Urban regions,Not Disabled (<= 30%),0.87063,10867,12284,0.86469,0.87656
2000,No migration background,Urban regions,Disabled (> 30%),0.12937,1417,12284,0.12344,0.13531
2000,No migration background,Rural regions,Not Disabled (<= 30%),0.89330,6944,7652,0.88639,0.90022
2000,No migration background,Rural regions,Disabled (> 30%),0.10670,708,7652,0.09978,0.11361
2000,Direct migration background,Urban regions,Not Disabled (<= 30%),0.91559,2511,2726,0.90515,0.92603
2000,Direct migration background,Urban regions,Disabled (> 30%),0.08441,215,2726,0.07397,0.09485
2000,Direct migration background,Rural regions,Not Disabled (<= 30%),0.89453,518,574,0.86938,0.91968
2000,Direct migration background,Rural regions,Disabled (> 30%),0.10547,56,574,0.08032,0.13062
2000,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.97217,684,684,0.95984,0.98451
2000,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.96962,108,108,0.93709,1.00214
2001,No migration background,Urban regions,Not Disabled (<= 30%),0.86925,9941,11243,0.86302,0.87548
2001,No migration background,Urban regions,Disabled (> 30%),0.13075,1302,11243,0.12452,0.13698
2001,No migration background,Rural regions,Not Disabled (<= 30%),0.89704,6329,6945,0.88989,0.90418
2001,No migration background,Rural regions,Disabled (> 30%),0.10296,616,6945,0.09582,0.11011
2001,Direct migration background,Urban regions,Not Disabled (<= 30%),0.91190,2200,2402,0.90056,0.92324
2001,Direct migration background,Urban regions,Disabled (> 30%),0.08810,202,2402,0.07676,0.09944
2001,Direct migration background,Rural regions,Not Disabled (<= 30%),0.91225,467,511,0.88770,0.93681
2001,Direct migration background,Rural regions,Disabled (> 30%),0.08775,44,511,0.06319,0.11230
2001,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.96504,637,637,0.95076,0.97932
2001,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.92866,95,95,0.87663,0.98069
2002,No migration background,Urban regions,Not Disabled (<= 30%),0.86019,10879,12297,0.85406,0.86632
2002,No migration background,Urban regions,Disabled (> 30%),0.13981,1418,12297,0.13368,0.14594
2002,No migration background,Rural regions,Not Disabled (<= 30%),0.88523,6447,7117,0.87782,0.89263
2002,No migration background,Rural regions,Disabled (> 30%),0.11477,670,7117,0.10737,0.12218
2002,Direct migration background,Urban regions,Not Disabled (<= 30%),0.90981,2117,2311,0.89813,0.92149
2002,Direct migration background,Urban regions,Disabled (> 30%),0.09019,194,2311,0.07851,0.10187
2002,Direct migration background,Rural regions,Not Disabled (<= 30%),0.90294,433,483,0.87652,0.92937
2002,Direct migration background,Rural regions,Disabled (> 30%),0.09706,50,483,0.07063,0.12348
2002,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.96610,650,650,0.95217,0.98002
2002,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.93527,90,90,0.88415,0.98639
2003,No migration background,Urban regions,Not Disabled (<= 30%),0.86221,10533,11907,0.85602,0.86840
2003,No migration background,Urban regions,Disabled (> 30%),0.13779,1374,11907,0.13160,0.14398
2003,No migration background,Rural regions,Not Disabled (<= 30%),0.88445,6157,6827,0.87687,0.89204
2003,No migration background,Rural regions,Disabled (> 30%),0.11555,670,6827,0.10796,0.12313
2003,Direct migration background,Urban regions,Not Disabled (<= 30%),0.90680,1964,2158,0.89453,0.91907
2003,Direct migration background,Urban regions,Disabled (> 30%),0.09320,194,2158,0.08093,0.10547
2003,Direct migration background,Rural regions,Not Disabled (<= 30%),0.90767,411,458,0.88113,0.93421
2003,Direct migration background,Rural regions,Disabled (> 30%),0.09233,47,458,0.06579,0.11887
2003,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.97434,655,655,0.96222,0.98646
2003,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.96550,96,96,0.92880,1.00220
2004,No migration background,Urban regions,Not Disabled (<= 30%),0.85759,10196,11579,0.85122,0.86395
2004,No migration background,Urban regions,Disabled (> 30%),0.14241,1383,11579,0.13605,0.14878
2004,No migration background,Rural regions,Not Disabled (<= 30%),0.87892,5991,6666,0.87109,0.88675
2004,No migration background,Rural regions,Disabled (> 30%),0.12108,675,6666,0.11325,0.12891
2004,Direct migration background,Urban regions,Not Disabled (<= 30%),0.90183,1898,2092,0.88907,0.91458
2004,Direct migration background,Urban regions,Disabled (> 30%),0.09817,194,2092,0.08542,0.11093
2004,Direct migration background,Rural regions,Not Disabled (<= 30%),0.90477,390,440,0.87731,0.93223
2004,Direct migration background,Rural regions,Disabled (> 30%),0.09523,50,440,0.06777,0.12269
2004,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.97217,658,658,0.95960,0.98475
2004,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.91518,110,110,0.86288,0.96749
2005,No migration background,Urban regions,Not Disabled (<= 30%),0.86039,9734,11087,0.85394,0.86684
2005,No migration background,Urban regions,Disabled (> 30%),0.13961,1353,11087,0.13316,0.14606
2005,No migration background,Rural regions,Not Disabled (<= 30%),0.87743,5710,6388,0.86939,0.88547
2005,No migration background,Rural regions,Disabled (> 30%),0.12257,678,6388,0.11453,0.13061
2005,Direct migration background,Urban regions,Not Disabled (<= 30%),0.90464,1769,1957,0.89163,0.91766
2005,Direct migration background,Urban regions,Disabled (> 30%),0.09536,188,1957,0.08234,0.10837
2005,Direct migration background,Rural regions,Not Disabled (<= 30%),0.89770,355,404,0.86811,0.92729
2005,Direct migration background,Rural regions,Disabled (> 30%),0.10230,49,404,0.07271,0.13189
2005,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.97451,698,698,0.96281,0.98621
2005,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.94771,104,104,0.90472,0.99070
2006,No migration background,Urban regions,Not Disabled (<= 30%),0.85620,10333,11819,0.84988,0.86253
2006,No migration background,Urban regions,Disabled (> 30%),0.14380,1486,11819,0.13747,0.15012
2006,No migration background,Rural regions,Not Disabled (<= 30%),0.87498,6150,6917,0.86719,0.88278
2006,No migration background,Rural regions,Disabled (> 30%),0.12502,767,6917,0.11722,0.13281
2006,Direct migration background,Urban regions,Not Disabled (<= 30%),0.88529,1736,1949,0.87114,0.89945
2006,Direct migration background,Urban regions,Disabled (> 30%),0.11471,213,1949,0.10055,0.12886
2006,Direct migration background,Rural regions,Not Disabled (<= 30%),0.92169,383,424,0.89608,0.94729
2006,Direct migration background,Rural regions,Disabled (> 30%),0.07831,41,424,0.05271,0.10392
2006,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.97034,672,672,0.95750,0.98317
2006,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.98542,118,118,0.96369,1.00714
2007,No migration background,Urban regions,Not Disabled (<= 30%),0.85574,9664,11077,0.84920,0.86228
2007,No migration background,Urban regions,Disabled (> 30%),0.14426,1413,11077,0.13772,0.15080
2007,No migration background,Rural regions,Not Disabled (<= 30%),0.87544,5772,6500,0.86741,0.88347
2007,No migration background,Rural regions,Disabled (> 30%),0.12456,728,6500,0.11653,0.13259
2007,Direct migration background,Urban regions,Not Disabled (<= 30%),0.88492,1538,1724,0.86985,0.89999
2007,Direct migration background,Urban regions,Disabled (> 30%),0.11508,186,1724,0.10001,0.13015
2007,Direct migration background,Rural regions,Not Disabled (<= 30%),0.92228,352,392,0.89574,0.94881
2007,Direct migration background,Rural regions,Disabled (> 30%),0.07772,40,392,0.05119,0.10426
2007,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.97201,645,645,0.95926,0.98475
2007,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.95371,109,109,0.91409,0.99334
2008,No migration background,Urban regions,Not Disabled (<= 30%),0.86042,9155,10474,0.85378,0.86706
2008,No migration background,Urban regions,Disabled (> 30%),0.13958,1319,10474,0.13294,0.14622
2008,No migration background,Rural regions,Not Disabled (<= 30%),0.87410,5441,6136,0.86580,0.88240
2008,No migration background,Rural regions,Disabled (> 30%),0.12590,695,6136,0.11760,0.13420
2008,Direct migration background,Urban regions,Not Disabled (<= 30%),0.88942,1389,1555,0.87383,0.90501
2008,Direct migration background,Urban regions,Disabled (> 30%),0.11058,166,1555,0.09499,0.12617
2008,Direct migration background,Rural regions,Not Disabled (<= 30%),0.91090,310,348,0.88093,0.94088
2008,Direct migration background,Rural regions,Disabled (> 30%),0.08910,38,348,0.05912,0.11907
2008,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.96316,632,632,0.94847,0.97786
2008,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.94230,106,106,0.89770,0.98690
2009,No migration background,Urban regions,Not Disabled (<= 30%),0.85907,8524,9770,0.85217,0.86597
2009,No migration background,Urban regions,Disabled (> 30%),0.14093,1246,9770,0.13403,0.14783
2009,No migration background,Rural regions,Not Disabled (<= 30%),0.87635,5168,5848,0.86791,0.88478
2009,No migration background,Rural regions,Disabled (> 30%),0.12365,680,5848,0.11522,0.13209
2009,Direct migration background,Urban regions,Not Disabled (<= 30%),0.88631,1188,1337,0.86929,0.90333
2009,Direct migration background,Urban regions,Disabled (> 30%),0.11369,149,1337,0.09667,0.13071
2009,Direct migration background,Rural regions,Not Disabled (<= 30%),0.91196,283,316,0.88066,0.94325
2009,Direct migration background,Rural regions,Disabled (> 30%),0.08804,33,316,0.05675,0.11934
2009,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.97500,574,574,0.96222,0.98779
2009,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.94926,110,110,0.90806,0.99046
2010,No migration background,Urban regions,Not Disabled (<= 30%),0.85954,11098,12394,0.85342,0.86565
2010,No migration background,Urban regions,Disabled (> 30%),0.14046,1296,12394,0.13435,0.14658
2010,No migration background,Rural regions,Not Disabled (<= 30%),0.87501,6752,7446,0.86750,0.88252
2010,No migration background,Rural regions,Disabled (> 30%),0.12499,694,7446,0.11748,0.13250
2010,Direct migration background,Urban regions,Not Disabled (<= 30%),0.90202,2189,2344,0.88998,0.91406
2010,Direct migration background,Urban regions,Disabled (> 30%),0.09798,155,2344,0.08594,0.11002
2010,Direct migration background,Rural regions,Not Disabled (<= 30%),0.90086,587,631,0.87752,0.92420
2010,Direct migration background,Rural regions,Disabled (> 30%),0.09914,44,631,0.07580,0.12248
2010,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.95956,863,863,0.94641,0.97271
2010,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.91951,185,185,0.88020,0.95882
2011,No migration background,Urban regions,Not Disabled (<= 30%),0.86034,13019,14646,0.85473,0.86596
2011,No migration background,Urban regions,Disabled (> 30%),0.13966,1627,14646,0.13404,0.14527
2011,No migration background,Rural regions,Not Disabled (<= 30%),0.87050,8159,9115,0.86361,0.87740
2011,No migration background,Rural regions,Disabled (> 30%),0.12950,956,9115,0.12260,0.13639
2011,Direct migration background,Urban regions,Not Disabled (<= 30%),0.91288,2362,2543,0.90192,0.92384
2011,Direct migration background,Urban regions,Disabled (> 30%),0.08712,181,2543,0.07616,0.09808
2011,Direct migration background,Rural regions,Not Disabled (<= 30%),0.92352,742,799,0.90508,0.94196
2011,Direct migration background,Rural regions,Disabled (> 30%),0.07648,57,799,0.05804,0.09492
2011,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.95536,964,1004,0.94258,0.96814
2011,Indirect migration background,Urban regions,Disabled (> 30%),0.04464,40,1004,0.03186,0.05742
2011,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.95494,225,225,0.92777,0.98210
2012,No migration background,Urban regions,Not Disabled (<= 30%),0.85752,12496,14169,0.85177,0.86328
2012,No migration background,Urban regions,Disabled (> 30%),0.14248,1673,14169,0.13672,0.14823
2012,No migration background,Rural regions,Not Disabled (<= 30%),0.86303,8010,9031,0.85594,0.87012
2012,No migration background,Rural regions,Disabled (> 30%),0.13697,1021,9031,0.12988,0.14406
2012,Direct migration background,Urban regions,Not Disabled (<= 30%),0.90457,2189,2373,0.89275,0.91640
2012,Direct migration background,Urban regions,Disabled (> 30%),0.09543,184,2373,0.08360,0.10725
2012,Direct migration background,Rural regions,Not Disabled (<= 30%),0.90987,748,816,0.89020,0.92953
2012,Direct migration background,Rural regions,Disabled (> 30%),0.09013,68,816,0.07047,0.10980
2012,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.94591,922,962,0.93161,0.96021
2012,Indirect migration background,Urban regions,Disabled (> 30%),0.05409,40,962,0.03979,0.06839
2012,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.91149,224,224,0.87421,0.94877
2013,No migration background,Urban regions,Not Disabled (<= 30%),0.85675,11906,13506,0.85084,0.86266
2013,No migration background,Urban regions,Disabled (> 30%),0.14325,1600,13506,0.13734,0.14916
2013,No migration background,Rural regions,Not Disabled (<= 30%),0.86485,7531,8486,0.85757,0.87212
2013,No migration background,Rural regions,Disabled (> 30%),0.13515,955,8486,0.12788,0.14243
2013,Direct migration background,Urban regions,Not Disabled (<= 30%),0.89663,4629,4943,0.88814,0.90512
2013,Direct migration background,Urban regions,Disabled (> 30%),0.10337,314,4943,0.09488,0.11186
2013,Direct migration background,Rural regions,Not Disabled (<= 30%),0.91396,1502,1603,0.90023,0.92770
2013,Direct migration background,Rural regions,Disabled (> 30%),0.08604,101,1603,0.07230,0.09977
2013,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.95452,1632,1694,0.94459,0.96444
2013,Indirect migration background,Urban regions,Disabled (> 30%),0.04548,62,1694,0.03556,0.05541
2013,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.94307,338,338,0.91833,0.96781
2014,No migration background,Urban regions,Not Disabled (<= 30%),0.85140,10748,12297,0.84512,0.85769
2014,No migration background,Urban regions,Disabled (> 30%),0.14860,1549,12297,0.14231,0.15488
2014,No migration background,Rural regions,Not Disabled (<= 30%),0.85275,6797,7769,0.84487,0.86063
2014,No migration background,Rural regions,Disabled (> 30%),0.14725,972,7769,0.13937,0.15513
2014,Direct migration background,Urban regions,Not Disabled (<= 30%),0.89583,3668,3943,0.88630,0.90537
2014,Direct migration background,Urban regions,Disabled (> 30%),0.10417,275,3943,0.09463,0.11370
2014,Direct migration background,Rural regions,Not Disabled (<= 30%),0.90228,1227,1328,0.88630,0.91826
2014,Direct migration background,Rural regions,Disabled (> 30%),0.09772,101,1328,0.08174,0.11370
2014,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.94465,1338,1388,0.93262,0.95669
2014,Indirect migration background,Urban regions,Disabled (> 30%),0.05535,50,1388,0.04331,0.06738
2014,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.94695,299,299,0.92151,0.97240
2015,No migration background,Urban regions,Not Disabled (<= 30%),0.85218,10215,11662,0.84574,0.85863
2015,No migration background,Urban regions,Disabled (> 30%),0.14782,1447,11662,0.14137,0.15426
2015,No migration background,Rural regions,Not Disabled (<= 30%),0.85929,6527,7426,0.85138,0.86720
2015,No migration background,Rural regions,Disabled (> 30%),0.14071,899,7426,0.13280,0.14862
2015,Direct migration background,Urban regions,Not Disabled (<= 30%),0.90912,4264,4506,0.90072,0.91751
2015,Direct migration background,Urban regions,Disabled (> 30%),0.09088,242,4506,0.08249,0.09928
2015,Direct migration background,Rural regions,Not Disabled (<= 30%),0.91782,1456,1541,0.90411,0.93154
2015,Direct migration background,Rural regions,Disabled (> 30%),0.08218,85,1541,0.06846,0.09589
2015,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.94916,1251,1298,0.93721,0.96112
2015,Indirect migration background,Urban regions,Disabled (> 30%),0.05084,47,1298,0.03888,0.06279
2015,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.95591,293,293,0.93236,0.97945
2016,No migration background,Urban regions,Not Disabled (<= 30%),0.85219,9483,10844,0.84551,0.85887
2016,No migration background,Urban regions,Disabled (> 30%),0.14781,1361,10844,0.14113,0.15449
2016,No migration background,Rural regions,Not Disabled (<= 30%),0.85951,6043,6876,0.85130,0.86773
2016,No migration background,Rural regions,Disabled (> 30%),0.14049,833,6876,0.13227,0.14870
2016,Direct migration background,Urban regions,Not Disabled (<= 30%),0.90649,3498,3725,0.89714,0.91584
2016,Direct migration background,Urban regions,Disabled (> 30%),0.09351,227,3725,0.08416,0.10286
2016,Direct migration background,Rural regions,Not Disabled (<= 30%),0.91027,1216,1307,0.89477,0.92577
2016,Direct migration background,Rural regions,Disabled (> 30%),0.08973,91,1307,0.07423,0.10523
2016,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.95735,1137,1179,0.94581,0.96889
2016,Indirect migration background,Urban regions,Disabled (> 30%),0.04265,42,1179,0.03111,0.05419
2016,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.93157,285,285,0.90221,0.96094
2017,No migration background,Urban regions,Not Disabled (<= 30%),0.85544,10767,12261,0.84922,0.86167
2017,No migration background,Urban regions,Disabled (> 30%),0.14456,1494,12261,0.13833,0.15078
2017,No migration background,Rural regions,Not Disabled (<= 30%),0.86315,6874,7802,0.85552,0.87078
2017,No migration background,Rural regions,Disabled (> 30%),0.13685,928,7802,0.12922,0.14448
2017,Direct migration background,Urban regions,Not Disabled (<= 30%),0.90418,3305,3547,0.89450,0.91387
2017,Direct migration background,Urban regions,Disabled (> 30%),0.09582,242,3547,0.08613,0.10550
