year,migback,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2010,Direct migration background,Not Disabled (<= 30%),0.86764,2776,2975,0.85546,0.87982
2010,Direct migration background,Disabled (> 30%),0.09451,199,2975,0.08399,0.10502
2010,Indirect migration background,Not Disabled (<= 30%),0.44187,1048,1085,0.41231,0.47143
2010,Indirect migration background,Disabled (> 30%),0.02186,37,1085,0.01316,0.03057
2011,No migration background,Not Disabled (<= 30%),0.73865,21178,23761,0.73306,0.74423
2011,No migration background,Disabled (> 30%),0.11638,2583,23761,0.11231,0.12046
2011,Direct migration background,Not Disabled (<= 30%),0.88328,3104,3342,0.87239,0.89417
2011,Direct migration background,Disabled (> 30%),0.08171,238,3342,0.07242,0.09100
2011,Indirect migration background,Not Disabled (<= 30%),0.43417,1189,1238,0.40655,0.46179
2011,Indirect migration background,Disabled (> 30%),0.02032,49,1238,0.01246,0.02819
2012,No migration background,Not Disabled (<= 30%),0.73564,20506,23200,0.72997,0.74132
2012,No migration background,Disabled (> 30%),0.12030,2694,23200,0.11612,0.12449
2012,Direct migration background,Not Disabled (<= 30%),0.87555,2937,3189,0.86409,0.88701
2012,Direct migration background,Disabled (> 30%),0.09099,252,3189,0.08101,0.10098
2012,Indirect migration background,Not Disabled (<= 30%),0.43072,1146,1200,0.40269,0.45875
2012,Indirect migration background,Disabled (> 30%),0.02770,54,1200,0.01841,0.03699
2013,No migration background,Not Disabled (<= 30%),0.73793,19437,21992,0.73211,0.74374
2013,No migration background,Disabled (> 30%),0.12050,2555,21992,0.11619,0.12480
2013,Direct migration background,Not Disabled (<= 30%),0.86869,6131,6546,0.86050,0.87687
2013,Direct migration background,Disabled (> 30%),0.09622,415,6546,0.08908,0.10337
2013,Indirect migration background,Not Disabled (<= 30%),0.45405,1970,2040,0.43244,0.47566
2013,Indirect migration background,Disabled (> 30%),0.02268,70,2040,0.01621,0.02914
2014,No migration background,Not Disabled (<= 30%),0.73197,17545,20066,0.72584,0.73810
2014,No migration background,Disabled (> 30%),0.12727,2521,20066,0.12266,0.13188
2014,Direct migration background,Not Disabled (<= 30%),0.86291,4895,5271,0.85363,0.87220
2014,Direct migration background,Disabled (> 30%),0.09884,376,5271,0.09078,0.10690
2014,Indirect migration background,Not Disabled (<= 30%),0.46402,1637,1697,0.44029,0.48776
2014,Indirect migration background,Disabled (> 30%),0.02698,60,1697,0.01927,0.03469
2015,No migration background,Not Disabled (<= 30%),0.73477,16742,19088,0.72851,0.74104
2015,No migration background,Disabled (> 30%),0.12494,2346,19088,0.12025,0.12963
2015,Direct migration background,Not Disabled (<= 30%),0.87501,5720,6047,0.86667,0.88334
2015,Direct migration background,Disabled (> 30%),0.08551,327,6047,0.07846,0.09255
2015,Indirect migration background,Not Disabled (<= 30%),0.46920,1544,1600,0.44474,0.49366
2015,Indirect migration background,Disabled (> 30%),0.02453,56,1600,0.01695,0.03212
2016,No migration background,Not Disabled (<= 30%),0.73242,15526,17720,0.72590,0.73894
2016,No migration background,Disabled (> 30%),0.12445,2194,17720,0.11959,0.12931
2016,Direct migration background,Not Disabled (<= 30%),0.83590,4714,5032,0.82566,0.84613
2016,Direct migration background,Disabled (> 30%),0.08541,318,5032,0.07769,0.09313
2016,Indirect migration background,Not Disabled (<= 30%),0.48546,1422,1478,0.45997,0.51095
2016,Indirect migration background,Disabled (> 30%),0.02401,56,1478,0.01620,0.03181
2017,No migration background,Not Disabled (<= 30%),0.73624,17641,20063,0.73014,0.74233
2017,No migration background,Disabled (> 30%),0.12174,2422,20063,0.11722,0.12627
2017,Direct migration background,Not Disabled (<= 30%),0.81753,4477,4808,0.80661,0.82845
2017,Direct migration background,Disabled (> 30%),0.08340,331,4808,0.07558,0.09121
2017,Indirect migration background,Not Disabled (<= 30%),0.48144,1548,1620,0.45710,0.50578
2017,Indirect migration background,Disabled (> 30%),0.02277,72,1620,0.01550,0.03003
2018,No migration background,Not Disabled (<= 30%),0.73970,16903,19368,0.73352,0.74588
2018,No migration background,Disabled (> 30%),0.12226,2465,19368,0.11764,0.12687
2018,Direct migration background,Not Disabled (<= 30%),0.81651,4264,4612,0.80534,0.82768
2018,Direct migration background,Disabled (> 30%),0.08493,348,4612,0.07688,0.09297
2018,Indirect migration background,Not Disabled (<= 30%),0.48162,1518,1609,0.45720,0.50604
2018,Indirect migration background,Disabled (> 30%),0.03381,91,1609,0.02497,0.04264
2019,No migration background,Not Disabled (<= 30%),0.73505,17643,20078,0.72894,0.74115
2019,No migration background,Disabled (> 30%),0.12062,2435,20078,0.11612,0.12513
2019,Direct migration background,Not Disabled (<= 30%),0.81528,3736,4023,0.80328,0.82727
2019,Direct migration background,Disabled (> 30%),0.08284,287,4023,0.07432,0.09136
2019,Indirect migration background,Not Disabled (<= 30%),0.48489,1493,1571,0.46017,0.50962
2019,Indirect migration background,Disabled (> 30%),0.02787,78,1571,0.01973,0.03601
2020,No migration background,Not Disabled (<= 30%),0.73312,16204,18471,0.72674,0.73950
2020,No migration background,Disabled (> 30%),0.11989,2267,18471,0.11521,0.12458
2020,Direct migration background,Not Disabled (<= 30%),0.83884,7995,8355,0.83096,0.84673
2020,Direct migration background,Disabled (> 30%),0.08908,360,8355,0.08297,0.09519
2020,Indirect migration background,Not Disabled (<= 30%),0.47164,1452,1532,0.44664,0.49665
2020,Indirect migration background,Disabled (> 30%),0.03036,80,1532,0.02176,0.03895
2021,No migration background,Not Disabled (<= 30%),0.73414,11493,13122,0.72658,0.74170
2021,No migration background,Disabled (> 30%),0.12014,1629,13122,0.11457,0.12570
2021,Direct migration background,Not Disabled (<= 30%),0.82746,4900,5179,0.81717,0.83775
2021,Direct migration background,Disabled (> 30%),0.09772,279,5179,0.08963,0.10581
2021,Indirect migration background,Not Disabled (<= 30%),0.43703,878,928,0.40509,0.46896
2021,Indirect migration background,Disabled (> 30%),0.03321,50,928,0.02168,0.04475
2022,No migration background,Not Disabled (<= 30%),0.73045,16236,18304,0.72402,0.73688
2022,No migration background,Disabled (> 30%),0.11479,2068,18304,0.11017,0.11940
2022,Direct migration background,Not Disabled (<= 30%),0.84634,7805,8120,0.83850,0.85419
2022,Direct migration background,Disabled (> 30%),0.07906,315,8120,0.07320,0.08493
2022,Indirect migration background,Not Disabled (<= 30%),0.49485,1338,1454,0.46915,0.52056
2022,Indirect migration background,Disabled (> 30%),0.04821,116,1454,0.03720,0.05923
