year,hhtyp,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Couple with children,No,0.94753,5453,5488,0.94163,0.95343
2015,Multi-generational household,No,0.87343,126,126,0.81515,0.93172
2015,Other Combinations,No,0.91844,230,230,0.88299,0.95389
2016,Single-person household,Yes,0.03043,96,3345,0.02461,0.03626
2016,Single-person household,No,0.94862,3249,3345,0.94114,0.95611
2016,Couple without children,Yes,0.00884,45,4030,0.00595,0.01173
2016,Couple without children,No,0.96948,3985,4030,0.96416,0.97479
2016,Single parent,No,0.97655,1486,1486,0.96885,0.98424
2016,Couple with children,Yes,0.00702,31,4908,0.00469,0.00936
2016,Couple with children,No,0.96258,4877,4908,0.95727,0.96789
2016,Multi-generational household,No,0.92269,102,102,0.87060,0.97478
2016,Other Combinations,No,0.87980,181,181,0.83229,0.92731
2017,Single-person household,Yes,0.03152,107,4091,0.02617,0.03687
2017,Single-person household,No,0.94916,3984,4091,0.94243,0.95589
2017,Couple without children,Yes,0.00855,53,4630,0.00590,0.01120
2017,Couple without children,No,0.97714,4577,4630,0.97283,0.98144
2017,Single parent,No,0.98641,1673,1673,0.98086,0.99196
2017,Couple with children,Yes,0.00700,32,6355,0.00495,0.00905
2017,Couple with children,No,0.96928,6323,6355,0.96504,0.97353
2017,Multi-generational household,No,0.88684,132,132,0.83259,0.94109
2017,Other Combinations,No,0.90980,368,368,0.88050,0.93911
2018,Single-person household,Yes,0.03044,120,4424,0.02538,0.03551
2018,Single-person household,No,0.95661,4304,4424,0.95061,0.96262
2018,Couple without children,Yes,0.01117,67,4595,0.00813,0.01421
2018,Couple without children,No,0.97837,4528,4595,0.97416,0.98257
2018,Single parent,No,0.98523,1712,1712,0.97952,0.99095
2018,Couple with children,Yes,0.00784,41,6397,0.00568,0.01000
2018,Couple with children,No,0.97432,6356,6397,0.97044,0.97820
2018,Multi-generational household,No,0.91998,149,149,0.87627,0.96369
2018,Other Combinations,No,0.94345,393,393,0.92059,0.96632
2019,Single-person household,Yes,0.03749,141,4560,0.03197,0.04300
2019,Single-person household,No,0.95106,4419,4560,0.94480,0.95732
2019,Couple without children,Yes,0.01236,61,5129,0.00934,0.01539
2019,Couple without children,No,0.97862,5068,5129,0.97466,0.98258
2019,Single parent,No,0.97569,1587,1587,0.96811,0.98327
2019,Couple with children,No,0.97926,6452,6452,0.97578,0.98274
2019,Multi-generational household,No,0.90600,127,127,0.85505,0.95696
2019,Other Combinations,No,0.97013,360,360,0.95252,0.98774
2020,Single-person household,Yes,0.03376,130,5297,0.02890,0.03863
2020,Single-person household,No,0.94852,5167,5297,0.94256,0.95447
2020,Couple without children,Yes,0.01284,65,5109,0.00976,0.01593
2020,Couple without children,No,0.96780,5044,5109,0.96296,0.97264
2020,Single parent,No,0.96178,1552,1552,0.95224,0.97133
2020,Couple with children,No,0.96165,6428,6428,0.95695,0.96634
2020,Multi-generational household,No,0.80021,135,135,0.73251,0.86791
2020,Other Combinations,No,0.96439,467,467,0.94756,0.98121
2021,Single-person household,Yes,0.02323,69,3512,0.01824,0.02821
2021,Single-person household,No,0.96765,3443,3512,0.96180,0.97351
2021,Couple without children,Yes,0.01383,52,3469,0.00994,0.01772
2021,Couple without children,No,0.98158,3417,3469,0.97711,0.98606
2021,Single parent,No,0.98724,1001,1001,0.98029,0.99420
2021,Couple with children,Yes,0.01413,34,3952,0.01045,0.01781
2021,Couple with children,No,0.96818,3918,3952,0.96271,0.97365
2021,Multi-generational household,No,0.89203,84,84,0.82526,0.95879
2021,Other Combinations,No,0.92476,338,338,0.89659,0.95292
2022,Single-person household,Yes,0.02966,120,5788,0.02529,0.03403
2022,Single-person household,No,0.95614,5668,5788,0.95087,0.96142
2022,Couple without children,Yes,0.01290,69,5747,0.00998,0.01582
2022,Couple without children,No,0.97758,5678,5747,0.97376,0.98141
2022,Single parent,No,0.97650,1197,1197,0.96791,0.98508
2022,Couple with children,Yes,0.01019,49,5746,0.00760,0.01279
2022,Couple with children,No,0.96363,5697,5746,0.95879,0.96847
2022,Multi-generational household,No,0.87539,87,87,0.80559,0.94519
2022,Other Combinations,No,0.92042,1131,1131,0.90464,0.93620
