year,age_gr,sampreg,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,30-45 y.,West,Yes,0.11632,617,4940,0.10738,0.12526
2001,30-45 y.,West,No,0.74552,4323,4940,0.73338,0.75767
2001,30-45 y.,East,Yes,0.05077,76,1499,0.03966,0.06189
2001,30-45 y.,East,No,0.84933,1423,1499,0.83121,0.86744
2001,46-65 y.,West,Yes,0.09862,484,4380,0.08979,0.10746
2001,46-65 y.,West,No,0.73429,3896,4380,0.72121,0.74738
2001,46-65 y.,East,Yes,0.03603,67,1755,0.02731,0.04476
2001,46-65 y.,East,No,0.91743,1688,1755,0.90455,0.93031
2001,66 and older,West,Yes,0.07992,197,2262,0.06874,0.09109
2001,66 and older,West,No,0.80366,2065,2262,0.78729,0.82004
2001,66 and older,East,No,0.98472,827,827,0.97635,0.99309
2002,17-29 y.,West,Yes,0.07287,235,2689,0.06304,0.08269
2002,17-29 y.,West,No,0.83047,2454,2689,0.81629,0.84466
2002,17-29 y.,East,Yes,0.07361,79,1008,0.05748,0.08974
2002,17-29 y.,East,No,0.86493,929,1008,0.84382,0.88604
2002,30-45 y.,West,Yes,0.10812,685,4892,0.09942,0.11682
2002,30-45 y.,West,No,0.76133,4207,4892,0.74938,0.77328
2002,30-45 y.,East,Yes,0.04908,84,1398,0.03775,0.06041
2002,30-45 y.,East,No,0.85404,1314,1398,0.83552,0.87255
2002,46-65 y.,West,Yes,0.11474,725,4590,0.10552,0.12397
2002,46-65 y.,West,No,0.72005,3865,4590,0.70706,0.73304
2002,46-65 y.,East,Yes,0.04765,94,1740,0.03763,0.05766
2002,46-65 y.,East,No,0.90078,1646,1740,0.88673,0.91483
2002,66 and older,West,Yes,0.09728,283,2361,0.08533,0.10924
2002,66 and older,West,No,0.79958,2078,2361,0.78343,0.81573
2002,66 and older,East,No,0.98974,877,877,0.98306,0.99641
2003,17-29 y.,West,Yes,0.07484,241,2563,0.06465,0.08503
2003,17-29 y.,West,No,0.82188,2322,2563,0.80707,0.83670
2003,17-29 y.,East,Yes,0.09108,92,1001,0.07325,0.10891
2003,17-29 y.,East,No,0.85691,909,1001,0.83521,0.87862
2003,30-45 y.,West,Yes,0.11541,651,4594,0.10617,0.12465
2003,30-45 y.,West,No,0.75355,3943,4594,0.74109,0.76602
2003,30-45 y.,East,Yes,0.06381,92,1303,0.05054,0.07709
2003,30-45 y.,East,No,0.82874,1211,1303,0.80828,0.84921
2003,46-65 y.,West,Yes,0.10811,683,4374,0.09890,0.11731
2003,46-65 y.,West,No,0.72296,3691,4374,0.70969,0.73622
2003,46-65 y.,East,Yes,0.03926,82,1728,0.03010,0.04842
2003,46-65 y.,East,No,0.90497,1646,1728,0.89114,0.91881
2003,66 and older,West,Yes,0.09508,283,2372,0.08328,0.10689
2003,66 and older,West,No,0.79548,2089,2372,0.77924,0.81172
2003,66 and older,East,No,0.97679,886,886,0.96688,0.98671
2004,17-29 y.,West,Yes,0.08825,275,2509,0.07715,0.09935
2004,17-29 y.,West,No,0.81135,2234,2509,0.79603,0.82666
2004,17-29 y.,East,Yes,0.06990,80,999,0.05408,0.08571
2004,17-29 y.,East,No,0.88457,919,999,0.86475,0.90440
2004,30-45 y.,West,Yes,0.11787,618,4336,0.10827,0.12747
2004,30-45 y.,West,No,0.74806,3718,4336,0.73513,0.76098
2004,30-45 y.,East,Yes,0.07607,108,1197,0.06104,0.09109
2004,30-45 y.,East,No,0.80855,1089,1197,0.78626,0.83085
2004,46-65 y.,West,Yes,0.11732,712,4248,0.10764,0.12700
2004,46-65 y.,West,No,0.71036,3536,4248,0.69672,0.72401
2004,46-65 y.,East,Yes,0.05680,113,1665,0.04568,0.06792
2004,46-65 y.,East,No,0.87682,1552,1665,0.86103,0.89261
2004,66 and older,West,Yes,0.10021,312,2434,0.08828,0.11215
2004,66 and older,West,No,0.79525,2122,2434,0.77922,0.81129
2004,66 and older,East,No,0.96848,922,922,0.95720,0.97977
2005,17-29 y.,West,Yes,0.09967,269,2437,0.08778,0.11157
2005,17-29 y.,West,No,0.79861,2168,2437,0.78269,0.81454
2005,17-29 y.,East,Yes,0.08399,88,945,0.06630,0.10169
2005,17-29 y.,East,No,0.86277,857,945,0.84082,0.88472
2005,30-45 y.,West,Yes,0.13325,652,4016,0.12274,0.14377
2005,30-45 y.,West,No,0.72945,3364,4016,0.71571,0.74319
2005,30-45 y.,East,Yes,0.07854,116,1122,0.06279,0.09429
2005,30-45 y.,East,No,0.79463,1006,1122,0.77099,0.81828
2005,46-65 y.,West,Yes,0.12467,700,4012,0.11445,0.13490
2005,46-65 y.,West,No,0.69985,3312,4012,0.68567,0.71404
2005,46-65 y.,East,Yes,0.06081,127,1597,0.04908,0.07253
2005,46-65 y.,East,No,0.85677,1470,1597,0.83959,0.87396
2005,66 and older,West,Yes,0.11421,340,2425,0.10154,0.12687
2005,66 and older,West,No,0.78160,2085,2425,0.76516,0.79805
2005,66 and older,East,No,0.95228,916,916,0.93846,0.96609
2006,17-29 y.,West,Yes,0.10953,308,2368,0.09695,0.12211
2006,17-29 y.,West,No,0.73861,2060,2368,0.72091,0.75632
2006,17-29 y.,East,Yes,0.08221,88,895,0.06421,0.10022
2006,17-29 y.,East,No,0.78904,807,895,0.76229,0.81578
2006,30-45 y.,West,Yes,0.14778,776,4173,0.13701,0.15855
2006,30-45 y.,West,No,0.71853,3397,4173,0.70488,0.73218
2006,30-45 y.,East,Yes,0.10328,139,1135,0.08557,0.12099
2006,30-45 y.,East,No,0.76141,996,1135,0.73660,0.78622
2006,46-65 y.,West,Yes,0.14923,924,4360,0.13865,0.15980
2006,46-65 y.,West,No,0.67248,3436,4360,0.65855,0.68642
2006,46-65 y.,East,Yes,0.08218,164,1705,0.06914,0.09522
2006,46-65 y.,East,No,0.84890,1541,1705,0.83190,0.86591
2006,66 and older,West,Yes,0.11604,425,2837,0.10425,0.12783
2006,66 and older,West,No,0.76949,2412,2837,0.75399,0.78499
2006,66 and older,East,Yes,0.03168,42,1108,0.02137,0.04200
2006,66 and older,East,No,0.95003,1066,1108,0.93720,0.96287
2007,17-29 y.,West,Yes,0.12184,305,2164,0.10805,0.13562
2007,17-29 y.,West,No,0.69738,1859,2164,0.67802,0.71674
2007,17-29 y.,East,Yes,0.06322,77,832,0.04667,0.07977
2007,17-29 y.,East,No,0.79983,755,832,0.77263,0.82704
2007,30-45 y.,West,Yes,0.16777,784,3772,0.15584,0.17970
2007,30-45 y.,West,No,0.69011,2988,3772,0.67535,0.70487
2007,30-45 y.,East,Yes,0.10787,137,1049,0.08909,0.12665
2007,30-45 y.,East,No,0.76195,912,1049,0.73617,0.78774
2007,46-65 y.,West,Yes,0.16027,903,4065,0.14899,0.17155
2007,46-65 y.,West,No,0.66850,3162,4065,0.65403,0.68298
2007,46-65 y.,East,Yes,0.09333,179,1600,0.07907,0.10758
2007,46-65 y.,East,No,0.82777,1421,1600,0.80926,0.84627
2007,66 and older,West,Yes,0.12611,446,2734,0.11366,0.13856
2007,66 and older,West,No,0.75214,2288,2734,0.73595,0.76833
2007,66 and older,East,Yes,0.06237,84,1100,0.04807,0.07667
2007,66 and older,East,No,0.91501,1016,1100,0.89852,0.93149
2008,17-29 y.,West,Yes,0.13028,312,2057,0.11573,0.14483
2008,17-29 y.,West,No,0.70867,1745,2057,0.68903,0.72831
2008,17-29 y.,East,Yes,0.11755,110,773,0.09483,0.14027
2008,17-29 y.,East,No,0.80278,663,773,0.77471,0.83085
2008,30-45 y.,West,Yes,0.21041,827,3434,0.19678,0.22405
2008,30-45 y.,West,No,0.65902,2607,3434,0.64317,0.67488
2008,30-45 y.,East,Yes,0.12913,157,997,0.10831,0.14996
2008,30-45 y.,East,No,0.75235,840,997,0.72555,0.77916
2008,46-65 y.,West,Yes,0.17968,962,3887,0.16761,0.19175
2008,46-65 y.,West,No,0.65778,2925,3887,0.64286,0.67269
2008,46-65 y.,East,Yes,0.10375,199,1534,0.08848,0.11901
2008,46-65 y.,East,No,0.82667,1335,1534,0.80772,0.84562
2008,66 and older,West,Yes,0.15681,532,2683,0.14305,0.17057
2008,66 and older,West,No,0.72272,2151,2683,0.70578,0.73966
2008,66 and older,East,Yes,0.07959,93,1102,0.06360,0.09558
2008,66 and older,East,No,0.90575,1009,1102,0.88849,0.92300
2010,17-29 y.,West,Yes,0.15206,394,2732,0.13859,0.16553
2010,17-29 y.,West,No,0.70383,2338,2732,0.68670,0.72095
2010,17-29 y.,East,Yes,0.10274,101,883,0.08270,0.12278
2010,17-29 y.,East,No,0.81619,782,883,0.79062,0.84175
2010,30-45 y.,West,Yes,0.21464,1531,6282,0.20448,0.22479
2010,30-45 y.,West,No,0.64225,4751,6282,0.63039,0.65410
2010,30-45 y.,East,Yes,0.13478,221,1594,0.11801,0.15155
2010,30-45 y.,East,No,0.73590,1373,1594,0.71425,0.75755
2010,46-65 y.,West,Yes,0.19441,1093,4180,0.18241,0.20641
2010,46-65 y.,West,No,0.64025,3087,4180,0.62570,0.65480
2010,46-65 y.,East,Yes,0.13974,249,1521,0.12231,0.15717
2010,46-65 y.,East,No,0.77965,1272,1521,0.75881,0.80048
2010,66 and older,West,Yes,0.16982,530,2444,0.15493,0.18471
2010,66 and older,West,No,0.71112,1914,2444,0.69315,0.72909
2010,66 and older,East,Yes,0.08403,99,1041,0.06717,0.10089
2010,66 and older,East,No,0.90238,942,1041,0.88434,0.92042
2011,17-29 y.,West,Yes,0.12504,318,2057,0.11074,0.13934
2011,17-29 y.,West,No,0.62867,1739,2057,0.60779,0.64956
2011,17-29 y.,East,Yes,0.08943,78,623,0.06701,0.11186
2011,17-29 y.,East,No,0.69707,545,623,0.66096,0.73318
2011,30-45 y.,West,Yes,0.17296,847,3227,0.15991,0.18601
2011,30-45 y.,West,No,0.49165,2380,3227,0.47439,0.50890
2011,30-45 y.,East,Yes,0.12836,177,958,0.10717,0.14955
2011,30-45 y.,East,No,0.55605,781,958,0.52457,0.58753
2011,46-65 y.,West,Yes,0.19681,1291,4708,0.18546,0.20817
2011,46-65 y.,West,No,0.59707,3417,4708,0.58306,0.61108
2011,46-65 y.,East,Yes,0.14715,286,1686,0.13024,0.16407
2011,46-65 y.,East,No,0.73160,1400,1686,0.71044,0.75276
2011,66 and older,West,Yes,0.18490,730,3144,0.17133,0.19848
2011,66 and older,West,No,0.66893,2414,3144,0.65248,0.68539
2011,66 and older,East,Yes,0.09596,131,1233,0.07951,0.11240
2011,66 and older,East,No,0.87723,1102,1233,0.85891,0.89556
2012,17-29 y.,West,Yes,0.13401,420,2865,0.12154,0.14649
2012,17-29 y.,West,No,0.71357,2445,2865,0.69701,0.73012
2012,17-29 y.,East,Yes,0.09158,84,792,0.07148,0.11168
2012,17-29 y.,East,No,0.82090,708,792,0.79418,0.84763
2012,30-45 y.,West,Yes,0.22646,1596,6276,0.21611,0.23682
2012,30-45 y.,West,No,0.63034,4680,6276,0.61839,0.64228
2012,30-45 y.,East,Yes,0.17315,301,1689,0.15510,0.19120
2012,30-45 y.,East,No,0.71485,1388,1689,0.69332,0.73639
2012,46-65 y.,West,Yes,0.21927,1707,5878,0.20869,0.22985
2012,46-65 y.,West,No,0.62389,4171,5878,0.61150,0.63627
2012,46-65 y.,East,Yes,0.15688,340,1955,0.14075,0.17300
2012,46-65 y.,East,No,0.75088,1615,1955,0.73171,0.77006
2012,66 and older,West,Yes,0.18615,765,3173,0.17260,0.19969
2012,66 and older,West,No,0.66556,2408,3173,0.64915,0.68198
2012,66 and older,East,Yes,0.09555,139,1248,0.07923,0.11187
2012,66 and older,East,No,0.88383,1109,1248,0.86605,0.90162
2013,17-29 y.,West,Yes,0.11052,320,1804,0.09604,0.12499
2013,17-29 y.,West,No,0.48983,1484,1804,0.46675,0.51290
2013,17-29 y.,East,Yes,0.07597,59,475,0.05212,0.09983
2013,17-29 y.,East,No,0.68485,416,475,0.64303,0.72668
2013,30-45 y.,West,Yes,0.16440,772,2702,0.15043,0.17838
2013,30-45 y.,West,No,0.39370,1930,2702,0.37527,0.41212
2013,30-45 y.,East,Yes,0.14066,176,833,0.11703,0.16428
2013,30-45 y.,East,No,0.54849,657,833,0.51467,0.58230
2013,46-65 y.,West,Yes,0.22233,1398,4462,0.21013,0.23453
2013,46-65 y.,West,No,0.52293,3064,4462,0.50828,0.53759
2013,46-65 y.,East,Yes,0.16364,320,1623,0.14563,0.18164
2013,46-65 y.,East,No,0.69398,1303,1623,0.67155,0.71641
2013,66 and older,West,Yes,0.20395,793,2986,0.18949,0.21840
2013,66 and older,West,No,0.63071,2193,2986,0.61339,0.64802
2013,66 and older,East,Yes,0.11064,148,1181,0.09274,0.12854
2013,66 and older,East,No,0.86148,1033,1181,0.84177,0.88119
2014,17-29 y.,West,Yes,0.13038,430,3291,0.11887,0.14188
2014,17-29 y.,West,No,0.72105,2861,3291,0.70573,0.73638
2014,17-29 y.,East,Yes,0.09475,68,675,0.07264,0.11686
2014,17-29 y.,East,No,0.81462,607,675,0.78528,0.84396
2014,30-45 y.,West,Yes,0.24036,1492,6168,0.22969,0.25102
2014,30-45 y.,West,No,0.62887,4676,6168,0.61681,0.64092
2014,30-45 y.,East,Yes,0.22225,306,1491,0.20114,0.24336
2014,30-45 y.,East,No,0.69827,1185,1491,0.67496,0.72158
2014,46-65 y.,West,Yes,0.24362,1782,6093,0.23284,0.25440
2014,46-65 y.,West,No,0.59680,4311,6093,0.58448,0.60911
2014,46-65 y.,East,Yes,0.16393,308,1816,0.14689,0.18096
2014,46-65 y.,East,No,0.75015,1508,1816,0.73024,0.77007
2014,66 and older,West,Yes,0.21108,811,2994,0.19646,0.22570
2014,66 and older,West,No,0.62344,2183,2994,0.60608,0.64080
2014,66 and older,East,Yes,0.12184,169,1187,0.10323,0.14046
2014,66 and older,East,No,0.85188,1018,1187,0.83166,0.87209
2016,17-29 y.,West,Yes,0.09387,325,2911,0.08327,0.10446
2016,17-29 y.,West,No,0.72779,2586,2911,0.71162,0.74396
2016,17-29 y.,East,Yes,0.04967,42,601,0.03228,0.06705
2016,17-29 y.,East,No,0.80776,559,601,0.77623,0.83929
2016,30-45 y.,West,Yes,0.22780,1143,5167,0.21636,0.23924
2016,30-45 y.,West,No,0.64213,4024,5167,0.62906,0.65521
2016,30-45 y.,East,Yes,0.17098,233,1256,0.15015,0.19181
2016,30-45 y.,East,No,0.74179,1023,1256,0.71758,0.76601
2016,46-65 y.,West,Yes,0.23324,1516,5676,0.22224,0.24425
2016,46-65 y.,West,No,0.61381,4160,5676,0.60115,0.62648
2016,46-65 y.,East,Yes,0.15393,285,1671,0.13662,0.17124
2016,46-65 y.,East,No,0.75065,1386,1671,0.72990,0.77140
2016,66 and older,West,Yes,0.18301,671,2798,0.16868,0.19734
2016,66 and older,West,No,0.64299,2127,2798,0.62524,0.66075
2016,66 and older,East,Yes,0.08984,129,1123,0.07311,0.10657
2016,66 and older,East,No,0.88575,994,1123,0.86714,0.90436
2018,17-29 y.,West,Yes,0.12606,400,3208,0.11458,0.13755
2018,17-29 y.,West,No,0.70628,2808,3208,0.69051,0.72204
2018,17-29 y.,East,Yes,0.06701,49,689,0.04833,0.08570
2018,17-29 y.,East,No,0.74522,640,689,0.71266,0.77778
2018,30-45 y.,West,Yes,0.20588,1059,4837,0.19448,0.21728
2018,30-45 y.,West,No,0.67273,3778,4837,0.65950,0.68595
2018,30-45 y.,East,Yes,0.19213,262,1320,0.17087,0.21339
2018,30-45 y.,East,No,0.73900,1058,1320,0.71530,0.76270
2018,46-65 y.,West,Yes,0.23712,1723,6401,0.22670,0.24754
2018,46-65 y.,West,No,0.61739,4678,6401,0.60549,0.62930
2018,46-65 y.,East,Yes,0.19013,405,1918,0.17256,0.20770
2018,46-65 y.,East,No,0.71576,1513,1918,0.69557,0.73596
2018,66 and older,West,Yes,0.19072,730,2947,0.17653,0.20490
2018,66 and older,West,No,0.62762,2217,2947,0.61016,0.64508
2018,66 and older,East,Yes,0.10810,158,1178,0.09036,0.12584
2018,66 and older,East,No,0.84952,1020,1178,0.82909,0.86994
2020,17-29 y.,West,Yes,0.10117,387,3382,0.09100,0.11133
2020,17-29 y.,West,No,0.72618,2995,3382,0.71115,0.74122
2020,17-29 y.,East,Yes,0.06841,41,606,0.04830,0.08853
2020,17-29 y.,East,No,0.74758,565,606,0.71297,0.78220
2020,30-45 y.,West,Yes,0.20903,988,4787,0.19751,0.22055
2020,30-45 y.,West,No,0.66901,3799,4787,0.65568,0.68234
2020,30-45 y.,East,Yes,0.21020,236,1249,0.18759,0.23281
2020,30-45 y.,East,No,0.72363,1013,1249,0.69882,0.74844
2020,46-65 y.,West,Yes,0.25498,1864,6292,0.24421,0.26575
2020,46-65 y.,West,No,0.59674,4428,6292,0.58462,0.60886
2020,46-65 y.,East,Yes,0.20143,425,1805,0.18292,0.21993
2020,46-65 y.,East,No,0.70563,1380,1805,0.68460,0.72666
2020,66 and older,West,Yes,0.18484,722,2740,0.17030,0.19938
2020,66 and older,West,No,0.62220,2018,2740,0.60404,0.64035
2020,66 and older,East,Yes,0.11981,176,1138,0.10094,0.13869
2020,66 and older,East,No,0.82800,962,1138,0.80607,0.84994
2022,17-29 y.,West,Yes,0.14803,600,3924,0.13692,0.15914
2022,17-29 y.,West,No,0.68503,3324,3924,0.67050,0.69957
2022,17-29 y.,East,Yes,0.07267,71,882,0.05553,0.08981
2022,17-29 y.,East,No,0.77260,811,882,0.74492,0.80027
2022,30-45 y.,West,Yes,0.23412,1325,5588,0.22302,0.24523
2022,30-45 y.,West,No,0.63104,4263,5588,0.61839,0.64370
2022,30-45 y.,East,Yes,0.18331,321,1645,0.16460,0.20201
2022,30-45 y.,East,No,0.70704,1324,1645,0.68504,0.72904
2022,46-65 y.,West,Yes,0.26470,1929,5599,0.25314,0.27626
2022,46-65 y.,West,No,0.57198,3670,5599,0.55902,0.58494
2022,46-65 y.,East,Yes,0.19582,365,1583,0.17627,0.21538
2022,46-65 y.,East,No,0.68269,1218,1583,0.65976,0.70563
2022,66 and older,West,Yes,0.22237,703,2240,0.20515,0.23960
2022,66 and older,West,No,0.55455,1537,2240,0.53397,0.57514
2022,66 and older,East,Yes,0.16281,188,929,0.13905,0.18656
2022,66 and older,East,No,0.76962,741,929,0.74253,0.79671
