year,pgisced97,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Second Stage of Tertiary Education,Yes,0.25370,735,2815,0.23763,0.26978
2007,Second Stage of Tertiary Education,No,0.74630,2080,2815,0.73022,0.76237
2008,No answer / don't know,No,0.93363,280,280,0.90442,0.96284
2008,Pre-primary Level,No,0.89942,250,250,0.86207,0.93678
2008,Primary Level,No,0.96290,175,175,0.93482,0.99099
2008,Lower Secondary Level,Yes,0.07942,153,1938,0.06738,0.09147
2008,Lower Secondary Level,No,0.92058,1785,1938,0.90853,0.93262
2008,Upper Secondary Level,Yes,0.17822,1633,8860,0.17025,0.18619
2008,Upper Secondary Level,No,0.82178,7227,8860,0.81381,0.82975
2008,Post-secondary Non-tertiary Level,Yes,0.28042,288,980,0.25228,0.30856
2008,Post-secondary Non-tertiary Level,No,0.71958,692,980,0.69144,0.74772
2008,First Stage of Tertiary Education,Yes,0.21775,254,1189,0.19428,0.24121
2008,First Stage of Tertiary Education,No,0.78225,935,1189,0.75879,0.80572
2008,Second Stage of Tertiary Education,Yes,0.30179,805,2736,0.28458,0.31899
2008,Second Stage of Tertiary Education,No,0.69821,1931,2736,0.68101,0.71542
2010,No answer / don't know,No,0.94476,274,274,0.91766,0.97186
2010,Pre-primary Level,Yes,0.10627,46,333,0.07312,0.13942
2010,Pre-primary Level,No,0.89373,287,333,0.86058,0.92688
2010,Primary Level,No,0.97010,325,325,0.95156,0.98865
2010,Lower Secondary Level,Yes,0.08709,184,2379,0.07575,0.09842
2010,Lower Secondary Level,No,0.91291,2195,2379,0.90158,0.92425
2010,Upper Secondary Level,Yes,0.18820,2058,10805,0.18083,0.19557
2010,Upper Secondary Level,No,0.81180,8747,10805,0.80443,0.81917
2010,Post-secondary Non-tertiary Level,Yes,0.31757,463,1569,0.29453,0.34061
2010,Post-secondary Non-tertiary Level,No,0.68243,1106,1569,0.65939,0.70547
2010,First Stage of Tertiary Education,Yes,0.23651,342,1369,0.21399,0.25903
2010,First Stage of Tertiary Education,No,0.76349,1027,1369,0.74097,0.78601
2010,Second Stage of Tertiary Education,Yes,0.32335,1093,3591,0.30805,0.33865
2010,Second Stage of Tertiary Education,No,0.67665,2498,3591,0.66135,0.69195
2011,No answer / don't know,No,0.92238,258,258,0.88967,0.95510
2011,Pre-primary Level,Yes,0.13535,36,246,0.09251,0.17818
2011,Pre-primary Level,No,0.86465,210,246,0.82182,0.90749
2011,Primary Level,No,0.99189,216,216,0.97990,1.00388
2011,Lower Secondary Level,Yes,0.09124,190,2077,0.07885,0.10363
2011,Lower Secondary Level,No,0.90876,1887,2077,0.89637,0.92115
2011,Upper Secondary Level,Yes,0.20168,1956,9512,0.19361,0.20974
2011,Upper Secondary Level,No,0.79832,7556,9512,0.79026,0.80639
2011,Post-secondary Non-tertiary Level,Yes,0.32434,349,1084,0.29646,0.35222
2011,Post-secondary Non-tertiary Level,No,0.67566,735,1084,0.64778,0.70354
2011,First Stage of Tertiary Education,Yes,0.22895,310,1212,0.20529,0.25262
2011,First Stage of Tertiary Education,No,0.77105,902,1212,0.74738,0.79471
2011,Second Stage of Tertiary Education,Yes,0.33451,987,3001,0.31763,0.35140
2011,Second Stage of Tertiary Education,No,0.66549,2014,3001,0.64860,0.68237
2012,No answer / don't know,Yes,0.08751,41,388,0.05935,0.11566
2012,No answer / don't know,No,0.91249,347,388,0.88434,0.94065
2012,Pre-primary Level,Yes,0.10363,43,386,0.07319,0.13408
2012,Pre-primary Level,No,0.89637,343,386,0.86592,0.92681
2012,Primary Level,No,0.97797,369,369,0.96298,0.99297
2012,Lower Secondary Level,Yes,0.09724,272,2795,0.08626,0.10823
2012,Lower Secondary Level,No,0.90276,2523,2795,0.89177,0.91374
2012,Upper Secondary Level,Yes,0.21303,2693,12477,0.20585,0.22022
2012,Upper Secondary Level,No,0.78697,9784,12477,0.77978,0.79415
2012,Post-secondary Non-tertiary Level,Yes,0.29131,559,1805,0.27034,0.31228
2012,Post-secondary Non-tertiary Level,No,0.70869,1246,1805,0.68772,0.72966
2012,First Stage of Tertiary Education,Yes,0.26577,412,1521,0.24357,0.28798
2012,First Stage of Tertiary Education,No,0.73423,1109,1521,0.71202,0.75643
2012,Second Stage of Tertiary Education,Yes,0.32051,1322,4125,0.30627,0.33476
2012,Second Stage of Tertiary Education,No,0.67949,2803,4125,0.66524,0.69373
2013,No answer / don't know,No,0.91541,219,219,0.87847,0.95235
2013,Pre-primary Level,Yes,0.21092,42,213,0.15601,0.26584
2013,Pre-primary Level,No,0.78908,171,213,0.73416,0.84399
2013,Primary Level,No,0.97610,178,178,0.95360,0.99860
2013,Lower Secondary Level,Yes,0.10897,182,1777,0.09448,0.12346
2013,Lower Secondary Level,No,0.89103,1595,1777,0.87654,0.90552
2013,Upper Secondary Level,Yes,0.23408,2036,8600,0.22513,0.24303
2013,Upper Secondary Level,No,0.76592,6564,8600,0.75697,0.77487
2013,Post-secondary Non-tertiary Level,Yes,0.35403,361,1001,0.32439,0.38367
2013,Post-secondary Non-tertiary Level,No,0.64597,640,1001,0.61633,0.67561
2013,First Stage of Tertiary Education,Yes,0.27194,308,1093,0.24555,0.29834
2013,First Stage of Tertiary Education,No,0.72806,785,1093,0.70166,0.75445
2013,Second Stage of Tertiary Education,Yes,0.35177,1021,2949,0.33453,0.36900
2013,Second Stage of Tertiary Education,No,0.64823,1928,2949,0.63100,0.66547
2014,No answer / don't know,Yes,0.11709,59,572,0.09072,0.14347
2014,No answer / don't know,No,0.88291,513,572,0.85653,0.90928
2014,Pre-primary Level,Yes,0.12101,46,396,0.08884,0.15317
2014,Pre-primary Level,No,0.87899,350,396,0.84683,0.91116
2014,Primary Level,No,0.97228,475,475,0.95750,0.98706
2014,Lower Secondary Level,Yes,0.10644,273,3010,0.09542,0.11746
2014,Lower Secondary Level,No,0.89356,2737,3010,0.88254,0.90458
2014,Upper Secondary Level,Yes,0.23394,2638,11611,0.22624,0.24164
2014,Upper Secondary Level,No,0.76606,8973,11611,0.75836,0.77376
2014,Post-secondary Non-tertiary Level,Yes,0.30200,562,1916,0.28143,0.32256
2014,Post-secondary Non-tertiary Level,No,0.69800,1354,1916,0.67744,0.71857
2014,First Stage of Tertiary Education,Yes,0.28705,391,1336,0.26278,0.31131
2014,First Stage of Tertiary Education,No,0.71295,945,1336,0.68869,0.73722
2014,Second Stage of Tertiary Education,Yes,0.34459,1382,4384,0.33052,0.35866
2014,Second Stage of Tertiary Education,No,0.65541,3002,4384,0.64134,0.66948
2016,No answer / don't know,Yes,0.09156,47,550,0.06743,0.11568
2016,No answer / don't know,No,0.90844,503,550,0.88432,0.93257
2016,Pre-primary Level,No,0.90384,256,256,0.86766,0.94003
2016,Primary Level,No,0.98549,381,381,0.97347,0.99751
2016,Lower Secondary Level,Yes,0.09011,201,2479,0.07883,0.10138
2016,Lower Secondary Level,No,0.90989,2278,2479,0.89862,0.92117
2016,Upper Secondary Level,Yes,0.21140,2061,10191,0.20348,0.21933
2016,Upper Secondary Level,No,0.78860,8130,10191,0.78067,0.79652
2016,Post-secondary Non-tertiary Level,Yes,0.27131,484,1912,0.25137,0.29124
2016,Post-secondary Non-tertiary Level,No,0.72869,1428,1912,0.70876,0.74863
2016,First Stage of Tertiary Education,Yes,0.26123,330,1187,0.23623,0.28624
2016,First Stage of Tertiary Education,No,0.73877,857,1187,0.71376,0.76377
2016,Second Stage of Tertiary Education,Yes,0.30374,1181,4207,0.28985,0.31764
2016,Second Stage of Tertiary Education,No,0.69626,3026,4207,0.68236,0.71015
2018,No answer / don't know,Yes,0.11172,46,601,0.08651,0.13693
2018,No answer / don't know,No,0.88828,555,601,0.86307,0.91349
2018,Pre-primary Level,No,0.86103,267,267,0.81946,0.90260
2018,Primary Level,No,0.97707,461,461,0.96340,0.99075
2018,Lower Secondary Level,Yes,0.10044,223,2601,0.08889,0.11200
2018,Lower Secondary Level,No,0.89956,2378,2601,0.88800,0.91111
2018,Upper Secondary Level,Yes,0.21904,2240,10696,0.21120,0.22688
2018,Upper Secondary Level,No,0.78096,8456,10696,0.77312,0.78880
2018,Post-secondary Non-tertiary Level,Yes,0.27733,531,2013,0.25777,0.29689
2018,Post-secondary Non-tertiary Level,No,0.72267,1482,2013,0.70311,0.74223
2018,First Stage of Tertiary Education,Yes,0.28770,364,1223,0.26232,0.31308
2018,First Stage of Tertiary Education,No,0.71230,859,1223,0.68692,0.73768
2018,Second Stage of Tertiary Education,Yes,0.30306,1344,4598,0.28977,0.31634
2018,Second Stage of Tertiary Education,No,0.69694,3254,4598,0.68366,0.71023
2020,No answer / don't know,Yes,0.07229,40,653,0.05241,0.09217
2020,No answer / don't know,No,0.92771,613,653,0.90783,0.94759
2020,Pre-primary Level,No,0.87646,265,265,0.83676,0.91615
2020,Primary Level,No,0.95882,476,476,0.94095,0.97669
2020,Lower Secondary Level,Yes,0.11334,225,2375,0.10059,0.12609
2020,Lower Secondary Level,No,0.88666,2150,2375,0.87391,0.89941
2020,Upper Secondary Level,Yes,0.21757,2088,9805,0.20941,0.22574
2020,Upper Secondary Level,No,0.78243,7717,9805,0.77426,0.79059
2020,Post-secondary Non-tertiary Level,Yes,0.28585,586,2094,0.26650,0.30521
2020,Post-secondary Non-tertiary Level,No,0.71415,1508,2094,0.69479,0.73350
2020,First Stage of Tertiary Education,Yes,0.27638,355,1146,0.25047,0.30228
2020,First Stage of Tertiary Education,No,0.72362,791,1146,0.69772,0.74953
2020,Second Stage of Tertiary Education,Yes,0.31521,1507,5147,0.30252,0.32791
2020,Second Stage of Tertiary Education,No,0.68479,3640,5147,0.67209,0.69748
2022,No answer / don't know,Yes,0.24881,594,2819,0.23285,0.26477
2022,No answer / don't know,No,0.75119,2225,2819,0.73523,0.76715
2022,Pre-primary Level,No,0.91237,232,232,0.87590,0.94883
2022,Primary Level,No,0.92586,265,265,0.89426,0.95747
2022,Lower Secondary Level,Yes,0.12554,181,1487,0.10869,0.14238
2022,Lower Secondary Level,No,0.87446,1306,1487,0.85762,0.89131
2022,Upper Secondary Level,Yes,0.25150,1926,8074,0.24204,0.26097
2022,Upper Secondary Level,No,0.74850,6148,8074,0.73903,0.75796
2022,Post-secondary Non-tertiary Level,Yes,0.31621,622,2012,0.29588,0.33653
2022,Post-secondary Non-tertiary Level,No,0.68379,1390,2012,0.66347,0.70412
2022,First Stage of Tertiary Education,Yes,0.26191,330,1077,0.23564,0.28818
2022,First Stage of Tertiary Education,No,0.73809,747,1077,0.71182,0.76436
2022,Second Stage of Tertiary Education,Yes,0.32133,1810,6385,0.30987,0.33279
2022,Second Stage of Tertiary Education,No,0.67867,4575,6385,0.66721,0.69013
