year,migback,sex,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,No migration background,female,Yes,0.11661,1129,8785,0.10990,0.12332
2002,No migration background,female,No,0.88339,7656,8785,0.87668,0.89010
2002,Direct migration background,male,Yes,0.03330,38,1254,0.02337,0.04324
2002,Direct migration background,male,No,0.96670,1216,1254,0.95676,0.97663
2002,Direct migration background,female,Yes,0.05535,67,1357,0.04318,0.06752
2002,Direct migration background,female,No,0.94465,1290,1357,0.93248,0.95682
2002,Indirect migration background,male,No,0.95225,305,305,0.92828,0.97622
2002,Indirect migration background,female,Yes,0.09351,31,380,0.06420,0.12282
2002,Indirect migration background,female,No,0.90649,349,380,0.87718,0.93580
2003,No migration background,male,Yes,0.10960,877,7192,0.10238,0.11682
2003,No migration background,male,No,0.89040,6315,7192,0.88318,0.89762
2003,No migration background,female,Yes,0.12137,1111,8482,0.11442,0.12832
2003,No migration background,female,No,0.87863,7371,8482,0.87168,0.88558
2003,Direct migration background,male,Yes,0.02742,32,1171,0.01806,0.03677
2003,Direct migration background,male,No,0.97258,1139,1171,0.96323,0.98194
2003,Direct migration background,female,Yes,0.05280,61,1281,0.04055,0.06505
2003,Direct migration background,female,No,0.94720,1220,1281,0.93495,0.95945
2003,Indirect migration background,male,No,0.94862,305,305,0.92380,0.97344
2003,Indirect migration background,female,Yes,0.12103,40,387,0.08849,0.15357
2003,Indirect migration background,female,No,0.87897,347,387,0.84643,0.91151
2004,No migration background,male,Yes,0.12257,919,6960,0.11487,0.13028
2004,No migration background,male,No,0.87743,6041,6960,0.86972,0.88513
2004,No migration background,female,Yes,0.12733,1158,8269,0.12014,0.13451
2004,No migration background,female,No,0.87267,7111,8269,0.86549,0.87986
2004,Direct migration background,male,Yes,0.02632,35,1121,0.01695,0.03570
2004,Direct migration background,male,No,0.97368,1086,1121,0.96430,0.98305
2004,Direct migration background,female,Yes,0.05796,68,1254,0.04502,0.07089
2004,Direct migration background,female,No,0.94204,1186,1254,0.92911,0.95498
2004,Indirect migration background,male,No,0.90041,313,313,0.86719,0.93364
2004,Indirect migration background,female,Yes,0.09239,31,386,0.06346,0.12131
2004,Indirect migration background,female,No,0.90761,355,386,0.87869,0.93654
2005,No migration background,male,Yes,0.13294,926,6640,0.12477,0.14110
2005,No migration background,male,No,0.86706,5714,6640,0.85890,0.87523
2005,No migration background,female,Yes,0.14403,1211,7909,0.13630,0.15177
2005,No migration background,female,No,0.85597,6698,7909,0.84823,0.86370
2005,Direct migration background,male,Yes,0.03667,39,1010,0.02507,0.04827
2005,Direct migration background,male,No,0.96333,971,1010,0.95173,0.97493
2005,Direct migration background,female,Yes,0.06777,74,1186,0.05346,0.08209
2005,Direct migration background,female,No,0.93223,1112,1186,0.91791,0.94654
2005,Indirect migration background,male,No,0.92339,328,328,0.89457,0.95222
2005,Indirect migration background,female,Yes,0.10971,41,396,0.07889,0.14053
2005,Indirect migration background,female,No,0.89029,355,396,0.85947,0.92111
2006,No migration background,male,Yes,0.14964,1139,7120,0.14136,0.15793
2006,No migration background,male,No,0.85036,5981,7120,0.84207,0.85864
2006,No migration background,female,Yes,0.16436,1504,8519,0.15649,0.17224
2006,No migration background,female,No,0.83564,7015,8519,0.82776,0.84351
2006,Direct migration background,male,Yes,0.04700,53,1001,0.03388,0.06011
2006,Direct migration background,male,No,0.95300,948,1001,0.93989,0.96612
2006,Direct migration background,female,Yes,0.07542,86,1205,0.06050,0.09034
2006,Direct migration background,female,No,0.92458,1119,1205,0.90966,0.93950
2006,Indirect migration background,male,Yes,0.13133,40,339,0.09532,0.16734
2006,Indirect migration background,male,No,0.86867,299,339,0.83266,0.90468
2006,Indirect migration background,female,Yes,0.10676,44,397,0.07635,0.13718
2006,Indirect migration background,female,No,0.89324,353,397,0.86282,0.92365
2007,No migration background,male,Yes,0.16008,1137,6675,0.15129,0.16888
2007,No migration background,male,No,0.83992,5538,6675,0.83112,0.84871
2007,No migration background,female,Yes,0.18791,1554,7960,0.17933,0.19649
2007,No migration background,female,No,0.81209,6406,7960,0.80351,0.82067
2007,Direct migration background,male,Yes,0.05298,55,894,0.03829,0.06768
2007,Direct migration background,male,No,0.94702,839,894,0.93232,0.96171
2007,Direct migration background,female,Yes,0.08444,88,1085,0.06788,0.10099
2007,Direct migration background,female,No,0.91556,997,1085,0.89901,0.93212
2007,Indirect migration background,male,Yes,0.11964,36,320,0.08403,0.15526
2007,Indirect migration background,male,No,0.88036,284,320,0.84474,0.91597
2007,Indirect migration background,female,Yes,0.12240,45,382,0.08949,0.15531
2007,Indirect migration background,female,No,0.87760,337,382,0.84469,0.91051
2008,No migration background,male,Yes,0.18806,1228,6376,0.17847,0.19765
2008,No migration background,male,No,0.81194,5148,6376,0.80235,0.82153
2008,No migration background,female,Yes,0.21659,1703,7591,0.20732,0.22586
2008,No migration background,female,No,0.78341,5888,7591,0.77414,0.79268
2008,Direct migration background,male,Yes,0.07158,57,815,0.05387,0.08929
2008,Direct migration background,male,No,0.92842,758,815,0.91071,0.94613
2008,Direct migration background,female,Yes,0.11724,101,981,0.09710,0.13738
2008,Direct migration background,female,No,0.88276,880,981,0.86262,0.90290
2008,Indirect migration background,male,Yes,0.16120,48,328,0.12134,0.20105
2008,Indirect migration background,male,No,0.83880,280,328,0.79895,0.87866
2008,Indirect migration background,female,Yes,0.13433,55,376,0.09981,0.16884
2008,Indirect migration background,female,No,0.86567,321,376,0.83116,0.90019
2010,No migration background,male,Yes,0.20791,1537,7282,0.19859,0.21723
2010,No migration background,male,No,0.79209,5745,7282,0.78277,0.80141
2010,No migration background,female,Yes,0.23118,2263,9590,0.22275,0.23962
2010,No migration background,female,No,0.76882,7327,9590,0.76038,0.77725
2010,Direct migration background,male,Yes,0.08311,98,1228,0.06767,0.09856
2010,Direct migration background,male,No,0.91689,1130,1228,0.90144,0.93233
2010,Direct migration background,female,Yes,0.12485,171,1578,0.10854,0.14116
2010,Direct migration background,female,No,0.87515,1407,1578,0.85884,0.89146
2010,Indirect migration background,male,Yes,0.19223,69,438,0.15529,0.22918
2010,Indirect migration background,male,No,0.80777,369,438,0.77082,0.84471
2010,Indirect migration background,female,Yes,0.11821,80,561,0.09147,0.14495
2010,Indirect migration background,female,No,0.88179,481,561,0.85505,0.90853
2011,No migration background,male,Yes,0.21641,1480,6795,0.20662,0.22621
2011,No migration background,male,No,0.78359,5315,6795,0.77379,0.79338
2011,No migration background,female,Yes,0.24619,2064,8234,0.23689,0.25550
2011,No migration background,female,No,0.75381,6170,8234,0.74450,0.76311
2011,Direct migration background,male,Yes,0.08189,81,820,0.06311,0.10067
2011,Direct migration background,male,No,0.91811,739,820,0.89933,0.93689
2011,Direct migration background,female,Yes,0.11032,115,1066,0.09151,0.12914
2011,Direct migration background,female,No,0.88968,951,1066,0.87086,0.90849
2011,Indirect migration background,male,Yes,0.18389,57,338,0.14253,0.22526
2011,Indirect migration background,male,No,0.81611,281,338,0.77474,0.85747
2011,Indirect migration background,female,Yes,0.15103,61,383,0.11512,0.18694
2011,Indirect migration background,female,No,0.84897,322,383,0.81306,0.88488
2012,No migration background,male,Yes,0.22414,1958,8546,0.21530,0.23299
2012,No migration background,male,No,0.77586,6588,8546,0.76701,0.78470
2012,No migration background,female,Yes,0.25633,2907,11211,0.24825,0.26442
2012,No migration background,female,No,0.74367,8304,11211,0.73558,0.75175
2012,Direct migration background,male,Yes,0.08672,126,1301,0.07142,0.10202
2012,Direct migration background,male,No,0.91328,1175,1301,0.89798,0.92858
2012,Direct migration background,female,Yes,0.10227,183,1725,0.08797,0.11658
2012,Direct migration background,female,No,0.89773,1542,1725,0.88342,0.91203
2012,Indirect migration background,male,Yes,0.22051,84,485,0.18358,0.25745
2012,Indirect migration background,male,No,0.77949,401,485,0.74255,0.81642
2012,Indirect migration background,female,Yes,0.15707,94,608,0.12812,0.18602
2012,Indirect migration background,female,No,0.84293,514,608,0.81398,0.87188
2013,No migration background,male,Yes,0.23824,1502,6211,0.22764,0.24883
2013,No migration background,male,No,0.76176,4709,6211,0.75117,0.77236
2013,No migration background,female,Yes,0.27177,2151,7578,0.26175,0.28178
2013,No migration background,female,No,0.72823,5427,7578,0.71822,0.73825
2013,Direct migration background,male,Yes,0.09619,78,691,0.07419,0.11819
2013,Direct migration background,male,No,0.90381,613,691,0.88181,0.92581
2013,Direct migration background,female,Yes,0.13999,128,955,0.11797,0.16200
2013,Direct migration background,female,No,0.86001,827,955,0.83800,0.88203
2013,Indirect migration background,male,Yes,0.25035,59,301,0.20132,0.29937
2013,Indirect migration background,male,No,0.74965,242,301,0.70063,0.79868
2013,Indirect migration background,female,Yes,0.24848,68,330,0.20178,0.29517
2013,Indirect migration background,female,No,0.75152,262,330,0.70483,0.79822
2014,No migration background,male,Yes,0.24764,1901,7476,0.23786,0.25743
2014,No migration background,male,No,0.75236,5575,7476,0.74257,0.76214
2014,No migration background,female,Yes,0.28720,2783,9571,0.27814,0.29627
2014,No migration background,female,No,0.71280,6788,9571,0.70373,0.72186
2014,Direct migration background,male,Yes,0.09302,191,2273,0.08108,0.10497
2014,Direct migration background,male,No,0.90698,2082,2273,0.89503,0.91892
2014,Direct migration background,female,Yes,0.10584,270,2806,0.09445,0.11722
2014,Direct migration background,female,No,0.89416,2536,2806,0.88278,0.90555
2014,Indirect migration background,male,Yes,0.15418,89,737,0.12809,0.18027
2014,Indirect migration background,male,No,0.84582,648,737,0.81973,0.87191
2014,Indirect migration background,female,Yes,0.18921,132,852,0.16290,0.21553
2014,Indirect migration background,female,No,0.81079,720,852,0.78447,0.83710
2016,No migration background,male,Yes,0.22370,1511,6620,0.21366,0.23374
2016,No migration background,male,No,0.77630,5109,6620,0.76626,0.78634
2016,No migration background,female,Yes,0.25779,2244,8446,0.24846,0.26712
2016,No migration background,female,No,0.74221,6202,8446,0.73288,0.75154
2016,Direct migration background,male,Yes,0.07996,145,2118,0.06841,0.09151
2016,Direct migration background,male,No,0.92004,1973,2118,0.90849,0.93159
2016,Direct migration background,female,Yes,0.11737,259,2658,0.10514,0.12961
2016,Direct migration background,female,No,0.88263,2399,2658,0.87039,0.89486
2016,Indirect migration background,male,Yes,0.15805,80,625,0.12943,0.18667
2016,Indirect migration background,male,No,0.84195,545,625,0.81333,0.87057
2016,Indirect migration background,female,Yes,0.16113,105,736,0.13455,0.18771
2016,Indirect migration background,female,No,0.83887,631,736,0.81229,0.86545
2018,No migration background,male,Yes,0.24304,1726,7390,0.23326,0.25282
2018,No migration background,male,No,0.75696,5664,7390,0.74718,0.76674
2018,No migration background,female,Yes,0.25892,2450,9203,0.24997,0.26787
2018,No migration background,female,No,0.74108,6753,9203,0.73213,0.75003
2018,Direct migration background,male,Yes,0.08258,159,1936,0.07032,0.09485
2018,Direct migration background,male,No,0.91742,1777,1936,0.90515,0.92968
2018,Direct migration background,female,Yes,0.13111,250,2473,0.11780,0.14441
2018,Direct migration background,female,No,0.86889,2223,2473,0.85559,0.88220
2018,Indirect migration background,male,Yes,0.15591,82,682,0.12867,0.18316
2018,Indirect migration background,male,No,0.84409,600,682,0.81684,0.87133
2018,Indirect migration background,female,Yes,0.18393,119,814,0.15729,0.21056
2018,Indirect migration background,female,No,0.81607,695,814,0.78944,0.84271
2020,No migration background,male,Yes,0.24199,1750,6801,0.23181,0.25217
2020,No migration background,male,No,0.75801,5051,6801,0.74783,0.76819
2020,No migration background,female,Yes,0.26645,2408,8443,0.25702,0.27588
2020,No migration background,female,No,0.73355,6035,8443,0.72412,0.74298
2020,Direct migration background,male,Yes,0.09006,179,2603,0.07906,0.10106
2020,Direct migration background,male,No,0.90994,2424,2603,0.89894,0.92094
2020,Direct migration background,female,Yes,0.14422,280,2751,0.13109,0.15735
2020,Direct migration background,female,No,0.85578,2471,2751,0.84265,0.86891
2020,Indirect migration background,male,Yes,0.14479,92,647,0.11765,0.17193
2020,Indirect migration background,male,No,0.85521,555,647,0.82807,0.88235
2020,Indirect migration background,female,Yes,0.15085,129,747,0.12516,0.17653
2020,Indirect migration background,female,No,0.84915,618,747,0.82347,0.87484
2022,No migration background,male,Yes,0.27545,1937,6892,0.26490,0.28599
2022,No migration background,male,No,0.72455,4955,6892,0.71401,0.73510
2022,No migration background,female,Yes,0.30435,2605,8233,0.29441,0.31429
2022,No migration background,female,No,0.69565,5628,8233,0.68571,0.70559
2022,Direct migration background,male,Yes,0.14573,293,2873,0.13282,0.15863
2022,Direct migration background,male,No,0.85427,2580,2873,0.84137,0.86718
2022,Direct migration background,female,Yes,0.15639,388,3081,0.14356,0.16921
2022,Direct migration background,female,No,0.84361,2693,3081,0.83079,0.85644
2022,Indirect migration background,male,Yes,0.24088,125,584,0.20617,0.27559
2022,Indirect migration background,male,No,0.75912,459,584,0.72441,0.79383
2022,Indirect migration background,female,Yes,0.18307,150,702,0.15445,0.21170
2022,Indirect migration background,female,No,0.81693,552,702,0.78830,0.84555
