year,quintil_oecd,regtyp,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,3rd Quintile,Rural regions,No,0.73010,1483,1594,0.70830,0.75190
2001,4th Quintile,Urban regions,Yes,0.09772,328,2609,0.08633,0.10912
2001,4th Quintile,Urban regions,No,0.64841,2281,2609,0.63008,0.66673
2001,4th Quintile,Rural regions,Yes,0.07995,133,1406,0.06577,0.09413
2001,4th Quintile,Rural regions,No,0.67663,1273,1406,0.65218,0.70109
2001,5th Quintile,Urban regions,Yes,0.13809,499,2376,0.12422,0.15197
2001,5th Quintile,Urban regions,No,0.47097,1877,2376,0.45090,0.49105
2001,5th Quintile,Rural regions,Yes,0.11483,125,844,0.09330,0.13635
2001,5th Quintile,Rural regions,No,0.56645,719,844,0.53299,0.59990
2002,1st Quintile,Urban regions,Yes,0.02505,53,2106,0.01838,0.03173
2002,1st Quintile,Urban regions,No,0.72049,2053,2106,0.70132,0.73966
2002,1st Quintile,Rural regions,Yes,0.03111,49,1270,0.02155,0.04066
2002,1st Quintile,Rural regions,No,0.73159,1221,1270,0.70721,0.75597
2002,2nd Quintile,Urban regions,Yes,0.04892,127,2271,0.04004,0.05779
2002,2nd Quintile,Urban regions,No,0.71159,2144,2271,0.69295,0.73022
2002,2nd Quintile,Rural regions,Yes,0.03494,67,1497,0.02563,0.04424
2002,2nd Quintile,Rural regions,No,0.74639,1430,1497,0.72434,0.76844
2002,3rd Quintile,Urban regions,Yes,0.07191,205,2366,0.06149,0.08232
2002,3rd Quintile,Urban regions,No,0.67654,2161,2366,0.65769,0.69539
2002,3rd Quintile,Rural regions,Yes,0.04713,100,1374,0.03592,0.05834
2002,3rd Quintile,Rural regions,No,0.72944,1274,1374,0.70594,0.75294
2002,4th Quintile,Urban regions,Yes,0.10018,302,2428,0.08824,0.11213
2002,4th Quintile,Urban regions,No,0.66279,2126,2428,0.64398,0.68159
2002,4th Quintile,Rural regions,Yes,0.07626,125,1421,0.06246,0.09007
2002,4th Quintile,Rural regions,No,0.68501,1296,1421,0.66085,0.70917
2002,5th Quintile,Urban regions,Yes,0.15477,591,2637,0.14096,0.16858
2002,5th Quintile,Urban regions,No,0.51247,2046,2637,0.49339,0.53155
2002,5th Quintile,Rural regions,Yes,0.11943,157,1024,0.09956,0.13930
2002,5th Quintile,Rural regions,No,0.59843,867,1024,0.56839,0.62847
2003,1st Quintile,Urban regions,Yes,0.02342,61,2110,0.01696,0.02987
2003,1st Quintile,Urban regions,No,0.72838,2049,2110,0.70940,0.74737
2003,1st Quintile,Rural regions,Yes,0.02489,40,1195,0.01606,0.03373
2003,1st Quintile,Rural regions,No,0.74427,1155,1195,0.71952,0.76902
2003,2nd Quintile,Urban regions,Yes,0.05112,134,2212,0.04194,0.06030
2003,2nd Quintile,Urban regions,No,0.71127,2078,2212,0.69238,0.73016
2003,2nd Quintile,Rural regions,Yes,0.04560,87,1512,0.03508,0.05611
2003,2nd Quintile,Rural regions,No,0.74505,1425,1512,0.72307,0.76702
2003,3rd Quintile,Urban regions,Yes,0.07405,215,2357,0.06348,0.08463
2003,3rd Quintile,Urban regions,No,0.67240,2142,2357,0.65345,0.69136
2003,3rd Quintile,Rural regions,Yes,0.04171,80,1397,0.03122,0.05220
2003,3rd Quintile,Rural regions,No,0.72577,1317,1397,0.70237,0.74917
2003,4th Quintile,Urban regions,Yes,0.11301,348,2506,0.10061,0.12540
2003,4th Quintile,Urban regions,No,0.64515,2158,2506,0.62641,0.66389
2003,4th Quintile,Rural regions,Yes,0.08435,146,1370,0.06963,0.09907
2003,4th Quintile,Rural regions,No,0.68496,1224,1370,0.66035,0.70957
2003,5th Quintile,Urban regions,Yes,0.14747,809,3103,0.13499,0.15994
2003,5th Quintile,Urban regions,No,0.46118,2294,3103,0.44364,0.47872
2003,5th Quintile,Rural regions,Yes,0.13059,220,1074,0.11043,0.15075
2003,5th Quintile,Rural regions,No,0.52732,854,1074,0.49745,0.55720
2004,1st Quintile,Urban regions,Yes,0.03285,80,1983,0.02501,0.04070
2004,1st Quintile,Urban regions,No,0.72068,1903,1983,0.70093,0.74043
2004,1st Quintile,Rural regions,Yes,0.02538,38,1162,0.01633,0.03443
2004,1st Quintile,Rural regions,No,0.74040,1124,1162,0.71519,0.76562
2004,2nd Quintile,Urban regions,Yes,0.06070,156,2222,0.05077,0.07063
2004,2nd Quintile,Urban regions,No,0.69530,2066,2222,0.67616,0.71444
2004,2nd Quintile,Rural regions,Yes,0.05320,76,1421,0.04152,0.06487
2004,2nd Quintile,Rural regions,No,0.75104,1345,1421,0.72855,0.77353
2004,3rd Quintile,Urban regions,Yes,0.07714,238,2316,0.06627,0.08800
2004,3rd Quintile,Urban regions,No,0.68042,2078,2316,0.66143,0.69942
2004,3rd Quintile,Rural regions,Yes,0.04152,95,1395,0.03104,0.05199
2004,3rd Quintile,Rural regions,No,0.73540,1300,1395,0.71224,0.75855
2004,4th Quintile,Urban regions,Yes,0.11018,338,2463,0.09781,0.12254
2004,4th Quintile,Urban regions,No,0.65416,2125,2463,0.63537,0.67295
2004,4th Quintile,Rural regions,Yes,0.08210,147,1322,0.06729,0.09690
2004,4th Quintile,Rural regions,No,0.66671,1175,1322,0.64129,0.69213
2004,5th Quintile,Urban regions,Yes,0.16232,827,2955,0.14902,0.17562
2004,5th Quintile,Urban regions,No,0.44835,2128,2955,0.43042,0.46629
2004,5th Quintile,Rural regions,Yes,0.14871,244,1089,0.12757,0.16986
2004,5th Quintile,Rural regions,No,0.52067,845,1089,0.49098,0.55035
2005,1st Quintile,Urban regions,Yes,0.03892,84,1959,0.03035,0.04748
2005,1st Quintile,Urban regions,No,0.71447,1875,1959,0.69446,0.73448
2005,1st Quintile,Rural regions,Yes,0.03491,46,1070,0.02391,0.04591
2005,1st Quintile,Rural regions,No,0.73048,1024,1070,0.70388,0.75707
2005,2nd Quintile,Urban regions,Yes,0.06762,166,2100,0.05687,0.07836
2005,2nd Quintile,Urban regions,No,0.70966,1934,2100,0.69024,0.72908
2005,2nd Quintile,Rural regions,Yes,0.05769,97,1391,0.04543,0.06995
2005,2nd Quintile,Rural regions,No,0.74315,1294,1391,0.72019,0.76612
2005,3rd Quintile,Urban regions,Yes,0.08497,234,2141,0.07316,0.09678
2005,3rd Quintile,Urban regions,No,0.66644,1907,2141,0.64646,0.68642
2005,3rd Quintile,Rural regions,Yes,0.07015,123,1323,0.05638,0.08392
2005,3rd Quintile,Rural regions,No,0.70816,1200,1323,0.68365,0.73266
2005,4th Quintile,Urban regions,Yes,0.12847,379,2414,0.11512,0.14182
2005,4th Quintile,Urban regions,No,0.64892,2035,2414,0.62987,0.66796
2005,4th Quintile,Rural regions,Yes,0.08847,177,1333,0.07322,0.10372
2005,4th Quintile,Rural regions,No,0.66094,1156,1333,0.63551,0.68636
2005,5th Quintile,Urban regions,Yes,0.17008,794,2786,0.15612,0.18403
2005,5th Quintile,Urban regions,No,0.43431,1992,2786,0.41590,0.45272
2005,5th Quintile,Rural regions,Yes,0.14330,218,977,0.12132,0.16529
2005,5th Quintile,Rural regions,No,0.49796,759,977,0.46659,0.52933
2006,1st Quintile,Urban regions,Yes,0.03778,95,1821,0.02902,0.04654
2006,1st Quintile,Urban regions,No,0.72787,1726,1821,0.70742,0.74831
2006,1st Quintile,Rural regions,Yes,0.03955,49,1006,0.02750,0.05160
2006,1st Quintile,Rural regions,No,0.70739,957,1006,0.67926,0.73552
2006,2nd Quintile,Urban regions,Yes,0.07605,178,1918,0.06418,0.08792
2006,2nd Quintile,Urban regions,No,0.68720,1740,1918,0.66644,0.70795
2006,2nd Quintile,Rural regions,Yes,0.06012,109,1251,0.04695,0.07330
2006,2nd Quintile,Rural regions,No,0.71250,1142,1251,0.68741,0.73759
2006,3rd Quintile,Urban regions,Yes,0.10625,275,2020,0.09281,0.11969
2006,3rd Quintile,Urban regions,No,0.65448,1745,2020,0.63374,0.67522
2006,3rd Quintile,Rural regions,Yes,0.09279,142,1314,0.07710,0.10849
2006,3rd Quintile,Rural regions,No,0.69245,1172,1314,0.66749,0.71741
2006,4th Quintile,Urban regions,Yes,0.14143,427,2251,0.12703,0.15582
2006,4th Quintile,Urban regions,No,0.60493,1824,2251,0.58473,0.62513
2006,4th Quintile,Rural regions,Yes,0.11671,192,1169,0.09830,0.13513
2006,4th Quintile,Rural regions,No,0.61989,977,1169,0.59206,0.64773
2006,5th Quintile,Urban regions,Yes,0.17320,825,2639,0.15876,0.18764
2006,5th Quintile,Urban regions,No,0.43438,1814,2639,0.41546,0.45329
2006,5th Quintile,Rural regions,Yes,0.16096,227,955,0.13764,0.18428
2006,5th Quintile,Rural regions,No,0.48346,728,955,0.45175,0.51517
2007,1st Quintile,Urban regions,Yes,0.05305,125,1932,0.04305,0.06304
2007,1st Quintile,Urban regions,No,0.71541,1807,1932,0.69528,0.73553
2007,1st Quintile,Rural regions,Yes,0.03096,55,1129,0.02085,0.04107
2007,1st Quintile,Rural regions,No,0.73328,1074,1129,0.70748,0.75909
2007,2nd Quintile,Urban regions,Yes,0.08295,219,2026,0.07094,0.09497
2007,2nd Quintile,Urban regions,No,0.67317,1807,2026,0.65274,0.69360
2007,2nd Quintile,Rural regions,Yes,0.07123,112,1332,0.05742,0.08505
2007,2nd Quintile,Rural regions,No,0.68546,1220,1332,0.66051,0.71041
2007,3rd Quintile,Urban regions,Yes,0.11841,324,2174,0.10483,0.13200
2007,3rd Quintile,Urban regions,No,0.64101,1850,2174,0.62084,0.66118
2007,3rd Quintile,Rural regions,Yes,0.10076,181,1403,0.08501,0.11652
2007,3rd Quintile,Rural regions,No,0.69041,1222,1403,0.66621,0.71461
2007,4th Quintile,Urban regions,Yes,0.14655,487,2375,0.13233,0.16078
2007,4th Quintile,Urban regions,No,0.59278,1888,2375,0.57301,0.61254
2007,4th Quintile,Rural regions,Yes,0.14720,234,1293,0.12788,0.16652
2007,4th Quintile,Rural regions,No,0.59290,1059,1293,0.56611,0.61969
2007,5th Quintile,Urban regions,Yes,0.20697,939,2660,0.19158,0.22237
2007,5th Quintile,Urban regions,No,0.38916,1721,2660,0.37063,0.40769
2007,5th Quintile,Rural regions,Yes,0.14691,239,990,0.12484,0.16897
2007,5th Quintile,Rural regions,No,0.49379,751,990,0.46263,0.52495
2008,1st Quintile,Urban regions,Yes,0.05852,122,1794,0.04766,0.06939
2008,1st Quintile,Urban regions,No,0.70446,1672,1794,0.68334,0.72558
2008,1st Quintile,Rural regions,Yes,0.04371,57,1079,0.03150,0.05591
2008,1st Quintile,Rural regions,No,0.73580,1022,1079,0.70948,0.76212
2008,2nd Quintile,Urban regions,Yes,0.10438,261,1975,0.09089,0.11787
2008,2nd Quintile,Urban regions,No,0.66681,1714,1975,0.64601,0.68760
2008,2nd Quintile,Rural regions,Yes,0.08631,133,1261,0.07080,0.10182
2008,2nd Quintile,Rural regions,No,0.71107,1128,1261,0.68604,0.73610
2008,3rd Quintile,Urban regions,Yes,0.15530,432,2094,0.13979,0.17082
2008,3rd Quintile,Urban regions,No,0.62053,1662,2094,0.59974,0.64132
2008,3rd Quintile,Rural regions,Yes,0.11685,218,1447,0.10029,0.13341
2008,3rd Quintile,Rural regions,No,0.67835,1229,1447,0.65427,0.70242
2008,4th Quintile,Urban regions,Yes,0.17156,499,2186,0.15575,0.18737
2008,4th Quintile,Urban regions,No,0.57788,1687,2186,0.55718,0.59859
2008,4th Quintile,Rural regions,Yes,0.17353,233,1135,0.15149,0.19558
2008,4th Quintile,Rural regions,No,0.56908,902,1135,0.54025,0.59790
2008,5th Quintile,Urban regions,Yes,0.23483,981,2566,0.21843,0.25124
2008,5th Quintile,Urban regions,No,0.37992,1585,2566,0.36114,0.39871
2008,5th Quintile,Rural regions,Yes,0.18520,256,928,0.16019,0.21021
2008,5th Quintile,Rural regions,No,0.46566,672,928,0.43355,0.49777
2010,1st Quintile,Urban regions,Yes,0.06528,118,1594,0.05315,0.07741
2010,1st Quintile,Urban regions,No,0.82184,1476,1594,0.80305,0.84063
2010,1st Quintile,Rural regions,Yes,0.04627,51,891,0.03247,0.06007
2010,1st Quintile,Rural regions,No,0.83599,840,891,0.81166,0.86032
2010,2nd Quintile,Urban regions,Yes,0.11894,237,1694,0.10352,0.13436
2010,2nd Quintile,Urban regions,No,0.74407,1457,1694,0.72328,0.76485
2010,2nd Quintile,Rural regions,Yes,0.09152,127,1196,0.07517,0.10787
2010,2nd Quintile,Rural regions,No,0.78761,1069,1196,0.76443,0.81080
2010,3rd Quintile,Urban regions,Yes,0.17018,391,1765,0.15264,0.18772
2010,3rd Quintile,Urban regions,No,0.67004,1374,1765,0.64810,0.69198
2010,3rd Quintile,Rural regions,Yes,0.13456,213,1227,0.11546,0.15366
2010,3rd Quintile,Rural regions,No,0.70006,1014,1227,0.67441,0.72571
2010,4th Quintile,Urban regions,Yes,0.21584,547,1909,0.19738,0.23430
2010,4th Quintile,Urban regions,No,0.54299,1362,1909,0.52063,0.56534
2010,4th Quintile,Rural regions,Yes,0.17674,244,1014,0.15325,0.20023
2010,4th Quintile,Rural regions,No,0.56766,770,1014,0.53715,0.59817
2010,5th Quintile,Urban regions,Yes,0.26351,884,2123,0.24477,0.28226
2010,5th Quintile,Urban regions,No,0.36880,1239,2123,0.34828,0.38933
2010,5th Quintile,Rural regions,Yes,0.20488,208,705,0.17507,0.23470
2010,5th Quintile,Rural regions,No,0.44120,497,705,0.40452,0.47787
2011,1st Quintile,Urban regions,Yes,0.05186,133,1439,0.04040,0.06332
2011,1st Quintile,Urban regions,No,0.57541,1306,1439,0.54986,0.60095
2011,1st Quintile,Rural regions,Yes,0.03528,60,949,0.02353,0.04702
2011,1st Quintile,Rural regions,No,0.61833,889,949,0.58741,0.64925
2011,2nd Quintile,Urban regions,Yes,0.10571,237,1557,0.09043,0.12099
2011,2nd Quintile,Urban regions,No,0.60012,1320,1557,0.57578,0.62446
2011,2nd Quintile,Rural regions,Yes,0.05906,121,1051,0.04480,0.07332
2011,2nd Quintile,Rural regions,No,0.61127,930,1051,0.58178,0.64075
2011,3rd Quintile,Urban regions,Yes,0.16414,383,1737,0.14672,0.18157
2011,3rd Quintile,Urban regions,No,0.55637,1354,1737,0.53300,0.57974
2011,3rd Quintile,Rural regions,Yes,0.12591,220,1112,0.10641,0.14542
2011,3rd Quintile,Rural regions,No,0.60981,892,1112,0.58113,0.63850
2011,4th Quintile,Urban regions,Yes,0.19352,554,1825,0.17539,0.21165
2011,4th Quintile,Urban regions,No,0.47593,1271,1825,0.45301,0.49885
2011,4th Quintile,Rural regions,Yes,0.18404,242,888,0.15854,0.20955
2011,4th Quintile,Rural regions,No,0.47754,646,888,0.44467,0.51042
2011,5th Quintile,Urban regions,Yes,0.24394,824,1919,0.22472,0.26316
2011,5th Quintile,Urban regions,No,0.32820,1095,1919,0.30718,0.34921
2011,5th Quintile,Rural regions,Yes,0.20233,220,717,0.17290,0.23176
2011,5th Quintile,Rural regions,No,0.40151,497,717,0.36561,0.43742
2012,1st Quintile,Urban regions,Yes,0.06637,288,3200,0.05775,0.07500
2012,1st Quintile,Urban regions,No,0.69915,2912,3200,0.68325,0.71504
2012,1st Quintile,Rural regions,Yes,0.05110,162,1999,0.04144,0.06075
2012,1st Quintile,Rural regions,No,0.73100,1837,1999,0.71156,0.75045
2012,2nd Quintile,Urban regions,Yes,0.11777,496,2820,0.10587,0.12967
2012,2nd Quintile,Urban regions,No,0.66524,2324,2820,0.64782,0.68266
2012,2nd Quintile,Rural regions,Yes,0.08852,302,1927,0.07583,0.10120
2012,2nd Quintile,Rural regions,No,0.71306,1625,1927,0.69286,0.73326
2012,3rd Quintile,Urban regions,Yes,0.19073,691,2605,0.17564,0.20582
2012,3rd Quintile,Urban regions,No,0.57842,1914,2605,0.55945,0.59738
2012,3rd Quintile,Rural regions,Yes,0.12616,358,1829,0.11094,0.14138
2012,3rd Quintile,Rural regions,No,0.66034,1471,1829,0.63863,0.68205
2012,4th Quintile,Urban regions,Yes,0.22991,820,2565,0.21362,0.24620
2012,4th Quintile,Urban regions,No,0.49564,1745,2565,0.47629,0.51500
2012,4th Quintile,Rural regions,Yes,0.19135,394,1450,0.17110,0.21161
2012,4th Quintile,Rural regions,No,0.55729,1056,1450,0.53171,0.58287
2012,5th Quintile,Urban regions,Yes,0.23835,1025,2420,0.22137,0.25533
2012,5th Quintile,Urban regions,No,0.35200,1395,2420,0.33297,0.37103
2012,5th Quintile,Rural regions,Yes,0.24335,343,949,0.21603,0.27066
2012,5th Quintile,Rural regions,No,0.38844,606,949,0.35741,0.41947
2013,1st Quintile,Urban regions,Yes,0.07249,178,1755,0.06036,0.08463
2013,1st Quintile,Urban regions,No,0.60423,1577,1755,0.58135,0.62712
2013,1st Quintile,Rural regions,Yes,0.04955,97,1243,0.03748,0.06162
2013,1st Quintile,Rural regions,No,0.64135,1146,1243,0.61467,0.66802
2013,2nd Quintile,Urban regions,Yes,0.11360,320,1951,0.09952,0.12769
2013,2nd Quintile,Urban regions,No,0.59862,1631,1951,0.57687,0.62038
2013,2nd Quintile,Rural regions,Yes,0.08817,180,1337,0.07297,0.10338
2013,2nd Quintile,Rural regions,No,0.61053,1157,1337,0.58439,0.63668
2013,3rd Quintile,Urban regions,Yes,0.18049,531,1959,0.16346,0.19753
2013,3rd Quintile,Urban regions,No,0.54244,1428,1959,0.52037,0.56451
2013,3rd Quintile,Rural regions,Yes,0.15507,310,1374,0.13592,0.17422
2013,3rd Quintile,Rural regions,No,0.60364,1064,1374,0.57777,0.62951
2013,4th Quintile,Urban regions,Yes,0.23546,692,2085,0.21725,0.25368
2013,4th Quintile,Urban regions,No,0.45327,1393,2085,0.43189,0.47464
2013,4th Quintile,Rural regions,Yes,0.21169,355,1206,0.18863,0.23476
2013,4th Quintile,Rural regions,No,0.48342,851,1206,0.45521,0.51164
2013,5th Quintile,Urban regions,Yes,0.24834,1036,2334,0.23081,0.26587
2013,5th Quintile,Urban regions,No,0.32471,1298,2334,0.30571,0.34371
2013,5th Quintile,Rural regions,Yes,0.21403,287,818,0.18590,0.24215
2013,5th Quintile,Rural regions,No,0.38871,531,818,0.35528,0.42214
2014,1st Quintile,Urban regions,Yes,0.06171,284,3608,0.05386,0.06957
2014,1st Quintile,Urban regions,No,0.70674,3324,3608,0.69188,0.72160
2014,1st Quintile,Rural regions,Yes,0.06565,181,2074,0.05499,0.07631
2014,1st Quintile,Rural regions,No,0.71079,1893,2074,0.69127,0.73031
2014,2nd Quintile,Urban regions,Yes,0.12807,496,3240,0.11656,0.13958
2014,2nd Quintile,Urban regions,No,0.64136,2744,3240,0.62485,0.65788
2014,2nd Quintile,Rural regions,Yes,0.10906,324,2058,0.09558,0.12253
2014,2nd Quintile,Rural regions,No,0.69942,1734,2058,0.67961,0.71924
2014,3rd Quintile,Urban regions,Yes,0.19426,741,2951,0.17998,0.20854
2014,3rd Quintile,Urban regions,No,0.57467,2210,2951,0.55683,0.59251
2014,3rd Quintile,Rural regions,Yes,0.18766,436,1819,0.16971,0.20561
2014,3rd Quintile,Rural regions,No,0.60141,1383,1819,0.57890,0.62391
2014,4th Quintile,Urban regions,Yes,0.24420,920,2826,0.22835,0.26004
2014,4th Quintile,Urban regions,No,0.47781,1906,2826,0.45939,0.49623
2014,4th Quintile,Rural regions,Yes,0.23190,470,1553,0.21090,0.25290
2014,4th Quintile,Rural regions,No,0.52911,1083,1553,0.50427,0.55394
2014,5th Quintile,Urban regions,Yes,0.25896,1168,2647,0.24227,0.27566
2014,5th Quintile,Urban regions,No,0.35141,1479,2647,0.33322,0.36960
2014,5th Quintile,Rural regions,Yes,0.24886,346,932,0.22109,0.27664
2014,5th Quintile,Rural regions,No,0.36530,586,932,0.33436,0.39623
2016,1st Quintile,Urban regions,Yes,0.05827,196,3076,0.04999,0.06655
2016,1st Quintile,Urban regions,No,0.68560,2880,3076,0.66919,0.70201
2016,1st Quintile,Rural regions,Yes,0.05538,111,1803,0.04482,0.06594
2016,1st Quintile,Rural regions,No,0.71274,1692,1803,0.69184,0.73363
2016,2nd Quintile,Urban regions,Yes,0.10639,443,2935,0.09523,0.11755
2016,2nd Quintile,Urban regions,No,0.68383,2492,2935,0.66700,0.70065
2016,2nd Quintile,Rural regions,Yes,0.09397,237,1961,0.08105,0.10689
2016,2nd Quintile,Rural regions,No,0.71603,1724,1961,0.69607,0.73600
2016,3rd Quintile,Urban regions,Yes,0.15760,571,2668,0.14377,0.17143
2016,3rd Quintile,Urban regions,No,0.61580,2097,2668,0.59734,0.63426
2016,3rd Quintile,Rural regions,Yes,0.15757,350,1607,0.13975,0.17539
2016,3rd Quintile,Rural regions,No,0.61972,1257,1607,0.59597,0.64346
2016,4th Quintile,Urban regions,Yes,0.23822,782,2548,0.22168,0.25477
2016,4th Quintile,Urban regions,No,0.50141,1766,2548,0.48199,0.52082
2016,4th Quintile,Rural regions,Yes,0.21044,388,1356,0.18873,0.23214
2016,4th Quintile,Rural regions,No,0.53564,968,1356,0.50909,0.56220
2016,5th Quintile,Urban regions,Yes,0.22918,954,2389,0.21232,0.24604
2016,5th Quintile,Urban regions,No,0.36428,1435,2389,0.34498,0.38358
2016,5th Quintile,Rural regions,Yes,0.25594,312,856,0.22669,0.28519
2016,5th Quintile,Rural regions,No,0.38180,544,856,0.34923,0.41436
2018,1st Quintile,Urban regions,Yes,0.06010,198,2838,0.05135,0.06884
2018,1st Quintile,Urban regions,No,0.66514,2640,2838,0.64777,0.68251
2018,1st Quintile,Rural regions,Yes,0.06258,115,1753,0.05124,0.07392
2018,1st Quintile,Rural regions,No,0.69750,1638,1753,0.67599,0.71901
2018,2nd Quintile,Urban regions,Yes,0.12156,443,2984,0.10983,0.13328
2018,2nd Quintile,Urban regions,No,0.67123,2541,2984,0.65437,0.68809
2018,2nd Quintile,Rural regions,Yes,0.10252,292,1939,0.08901,0.11602
2018,2nd Quintile,Rural regions,No,0.68097,1647,1939,0.66022,0.70172
2018,3rd Quintile,Urban regions,Yes,0.17862,621,2690,0.16415,0.19310
2018,3rd Quintile,Urban regions,No,0.59104,2069,2690,0.57246,0.60963
2018,3rd Quintile,Rural regions,Yes,0.17815,413,1703,0.15997,0.19633
2018,3rd Quintile,Rural regions,No,0.60733,1290,1703,0.58413,0.63053
2018,4th Quintile,Urban regions,Yes,0.21388,749,2571,0.19802,0.22973
2018,4th Quintile,Urban regions,No,0.52211,1822,2571,0.50280,0.54142
2018,4th Quintile,Rural regions,Yes,0.22760,446,1413,0.20573,0.24947
2018,4th Quintile,Rural regions,No,0.53900,967,1413,0.51300,0.56500
2018,5th Quintile,Urban regions,Yes,0.24533,1011,2504,0.22847,0.26218
2018,5th Quintile,Urban regions,No,0.36809,1493,2504,0.34920,0.38698
2018,5th Quintile,Rural regions,Yes,0.25353,355,952,0.22588,0.28118
2018,5th Quintile,Rural regions,No,0.38123,597,952,0.35036,0.41210
2020,1st Quintile,Urban regions,Yes,0.06533,211,2583,0.05580,0.07486
2020,1st Quintile,Urban regions,No,0.67189,2372,2583,0.65377,0.69000
2020,1st Quintile,Rural regions,Yes,0.05570,104,1515,0.04414,0.06725
2020,1st Quintile,Rural regions,No,0.70552,1411,1515,0.68256,0.72848
2020,2nd Quintile,Urban regions,Yes,0.12650,426,2633,0.11380,0.13920
2020,2nd Quintile,Urban regions,No,0.65864,2207,2633,0.64053,0.67676
2020,2nd Quintile,Rural regions,Yes,0.13334,297,1836,0.11778,0.14889
2020,2nd Quintile,Rural regions,No,0.62638,1539,1836,0.60425,0.64852
2020,3rd Quintile,Urban regions,Yes,0.19225,648,2463,0.17668,0.20781
2020,3rd Quintile,Urban regions,No,0.56795,1815,2463,0.54839,0.58752
