year,migback,sampreg,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Direct migration background,East,No,0.95542,112,112,0.91703,0.99381
2002,Indirect migration background,West,Yes,0.02534,49,683,0.01355,0.03714
2002,Indirect migration background,West,No,0.33026,634,683,0.29496,0.36555
2003,No migration background,West,Yes,0.09702,1710,10872,0.09145,0.10258
2003,No migration background,West,No,0.62070,9162,10872,0.61158,0.62982
2003,No migration background,East,Yes,0.04355,278,4802,0.03778,0.04933
2003,No migration background,East,No,0.77364,4524,4802,0.76181,0.78548
2003,Direct migration background,West,Yes,0.03705,91,2351,0.02941,0.04469
2003,Direct migration background,West,No,0.85408,2260,2351,0.83981,0.86836
2003,Direct migration background,East,No,0.94116,99,99,0.89457,0.98775
2003,Indirect migration background,West,Yes,0.03285,57,680,0.01944,0.04626
2003,Indirect migration background,West,No,0.33408,623,680,0.29861,0.36956
2004,No migration background,West,Yes,0.10418,1761,10558,0.09835,0.11000
2004,No migration background,West,No,0.61415,8797,10558,0.60486,0.62344
2004,No migration background,East,Yes,0.04903,316,4671,0.04283,0.05522
2004,No migration background,East,No,0.76950,4355,4671,0.75742,0.78158
2004,Direct migration background,West,Yes,0.03918,99,2276,0.03120,0.04715
2004,Direct migration background,West,No,0.86544,2177,2276,0.85141,0.87946
2004,Direct migration background,East,No,0.92923,95,95,0.87739,0.98107
2004,Indirect migration background,West,Yes,0.03869,57,693,0.02432,0.05306
2004,Indirect migration background,West,No,0.35128,636,693,0.31571,0.38685
2004,Indirect migration background,East,No,0.57912,32,32,0.40532,0.75291
2005,No migration background,West,Yes,0.11591,1789,10073,0.10966,0.12216
2005,No migration background,West,No,0.60487,8284,10073,0.59532,0.61442
2005,No migration background,East,Yes,0.05377,348,4476,0.04716,0.06038
2005,No migration background,East,No,0.75474,4128,4476,0.74213,0.76734
2005,Direct migration background,West,Yes,0.04821,107,2100,0.03905,0.05737
2005,Direct migration background,West,No,0.85181,1993,2100,0.83661,0.86701
2005,Direct migration background,East,No,0.89304,90,90,0.82884,0.95725
2005,Indirect migration background,West,Yes,0.04040,65,717,0.02598,0.05482
2005,Indirect migration background,West,No,0.39518,652,717,0.35937,0.43099
2005,Indirect migration background,East,No,0.48125,31,31,0.30246,0.66005
2006,No migration background,West,Yes,0.12854,2222,10939,0.12227,0.13481
2006,No migration background,West,No,0.58343,8717,10939,0.57419,0.59267
2006,No migration background,East,Yes,0.06701,421,4700,0.05986,0.07416
2006,No migration background,East,No,0.74070,4279,4700,0.72816,0.75323
2006,Direct migration background,West,Yes,0.05626,130,2100,0.04640,0.06611
2006,Direct migration background,West,No,0.84334,1970,2100,0.82779,0.85889
2006,Direct migration background,East,No,0.87246,97,97,0.80574,0.93919
2006,Indirect migration background,West,Yes,0.05228,81,699,0.03576,0.06879
2006,Indirect migration background,West,No,0.37966,618,699,0.34366,0.41567
2006,Indirect migration background,East,No,0.44584,34,34,0.27624,0.61543
2007,No migration background,West,Yes,0.14207,2225,10179,0.13528,0.14885
2007,No migration background,West,No,0.56584,7954,10179,0.55621,0.57547
2007,No migration background,East,Yes,0.07504,466,4456,0.06731,0.08278
2007,No migration background,East,No,0.73501,3990,4456,0.72205,0.74797
2007,Direct migration background,West,Yes,0.06354,136,1890,0.05254,0.07455
2007,Direct migration background,West,No,0.83972,1754,1890,0.82318,0.85627
2007,Direct migration background,East,No,0.91914,82,82,0.85977,0.97851
2007,Indirect migration background,West,Yes,0.05498,77,666,0.03766,0.07231
2007,Indirect migration background,West,No,0.38810,589,666,0.35107,0.42514
2007,Indirect migration background,East,No,0.50138,32,32,0.32537,0.67739
2008,No migration background,West,Yes,0.16562,2384,9677,0.15821,0.17303
2008,No migration background,West,No,0.55352,7293,9677,0.54361,0.56342
2008,No migration background,East,Yes,0.09526,547,4290,0.08647,0.10404
2008,No migration background,East,No,0.72682,3743,4290,0.71349,0.74016
2008,Direct migration background,West,Yes,0.08983,151,1718,0.07631,0.10336
2008,Direct migration background,West,No,0.83643,1567,1718,0.81894,0.85393
2008,Direct migration background,East,No,0.92930,71,71,0.86926,0.98935
2008,Indirect migration background,West,Yes,0.06995,98,666,0.05056,0.08934
2008,Indirect migration background,West,No,0.39631,568,666,0.35913,0.43348
2008,Indirect migration background,East,No,0.52901,33,33,0.35606,0.70196
2010,No migration background,West,Yes,0.17928,3141,12024,0.17243,0.18614
2010,No migration background,West,No,0.54467,8883,12024,0.53577,0.55358
2010,No migration background,East,Yes,0.10644,659,4848,0.09775,0.11512
2010,No migration background,East,No,0.71289,4189,4848,0.70016,0.72563
2010,Direct migration background,West,Yes,0.09770,262,2678,0.08645,0.10894
2010,Direct migration background,West,No,0.81675,2416,2678,0.80210,0.83141
2010,Direct migration background,East,No,0.86553,121,121,0.80449,0.92657
2010,Indirect migration background,West,Yes,0.07001,145,936,0.05365,0.08636
2010,Indirect migration background,West,No,0.35951,791,936,0.32875,0.39027
2010,Indirect migration background,East,No,0.54019,59,59,0.41192,0.66845
2011,No migration background,West,Yes,0.17040,2888,10655,0.16326,0.17754
2011,No migration background,West,No,0.48833,7767,10655,0.47883,0.49782
2011,No migration background,East,Yes,0.10692,656,4374,0.09776,0.11607
2011,No migration background,East,No,0.63527,3718,4374,0.62100,0.64954
2011,Direct migration background,West,Yes,0.07479,186,1795,0.06262,0.08696
2011,Direct migration background,West,No,0.69286,1609,1795,0.67151,0.71421
2011,Direct migration background,East,No,0.67988,81,81,0.57765,0.78212
2011,Indirect migration background,West,Yes,0.06261,112,686,0.04447,0.08075
2011,Indirect migration background,West,No,0.30714,574,686,0.27260,0.34169
2012,No migration background,West,Yes,0.19283,4020,14298,0.18636,0.19930
2012,No migration background,West,No,0.52497,10278,14298,0.51678,0.53315
2012,No migration background,East,Yes,0.11961,845,5459,0.11100,0.12822
2012,No migration background,East,No,0.68560,4614,5459,0.67328,0.69792
2012,Direct migration background,West,Yes,0.08749,295,2860,0.07713,0.09785
2012,Direct migration background,West,No,0.82655,2565,2860,0.81267,0.84043
2012,Direct migration background,East,No,0.84734,152,152,0.78998,0.90471
2012,Indirect migration background,West,Yes,0.08065,173,1034,0.06404,0.09726
2012,Indirect migration background,West,No,0.33898,861,1034,0.31011,0.36785
2012,Indirect migration background,East,No,0.41735,54,54,0.28459,0.55011
2013,No migration background,West,Yes,0.18701,2964,9798,0.17929,0.19473
2013,No migration background,West,No,0.46913,6834,9798,0.45925,0.47901
2013,No migration background,East,Yes,0.12034,689,3991,0.11024,0.13043
2013,No migration background,East,No,0.63030,3302,3991,0.61532,0.64528
2013,Direct migration background,West,Yes,0.05678,195,1559,0.04529,0.06828
2013,Direct migration background,West,No,0.41940,1364,1559,0.39490,0.44390
2013,Direct migration background,East,No,0.32071,76,76,0.21508,0.42635
2013,Indirect migration background,West,Yes,0.05593,124,597,0.03748,0.07438
2013,Indirect migration background,West,No,0.16014,473,597,0.13070,0.18959
2013,Indirect migration background,East,No,0.26043,31,31,0.10338,0.41747
2014,No migration background,West,Yes,0.21347,3860,12314,0.20623,0.22071
2014,No migration background,West,No,0.50389,8454,12314,0.49506,0.51272
2014,No migration background,East,Yes,0.13874,824,4733,0.12889,0.14859
2014,No migration background,East,No,0.66722,3909,4733,0.65379,0.68064
2014,Direct migration background,West,Yes,0.09079,438,4723,0.08260,0.09899
2014,Direct migration background,West,No,0.82721,4285,4723,0.81642,0.83799
2014,Direct migration background,East,No,0.81207,333,333,0.77004,0.85409
2014,Indirect migration background,West,Yes,0.08090,217,1509,0.06714,0.09466
2014,Indirect migration background,West,No,0.38006,1292,1509,0.35556,0.40456
2014,Indirect migration background,East,No,0.42602,76,76,0.31411,0.53794
2016,No migration background,West,Yes,0.19438,3091,10870,0.18694,0.20182
2016,No migration background,West,No,0.52482,7779,10870,0.51543,0.53420
2016,No migration background,East,Yes,0.11455,664,4196,0.10491,0.12419
2016,No migration background,East,No,0.68032,3532,4196,0.66621,0.69443
2016,Direct migration background,West,Yes,0.08873,382,4414,0.08034,0.09712
2016,Direct migration background,West,No,0.78594,4032,4414,0.77384,0.79804
2016,Direct migration background,East,No,0.72316,340,340,0.67553,0.77079
2016,Indirect migration background,West,Yes,0.07611,182,1268,0.06151,0.09071
2016,Indirect migration background,West,No,0.38100,1086,1268,0.35426,0.40774
2016,Indirect migration background,East,No,0.49630,90,90,0.39243,0.60018
2018,No migration background,West,Yes,0.19857,3332,11949,0.19142,0.20573
2018,No migration background,West,No,0.52693,8617,11949,0.51798,0.53588
2018,No migration background,East,Yes,0.13777,844,4644,0.12785,0.14768
2018,No migration background,East,No,0.65673,3800,4644,0.64307,0.67039
2018,Direct migration background,West,Yes,0.09540,386,4051,0.08635,0.10445
2018,Direct migration background,West,No,0.76657,3665,4051,0.75354,0.77960
2018,Direct migration background,East,No,0.66265,335,335,0.61194,0.71335
2018,Indirect migration background,West,Yes,0.08411,194,1393,0.06953,0.09869
2018,Indirect migration background,West,No,0.39836,1199,1393,0.37264,0.42408
2018,Indirect migration background,East,No,0.39036,96,96,0.29226,0.48846
2020,No migration background,West,Yes,0.19664,3335,11042,0.18923,0.20406
2020,No migration background,West,No,0.51897,7707,11042,0.50965,0.52829
2020,No migration background,East,Yes,0.14693,824,4209,0.13623,0.15763
2020,No migration background,East,No,0.64769,3385,4209,0.63326,0.66212
2020,Direct migration background,West,Yes,0.10215,424,4867,0.09364,0.11066
2020,Direct migration background,West,No,0.75791,4443,4867,0.74588,0.76995
2020,Direct migration background,East,Yes,0.08479,35,487,0.06002,0.10955
2020,Direct migration background,East,No,0.63936,452,487,0.59667,0.68205
2020,Indirect migration background,West,Yes,0.06877,202,1292,0.05497,0.08258
2020,Indirect migration background,West,No,0.39471,1090,1292,0.36804,0.42137
2020,Indirect migration background,East,No,0.41994,83,83,0.31311,0.52676
2022,No migration background,West,Yes,0.21891,3672,10975,0.21118,0.22665
2022,No migration background,West,No,0.47529,7303,10975,0.46595,0.48463
2022,No migration background,East,Yes,0.15107,872,4162,0.14019,0.16196
2022,No migration background,East,No,0.61383,3290,4162,0.59903,0.62862
2022,Direct migration background,West,Yes,0.12852,631,5228,0.11945,0.13760
2022,Direct migration background,West,No,0.69138,4597,5228,0.67886,0.70390
2022,Direct migration background,East,Yes,0.06690,51,732,0.04879,0.08501
2022,Direct migration background,East,No,0.72349,681,732,0.69107,0.75592
2022,Indirect migration background,West,Yes,0.10420,253,1145,0.08650,0.12191
2022,Indirect migration background,West,No,0.37677,892,1145,0.34869,0.40485
2022,Indirect migration background,East,No,0.43003,119,119,0.34070,0.51936
