year,age_gr,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,30-45 y.,No,0.83767,4393,5308,0.82775,0.84759
2006,46-65 y.,Yes,0.16171,1088,6065,0.15244,0.17097
2006,46-65 y.,No,0.83829,4977,6065,0.82903,0.84756
2006,66 and older,Yes,0.10916,467,3945,0.09943,0.11889
2006,66 and older,No,0.89084,3478,3945,0.88111,0.90057
2007,17-29 y.,Yes,0.13239,382,2996,0.12025,0.14453
2007,17-29 y.,No,0.86761,2614,2996,0.85547,0.87975
2007,30-45 y.,Yes,0.18378,921,4821,0.17284,0.19471
2007,30-45 y.,No,0.81622,3900,4821,0.80529,0.82716
2007,46-65 y.,Yes,0.17396,1082,5665,0.16409,0.18383
2007,46-65 y.,No,0.82604,4583,5665,0.81617,0.83591
2007,66 and older,Yes,0.12601,530,3834,0.11550,0.13651
2007,66 and older,No,0.87399,3304,3834,0.86349,0.88450
2008,17-29 y.,Yes,0.14962,422,2830,0.13647,0.16276
2008,17-29 y.,No,0.85038,2408,2830,0.83724,0.86353
2008,30-45 y.,Yes,0.22595,984,4431,0.21363,0.23826
2008,30-45 y.,No,0.77405,3447,4431,0.76174,0.78637
2008,46-65 y.,Yes,0.19345,1161,5421,0.18293,0.20397
2008,46-65 y.,No,0.80655,4260,5421,0.79603,0.81707
2008,66 and older,Yes,0.15705,625,3785,0.14546,0.16865
2008,66 and older,No,0.84295,3160,3785,0.83135,0.85454
2010,17-29 y.,Yes,0.16464,495,3615,0.15255,0.17673
2010,17-29 y.,No,0.83536,3120,3615,0.82327,0.84745
2010,30-45 y.,Yes,0.23537,1752,7876,0.22600,0.24474
2010,30-45 y.,No,0.76463,6124,7876,0.75526,0.77400
2010,46-65 y.,Yes,0.21602,1342,5701,0.20534,0.22670
2010,46-65 y.,No,0.78398,4359,5701,0.77330,0.79466
2010,66 and older,Yes,0.16991,629,3485,0.15743,0.18238
2010,66 and older,No,0.83009,2856,3485,0.81762,0.84257
2011,17-29 y.,Yes,0.15642,396,2680,0.14266,0.17018
2011,17-29 y.,No,0.84358,2284,2680,0.82982,0.85734
2011,30-45 y.,Yes,0.24808,1024,4185,0.23499,0.26117
2011,30-45 y.,No,0.75192,3161,4185,0.73883,0.76501
2011,46-65 y.,Yes,0.23104,1577,6394,0.22071,0.24137
2011,46-65 y.,No,0.76896,4817,6394,0.75863,0.77929
2011,66 and older,Yes,0.19187,861,4377,0.18020,0.20353
2011,66 and older,No,0.80813,3516,4377,0.79647,0.81980
2012,17-29 y.,Yes,0.14822,504,3657,0.13670,0.15973
2012,17-29 y.,No,0.85178,3153,3657,0.84027,0.86330
2012,30-45 y.,Yes,0.25277,1897,7965,0.24322,0.26231
2012,30-45 y.,No,0.74723,6068,7965,0.73769,0.75678
2012,46-65 y.,Yes,0.24237,2047,7833,0.23288,0.25186
2012,46-65 y.,No,0.75763,5786,7833,0.74814,0.76712
2012,66 and older,Yes,0.19331,904,4421,0.18167,0.20495
2012,66 and older,No,0.80669,3517,4421,0.79505,0.81833
2013,17-29 y.,Yes,0.16847,379,2279,0.15310,0.18384
2013,17-29 y.,No,0.83153,1900,2279,0.81616,0.84690
2013,30-45 y.,Yes,0.27693,948,3535,0.26217,0.29168
2013,30-45 y.,No,0.72307,2587,3535,0.70832,0.73783
2013,46-65 y.,Yes,0.27432,1718,6085,0.26311,0.28553
2013,46-65 y.,No,0.72568,4367,6085,0.71447,0.73689
2013,66 and older,Yes,0.21711,941,4167,0.20459,0.22963
2013,66 and older,No,0.78289,3226,4167,0.77037,0.79541
2014,17-29 y.,Yes,0.14538,498,3966,0.13440,0.15635
2014,17-29 y.,No,0.85462,3468,3966,0.84365,0.86560
2014,30-45 y.,Yes,0.27035,1798,7659,0.26040,0.28030
2014,30-45 y.,No,0.72965,5861,7659,0.71970,0.73960
2014,46-65 y.,Yes,0.26686,2090,7909,0.25711,0.27660
2014,46-65 y.,No,0.73314,5819,7909,0.72340,0.74289
2014,66 and older,Yes,0.22665,980,4181,0.21396,0.23935
2014,66 and older,No,0.77335,3201,4181,0.76065,0.78604
2016,17-29 y.,Yes,0.10525,367,3512,0.09510,0.11540
2016,17-29 y.,No,0.89475,3145,3512,0.88460,0.90490
2016,30-45 y.,Yes,0.24838,1376,6423,0.23781,0.25895
2016,30-45 y.,No,0.75162,5047,6423,0.74105,0.76219
2016,46-65 y.,Yes,0.25432,1801,7347,0.24436,0.26428
2016,46-65 y.,No,0.74568,5546,7347,0.73572,0.75564
2016,66 and older,Yes,0.19589,800,3921,0.18347,0.20832
2016,66 and older,No,0.80411,3121,3921,0.79168,0.81653
2018,17-29 y.,Yes,0.14097,449,3897,0.13004,0.15189
2018,17-29 y.,No,0.85903,3448,3897,0.84811,0.86996
2018,30-45 y.,Yes,0.22911,1321,6157,0.21861,0.23961
2018,30-45 y.,No,0.77089,4836,6157,0.76039,0.78139
2018,46-65 y.,Yes,0.26476,2128,8319,0.25528,0.27424
2018,46-65 y.,No,0.73524,6191,8319,0.72576,0.74472
2018,66 and older,Yes,0.20989,888,4125,0.19746,0.22232
2018,66 and older,No,0.79011,3237,4125,0.77768,0.80254
2020,17-29 y.,Yes,0.11675,428,3988,0.10678,0.12672
2020,17-29 y.,No,0.88325,3560,3988,0.87328,0.89322
2020,30-45 y.,Yes,0.23556,1224,6036,0.22486,0.24627
2020,30-45 y.,No,0.76444,4812,6036,0.75373,0.77514
2020,46-65 y.,Yes,0.28480,2289,8097,0.27497,0.29463
2020,46-65 y.,No,0.71520,5808,8097,0.70537,0.72503
2020,66 and older,Yes,0.20826,898,3878,0.19548,0.22104
2020,66 and older,No,0.79174,2980,3878,0.77896,0.80452
2022,17-29 y.,Yes,0.16282,671,4806,0.15238,0.17326
2022,17-29 y.,No,0.83718,4135,4806,0.82674,0.84762
2022,30-45 y.,Yes,0.25920,1646,7233,0.24910,0.26930
2022,30-45 y.,No,0.74080,5587,7233,0.73070,0.75090
2022,46-65 y.,Yes,0.30076,2294,7182,0.29015,0.31136
2022,46-65 y.,No,0.69924,4888,7182,0.68864,0.70985
2022,66 and older,Yes,0.26363,891,3169,0.24828,0.27897
2022,66 and older,No,0.73637,2278,3169,0.72103,0.75172
