year,migback,regtyp,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Indirect migration background,Rural regions,No,0.33844,94,94,0.24227,0.43461
2008,No migration background,Urban regions,Yes,0.16669,2079,8548,0.15879,0.17459
2008,No migration background,Urban regions,No,0.56333,6469,8548,0.55282,0.57385
2008,No migration background,Rural regions,Yes,0.12051,852,5419,0.11184,0.12917
2008,No migration background,Rural regions,No,0.64119,4567,5419,0.62842,0.65396
2008,Direct migration background,Urban regions,Yes,0.08641,127,1473,0.07205,0.10076
2008,Direct migration background,Urban regions,No,0.84820,1346,1473,0.82987,0.86653
2008,Direct migration background,Rural regions,Yes,0.09978,31,323,0.06704,0.13251
2008,Direct migration background,Rural regions,No,0.80145,292,323,0.75788,0.84502
2008,Indirect migration background,Urban regions,Yes,0.07114,89,595,0.05047,0.09181
2008,Indirect migration background,Urban regions,No,0.39631,506,595,0.35697,0.43565
2008,Indirect migration background,Rural regions,No,0.42219,95,95,0.32234,0.52204
2010,No migration background,Urban regions,Yes,0.18186,2599,10240,0.17439,0.18933
2010,No migration background,Urban regions,No,0.55450,7641,10240,0.54487,0.56413
2010,No migration background,Rural regions,Yes,0.12973,1201,6632,0.12164,0.13782
2010,No migration background,Rural regions,No,0.62906,5431,6632,0.61743,0.64069
2010,Direct migration background,Urban regions,Yes,0.10355,227,2205,0.09083,0.11627
2010,Direct migration background,Urban regions,No,0.81327,1978,2205,0.79700,0.82954
2010,Direct migration background,Rural regions,Yes,0.07246,42,601,0.05171,0.09320
2010,Direct migration background,Rural regions,No,0.83646,559,601,0.80686,0.86605
2010,Indirect migration background,Urban regions,Yes,0.07317,128,817,0.05530,0.09104
2010,Indirect migration background,Urban regions,No,0.36537,689,817,0.33233,0.39841
2010,Indirect migration background,Rural regions,No,0.37226,161,161,0.29735,0.44716
2011,No migration background,Urban regions,Yes,0.17352,2433,9139,0.16575,0.18128
2011,No migration background,Urban regions,No,0.49914,6706,9139,0.48889,0.50940
2011,No migration background,Rural regions,Yes,0.12644,1111,5890,0.11795,0.13493
2011,No migration background,Rural regions,No,0.55650,4779,5890,0.54381,0.56918
2011,Direct migration background,Urban regions,Yes,0.08214,162,1445,0.06797,0.09630
2011,Direct migration background,Urban regions,No,0.68343,1283,1445,0.65944,0.70742
2011,Direct migration background,Rural regions,Yes,0.05026,34,441,0.02984,0.07067
2011,Direct migration background,Rural regions,No,0.72285,407,441,0.68103,0.76467
2011,Indirect migration background,Urban regions,Yes,0.06641,97,591,0.04632,0.08651
2011,Indirect migration background,Urban regions,No,0.30415,494,591,0.26702,0.34127
2011,Indirect migration background,Rural regions,No,0.31176,109,109,0.22440,0.39913
2012,No migration background,Urban regions,Yes,0.19589,3246,11745,0.18871,0.20306
2012,No migration background,Urban regions,No,0.52727,8499,11745,0.51824,0.53630
2012,No migration background,Rural regions,Yes,0.14382,1619,8012,0.13614,0.15151
2012,No migration background,Rural regions,No,0.61582,6393,8012,0.60517,0.62647
2012,Direct migration background,Urban regions,Yes,0.09241,243,2251,0.08044,0.10438
2012,Direct migration background,Urban regions,No,0.82085,2008,2251,0.80501,0.83670
2012,Direct migration background,Rural regions,Yes,0.06998,66,775,0.05200,0.08795
2012,Direct migration background,Rural regions,No,0.84738,709,775,0.82204,0.87272
2012,Indirect migration background,Urban regions,Yes,0.08620,148,871,0.06755,0.10485
2012,Indirect migration background,Urban regions,No,0.33946,723,871,0.30799,0.37093
2012,Indirect migration background,Rural regions,No,0.35162,192,192,0.28390,0.41934
2013,No migration background,Urban regions,Yes,0.19115,2498,8342,0.18271,0.19959
2013,No migration background,Urban regions,No,0.47520,5844,8342,0.46448,0.48591
2013,No migration background,Rural regions,Yes,0.14055,1155,5447,0.13132,0.14978
2013,No migration background,Rural regions,No,0.55248,4292,5447,0.53927,0.56568
2013,Direct migration background,Urban regions,Yes,0.05419,159,1243,0.04160,0.06678
2013,Direct migration background,Urban regions,No,0.40876,1084,1243,0.38142,0.43610
2013,Direct migration background,Rural regions,Yes,0.06561,47,403,0.04140,0.08981
2013,Direct migration background,Rural regions,No,0.43685,356,403,0.38837,0.48534
2013,Indirect migration background,Urban regions,Yes,0.05076,100,503,0.03156,0.06997
2013,Indirect migration background,Urban regions,No,0.15486,403,503,0.12321,0.18651
2013,Indirect migration background,Rural regions,No,0.20369,101,101,0.12475,0.28263
2014,No migration background,Urban regions,Yes,0.21304,3090,10184,0.20509,0.22099
2014,No migration background,Urban regions,No,0.51008,7094,10184,0.50037,0.51979
2014,No migration background,Rural regions,Yes,0.16990,1594,6863,0.16101,0.17878
2014,No migration background,Rural regions,No,0.58950,5269,6863,0.57786,0.60114
2014,Direct migration background,Urban regions,Yes,0.08523,345,3797,0.07634,0.09411
2014,Direct migration background,Urban regions,No,0.82945,3452,3797,0.81748,0.84141
2014,Direct migration background,Rural regions,Yes,0.11421,116,1282,0.09679,0.13163
2014,Direct migration background,Rural regions,No,0.81569,1166,1282,0.79446,0.83692
2014,Indirect migration background,Urban regions,Yes,0.07221,174,1294,0.05811,0.08632
2014,Indirect migration background,Urban regions,No,0.38676,1120,1294,0.36022,0.41331
2014,Indirect migration background,Rural regions,Yes,0.10773,47,295,0.07229,0.14317
2014,Indirect migration background,Rural regions,No,0.35810,248,295,0.30330,0.41291
2016,No migration background,Urban regions,Yes,0.19001,2482,8998,0.18190,0.19811
2016,No migration background,Urban regions,No,0.53408,6516,8998,0.52377,0.54439
2016,No migration background,Rural regions,Yes,0.15523,1273,6068,0.14612,0.16434
2016,No migration background,Rural regions,No,0.59970,4795,6068,0.58738,0.61203
2016,Direct migration background,Urban regions,Yes,0.08310,319,3534,0.07400,0.09220
2016,Direct migration background,Urban regions,No,0.78773,3215,3534,0.77424,0.80121
2016,Direct migration background,Rural regions,Yes,0.09879,85,1242,0.08219,0.11539
2016,Direct migration background,Rural regions,No,0.76183,1157,1242,0.73813,0.78553
2016,Indirect migration background,Urban regions,Yes,0.06820,145,1088,0.05322,0.08319
2016,Indirect migration background,Urban regions,No,0.39069,943,1088,0.36168,0.41969
2016,Indirect migration background,Rural regions,Yes,0.09721,40,273,0.06200,0.13241
2016,Indirect migration background,Rural regions,No,0.36504,233,273,0.30783,0.42226
2018,No migration background,Urban regions,Yes,0.19479,2668,9968,0.18702,0.20257
2018,No migration background,Urban regions,No,0.53526,7300,9968,0.52546,0.54505
2018,No migration background,Rural regions,Yes,0.16953,1508,6625,0.16049,0.17857
2018,No migration background,Rural regions,No,0.58845,5117,6625,0.57660,0.60030
2018,Direct migration background,Urban regions,Yes,0.09039,309,3269,0.08056,0.10022
2018,Direct migration background,Urban regions,No,0.76615,2960,3269,0.75164,0.78067
2018,Direct migration background,Rural regions,Yes,0.10199,100,1140,0.08441,0.11956
2018,Direct migration background,Rural regions,No,0.73850,1040,1140,0.71298,0.76402
2018,Indirect migration background,Urban regions,Yes,0.08400,164,1223,0.06845,0.09955
2018,Indirect migration background,Urban regions,No,0.40073,1059,1223,0.37326,0.42821
2018,Indirect migration background,Rural regions,Yes,0.06718,37,273,0.03743,0.09693
2018,Indirect migration background,Rural regions,No,0.38303,236,273,0.32526,0.44080
2020,No migration background,Urban regions,Yes,0.19569,2745,9279,0.18761,0.20376
2020,No migration background,Urban regions,No,0.52758,6534,9279,0.51742,0.53774
2020,No migration background,Rural regions,Yes,0.16942,1414,5972,0.15991,0.17894
2020,No migration background,Rural regions,No,0.57806,4558,5972,0.56554,0.59059
2020,Direct migration background,Urban regions,Yes,0.09606,345,4006,0.08693,0.10519
2020,Direct migration background,Urban regions,No,0.75717,3661,4006,0.74389,0.77045
2020,Direct migration background,Rural regions,Yes,0.11947,114,1348,0.10215,0.13679
2020,Direct migration background,Rural regions,No,0.72829,1234,1348,0.70453,0.75204
2020,Indirect migration background,Urban regions,Yes,0.07040,181,1131,0.05549,0.08532
2020,Indirect migration background,Urban regions,No,0.40323,950,1131,0.37463,0.43183
2020,Indirect migration background,Rural regions,Yes,0.06045,40,263,0.03159,0.08930
2020,Indirect migration background,Rural regions,No,0.36344,223,263,0.30520,0.42168
2022,No migration background,Urban regions,Yes,0.21972,2969,9104,0.21121,0.22822
2022,No migration background,Urban regions,No,0.47549,6135,9104,0.46523,0.48575
2022,No migration background,Rural regions,Yes,0.17987,1575,6033,0.17018,0.18957
2022,No migration background,Rural regions,No,0.55159,4458,6033,0.53904,0.56415
2022,Direct migration background,Urban regions,Yes,0.12080,561,4958,0.11173,0.12987
2022,Direct migration background,Urban regions,No,0.69563,4397,4958,0.68282,0.70844
2022,Direct migration background,Rural regions,Yes,0.13461,121,1002,0.11347,0.15576
2022,Direct migration background,Rural regions,No,0.68733,881,1002,0.65861,0.71604
2022,Indirect migration background,Urban regions,Yes,0.09957,202,979,0.08080,0.11834
2022,Indirect migration background,Urban regions,No,0.38977,777,979,0.35920,0.42034
2022,Indirect migration background,Rural regions,Yes,0.10905,73,307,0.07412,0.14397
2022,Indirect migration background,Rural regions,No,0.34396,234,307,0.29073,0.39718
