year,regtyp,sex,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Rural regions,female,Yes,0.14227,475,3294,0.13033,0.15420
2007,Rural regions,female,No,0.85773,2819,3294,0.84580,0.86967
2008,Urban regions,male,Yes,0.18537,960,4801,0.17438,0.19637
2008,Urban regions,male,No,0.81463,3841,4801,0.80363,0.82562
2008,Urban regions,female,Yes,0.21522,1335,5815,0.20466,0.22579
2008,Urban regions,female,No,0.78478,4480,5815,0.77421,0.79534
2008,Rural regions,male,Yes,0.13975,373,2718,0.12671,0.15278
2008,Rural regions,male,No,0.86025,2345,2718,0.84722,0.87329
2008,Rural regions,female,Yes,0.16569,524,3133,0.15267,0.17871
2008,Rural regions,female,No,0.83431,2609,3133,0.82129,0.84733
2010,Urban regions,male,Yes,0.20802,1178,5690,0.19747,0.21857
2010,Urban regions,male,No,0.79198,4512,5690,0.78143,0.80253
2010,Urban regions,female,Yes,0.23012,1776,7572,0.22064,0.23960
2010,Urban regions,female,No,0.76988,5796,7572,0.76040,0.77936
2010,Rural regions,male,Yes,0.15042,526,3258,0.13815,0.16270
2010,Rural regions,male,No,0.84958,2732,3258,0.83730,0.86185
2010,Rural regions,female,Yes,0.16961,738,4157,0.15820,0.18102
2010,Rural regions,female,No,0.83039,3419,4157,0.81898,0.84180
2011,Urban regions,male,Yes,0.22150,1139,4997,0.20998,0.23301
2011,Urban regions,male,No,0.77850,3858,4997,0.76699,0.79002
2011,Urban regions,female,Yes,0.23949,1553,6178,0.22884,0.25013
2011,Urban regions,female,No,0.76051,4625,6178,0.74987,0.77116
2011,Rural regions,male,Yes,0.14944,479,2956,0.13659,0.16230
2011,Rural regions,male,No,0.85056,2477,2956,0.83770,0.86341
2011,Rural regions,female,Yes,0.19272,687,3505,0.17966,0.20578
2011,Rural regions,female,No,0.80728,2818,3505,0.79422,0.82034
2012,Urban regions,male,Yes,0.22050,1455,6364,0.21031,0.23069
2012,Urban regions,male,No,0.77950,4909,6364,0.76931,0.78969
2012,Urban regions,female,Yes,0.25317,2182,8503,0.24393,0.26241
2012,Urban regions,female,No,0.74683,6321,8503,0.73759,0.75607
2012,Rural regions,male,Yes,0.17074,713,3968,0.15903,0.18245
2012,Rural regions,male,No,0.82926,3255,3968,0.81755,0.84097
2012,Rural regions,female,Yes,0.18000,1002,5041,0.16939,0.19060
2012,Rural regions,female,No,0.82000,4039,5041,0.80940,0.83061
2013,Urban regions,male,Yes,0.25068,1129,4476,0.23798,0.26338
2013,Urban regions,male,No,0.74932,3347,4476,0.73662,0.76202
2013,Urban regions,female,Yes,0.27981,1628,5612,0.26806,0.29155
2013,Urban regions,female,No,0.72019,3984,5612,0.70845,0.73194
2013,Rural regions,male,Yes,0.17991,510,2727,0.16549,0.19433
2013,Rural regions,male,No,0.82009,2217,2727,0.80567,0.83451
2013,Rural regions,female,Yes,0.21718,719,3251,0.20300,0.23136
2013,Rural regions,female,No,0.78282,2532,3251,0.76864,0.79700
2014,Urban regions,male,Yes,0.23193,1458,6714,0.22183,0.24202
2014,Urban regions,male,No,0.76807,5256,6714,0.75798,0.77817
2014,Urban regions,female,Yes,0.26430,2151,8561,0.25495,0.27364
2014,Urban regions,female,No,0.73570,6410,8561,0.72636,0.74505
2014,Rural regions,male,Yes,0.18941,723,3772,0.17691,0.20192
2014,Rural regions,male,No,0.81059,3049,3772,0.79808,0.82309
2014,Rural regions,female,Yes,0.23579,1034,4668,0.22361,0.24797
2014,Rural regions,female,No,0.76421,3634,4668,0.75203,0.77639
2016,Urban regions,male,Yes,0.20333,1165,5977,0.19312,0.21353
2016,Urban regions,male,No,0.79667,4812,5977,0.78647,0.80688
2016,Urban regions,female,Yes,0.24061,1781,7643,0.23103,0.25019
2016,Urban regions,female,No,0.75939,5862,7643,0.74981,0.76897
2016,Rural regions,male,Yes,0.18200,571,3386,0.16900,0.19500
2016,Rural regions,male,No,0.81800,2815,3386,0.80500,0.83100
2016,Rural regions,female,Yes,0.20894,827,4197,0.19664,0.22124
2016,Rural regions,female,No,0.79106,3370,4197,0.77876,0.80336
2018,Urban regions,male,Yes,0.21972,1275,6390,0.20957,0.22987
2018,Urban regions,male,No,0.78028,5115,6390,0.77013,0.79043
2018,Urban regions,female,Yes,0.23628,1866,8070,0.22702,0.24555
2018,Urban regions,female,No,0.76372,6204,8070,0.75445,0.77298
2018,Rural regions,male,Yes,0.19412,692,3618,0.18123,0.20701
2018,Rural regions,male,No,0.80588,2926,3618,0.79299,0.81877
2018,Rural regions,female,Yes,0.22608,953,4420,0.21375,0.23841
2018,Rural regions,female,No,0.77392,3467,4420,0.76159,0.78625
2020,Urban regions,male,Yes,0.21592,1324,6565,0.20597,0.22587
2020,Urban regions,male,No,0.78408,5241,6565,0.77413,0.79403
2020,Urban regions,female,Yes,0.24900,1946,7844,0.23942,0.25857
2020,Urban regions,female,No,0.75100,5898,7844,0.74143,0.76058
2020,Rural regions,male,Yes,0.20541,697,3486,0.19200,0.21883
2020,Rural regions,male,No,0.79459,2789,3486,0.78117,0.80800
2020,Rural regions,female,Yes,0.22498,871,4097,0.21219,0.23777
2020,Rural regions,female,No,0.77502,3226,4097,0.76223,0.78781
2022,Urban regions,male,Yes,0.26290,1602,7016,0.25260,0.27320
2022,Urban regions,male,No,0.73710,5414,7016,0.72680,0.74740
2022,Urban regions,female,Yes,0.27798,2128,8015,0.26817,0.28779
2022,Urban regions,female,No,0.72202,5887,8015,0.71221,0.73183
2022,Rural regions,male,Yes,0.21963,754,3337,0.20558,0.23368
2022,Rural regions,male,No,0.78037,2583,3337,0.76632,0.79442
2022,Rural regions,female,Yes,0.25046,1015,4004,0.23704,0.26388
2022,Rural regions,female,No,0.74954,2989,4004,0.73612,0.76296
