year,quintil_oecd,sampreg,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,3rd Quintile,West,No,0.67874,2679,2967,0.66194,0.69555
2001,3rd Quintile,East,Yes,0.03705,56,1266,0.02664,0.04746
2001,3rd Quintile,East,No,0.81291,1210,1266,0.79142,0.83440
2001,4th Quintile,West,Yes,0.09809,398,3144,0.08769,0.10849
2001,4th Quintile,West,No,0.64197,2746,3144,0.62521,0.65873
2001,4th Quintile,East,Yes,0.05849,63,871,0.04289,0.07408
2001,4th Quintile,East,No,0.74416,808,871,0.71517,0.77315
2001,5th Quintile,West,Yes,0.14054,594,2750,0.12755,0.15353
2001,5th Quintile,West,No,0.47763,2156,2750,0.45896,0.49631
2001,5th Quintile,East,No,0.65397,440,440,0.60947,0.69847
2002,1st Quintile,West,Yes,0.02870,73,2327,0.02192,0.03549
2002,1st Quintile,West,No,0.71021,2254,2327,0.69178,0.72865
2002,1st Quintile,East,No,0.77061,1020,1020,0.74479,0.79642
2002,2nd Quintile,West,Yes,0.05038,159,2577,0.04193,0.05883
2002,2nd Quintile,West,No,0.69405,2418,2577,0.67626,0.71185
2002,2nd Quintile,East,Yes,0.02117,35,1191,0.01299,0.02935
2002,2nd Quintile,East,No,0.82886,1156,1191,0.80746,0.85025
2002,3rd Quintile,West,Yes,0.07170,255,2617,0.06182,0.08159
2002,3rd Quintile,West,No,0.66628,2362,2617,0.64821,0.68435
2002,3rd Quintile,East,Yes,0.03397,50,1123,0.02337,0.04457
2002,3rd Quintile,East,No,0.79811,1073,1123,0.77462,0.82160
2002,4th Quintile,West,Yes,0.09829,354,2885,0.08743,0.10916
2002,4th Quintile,West,No,0.65062,2531,2885,0.63322,0.66802
2002,4th Quintile,East,Yes,0.06323,73,964,0.04786,0.07860
2002,4th Quintile,East,No,0.76714,891,964,0.74044,0.79383
2002,5th Quintile,West,Yes,0.15285,701,3095,0.14017,0.16553
2002,5th Quintile,West,No,0.51791,2394,3095,0.50031,0.53552
2002,5th Quintile,East,Yes,0.07399,47,566,0.05241,0.09557
2002,5th Quintile,East,No,0.70070,519,566,0.66294,0.73846
2003,1st Quintile,West,Yes,0.02582,76,2299,0.01933,0.03230
2003,1st Quintile,West,No,0.72058,2223,2299,0.70223,0.73892
2003,1st Quintile,East,No,0.77855,981,981,0.75255,0.80455
2003,2nd Quintile,West,Yes,0.05418,171,2449,0.04521,0.06314
2003,2nd Quintile,West,No,0.69867,2278,2449,0.68050,0.71685
2003,2nd Quintile,East,Yes,0.03298,50,1275,0.02318,0.04279
2003,2nd Quintile,East,No,0.80250,1225,1275,0.78063,0.82436
2003,3rd Quintile,West,Yes,0.06667,226,2597,0.05708,0.07627
2003,3rd Quintile,West,No,0.65798,2371,2597,0.63973,0.67623
2003,3rd Quintile,East,Yes,0.04980,69,1157,0.03726,0.06234
2003,3rd Quintile,East,No,0.81841,1088,1157,0.79619,0.84064
2003,4th Quintile,West,Yes,0.11138,423,2960,0.10004,0.12271
2003,4th Quintile,West,No,0.63602,2537,2960,0.61868,0.65336
2003,4th Quintile,East,Yes,0.06450,71,916,0.04858,0.08042
2003,4th Quintile,East,No,0.77469,845,916,0.74761,0.80176
2003,5th Quintile,West,Yes,0.14946,962,3597,0.13780,0.16111
2003,5th Quintile,West,No,0.46726,2635,3597,0.45095,0.48357
2003,5th Quintile,East,Yes,0.07914,67,580,0.05715,0.10113
2003,5th Quintile,East,No,0.58462,513,580,0.54448,0.62476
2004,1st Quintile,West,Yes,0.03264,92,2159,0.02514,0.04013
2004,1st Quintile,West,No,0.71519,2067,2159,0.69615,0.73424
2004,1st Quintile,East,No,0.76776,960,960,0.74103,0.79448
2004,2nd Quintile,West,Yes,0.06218,171,2431,0.05258,0.07178
2004,2nd Quintile,West,No,0.68560,2260,2431,0.66714,0.70406
2004,2nd Quintile,East,Yes,0.04435,61,1212,0.03275,0.05594
2004,2nd Quintile,East,No,0.81237,1151,1212,0.79038,0.83436
2004,3rd Quintile,West,Yes,0.07114,269,2588,0.06124,0.08105
2004,3rd Quintile,West,No,0.66850,2319,2588,0.65036,0.68664
2004,3rd Quintile,East,Yes,0.04114,64,1123,0.02952,0.05276
2004,3rd Quintile,East,No,0.82475,1059,1123,0.80251,0.84700
2004,4th Quintile,West,Yes,0.10848,406,2880,0.09712,0.11984
2004,4th Quintile,West,No,0.63900,2474,2880,0.62146,0.65654
2004,4th Quintile,East,Yes,0.06555,79,905,0.04942,0.08169
2004,4th Quintile,East,No,0.75726,826,905,0.72931,0.78521
2004,5th Quintile,West,Yes,0.16304,979,3466,0.15074,0.17534
2004,5th Quintile,West,No,0.45742,2487,3466,0.44083,0.47401
2004,5th Quintile,East,Yes,0.11310,92,578,0.08726,0.13894
2004,5th Quintile,East,No,0.56883,486,578,0.52842,0.60924
2005,1st Quintile,West,Yes,0.04014,92,2049,0.03164,0.04864
2005,1st Quintile,West,No,0.70778,1957,2049,0.68808,0.72747
2005,1st Quintile,East,Yes,0.02972,38,980,0.01908,0.04035
2005,1st Quintile,East,No,0.75686,942,980,0.72999,0.78374
2005,2nd Quintile,West,Yes,0.07070,192,2310,0.06024,0.08115
2005,2nd Quintile,West,No,0.69934,2118,2310,0.68064,0.71805
2005,2nd Quintile,East,Yes,0.04265,71,1181,0.03112,0.05418
2005,2nd Quintile,East,No,0.79364,1110,1181,0.77055,0.81673
2005,3rd Quintile,West,Yes,0.08465,280,2446,0.07362,0.09569
2005,3rd Quintile,West,No,0.65514,2166,2446,0.63630,0.67398
2005,3rd Quintile,East,Yes,0.05933,77,1018,0.04481,0.07384
2005,3rd Quintile,East,No,0.79298,941,1018,0.76808,0.81788
2005,4th Quintile,West,Yes,0.12612,468,2842,0.11392,0.13833
2005,4th Quintile,West,No,0.63183,2374,2842,0.61409,0.64957
2005,4th Quintile,East,Yes,0.06245,88,905,0.04668,0.07822
2005,4th Quintile,East,No,0.76288,817,905,0.73515,0.79060
2005,5th Quintile,West,Yes,0.16667,929,3241,0.15383,0.17950
2005,5th Quintile,West,No,0.44250,2312,3241,0.42539,0.45960
2005,5th Quintile,East,Yes,0.12591,83,522,0.09742,0.15440
2005,5th Quintile,East,No,0.53847,439,522,0.49566,0.58127
2006,1st Quintile,West,Yes,0.04126,108,1913,0.03235,0.05018
2006,1st Quintile,West,No,0.70992,1805,1913,0.68958,0.73026
2006,1st Quintile,East,Yes,0.02939,36,914,0.01843,0.04035
2006,1st Quintile,East,No,0.75573,878,914,0.72786,0.78360
2006,2nd Quintile,West,Yes,0.07630,212,2091,0.06492,0.08768
2006,2nd Quintile,West,No,0.67486,1879,2091,0.65478,0.69494
2006,2nd Quintile,East,Yes,0.05184,75,1078,0.03860,0.06509
2006,2nd Quintile,East,No,0.76349,1003,1078,0.73811,0.78887
2006,3rd Quintile,West,Yes,0.10462,314,2304,0.09212,0.11712
2006,3rd Quintile,West,No,0.64029,1990,2304,0.62069,0.65989
2006,3rd Quintile,East,Yes,0.08950,103,1030,0.07206,0.10694
2006,3rd Quintile,East,No,0.77993,927,1030,0.75461,0.80524
2006,4th Quintile,West,Yes,0.14319,522,2630,0.12980,0.15657
2006,4th Quintile,West,No,0.59191,2108,2630,0.57312,0.61070
2006,4th Quintile,East,Yes,0.08434,97,790,0.06495,0.10373
2006,4th Quintile,East,No,0.70194,693,790,0.67002,0.73386
2006,5th Quintile,West,Yes,0.17367,967,3078,0.16028,0.18705
2006,5th Quintile,West,No,0.43607,2111,3078,0.41855,0.45359
2006,5th Quintile,East,Yes,0.13087,85,516,0.10174,0.16000
2006,5th Quintile,East,No,0.56382,431,516,0.52099,0.60665
2007,1st Quintile,West,Yes,0.04993,137,2083,0.04057,0.05928
2007,1st Quintile,West,No,0.70066,1946,2083,0.68099,0.72033
2007,1st Quintile,East,Yes,0.03111,43,978,0.02022,0.04200
2007,1st Quintile,East,No,0.78942,935,978,0.76385,0.81498
2007,2nd Quintile,West,Yes,0.08568,262,2296,0.07423,0.09713
2007,2nd Quintile,West,No,0.65271,2034,2296,0.63323,0.67219
2007,2nd Quintile,East,Yes,0.05384,69,1062,0.04026,0.06742
2007,2nd Quintile,East,No,0.76925,993,1062,0.74390,0.79460
2007,3rd Quintile,West,Yes,0.11481,358,2477,0.10225,0.12737
2007,3rd Quintile,West,No,0.63468,2119,2477,0.61571,0.65365
2007,3rd Quintile,East,Yes,0.10378,147,1100,0.08575,0.12181
2007,3rd Quintile,East,No,0.74428,953,1100,0.71849,0.77007
2007,4th Quintile,West,Yes,0.15650,600,2761,0.14295,0.17006
2007,4th Quintile,West,No,0.57128,2161,2761,0.55281,0.58974
2007,4th Quintile,East,Yes,0.09582,121,907,0.07665,0.11499
2007,4th Quintile,East,No,0.70540,786,907,0.67571,0.73508
2007,5th Quintile,West,Yes,0.19794,1081,3117,0.18395,0.21193
2007,5th Quintile,West,No,0.40285,2036,3117,0.38563,0.42007
2007,5th Quintile,East,Yes,0.12607,97,533,0.09786,0.15428
2007,5th Quintile,East,No,0.55108,436,533,0.50882,0.59335
2008,1st Quintile,West,Yes,0.06244,145,1953,0.05171,0.07317
2008,1st Quintile,West,No,0.69316,1808,1953,0.67270,0.71362
2008,1st Quintile,East,Yes,0.02420,34,920,0.01426,0.03413
2008,1st Quintile,East,No,0.78703,886,920,0.76056,0.81350
2008,2nd Quintile,West,Yes,0.10599,300,2177,0.09305,0.11892
2008,2nd Quintile,West,No,0.65168,1877,2177,0.63166,0.67170
2008,2nd Quintile,East,Yes,0.07004,94,1059,0.05466,0.08542
2008,2nd Quintile,East,No,0.79195,965,1059,0.76749,0.81641
2008,3rd Quintile,West,Yes,0.14604,469,2395,0.13189,0.16019
2008,3rd Quintile,West,No,0.61862,1926,2395,0.59917,0.63808
2008,3rd Quintile,East,Yes,0.12678,181,1146,0.10750,0.14605
2008,3rd Quintile,East,No,0.72016,965,1146,0.69416,0.74617
2008,4th Quintile,West,Yes,0.17538,604,2583,0.16071,0.19005
2008,4th Quintile,West,No,0.56085,1979,2583,0.54171,0.57999
2008,4th Quintile,East,Yes,0.15113,128,738,0.12527,0.17699
2008,4th Quintile,East,No,0.66899,610,738,0.63501,0.70296
2008,5th Quintile,West,Yes,0.22840,1115,2951,0.21325,0.24355
2008,5th Quintile,West,No,0.38741,1836,2951,0.36983,0.40499
2008,5th Quintile,East,Yes,0.16435,122,543,0.13315,0.19555
2008,5th Quintile,East,No,0.53609,421,543,0.49410,0.57807
2010,1st Quintile,West,Yes,0.06308,123,1699,0.05151,0.07464
2010,1st Quintile,West,No,0.81746,1576,1699,0.79908,0.83583
2010,1st Quintile,East,Yes,0.04545,46,786,0.03088,0.06003
2010,1st Quintile,East,No,0.85558,740,786,0.83099,0.88017
2010,2nd Quintile,West,Yes,0.11641,253,1842,0.10176,0.13106
2010,2nd Quintile,West,No,0.73397,1589,1842,0.71379,0.75416
2010,2nd Quintile,East,Yes,0.08686,111,1048,0.06980,0.10392
2010,2nd Quintile,East,No,0.83882,937,1048,0.81655,0.86109
2010,3rd Quintile,West,Yes,0.16589,471,2128,0.15009,0.18170
2010,3rd Quintile,West,No,0.65932,1657,2128,0.63918,0.67946
2010,3rd Quintile,East,Yes,0.11853,133,864,0.09697,0.14010
2010,3rd Quintile,East,No,0.77647,731,864,0.74867,0.80426
2010,4th Quintile,West,Yes,0.20834,633,2251,0.19155,0.22512
2010,4th Quintile,West,No,0.53663,1618,2251,0.51603,0.55724
2010,4th Quintile,East,Yes,0.17976,158,672,0.15070,0.20881
2010,4th Quintile,East,No,0.62239,514,672,0.58571,0.65907
2010,5th Quintile,West,Yes,0.25625,996,2406,0.23880,0.27370
2010,5th Quintile,West,No,0.37055,1410,2406,0.35125,0.38985
2010,5th Quintile,East,Yes,0.19060,96,422,0.15308,0.22812
2010,5th Quintile,East,No,0.53359,326,422,0.48594,0.58125
2011,1st Quintile,West,Yes,0.05100,143,1576,0.04013,0.06186
2011,1st Quintile,West,No,0.57572,1433,1576,0.55131,0.60013
2011,1st Quintile,East,Yes,0.03128,50,812,0.01930,0.04326
2011,1st Quintile,East,No,0.63439,762,812,0.60124,0.66754
2011,2nd Quintile,West,Yes,0.09469,257,1640,0.08051,0.10886
2011,2nd Quintile,West,No,0.56819,1383,1640,0.54421,0.59217
2011,2nd Quintile,East,Yes,0.06992,101,968,0.05385,0.08600
2011,2nd Quintile,East,No,0.72615,867,968,0.69804,0.75426
2011,3rd Quintile,West,Yes,0.15593,454,2050,0.14022,0.17164
2011,3rd Quintile,West,No,0.55694,1596,2050,0.53543,0.57845
2011,3rd Quintile,East,Yes,0.12727,149,799,0.10414,0.15039
2011,3rd Quintile,East,No,0.65149,650,799,0.61843,0.68455
2011,4th Quintile,West,Yes,0.18856,638,2098,0.17182,0.20531
2011,4th Quintile,West,No,0.46723,1460,2098,0.44587,0.48858
2011,4th Quintile,East,Yes,0.20159,158,615,0.16986,0.23332
2011,4th Quintile,East,No,0.52525,457,615,0.48575,0.56475
2011,5th Quintile,West,Yes,0.23587,942,2272,0.21841,0.25334
2011,5th Quintile,West,No,0.33691,1330,2272,0.31747,0.35635
2011,5th Quintile,East,Yes,0.21531,102,364,0.17303,0.25760
2011,5th Quintile,East,No,0.43857,262,364,0.38753,0.48962
2012,1st Quintile,West,Yes,0.06713,350,3723,0.05909,0.07517
2012,1st Quintile,West,No,0.69419,3373,3723,0.67939,0.70899
2012,1st Quintile,East,Yes,0.04122,100,1476,0.03107,0.05136
2012,1st Quintile,East,No,0.76267,1376,1476,0.74096,0.78438
2012,2nd Quintile,West,Yes,0.11218,643,3517,0.10175,0.12261
2012,2nd Quintile,West,No,0.65929,2874,3517,0.64362,0.67495
2012,2nd Quintile,East,Yes,0.08943,155,1230,0.07348,0.10539
2012,2nd Quintile,East,No,0.77650,1075,1230,0.75321,0.79979
2012,3rd Quintile,West,Yes,0.17481,849,3263,0.16178,0.18784
2012,3rd Quintile,West,No,0.58769,2414,3263,0.57080,0.60458
2012,3rd Quintile,East,Yes,0.13888,200,1171,0.11906,0.15870
2012,3rd Quintile,East,No,0.68763,971,1171,0.66107,0.71418
2012,4th Quintile,West,Yes,0.22759,1015,3149,0.21294,0.24224
2012,4th Quintile,West,No,0.49508,2134,3149,0.47761,0.51254
2012,4th Quintile,East,Yes,0.16172,199,866,0.13718,0.18626
2012,4th Quintile,East,No,0.62709,667,866,0.59486,0.65931
2012,5th Quintile,West,Yes,0.24027,1207,2817,0.22449,0.25605
2012,5th Quintile,West,No,0.35249,1610,2817,0.33485,0.37014
2012,5th Quintile,East,Yes,0.23347,161,552,0.19814,0.26879
2012,5th Quintile,East,No,0.43117,391,552,0.38982,0.47252
2013,1st Quintile,West,Yes,0.07537,210,1997,0.06379,0.08695
2013,1st Quintile,West,No,0.58984,1787,1997,0.56826,0.61141
2013,1st Quintile,East,Yes,0.03362,65,1001,0.02245,0.04479
2013,1st Quintile,East,No,0.69182,936,1001,0.66320,0.72044
2013,2nd Quintile,West,Yes,0.10866,366,2200,0.09565,0.12167
2013,2nd Quintile,West,No,0.58048,1834,2200,0.55985,0.60110
2013,2nd Quintile,East,Yes,0.08856,134,1088,0.07167,0.10545
2013,2nd Quintile,East,No,0.67997,954,1088,0.65224,0.70770
2013,3rd Quintile,West,Yes,0.17709,655,2438,0.16193,0.19225
2013,3rd Quintile,West,No,0.54210,1783,2438,0.52231,0.56188
2013,3rd Quintile,East,Yes,0.14662,186,895,0.12343,0.16981
2013,3rd Quintile,East,No,0.65760,709,895,0.62650,0.68871
2013,4th Quintile,West,Yes,0.22780,858,2581,0.21162,0.24399
2013,4th Quintile,West,No,0.44886,1723,2581,0.42967,0.46806
2013,4th Quintile,East,Yes,0.22344,189,710,0.19278,0.25411
2013,4th Quintile,East,No,0.54908,521,710,0.51246,0.58571
2013,5th Quintile,West,Yes,0.24515,1194,2734,0.22902,0.26128
2013,5th Quintile,West,No,0.32746,1540,2734,0.30986,0.34505
2013,5th Quintile,East,Yes,0.19792,129,418,0.15968,0.23616
2013,5th Quintile,East,No,0.45016,289,418,0.40241,0.49792
2014,1st Quintile,West,Yes,0.06554,361,4283,0.05813,0.07296
2014,1st Quintile,West,No,0.69827,3922,4283,0.68452,0.71202
2014,1st Quintile,East,Yes,0.05441,104,1399,0.04252,0.06630
2014,1st Quintile,East,No,0.74141,1295,1399,0.71845,0.76436
2014,2nd Quintile,West,Yes,0.12468,628,3943,0.11437,0.13500
2014,2nd Quintile,West,No,0.64127,3315,3943,0.62629,0.65624
2014,2nd Quintile,East,Yes,0.10792,192,1355,0.09139,0.12445
2014,2nd Quintile,East,No,0.74209,1163,1355,0.71879,0.76540
2014,3rd Quintile,West,Yes,0.20100,970,3654,0.18801,0.21400
2014,3rd Quintile,West,No,0.56357,2684,3654,0.54749,0.57966
2014,3rd Quintile,East,Yes,0.15313,207,1116,0.13199,0.17427
2014,3rd Quintile,East,No,0.67228,909,1116,0.64473,0.69983
2014,4th Quintile,West,Yes,0.24772,1197,3552,0.23352,0.26192
2014,4th Quintile,West,No,0.47805,2355,3552,0.46162,0.49448
2014,4th Quintile,East,Yes,0.19881,193,827,0.17159,0.22603
2014,4th Quintile,East,No,0.58470,634,827,0.55109,0.61831
2014,5th Quintile,West,Yes,0.25704,1359,3107,0.24168,0.27241
2014,5th Quintile,West,No,0.34444,1748,3107,0.32773,0.36115
2014,5th Quintile,East,Yes,0.25282,155,472,0.21357,0.29207
2014,5th Quintile,East,No,0.45221,317,472,0.40726,0.49716
2016,1st Quintile,West,Yes,0.05973,219,3643,0.05203,0.06742
2016,1st Quintile,West,No,0.68574,3424,3643,0.67066,0.70081
2016,1st Quintile,East,Yes,0.04940,88,1236,0.03731,0.06148
2016,1st Quintile,East,No,0.72386,1148,1236,0.69893,0.74880
2016,2nd Quintile,West,Yes,0.10846,542,3578,0.09827,0.11865
2016,2nd Quintile,West,No,0.67183,3036,3578,0.65645,0.68722
2016,2nd Quintile,East,Yes,0.07865,138,1318,0.06411,0.09319
2016,2nd Quintile,East,No,0.77978,1180,1318,0.75740,0.80216
2016,3rd Quintile,West,Yes,0.16620,746,3279,0.15346,0.17894
2016,3rd Quintile,West,No,0.60304,2533,3279,0.58629,0.61978
2016,3rd Quintile,East,Yes,0.12254,175,996,0.10216,0.14291
2016,3rd Quintile,East,No,0.67486,821,996,0.64576,0.70397
2016,4th Quintile,West,Yes,0.23492,1001,3200,0.22023,0.24961
2016,4th Quintile,West,No,0.49585,2199,3200,0.47852,0.51317
2016,4th Quintile,East,Yes,0.19703,169,704,0.16763,0.22644
2016,4th Quintile,East,No,0.61035,535,704,0.57430,0.64640
2016,5th Quintile,West,Yes,0.24084,1147,2848,0.22513,0.25654
2016,5th Quintile,West,No,0.35970,1701,2848,0.34207,0.37733
2016,5th Quintile,East,Yes,0.17861,119,397,0.14088,0.21633
2016,5th Quintile,East,No,0.46552,278,397,0.41639,0.51465
2018,1st Quintile,West,Yes,0.06484,230,3350,0.05650,0.07318
2018,1st Quintile,West,No,0.66547,3120,3350,0.64949,0.68145
2018,1st Quintile,East,Yes,0.04860,83,1241,0.03663,0.06057
2018,1st Quintile,East,No,0.70920,1158,1241,0.68393,0.73448
2018,2nd Quintile,West,Yes,0.11744,541,3545,0.10684,0.12804
2018,2nd Quintile,West,No,0.66090,3004,3545,0.64531,0.67648
2018,2nd Quintile,East,Yes,0.10650,194,1378,0.09021,0.12279
2018,2nd Quintile,East,No,0.72378,1184,1378,0.70016,0.74740
2018,3rd Quintile,West,Yes,0.18079,808,3382,0.16782,0.19376
2018,3rd Quintile,West,No,0.58815,2574,3382,0.57156,0.60474
2018,3rd Quintile,East,Yes,0.16795,226,1011,0.14489,0.19100
2018,3rd Quintile,East,No,0.63543,785,1011,0.60575,0.66512
2018,4th Quintile,West,Yes,0.22235,999,3241,0.20803,0.23667
2018,4th Quintile,West,No,0.51316,2242,3241,0.49595,0.53037
2018,4th Quintile,East,Yes,0.19151,196,743,0.16320,0.21982
2018,4th Quintile,East,No,0.61651,547,743,0.58152,0.65149
2018,5th Quintile,West,Yes,0.24695,1220,3020,0.23156,0.26233
2018,5th Quintile,West,No,0.37103,1800,3020,0.35380,0.38826
2018,5th Quintile,East,Yes,0.25139,146,436,0.21062,0.29216
2018,5th Quintile,East,No,0.37405,290,436,0.32858,0.41953
2020,1st Quintile,West,Yes,0.06395,246,3010,0.05521,0.07269
2020,1st Quintile,West,No,0.66566,2764,3010,0.64881,0.68252
2020,1st Quintile,East,Yes,0.05581,69,1088,0.04216,0.06945
2020,1st Quintile,East,No,0.74585,1019,1088,0.71997,0.77174
2020,2nd Quintile,West,Yes,0.13317,530,3196,0.12139,0.14495
2020,2nd Quintile,West,No,0.62807,2666,3196,0.61131,0.64482
2020,2nd Quintile,East,Yes,0.11462,193,1273,0.09711,0.13213
2020,2nd Quintile,East,No,0.71158,1080,1273,0.68669,0.73648
2020,3rd Quintile,West,Yes,0.18405,752,2937,0.17003,0.19806
2020,3rd Quintile,West,No,0.57719,2185,2937,0.55932,0.59506
2020,3rd Quintile,East,Yes,0.18987,232,931,0.16466,0.21507
2020,3rd Quintile,East,No,0.59003,699,931,0.55841,0.62164
2020,4th Quintile,West,Yes,0.21776,988,3035,0.20307,0.23244
2020,4th Quintile,West,No,0.50392,2047,3035,0.48613,0.52171
2020,4th Quintile,East,Yes,0.21588,189,740,0.18622,0.24554
2020,4th Quintile,East,No,0.58127,551,740,0.54570,0.61684
2020,5th Quintile,West,Yes,0.23607,1384,3248,0.22146,0.25068
2020,5th Quintile,West,No,0.37612,1864,3248,0.35946,0.39279
2020,5th Quintile,East,Yes,0.18663,189,562,0.15439,0.21888
2020,5th Quintile,East,No,0.45813,373,562,0.41690,0.49936
2022,1st Quintile,West,Yes,0.08765,231,2036,0.07536,0.09994
2022,1st Quintile,West,No,0.63130,1805,2036,0.61034,0.65227
2022,1st Quintile,East,Yes,0.04197,47,714,0.02725,0.05669
2022,1st Quintile,East,No,0.71261,667,714,0.67940,0.74583
2022,2nd Quintile,West,Yes,0.16708,443,2008,0.15076,0.18340
2022,2nd Quintile,West,No,0.60255,1565,2008,0.58114,0.62396
2022,2nd Quintile,East,Yes,0.13275,123,816,0.10946,0.15605
2022,2nd Quintile,East,No,0.71211,693,816,0.68103,0.74320
2022,3rd Quintile,West,Yes,0.21057,585,1993,0.19266,0.22847
2022,3rd Quintile,West,No,0.53228,1408,1993,0.51037,0.55419
2022,3rd Quintile,East,Yes,0.16989,156,618,0.14026,0.19952
2022,3rd Quintile,East,No,0.65007,462,618,0.61243,0.68770
2022,4th Quintile,West,Yes,0.24583,720,2016,0.22703,0.26463
2022,4th Quintile,West,No,0.45271,1296,2016,0.43098,0.47445
2022,4th Quintile,East,Yes,0.18329,132,475,0.14846,0.21812
2022,4th Quintile,East,No,0.49193,343,475,0.44692,0.53693
2022,5th Quintile,West,Yes,0.25092,966,2144,0.23257,0.26928
2022,5th Quintile,West,No,0.33863,1178,2144,0.31860,0.35867
2022,5th Quintile,East,Yes,0.26673,139,413,0.22402,0.30943
2022,5th Quintile,East,No,0.42545,274,413,0.37771,0.47319
