year,sampreg,sex,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2004,East,male,Yes,0.06064,149,2230,0.05073,0.07054
2004,East,male,No,0.93936,2081,2230,0.92946,0.94927
2004,East,female,Yes,0.05727,173,2574,0.04829,0.06625
2004,East,female,No,0.94273,2401,2574,0.93375,0.95171
2005,West,male,Yes,0.12880,834,5862,0.12022,0.13737
2005,West,male,No,0.87120,5028,5862,0.86263,0.87978
2005,West,female,Yes,0.14887,1127,7028,0.14055,0.15719
2005,West,female,No,0.85113,5901,7028,0.84281,0.85945
2005,East,male,Yes,0.07068,158,2143,0.05982,0.08153
2005,East,male,No,0.92932,1985,2143,0.91847,0.94018
2005,East,female,Yes,0.06216,199,2463,0.05262,0.07169
2005,East,female,No,0.93784,2264,2463,0.92831,0.94738
2006,West,male,Yes,0.14810,1046,6209,0.13927,0.15694
2006,West,male,No,0.85190,5163,6209,0.84306,0.86073
2006,West,female,Yes,0.16573,1387,7529,0.15733,0.17413
2006,West,female,No,0.83427,6142,7529,0.82587,0.84267
2006,East,male,Yes,0.08171,186,2251,0.07039,0.09303
2006,East,male,No,0.91829,2065,2251,0.90697,0.92961
2006,East,female,Yes,0.08234,247,2592,0.07176,0.09292
2006,East,female,No,0.91766,2345,2592,0.90708,0.92824
2007,West,male,Yes,0.15781,1014,5734,0.14838,0.16725
2007,West,male,No,0.84219,4720,5734,0.83275,0.85162
2007,West,female,Yes,0.18919,1424,7001,0.18002,0.19837
2007,West,female,No,0.81081,5577,7001,0.80163,0.81998
2007,East,male,Yes,0.08923,214,2155,0.07719,0.10127
2007,East,male,No,0.91077,1941,2155,0.89873,0.92281
2007,East,female,Yes,0.09338,263,2426,0.08180,0.10496
2007,East,female,No,0.90662,2163,2426,0.89504,0.91820
2008,West,male,Yes,0.18835,1099,5445,0.17796,0.19874
2008,West,male,No,0.81165,4346,5445,0.80126,0.82204
2008,West,female,Yes,0.21640,1534,6616,0.20647,0.22632
2008,West,female,No,0.78360,5082,6616,0.77368,0.79353
2008,East,male,Yes,0.10195,234,2074,0.08892,0.11497
2008,East,male,No,0.89805,1840,2074,0.88503,0.91108
2008,East,female,Yes,0.12624,325,2332,0.11276,0.13973
2008,East,female,No,0.87376,2007,2332,0.86027,0.88724
2010,West,male,Yes,0.20410,1414,6723,0.19447,0.21374
2010,West,male,No,0.79590,5309,6723,0.78626,0.80553
2010,West,female,Yes,0.23074,2134,8915,0.22199,0.23949
2010,West,female,No,0.76926,6781,8915,0.76051,0.77801
2010,East,male,Yes,0.13146,290,2225,0.11742,0.14550
2010,East,male,No,0.86854,1935,2225,0.85450,0.88258
2010,East,female,Yes,0.12378,380,2814,0.11161,0.13595
2010,East,female,No,0.87622,2434,2814,0.86405,0.88839
2011,West,male,Yes,0.21610,1333,5889,0.20559,0.22661
2011,West,male,No,0.78390,4556,5889,0.77339,0.79441
2011,West,female,Yes,0.23916,1853,7247,0.22934,0.24898
2011,West,female,No,0.76084,5394,7247,0.75102,0.77066
2011,East,male,Yes,0.12508,285,2064,0.11081,0.13936
2011,East,male,No,0.87492,1779,2064,0.86064,0.88919
2011,East,female,Yes,0.15985,387,2436,0.14530,0.17441
2011,East,female,No,0.84015,2049,2436,0.82559,0.85470
2012,West,male,Yes,0.22034,1810,7833,0.21116,0.22952
2012,West,male,No,0.77966,6023,7833,0.77048,0.78884
2012,West,female,Yes,0.24498,2678,10359,0.23669,0.25326
2012,West,female,No,0.75502,7681,10359,0.74674,0.76331
2012,East,male,Yes,0.13492,358,2499,0.12153,0.14832
2012,East,male,No,0.86508,2141,2499,0.85168,0.87847
2012,East,female,Yes,0.15696,506,3185,0.14433,0.16960
2012,East,female,No,0.84304,2679,3185,0.83040,0.85567
2013,West,male,Yes,0.24784,1349,5321,0.23624,0.25944
2013,West,male,No,0.75216,3972,5321,0.74056,0.76376
2013,West,female,Yes,0.27978,1934,6633,0.26898,0.29059
2013,West,female,No,0.72022,4699,6633,0.70941,0.73102
2013,East,male,Yes,0.14421,290,1882,0.12834,0.16009
2013,East,male,No,0.85579,1592,1882,0.83991,0.87166
2013,East,female,Yes,0.17343,413,2230,0.15771,0.18915
2013,East,female,No,0.82657,1817,2230,0.81085,0.84229
2014,West,male,Yes,0.23153,1835,8212,0.22240,0.24065
2014,West,male,No,0.76847,6377,8212,0.75935,0.77760
2014,West,female,Yes,0.27327,2680,10334,0.26468,0.28186
2014,West,female,No,0.72673,7654,10334,0.71814,0.73532
2014,East,male,Yes,0.15922,346,2274,0.14418,0.17426
2014,East,male,No,0.84078,1928,2274,0.82574,0.85582
2014,East,female,Yes,0.17692,505,2895,0.16302,0.19083
2014,East,female,No,0.82308,2390,2895,0.80917,0.83698
2016,West,male,Yes,0.21119,1454,7319,0.20184,0.22054
2016,West,male,No,0.78881,5865,7319,0.77946,0.79816
2016,West,female,Yes,0.25002,2201,9233,0.24119,0.25886
2016,West,female,No,0.74998,7032,9233,0.74114,0.75881
2016,East,male,Yes,0.13218,282,2044,0.11749,0.14687
2016,East,male,No,0.86782,1762,2044,0.85313,0.88251
2016,East,female,Yes,0.14473,407,2607,0.13122,0.15824
2016,East,female,No,0.85527,2200,2607,0.84176,0.86878
2018,West,male,Yes,0.22163,1584,7720,0.21237,0.23090
2018,West,male,No,0.77837,6136,7720,0.76910,0.78763
2018,West,female,Yes,0.24756,2328,9673,0.23896,0.25616
2018,West,female,No,0.75244,7345,9673,0.74384,0.76104
2018,East,male,Yes,0.16675,383,2288,0.15147,0.18202
2018,East,male,No,0.83325,1905,2288,0.81798,0.84853
2018,East,female,Yes,0.16788,491,2817,0.15408,0.18169
2018,East,female,No,0.83212,2326,2817,0.81831,0.84592
2020,West,male,Yes,0.21933,1635,7871,0.21018,0.22847
2020,West,male,No,0.78067,6236,7871,0.77153,0.78982
2020,West,female,Yes,0.25535,2325,9325,0.24650,0.26420
2020,West,female,No,0.74465,7000,9325,0.73580,0.75350
2020,East,male,Yes,0.18212,386,2180,0.16592,0.19833
2020,East,male,No,0.81788,1794,2180,0.80167,0.83408
2020,East,female,Yes,0.18045,492,2616,0.16571,0.19519
2020,East,female,No,0.81955,2124,2616,0.80481,0.83429
2022,West,male,Yes,0.26280,1969,8071,0.25320,0.27240
2022,West,male,No,0.73720,6102,8071,0.72760,0.74680
2022,West,female,Yes,0.28698,2585,9265,0.27777,0.29619
2022,West,female,No,0.71302,6680,9265,0.70381,0.72223
2022,East,male,Yes,0.18436,387,2282,0.16845,0.20028
2022,East,male,No,0.81564,1895,2282,0.79972,0.83155
2022,East,female,Yes,0.18702,558,2754,0.17245,0.20158
2022,East,female,No,0.81298,2196,2754,0.79842,0.82755
