"plb0571","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Ja, wenige Personen","2015","Baden-Wuerttemberg","kein Migrationshintergrund","410","0.188131415794483","0.171230065556484","0.205032766032483"
"Ja, wenige Personen","2015","Baden-Wuerttemberg","direkter Migrationshintergrund","88","0.1371824780021","0.113958152833431","0.160406803170768"
"Ja, wenige Personen","2015","Baden-Wuerttemberg","indirekter Migrationshintergrund","42","0.146702123967171","0.106798425259712","0.186605822674631"
"Ja, wenige Personen","2015","Bayern","kein Migrationshintergrund","567","0.175740946582488","0.162207059462763","0.189274833702213"
"Ja, wenige Personen","2015","Bayern","direkter Migrationshintergrund","106","0.114738508769975","0.0951990274928908","0.13427799004706"
"Ja, wenige Personen","2015","Bayern","indirekter Migrationshintergrund","42","0.144465946984845","0.102375640447986","0.186556253521705"
"Ja, wenige Personen","2015","Saarland","kein Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Saarland","direkter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Saarland","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Berlin","kein Migrationshintergrund","129","0.139419560345554","0.114695487878272","0.164143632812835"
"Ja, wenige Personen","2015","Berlin","direkter Migrationshintergrund","45","0.299844568404019","0.233997424381977","0.365691712426061"
"Ja, wenige Personen","2015","Berlin","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Brandenburg","kein Migrationshintergrund","119","0.126657075351123","0.104670338209729","0.148643812492517"
"Ja, wenige Personen","2015","Brandenburg","direkter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Brandenburg","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Mecklenburg-Vorpommern","kein Migrationshintergrund","74","0.104046124159246","0.0779786733235248","0.130113574994967"
"Ja, wenige Personen","2015","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Sachsen","kein Migrationshintergrund","149","0.0973915625037478","0.0819975788851476","0.112785546122348"
"Ja, wenige Personen","2015","Sachsen","direkter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Sachsen","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Sachsen-Anhalt","kein Migrationshintergrund","71","0.0810259228408754","0.0623262046085284","0.0997256410732224"
"Ja, wenige Personen","2015","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Thueringen","kein Migrationshintergrund","104","0.108012807033247","0.0873991071281555","0.128626506938339"
"Ja, wenige Personen","2015","Thueringen","direkter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Thueringen","indirekter Migrationshintergrund","","","",""
"Nein, weiss nicht","2015","Schleswig-Holstein","kein Migrationshintergrund","283","0.395121918389003","0.358323197009666","0.43192063976834"
"Nein, weiss nicht","2015","Schleswig-Holstein","direkter Migrationshintergrund","52","0.394568063674406","0.319535822784173","0.469600304564639"
"Nein, weiss nicht","2015","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"Nein, weiss nicht","2015","Hamburg","kein Migrationshintergrund","118","0.329113628398561","0.27585255497291","0.382374701824211"
"Nein, weiss nicht","2015","Hamburg","direkter Migrationshintergrund","46","0.369794874251525","0.28413260305885","0.4554571454442"
"Nein, weiss nicht","2015","Hamburg","indirekter Migrationshintergrund","","","",""
"Nein, weiss nicht","2015","Niedersachsen","kein Migrationshintergrund","721","0.39539209992547","0.373243510557427","0.417540689293513"
"Nein, weiss nicht","2015","Niedersachsen","direkter Migrationshintergrund","192","0.387384894109542","0.34756690163277","0.427202886586313"
"Nein, weiss nicht","2015","Niedersachsen","indirekter Migrationshintergrund","37","0.232562607424047","0.154669273736011","0.310455941112083"
"Nein, weiss nicht","2015","Bremen","kein Migrationshintergrund","42","0.378152244290779","0.287940728873039","0.468363759708519"
"Nein, weiss nicht","2015","Bremen","direkter Migrationshintergrund","","","",""
"Nein, weiss nicht","2015","Bremen","indirekter Migrationshintergrund","","","",""
"Nein, weiss nicht","2015","Nordrhein-Westfalen","kein Migrationshintergrund","1396","0.424323657326612","0.407984741310422","0.440662573342803"
"Nein, weiss nicht","2015","Nordrhein-Westfalen","direkter Migrationshintergrund","528","0.335214670790765","0.311156299331531","0.359273042249998"
"Nein, weiss nicht","2015","Nordrhein-Westfalen","indirekter Migrationshintergrund","170","0.375384546674461","0.332290053326769","0.418479040022152"
"Nein, weiss nicht","2015","Hessen","kein Migrationshintergrund","496","0.4185894622557","0.390465600939179","0.446713323572222"
"Nein, weiss nicht","2015","Hessen","direkter Migrationshintergrund","226","0.409994260989426","0.367266886542955","0.452721635435897"
"Nein, weiss nicht","2015","Hessen","indirekter Migrationshintergrund","67","0.475064437779848","0.394061471733448","0.556067403826248"
"Nein, weiss nicht","2015","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","335","0.394431661747266","0.362305068458055","0.426558255036477"
"Nein, weiss nicht","2015","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","110","0.379416178321925","0.328138657794414","0.430693698849435"
"Nein, weiss nicht","2015","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","33","0.367234946651661","0.26926342329701","0.465206470006311"
"Nein, weiss nicht","2015","Baden-Wuerttemberg","kein Migrationshintergrund","984","0.475961127099686","0.454363036158939","0.497559218040434"
"Nein, weiss nicht","2015","Baden-Wuerttemberg","direkter Migrationshintergrund","391","0.430864600946545","0.397436438006374","0.464292763886716"
"Nein, weiss nicht","2015","Baden-Wuerttemberg","indirekter Migrationshintergrund","144","0.476389080280334","0.420060362413147","0.532717798147521"
"Nein, weiss nicht","2015","Bayern","kein Migrationshintergrund","1246","0.398769946740008","0.381358463985552","0.416181429494464"
"Nein, weiss nicht","2015","Bayern","direkter Migrationshintergrund","392","0.386081776532126","0.356233617006878","0.415929936057373"
"Nein, weiss nicht","2015","Bayern","indirekter Migrationshintergrund","107","0.414109835159605","0.355137738264252","0.473081932054959"
"Nein, weiss nicht","2015","Saarland","kein Migrationshintergrund","63","0.484789066397433","0.406364028808922","0.563214103985944"
"Nein, weiss nicht","2015","Saarland","direkter Migrationshintergrund","34","0.445014033692444","0.331011496976612","0.559016570408276"
"Nein, weiss nicht","2015","Saarland","indirekter Migrationshintergrund","","","",""
"Nein, weiss nicht","2015","Berlin","kein Migrationshintergrund","304","0.434183015523178","0.398804726686684","0.469561304359673"
"Nein, weiss nicht","2015","Berlin","direkter Migrationshintergrund","77","0.414570161114443","0.343771007437461","0.485369314791426"
"Nein, weiss nicht","2015","Berlin","indirekter Migrationshintergrund","","","",""
"Nein, weiss nicht","2015","Brandenburg","kein Migrationshintergrund","405","0.45747959281887","0.424545359647099","0.490413825990641"
"Nein, weiss nicht","2015","Brandenburg","direkter Migrationshintergrund","36","0.309240724147345","0.225849799199274","0.392631649095415"
"Nein, weiss nicht","2015","Brandenburg","indirekter Migrationshintergrund","","","",""
"Nein, weiss nicht","2015","Mecklenburg-Vorpommern","kein Migrationshintergrund","245","0.466064545994749","0.423474295276824","0.508654796712674"
"Nein, weiss nicht","2015","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"Nein, weiss nicht","2015","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"Nein, weiss nicht","2015","Sachsen","kein Migrationshintergrund","705","0.489163200108269","0.463208941035483","0.515117459181055"
"Nein, weiss nicht","2015","Sachsen","direkter Migrationshintergrund","31","0.311456465943276","0.209339260051914","0.413573671834637"
"Nein, weiss nicht","2015","Sachsen","indirekter Migrationshintergrund","","","",""
"Nein, weiss nicht","2015","Sachsen-Anhalt","kein Migrationshintergrund","363","0.428581912178284","0.394668979321178","0.462494845035389"
"Nein, weiss nicht","2015","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"Nein, weiss nicht","2015","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"Nein, weiss nicht","2015","Thueringen","kein Migrationshintergrund","396","0.463076618998187","0.429961860012011","0.496191377984362"
"Nein, weiss nicht","2015","Thueringen","direkter Migrationshintergrund","","","",""
"Nein, weiss nicht","2015","Thueringen","indirekter Migrationshintergrund","","","",""
"Nein, niemand","2015","Schleswig-Holstein","kein Migrationshintergrund","202","0.284395865249913","0.250438709725511","0.318353020774316"
"Nein, niemand","2015","Schleswig-Holstein","direkter Migrationshintergrund","76","0.375120465205011","0.30079496875457","0.449445961655453"
"Nein, niemand","2015","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"Nein, niemand","2015","Hamburg","kein Migrationshintergrund","109","0.48248446473866","0.425845427869267","0.539123501608053"
"Nein, niemand","2015","Hamburg","direkter Migrationshintergrund","63","0.540202545414666","0.451766407120621","0.628638683708712"
"Nein, niemand","2015","Hamburg","indirekter Migrationshintergrund","","","",""
"Nein, niemand","2015","Niedersachsen","kein Migrationshintergrund","673","0.352709123534997","0.331064339419538","0.374353907650456"
"Nein, niemand","2015","Niedersachsen","direkter Migrationshintergrund","296","0.464901167717378","0.42413391094165","0.505668424493107"
"Nein, niemand","2015","Niedersachsen","indirekter Migrationshintergrund","51","0.531340281167374","0.439332606731707","0.623347955603041"
"Nein, niemand","2015","Bremen","kein Migrationshintergrund","38","0.422283578705493","0.33039827513721","0.514168882273776"
"Nein, niemand","2015","Bremen","direkter Migrationshintergrund","","","",""
"Nein, niemand","2015","Bremen","indirekter Migrationshintergrund","","","",""
"Nein, niemand","2015","Nordrhein-Westfalen","kein Migrationshintergrund","1266","0.370749430856937","0.354781910395184","0.38671695131869"
"Nein, niemand","2015","Nordrhein-Westfalen","direkter Migrationshintergrund","700","0.490377536910108","0.464900227040548","0.515854846779668"
"Nein, niemand","2015","Nordrhein-Westfalen","indirekter Migrationshintergrund","208","0.427830902569464","0.383798184341182","0.471863620797747"
"Nein, niemand","2015","Hessen","kein Migrationshintergrund","364","0.3192560428571","0.292679357589487","0.345832728124714"
"Nein, niemand","2015","Hessen","direkter Migrationshintergrund","196","0.423505668116914","0.380580072072091","0.466431264161736"
"Nein, niemand","2015","Hessen","indirekter Migrationshintergrund","44","0.296658239649194","0.222564234222125","0.370752245076263"
"Nein, niemand","2015","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","365","0.402951928298162","0.370709445281453","0.435194411314872"
"Nein, niemand","2015","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","199","0.498229726316302","0.445392969528401","0.551066483104203"
"Nein, niemand","2015","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","50","0.447061581912855","0.346013360239962","0.548109803585749"
"Nein, niemand","2015","Baden-Wuerttemberg","kein Migrationshintergrund","603","0.317343162407158","0.29721455792305","0.337471766891266"
"Nein, niemand","2015","Baden-Wuerttemberg","direkter Migrationshintergrund","329","0.390380921957658","0.357449698088305","0.423312145827011"
"Nein, niemand","2015","Baden-Wuerttemberg","indirekter Migrationshintergrund","102","0.341156421927156","0.287686130205167","0.394626713649145"
"Nein, niemand","2015","Bayern","kein Migrationshintergrund","1119","0.392569650617971","0.375205209476915","0.409934091759028"
"Nein, niemand","2015","Bayern","direkter Migrationshintergrund","507","0.485358936608566","0.454717693805806","0.516000179411327"
"Nein, niemand","2015","Bayern","indirekter Migrationshintergrund","109","0.397077403230054","0.338497444548685","0.455657361911422"
"Nein, niemand","2015","Saarland","kein Migrationshintergrund","66","0.306925087399726","0.234549504351397","0.379300670448055"
"Nein, niemand","2015","Saarland","direkter Migrationshintergrund","33","0.475049899717975","0.360494573117769","0.58960522631818"
"Nein, niemand","2015","Saarland","indirekter Migrationshintergrund","","","",""
"Nein, niemand","2015","Berlin","kein Migrationshintergrund","296","0.399125898120757","0.364170913491804","0.43408088274971"
"Nein, niemand","2015","Berlin","direkter Migrationshintergrund","50","0.217920805522608","0.158591900509354","0.277249710535862"
"Nein, niemand","2015","Berlin","indirekter Migrationshintergrund","","","",""
"Nein, niemand","2015","Brandenburg","kein Migrationshintergrund","347","0.403804808377831","0.371368334912149","0.436241281843513"
"Nein, niemand","2015","Brandenburg","direkter Migrationshintergrund","74","0.607637383072349","0.519537944473043","0.695736821671656"
"Nein, niemand","2015","Brandenburg","indirekter Migrationshintergrund","","","",""
"Nein, niemand","2015","Mecklenburg-Vorpommern","kein Migrationshintergrund","194","0.402358768118341","0.360491965547022","0.44422557068966"
"Nein, niemand","2015","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"Nein, niemand","2015","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"Nein, niemand","2015","Sachsen","kein Migrationshintergrund","555","0.39893309984098","0.373508618563572","0.424357581118389"
"Nein, niemand","2015","Sachsen","direkter Migrationshintergrund","35","0.533014161444231","0.422998180711656","0.643030142176807"
"Nein, niemand","2015","Sachsen","indirekter Migrationshintergrund","","","",""
"Nein, niemand","2015","Sachsen-Anhalt","kein Migrationshintergrund","368","0.470663974216198","0.436458734042665","0.504869214389731"
"Nein, niemand","2015","Sachsen-Anhalt","direkter Migrationshintergrund","36","0.653995104667854","0.529405316355463","0.778584892980245"
"Nein, niemand","2015","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"Nein, niemand","2015","Thueringen","kein Migrationshintergrund","354","0.411962024650817","0.379275383718689","0.444648665582946"
"Nein, niemand","2015","Thueringen","direkter Migrationshintergrund","69","0.874674102983947","0.804288769410433","0.94505943655746"
"Nein, niemand","2015","Thueringen","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Schleswig-Holstein","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Hamburg","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Hamburg","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Hamburg","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Niedersachsen","kein Migrationshintergrund","54","0.0209331240512274","0.014271279636641","0.0275949684658138"
"Ja, viele Personen","2016","Niedersachsen","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Niedersachsen","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Bremen","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Bremen","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Bremen","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Nordrhein-Westfalen","kein Migrationshintergrund","87","0.0257351495946373","0.0203481575955425","0.0311221415937321"
"Ja, viele Personen","2016","Nordrhein-Westfalen","direkter Migrationshintergrund","39","0.0294833186256256","0.0202272951372771","0.0387393421139741"
"Ja, viele Personen","2016","Nordrhein-Westfalen","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Hessen","kein Migrationshintergrund","30","0.0270898172458819","0.0174520983715009","0.0367275361202629"
"Ja, viele Personen","2016","Hessen","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Hessen","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Baden-Wuerttemberg","kein Migrationshintergrund","37","0.0213786564298313","0.0148628176559769","0.0278944952036857"
"Ja, viele Personen","2016","Baden-Wuerttemberg","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Baden-Wuerttemberg","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Bayern","kein Migrationshintergrund","83","0.0250876904622738","0.0192720829536209","0.0309032979709266"
"Ja, viele Personen","2016","Bayern","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Bayern","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Saarland","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Saarland","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Saarland","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Berlin","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Berlin","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Berlin","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Brandenburg","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Brandenburg","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Brandenburg","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Sachsen","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Sachsen","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Sachsen","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Thueringen","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Thueringen","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","Thueringen","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2016","Schleswig-Holstein","kein Migrationshintergrund","134","0.218056888439857","0.185761482074702","0.250352294805012"
"Ja, wenige Personen","2016","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"Ja, wenige Personen","2016","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2016","Hamburg","kein Migrationshintergrund","52","0.13869047068537","0.0982075337018998","0.17917340766884"
"Ja, wenige Personen","2016","Hamburg","direkter Migrationshintergrund","","","",""
"Ja, wenige Personen","2016","Hamburg","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2016","Niedersachsen","kein Migrationshintergrund","343","0.173213601121846","0.155603617969237","0.190823584274455"
"Ja, wenige Personen","2016","Niedersachsen","direkter Migrationshintergrund","43","0.0667825773371556","0.0447009868236686","0.0888641678506426"
"Ja, wenige Personen","2016","Niedersachsen","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2016","Bremen","kein Migrationshintergrund","","","",""
"Ja, wenige Personen","2016","Bremen","direkter Migrationshintergrund","","","",""
"Ja, wenige Personen","2016","Bremen","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2016","Nordrhein-Westfalen","kein Migrationshintergrund","533","0.143110492254424","0.13119690321051","0.155024081298339"
"Ja, wenige Personen","2016","Nordrhein-Westfalen","direkter Migrationshintergrund","129","0.102922338063345","0.0862956937664349","0.119548982360255"
"Ja, wenige Personen","2016","Nordrhein-Westfalen","indirekter Migrationshintergrund","55","0.0974405659311987","0.0703400861847659","0.124541045677631"
"Ja, wenige Personen","2016","Hessen","kein Migrationshintergrund","200","0.179803156982433","0.157005377678314","0.202600936286553"
"Ja, wenige Personen","2016","Hessen","direkter Migrationshintergrund","48","0.114102825456985","0.0827093181776576","0.145496332736313"
"Ja, wenige Personen","2016","Hessen","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2016","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","111","0.135462084523671","0.112278196981851","0.15864597206549"
"Ja, wenige Personen","2016","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","","","",""
"Ja, wenige Personen","2016","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2016","Baden-Wuerttemberg","kein Migrationshintergrund","268","0.13279881057097","0.117511545039989","0.14808607610195"
"Ja, wenige Personen","2016","Baden-Wuerttemberg","direkter Migrationshintergrund","54","0.0890862237180028","0.0676594336791281","0.110513013756878"
"Ja, wenige Personen","2016","Baden-Wuerttemberg","indirekter Migrationshintergrund","34","0.10800658550237","0.0708456501897999","0.14516752081494"
"Ja, wenige Personen","2016","Bayern","kein Migrationshintergrund","399","0.126789247801163","0.114416028215925","0.1391624673864"
"Ja, wenige Personen","2016","Bayern","direkter Migrationshintergrund","70","0.0675293079611522","0.0501947051255316","0.0848639107967729"
"Ja, wenige Personen","2016","Bayern","indirekter Migrationshintergrund","33","0.0658632427725364","0.0352989313696261","0.0964275541754468"
"Ja, wenige Personen","2016","Saarland","kein Migrationshintergrund","","","",""
"Ja, wenige Personen","2016","Saarland","direkter Migrationshintergrund","","","",""
"Ja, wenige Personen","2016","Saarland","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2016","Berlin","kein Migrationshintergrund","101","0.114319086372588","0.0907974006025068","0.13784077214267"
