"plb0571","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Ja, viele Personen","2016","indirekter Migrationshintergrund","maennlich","30","0.0597251268935661","0.042281735349373","0.0771685184377593"
"Ja, viele Personen","2016","indirekter Migrationshintergrund","weiblich","","","",""
"Ja, wenige Personen","2016","kein Migrationshintergrund","maennlich","1282","0.156743796010252","0.148865244263148","0.164622347757357"
"Ja, wenige Personen","2016","kein Migrationshintergrund","weiblich","1233","0.113639370909929","0.107302909409537","0.119975832410321"
"Ja, wenige Personen","2016","direkter Migrationshintergrund","maennlich","227","0.0906881564367576","0.0785835142350797","0.102792798638436"
"Ja, wenige Personen","2016","direkter Migrationshintergrund","weiblich","219","0.0907443979218899","0.0797138488328009","0.101774947010979"
"Ja, wenige Personen","2016","indirekter Migrationshintergrund","maennlich","121","0.120818188857615","0.0968281759685781","0.144808201746653"
"Ja, wenige Personen","2016","indirekter Migrationshintergrund","weiblich","114","0.122250860597297","0.100098520177434","0.14440320101716"
"Nein, weiss nicht","2016","kein Migrationshintergrund","maennlich","2836","0.341841512260061","0.331562554463609","0.352120470056513"
"Nein, weiss nicht","2016","kein Migrationshintergrund","weiblich","3308","0.333491326904981","0.324078450939915","0.342904202870047"
"Nein, weiss nicht","2016","direkter Migrationshintergrund","maennlich","704","0.330774663376602","0.310942387653175","0.350606939100028"
"Nein, weiss nicht","2016","direkter Migrationshintergrund","weiblich","865","0.339032085008677","0.320853720121547","0.357210449895807"
"Nein, weiss nicht","2016","indirekter Migrationshintergrund","maennlich","233","0.329903523907664","0.295294677959562","0.364512369855767"
"Nein, weiss nicht","2016","indirekter Migrationshintergrund","weiblich","283","0.341099654563568","0.309039991378217","0.373159317748918"
"Nein, niemand","2016","kein Migrationshintergrund","maennlich","3829","0.473593545305824","0.462773354246661","0.484413736364986"
"Nein, niemand","2016","kein Migrationshintergrund","weiblich","4954","0.540500612325197","0.53055073502458","0.550450489625814"
"Nein, niemand","2016","direkter Migrationshintergrund","maennlich","1166","0.546551786695903","0.525567232230583","0.567536341161223"
"Nein, niemand","2016","direkter Migrationshintergrund","weiblich","1473","0.557218492841518","0.538144055985153","0.576292929697883"
"Nein, niemand","2016","indirekter Migrationshintergrund","maennlich","325","0.489553160341154","0.452757198284967","0.526349122397341"
"Nein, niemand","2016","indirekter Migrationshintergrund","weiblich","422","0.516914201339608","0.483120962698035","0.550707439981181"
