"plb0571","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"Nein, niemand","2015","35-65 Jahre alt","kein Migrationshintergrund","3715","0.346111106330101","0.337178990139715","0.355043222520486"
"Nein, niemand","2015","35-65 Jahre alt","direkter Migrationshintergrund","1614","0.445297523617911","0.428650507295816","0.461944539940005"
"Nein, niemand","2015","35-65 Jahre alt","indirekter Migrationshintergrund","263","0.419687130712099","0.382539837731688","0.45683442369251"
"Nein, niemand","2015","66 und älter","kein Migrationshintergrund","1987","0.448108632418667","0.433518705943858","0.462698558893475"
"Nein, niemand","2015","66 und älter","direkter Migrationshintergrund","212","0.513821657787271","0.466744726015037","0.560898589559504"
"Nein, niemand","2015","66 und älter","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","16-34 Jahre alt","kein Migrationshintergrund","121","0.0314517296188864","0.0255484868089051","0.0373549724288676"
"Ja, viele Personen","2016","16-34 Jahre alt","direkter Migrationshintergrund","31","0.0242505442098849","0.0160570592232334","0.0324440291965364"
"Ja, viele Personen","2016","16-34 Jahre alt","indirekter Migrationshintergrund","31","0.0346661465088702","0.0226947884116135","0.0466375046061269"
"Ja, viele Personen","2016","35-65 Jahre alt","kein Migrationshintergrund","229","0.0229397352297114","0.0200246223465467","0.0258548481128761"
"Ja, viele Personen","2016","35-65 Jahre alt","direkter Migrationshintergrund","77","0.0258251690900099","0.0201644388179325","0.0314858993620874"
"Ja, viele Personen","2016","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","66 und älter","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2016","66 und älter","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2016","66 und älter","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2016","16-34 Jahre alt","kein Migrationshintergrund","671","0.192125803270286","0.178800642369631","0.205450964170941"
"Ja, wenige Personen","2016","16-34 Jahre alt","direkter Migrationshintergrund","154","0.162966131896633","0.143293659121893","0.182638604671374"
"Ja, wenige Personen","2016","16-34 Jahre alt","indirekter Migrationshintergrund","138","0.119257062801977","0.0980481450205158","0.140465980583439"
"Ja, wenige Personen","2016","35-65 Jahre alt","kein Migrationshintergrund","1504","0.141471639578698","0.134685660491534","0.148257618665861"
"Ja, wenige Personen","2016","35-65 Jahre alt","direkter Migrationshintergrund","274","0.075348354149689","0.0659281919407445","0.0847685163586334"
"Ja, wenige Personen","2016","35-65 Jahre alt","indirekter Migrationshintergrund","97","0.128392370541646","0.102635641553687","0.154149099529606"
"Ja, wenige Personen","2016","66 und älter","kein Migrationshintergrund","340","0.0789448288716318","0.0709103204587002","0.0869793372845634"
"Ja, wenige Personen","2016","66 und älter","direkter Migrationshintergrund","","","",""
"Ja, wenige Personen","2016","66 und älter","indirekter Migrationshintergrund","","","",""
"Nein, weiss nicht","2016","16-34 Jahre alt","kein Migrationshintergrund","1136","0.343956807158906","0.32789013557832","0.360023478739491"
"Nein, weiss nicht","2016","16-34 Jahre alt","direkter Migrationshintergrund","439","0.305420636347861","0.280887736511078","0.329953536184644"
"Nein, weiss nicht","2016","16-34 Jahre alt","indirekter Migrationshintergrund","293","0.329152582704743","0.29840136066445","0.359903804745035"
"Nein, weiss nicht","2016","35-65 Jahre alt","kein Migrationshintergrund","3640","0.351508050188841","0.342211529654792","0.36080457072289"
"Nein, weiss nicht","2016","35-65 Jahre alt","direkter Migrationshintergrund","1012","0.354951549966249","0.33787448899921","0.372028610933287"
"Nein, weiss nicht","2016","35-65 Jahre alt","indirekter Migrationshintergrund","223","0.35428579550014","0.317459534370285","0.391112056629994"
"Nein, weiss nicht","2016","66 und älter","kein Migrationshintergrund","1368","0.306467894978897","0.292731257999625","0.320204531958169"
"Nein, weiss nicht","2016","66 und älter","direkter Migrationshintergrund","118","0.304825133642125","0.259543169641633","0.350107097642618"
"Nein, weiss nicht","2016","66 und älter","indirekter Migrationshintergrund","","","",""
"Nein, niemand","2016","16-34 Jahre alt","kein Migrationshintergrund","1430","0.432465659951922","0.415709301916293","0.449222017987551"
"Nein, niemand","2016","16-34 Jahre alt","direkter Migrationshintergrund","730","0.507362687545621","0.48073326968152","0.533992105409722"
"Nein, niemand","2016","16-34 Jahre alt","indirekter Migrationshintergrund","435","0.51692420798441","0.48422231128755","0.54962610468127"
"Nein, niemand","2016","35-65 Jahre alt","kein Migrationshintergrund","4759","0.48408057500275","0.474349736423141","0.49381141358236"
"Nein, niemand","2016","35-65 Jahre alt","direkter Migrationshintergrund","1653","0.543874926794052","0.526099341303785","0.56165051228432"
"Nein, niemand","2016","35-65 Jahre alt","indirekter Migrationshintergrund","308","0.464573144879582","0.426172571084311","0.502973718674853"
"Nein, niemand","2016","66 und älter","kein Migrationshintergrund","2594","0.609026906876098","0.594487512439102","0.623566301313093"
"Nein, niemand","2016","66 und älter","direkter Migrationshintergrund","256","0.650887920624551","0.60399704081398","0.697778800435122"
"Nein, niemand","2016","66 und älter","indirekter Migrationshintergrund","","","",""
