"plb0571","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Nein, weiss nicht","2015","AkademikerInnen","maennlich","1317","0.409100332153383","0.391971292181509","0.426229372125257"
"Nein, weiss nicht","2015","AkademikerInnen","weiblich","1340","0.436127762265511","0.418929765695954","0.453325758835068"
"Nein, weiss nicht","2015","Hauptschulabschluss","maennlich","1495","0.406805149182335","0.39119659531883","0.42241370304584"
"Nein, weiss nicht","2015","Hauptschulabschluss","weiblich","1568","0.413262800679707","0.39783019882136","0.428695402538055"
"Nein, weiss nicht","2015","Realschulabschluss","maennlich","1089","0.435277225851138","0.416238194418172","0.454316257284105"
"Nein, weiss nicht","2015","Realschulabschluss","weiblich","1733","0.432302598063791","0.416744849937873","0.44786034618971"
"Nein, niemand","2015","(Fach-)Abitur","maennlich","618","0.316786806248505","0.294933841232411","0.338639771264599"
"Nein, niemand","2015","(Fach-)Abitur","weiblich","862","0.366685875493702","0.347231155812703","0.386140595174702"
"Nein, niemand","2015","(noch) kein Abschluss","maennlich","176","0.442061687974596","0.394106674877954","0.490016701071239"
"Nein, niemand","2015","(noch) kein Abschluss","weiblich","232","0.416869254240242","0.374973001795745","0.458765506684739"
"Nein, niemand","2015","AkademikerInnen","maennlich","1085","0.330608485781272","0.314219263956188","0.346997707606357"
"Nein, niemand","2015","AkademikerInnen","weiblich","1181","0.366372189210331","0.349662860591058","0.383081517829604"
"Nein, niemand","2015","Hauptschulabschluss","maennlich","1576","0.403123224110846","0.387537319626896","0.418709128594797"
"Nein, niemand","2015","Hauptschulabschluss","weiblich","1874","0.477481940571739","0.461827652885275","0.493136228258203"
"Nein, niemand","2015","Realschulabschluss","maennlich","878","0.339663156570864","0.321476569234505","0.357849743907223"
"Nein, niemand","2015","Realschulabschluss","weiblich","1461","0.394343931996433","0.378996172763376","0.40969169122949"
"Ja, viele Personen","2016","(Fach-)Abitur","maennlich","46","0.0309526787840161","0.022308424830627","0.0395969327374051"
"Ja, viele Personen","2016","(Fach-)Abitur","weiblich","47","0.0186292209814528","0.0128884493019543","0.0243699926609513"
"Ja, viele Personen","2016","(noch) kein Abschluss","maennlich","","","",""
"Ja, viele Personen","2016","(noch) kein Abschluss","weiblich","","","",""
"Ja, viele Personen","2016","AkademikerInnen","maennlich","58","0.0181624721413696","0.0133172606152665","0.0230076836674726"
"Ja, viele Personen","2016","AkademikerInnen","weiblich","38","0.0111140468598784","0.00733224187316695","0.0148958518465898"
"Ja, viele Personen","2016","Hauptschulabschluss","maennlich","115","0.0321376563284538","0.0262363028366794","0.0380390098202282"
"Ja, viele Personen","2016","Hauptschulabschluss","weiblich","51","0.0110768204150164","0.00762517178439052","0.0145284690456423"
"Ja, viele Personen","2016","Realschulabschluss","maennlich","80","0.0361309889947721","0.0286695921498386","0.0435923858397057"
"Ja, viele Personen","2016","Realschulabschluss","weiblich","58","0.0136163358348984","0.00983585054249252","0.0173968211273042"
"Ja, wenige Personen","2016","(Fach-)Abitur","maennlich","243","0.174310312058935","0.155374851413999","0.193245772703872"
"Ja, wenige Personen","2016","(Fach-)Abitur","weiblich","332","0.152111518722683","0.136863732828894","0.167359304616472"
"Ja, wenige Personen","2016","(noch) kein Abschluss","maennlich","40","0.101659215152936","0.0702673567431485","0.133051073562724"
"Ja, wenige Personen","2016","(noch) kein Abschluss","weiblich","39","0.0705251626174701","0.0470515000327965","0.0939988252021436"
"Ja, wenige Personen","2016","AkademikerInnen","maennlich","491","0.169041833303894","0.15544329826857","0.182640368339218"
"Ja, wenige Personen","2016","AkademikerInnen","weiblich","456","0.144588030012578","0.131901473852682","0.157274586172475"
"Ja, wenige Personen","2016","Hauptschulabschluss","maennlich","437","0.115873324999262","0.105163392995085","0.126583257003439"
"Ja, wenige Personen","2016","Hauptschulabschluss","weiblich","256","0.063422955594135","0.0553852381233432","0.0714606730649268"
"Ja, wenige Personen","2016","Realschulabschluss","maennlich","354","0.14554208081044","0.131442349551172","0.159641812069709"
"Ja, wenige Personen","2016","Realschulabschluss","weiblich","415","0.114859576925451","0.104458359291573","0.125260794559328"
"Nein, weiss nicht","2016","(Fach-)Abitur","maennlich","581","0.359127090745296","0.335182029915422","0.383072151575169"
"Nein, weiss nicht","2016","(Fach-)Abitur","weiblich","749","0.348919418242867","0.328682876021851","0.369155960463883"
"Nein, weiss nicht","2016","(noch) kein Abschluss","maennlich","126","0.403874264264139","0.352904207448158","0.45484432108012"
"Nein, weiss nicht","2016","(noch) kein Abschluss","weiblich","153","0.34012961683379","0.296694445984158","0.383564787683422"
"Nein, weiss nicht","2016","AkademikerInnen","maennlich","1012","0.344587717582294","0.327344725376906","0.361830709787681"
"Nein, weiss nicht","2016","AkademikerInnen","weiblich","976","0.332007479196453","0.315019189901171","0.348995768491734"
"Nein, weiss nicht","2016","Hauptschulabschluss","maennlich","1138","0.33047724530557","0.31473773617651","0.34621675443463"
"Nein, weiss nicht","2016","Hauptschulabschluss","weiblich","1182","0.325983432635116","0.310524810068691","0.341442055201542"
"Nein, weiss nicht","2016","Realschulabschluss","maennlich","802","0.33195262808677","0.313124250843547","0.350781005329993"
"Nein, weiss nicht","2016","Realschulabschluss","weiblich","1279","0.343186789005945","0.327699310720506","0.358674267291384"
"Nein, niemand","2016","(Fach-)Abitur","maennlich","672","0.435609918411753","0.410861669779621","0.460358167043885"
"Nein, niemand","2016","(Fach-)Abitur","weiblich","1003","0.480339842052997","0.45912741400955","0.501552270096445"
"Nein, niemand","2016","(noch) kein Abschluss","maennlich","177","0.45040615544643","0.398723338029002","0.502088972863858"
"Nein, niemand","2016","(noch) kein Abschluss","weiblich","257","0.58295181781436","0.537745468379414","0.628158167249306"
"Nein, niemand","2016","AkademikerInnen","maennlich","1357","0.468207976972443","0.450103092379214","0.486312861565673"
"Nein, niemand","2016","AkademikerInnen","weiblich","1482","0.512290443931091","0.494259076035879","0.530321811826303"
"Nein, niemand","2016","Hauptschulabschluss","maennlich","1741","0.521511773366715","0.504796810398076","0.538226736335353"
"Nein, niemand","2016","Hauptschulabschluss","weiblich","2043","0.599516791355732","0.583357192519321","0.615676390192144"
"Nein, niemand","2016","Realschulabschluss","maennlich","1167","0.486374302108018","0.466390418658817","0.506358185557218"
"Nein, niemand","2016","Realschulabschluss","weiblich","1858","0.528337298233706","0.512053118290827","0.544621478176585"
