year,sex,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1993,male,Not Employed,0.26872,1847,6365,0.25783,0.27961
1993,female,Full-Time Employment,0.22318,2126,6736,0.21323,0.23312
1993,female,Regular Part-Time Employment,0.10772,857,6736,0.10032,0.11512
1993,female,Vocational Training,0.02281,241,6736,0.01924,0.02637
1993,female,"Marginal, Irregular Part-Time Employment",0.02025,144,6736,0.01689,0.02362
1993,female,Not Employed,0.45777,3368,6736,0.44587,0.46967
1994,male,Full-Time Employment,0.48705,3974,6215,0.47462,0.49947
1994,male,Regular Part-Time Employment,0.00974,59,6215,0.00730,0.01218
1994,male,Vocational Training,0.02518,224,6215,0.02128,0.02907
1994,male,"Marginal, Irregular Part-Time Employment",0.00940,59,6215,0.00700,0.01180
1994,male,Not Employed,0.27956,1899,6215,0.26840,0.29071
1994,female,Full-Time Employment,0.21486,2009,6658,0.20500,0.22473
1994,female,Regular Part-Time Employment,0.10370,824,6658,0.09638,0.11103
1994,female,Vocational Training,0.01956,230,6658,0.01623,0.02288
1994,female,"Marginal, Irregular Part-Time Employment",0.02328,177,6658,0.01966,0.02691
1994,female,Not Employed,0.47180,3418,6658,0.45981,0.48379
1995,male,Full-Time Employment,0.48142,4089,6410,0.46919,0.49365
1995,male,Regular Part-Time Employment,0.01306,74,6410,0.01028,0.01584
1995,male,Vocational Training,0.02558,242,6410,0.02172,0.02945
1995,male,"Marginal, Irregular Part-Time Employment",0.01010,74,6410,0.00765,0.01255
1995,male,Not Employed,0.27994,1931,6410,0.26895,0.29094
1995,female,Full-Time Employment,0.20929,2043,6873,0.19967,0.21890
1995,female,Regular Part-Time Employment,0.10496,902,6873,0.09771,0.11221
1995,female,Vocational Training,0.01792,212,6873,0.01479,0.02106
1995,female,"Marginal, Irregular Part-Time Employment",0.02765,217,6873,0.02377,0.03153
1995,female,Not Employed,0.47222,3499,6873,0.46042,0.48402
1996,male,Full-Time Employment,0.47566,3943,6293,0.46332,0.48800
1996,male,Regular Part-Time Employment,0.01668,103,6293,0.01352,0.01985
1996,male,Vocational Training,0.02444,235,6293,0.02062,0.02825
1996,male,"Marginal, Irregular Part-Time Employment",0.00960,63,6293,0.00719,0.01201
1996,male,Not Employed,0.28442,1949,6293,0.27327,0.29557
1996,female,Full-Time Employment,0.20295,1952,6754,0.19335,0.21254
1996,female,Regular Part-Time Employment,0.11457,951,6754,0.10698,0.12217
1996,female,Vocational Training,0.01675,199,6754,0.01369,0.01981
1996,female,"Marginal, Irregular Part-Time Employment",0.02680,208,6754,0.02294,0.03065
1996,female,Not Employed,0.47277,3444,6754,0.46086,0.48468
1997,male,Full-Time Employment,0.46735,3813,6208,0.45494,0.47977
1997,male,Regular Part-Time Employment,0.01697,93,6208,0.01375,0.02018
1997,male,Vocational Training,0.02299,232,6208,0.01926,0.02672
1997,male,"Marginal, Irregular Part-Time Employment",0.00796,59,6208,0.00575,0.01017
1997,male,Not Employed,0.29757,2011,6208,0.28619,0.30894
1997,female,Full-Time Employment,0.20269,1910,6620,0.19301,0.21238
1997,female,Regular Part-Time Employment,0.11193,899,6620,0.10433,0.11952
1997,female,Vocational Training,0.01638,191,6620,0.01333,0.01944
1997,female,"Marginal, Irregular Part-Time Employment",0.02479,200,6620,0.02105,0.02854
1997,female,Not Employed,0.47902,3420,6620,0.46699,0.49106
1998,male,Full-Time Employment,0.46509,4148,6883,0.45330,0.47687
1998,male,Regular Part-Time Employment,0.01680,106,6883,0.01377,0.01984
1998,male,Vocational Training,0.02687,274,6883,0.02305,0.03070
1998,male,"Marginal, Irregular Part-Time Employment",0.01052,81,6883,0.00811,0.01293
1998,male,Not Employed,0.29692,2274,6883,0.28613,0.30772
1998,female,Full-Time Employment,0.20239,2075,7342,0.19320,0.21158
1998,female,Regular Part-Time Employment,0.11367,1004,7342,0.10641,0.12093
1998,female,Vocational Training,0.01616,204,7342,0.01328,0.01905
1998,female,"Marginal, Irregular Part-Time Employment",0.02253,224,7342,0.01914,0.02593
1998,female,Not Employed,0.47927,3835,7342,0.46784,0.49069
1999,male,Full-Time Employment,0.47043,4028,6602,0.45839,0.48247
1999,male,Regular Part-Time Employment,0.01764,114,6602,0.01447,0.02082
1999,male,Vocational Training,0.02573,251,6602,0.02191,0.02955
1999,male,"Marginal, Irregular Part-Time Employment",0.01442,112,6602,0.01154,0.01729
1999,male,Not Employed,0.29086,2097,6602,0.27991,0.30182
1999,female,Full-Time Employment,0.20697,2015,7056,0.19752,0.21643
1999,female,Regular Part-Time Employment,0.11228,1002,7056,0.10492,0.11965
1999,female,Vocational Training,0.01766,196,7056,0.01459,0.02074
1999,female,"Marginal, Irregular Part-Time Employment",0.03964,324,7056,0.03509,0.04420
1999,female,Not Employed,0.45793,3519,7056,0.44630,0.46955
2000,male,Full-Time Employment,0.47247,6862,11568,0.46337,0.48156
2000,male,Regular Part-Time Employment,0.01783,207,11568,0.01542,0.02024
2000,male,Vocational Training,0.02379,397,11568,0.02101,0.02657
2000,male,"Marginal, Irregular Part-Time Employment",0.01582,190,11568,0.01355,0.01810
2000,male,Not Employed,0.28700,3912,11568,0.27876,0.29525
2000,female,Full-Time Employment,0.20116,3198,12510,0.19413,0.20818
2000,female,Regular Part-Time Employment,0.12774,2025,12510,0.12189,0.13359
2000,female,Vocational Training,0.01600,299,12510,0.01380,0.01820
2000,female,"Marginal, Irregular Part-Time Employment",0.03825,576,12510,0.03489,0.04161
2000,female,Not Employed,0.45281,6412,12510,0.44409,0.46153
2001,male,Full-Time Employment,0.46546,6136,10510,0.45592,0.47499
2001,male,Regular Part-Time Employment,0.01758,190,10510,0.01507,0.02009
2001,male,Vocational Training,0.02334,357,10510,0.02045,0.02623
2001,male,"Marginal, Irregular Part-Time Employment",0.01790,204,10510,0.01537,0.02044
2001,male,Not Employed,0.29540,3623,10510,0.28668,0.30412
2001,female,Full-Time Employment,0.20173,2923,11382,0.19436,0.20910
2001,female,Regular Part-Time Employment,0.12903,1867,11382,0.12287,0.13519
2001,female,Vocational Training,0.02125,322,11382,0.01860,0.02390
2001,female,"Marginal, Irregular Part-Time Employment",0.03762,546,11382,0.03413,0.04112
2001,female,Not Employed,0.44642,5724,11382,0.43728,0.45555
2002,male,Full-Time Employment,0.44957,6464,11110,0.44032,0.45882
2002,male,Regular Part-Time Employment,0.01645,198,11110,0.01408,0.01881
2002,male,Vocational Training,0.02478,366,11110,0.02189,0.02767
2002,male,"Marginal, Irregular Part-Time Employment",0.01669,214,11110,0.01431,0.01907
2002,male,Not Employed,0.31328,3868,11110,0.30466,0.32191
2002,female,Full-Time Employment,0.19229,3088,11886,0.18521,0.19938
2002,female,Regular Part-Time Employment,0.13174,2085,11886,0.12566,0.13782
2002,female,Vocational Training,0.02137,312,11886,0.01877,0.02397
2002,female,"Marginal, Irregular Part-Time Employment",0.04101,614,11886,0.03744,0.04457
2002,female,Not Employed,0.45237,5787,11886,0.44342,0.46132
2003,male,Full-Time Employment,0.43906,5981,10660,0.42963,0.44848
2003,male,Regular Part-Time Employment,0.01875,213,10660,0.01618,0.02133
2003,male,Vocational Training,0.02278,336,10660,0.01994,0.02561
2003,male,"Marginal, Irregular Part-Time Employment",0.01805,236,10660,0.01552,0.02057
2003,male,Not Employed,0.32475,3894,10660,0.31586,0.33364
2003,female,Full-Time Employment,0.18909,2876,11474,0.18192,0.19625
2003,female,Regular Part-Time Employment,0.13290,2056,11474,0.12669,0.13911
2003,female,Vocational Training,0.01768,272,11474,0.01526,0.02009
2003,female,"Marginal, Irregular Part-Time Employment",0.04429,619,11474,0.04053,0.04806
2003,female,Not Employed,0.45541,5651,11474,0.44630,0.46453
2004,male,Full-Time Employment,0.43468,5754,10369,0.42513,0.44422
2004,male,Regular Part-Time Employment,0.01876,213,10369,0.01615,0.02137
2004,male,Vocational Training,0.02262,312,10369,0.01975,0.02548
2004,male,"Marginal, Irregular Part-Time Employment",0.01898,248,10369,0.01635,0.02160
2004,male,Not Employed,0.33353,3842,10369,0.32446,0.34261
2004,female,Full-Time Employment,0.18730,2764,11215,0.18008,0.19452
2004,female,Regular Part-Time Employment,0.13074,1973,11215,0.12450,0.13698
2004,female,Vocational Training,0.01939,268,11215,0.01684,0.02195
2004,female,"Marginal, Irregular Part-Time Employment",0.04900,670,11215,0.04500,0.05299
2004,female,Not Employed,0.45618,5540,11215,0.44696,0.46540
2005,male,Full-Time Employment,0.43522,5379,9886,0.42545,0.44499
2005,male,Regular Part-Time Employment,0.02091,215,9886,0.01809,0.02373
2005,male,Vocational Training,0.02458,287,9886,0.02152,0.02763
2005,male,"Marginal, Irregular Part-Time Employment",0.02114,241,9886,0.01831,0.02398
2005,male,Not Employed,0.32994,3764,9886,0.32067,0.33921
2005,female,Full-Time Employment,0.18846,2605,10781,0.18107,0.19584
2005,female,Regular Part-Time Employment,0.13413,1877,10781,0.12770,0.14057
2005,female,Vocational Training,0.01747,227,10781,0.01499,0.01994
2005,female,"Marginal, Irregular Part-Time Employment",0.05401,711,10781,0.04974,0.05827
2005,female,Not Employed,0.45407,5361,10781,0.44467,0.46347
2006,male,Full-Time Employment,0.43495,5606,10614,0.42552,0.44439
2006,male,Regular Part-Time Employment,0.02118,246,10614,0.01844,0.02392
2006,male,Vocational Training,0.02256,282,10614,0.01973,0.02538
2006,male,"Marginal, Irregular Part-Time Employment",0.02704,339,10614,0.02395,0.03013
2006,male,Not Employed,0.32885,4141,10614,0.31991,0.33778
2006,female,Full-Time Employment,0.18578,2710,11621,0.17871,0.19285
2006,female,Regular Part-Time Employment,0.13279,2063,11621,0.12662,0.13896
2006,female,Vocational Training,0.01779,236,11621,0.01538,0.02019
2006,female,"Marginal, Irregular Part-Time Employment",0.05648,803,11621,0.05228,0.06067
2006,female,Not Employed,0.45558,5809,11621,0.44652,0.46463
2007,male,Full-Time Employment,0.44436,5327,9939,0.43459,0.45413
2007,male,Regular Part-Time Employment,0.02325,234,9939,0.02028,0.02621
2007,male,Vocational Training,0.02213,270,9939,0.01924,0.02502
2007,male,"Marginal, Irregular Part-Time Employment",0.02717,308,9939,0.02398,0.03037
2007,male,Not Employed,0.32136,3800,9939,0.31218,0.33055
2007,female,Full-Time Employment,0.18926,2546,10882,0.18190,0.19662
2007,female,Regular Part-Time Employment,0.14315,2056,10882,0.13657,0.14973
2007,female,Vocational Training,0.01716,198,10882,0.01472,0.01961
2007,female,"Marginal, Irregular Part-Time Employment",0.05798,745,10882,0.05359,0.06237
2007,female,Not Employed,0.44658,5337,10882,0.43724,0.45592
2008,male,Full-Time Employment,0.45398,5002,9325,0.44387,0.46409
2008,male,Regular Part-Time Employment,0.02112,218,9325,0.01820,0.02404
2008,male,Vocational Training,0.02417,254,9325,0.02105,0.02728
2008,male,"Marginal, Irregular Part-Time Employment",0.02996,312,9325,0.02650,0.03342
2008,male,Not Employed,0.31241,3539,9325,0.30301,0.32182
2008,female,Full-Time Employment,0.20125,2510,10221,0.19347,0.20902
2008,female,Regular Part-Time Employment,0.14408,1910,10221,0.13727,0.15089
2008,female,Vocational Training,0.01699,192,10221,0.01449,0.01950
2008,female,"Marginal, Irregular Part-Time Employment",0.06489,733,10221,0.06011,0.06967
2008,female,Not Employed,0.43091,4876,10221,0.42131,0.44051
2009,male,Full-Time Employment,0.44996,4607,8714,0.43951,0.46041
2009,male,Regular Part-Time Employment,0.02257,218,8714,0.01945,0.02569
2009,male,Vocational Training,0.02458,242,8714,0.02133,0.02784
2009,male,"Marginal, Irregular Part-Time Employment",0.02842,252,8714,0.02493,0.03191
2009,male,Not Employed,0.31995,3395,8714,0.31016,0.32975
2009,female,Full-Time Employment,0.20824,2370,9514,0.20008,0.21640
2009,female,Regular Part-Time Employment,0.14301,1771,9514,0.13597,0.15004
2009,female,Vocational Training,0.01784,183,9514,0.01518,0.02050
2009,female,"Marginal, Irregular Part-Time Employment",0.06817,720,9514,0.06310,0.07323
2009,female,Not Employed,0.42206,4470,9514,0.41213,0.43198
2010,male,Full-Time Employment,0.44418,6375,11074,0.43493,0.45344
2010,male,Regular Part-Time Employment,0.02502,353,11074,0.02211,0.02793
2010,male,Vocational Training,0.02475,277,11074,0.02186,0.02765
2010,male,"Marginal, Irregular Part-Time Employment",0.03002,378,11074,0.02684,0.03320
2010,male,Not Employed,0.32146,3691,11074,0.31276,0.33016
2010,female,Full-Time Employment,0.20685,2638,13229,0.19995,0.21375
2010,female,Regular Part-Time Employment,0.14670,2699,13229,0.14067,0.15273
2010,female,Vocational Training,0.01914,233,13229,0.01680,0.02147
2010,female,"Marginal, Irregular Part-Time Employment",0.06749,1155,13229,0.06322,0.07177
2010,female,Not Employed,0.41862,6504,13229,0.41022,0.42703
2011,male,Full-Time Employment,0.45251,7424,13109,0.44399,0.46103
2011,male,Regular Part-Time Employment,0.02533,387,13109,0.02264,0.02802
2011,male,Vocational Training,0.02267,317,13109,0.02013,0.02522
2011,male,"Marginal, Irregular Part-Time Employment",0.02664,386,13109,0.02389,0.02940
2011,male,Not Employed,0.31312,4595,13109,0.30519,0.32106
2011,female,Full-Time Employment,0.21597,3389,15754,0.20955,0.22240
2011,female,Regular Part-Time Employment,0.14471,3551,15754,0.13922,0.15021
2011,female,Vocational Training,0.01648,275,15754,0.01449,0.01847
2011,female,"Marginal, Irregular Part-Time Employment",0.06086,1292,15754,0.05712,0.06459
2011,female,Not Employed,0.41667,7247,15754,0.40897,0.42436
2012,male,Full-Time Employment,0.45184,7081,12798,0.44322,0.46046
2012,male,Regular Part-Time Employment,0.02561,420,12798,0.02287,0.02835
2012,male,Vocational Training,0.02200,339,12798,0.01946,0.02454
2012,male,"Marginal, Irregular Part-Time Employment",0.02919,453,12798,0.02627,0.03211
2012,male,Not Employed,0.31226,4505,12798,0.30423,0.32029
2012,female,Full-Time Employment,0.21540,3406,15340,0.20889,0.22190
2012,female,Regular Part-Time Employment,0.15062,3527,15340,0.14495,0.15628
2012,female,Vocational Training,0.01513,273,15340,0.01319,0.01706
2012,female,"Marginal, Irregular Part-Time Employment",0.06339,1298,15340,0.05953,0.06725
2012,female,Not Employed,0.41142,6836,15340,0.40363,0.41921
2013,male,Full-Time Employment,0.44555,7905,14240,0.43738,0.45371
2013,male,Regular Part-Time Employment,0.02702,506,14240,0.02436,0.02969
2013,male,Vocational Training,0.02541,496,14240,0.02282,0.02799
2013,male,"Marginal, Irregular Part-Time Employment",0.02985,535,14240,0.02705,0.03264
2013,male,Not Employed,0.31450,4798,14240,0.30687,0.32213
2013,female,Full-Time Employment,0.20834,3758,16914,0.20222,0.21446
2013,female,Regular Part-Time Employment,0.15742,3950,16914,0.15193,0.16291
2013,female,Vocational Training,0.01619,396,16914,0.01429,0.01810
2013,female,"Marginal, Irregular Part-Time Employment",0.06835,1579,16914,0.06455,0.07215
2013,female,Not Employed,0.40677,7231,16914,0.39936,0.41417
2014,male,Full-Time Employment,0.44283,6891,12701,0.43419,0.45147
2014,male,Regular Part-Time Employment,0.03139,459,12701,0.02836,0.03442
2014,male,Vocational Training,0.02608,411,12701,0.02330,0.02885
2014,male,"Marginal, Irregular Part-Time Employment",0.03463,558,12701,0.03145,0.03781
2014,male,Not Employed,0.31032,4382,12701,0.30228,0.31837
2014,female,Full-Time Employment,0.20725,3335,14917,0.20074,0.21375
2014,female,Regular Part-Time Employment,0.15910,3444,14917,0.15323,0.16497
2014,female,Vocational Training,0.01650,354,14917,0.01446,0.01854
2014,female,"Marginal, Irregular Part-Time Employment",0.07097,1427,14917,0.06685,0.07510
2014,female,Not Employed,0.40232,6357,14917,0.39445,0.41019
2015,male,Full-Time Employment,0.44240,6804,12567,0.43372,0.45109
2015,male,Regular Part-Time Employment,0.03143,493,12567,0.02838,0.03448
2015,male,Vocational Training,0.02593,419,12567,0.02315,0.02871
2015,male,"Marginal, Irregular Part-Time Employment",0.03566,523,12567,0.03241,0.03890
2015,male,Not Employed,0.30956,4328,12567,0.30147,0.31764
2015,female,Full-Time Employment,0.20992,3292,14741,0.20335,0.21650
2015,female,Regular Part-Time Employment,0.16845,3458,14741,0.16241,0.17449
2015,female,Vocational Training,0.01689,361,14741,0.01481,0.01897
2015,female,"Marginal, Irregular Part-Time Employment",0.06708,1312,14741,0.06304,0.07112
2015,female,Not Employed,0.39584,6318,14741,0.38794,0.40373
2016,male,Full-Time Employment,0.43869,6134,13195,0.43022,0.44716
2016,male,Regular Part-Time Employment,0.03640,548,13195,0.03321,0.03960
2016,male,Vocational Training,0.02530,458,13195,0.02262,0.02798
2016,male,"Marginal, Irregular Part-Time Employment",0.03407,512,13195,0.03097,0.03716
2016,male,Not Employed,0.30746,5543,13195,0.29959,0.31534
2016,female,Full-Time Employment,0.21904,3117,14717,0.21235,0.22572
2016,female,Regular Part-Time Employment,0.16992,3269,14717,0.16385,0.17599
2016,female,Vocational Training,0.01637,340,14717,0.01432,0.01842
2016,female,"Marginal, Irregular Part-Time Employment",0.06190,1155,14717,0.05801,0.06580
2016,female,Not Employed,0.39015,6836,14717,0.38227,0.39803
2017,male,Full-Time Employment,0.44398,7062,14865,0.43599,0.45197
2017,male,Regular Part-Time Employment,0.03489,636,14865,0.03194,0.03784
2017,male,Vocational Training,0.02355,530,14865,0.02112,0.02599
2017,male,"Marginal, Irregular Part-Time Employment",0.03550,589,14865,0.03253,0.03848
2017,male,Not Employed,0.30246,6048,14865,0.29508,0.30984
2017,female,Full-Time Employment,0.21655,3566,16353,0.21024,0.22286
2017,female,Regular Part-Time Employment,0.17293,3697,16353,0.16713,0.17872
2017,female,Vocational Training,0.01845,377,16353,0.01639,0.02052
2017,female,"Marginal, Irregular Part-Time Employment",0.06500,1222,16353,0.06122,0.06878
2017,female,Not Employed,0.38143,7491,16353,0.37399,0.38888
2018,male,Full-Time Employment,0.44933,6782,14213,0.44116,0.45751
2018,male,Regular Part-Time Employment,0.04179,765,14213,0.03850,0.04508
2018,male,Vocational Training,0.02222,532,14213,0.01979,0.02464
2018,male,"Marginal, Irregular Part-Time Employment",0.03641,623,14213,0.03333,0.03949
2018,male,Not Employed,0.29205,5511,14213,0.28457,0.29952
2018,female,Full-Time Employment,0.22032,3471,15600,0.21381,0.22682
2018,female,Regular Part-Time Employment,0.17803,3597,15600,0.17203,0.18403
2018,female,Vocational Training,0.01759,367,15600,0.01553,0.01966
2018,female,"Marginal, Irregular Part-Time Employment",0.06114,1140,15600,0.05738,0.06490
2018,female,Not Employed,0.37990,7025,15600,0.37228,0.38751
2019,male,Full-Time Employment,0.44767,7554,14464,0.43957,0.45577
2019,male,Regular Part-Time Employment,0.04546,823,14464,0.04207,0.04886
2019,male,Vocational Training,0.02304,507,14464,0.02060,0.02549
2019,male,"Marginal, Irregular Part-Time Employment",0.03207,590,14464,0.02920,0.03495
2019,male,Not Employed,0.28875,4990,14464,0.28137,0.29614
2019,female,Full-Time Employment,0.22228,3634,15051,0.21564,0.22893
2019,female,Regular Part-Time Employment,0.18669,3617,15051,0.18046,0.19291
2019,female,Vocational Training,0.01725,369,15051,0.01517,0.01933
2019,female,"Marginal, Irregular Part-Time Employment",0.05362,1049,15051,0.05002,0.05722
2019,female,Not Employed,0.37142,6382,15051,0.36370,0.37914
2020,male,Full-Time Employment,0.44725,7883,14835,0.43925,0.45526
2020,male,Regular Part-Time Employment,0.04302,839,14835,0.03976,0.04629
2020,male,Vocational Training,0.02257,574,14835,0.02018,0.02497
2020,male,"Marginal, Irregular Part-Time Employment",0.03249,542,14835,0.02963,0.03534
2020,male,Not Employed,0.29109,4997,14835,0.28378,0.29840
2020,female,Full-Time Employment,0.22010,3783,15012,0.21348,0.22673
2020,female,Regular Part-Time Employment,0.18925,3502,15012,0.18298,0.19552
2020,female,Vocational Training,0.01872,410,15012,0.01655,0.02088
2020,female,"Marginal, Irregular Part-Time Employment",0.05054,924,15012,0.04703,0.05404
2020,female,Not Employed,0.37182,6393,15012,0.36409,0.37955
2021,male,Full-Time Employment,0.44560,5062,9624,0.43567,0.45553
2021,male,Regular Part-Time Employment,0.04681,590,9624,0.04259,0.05103
2021,male,Vocational Training,0.01797,265,9624,0.01532,0.02062
2021,male,"Marginal, Irregular Part-Time Employment",0.03224,309,9624,0.02871,0.03576
2021,male,Not Employed,0.27896,3291,9624,0.27000,0.28792
2021,male,In short-time work (since 2021),0.00705,107,9624,0.00538,0.00872
2021,female,Full-Time Employment,0.22871,2642,10183,0.22056,0.23687
2021,female,Regular Part-Time Employment,0.18049,2397,10183,0.17302,0.18796
2021,female,Vocational Training,0.01458,203,10183,0.01225,0.01691
2021,female,"Marginal, Irregular Part-Time Employment",0.04994,574,10183,0.04571,0.05417
2021,female,Not Employed,0.36127,4288,10183,0.35194,0.37061
2021,female,In short-time work (since 2021),0.00452,79,10183,0.00321,0.00582
