year,sampreg,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,East,Regular Part-Time Employment,0.05265,358,5430,0.04671,0.05859
2001,East,Vocational Training,0.02959,225,5430,0.02508,0.03410
2001,East,"Marginal, Irregular Part-Time Employment",0.01793,108,5430,0.01440,0.02146
2001,East,Not Employed,0.42499,2468,5430,0.41184,0.43814
2002,West,Full-Time Employment,0.31947,7306,17573,0.31258,0.32637
2002,West,Regular Part-Time Employment,0.08021,1930,17573,0.07619,0.08423
2002,West,Vocational Training,0.02121,463,17573,0.01908,0.02334
2002,West,"Marginal, Irregular Part-Time Employment",0.03180,716,17573,0.02920,0.03439
2002,West,Not Employed,0.36990,7158,17573,0.36276,0.37704
2002,East,Full-Time Employment,0.31345,2246,5423,0.30110,0.32579
2002,East,Regular Part-Time Employment,0.05292,353,5423,0.04696,0.05888
2002,East,Vocational Training,0.03124,215,5423,0.02661,0.03588
2002,East,"Marginal, Irregular Part-Time Employment",0.01694,112,5423,0.01351,0.02038
2002,East,Not Employed,0.44844,2497,5423,0.43520,0.46167
2003,West,Full-Time Employment,0.31404,6763,16798,0.30702,0.32106
2003,West,Regular Part-Time Employment,0.08100,1878,16798,0.07687,0.08512
2003,West,Vocational Training,0.01918,429,16798,0.01711,0.02125
2003,West,"Marginal, Irregular Part-Time Employment",0.03347,719,16798,0.03075,0.03619
2003,West,Not Employed,0.37611,7009,16798,0.36879,0.38344
2003,East,Full-Time Employment,0.30088,2094,5336,0.28858,0.31319
2003,East,Regular Part-Time Employment,0.05851,391,5336,0.05221,0.06481
2003,East,Vocational Training,0.02469,179,5336,0.02052,0.02885
2003,East,"Marginal, Irregular Part-Time Employment",0.02218,136,5336,0.01823,0.02614
2003,East,Not Employed,0.46022,2536,5336,0.44685,0.47359
2004,West,Full-Time Employment,0.31240,6490,16369,0.30530,0.31950
2004,West,Regular Part-Time Employment,0.07836,1789,16369,0.07425,0.08248
2004,West,Vocational Training,0.01955,411,16369,0.01743,0.02167
2004,West,"Marginal, Irregular Part-Time Employment",0.03560,764,16369,0.03276,0.03844
2004,West,Not Employed,0.38190,6915,16369,0.37445,0.38934
2004,East,Full-Time Employment,0.29149,2028,5215,0.27916,0.30383
2004,East,Regular Part-Time Employment,0.06407,397,5215,0.05742,0.07071
2004,East,Vocational Training,0.02753,169,5215,0.02309,0.03197
2004,East,"Marginal, Irregular Part-Time Employment",0.02818,154,5215,0.02368,0.03267
2004,East,Not Employed,0.46078,2467,5215,0.44725,0.47431
2005,West,Full-Time Employment,0.31263,6083,15636,0.30536,0.31989
2005,West,Regular Part-Time Employment,0.08208,1700,15636,0.07778,0.08638
2005,West,Vocational Training,0.01973,362,15636,0.01755,0.02191
2005,West,"Marginal, Irregular Part-Time Employment",0.04134,809,15636,0.03822,0.04446
2005,West,Not Employed,0.37721,6682,15636,0.36961,0.38480
2005,East,Full-Time Employment,0.29529,1901,5031,0.28268,0.30790
2005,East,Regular Part-Time Employment,0.06270,392,5031,0.05600,0.06940
2005,East,Vocational Training,0.02652,152,5031,0.02208,0.03096
2005,East,"Marginal, Irregular Part-Time Employment",0.02216,143,5031,0.01809,0.02623
2005,East,Not Employed,0.46594,2443,5031,0.45216,0.47973
2006,West,Full-Time Employment,0.31073,6367,16876,0.30375,0.31772
2006,West,Regular Part-Time Employment,0.08196,1887,16876,0.07782,0.08610
2006,West,Vocational Training,0.01903,353,16876,0.01697,0.02109
2006,West,"Marginal, Irregular Part-Time Employment",0.04344,933,16876,0.04036,0.04651
2006,West,Not Employed,0.37809,7336,16876,0.37078,0.38541
2006,East,Full-Time Employment,0.29614,1949,5359,0.28392,0.30837
2006,East,Regular Part-Time Employment,0.06008,422,5359,0.05372,0.06644
2006,East,Vocational Training,0.02511,165,5359,0.02092,0.02930
2006,East,"Marginal, Irregular Part-Time Employment",0.03564,209,5359,0.03068,0.04060
2006,East,Not Employed,0.46254,2614,5359,0.44919,0.47589
2007,West,Full-Time Employment,0.31523,5974,15738,0.30797,0.32249
2007,West,Regular Part-Time Employment,0.08742,1856,15738,0.08301,0.09183
2007,West,Vocational Training,0.01813,313,15738,0.01604,0.02021
2007,West,"Marginal, Irregular Part-Time Employment",0.04533,876,15738,0.04208,0.04858
2007,West,Not Employed,0.37114,6719,15738,0.36360,0.37869
2007,East,Full-Time Employment,0.31136,1899,5083,0.29863,0.32409
2007,East,Regular Part-Time Employment,0.07001,434,5083,0.06300,0.07703
2007,East,Vocational Training,0.02628,155,5083,0.02189,0.03068
2007,East,"Marginal, Irregular Part-Time Employment",0.03163,177,5083,0.02682,0.03644
2007,East,Not Employed,0.44821,2418,5083,0.43454,0.46189
2008,West,Full-Time Employment,0.32409,5633,14744,0.31654,0.33165
2008,West,Regular Part-Time Employment,0.08802,1747,14744,0.08344,0.09259
2008,West,Vocational Training,0.01998,311,14744,0.01772,0.02224
2008,West,"Marginal, Irregular Part-Time Employment",0.05038,873,14744,0.04685,0.05391
2008,West,Not Employed,0.36056,6180,14744,0.35281,0.36831
2008,East,Full-Time Employment,0.33116,1879,4802,0.31785,0.34448
2008,East,Regular Part-Time Employment,0.06384,381,4802,0.05693,0.07076
2008,East,Vocational Training,0.02300,135,4802,0.01876,0.02724
2008,East,"Marginal, Irregular Part-Time Employment",0.03559,172,4802,0.03035,0.04083
2008,East,Not Employed,0.42868,2235,4802,0.41468,0.44267
2009,West,Full-Time Employment,0.32696,5210,13666,0.31910,0.33483
2009,West,Regular Part-Time Employment,0.08678,1590,13666,0.08206,0.09150
2009,West,Vocational Training,0.02080,308,13666,0.01840,0.02319
2009,West,"Marginal, Irregular Part-Time Employment",0.05141,818,13666,0.04771,0.05511
2009,West,Not Employed,0.36187,5740,13666,0.35381,0.36992
2009,East,Full-Time Employment,0.32737,1767,4562,0.31375,0.34099
2009,East,Regular Part-Time Employment,0.07053,399,4562,0.06310,0.07796
2009,East,Vocational Training,0.02276,117,4562,0.01843,0.02709
2009,East,"Marginal, Irregular Part-Time Employment",0.03617,154,4562,0.03075,0.04158
2009,East,Not Employed,0.41677,2125,4562,0.40246,0.43108
2010,West,Full-Time Employment,0.32028,6874,18794,0.31361,0.32695
2010,West,Regular Part-Time Employment,0.08878,2490,18794,0.08471,0.09285
2010,West,Vocational Training,0.02180,386,18794,0.01972,0.02389
2010,West,"Marginal, Irregular Part-Time Employment",0.05235,1294,18794,0.04917,0.05553
2010,West,Not Employed,0.36293,7750,18794,0.35606,0.36981
2010,East,Full-Time Employment,0.33852,2139,5509,0.32602,0.35101
2010,East,Regular Part-Time Employment,0.07811,562,5509,0.07102,0.08520
2010,East,Vocational Training,0.02234,124,5509,0.01844,0.02624
2010,East,"Marginal, Irregular Part-Time Employment",0.03381,239,5509,0.02903,0.03858
2010,East,Not Employed,0.40789,2445,5509,0.39491,0.42086
2011,West,Full-Time Employment,0.32800,8303,22491,0.32187,0.33414
2011,West,Regular Part-Time Employment,0.08937,3251,22491,0.08564,0.09310
2011,West,Vocational Training,0.01937,465,22491,0.01757,0.02117
2011,West,"Marginal, Irregular Part-Time Employment",0.04612,1419,22491,0.04338,0.04886
2011,West,Not Employed,0.35991,9053,22491,0.35364,0.36619
2011,East,Full-Time Employment,0.34913,2510,6372,0.33742,0.36084
2011,East,Regular Part-Time Employment,0.07187,687,6372,0.06553,0.07822
2011,East,Vocational Training,0.02019,127,6372,0.01673,0.02364
2011,East,"Marginal, Irregular Part-Time Employment",0.03474,259,6372,0.03024,0.03923
2011,East,Not Employed,0.39426,2789,6372,0.38226,0.40626
2012,West,Full-Time Employment,0.32941,8064,21903,0.32318,0.33563
2012,West,Regular Part-Time Employment,0.09220,3243,21903,0.08836,0.09603
2012,West,Vocational Training,0.01863,481,21903,0.01684,0.02042
2012,West,"Marginal, Irregular Part-Time Employment",0.04910,1492,21903,0.04624,0.05197
2012,West,Not Employed,0.35512,8623,21903,0.34878,0.36146
2012,East,Full-Time Employment,0.34018,2423,6235,0.32842,0.35195
2012,East,Regular Part-Time Employment,0.07580,704,6235,0.06923,0.08237
2012,East,Vocational Training,0.01783,131,6235,0.01455,0.02112
2012,East,"Marginal, Irregular Part-Time Employment",0.03484,259,6235,0.03029,0.03939
2012,East,Not Employed,0.39945,2718,6235,0.38729,0.41161
2013,West,Full-Time Employment,0.32085,9289,24960,0.31506,0.32664
2013,West,Regular Part-Time Employment,0.09435,3683,24960,0.09072,0.09797
2013,West,Vocational Training,0.02138,742,24960,0.01959,0.02318
2013,West,"Marginal, Irregular Part-Time Employment",0.05237,1838,24960,0.04961,0.05514
2013,West,Not Employed,0.35618,9408,24960,0.35023,0.36212
2013,East,Full-Time Employment,0.34322,2374,6194,0.33139,0.35504
2013,East,Regular Part-Time Employment,0.08904,773,6194,0.08194,0.09613
2013,East,Vocational Training,0.01758,150,6194,0.01431,0.02085
2013,East,"Marginal, Irregular Part-Time Employment",0.03568,276,6194,0.03106,0.04030
2013,East,Not Employed,0.38648,2621,6194,0.37435,0.39861
2014,West,Full-Time Employment,0.32042,8081,21961,0.31425,0.32659
2014,West,Regular Part-Time Employment,0.09834,3230,21961,0.09440,0.10228
2014,West,Vocational Training,0.02137,640,21961,0.01946,0.02329
2014,West,"Marginal, Irregular Part-Time Employment",0.05754,1734,21961,0.05446,0.06062
2014,West,Not Employed,0.35064,8276,21961,0.34433,0.35695
2014,East,Full-Time Employment,0.33522,2145,5657,0.32292,0.34753
2014,East,Regular Part-Time Employment,0.08688,673,5657,0.07954,0.09422
2014,East,Vocational Training,0.02041,125,5657,0.01673,0.02410
2014,East,"Marginal, Irregular Part-Time Employment",0.03223,251,5657,0.02762,0.03683
2014,East,Not Employed,0.38753,2463,5657,0.37484,0.40023
2015,West,Full-Time Employment,0.32166,8043,21825,0.31546,0.32786
2015,West,Regular Part-Time Employment,0.10258,3286,21825,0.09855,0.10661
2015,West,Vocational Training,0.02183,648,21825,0.01989,0.02377
2015,West,"Marginal, Irregular Part-Time Employment",0.05482,1590,21825,0.05180,0.05784
2015,West,Not Employed,0.34860,8258,21825,0.34228,0.35492
2015,East,Full-Time Employment,0.33705,2053,5483,0.32453,0.34956
2015,East,Regular Part-Time Employment,0.09354,665,5483,0.08583,0.10125
2015,East,Vocational Training,0.01903,132,5483,0.01541,0.02265
2015,East,"Marginal, Irregular Part-Time Employment",0.03644,245,5483,0.03148,0.04140
2015,East,Not Employed,0.37585,2388,5483,0.36303,0.38867
2016,West,Full-Time Employment,0.32666,7310,22255,0.32050,0.33283
2016,West,Regular Part-Time Employment,0.10444,3150,22255,0.10043,0.10846
2016,West,Vocational Training,0.02111,664,22255,0.01922,0.02300
2016,West,"Marginal, Irregular Part-Time Employment",0.05095,1436,22255,0.04807,0.05384
2016,West,Not Employed,0.34472,9695,22255,0.33847,0.35096
2016,East,Full-Time Employment,0.33228,1941,5657,0.32000,0.34455
2016,East,Regular Part-Time Employment,0.10101,667,5657,0.09315,0.10886
2016,East,Vocational Training,0.01925,134,5657,0.01567,0.02283
2016,East,"Marginal, Irregular Part-Time Employment",0.03470,231,5657,0.02993,0.03947
2016,East,Not Employed,0.37029,2684,5657,0.35771,0.38288
2017,West,Full-Time Employment,0.32592,8341,24952,0.32010,0.33173
2017,West,Regular Part-Time Employment,0.10571,3613,24952,0.10190,0.10953
2017,West,Vocational Training,0.02257,765,24952,0.02073,0.02442
2017,West,"Marginal, Irregular Part-Time Employment",0.05391,1558,24952,0.05110,0.05671
2017,West,Not Employed,0.33865,10675,24952,0.33277,0.34452
2017,East,Full-Time Employment,0.34556,2287,6266,0.33379,0.35734
2017,East,Regular Part-Time Employment,0.09861,720,6266,0.09123,0.10599
2017,East,Vocational Training,0.01329,142,6266,0.01045,0.01612
2017,East,"Marginal, Irregular Part-Time Employment",0.03330,253,6266,0.02885,0.03774
2017,East,Not Employed,0.35982,2864,6266,0.34793,0.37170
2018,West,Full-Time Employment,0.33141,8034,23698,0.32541,0.33740
2018,West,Regular Part-Time Employment,0.11297,3611,23698,0.10894,0.11700
2018,West,Vocational Training,0.02128,747,23698,0.01945,0.02312
2018,West,"Marginal, Irregular Part-Time Employment",0.05104,1498,23698,0.04823,0.05384
2018,West,Not Employed,0.33203,9808,23698,0.32603,0.33802
2018,East,Full-Time Employment,0.34460,2219,6115,0.33269,0.35651
2018,East,Regular Part-Time Employment,0.09895,751,6115,0.09147,0.10644
2018,East,Vocational Training,0.01312,152,6115,0.01027,0.01597
2018,East,"Marginal, Irregular Part-Time Employment",0.03856,265,6115,0.03373,0.04339
2018,East,Not Employed,0.35724,2728,6115,0.34523,0.36925
2019,West,Full-Time Employment,0.33148,8700,23372,0.32544,0.33751
2019,West,Regular Part-Time Employment,0.11993,3696,23372,0.11576,0.12409
2019,West,Vocational Training,0.02052,726,23372,0.01870,0.02234
2019,West,"Marginal, Irregular Part-Time Employment",0.04529,1391,23372,0.04263,0.04796
2019,West,Not Employed,0.32505,8859,23372,0.31905,0.33106
2019,East,Full-Time Employment,0.34365,2457,6074,0.33170,0.35559
2019,East,Regular Part-Time Employment,0.10155,731,6074,0.09396,0.10915
2019,East,Vocational Training,0.01787,148,6074,0.01454,0.02120
2019,East,"Marginal, Irregular Part-Time Employment",0.03173,245,6074,0.02732,0.03614
2019,East,Not Employed,0.35756,2493,6074,0.34550,0.36961
2020,West,Full-Time Employment,0.33005,9325,23944,0.32409,0.33600
2020,West,Regular Part-Time Employment,0.11870,3592,23944,0.11461,0.12280
2020,West,Vocational Training,0.02108,846,23944,0.01926,0.02290
2020,West,"Marginal, Irregular Part-Time Employment",0.04307,1242,23944,0.04049,0.04564
2020,West,Not Employed,0.32802,8939,23944,0.32207,0.33396
2020,East,Full-Time Employment,0.34316,2343,5911,0.33106,0.35527
2020,East,Regular Part-Time Employment,0.10798,750,5911,0.10007,0.11589
2020,East,Vocational Training,0.01836,138,5911,0.01494,0.02178
2020,East,"Marginal, Irregular Part-Time Employment",0.03451,225,5911,0.02985,0.03916
2020,East,Not Employed,0.35031,2455,5911,0.33814,0.36247
2021,West,Full-Time Employment,0.33381,6120,15857,0.32647,0.34115
2021,West,Regular Part-Time Employment,0.11656,2473,15857,0.11156,0.12155
2021,West,Vocational Training,0.01542,392,15857,0.01350,0.01734
2021,West,"Marginal, Irregular Part-Time Employment",0.04373,735,15857,0.04055,0.04691
2021,West,Not Employed,0.31763,5981,15857,0.31038,0.32487
2021,West,In short-time work (since 2021),0.00570,156,15857,0.00453,0.00687
2021,East,Full-Time Employment,0.34711,1584,3927,0.33222,0.36201
2021,East,Regular Part-Time Employment,0.10298,516,3927,0.09347,0.11249
2021,East,Vocational Training,0.02035,76,3927,0.01593,0.02477
2021,East,"Marginal, Irregular Part-Time Employment",0.02903,149,3927,0.02378,0.03428
2021,East,Not Employed,0.33488,1602,3927,0.32012,0.34964
