"plh0108","year","bula_h","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"1 Sehr wichtig","1990","Brandenburg","Staedtischer Raum","","","",""
"1 Sehr wichtig","1990","Brandenburg","Laendlicher Raum","","","",""
"1 Sehr wichtig","1990","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"1 Sehr wichtig","1990","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"1 Sehr wichtig","1990","Sachsen","Staedtischer Raum","","","",""
"1 Sehr wichtig","1990","Sachsen","Laendlicher Raum","","","",""
"1 Sehr wichtig","1990","Sachsen-Anhalt","Staedtischer Raum","","","",""
"1 Sehr wichtig","1990","Sachsen-Anhalt","Laendlicher Raum","","","",""
"1 Sehr wichtig","1990","Thueringen","Staedtischer Raum","","","",""
"1 Sehr wichtig","1990","Thueringen","Laendlicher Raum","","","",""
"2 Wichtig","1990","Schleswig-Holstein","Staedtischer Raum","32","0.305148540200076","0.220989493716799","0.389307586683354"
"2 Wichtig","1990","Schleswig-Holstein","Laendlicher Raum","42","0.315612948569051","0.237788490385198","0.393437406752904"
"2 Wichtig","1990","Hamburg","Staedtischer Raum","27","","",""
"2 Wichtig","1990","Hamburg","Laendlicher Raum","","","",""
"2 Wichtig","1990","Niedersachsen","Staedtischer Raum","123","0.300721086056535","0.255033336612098","0.346408835500972"
"2 Wichtig","1990","Niedersachsen","Laendlicher Raum","148","0.308558794582275","0.265929670093111","0.35118791907144"
"2 Wichtig","1990","Bremen","Staedtischer Raum","16","","",""
"2 Wichtig","1990","Bremen","Laendlicher Raum","","","",""
"2 Wichtig","1990","Nordrhein-Westfalen","Staedtischer Raum","580","0.298159525015014","0.277263448692617","0.319055601337411"
"2 Wichtig","1990","Nordrhein-Westfalen","Laendlicher Raum","33","0.432226614521139","0.315339452629568","0.54911377641271"
"2 Wichtig","1990","Hessen","Staedtischer Raum","186","0.336199369689206","0.296861531795389","0.375537207583023"
"2 Wichtig","1990","Hessen","Laendlicher Raum","38","0.338855930485371","0.251586032553968","0.426125828416774"
"2 Wichtig","1990","Rheinland-Pfalz,Saarland","Staedtischer Raum","195","0.42409062315712","0.378378506599097","0.469802739715142"
"2 Wichtig","1990","Rheinland-Pfalz,Saarland","Laendlicher Raum","47","0.383726664359441","0.292850617584785","0.474602711134097"
"2 Wichtig","1990","Baden-Wuerttemberg","Staedtischer Raum","327","0.315247058696254","0.286276151592572","0.344217965799936"
"2 Wichtig","1990","Baden-Wuerttemberg","Laendlicher Raum","55","0.326646314408594","0.253977411833292","0.399315216983896"
"2 Wichtig","1990","Bayern","Staedtischer Raum","200","0.305399924931351","0.269146075875979","0.341653773986723"
"2 Wichtig","1990","Bayern","Laendlicher Raum","218","0.322086735038541","0.286164371952156","0.358009098124927"
"2 Wichtig","1990","Saarland","Staedtischer Raum","","","",""
"2 Wichtig","1990","Saarland","Laendlicher Raum","","","",""
"2 Wichtig","1990","Berlin","Staedtischer Raum","27","","",""
"2 Wichtig","1990","Berlin","Laendlicher Raum","","","",""
"2 Wichtig","1990","Brandenburg","Staedtischer Raum","","","",""
"2 Wichtig","1990","Brandenburg","Laendlicher Raum","","","",""
"2 Wichtig","1990","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"2 Wichtig","1990","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"2 Wichtig","1990","Sachsen","Staedtischer Raum","","","",""
"2 Wichtig","1990","Sachsen","Laendlicher Raum","","","",""
"2 Wichtig","1990","Sachsen-Anhalt","Staedtischer Raum","","","",""
"2 Wichtig","1990","Sachsen-Anhalt","Laendlicher Raum","","","",""
"2 Wichtig","1990","Thueringen","Staedtischer Raum","","","",""
"2 Wichtig","1990","Thueringen","Laendlicher Raum","","","",""
"3 Weniger wichtig","1990","Schleswig-Holstein","Staedtischer Raum","40","0.357726376447376","0.270120206045354","0.445332546849398"
"3 Weniger wichtig","1990","Schleswig-Holstein","Laendlicher Raum","48","0.337401527578951","0.258226805995968","0.416576249161933"
"3 Weniger wichtig","1990","Hamburg","Staedtischer Raum","58","0.459573310005825","0.372898674372099","0.54624794563955"
"3 Weniger wichtig","1990","Hamburg","Laendlicher Raum","","","",""
"3 Weniger wichtig","1990","Niedersachsen","Staedtischer Raum","120","0.315869528052823","0.269555138768888","0.362183917336759"
"3 Weniger wichtig","1990","Niedersachsen","Laendlicher Raum","121","0.245748626018119","0.206014522010033","0.285482730026205"
"3 Weniger wichtig","1990","Bremen","Staedtischer Raum","17","","",""
"3 Weniger wichtig","1990","Bremen","Laendlicher Raum","","","",""
"3 Weniger wichtig","1990","Nordrhein-Westfalen","Staedtischer Raum","649","0.354345050953331","0.33249589700773","0.376194204898933"
"3 Weniger wichtig","1990","Nordrhein-Westfalen","Laendlicher Raum","17","","",""
"3 Weniger wichtig","1990","Hessen","Staedtischer Raum","175","0.302589438663539","0.264336539870043","0.340842337457035"
"3 Weniger wichtig","1990","Hessen","Laendlicher Raum","38","0.308952961254261","0.223758991473717","0.394146931034804"
"3 Weniger wichtig","1990","Rheinland-Pfalz,Saarland","Staedtischer Raum","80","0.187446404168216","0.151347876774506","0.223544931561926"
"3 Weniger wichtig","1990","Rheinland-Pfalz,Saarland","Laendlicher Raum","26","","",""
"3 Weniger wichtig","1990","Baden-Wuerttemberg","Staedtischer Raum","280","0.290699740816701","0.262385364470436","0.319014117162966"
"3 Weniger wichtig","1990","Baden-Wuerttemberg","Laendlicher Raum","43","0.286841386966096","0.216760099379064","0.356922674553128"
"3 Weniger wichtig","1990","Bayern","Staedtischer Raum","185","0.297825294771982","0.261829180095045","0.333821409448918"
"3 Weniger wichtig","1990","Bayern","Laendlicher Raum","186","0.281367233058146","0.246798641891991","0.315935824224301"
"3 Weniger wichtig","1990","Saarland","Staedtischer Raum","","","",""
"3 Weniger wichtig","1990","Saarland","Laendlicher Raum","","","",""
"3 Weniger wichtig","1990","Berlin","Staedtischer Raum","113","0.496037897862261","0.431280898241282","0.56079489748324"
"3 Weniger wichtig","1990","Berlin","Laendlicher Raum","","","",""
"3 Weniger wichtig","1990","Brandenburg","Staedtischer Raum","","","",""
"3 Weniger wichtig","1990","Brandenburg","Laendlicher Raum","","","",""
"3 Weniger wichtig","1990","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"3 Weniger wichtig","1990","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"3 Weniger wichtig","1990","Sachsen","Staedtischer Raum","","","",""
"3 Weniger wichtig","1990","Sachsen","Laendlicher Raum","","","",""
"3 Weniger wichtig","1990","Sachsen-Anhalt","Staedtischer Raum","","","",""
"3 Weniger wichtig","1990","Sachsen-Anhalt","Laendlicher Raum","","","",""
"3 Weniger wichtig","1990","Thueringen","Staedtischer Raum","","","",""
"3 Weniger wichtig","1990","Thueringen","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1990","Schleswig-Holstein","Staedtischer Raum","20","","",""
"4 Ganz unwichtig","1990","Schleswig-Holstein","Laendlicher Raum","17","","",""
"4 Ganz unwichtig","1990","Hamburg","Staedtischer Raum","34","0.295799084597226","0.216422403534544","0.375175765659909"
"4 Ganz unwichtig","1990","Hamburg","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1990","Niedersachsen","Staedtischer Raum","76","0.222771935111539","0.181315010264683","0.264228859958395"
"4 Ganz unwichtig","1990","Niedersachsen","Laendlicher Raum","50","0.144678150597263","0.112212352943538","0.177143948250989"
"4 Ganz unwichtig","1990","Bremen","Staedtischer Raum","32","0.450448406388247","0.345900527064021","0.554996285712472"
"4 Ganz unwichtig","1990","Bremen","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1990","Nordrhein-Westfalen","Staedtischer Raum","285","0.182385733214556","0.164746046853339","0.200025419575773"
"4 Ganz unwichtig","1990","Nordrhein-Westfalen","Laendlicher Raum","4","","",""
"4 Ganz unwichtig","1990","Hessen","Staedtischer Raum","74","0.156230864905457","0.125997363639144","0.186464366171771"
"4 Ganz unwichtig","1990","Hessen","Laendlicher Raum","16","","",""
"4 Ganz unwichtig","1990","Rheinland-Pfalz,Saarland","Staedtischer Raum","60","0.161644185034183","0.127594025266739","0.195694344801628"
"4 Ganz unwichtig","1990","Rheinland-Pfalz,Saarland","Laendlicher Raum","9","","",""
"4 Ganz unwichtig","1990","Baden-Wuerttemberg","Staedtischer Raum","97","0.118319810250438","0.098180068729072","0.138459551771804"
"4 Ganz unwichtig","1990","Baden-Wuerttemberg","Laendlicher Raum","16","","",""
"4 Ganz unwichtig","1990","Bayern","Staedtischer Raum","88","0.175856124600583","0.145889866682178","0.205822382518988"
"4 Ganz unwichtig","1990","Bayern","Laendlicher Raum","81","0.157591542400867","0.129581147934475","0.185601936867258"
"4 Ganz unwichtig","1990","Saarland","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1990","Saarland","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1990","Berlin","Staedtischer Raum","78","0.367866528351693","0.305409706633402","0.430323350069984"
"4 Ganz unwichtig","1990","Berlin","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1990","Brandenburg","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1990","Brandenburg","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1990","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1990","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1990","Sachsen","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1990","Sachsen","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1990","Sachsen-Anhalt","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1990","Sachsen-Anhalt","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1990","Thueringen","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1990","Thueringen","Laendlicher Raum","","","",""
"1 Sehr wichtig","1991","Schleswig-Holstein","Staedtischer Raum","","","",""
"1 Sehr wichtig","1991","Schleswig-Holstein","Laendlicher Raum","","","",""
"1 Sehr wichtig","1991","Hamburg","Staedtischer Raum","","","",""
"1 Sehr wichtig","1991","Hamburg","Laendlicher Raum","","","",""
"1 Sehr wichtig","1991","Niedersachsen","Staedtischer Raum","","","",""
"1 Sehr wichtig","1991","Niedersachsen","Laendlicher Raum","","","",""
"1 Sehr wichtig","1991","Bremen","Staedtischer Raum","","","",""
"1 Sehr wichtig","1991","Bremen","Laendlicher Raum","","","",""
"1 Sehr wichtig","1991","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"1 Sehr wichtig","1991","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"1 Sehr wichtig","1991","Hessen","Staedtischer Raum","","","",""
"1 Sehr wichtig","1991","Hessen","Laendlicher Raum","","","",""
"1 Sehr wichtig","1991","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"1 Sehr wichtig","1991","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"1 Sehr wichtig","1991","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"1 Sehr wichtig","1991","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"1 Sehr wichtig","1991","Bayern","Staedtischer Raum","","","",""
"1 Sehr wichtig","1991","Bayern","Laendlicher Raum","","","",""
"1 Sehr wichtig","1991","Saarland","Staedtischer Raum","","","",""
"1 Sehr wichtig","1991","Saarland","Laendlicher Raum","","","",""
"1 Sehr wichtig","1991","Berlin","Staedtischer Raum","","","",""
"1 Sehr wichtig","1991","Berlin","Laendlicher Raum","","","",""
"1 Sehr wichtig","1991","Brandenburg","Staedtischer Raum","","","",""
"1 Sehr wichtig","1991","Brandenburg","Laendlicher Raum","","","",""
"1 Sehr wichtig","1991","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"1 Sehr wichtig","1991","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"1 Sehr wichtig","1991","Sachsen","Staedtischer Raum","","","",""
"1 Sehr wichtig","1991","Sachsen","Laendlicher Raum","","","",""
"1 Sehr wichtig","1991","Sachsen-Anhalt","Staedtischer Raum","","","",""
"1 Sehr wichtig","1991","Sachsen-Anhalt","Laendlicher Raum","","","",""
"1 Sehr wichtig","1991","Thueringen","Staedtischer Raum","","","",""
"1 Sehr wichtig","1991","Thueringen","Laendlicher Raum","","","",""
"2 Wichtig","1991","Schleswig-Holstein","Staedtischer Raum","","","",""
"2 Wichtig","1991","Schleswig-Holstein","Laendlicher Raum","","","",""
"2 Wichtig","1991","Hamburg","Staedtischer Raum","","","",""
"2 Wichtig","1991","Hamburg","Laendlicher Raum","","","",""
"2 Wichtig","1991","Niedersachsen","Staedtischer Raum","","","",""
"2 Wichtig","1991","Niedersachsen","Laendlicher Raum","","","",""
"2 Wichtig","1991","Bremen","Staedtischer Raum","","","",""
"2 Wichtig","1991","Bremen","Laendlicher Raum","","","",""
"2 Wichtig","1991","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"2 Wichtig","1991","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"2 Wichtig","1991","Hessen","Staedtischer Raum","","","",""
"2 Wichtig","1991","Hessen","Laendlicher Raum","","","",""
"2 Wichtig","1991","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"2 Wichtig","1991","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"2 Wichtig","1991","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"2 Wichtig","1991","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"2 Wichtig","1991","Bayern","Staedtischer Raum","","","",""
"2 Wichtig","1991","Bayern","Laendlicher Raum","","","",""
"2 Wichtig","1991","Saarland","Staedtischer Raum","","","",""
"2 Wichtig","1991","Saarland","Laendlicher Raum","","","",""
"2 Wichtig","1991","Berlin","Staedtischer Raum","","","",""
"2 Wichtig","1991","Berlin","Laendlicher Raum","","","",""
"2 Wichtig","1991","Brandenburg","Staedtischer Raum","","","",""
"2 Wichtig","1991","Brandenburg","Laendlicher Raum","","","",""
"2 Wichtig","1991","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"2 Wichtig","1991","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"2 Wichtig","1991","Sachsen","Staedtischer Raum","","","",""
"2 Wichtig","1991","Sachsen","Laendlicher Raum","","","",""
"2 Wichtig","1991","Sachsen-Anhalt","Staedtischer Raum","","","",""
"2 Wichtig","1991","Sachsen-Anhalt","Laendlicher Raum","","","",""
"2 Wichtig","1991","Thueringen","Staedtischer Raum","","","",""
"2 Wichtig","1991","Thueringen","Laendlicher Raum","","","",""
"3 Weniger wichtig","1991","Schleswig-Holstein","Staedtischer Raum","","","",""
"3 Weniger wichtig","1991","Schleswig-Holstein","Laendlicher Raum","","","",""
"3 Weniger wichtig","1991","Hamburg","Staedtischer Raum","","","",""
"3 Weniger wichtig","1991","Hamburg","Laendlicher Raum","","","",""
"3 Weniger wichtig","1991","Niedersachsen","Staedtischer Raum","","","",""
"3 Weniger wichtig","1991","Niedersachsen","Laendlicher Raum","","","",""
"3 Weniger wichtig","1991","Bremen","Staedtischer Raum","","","",""
"3 Weniger wichtig","1991","Bremen","Laendlicher Raum","","","",""
"3 Weniger wichtig","1991","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"3 Weniger wichtig","1991","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"3 Weniger wichtig","1991","Hessen","Staedtischer Raum","","","",""
"3 Weniger wichtig","1991","Hessen","Laendlicher Raum","","","",""
"3 Weniger wichtig","1991","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"3 Weniger wichtig","1991","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"3 Weniger wichtig","1991","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"3 Weniger wichtig","1991","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"3 Weniger wichtig","1991","Bayern","Staedtischer Raum","","","",""
"3 Weniger wichtig","1991","Bayern","Laendlicher Raum","","","",""
"3 Weniger wichtig","1991","Saarland","Staedtischer Raum","","","",""
"3 Weniger wichtig","1991","Saarland","Laendlicher Raum","","","",""
"3 Weniger wichtig","1991","Berlin","Staedtischer Raum","","","",""
"3 Weniger wichtig","1991","Berlin","Laendlicher Raum","","","",""
"3 Weniger wichtig","1991","Brandenburg","Staedtischer Raum","","","",""
"3 Weniger wichtig","1991","Brandenburg","Laendlicher Raum","","","",""
"3 Weniger wichtig","1991","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"3 Weniger wichtig","1991","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"3 Weniger wichtig","1991","Sachsen","Staedtischer Raum","","","",""
"3 Weniger wichtig","1991","Sachsen","Laendlicher Raum","","","",""
"3 Weniger wichtig","1991","Sachsen-Anhalt","Staedtischer Raum","","","",""
"3 Weniger wichtig","1991","Sachsen-Anhalt","Laendlicher Raum","","","",""
"3 Weniger wichtig","1991","Thueringen","Staedtischer Raum","","","",""
"3 Weniger wichtig","1991","Thueringen","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1991","Schleswig-Holstein","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1991","Schleswig-Holstein","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1991","Hamburg","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1991","Hamburg","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1991","Niedersachsen","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1991","Niedersachsen","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1991","Bremen","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1991","Bremen","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1991","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1991","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1991","Hessen","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1991","Hessen","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1991","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1991","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1991","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1991","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1991","Bayern","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1991","Bayern","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1991","Saarland","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1991","Saarland","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1991","Berlin","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1991","Berlin","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1991","Brandenburg","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1991","Brandenburg","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1991","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1991","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1991","Sachsen","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1991","Sachsen","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1991","Sachsen-Anhalt","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1991","Sachsen-Anhalt","Laendlicher Raum","","","",""
"4 Ganz unwichtig","1991","Thueringen","Staedtischer Raum","","","",""
"4 Ganz unwichtig","1991","Thueringen","Laendlicher Raum","","","",""
"1 Sehr wichtig","1992","Schleswig-Holstein","Staedtischer Raum","21","","",""
"1 Sehr wichtig","1992","Schleswig-Holstein","Laendlicher Raum","33","0.252884129159285","0.176378742117619","0.329389516200951"
"1 Sehr wichtig","1992","Hamburg","Staedtischer Raum","10","","",""
"1 Sehr wichtig","1992","Hamburg","Laendlicher Raum","","","",""
"1 Sehr wichtig","1992","Niedersachsen","Staedtischer Raum","79","0.196789457575821","0.156550374907417","0.237028540244225"
"1 Sehr wichtig","1992","Niedersachsen","Laendlicher Raum","126","0.272884515896415","0.231955289510297","0.313813742282534"
"1 Sehr wichtig","1992","Bremen","Staedtischer Raum","16","","",""
"1 Sehr wichtig","1992","Bremen","Laendlicher Raum","","","",""
"1 Sehr wichtig","1992","Nordrhein-Westfalen","Staedtischer Raum","336","0.182889582141748","0.165070565411458","0.200708598872038"
"1 Sehr wichtig","1992","Nordrhein-Westfalen","Laendlicher Raum","7","","",""
"1 Sehr wichtig","1992","Hessen","Staedtischer Raum","115","0.207025957413869","0.172724894136525","0.241327020691213"
"1 Sehr wichtig","1992","Hessen","Laendlicher Raum","22","","",""
"1 Sehr wichtig","1992","Rheinland-Pfalz,Saarland","Staedtischer Raum","136","0.280536432822629","0.238220571873219","0.322852293772039"
"1 Sehr wichtig","1992","Rheinland-Pfalz,Saarland","Laendlicher Raum","34","0.261978571142228","0.179807467696342","0.344149674588114"
"1 Sehr wichtig","1992","Baden-Wuerttemberg","Staedtischer Raum","264","0.273653430090207","0.245288130305275","0.302018729875139"
"1 Sehr wichtig","1992","Baden-Wuerttemberg","Laendlicher Raum","38","0.204051698119017","0.139342280123515","0.268761116114519"
"1 Sehr wichtig","1992","Bayern","Staedtischer Raum","164","0.25057693514332","0.216328194461891","0.28482567582475"
"1 Sehr wichtig","1992","Bayern","Laendlicher Raum","198","0.292672842637548","0.25869937638963","0.326646308885466"
"1 Sehr wichtig","1992","Saarland","Staedtischer Raum","","","",""
"1 Sehr wichtig","1992","Saarland","Laendlicher Raum","","","",""
"1 Sehr wichtig","1992","Berlin","Staedtischer Raum","44","0.0668170288865993","0.0444318213381169","0.0892022364350817"
"1 Sehr wichtig","1992","Berlin","Laendlicher Raum","","","",""
"1 Sehr wichtig","1992","Brandenburg","Staedtischer Raum","9","","",""
"1 Sehr wichtig","1992","Brandenburg","Laendlicher Raum","130","0.231200843398203","0.196770765489699","0.265630921306706"
"1 Sehr wichtig","1992","Mecklenburg-Vorpommern","Staedtischer Raum","7","","",""
"1 Sehr wichtig","1992","Mecklenburg-Vorpommern","Laendlicher Raum","85","0.233213630547058","0.189286053510125","0.277141207583991"
"1 Sehr wichtig","1992","Sachsen","Staedtischer Raum","74","0.117649799963567","0.0913606662575203","0.143938933669614"
"1 Sehr wichtig","1992","Sachsen","Laendlicher Raum","152","0.248898835902462","0.212531722862341","0.285265948942582"
"1 Sehr wichtig","1992","Sachsen-Anhalt","Staedtischer Raum","18","","",""
"1 Sehr wichtig","1992","Sachsen-Anhalt","Laendlicher Raum","160","0.248658278623306","0.213511927860098","0.283804629386514"
"1 Sehr wichtig","1992","Thueringen","Staedtischer Raum","36","0.161983769298889","0.107858501863533","0.216109036734245"
"1 Sehr wichtig","1992","Thueringen","Laendlicher Raum","161","0.308930850497379","0.267334970837702","0.350526730157057"
"2 Wichtig","1992","Schleswig-Holstein","Staedtischer Raum","37","0.33358291153747","0.247032203456981","0.420133619617959"
"2 Wichtig","1992","Schleswig-Holstein","Laendlicher Raum","42","0.342052403026892","0.258553797247974","0.42555100880581"
"2 Wichtig","1992","Hamburg","Staedtischer Raum","26","","",""
"2 Wichtig","1992","Hamburg","Laendlicher Raum","","","",""
"2 Wichtig","1992","Niedersachsen","Staedtischer Raum","114","0.277613845225417","0.232288854406662","0.322938836044173"
"2 Wichtig","1992","Niedersachsen","Laendlicher Raum","147","0.31014802052197","0.26764646189041","0.35264957915353"
"2 Wichtig","1992","Bremen","Staedtischer Raum","29","","",""
"2 Wichtig","1992","Bremen","Laendlicher Raum","","","",""
"2 Wichtig","1992","Nordrhein-Westfalen","Staedtischer Raum","565","0.296519041678237","0.275466654667806","0.317571428688669"
"2 Wichtig","1992","Nordrhein-Westfalen","Laendlicher Raum","31","0.466534763599973","0.344311698395763","0.588757828804182"
"2 Wichtig","1992","Hessen","Staedtischer Raum","187","0.339985926857222","0.299883305256568","0.380088548457876"
"2 Wichtig","1992","Hessen","Laendlicher Raum","47","0.403816568765425","0.312538042439696","0.495095095091154"
"2 Wichtig","1992","Rheinland-Pfalz,Saarland","Staedtischer Raum","174","0.41234366639937","0.36597810554339","0.458709227255351"
"2 Wichtig","1992","Rheinland-Pfalz,Saarland","Laendlicher Raum","56","0.536418605765412","0.443229173994824","0.629608037535999"
"2 Wichtig","1992","Baden-Wuerttemberg","Staedtischer Raum","323","0.331197759421112","0.301253916248931","0.361141602593292"
"2 Wichtig","1992","Baden-Wuerttemberg","Laendlicher Raum","62","0.434850396462819","0.355251580865833","0.514449212059804"
"2 Wichtig","1992","Bayern","Staedtischer Raum","186","0.285782094912453","0.250075913461448","0.321488276363458"
"2 Wichtig","1992","Bayern","Laendlicher Raum","242","0.3237436220071","0.288805884486877","0.358681359527324"
"2 Wichtig","1992","Saarland","Staedtischer Raum","","","",""
"2 Wichtig","1992","Saarland","Laendlicher Raum","","","",""
"2 Wichtig","1992","Berlin","Staedtischer Raum","55","0.135631456319552","0.104936725301274","0.166326187337831"
"2 Wichtig","1992","Berlin","Laendlicher Raum","","","",""
"2 Wichtig","1992","Brandenburg","Staedtischer Raum","12","","",""
"2 Wichtig","1992","Brandenburg","Laendlicher Raum","149","0.257799419013915","0.222077197317061","0.293521640710768"
"2 Wichtig","1992","Mecklenburg-Vorpommern","Staedtischer Raum","3","","",""
"2 Wichtig","1992","Mecklenburg-Vorpommern","Laendlicher Raum","101","0.254321375447614","0.209084732211403","0.299558018683826"
"2 Wichtig","1992","Sachsen","Staedtischer Raum","97","0.154317310632418","0.124841128732924","0.183793492531912"
