,Unnamed: 0,year,pgisced97,plh0108,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
70,70,2004,Primary Level,Very important,0.20244,43,21149,0.16523,0.25201
71,71,2004,Primary Level,Important,0.2941,79,21149,0.24701,0.3536
72,72,2004,Primary Level,Less important,0.29453,68,21149,0.23701,0.34845
73,73,2004,Primary Level,Unimportant,0.20893,53,21149,0.16965,0.24476
74,74,2004,Lower Secondary Level,Very important,0.22114,582,21149,0.20821,0.23248
75,75,2004,Lower Secondary Level,Important,0.2895,779,21149,0.27453,0.30413
76,76,2004,Lower Secondary Level,Less important,0.29597,756,21149,0.27979,0.31165
77,77,2004,Lower Secondary Level,Unimportant,0.19339,427,21149,0.18253,0.20499
78,78,2004,Upper Secondary Level,Very important,0.23811,2696,21149,0.23036,0.24433
79,79,2004,Upper Secondary Level,Important,0.30659,3495,21149,0.29924,0.31493
80,80,2004,Upper Secondary Level,Less important,0.28582,3010,21149,0.27897,0.29376
81,81,2004,Upper Secondary Level,Unimportant,0.16948,1488,21149,0.16457,0.1755
82,82,2004,Post-secondary Non-tertiary Level,Very important,0.21773,254,21149,0.19433,0.24279
83,83,2004,Post-secondary Non-tertiary Level,Important,0.32362,406,21149,0.29438,0.35214
84,84,2004,Post-secondary Non-tertiary Level,Less important,0.33578,379,21149,0.30587,0.36675
85,85,2004,Post-secondary Non-tertiary Level,Unimportant,0.12286,110,21149,0.10867,0.14166
86,86,2004,First Stage of Tertiary Education,Very important,0.23291,432,21149,0.21454,0.25044
87,87,2004,First Stage of Tertiary Education,Important,0.35259,594,21149,0.32968,0.37682
88,88,2004,First Stage of Tertiary Education,Less important,0.28476,419,21149,0.26152,0.30796
89,89,2004,First Stage of Tertiary Education,Unimportant,0.12975,177,21149,0.11766,0.14393
90,90,2004,Second Stage of Tertiary Education,Very important,0.20885,1002,21149,0.19585,0.22358
91,91,2004,Second Stage of Tertiary Education,Important,0.33645,1585,21149,0.31993,0.3527
92,92,2004,Second Stage of Tertiary Education,Less important,0.29622,1171,21149,0.2814,0.3116
93,93,2004,Second Stage of Tertiary Education,Unimportant,0.15848,515,21149,0.14573,0.17075
94,94,2008,Pre-primary Level,Very important,0.14912,44,18785,0.10948,0.19525
95,95,2008,Pre-primary Level,Important,0.37028,126,18785,0.29699,0.42955
96,96,2008,Pre-primary Level,Less important,0.4806,153,18785,0.41674,0.54624
97,97,2008,Primary Level,Important,0.30142,48,18785,0.2155,0.37421
98,98,2008,Primary Level,Less important,0.36169,49,18785,0.30541,0.43831
99,99,2008,Primary Level,Unimportant,0.33689,58,18785,0.28235,0.39704
100,100,2008,Lower Secondary Level,Very important,0.18502,389,18785,0.17186,0.1997
101,101,2008,Lower Secondary Level,Important,0.29003,604,18785,0.27374,0.30666
102,102,2008,Lower Secondary Level,Less important,0.28873,584,18785,0.27129,0.30651
103,103,2008,Lower Secondary Level,Unimportant,0.23621,410,18785,0.22347,0.25127
104,104,2008,Upper Secondary Level,Very important,0.18963,1995,18785,0.18214,0.19748
105,105,2008,Upper Secondary Level,Important,0.31984,3260,18785,0.3107,0.32923
106,106,2008,Upper Secondary Level,Less important,0.30502,2847,18785,0.29669,0.31357
107,107,2008,Upper Secondary Level,Unimportant,0.18551,1548,18785,0.17955,0.19247
108,108,2008,Post-secondary Non-tertiary Level,Very important,0.18229,205,18785,0.15892,0.20623
109,109,2008,Post-secondary Non-tertiary Level,Important,0.32858,374,18785,0.30308,0.36187
110,110,2008,Post-secondary Non-tertiary Level,Less important,0.3524,380,18785,0.32278,0.38491
111,111,2008,Post-secondary Non-tertiary Level,Unimportant,0.13673,130,18785,0.1179,0.15506
112,112,2008,First Stage of Tertiary Education,Very important,0.20519,344,18785,0.18467,0.22525
113,113,2008,First Stage of Tertiary Education,Important,0.35066,521,18785,0.31798,0.3802
114,114,2008,First Stage of Tertiary Education,Less important,0.29433,372,18785,0.26754,0.32251
115,115,2008,First Stage of Tertiary Education,Unimportant,0.14982,173,18785,0.13349,0.16827
116,116,2008,Second Stage of Tertiary Education,Very important,0.17287,858,18785,0.16295,0.18513
117,117,2008,Second Stage of Tertiary Education,Important,0.33628,1554,18785,0.31972,0.35388
118,118,2008,Second Stage of Tertiary Education,Less important,0.33352,1228,18785,0.31823,0.3518
119,119,2008,Second Stage of Tertiary Education,Unimportant,0.15732,531,18785,0.14772,0.16681
120,120,2012,Pre-primary Level,Very important,0.19059,84,27025,0.1569,0.23307
121,121,2012,Pre-primary Level,Important,0.32469,159,27025,0.28146,0.36767
122,122,2012,Pre-primary Level,Less important,0.48472,204,27025,0.40199,0.55468
123,123,2012,Primary Level,Very important,0.2497,93,27025,0.18771,0.33167
124,124,2012,Primary Level,Important,0.24505,106,27025,0.20208,0.29362
125,125,2012,Primary Level,Less important,0.27181,102,27025,0.21813,0.33506
126,126,2012,Primary Level,Unimportant,0.23344,83,27025,0.17791,0.2814
127,127,2012,Lower Secondary Level,Very important,0.18914,559,27025,0.17468,0.20563
128,128,2012,Lower Secondary Level,Important,0.31008,930,27025,0.28961,0.33334
129,129,2012,Lower Secondary Level,Less important,0.27329,831,27025,0.25521,0.29621
130,130,2012,Lower Secondary Level,Unimportant,0.22748,542,27025,0.21102,0.24435
131,131,2012,Upper Secondary Level,Very important,0.18829,2783,27025,0.18065,0.19553
132,132,2012,Upper Secondary Level,Important,0.33122,4537,27025,0.32066,0.34156
133,133,2012,Upper Secondary Level,Less important,0.28341,3857,27025,0.27331,0.29389
134,134,2012,Upper Secondary Level,Unimportant,0.19708,2279,27025,0.18988,0.20371
135,135,2012,Post-secondary Non-tertiary Level,Very important,0.16981,358,27025,0.15201,0.19461
136,136,2012,Post-secondary Non-tertiary Level,Important,0.3685,731,27025,0.33518,0.39619
137,137,2012,Post-secondary Non-tertiary Level,Less important,0.32723,640,27025,0.29625,0.36199
138,138,2012,Post-secondary Non-tertiary Level,Unimportant,0.13446,230,27025,0.12054,0.14949
139,139,2012,First Stage of Tertiary Education,Very important,0.18168,402,27025,0.16339,0.20157
140,140,2012,First Stage of Tertiary Education,Important,0.37043,664,27025,0.33236,0.4068
141,141,2012,First Stage of Tertiary Education,Less important,0.2957,507,27025,0.26882,0.32724
142,142,2012,First Stage of Tertiary Education,Unimportant,0.15219,222,27025,0.13283,0.16947
143,143,2012,Second Stage of Tertiary Education,Very important,0.18323,1192,27025,0.17034,0.19403
144,144,2012,Second Stage of Tertiary Education,Important,0.34204,2321,27025,0.32701,0.36028
145,145,2012,Second Stage of Tertiary Education,Less important,0.31787,1793,27025,0.29912,0.33494
146,146,2012,Second Stage of Tertiary Education,Unimportant,0.15686,816,27025,0.14748,0.16772
147,147,2016,Pre-primary Level,Very important,0.17328,66,23523,0.11252,0.24272
148,148,2016,Pre-primary Level,Important,0.41754,128,23523,0.32926,0.55929
149,149,2016,Pre-primary Level,Less important,0.40918,124,23523,0.34101,0.50015
150,150,2016,Primary Level,Very important,0.25006,110,23523,0.18437,0.31435
151,151,2016,Primary Level,Important,0.27356,115,23523,0.22229,0.33962
152,152,2016,Primary Level,Less important,0.28319,106,23523,0.2154,0.34967
153,153,2016,Primary Level,Unimportant,0.19319,73,23523,0.13814,0.23882
154,154,2016,Lower Secondary Level,Very important,0.20999,554,23523,0.19146,0.22809
155,155,2016,Lower Secondary Level,Important,0.32289,866,23523,0.29793,0.35133
156,156,2016,Lower Secondary Level,Less important,0.26877,705,23523,0.24469,0.29089
157,157,2016,Lower Secondary Level,Unimportant,0.19834,437,23523,0.18035,0.21691
158,158,2016,Upper Secondary Level,Very important,0.19972,2307,23523,0.19106,0.20888
159,159,2016,Upper Secondary Level,Important,0.32559,3712,23523,0.31482,0.33733
160,160,2016,Upper Secondary Level,Less important,0.28534,3066,23523,0.27406,0.29753
161,161,2016,Upper Secondary Level,Unimportant,0.18936,1852,23523,0.18042,0.19861
162,162,2016,Post-secondary Non-tertiary Level,Very important,0.17859,428,23523,0.15773,0.19875
163,163,2016,Post-secondary Non-tertiary Level,Important,0.35767,731,23523,0.32984,0.39281
164,164,2016,Post-secondary Non-tertiary Level,Less important,0.32574,596,23523,0.29396,0.3619
165,165,2016,Post-secondary Non-tertiary Level,Unimportant,0.138,262,23523,0.11957,0.16046
166,166,2016,First Stage of Tertiary Education,Very important,0.19385,324,23523,0.17189,0.21692
167,167,2016,First Stage of Tertiary Education,Important,0.36797,523,23523,0.33449,0.40535
168,168,2016,First Stage of Tertiary Education,Less important,0.27059,365,23523,0.24069,0.2999
169,169,2016,First Stage of Tertiary Education,Unimportant,0.16759,187,23523,0.14331,0.19432
170,170,2016,Second Stage of Tertiary Education,Very important,0.1842,1183,23523,0.17112,0.19646
171,171,2016,Second Stage of Tertiary Education,Important,0.37264,2252,23523,0.3553,0.39532
172,172,2016,Second Stage of Tertiary Education,Less important,0.29022,1659,23523,0.27014,0.30549
173,173,2016,Second Stage of Tertiary Education,Unimportant,0.15294,792,23523,0.14063,0.16646
174,174,2021,Pre-primary Level,Very important,0.27705,51,16475,0.15084,0.42329
175,175,2021,Pre-primary Level,Important,0.38043,60,16475,0.24177,0.55471
176,176,2021,Pre-primary Level,Less important,0.34252,66,16475,0.25817,0.46897
177,177,2021,Primary Level,Very important,0.14365,49,16475,0.07783,0.22589
178,178,2021,Primary Level,Important,0.35252,61,16475,0.26165,0.45648
179,179,2021,Primary Level,Less important,0.26663,50,16475,0.1678,0.42774
180,180,2021,Primary Level,Unimportant,0.2372,48,16475,0.1631,0.31499
181,181,2021,Lower Secondary Level,Very important,0.20686,291,16475,0.17448,0.2392
182,182,2021,Lower Secondary Level,Important,0.32363,414,16475,0.28253,0.3674
183,183,2021,Lower Secondary Level,Less important,0.29208,434,16475,0.25717,0.32779
184,184,2021,Lower Secondary Level,Unimportant,0.17743,225,16475,0.14872,0.20986
185,185,2021,Upper Secondary Level,Very important,0.1924,1361,16475,0.18297,0.20551
186,186,2021,Upper Secondary Level,Important,0.32691,2228,16475,0.31093,0.34485
187,187,2021,Upper Secondary Level,Less important,0.30209,2100,16475,0.28816,0.31612
188,188,2021,Upper Secondary Level,Unimportant,0.1786,1223,16475,0.16726,0.18968
189,189,2021,Post-secondary Non-tertiary Level,Very important,0.16586,281,16475,0.14109,0.19759
190,190,2021,Post-secondary Non-tertiary Level,Important,0.37126,562,16475,0.32927,0.41876
191,191,2021,Post-secondary Non-tertiary Level,Less important,0.32227,483,16475,0.28076,0.3637
192,192,2021,Post-secondary Non-tertiary Level,Unimportant,0.14061,203,16475,0.11876,0.1652
193,193,2021,First Stage of Tertiary Education,Very important,0.2173,222,16475,0.18296,0.24825
194,194,2021,First Stage of Tertiary Education,Important,0.33714,365,16475,0.29491,0.38344
195,195,2021,First Stage of Tertiary Education,Less important,0.29602,272,16475,0.24425,0.3485
196,196,2021,First Stage of Tertiary Education,Unimportant,0.14953,136,16475,0.11939,0.18115
197,197,2021,Second Stage of Tertiary Education,Very important,0.20575,1168,16475,0.19021,0.2227
198,198,2021,Second Stage of Tertiary Education,Important,0.3691,2021,16475,0.34636,0.39419
199,199,2021,Second Stage of Tertiary Education,Less important,0.29322,1469,16475,0.26922,0.31871
200,200,2021,Second Stage of Tertiary Education,Unimportant,0.13193,632,16475,0.12113,0.1455
