"plh0108","year","age_gr","n","percent","lowerconfidence_percent","upperconfidence_percent"
"2 Wichtig","1995","66 +","383","0.270249576347841","0.247184081034885","0.293315071660798"
"3 Weniger wichtig","1995","17-34","1508","0.394239948116863","0.379011677749945","0.40946821848378"
"3 Weniger wichtig","1995","35-65","1692","0.296891470578061","0.285082169031182","0.308700772124941"
"3 Weniger wichtig","1995","66 +","226","0.167258623072735","0.147874666546883","0.186642579598588"
"4 Ganz unwichtig","1995","17-34","310","0.0844055889780894","0.0757428123050204","0.0930683656511584"
"4 Ganz unwichtig","1995","35-65","634","0.122523190160973","0.114048162183615","0.13099821813833"
"4 Ganz unwichtig","1995","66 +","467","0.33502295809083","0.310507855970861","0.359538060210799"
"1 Sehr wichtig","1996","17-34","","","",""
"1 Sehr wichtig","1996","35-65","","","",""
"1 Sehr wichtig","1996","66 +","","","",""
"2 Wichtig","1996","17-34","","","",""
"2 Wichtig","1996","35-65","","","",""
"2 Wichtig","1996","66 +","","","",""
"3 Weniger wichtig","1996","17-34","","","",""
"3 Weniger wichtig","1996","35-65","","","",""
"3 Weniger wichtig","1996","66 +","","","",""
"4 Ganz unwichtig","1996","17-34","","","",""
"4 Ganz unwichtig","1996","35-65","","","",""
"4 Ganz unwichtig","1996","66 +","","","",""
"1 Sehr wichtig","1997","17-34","","","",""
"1 Sehr wichtig","1997","35-65","","","",""
"1 Sehr wichtig","1997","66 +","","","",""
"2 Wichtig","1997","17-34","","","",""
"2 Wichtig","1997","35-65","","","",""
"2 Wichtig","1997","66 +","","","",""
"3 Weniger wichtig","1997","17-34","","","",""
"3 Weniger wichtig","1997","35-65","","","",""
"3 Weniger wichtig","1997","66 +","","","",""
"4 Ganz unwichtig","1997","17-34","","","",""
"4 Ganz unwichtig","1997","35-65","","","",""
"4 Ganz unwichtig","1997","66 +","","","",""
"1 Sehr wichtig","1998","17-34","","","",""
"1 Sehr wichtig","1998","35-65","","","",""
"1 Sehr wichtig","1998","66 +","","","",""
"2 Wichtig","1998","17-34","","","",""
"2 Wichtig","1998","35-65","","","",""
"2 Wichtig","1998","66 +","","","",""
"3 Weniger wichtig","1998","17-34","","","",""
"3 Weniger wichtig","1998","35-65","","","",""
"3 Weniger wichtig","1998","66 +","","","",""
"4 Ganz unwichtig","1998","17-34","","","",""
"4 Ganz unwichtig","1998","35-65","","","",""
"4 Ganz unwichtig","1998","66 +","","","",""
"1 Sehr wichtig","1999","17-34","","","",""
"1 Sehr wichtig","1999","35-65","","","",""
"1 Sehr wichtig","1999","66 +","","","",""
"2 Wichtig","1999","17-34","","","",""
"2 Wichtig","1999","35-65","","","",""
"2 Wichtig","1999","66 +","","","",""
"3 Weniger wichtig","1999","17-34","","","",""
"3 Weniger wichtig","1999","35-65","","","",""
"3 Weniger wichtig","1999","66 +","","","",""
"4 Ganz unwichtig","1999","17-34","","","",""
"4 Ganz unwichtig","1999","35-65","","","",""
"4 Ganz unwichtig","1999","66 +","","","",""
"1 Sehr wichtig","2000","17-34","","","",""
"1 Sehr wichtig","2000","35-65","","","",""
"1 Sehr wichtig","2000","66 +","","","",""
"2 Wichtig","2000","17-34","","","",""
"2 Wichtig","2000","35-65","","","",""
"2 Wichtig","2000","66 +","","","",""
"3 Weniger wichtig","2000","17-34","","","",""
"3 Weniger wichtig","2000","35-65","","","",""
"3 Weniger wichtig","2000","66 +","","","",""
"4 Ganz unwichtig","2000","17-34","","","",""
"4 Ganz unwichtig","2000","35-65","","","",""
"4 Ganz unwichtig","2000","66 +","","","",""
"1 Sehr wichtig","2001","17-34","","","",""
"1 Sehr wichtig","2001","35-65","","","",""
"1 Sehr wichtig","2001","66 +","","","",""
"2 Wichtig","2001","17-34","","","",""
"2 Wichtig","2001","35-65","","","",""
"2 Wichtig","2001","66 +","","","",""
"3 Weniger wichtig","2001","17-34","","","",""
"3 Weniger wichtig","2001","35-65","","","",""
"3 Weniger wichtig","2001","66 +","","","",""
"4 Ganz unwichtig","2001","17-34","","","",""
"4 Ganz unwichtig","2001","35-65","","","",""
"4 Ganz unwichtig","2001","66 +","","","",""
"1 Sehr wichtig","2002","17-34","","","",""
"1 Sehr wichtig","2002","35-65","","","",""
"1 Sehr wichtig","2002","66 +","","","",""
"2 Wichtig","2002","17-34","","","",""
"2 Wichtig","2002","35-65","","","",""
"2 Wichtig","2002","66 +","","","",""
"3 Weniger wichtig","2002","17-34","","","",""
"3 Weniger wichtig","2002","35-65","","","",""
"3 Weniger wichtig","2002","66 +","","","",""
"4 Ganz unwichtig","2002","17-34","","","",""
"4 Ganz unwichtig","2002","35-65","","","",""
"4 Ganz unwichtig","2002","66 +","","","",""
"1 Sehr wichtig","2003","17-34","","","",""
"1 Sehr wichtig","2003","35-65","","","",""
"1 Sehr wichtig","2003","66 +","","","",""
"2 Wichtig","2003","17-34","","","",""
"2 Wichtig","2003","35-65","","","",""
"2 Wichtig","2003","66 +","","","",""
"3 Weniger wichtig","2003","17-34","","","",""
"3 Weniger wichtig","2003","35-65","","","",""
"3 Weniger wichtig","2003","66 +","","","",""
"4 Ganz unwichtig","2003","17-34","","","",""
"4 Ganz unwichtig","2003","35-65","","","",""
"4 Ganz unwichtig","2003","66 +","","","",""
"1 Sehr wichtig","2004","17-34","1076","0.190610824377449","0.180290175423991","0.200931473330907"
"1 Sehr wichtig","2004","35-65","3053","0.231715363460544","0.224217620916423","0.239213106004665"
"1 Sehr wichtig","2004","66 +","1035","0.258200090961349","0.244062130406759","0.27233805151594"
"2 Wichtig","2004","17-34","1825","0.316359166064143","0.304139516847119","0.328578815281168"
"2 Wichtig","2004","35-65","4311","0.324771671403234","0.316450079156688","0.333093263649779"
"2 Wichtig","2004","66 +","1095","0.284055402380346","0.26948718486589","0.298623619894802"
"3 Weniger wichtig","2004","17-34","2139","0.391174402961444","0.378351504709421","0.403997301213467"
"3 Weniger wichtig","2004","35-65","3339","0.293223872559101","0.285134168526031","0.301313576592171"
"3 Weniger wichtig","2004","66 +","680","0.19089287978394","0.178196992481489","0.20358876708639"
"4 Ganz unwichtig","2004","17-34","524","0.101855606596963","0.0939082979164673","0.10980291527746"
"4 Ganz unwichtig","2004","35-65","1462","0.150289092577121","0.143938834696842","0.156639350457401"
"4 Ganz unwichtig","2004","66 +","871","0.266851626874365","0.252562817337787","0.281140436410944"
"1 Sehr wichtig","2005","17-34","","","",""
"1 Sehr wichtig","2005","35-65","","","",""
"1 Sehr wichtig","2005","66 +","","","",""
"2 Wichtig","2005","17-34","","","",""
"2 Wichtig","2005","35-65","","","",""
"2 Wichtig","2005","66 +","","","",""
"3 Weniger wichtig","2005","17-34","","","",""
"3 Weniger wichtig","2005","35-65","","","",""
"3 Weniger wichtig","2005","66 +","","","",""
"4 Ganz unwichtig","2005","17-34","","","",""
"4 Ganz unwichtig","2005","35-65","","","",""
"4 Ganz unwichtig","2005","66 +","","","",""
"1 Sehr wichtig","2006","17-34","","","",""
"1 Sehr wichtig","2006","35-65","","","",""
"1 Sehr wichtig","2006","66 +","","","",""
"2 Wichtig","2006","17-34","","","",""
"2 Wichtig","2006","35-65","","","",""
"2 Wichtig","2006","66 +","","","",""
"3 Weniger wichtig","2006","17-34","","","",""
"3 Weniger wichtig","2006","35-65","","","",""
"3 Weniger wichtig","2006","66 +","","","",""
"4 Ganz unwichtig","2006","17-34","","","",""
"4 Ganz unwichtig","2006","35-65","","","",""
"4 Ganz unwichtig","2006","66 +","","","",""
"1 Sehr wichtig","2007","17-34","","","",""
"1 Sehr wichtig","2007","35-65","","","",""
"1 Sehr wichtig","2007","66 +","","","",""
"2 Wichtig","2007","17-34","","","",""
"2 Wichtig","2007","35-65","","","",""
"2 Wichtig","2007","66 +","","","",""
"3 Weniger wichtig","2007","17-34","","","",""
"3 Weniger wichtig","2007","35-65","","","",""
"3 Weniger wichtig","2007","66 +","","","",""
"4 Ganz unwichtig","2007","17-34","","","",""
"4 Ganz unwichtig","2007","35-65","","","",""
"4 Ganz unwichtig","2007","66 +","","","",""
"1 Sehr wichtig","2008","17-34","696","0.159158460245068","0.148255938061319","0.170060982428817"
"1 Sehr wichtig","2008","35-65","2217","0.184852091415027","0.177473541821816","0.192230641008237"
"1 Sehr wichtig","2008","66 +","1008","0.211379067033815","0.199051823834424","0.223706310233207"
"2 Wichtig","2008","17-34","1384","0.318622916907789","0.304736592685772","0.332509241129806"
"2 Wichtig","2008","35-65","3786","0.327303750697402","0.318384556884105","0.3362229445107"
"2 Wichtig","2008","66 +","1406","0.308352098649167","0.294408758844247","0.322295438454087"
"3 Weniger wichtig","2008","17-34","1797","0.412025030086883","0.397356173781793","0.426693886391973"
"3 Weniger wichtig","2008","35-65","3191","0.322932613745112","0.314044440558898","0.331820786931326"
"3 Weniger wichtig","2008","66 +","757","0.191228130041292","0.179354329937278","0.203101930145306"
"4 Ganz unwichtig","2008","17-34","448","0.11019359276026","0.100861458657474","0.119525726863046"
"4 Ganz unwichtig","2008","35-65","1438","0.164911544142459","0.157857594154791","0.171965494130126"
"4 Ganz unwichtig","2008","66 +","1043","0.289040704275726","0.275353879816354","0.302727528735098"
"1 Sehr wichtig","2009","17-34","","","",""
"1 Sehr wichtig","2009","35-65","","","",""
"1 Sehr wichtig","2009","66 +","","","",""
"2 Wichtig","2009","17-34","","","",""
"2 Wichtig","2009","35-65","","","",""
"2 Wichtig","2009","66 +","","","",""
"3 Weniger wichtig","2009","17-34","","","",""
"3 Weniger wichtig","2009","35-65","","","",""
"3 Weniger wichtig","2009","66 +","","","",""
"4 Ganz unwichtig","2009","17-34","","","",""
"4 Ganz unwichtig","2009","35-65","","","",""
"4 Ganz unwichtig","2009","66 +","","","",""
"1 Sehr wichtig","2010","17-34","744","0.244164125152325","0.228750550890934","0.259577699413717"
"1 Sehr wichtig","2010","35-65","907","0.211519052295066","0.199328330299296","0.223709774290836"
"1 Sehr wichtig","2010","66 +","1","","",""
"2 Wichtig","2010","17-34","1085","0.362049453744098","0.3448059253415","0.379292982146695"
"2 Wichtig","2010","35-65","1570","0.352127964945398","0.337870117776546","0.36638581211425"
"2 Wichtig","2010","66 +","6","","",""
"3 Weniger wichtig","2010","17-34","910","0.311052701742937","0.294443120959079","0.327662282526794"
"3 Weniger wichtig","2010","35-65","1361","0.321183109265058","0.307244746973273","0.335121471556843"
"3 Weniger wichtig","2010","66 +","4","","",""
"4 Ganz unwichtig","2010","17-34","245","0.0827337193606406","0.0728496070748193","0.0926178316464619"
"4 Ganz unwichtig","2010","35-65","473","0.115169873494477","0.105640628888641","0.124699118100314"
"4 Ganz unwichtig","2010","66 +","3","","",""
"1 Sehr wichtig","2011","17-34","","","",""
"1 Sehr wichtig","2011","35-65","","","",""
"1 Sehr wichtig","2011","66 +","","","",""
"2 Wichtig","2011","17-34","","","",""
"2 Wichtig","2011","35-65","","","",""
"2 Wichtig","2011","66 +","","","",""
"3 Weniger wichtig","2011","17-34","","","",""
"3 Weniger wichtig","2011","35-65","","","",""
"3 Weniger wichtig","2011","66 +","","","",""
"4 Ganz unwichtig","2011","17-34","","","",""
"4 Ganz unwichtig","2011","35-65","","","",""
"4 Ganz unwichtig","2011","66 +","","","",""
"1 Sehr wichtig","2012","17-34","1288","0.196293819884987","0.186491279443758","0.206096360326216"
"1 Sehr wichtig","2012","35-65","3162","0.177161520851264","0.171252507343247","0.18307053435928"
"1 Sehr wichtig","2012","66 +","1104","0.200328698035233","0.189357917325274","0.211299478745193"
"2 Wichtig","2012","17-34","2041","0.310960172215643","0.299536355610908","0.322383988820378"
"2 Wichtig","2012","35-65","5735","0.343004108014681","0.33565721062721","0.350351005402152"
"2 Wichtig","2012","66 +","1785","0.336903769084276","0.32394835170121","0.349859186467341"
"3 Weniger wichtig","2012","17-34","2330","0.372535660208314","0.360603608534149","0.384467711882478"
"3 Weniger wichtig","2012","35-65","4808","0.305959377989103","0.298827608193045","0.31309114778516"
"3 Weniger wichtig","2012","66 +","963","0.197643380370423","0.186728096085471","0.208558664655376"
"4 Ganz unwichtig","2012","17-34","648","0.120210347691057","0.112184387024648","0.128236308357465"
"4 Ganz unwichtig","2012","35-65","2333","0.173874993144952","0.168009366263165","0.17974062002674"
"4 Ganz unwichtig","2012","66 +","1261","0.265124152510068","0.253025365585151","0.277222939434985"
"1 Sehr wichtig","2013","17-34","","","",""
"1 Sehr wichtig","2013","35-65","","","",""
"1 Sehr wichtig","2013","66 +","","","",""
"2 Wichtig","2013","17-34","","","",""
"2 Wichtig","2013","35-65","","","",""
"2 Wichtig","2013","66 +","","","",""
"3 Weniger wichtig","2013","17-34","","","",""
"3 Weniger wichtig","2013","35-65","","","",""
"3 Weniger wichtig","2013","66 +","","","",""
"4 Ganz unwichtig","2013","17-34","","","",""
"4 Ganz unwichtig","2013","35-65","","","",""
"4 Ganz unwichtig","2013","66 +","","","",""
"1 Sehr wichtig","2014","17-34","","","",""
"1 Sehr wichtig","2014","35-65","","","",""
"1 Sehr wichtig","2014","66 +","","","",""
"2 Wichtig","2014","17-34","","","",""
"2 Wichtig","2014","35-65","","","",""
"2 Wichtig","2014","66 +","","","",""
"3 Weniger wichtig","2014","17-34","","","",""
"3 Weniger wichtig","2014","35-65","","","",""
"3 Weniger wichtig","2014","66 +","","","",""
"4 Ganz unwichtig","2014","17-34","","","",""
"4 Ganz unwichtig","2014","35-65","","","",""
"4 Ganz unwichtig","2014","66 +","","","",""
"1 Sehr wichtig","2015","17-34","","","",""
"1 Sehr wichtig","2015","35-65","","","",""
"1 Sehr wichtig","2015","66 +","","","",""
"2 Wichtig","2015","17-34","","","",""
"2 Wichtig","2015","35-65","","","",""
"2 Wichtig","2015","66 +","","","",""
"3 Weniger wichtig","2015","17-34","","","",""
"3 Weniger wichtig","2015","35-65","","","",""
"3 Weniger wichtig","2015","66 +","","","",""
"4 Ganz unwichtig","2015","17-34","","","",""
"4 Ganz unwichtig","2015","35-65","","","",""
"4 Ganz unwichtig","2015","66 +","","","",""
"1 Sehr wichtig","2016","17-34","1296","0.200090190936954","0.189616646175901","0.210563735698007"
"1 Sehr wichtig","2016","35-65","2842","0.189346908026134","0.18282794938527","0.195865866666998"
"1 Sehr wichtig","2016","66 +","956","0.204578360835606","0.192988894197685","0.216167827473527"
"2 Wichtig","2016","17-34","1915","0.32226732552103","0.310032504176785","0.334502146865274"
"2 Wichtig","2016","35-65","4945","0.342244225001291","0.334349591116088","0.350138858886494"
"2 Wichtig","2016","66 +","1663","0.350298899372279","0.33659288795744","0.364004910787118"
"3 Weniger wichtig","2016","17-34","1921","0.377070651243664","0.364382713341267","0.389758589146062"
"3 Weniger wichtig","2016","35-65","3980","0.2939354487251","0.286355264132643","0.301515633317557"
"3 Weniger wichtig","2016","66 +","916","0.197615062037963","0.186174791178757","0.209055332897168"
"4 Ganz unwichtig","2016","17-34","473","0.100571832298352","0.0926980807635223","0.108445583833181"
"4 Ganz unwichtig","2016","35-65","2108","0.174473418247475","0.16815858682993","0.18078824966502"
"4 Ganz unwichtig","2016","66 +","1119","0.247507677754152","0.235108860019649","0.259906495488655"
