year,sampreg,sex,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,West,male,Permanent job,0.37837,5442,6518,0.36659,0.39014
2013,West,male,Temporary job,0.06988,1076,6518,0.06369,0.07607
2013,West,female,Permanent job,0.31955,5472,6716,0.30840,0.33070
2013,West,female,Temporary job,0.06548,1244,6716,0.05956,0.07139
2013,East,male,Permanent job,0.36761,1211,1460,0.34287,0.39235
2013,East,male,Temporary job,0.07507,249,1460,0.06155,0.08859
2013,East,female,Permanent job,0.32249,1318,1631,0.29980,0.34518
2013,East,female,Temporary job,0.07125,313,1631,0.05876,0.08374
2014,West,male,Permanent job,0.38065,4840,5719,0.36806,0.39323
2014,West,male,Temporary job,0.07403,879,5719,0.06725,0.08082
2014,West,female,Permanent job,0.32325,4825,5935,0.31135,0.33516
2014,West,female,Temporary job,0.06973,1110,5935,0.06325,0.07621
2014,East,male,Permanent job,0.36349,1083,1318,0.33751,0.38947
2014,East,male,Temporary job,0.08382,235,1318,0.06885,0.09879
2014,East,female,Permanent job,0.31758,1207,1458,0.29368,0.34149
2014,East,female,Temporary job,0.06535,251,1458,0.05266,0.07804
2015,West,male,Permanent job,0.38381,4805,5751,0.37124,0.39638
2015,West,male,Temporary job,0.07412,946,5751,0.06735,0.08089
2015,West,female,Permanent job,0.33558,4803,5955,0.32359,0.34758
2015,West,female,Temporary job,0.07167,1152,5955,0.06512,0.07822
2015,East,male,Permanent job,0.37909,1058,1270,0.35239,0.40578
2015,East,male,Temporary job,0.07412,212,1270,0.05971,0.08853
2015,East,female,Permanent job,0.32941,1170,1421,0.30497,0.35386
2015,East,female,Temporary job,0.06715,251,1421,0.05413,0.08016
2016,West,male,Permanent job,0.37422,4256,5275,0.36116,0.38728
2016,West,male,Temporary job,0.07945,1019,5275,0.07215,0.08675
2016,West,female,Permanent job,0.34281,4496,5539,0.33031,0.35531
2016,West,female,Temporary job,0.07087,1043,5539,0.06411,0.07763
2016,East,male,Permanent job,0.37426,996,1215,0.34704,0.40149
2016,East,male,Temporary job,0.07213,219,1215,0.05758,0.08669
2016,East,female,Permanent job,0.33344,1138,1377,0.30853,0.35835
2016,East,female,Temporary job,0.07153,239,1377,0.05791,0.08514
2017,West,male,Permanent job,0.38374,4879,6070,0.37151,0.39598
2017,West,male,Temporary job,0.07626,1191,6070,0.06958,0.08294
2017,West,female,Permanent job,0.34711,5130,6266,0.33532,0.35890
2017,West,female,Temporary job,0.07384,1136,6266,0.06737,0.08032
2017,East,male,Permanent job,0.39651,1197,1433,0.37118,0.42185
2017,East,male,Temporary job,0.06602,236,1433,0.05316,0.07888
2017,East,female,Permanent job,0.34095,1311,1556,0.31739,0.36451
2017,East,female,Temporary job,0.06238,245,1556,0.05036,0.07440
2018,West,male,Permanent job,0.39213,4681,5994,0.37977,0.40449
2018,West,male,Temporary job,0.08284,1313,5994,0.07586,0.08982
2018,West,female,Permanent job,0.36063,5010,6079,0.34855,0.37270
2018,West,female,Temporary job,0.06775,1069,6079,0.06143,0.07407
2018,East,male,Permanent job,0.39801,1199,1467,0.37295,0.42306
2018,East,male,Temporary job,0.06433,268,1467,0.05177,0.07689
2018,East,female,Permanent job,0.35210,1300,1530,0.32816,0.37604
2018,East,female,Temporary job,0.05964,230,1530,0.04777,0.07151
2019,West,male,Permanent job,0.40097,4539,5826,0.38838,0.41356
2019,West,male,Temporary job,0.07879,1287,5826,0.07187,0.08571
2019,West,female,Permanent job,0.36235,4817,5838,0.35002,0.37469
2019,West,female,Temporary job,0.06663,1021,5838,0.06023,0.07303
2019,East,male,Permanent job,0.39854,1125,1373,0.37263,0.42445
2019,East,male,Temporary job,0.05877,248,1373,0.04633,0.07122
2019,East,female,Permanent job,0.35728,1277,1496,0.33299,0.38157
2019,East,female,Temporary job,0.05956,219,1496,0.04756,0.07155
2020,West,male,Permanent job,0.40298,5008,6600,0.39114,0.41481
2020,West,male,Temporary job,0.06831,1592,6600,0.06223,0.07440
2020,West,female,Permanent job,0.35927,4943,6067,0.34720,0.37135
2020,West,female,Temporary job,0.06863,1124,6067,0.06227,0.07499
2020,East,male,Permanent job,0.41764,1183,1419,0.39197,0.44331
2020,East,male,Temporary job,0.05268,236,1419,0.04106,0.06431
2020,East,female,Permanent job,0.36773,1219,1452,0.34292,0.39254
2020,East,female,Temporary job,0.05701,233,1452,0.04508,0.06894
2021,West,male,Permanent job,0.40878,3364,4156,0.39383,0.42373
2021,West,male,Temporary job,0.06776,792,4156,0.06012,0.07540
2021,West,female,Permanent job,0.36692,3435,4095,0.35216,0.38169
2021,West,female,Temporary job,0.06102,660,4095,0.05369,0.06836
2021,East,male,Permanent job,0.42078,809,932,0.38907,0.45250
2021,East,male,Temporary job,0.04795,123,932,0.03422,0.06167
2021,East,female,Permanent job,0.36638,891,1017,0.33675,0.39601
2021,East,female,Temporary job,0.04701,126,1017,0.03399,0.06002
2022,West,male,Permanent job,0.41771,5677,6813,0.40600,0.42942
2022,West,male,Temporary job,0.05820,1136,6813,0.05264,0.06376
2022,West,female,Permanent job,0.37740,5469,6592,0.36570,0.38911
2022,West,female,Temporary job,0.05962,1123,6592,0.05390,0.06534
2022,East,male,Permanent job,0.41972,1404,1647,0.39588,0.44356
2022,East,male,Temporary job,0.05594,243,1647,0.04484,0.06704
2022,East,female,Permanent job,0.36635,1480,1723,0.34359,0.38910
2022,East,female,Temporary job,0.05004,243,1723,0.03974,0.06034
