,Unnamed: 0,year,sex,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
44,44,1996,male,Permanent job,0.89117,3446,6965,0.86871,0.91519
45,45,1996,male,Temporary job,0.10883,427,6965,0.10024,0.11875
46,46,1996,female,Permanent job,0.87307,2657,6965,0.84342,0.90153
47,47,1996,female,Temporary job,0.12693,435,6965,0.11601,0.13595
48,48,1997,male,Permanent job,0.86913,3246,6738,0.84096,0.89893
49,49,1997,male,Temporary job,0.13087,513,6738,0.12229,0.13965
50,50,1997,female,Permanent job,0.86138,2536,6738,0.83307,0.8938
51,51,1997,female,Temporary job,0.13862,443,6738,0.12904,0.14925
52,52,1998,male,Permanent job,0.86633,3570,7397,0.84417,0.8879
53,53,1998,male,Temporary job,0.13367,556,7397,0.12422,0.14199
54,54,1998,female,Permanent job,0.86952,2799,7397,0.85047,0.89079
55,55,1998,female,Temporary job,0.13048,472,7397,0.12097,0.14092
56,56,1999,male,Permanent job,0.85577,3438,7314,0.83199,0.87995
57,57,1999,male,Temporary job,0.14423,590,7314,0.13666,0.15356
58,58,1999,female,Permanent job,0.86638,2779,7314,0.84248,0.89544
59,59,1999,female,Temporary job,0.13362,507,7314,0.12507,0.14203
60,60,2000,male,Permanent job,0.86649,5597,11680,0.85335,0.88145
61,61,2000,male,Temporary job,0.13351,872,11680,0.12883,0.13789
62,62,2000,female,Permanent job,0.85456,4417,11680,0.8373,0.87038
63,63,2000,female,Temporary job,0.14544,794,11680,0.13904,0.15133
64,64,2001,male,Permanent job,0.8765,5049,10626,0.86169,0.89281
65,65,2001,male,Temporary job,0.1235,753,10626,0.11817,0.1295
66,66,2001,female,Permanent job,0.8473,4072,10626,0.83087,0.86524
67,67,2001,female,Temporary job,0.1527,752,10626,0.14594,0.1609
68,68,2002,male,Permanent job,0.87234,5241,11155,0.85318,0.88929
69,69,2002,male,Temporary job,0.12766,762,11155,0.12234,0.13449
70,70,2002,female,Permanent job,0.84767,4401,11155,0.82649,0.86643
71,71,2002,female,Temporary job,0.15233,751,11155,0.14341,0.1596
72,72,2003,male,Permanent job,0.86803,4840,10453,0.84935,0.88789
73,73,2003,male,Temporary job,0.13197,733,10453,0.1241,0.14042
74,74,2003,female,Permanent job,0.85398,4173,10453,0.82917,0.87473
75,75,2003,female,Temporary job,0.14602,707,10453,0.13667,0.15532
76,76,2004,male,Permanent job,0.86437,4572,10074,0.84215,0.89134
77,77,2004,male,Temporary job,0.13563,731,10074,0.12732,0.14378
78,78,2004,female,Permanent job,0.84263,4066,10074,0.81946,0.86497
79,79,2004,female,Temporary job,0.15737,705,10074,0.14555,0.16772
80,80,2005,male,Permanent job,0.86475,4519,9727,0.83872,0.88607
81,81,2005,male,Temporary job,0.13525,640,9727,0.12527,0.14415
82,82,2005,female,Permanent job,0.85194,3931,9727,0.8317,0.87684
83,83,2005,female,Temporary job,0.14806,637,9727,0.13767,0.15925
84,84,2006,male,Permanent job,0.85764,4629,10192,0.83718,0.87701
85,85,2006,male,Temporary job,0.14236,702,10192,0.13347,0.15038
86,86,2006,female,Permanent job,0.84034,4157,10192,0.81586,0.86617
87,87,2006,female,Temporary job,0.15966,704,10192,0.14942,0.17059
88,88,2007,male,Permanent job,0.85659,4387,9744,0.83785,0.8764
89,89,2007,male,Temporary job,0.14341,699,9744,0.13415,0.15386
90,90,2007,female,Permanent job,0.83311,3957,9744,0.80665,0.85123
91,91,2007,female,Temporary job,0.16689,701,9744,0.15662,0.17959
92,92,2008,male,Permanent job,0.86155,4237,9371,0.8393,0.88359
93,93,2008,male,Temporary job,0.13845,638,9371,0.12769,0.14969
94,94,2008,female,Permanent job,0.82106,3773,9371,0.79797,0.84562
95,95,2008,female,Temporary job,0.17894,723,9371,0.16815,0.18983
96,96,2009,male,Permanent job,0.85487,3842,8724,0.82997,0.88403
97,97,2009,male,Temporary job,0.14513,619,8724,0.13204,0.15451
98,98,2009,female,Permanent job,0.8299,3597,8724,0.79977,0.86319
99,99,2009,female,Temporary job,0.1701,666,8724,0.15724,0.18551
100,100,2010,male,Permanent job,0.85598,5406,11997,0.82627,0.88746
101,101,2010,male,Temporary job,0.14402,853,11997,0.13191,0.15563
102,102,2010,female,Permanent job,0.82291,4747,11997,0.79445,0.85359
103,103,2010,female,Temporary job,0.17709,991,11997,0.16387,0.19157
104,104,2011,male,Permanent job,0.85188,6311,14581,0.82946,0.87769
105,105,2011,male,Temporary job,0.14812,964,14581,0.13852,0.15984
106,106,2011,female,Permanent job,0.82519,6100,14581,0.80249,0.85028
107,107,2011,female,Temporary job,0.17481,1206,14581,0.16368,0.18835
108,108,2012,male,Permanent job,0.8506,6048,14433,0.82602,0.8754
109,109,2012,male,Temporary job,0.1494,1012,14433,0.13874,0.15941
110,110,2012,female,Permanent job,0.82848,6132,14433,0.80307,0.85243
111,111,2012,female,Temporary job,0.17152,1241,14433,0.159,0.18475
112,112,2013,male,Permanent job,0.84181,6653,16325,0.81942,0.86716
113,113,2013,male,Temporary job,0.15819,1325,16325,0.14473,0.17126
114,114,2013,female,Permanent job,0.82714,6790,16325,0.80568,0.85393
115,115,2013,female,Temporary job,0.17286,1557,16325,0.16076,0.18313
116,116,2014,male,Permanent job,0.83285,5923,14430,0.80293,0.86183
117,117,2014,male,Temporary job,0.16715,1114,14430,0.15483,0.17927
118,118,2014,female,Permanent job,0.82353,6032,14430,0.79802,0.84929
119,119,2014,female,Temporary job,0.17647,1361,14430,0.16584,0.18947
120,120,2015,male,Permanent job,0.83858,5863,14397,0.80993,0.86092
121,121,2015,male,Temporary job,0.16142,1157,14397,0.14978,0.17258
122,122,2015,female,Permanent job,0.82491,5973,14397,0.80209,0.85143
123,123,2015,female,Temporary job,0.17509,1404,14397,0.16333,0.18755
124,124,2016,male,Permanent job,0.82713,5252,13406,0.79885,0.85028
125,125,2016,male,Temporary job,0.17287,1238,13406,0.15898,0.1868
126,126,2016,female,Permanent job,0.82746,5634,13406,0.80154,0.85286
127,127,2016,female,Temporary job,0.17254,1282,13406,0.16082,0.18388
128,128,2017,male,Permanent job,0.83771,6076,15325,0.81373,0.86595
129,129,2017,male,Temporary job,0.16229,1427,15325,0.15139,0.17362
130,130,2017,female,Permanent job,0.82819,6441,15325,0.80629,0.84939
131,131,2017,female,Temporary job,0.17181,1381,15325,0.16162,0.18194
132,132,2018,male,Permanent job,0.83169,5880,15070,0.80381,0.85618
133,133,2018,male,Temporary job,0.16831,1581,15070,0.15766,0.17972
134,134,2018,female,Permanent job,0.84364,6310,15070,0.82045,0.86741
135,135,2018,female,Temporary job,0.15636,1299,15070,0.1448,0.16667
136,136,2019,male,Permanent job,0.84083,5679,14573,0.80745,0.86716
137,137,2019,male,Temporary job,0.15917,1539,14573,0.14554,0.17325
138,138,2019,female,Permanent job,0.84615,6113,14573,0.81592,0.87582
139,139,2019,female,Temporary job,0.15385,1242,14573,0.14309,0.16483
140,140,2020,male,Permanent job,0.85994,6190,15537,0.82615,0.89085
141,141,2020,male,Temporary job,0.14006,1827,15537,0.12776,0.15399
142,142,2020,female,Permanent job,0.84484,6162,15537,0.82341,0.87461
143,143,2020,female,Temporary job,0.15516,1358,15537,0.14151,0.16891
144,144,2021,male,Permanent job,0.86451,4174,10200,0.83285,0.89988
145,145,2021,male,Temporary job,0.13549,915,10200,0.12214,0.14917
146,146,2021,female,Permanent job,0.86356,4325,10200,0.82499,0.89383
147,147,2021,female,Temporary job,0.13644,786,10200,0.12555,0.15126
