,Unnamed: 0,year,pgisced97,regtyp,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
25,25,1987,Lower Secondary Level,Rural regions,Permanent job,1.0,42,960,0.83615,1.18134
26,26,1987,Upper Secondary Level,Urban regions,Permanent job,0.81077,335,960,0.76568,0.86936
27,27,1987,Upper Secondary Level,Urban regions,Temporary job,0.18923,84,960,0.16415,0.21893
28,28,1987,Upper Secondary Level,Rural regions,Permanent job,0.74614,116,960,0.68681,0.81656
29,29,1987,Upper Secondary Level,Rural regions,Temporary job,0.25386,39,960,0.21752,0.29366
30,30,1987,First Stage of Tertiary Education,Urban regions,Permanent job,1.0,39,960,0.85731,1.17875
31,31,1987,Second Stage of Tertiary Education,Urban regions,Permanent job,0.69481,59,960,0.61384,0.76878
32,32,1987,Second Stage of Tertiary Education,Urban regions,Temporary job,0.30519,31,960,0.25243,0.35542
33,33,1988,Primary Level,Urban regions,Permanent job,1.0,265,5121,0.90563,1.13655
34,34,1988,Primary Level,Rural regions,Permanent job,1.0,41,5121,0.66315,1.43172
35,35,1988,Lower Secondary Level,Urban regions,Permanent job,0.77256,770,5121,0.73077,0.81122
36,36,1988,Lower Secondary Level,Urban regions,Temporary job,0.22744,227,5121,0.2054,0.24526
37,37,1988,Lower Secondary Level,Rural regions,Permanent job,0.70746,179,5121,0.63611,0.77576
38,38,1988,Lower Secondary Level,Rural regions,Temporary job,0.29254,64,5121,0.26044,0.32555
39,39,1988,Upper Secondary Level,Urban regions,Permanent job,0.94316,1961,5121,0.91758,0.9686
40,40,1988,Upper Secondary Level,Urban regions,Temporary job,0.05684,144,5121,0.05123,0.06296
41,41,1988,Upper Secondary Level,Rural regions,Permanent job,0.87686,525,5121,0.84172,0.90924
42,42,1988,Upper Secondary Level,Rural regions,Temporary job,0.12314,68,5121,0.10722,0.13756
43,43,1988,Post-secondary Non-tertiary Level,Urban regions,Permanent job,1.0,123,5121,0.88787,1.11564
44,44,1988,First Stage of Tertiary Education,Urban regions,Permanent job,1.0,230,5121,0.94281,1.05307
45,45,1988,First Stage of Tertiary Education,Rural regions,Permanent job,1.0,55,5121,0.90064,1.08362
46,46,1988,Second Stage of Tertiary Education,Urban regions,Permanent job,0.88771,358,5121,0.85225,0.92241
47,47,1988,Second Stage of Tertiary Education,Urban regions,Temporary job,0.11229,45,5121,0.09358,0.12931
48,48,1988,Second Stage of Tertiary Education,Rural regions,Permanent job,1.0,66,5121,0.90663,1.0867
49,49,1989,Lower Secondary Level,Urban regions,Permanent job,0.53705,108,719,0.46007,0.63656
50,50,1989,Lower Secondary Level,Urban regions,Temporary job,0.46295,86,719,0.38632,0.54399
51,51,1989,Upper Secondary Level,Urban regions,Permanent job,0.77441,225,719,0.71198,0.82879
52,52,1989,Upper Secondary Level,Urban regions,Temporary job,0.22559,80,719,0.1895,0.25606
53,53,1989,Upper Secondary Level,Rural regions,Permanent job,1.0,87,719,0.89927,1.10066
54,54,1989,Post-secondary Non-tertiary Level,Urban regions,Permanent job,1.0,36,719,0.82073,1.1991
55,55,1989,First Stage of Tertiary Education,Urban regions,Permanent job,1.0,39,719,0.82658,1.1653
56,56,1989,Second Stage of Tertiary Education,Urban regions,Permanent job,1.0,58,719,0.8383,1.15819
57,57,1990,Lower Secondary Level,Urban regions,Permanent job,0.63304,170,4020,0.55736,0.71581
58,58,1990,Lower Secondary Level,Urban regions,Temporary job,0.36696,88,4020,0.31219,0.43149
59,59,1990,Lower Secondary Level,Rural regions,Permanent job,0.70128,159,4020,0.64454,0.78027
60,60,1990,Lower Secondary Level,Rural regions,Temporary job,0.29872,63,4020,0.25413,0.34344
61,61,1990,Upper Secondary Level,Urban regions,Permanent job,0.871,847,4020,0.8284,0.90972
62,62,1990,Upper Secondary Level,Urban regions,Temporary job,0.129,102,4020,0.11072,0.14749
63,63,1990,Upper Secondary Level,Rural regions,Permanent job,0.93302,1323,4020,0.90397,0.9652
64,64,1990,Upper Secondary Level,Rural regions,Temporary job,0.06698,96,4020,0.05961,0.07423
65,65,1990,Post-secondary Non-tertiary Level,Urban regions,Permanent job,1.0,58,4020,0.82064,1.26264
66,66,1990,Post-secondary Non-tertiary Level,Rural regions,Permanent job,1.0,40,4020,0.83572,1.19484
67,67,1990,First Stage of Tertiary Education,Urban regions,Permanent job,1.0,90,4020,0.86572,1.16532
68,68,1990,First Stage of Tertiary Education,Rural regions,Permanent job,1.0,123,4020,0.93926,1.06123
69,69,1990,Second Stage of Tertiary Education,Urban regions,Permanent job,0.86994,367,4020,0.80482,0.93437
70,70,1990,Second Stage of Tertiary Education,Urban regions,Temporary job,0.13006,37,4020,0.09833,0.16314
71,71,1990,Second Stage of Tertiary Education,Rural regions,Permanent job,1.0,457,4020,0.94924,1.04732
72,72,1991,Primary Level,Urban regions,Permanent job,1.0,33,1491,0.73005,1.32817
73,73,1991,Lower Secondary Level,Urban regions,Permanent job,0.67933,130,1491,0.59506,0.76638
74,74,1991,Lower Secondary Level,Urban regions,Temporary job,0.32067,65,1491,0.2572,0.40746
75,75,1991,Lower Secondary Level,Rural regions,Permanent job,1.0,37,1491,0.83138,1.19529
76,76,1991,Upper Secondary Level,Urban regions,Permanent job,0.82959,388,1491,0.77332,0.88556
77,77,1991,Upper Secondary Level,Urban regions,Temporary job,0.17041,86,1491,0.14511,0.19961
78,78,1991,Upper Secondary Level,Rural regions,Permanent job,0.79406,271,1491,0.71928,0.87456
79,79,1991,Upper Secondary Level,Rural regions,Temporary job,0.20594,71,1491,0.18157,0.23578
80,80,1991,Post-secondary Non-tertiary Level,Urban regions,Permanent job,1.0,42,1491,0.79787,1.20125
81,81,1991,First Stage of Tertiary Education,Urban regions,Permanent job,1.0,45,1491,0.82413,1.23842
82,82,1991,First Stage of Tertiary Education,Rural regions,Permanent job,1.0,34,1491,0.82979,1.16625
83,83,1991,Second Stage of Tertiary Education,Urban regions,Permanent job,0.72724,141,1491,0.64565,0.82854
84,84,1991,Second Stage of Tertiary Education,Urban regions,Temporary job,0.27276,46,1491,0.21768,0.33341
85,85,1991,Second Stage of Tertiary Education,Rural regions,Permanent job,1.0,102,1491,0.90257,1.10561
86,86,1992,Lower Secondary Level,Urban regions,Permanent job,0.71514,120,1392,0.60402,0.81577
87,87,1992,Lower Secondary Level,Urban regions,Temporary job,0.28486,53,1392,0.21963,0.35336
88,88,1992,Lower Secondary Level,Rural regions,Permanent job,1.0,43,1392,0.83393,1.2219
89,89,1992,Upper Secondary Level,Urban regions,Permanent job,0.79238,373,1392,0.73867,0.85183
90,90,1992,Upper Secondary Level,Urban regions,Temporary job,0.20762,95,1392,0.17771,0.23369
91,91,1992,Upper Secondary Level,Rural regions,Permanent job,0.72848,260,1392,0.67249,0.79559
92,92,1992,Upper Secondary Level,Rural regions,Temporary job,0.27152,100,1392,0.22709,0.31954
93,93,1992,First Stage of Tertiary Education,Urban regions,Permanent job,1.0,43,1392,0.75219,1.26732
94,94,1992,Second Stage of Tertiary Education,Urban regions,Permanent job,0.76562,130,1392,0.68498,0.84919
95,95,1992,Second Stage of Tertiary Education,Urban regions,Temporary job,0.23438,39,1392,0.18611,0.28224
96,96,1992,Second Stage of Tertiary Education,Rural regions,Permanent job,0.74713,105,1392,0.66259,0.82759
97,97,1992,Second Stage of Tertiary Education,Rural regions,Temporary job,0.25287,31,1392,0.19164,0.33861
98,98,1993,Lower Secondary Level,Urban regions,Permanent job,0.77699,105,1245,0.64508,0.9006
99,99,1993,Lower Secondary Level,Urban regions,Temporary job,0.22301,36,1245,0.18242,0.26204
100,100,1993,Lower Secondary Level,Rural regions,Permanent job,0.46926,37,1245,0.38623,0.5535
101,101,1993,Lower Secondary Level,Rural regions,Temporary job,0.53074,31,1245,0.39956,0.68504
102,102,1993,Upper Secondary Level,Urban regions,Permanent job,0.81138,343,1245,0.74144,0.87002
103,103,1993,Upper Secondary Level,Urban regions,Temporary job,0.18862,83,1245,0.1622,0.21462
104,104,1993,Upper Secondary Level,Rural regions,Permanent job,0.75375,214,1245,0.69253,0.8307
105,105,1993,Upper Secondary Level,Rural regions,Temporary job,0.24625,69,1245,0.19837,0.30365
106,106,1993,Post-secondary Non-tertiary Level,Urban regions,Permanent job,1.0,37,1245,0.78479,1.25002
107,107,1993,First Stage of Tertiary Education,Urban regions,Permanent job,1.0,45,1245,0.84234,1.2271
108,108,1993,Second Stage of Tertiary Education,Urban regions,Permanent job,0.76044,135,1245,0.66385,0.87274
109,109,1993,Second Stage of Tertiary Education,Urban regions,Temporary job,0.23956,41,1245,0.17626,0.3042
110,110,1993,Second Stage of Tertiary Education,Rural regions,Permanent job,1.0,69,1245,0.84691,1.16885
111,111,1994,Lower Secondary Level,Urban regions,Permanent job,0.49569,65,1045,0.39936,0.60285
112,112,1994,Lower Secondary Level,Urban regions,Temporary job,0.50431,59,1045,0.40993,0.6157
113,113,1994,Lower Secondary Level,Rural regions,Temporary job,1.0,43,1045,0.75113,1.31111
114,114,1994,Upper Secondary Level,Urban regions,Permanent job,0.77147,292,1045,0.69966,0.8606
115,115,1994,Upper Secondary Level,Urban regions,Temporary job,0.22853,93,1045,0.20023,0.2657
116,116,1994,Upper Secondary Level,Rural regions,Permanent job,0.66948,171,1045,0.60395,0.74854
117,117,1994,Upper Secondary Level,Rural regions,Temporary job,0.33052,87,1045,0.27972,0.3823
118,118,1994,Post-secondary Non-tertiary Level,Urban regions,Permanent job,1.0,32,1045,0.71559,1.26222
119,119,1994,First Stage of Tertiary Education,Urban regions,Permanent job,1.0,35,1045,0.76467,1.26933
120,120,1994,Second Stage of Tertiary Education,Urban regions,Permanent job,0.71771,89,1045,0.57719,0.85223
121,121,1994,Second Stage of Tertiary Education,Urban regions,Temporary job,0.28229,42,1045,0.2351,0.33825
122,122,1994,Second Stage of Tertiary Education,Rural regions,Permanent job,1.0,37,1045,0.80912,1.1901
123,123,1995,Primary Level,Urban regions,Permanent job,1.0,172,6962,0.87352,1.15378
124,124,1995,Primary Level,Rural regions,Permanent job,1.0,33,6962,0.69749,1.27451
125,125,1995,Lower Secondary Level,Urban regions,Permanent job,0.8007,626,6962,0.75144,0.85734
126,126,1995,Lower Secondary Level,Urban regions,Temporary job,0.1993,158,6962,0.17884,0.22296
127,127,1995,Lower Secondary Level,Rural regions,Permanent job,0.60195,175,6962,0.53307,0.67814
128,128,1995,Lower Secondary Level,Rural regions,Temporary job,0.39805,127,6962,0.34528,0.46122
129,129,1995,Upper Secondary Level,Urban regions,Permanent job,0.92632,2175,6962,0.89885,0.95464
130,130,1995,Upper Secondary Level,Urban regions,Temporary job,0.07368,186,6962,0.06731,0.07968
131,131,1995,Upper Secondary Level,Rural regions,Permanent job,0.8613,1245,6962,0.83052,0.89876
132,132,1995,Upper Secondary Level,Rural regions,Temporary job,0.1387,202,6962,0.124,0.15587
133,133,1995,Post-secondary Non-tertiary Level,Urban regions,Permanent job,1.0,183,6962,0.87014,1.10989
134,134,1995,Post-secondary Non-tertiary Level,Rural regions,Permanent job,1.0,63,6962,0.85472,1.21238
135,135,1995,First Stage of Tertiary Education,Urban regions,Permanent job,1.0,275,6962,0.92941,1.08102
136,136,1995,First Stage of Tertiary Education,Rural regions,Permanent job,1.0,153,6962,0.87387,1.14959
137,137,1995,Second Stage of Tertiary Education,Urban regions,Permanent job,0.87399,662,6962,0.82056,0.92576
138,138,1995,Second Stage of Tertiary Education,Urban regions,Temporary job,0.12601,94,6962,0.10987,0.14618
139,139,1995,Second Stage of Tertiary Education,Rural regions,Permanent job,0.88826,389,6962,0.81972,0.95861
140,140,1995,Second Stage of Tertiary Education,Rural regions,Temporary job,0.11174,44,6962,0.08707,0.13093
141,141,1996,Primary Level,Urban regions,Permanent job,1.0,156,6720,0.85621,1.13045
142,142,1996,Lower Secondary Level,Urban regions,Permanent job,0.76558,548,6720,0.7215,0.81835
143,143,1996,Lower Secondary Level,Urban regions,Temporary job,0.23442,172,6720,0.20862,0.26175
144,144,1996,Lower Secondary Level,Rural regions,Permanent job,0.64734,174,6720,0.58109,0.72898
145,145,1996,Lower Secondary Level,Rural regions,Temporary job,0.35266,113,6720,0.30957,0.41127
146,146,1996,Upper Secondary Level,Urban regions,Permanent job,0.92215,2132,6720,0.89148,0.95469
147,147,1996,Upper Secondary Level,Urban regions,Temporary job,0.07785,184,6720,0.06875,0.08711
148,148,1996,Upper Secondary Level,Rural regions,Permanent job,0.89019,1233,6720,0.85829,0.93074
149,149,1996,Upper Secondary Level,Rural regions,Temporary job,0.10981,167,6720,0.0953,0.12759
150,150,1996,Post-secondary Non-tertiary Level,Urban regions,Permanent job,1.0,184,6720,0.89654,1.12757
151,151,1996,Post-secondary Non-tertiary Level,Rural regions,Permanent job,1.0,66,6720,0.80225,1.16546
152,152,1996,First Stage of Tertiary Education,Urban regions,Permanent job,1.0,278,6720,0.92852,1.08055
153,153,1996,First Stage of Tertiary Education,Rural regions,Permanent job,1.0,153,6720,0.89209,1.16266
154,154,1996,Second Stage of Tertiary Education,Urban regions,Permanent job,0.88115,661,6720,0.84015,0.93252
155,155,1996,Second Stage of Tertiary Education,Urban regions,Temporary job,0.11885,80,6720,0.10498,0.1362
156,156,1996,Second Stage of Tertiary Education,Rural regions,Permanent job,0.91259,382,6720,0.84014,0.98217
157,157,1996,Second Stage of Tertiary Education,Rural regions,Temporary job,0.08741,37,6720,0.06768,0.10929
158,158,1997,Primary Level,Urban regions,Permanent job,1.0,138,6481,0.84042,1.18733
159,159,1997,Lower Secondary Level,Urban regions,Permanent job,0.6868,477,6481,0.63734,0.74208
160,160,1997,Lower Secondary Level,Urban regions,Temporary job,0.3132,210,6481,0.27846,0.3429
161,161,1997,Lower Secondary Level,Rural regions,Permanent job,0.67634,163,6481,0.60434,0.75677
162,162,1997,Lower Secondary Level,Rural regions,Temporary job,0.32366,112,6481,0.27971,0.37805
163,163,1997,Upper Secondary Level,Urban regions,Permanent job,0.91143,2006,6481,0.8863,0.94477
164,164,1997,Upper Secondary Level,Urban regions,Temporary job,0.08857,199,6481,0.07933,0.0985
165,165,1997,Upper Secondary Level,Rural regions,Permanent job,0.88965,1173,6481,0.85198,0.92889
166,166,1997,Upper Secondary Level,Rural regions,Temporary job,0.11035,163,6481,0.09882,0.12384
167,167,1997,Post-secondary Non-tertiary Level,Urban regions,Permanent job,1.0,180,6481,0.90034,1.13587
168,168,1997,Post-secondary Non-tertiary Level,Rural regions,Permanent job,1.0,66,6481,0.80267,1.17799
169,169,1997,First Stage of Tertiary Education,Urban regions,Permanent job,1.0,274,6481,0.89137,1.07721
170,170,1997,First Stage of Tertiary Education,Rural regions,Permanent job,1.0,147,6481,0.8696,1.14234
171,171,1997,Second Stage of Tertiary Education,Urban regions,Permanent job,0.87003,656,6481,0.81196,0.92478
172,172,1997,Second Stage of Tertiary Education,Urban regions,Temporary job,0.12997,89,6481,0.10875,0.15237
173,173,1997,Second Stage of Tertiary Education,Rural regions,Permanent job,0.85577,375,6481,0.79547,0.94057
174,174,1997,Second Stage of Tertiary Education,Rural regions,Temporary job,0.14423,53,6481,0.11171,0.17825
175,175,1998,Primary Level,Urban regions,Permanent job,1.0,132,6979,0.87405,1.13878
176,176,1998,Lower Secondary Level,Urban regions,Permanent job,0.71802,508,6979,0.66044,0.75665
177,177,1998,Lower Secondary Level,Urban regions,Temporary job,0.28198,208,6979,0.24977,0.31682
178,178,1998,Lower Secondary Level,Rural regions,Permanent job,0.61424,161,6979,0.5495,0.67769
179,179,1998,Lower Secondary Level,Rural regions,Temporary job,0.38576,135,6979,0.34868,0.4179
180,180,1998,Upper Secondary Level,Urban regions,Permanent job,0.9001,2150,6979,0.87083,0.92679
181,181,1998,Upper Secondary Level,Urban regions,Temporary job,0.0999,235,6979,0.09121,0.10799
182,182,1998,Upper Secondary Level,Rural regions,Permanent job,0.89984,1279,6979,0.86732,0.93827
183,183,1998,Upper Secondary Level,Rural regions,Temporary job,0.10016,155,6979,0.09226,0.10865
184,184,1998,Post-secondary Non-tertiary Level,Urban regions,Permanent job,1.0,217,6979,0.89481,1.1079
185,185,1998,Post-secondary Non-tertiary Level,Rural regions,Permanent job,1.0,72,6979,0.83408,1.15644
186,186,1998,First Stage of Tertiary Education,Urban regions,Permanent job,1.0,299,6979,0.92911,1.08261
187,187,1998,First Stage of Tertiary Education,Rural regions,Permanent job,1.0,163,6979,0.89401,1.12451
188,188,1998,Second Stage of Tertiary Education,Urban regions,Permanent job,0.8724,720,6979,0.82815,0.92412
189,189,1998,Second Stage of Tertiary Education,Urban regions,Temporary job,0.1276,94,6979,0.10806,0.1494
190,190,1998,Second Stage of Tertiary Education,Rural regions,Permanent job,0.8994,411,6979,0.83227,0.9659
191,191,1998,Second Stage of Tertiary Education,Rural regions,Temporary job,0.1006,40,6979,0.07075,0.12943
192,192,1999,Primary Level,Urban regions,Permanent job,1.0,134,7039,0.8466,1.16826
193,193,1999,Lower Secondary Level,Urban regions,Permanent job,0.70678,495,7039,0.66333,0.75187
194,194,1999,Lower Secondary Level,Urban regions,Temporary job,0.29322,207,7039,0.26429,0.32662
195,195,1999,Lower Secondary Level,Rural regions,Permanent job,0.58916,160,7039,0.51625,0.66231
196,196,1999,Lower Secondary Level,Rural regions,Temporary job,0.41084,145,7039,0.36781,0.46997
197,197,1999,Upper Secondary Level,Urban regions,Permanent job,0.89905,2165,7039,0.86845,0.9274
198,198,1999,Upper Secondary Level,Urban regions,Temporary job,0.10095,251,7039,0.09117,0.11024
199,199,1999,Upper Secondary Level,Rural regions,Permanent job,0.87564,1251,7039,0.84732,0.91218
200,200,1999,Upper Secondary Level,Rural regions,Temporary job,0.12436,198,7039,0.11147,0.13721
201,201,1999,Post-secondary Non-tertiary Level,Urban regions,Permanent job,1.0,218,7039,0.8876,1.08925
202,202,1999,Post-secondary Non-tertiary Level,Rural regions,Permanent job,1.0,73,7039,0.84204,1.17194
203,203,1999,First Stage of Tertiary Education,Urban regions,Permanent job,1.0,289,7039,0.91474,1.1049
204,204,1999,First Stage of Tertiary Education,Rural regions,Permanent job,1.0,170,7039,0.88441,1.11596
205,205,1999,Second Stage of Tertiary Education,Urban regions,Permanent job,0.86481,731,7039,0.82204,0.90722
206,206,1999,Second Stage of Tertiary Education,Urban regions,Temporary job,0.13519,113,7039,0.11987,0.15386
207,207,1999,Second Stage of Tertiary Education,Rural regions,Permanent job,0.91321,397,7039,0.83818,0.99441
208,208,1999,Second Stage of Tertiary Education,Rural regions,Temporary job,0.08679,42,7039,0.06647,0.11079
209,209,2000,Primary Level,Urban regions,Permanent job,1.0,86,11564,0.89082,1.10384
210,210,2000,Lower Secondary Level,Urban regions,Permanent job,0.66569,561,11564,0.63467,0.69952
211,211,2000,Lower Secondary Level,Urban regions,Temporary job,0.33431,292,11564,0.31478,0.35461
212,212,2000,Lower Secondary Level,Rural regions,Permanent job,0.4899,179,11564,0.45322,0.52632
213,213,2000,Lower Secondary Level,Rural regions,Temporary job,0.5101,240,11564,0.4756,0.55353
214,214,2000,Upper Secondary Level,Urban regions,Permanent job,0.89584,3515,11564,0.87996,0.91059
215,215,2000,Upper Secondary Level,Urban regions,Temporary job,0.10416,390,11564,0.0973,0.10982
216,216,2000,Upper Secondary Level,Rural regions,Permanent job,0.87814,2040,11564,0.8571,0.89719
217,217,2000,Upper Secondary Level,Rural regions,Temporary job,0.12186,306,11564,0.11462,0.12956
218,218,2000,Post-secondary Non-tertiary Level,Urban regions,Permanent job,0.88266,443,11564,0.83162,0.93673
219,219,2000,Post-secondary Non-tertiary Level,Urban regions,Temporary job,0.11734,60,11564,0.10077,0.13454
220,220,2000,Post-secondary Non-tertiary Level,Rural regions,Permanent job,1.0,130,11564,0.8896,1.12119
221,221,2000,First Stage of Tertiary Education,Urban regions,Permanent job,0.95225,631,11564,0.91417,0.9971
222,222,2000,First Stage of Tertiary Education,Urban regions,Temporary job,0.04775,38,11564,0.04001,0.05592
223,223,2000,First Stage of Tertiary Education,Rural regions,Permanent job,1.0,331,11564,0.93233,1.07502
224,224,2000,Second Stage of Tertiary Education,Urban regions,Permanent job,0.87287,1429,11564,0.8447,0.89725
225,225,2000,Second Stage of Tertiary Education,Urban regions,Temporary job,0.12713,181,11564,0.11753,0.13914
226,226,2000,Second Stage of Tertiary Education,Rural regions,Permanent job,0.88362,632,11564,0.8381,0.92615
227,227,2000,Second Stage of Tertiary Education,Rural regions,Temporary job,0.11638,80,11564,0.10595,0.12939
228,228,2001,Primary Level,Urban regions,Permanent job,1.0,77,10432,0.86841,1.13477
229,229,2001,Lower Secondary Level,Urban regions,Permanent job,0.63168,493,10432,0.5983,0.66786
230,230,2001,Lower Secondary Level,Urban regions,Temporary job,0.36832,282,10432,0.33928,0.39262
231,231,2001,Lower Secondary Level,Rural regions,Permanent job,0.48532,153,10432,0.43443,0.55104
232,232,2001,Lower Secondary Level,Rural regions,Temporary job,0.51468,203,10432,0.4687,0.56152
233,233,2001,Upper Secondary Level,Urban regions,Permanent job,0.90828,3190,10432,0.88688,0.92829
234,234,2001,Upper Secondary Level,Urban regions,Temporary job,0.09172,340,10432,0.0859,0.09775
235,235,2001,Upper Secondary Level,Rural regions,Permanent job,0.8764,1816,10432,0.85449,0.90106
236,236,2001,Upper Secondary Level,Rural regions,Temporary job,0.1236,285,10432,0.11472,0.13464
237,237,2001,Post-secondary Non-tertiary Level,Urban regions,Permanent job,0.9061,441,10432,0.8495,0.96572
238,238,2001,Post-secondary Non-tertiary Level,Urban regions,Temporary job,0.0939,43,10432,0.07903,0.11472
239,239,2001,Post-secondary Non-tertiary Level,Rural regions,Permanent job,1.0,115,10432,0.87159,1.13895
240,240,2001,First Stage of Tertiary Education,Urban regions,Permanent job,1.0,572,10432,0.94999,1.05137
241,241,2001,First Stage of Tertiary Education,Rural regions,Permanent job,1.0,269,10432,0.91796,1.07699
242,242,2001,Second Stage of Tertiary Education,Urban regions,Permanent job,0.88349,1334,10432,0.85204,0.91706
243,243,2001,Second Stage of Tertiary Education,Urban regions,Temporary job,0.11651,151,10432,0.10335,0.12704
244,244,2001,Second Stage of Tertiary Education,Rural regions,Permanent job,0.90264,608,10432,0.85251,0.95123
245,245,2001,Second Stage of Tertiary Education,Rural regions,Temporary job,0.09736,60,10432,0.08454,0.10886
246,246,2002,Primary Level,Urban regions,Permanent job,1.0,60,10926,0.84145,1.18546
247,247,2002,Lower Secondary Level,Urban regions,Permanent job,0.63202,437,10926,0.58704,0.67871
248,248,2002,Lower Secondary Level,Urban regions,Temporary job,0.36798,261,10926,0.32917,0.40951
249,249,2002,Lower Secondary Level,Rural regions,Permanent job,0.45981,134,10926,0.4019,0.51995
250,250,2002,Lower Secondary Level,Rural regions,Temporary job,0.54019,190,10926,0.48096,0.60662
251,251,2002,Upper Secondary Level,Urban regions,Permanent job,0.90647,3134,10926,0.88415,0.93302
252,252,2002,Upper Secondary Level,Urban regions,Temporary job,0.09353,347,10926,0.08587,0.10101
253,253,2002,Upper Secondary Level,Rural regions,Permanent job,0.89583,1818,10926,0.86641,0.92815
254,254,2002,Upper Secondary Level,Rural regions,Temporary job,0.10417,235,10926,0.09385,0.1143
255,255,2002,Post-secondary Non-tertiary Level,Urban regions,Permanent job,0.89206,481,10926,0.83912,0.94666
256,256,2002,Post-secondary Non-tertiary Level,Urban regions,Temporary job,0.10794,54,10926,0.08141,0.13282
257,257,2002,Post-secondary Non-tertiary Level,Rural regions,Permanent job,1.0,142,10926,0.8676,1.14335
258,258,2002,First Stage of Tertiary Education,Urban regions,Permanent job,1.0,608,10926,0.92957,1.07315
259,259,2002,First Stage of Tertiary Education,Rural regions,Permanent job,1.0,290,10926,0.91261,1.09523
260,260,2002,Second Stage of Tertiary Education,Urban regions,Permanent job,0.88898,1783,10926,0.84972,0.93002
261,261,2002,Second Stage of Tertiary Education,Urban regions,Temporary job,0.11102,181,10926,0.0998,0.12281
262,262,2002,Second Stage of Tertiary Education,Rural regions,Permanent job,0.88254,698,10926,0.82188,0.95729
263,263,2002,Second Stage of Tertiary Education,Rural regions,Temporary job,0.11746,73,10926,0.1,0.14156
264,264,2003,Primary Level,Urban regions,Permanent job,1.0,54,10216,0.82184,1.1814
265,265,2003,Lower Secondary Level,Urban regions,Permanent job,0.61002,406,10216,0.55514,0.66011
266,266,2003,Lower Secondary Level,Urban regions,Temporary job,0.38998,270,10216,0.35627,0.43064
267,267,2003,Lower Secondary Level,Rural regions,Permanent job,0.49554,127,10216,0.42175,0.57377
268,268,2003,Lower Secondary Level,Rural regions,Temporary job,0.50446,165,10216,0.45327,0.58595
269,269,2003,Upper Secondary Level,Urban regions,Permanent job,0.91471,2976,10216,0.88952,0.93743
270,270,2003,Upper Secondary Level,Urban regions,Temporary job,0.08529,304,10216,0.07782,0.09301
271,271,2003,Upper Secondary Level,Rural regions,Permanent job,0.89564,1672,10216,0.86021,0.92686
272,272,2003,Upper Secondary Level,Rural regions,Temporary job,0.10436,215,10216,0.09533,0.11513
273,273,2003,Post-secondary Non-tertiary Level,Urban regions,Permanent job,0.85986,464,10216,0.7957,0.92113
274,274,2003,Post-secondary Non-tertiary Level,Urban regions,Temporary job,0.14014,62,10216,0.11004,0.16959
