year,sampreg,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,East,Temporary job,0.07043,347,2034,0.05931,0.08155
1996,West,Permanent job,0.35509,4456,4993,0.34181,0.36836
1996,West,Temporary job,0.04253,537,4993,0.03694,0.04813
1996,East,Permanent job,0.32791,1647,1972,0.30719,0.34864
1996,East,Temporary job,0.06192,325,1972,0.05128,0.07256
1997,West,Permanent job,0.34414,4226,4848,0.33076,0.35751
1997,West,Temporary job,0.04989,622,4848,0.04376,0.05602
1997,East,Permanent job,0.31404,1556,1890,0.29311,0.33497
1997,East,Temporary job,0.06366,334,1890,0.05265,0.07467
1998,West,Permanent job,0.34832,4740,5415,0.33562,0.36101
1998,West,Temporary job,0.04830,675,5415,0.04259,0.05402
1998,East,Permanent job,0.31138,1629,1982,0.29099,0.33177
1998,East,Temporary job,0.06793,353,1982,0.05685,0.07902
1999,West,Permanent job,0.35575,4627,5327,0.34289,0.36860
1999,West,Temporary job,0.05263,700,5327,0.04663,0.05863
1999,East,Permanent job,0.31688,1590,1987,0.29642,0.33735
1999,East,Temporary job,0.07378,397,1987,0.06228,0.08528
2000,West,Permanent job,0.33506,7718,8853,0.32523,0.34489
2000,West,Temporary job,0.04963,1135,8853,0.04510,0.05415
2000,East,Permanent job,0.30446,2296,2827,0.28749,0.32143
2000,East,Temporary job,0.06788,531,2827,0.05861,0.07716
2001,West,Permanent job,0.33455,7003,7999,0.32421,0.34489
2001,West,Temporary job,0.04739,996,7999,0.04274,0.05205
2001,East,Permanent job,0.30678,2118,2627,0.28914,0.32442
2001,East,Temporary job,0.07267,509,2627,0.06274,0.08259
2002,West,Permanent job,0.32743,7502,8562,0.31749,0.33737
2002,West,Temporary job,0.04818,1060,8562,0.04364,0.05272
2002,East,Permanent job,0.29542,2140,2593,0.27786,0.31299
2002,East,Temporary job,0.06780,453,2593,0.05812,0.07748
2003,West,Permanent job,0.32057,6975,8001,0.31034,0.33079
2003,West,Temporary job,0.04826,1026,8001,0.04356,0.05296
2003,East,Permanent job,0.29338,2038,2452,0.27535,0.31140
2003,East,Temporary job,0.06140,414,2452,0.05190,0.07091
2004,West,Permanent job,0.31682,6686,7682,0.30641,0.32722
2004,West,Temporary job,0.04960,996,7682,0.04474,0.05445
2004,East,Permanent job,0.28503,1952,2392,0.26693,0.30312
2004,East,Temporary job,0.06845,440,2392,0.05833,0.07857
2005,West,Permanent job,0.33203,6543,7444,0.32133,0.34273
2005,West,Temporary job,0.05028,901,7444,0.04532,0.05525
2005,East,Permanent job,0.29006,1907,2283,0.27144,0.30868
2005,East,Temporary job,0.06678,376,2283,0.05654,0.07702
2006,West,Permanent job,0.32539,6824,7814,0.31501,0.33578
2006,West,Temporary job,0.05274,990,7814,0.04778,0.05769
2006,East,Permanent job,0.28591,1962,2378,0.26774,0.30407
2006,East,Temporary job,0.07210,416,2378,0.06170,0.08250
2007,West,Permanent job,0.33322,6443,7432,0.32250,0.34393
2007,West,Temporary job,0.05616,989,7432,0.05093,0.06139
2007,East,Permanent job,0.29959,1901,2312,0.28091,0.31827
2007,East,Temporary job,0.07499,411,2312,0.06425,0.08573
2008,West,Permanent job,0.34558,6138,7113,0.33453,0.35664
2008,West,Temporary job,0.06128,975,7113,0.05570,0.06685
2008,East,Permanent job,0.32035,1872,2258,0.30110,0.33960
2008,East,Temporary job,0.07317,386,2258,0.06242,0.08391
2009,West,Permanent job,0.34913,5675,6584,0.33762,0.36065
2009,West,Temporary job,0.06095,909,6584,0.05517,0.06673
2009,East,Permanent job,0.31735,1764,2140,0.29763,0.33708
2009,East,Temporary job,0.07644,376,2140,0.06518,0.08770
2010,West,Permanent job,0.35227,7961,9324,0.34257,0.36196
2010,West,Temporary job,0.06227,1363,9324,0.05737,0.06718
2010,East,Permanent job,0.33229,2192,2673,0.31443,0.35015
2010,East,Temporary job,0.08397,481,2673,0.07345,0.09449
2011,West,Permanent job,0.34860,9819,11445,0.33987,0.35733
2011,West,Temporary job,0.06415,1626,11445,0.05966,0.06864
2011,East,Permanent job,0.33999,2592,3136,0.32341,0.35657
2011,East,Temporary job,0.07684,544,3136,0.06752,0.08617
2012,West,Permanent job,0.35425,9612,11332,0.34544,0.36305
2012,West,Temporary job,0.06651,1720,11332,0.06192,0.07109
2012,East,Permanent job,0.34217,2568,3101,0.32546,0.35887
2012,East,Temporary job,0.06957,533,3101,0.06061,0.07853
2013,West,Permanent job,0.34835,10914,13234,0.34023,0.35647
2013,West,Temporary job,0.06763,2320,13234,0.06335,0.07191
2013,East,Permanent job,0.34487,2529,3091,0.32811,0.36163
2013,East,Temporary job,0.07314,562,3091,0.06396,0.08233
2014,West,Permanent job,0.35146,9665,11654,0.34279,0.36012
2014,West,Temporary job,0.07184,1989,11654,0.06715,0.07653
2014,East,Permanent job,0.34011,2290,2776,0.32249,0.35774
2014,East,Temporary job,0.07442,486,2776,0.06465,0.08418
2015,West,Permanent job,0.35932,9608,11706,0.35063,0.36801
2015,West,Temporary job,0.07287,2098,11706,0.06816,0.07758
2015,East,Permanent job,0.35381,2228,2691,0.33574,0.37188
2015,East,Temporary job,0.07057,463,2691,0.06089,0.08025
2016,West,Permanent job,0.35836,8752,10814,0.34932,0.36740
2016,West,Temporary job,0.07512,2062,10814,0.07015,0.08009
2016,East,Permanent job,0.35315,2134,2592,0.33475,0.37155
2016,East,Temporary job,0.07176,458,2592,0.06182,0.08169
2017,West,Permanent job,0.36525,10009,12336,0.35675,0.37374
2017,West,Temporary job,0.07504,2327,12336,0.07039,0.07969
2017,East,Permanent job,0.36855,2508,2989,0.35125,0.38585
2017,East,Temporary job,0.06419,481,2989,0.05540,0.07298
2018,West,Permanent job,0.37622,9691,12073,0.36758,0.38486
2018,West,Temporary job,0.07522,2382,12073,0.07052,0.07993
2018,East,Permanent job,0.37460,2499,2997,0.35727,0.39193
2018,East,Temporary job,0.06192,498,2997,0.05329,0.07055
2019,West,Permanent job,0.38145,9357,11665,0.37263,0.39026
2019,West,Temporary job,0.07265,2308,11665,0.06794,0.07736
2019,East,Permanent job,0.37693,2402,2869,0.35920,0.39467
2019,East,Temporary job,0.05911,467,2869,0.05048,0.06775
2020,West,Permanent job,0.38082,9952,12670,0.37236,0.38927
2020,West,Temporary job,0.06847,2718,12670,0.06407,0.07287
2020,East,Permanent job,0.39149,2402,2871,0.37363,0.40935
2020,East,Temporary job,0.05484,469,2871,0.04651,0.06317
2021,West,Permanent job,0.38762,6800,8253,0.37711,0.39813
2021,West,Temporary job,0.06437,1453,8253,0.05907,0.06966
2021,East,Permanent job,0.39289,1700,1949,0.37120,0.41458
2021,East,Temporary job,0.04744,249,1949,0.03800,0.05688
2022,West,Permanent job,0.39718,11152,13413,0.38890,0.40546
2022,West,Temporary job,0.05888,2261,13413,0.05490,0.06287
2022,East,Permanent job,0.39177,2886,3372,0.37529,0.40825
2022,East,Temporary job,0.05284,486,3372,0.04529,0.06039
