,Unnamed: 0,year,migback,sex,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
81,81,1995,Direct migration background,female,Temporary job,0.09746,54,7176,0.07622,0.1183
82,82,1995,Indirect migration background,male,Permanent job,0.60199,97,7176,0.48688,0.73502
83,83,1995,Indirect migration background,male,Temporary job,0.39801,55,7176,0.31273,0.49595
84,84,1995,Indirect migration background,female,Permanent job,0.66539,92,7176,0.52381,0.8375
85,85,1995,Indirect migration background,female,Temporary job,0.33461,44,7176,0.24079,0.43047
86,86,1996,No migration background,male,Permanent job,0.89713,2607,6965,0.87461,0.91903
87,87,1996,No migration background,male,Temporary job,0.10287,313,6965,0.09158,0.11242
88,88,1996,No migration background,female,Permanent job,0.87709,2094,6965,0.85208,0.90211
89,89,1996,No migration background,female,Temporary job,0.12291,330,6965,0.11305,0.13373
90,90,1996,Direct migration background,male,Permanent job,0.89405,734,6965,0.8325,0.9681
91,91,1996,Direct migration background,male,Temporary job,0.10595,65,6965,0.08151,0.13275
92,92,1996,Direct migration background,female,Permanent job,0.88155,473,6965,0.80806,0.95389
93,93,1996,Direct migration background,female,Temporary job,0.11845,60,6965,0.09829,0.14445
94,94,1996,Indirect migration background,male,Permanent job,0.59516,105,6965,0.49366,0.73876
95,95,1996,Indirect migration background,male,Temporary job,0.40484,49,6965,0.28627,0.51994
96,96,1996,Indirect migration background,female,Permanent job,0.67303,90,6965,0.53978,0.83014
97,97,1996,Indirect migration background,female,Temporary job,0.32697,45,6965,0.26324,0.41127
98,98,1997,No migration background,male,Permanent job,0.8779,2442,6738,0.85248,0.90191
99,99,1997,No migration background,male,Temporary job,0.1221,372,6738,0.11201,0.13211
100,100,1997,No migration background,female,Permanent job,0.86779,2015,6738,0.83628,0.90134
101,101,1997,No migration background,female,Temporary job,0.13221,337,6738,0.12109,0.14399
102,102,1997,Direct migration background,male,Permanent job,0.86864,691,6738,0.8024,0.94841
103,103,1997,Direct migration background,male,Temporary job,0.13136,75,6738,0.10952,0.15528
104,104,1997,Direct migration background,female,Permanent job,0.89248,426,6738,0.80604,0.98365
105,105,1997,Direct migration background,female,Temporary job,0.10752,50,6738,0.08204,0.13741
106,106,1997,Indirect migration background,male,Permanent job,0.57774,113,6738,0.43383,0.71581
107,107,1997,Indirect migration background,male,Temporary job,0.42226,66,6738,0.3431,0.5047
108,108,1997,Indirect migration background,female,Permanent job,0.5435,95,6738,0.42745,0.67233
109,109,1997,Indirect migration background,female,Temporary job,0.4565,56,6738,0.36324,0.55748
110,110,1998,No migration background,male,Permanent job,0.87505,2804,7397,0.85544,0.89368
111,111,1998,No migration background,male,Temporary job,0.12495,416,7397,0.11539,0.13463
112,112,1998,No migration background,female,Permanent job,0.87928,2290,7397,0.8537,0.90313
113,113,1998,No migration background,female,Temporary job,0.12072,354,7397,0.11312,0.1286
114,114,1998,Direct migration background,male,Permanent job,0.86463,654,7397,0.80854,0.92566
115,115,1998,Direct migration background,male,Temporary job,0.13537,78,7397,0.11128,0.15695
116,116,1998,Direct migration background,female,Permanent job,0.87461,409,7397,0.79482,0.96323
117,117,1998,Direct migration background,female,Temporary job,0.12539,60,7397,0.10031,0.15231
118,118,1998,Indirect migration background,male,Permanent job,0.58895,112,7397,0.49231,0.7363
119,119,1998,Indirect migration background,male,Temporary job,0.41105,62,7397,0.30512,0.5279
120,120,1998,Indirect migration background,female,Permanent job,0.59014,100,7397,0.4884,0.71082
121,121,1998,Indirect migration background,female,Temporary job,0.40986,58,7397,0.32235,0.50458
122,122,1999,No migration background,male,Permanent job,0.86699,2712,7314,0.84524,0.892
123,123,1999,No migration background,male,Temporary job,0.13301,448,7314,0.12395,0.14038
124,124,1999,No migration background,female,Permanent job,0.86992,2288,7314,0.84043,0.89454
125,125,1999,No migration background,female,Temporary job,0.13008,398,7314,0.1209,0.13911
126,126,1999,Direct migration background,male,Permanent job,0.85654,601,7314,0.79631,0.9251
127,127,1999,Direct migration background,male,Temporary job,0.14346,70,7314,0.12332,0.17003
128,128,1999,Direct migration background,female,Permanent job,0.88706,381,7314,0.81394,0.9709
129,129,1999,Direct migration background,female,Temporary job,0.11294,58,7314,0.08767,0.13442
130,130,1999,Indirect migration background,male,Permanent job,0.57092,125,7314,0.46952,0.6834
131,131,1999,Indirect migration background,male,Temporary job,0.42908,72,7314,0.34782,0.51681
132,132,1999,Indirect migration background,female,Permanent job,0.69129,110,7314,0.57288,0.83222
133,133,1999,Indirect migration background,female,Temporary job,0.30871,51,7314,0.24546,0.38181
134,134,2000,No migration background,male,Permanent job,0.8766,4613,11680,0.86146,0.89321
135,135,2000,No migration background,male,Temporary job,0.1234,677,11680,0.11749,0.13004
136,136,2000,No migration background,female,Permanent job,0.85805,3731,11680,0.84123,0.87433
137,137,2000,No migration background,female,Temporary job,0.14195,655,11680,0.13628,0.14802
138,138,2000,Direct migration background,male,Permanent job,0.85334,820,11680,0.81111,0.89016
139,139,2000,Direct migration background,male,Temporary job,0.14666,110,11680,0.13304,0.16161
140,140,2000,Direct migration background,female,Permanent job,0.85308,550,11680,0.80557,0.9064
141,141,2000,Direct migration background,female,Temporary job,0.14692,93,11680,0.1276,0.16411
142,142,2000,Indirect migration background,male,Permanent job,0.65851,164,11680,0.55827,0.74561
143,143,2000,Indirect migration background,male,Temporary job,0.34149,85,11680,0.28735,0.39641
144,144,2000,Indirect migration background,female,Permanent job,0.76249,136,11680,0.68442,0.86497
145,145,2000,Indirect migration background,female,Temporary job,0.23751,46,11680,0.18848,0.2985
146,146,2001,No migration background,male,Permanent job,0.88905,4166,10626,0.87279,0.90552
147,147,2001,No migration background,male,Temporary job,0.11095,569,10626,0.10565,0.11632
148,148,2001,No migration background,female,Permanent job,0.85463,3431,10626,0.83874,0.87154
149,149,2001,No migration background,female,Temporary job,0.14537,626,10626,0.13853,0.15419
150,150,2001,Direct migration background,male,Permanent job,0.86222,734,10626,0.81457,0.90729
151,151,2001,Direct migration background,male,Temporary job,0.13778,96,10626,0.12171,0.15176
152,152,2001,Direct migration background,female,Permanent job,0.82236,503,10626,0.77338,0.87545
153,153,2001,Direct migration background,female,Temporary job,0.17764,83,10626,0.15155,0.20403
154,154,2001,Indirect migration background,male,Permanent job,0.62857,149,10626,0.54327,0.71576
155,155,2001,Indirect migration background,male,Temporary job,0.37143,88,10626,0.31326,0.4317
156,156,2001,Indirect migration background,female,Permanent job,0.75328,138,10626,0.64705,0.86285
157,157,2001,Indirect migration background,female,Temporary job,0.24672,43,10626,0.19533,0.29253
158,158,2002,No migration background,male,Permanent job,0.8841,4428,11155,0.86414,0.90471
159,159,2002,No migration background,male,Temporary job,0.1159,599,11155,0.10816,0.12311
160,160,2002,No migration background,female,Permanent job,0.8616,3795,11155,0.83713,0.8854
161,161,2002,No migration background,female,Temporary job,0.1384,619,11155,0.12713,0.14534
162,162,2002,Direct migration background,male,Permanent job,0.86389,674,11155,0.80938,0.92162
163,163,2002,Direct migration background,male,Temporary job,0.13611,85,11155,0.11342,0.16125
164,164,2002,Direct migration background,female,Permanent job,0.79676,466,11155,0.73293,0.85065
165,165,2002,Direct migration background,female,Temporary job,0.20324,84,11155,0.17107,0.23108
166,166,2002,Indirect migration background,male,Permanent job,0.5935,139,11155,0.50466,0.68244
167,167,2002,Indirect migration background,male,Temporary job,0.4065,78,11155,0.32406,0.4887
168,168,2002,Indirect migration background,female,Permanent job,0.69406,140,11155,0.59836,0.78837
169,169,2002,Indirect migration background,female,Temporary job,0.30594,48,11155,0.25253,0.38982
170,170,2003,No migration background,male,Permanent job,0.87551,4086,10453,0.85365,0.89643
171,171,2003,No migration background,male,Temporary job,0.12449,603,10453,0.11654,0.13277
172,172,2003,No migration background,female,Permanent job,0.86854,3596,10453,0.84594,0.89087
173,173,2003,No migration background,female,Temporary job,0.13146,559,10453,0.12361,0.14104
174,174,2003,Direct migration background,male,Permanent job,0.87558,597,10453,0.82149,0.93228
175,175,2003,Direct migration background,male,Temporary job,0.12442,71,10453,0.10256,0.14816
176,176,2003,Direct migration background,female,Permanent job,0.80332,444,10453,0.73326,0.8667
177,177,2003,Direct migration background,female,Temporary job,0.19668,88,10453,0.16341,0.23257
178,178,2003,Indirect migration background,male,Permanent job,0.66362,157,10453,0.57143,0.75355
179,179,2003,Indirect migration background,male,Temporary job,0.33638,59,10453,0.2777,0.4073
180,180,2003,Indirect migration background,female,Permanent job,0.70561,133,10453,0.6153,0.842
181,181,2003,Indirect migration background,female,Temporary job,0.29439,60,10453,0.23077,0.35679
182,182,2004,No migration background,male,Permanent job,0.87485,3862,10074,0.84949,0.90002
183,183,2004,No migration background,male,Temporary job,0.12515,604,10074,0.11807,0.13496
184,184,2004,No migration background,female,Permanent job,0.84817,3492,10074,0.82551,0.87041
185,185,2004,No migration background,female,Temporary job,0.15183,595,10074,0.14214,0.16195
186,186,2004,Direct migration background,male,Permanent job,0.87029,556,10074,0.81697,0.92865
187,187,2004,Direct migration background,male,Temporary job,0.12971,62,10074,0.10377,0.15704
188,188,2004,Direct migration background,female,Permanent job,0.86043,440,10074,0.79107,0.93143
189,189,2004,Direct migration background,female,Temporary job,0.13957,56,10074,0.11299,0.1736
190,190,2004,Indirect migration background,male,Permanent job,0.62557,154,10074,0.54532,0.69969
191,191,2004,Indirect migration background,male,Temporary job,0.37443,65,10074,0.31429,0.44289
192,192,2004,Indirect migration background,female,Permanent job,0.67585,134,10074,0.56236,0.77845
193,193,2004,Indirect migration background,female,Temporary job,0.32415,54,10074,0.24349,0.41884
194,194,2005,No migration background,male,Permanent job,0.87659,3852,9727,0.85147,0.90072
195,195,2005,No migration background,male,Temporary job,0.12341,522,9727,0.11451,0.13264
196,196,2005,No migration background,female,Permanent job,0.8549,3365,9727,0.83222,0.87879
197,197,2005,No migration background,female,Temporary job,0.1451,533,9727,0.13322,0.15773
198,198,2005,Direct migration background,male,Permanent job,0.85212,507,9727,0.78513,0.90913
199,199,2005,Direct migration background,male,Temporary job,0.14788,55,9727,0.11605,0.18588
200,200,2005,Direct migration background,female,Permanent job,0.87962,431,9727,0.81867,0.93854
201,201,2005,Direct migration background,female,Temporary job,0.12038,50,9727,0.09414,0.15081
202,202,2005,Indirect migration background,male,Permanent job,0.67088,160,9727,0.58773,0.75756
203,203,2005,Indirect migration background,male,Temporary job,0.32912,63,9727,0.25379,0.41624
204,204,2005,Indirect migration background,female,Permanent job,0.70996,135,9727,0.6078,0.84543
205,205,2005,Indirect migration background,female,Temporary job,0.29004,54,9727,0.24022,0.34274
206,206,2006,No migration background,male,Permanent job,0.86775,3972,10192,0.84447,0.8955
207,207,2006,No migration background,male,Temporary job,0.13225,569,10192,0.12417,0.14278
208,208,2006,No migration background,female,Permanent job,0.84935,3601,10192,0.82457,0.87336
209,209,2006,No migration background,female,Temporary job,0.15065,576,10192,0.13915,0.16263
210,210,2006,Direct migration background,male,Permanent job,0.85178,505,10192,0.80037,0.92192
211,211,2006,Direct migration background,male,Temporary job,0.14822,68,10192,0.11919,0.17589
212,212,2006,Direct migration background,female,Permanent job,0.86554,423,10192,0.80507,0.92449
213,213,2006,Direct migration background,female,Temporary job,0.13446,60,10192,0.109,0.15877
214,214,2006,Indirect migration background,male,Permanent job,0.68735,152,10192,0.59745,0.77923
215,215,2006,Indirect migration background,male,Temporary job,0.31265,65,10192,0.25416,0.37799
216,216,2006,Indirect migration background,female,Permanent job,0.62632,133,10192,0.53633,0.71135
217,217,2006,Indirect migration background,female,Temporary job,0.37368,68,10192,0.29445,0.46259
218,218,2007,No migration background,male,Permanent job,0.86834,3797,9744,0.84496,0.89707
219,219,2007,No migration background,male,Temporary job,0.13166,559,9744,0.12114,0.1412
220,220,2007,No migration background,female,Permanent job,0.8394,3425,9744,0.81338,0.86346
221,221,2007,No migration background,female,Temporary job,0.1606,576,9744,0.1477,0.17116
222,222,2007,Direct migration background,male,Permanent job,0.85244,437,9744,0.78562,0.92579
223,223,2007,Direct migration background,male,Temporary job,0.14756,66,9744,0.12011,0.17568
224,224,2007,Direct migration background,female,Permanent job,0.84418,379,9744,0.7605,0.91774
225,225,2007,Direct migration background,female,Temporary job,0.15582,63,9744,0.13338,0.18285
226,226,2007,Indirect migration background,male,Permanent job,0.66612,153,9744,0.58215,0.75456
227,227,2007,Indirect migration background,male,Temporary job,0.33388,74,9744,0.2641,0.41173
228,228,2007,Indirect migration background,female,Permanent job,0.71986,153,9744,0.62072,0.83762
229,229,2007,Indirect migration background,female,Temporary job,0.28014,62,9744,0.21325,0.34031
230,230,2008,No migration background,male,Permanent job,0.87248,3659,9371,0.84824,0.89634
231,231,2008,No migration background,male,Temporary job,0.12752,514,9371,0.11796,0.1373
232,232,2008,No migration background,female,Permanent job,0.82329,3271,9371,0.79754,0.85373
233,233,2008,No migration background,female,Temporary job,0.17671,601,9371,0.16453,0.19058
234,234,2008,Direct migration background,male,Permanent job,0.86413,411,9371,0.80499,0.92966
235,235,2008,Direct migration background,male,Temporary job,0.13587,56,9371,0.10916,0.16184
236,236,2008,Direct migration background,female,Permanent job,0.83513,351,9371,0.76847,0.90185
237,237,2008,Direct migration background,female,Temporary job,0.16487,64,9371,0.13953,0.19562
238,238,2008,Indirect migration background,male,Permanent job,0.70032,167,9371,0.60883,0.82585
239,239,2008,Indirect migration background,male,Temporary job,0.29968,68,9371,0.23576,0.38145
240,240,2008,Indirect migration background,female,Permanent job,0.76139,151,9371,0.61856,0.88073
241,241,2008,Indirect migration background,female,Temporary job,0.23861,58,9371,0.19092,0.29675
242,242,2009,No migration background,male,Permanent job,0.86675,3345,8724,0.83583,0.89373
243,243,2009,No migration background,male,Temporary job,0.13325,509,8724,0.11994,0.14668
244,244,2009,No migration background,female,Permanent job,0.83222,3142,8724,0.80294,0.86178
245,245,2009,No migration background,female,Temporary job,0.16778,562,8724,0.1533,0.18463
246,246,2009,Direct migration background,male,Permanent job,0.85747,339,8724,0.76683,0.94459
247,247,2009,Direct migration background,male,Temporary job,0.14253,48,8724,0.10911,0.17863
248,248,2009,Direct migration background,female,Permanent job,0.8611,311,8724,0.78206,0.95795
249,249,2009,Direct migration background,female,Temporary job,0.1389,48,8724,0.11172,0.16753
250,250,2009,Indirect migration background,male,Permanent job,0.70444,158,8724,0.57549,0.83819
251,251,2009,Indirect migration background,male,Temporary job,0.29556,62,8724,0.22986,0.3938
252,252,2009,Indirect migration background,female,Permanent job,0.74554,144,8724,0.62939,0.8756
253,253,2009,Indirect migration background,female,Temporary job,0.25446,56,8724,0.19237,0.31868
254,254,2010,No migration background,male,Permanent job,0.86328,4500,11997,0.83305,0.8961
255,255,2010,No migration background,male,Temporary job,0.13672,662,11997,0.12367,0.14954
256,256,2010,No migration background,female,Permanent job,0.83135,4129,11997,0.79943,0.8656
257,257,2010,No migration background,female,Temporary job,0.16865,816,11997,0.15461,0.18163
258,258,2010,Direct migration background,male,Permanent job,0.86163,663,11997,0.77525,0.94244
259,259,2010,Direct migration background,male,Temporary job,0.13837,113,11997,0.10209,0.17776
260,260,2010,Direct migration background,female,Permanent job,0.81071,424,11997,0.73189,0.8892
261,261,2010,Direct migration background,female,Temporary job,0.18929,105,11997,0.14453,0.24372
262,262,2010,Indirect migration background,male,Permanent job,0.71775,243,11997,0.58622,0.90833
263,263,2010,Indirect migration background,male,Temporary job,0.28225,78,11997,0.20427,0.36595
264,264,2010,Indirect migration background,female,Permanent job,0.71991,194,11997,0.61979,0.8606
265,265,2010,Indirect migration background,female,Temporary job,0.28009,70,11997,0.20206,0.37902
266,266,2011,No migration background,male,Permanent job,0.86159,5299,14581,0.83754,0.88791
267,267,2011,No migration background,male,Temporary job,0.13841,760,14581,0.1293,0.15017
268,268,2011,No migration background,female,Permanent job,0.83288,5270,14581,0.80669,0.86183
269,269,2011,No migration background,female,Temporary job,0.16712,974,14581,0.15229,0.18097
270,270,2011,Direct migration background,male,Permanent job,0.86435,727,14581,0.79116,0.94913
271,271,2011,Direct migration background,male,Temporary job,0.13565,118,14581,0.10995,0.17115
272,272,2011,Direct migration background,female,Permanent job,0.8088,563,14581,0.7422,0.88737
273,273,2011,Direct migration background,female,Temporary job,0.1912,144,14581,0.15847,0.23261
274,274,2011,Indirect migration background,male,Permanent job,0.66998,285,14581,0.57009,0.76615
275,275,2011,Indirect migration background,male,Temporary job,0.33002,86,14581,0.24676,0.41996
276,276,2011,Indirect migration background,female,Permanent job,0.73852,267,14581,0.64073,0.85544
277,277,2011,Indirect migration background,female,Temporary job,0.26148,88,14581,0.19066,0.32526
278,278,2012,No migration background,male,Permanent job,0.85944,5045,14433,0.83637,0.88917
279,279,2012,No migration background,male,Temporary job,0.14056,784,14433,0.13054,0.1499
280,280,2012,No migration background,female,Permanent job,0.83978,5258,14433,0.81306,0.86488
281,281,2012,No migration background,female,Temporary job,0.16022,993,14433,0.14625,0.17228
282,282,2012,Direct migration background,male,Permanent job,0.87446,724,14433,0.79576,0.95401
283,283,2012,Direct migration background,male,Temporary job,0.12554,124,14433,0.10422,0.14739
284,284,2012,Direct migration background,female,Permanent job,0.79123,612,14433,0.73225,0.86694
285,285,2012,Direct migration background,female,Temporary job,0.20877,167,14433,0.16696,0.2402
286,286,2012,Indirect migration background,male,Permanent job,0.65895,279,14433,0.57196,0.74306
287,287,2012,Indirect migration background,male,Temporary job,0.34105,104,14433,0.26,0.41654
288,288,2012,Indirect migration background,female,Permanent job,0.74866,262,14433,0.59993,0.85766
289,289,2012,Indirect migration background,female,Temporary job,0.25134,81,14433,0.19849,0.32621
290,290,2013,No migration background,male,Permanent job,0.85814,4733,16325,0.8298,0.88797
291,291,2013,No migration background,male,Temporary job,0.14186,759,16325,0.13012,0.15555
292,292,2013,No migration background,female,Permanent job,0.83519,5053,16325,0.81078,0.86545
293,293,2013,No migration background,female,Temporary job,0.16481,998,16325,0.15252,0.17824
294,294,2013,Direct migration background,male,Permanent job,0.81834,1496,16325,0.7603,0.88637
295,295,2013,Direct migration background,male,Temporary job,0.18166,371,16325,0.15477,0.21064
296,296,2013,Direct migration background,female,Permanent job,0.81859,1348,16325,0.75492,0.87883
297,297,2013,Direct migration background,female,Temporary job,0.18141,393,16325,0.15244,0.21457
298,298,2013,Indirect migration background,male,Permanent job,0.6839,424,16325,0.60183,0.75994
299,299,2013,Indirect migration background,male,Temporary job,0.3161,195,16325,0.26567,0.38184
300,300,2013,Indirect migration background,female,Permanent job,0.72438,389,16325,0.63976,0.82056
301,301,2013,Indirect migration background,female,Temporary job,0.27562,166,16325,0.23454,0.32474
302,302,2014,No migration background,male,Permanent job,0.84925,4320,14430,0.81873,0.87649
303,303,2014,No migration background,male,Temporary job,0.15075,691,14430,0.1376,0.16511
304,304,2014,No migration background,female,Permanent job,0.83521,4575,14430,0.80874,0.86317
305,305,2014,No migration background,female,Temporary job,0.16479,894,14430,0.15153,0.18236
306,306,2014,Direct migration background,male,Permanent job,0.80755,1236,14430,0.74186,0.86921
307,307,2014,Direct migration background,male,Temporary job,0.19245,276,14430,0.1618,0.23356
308,308,2014,Direct migration background,female,Permanent job,0.81372,1108,14430,0.74171,0.87054
309,309,2014,Direct migration background,female,Temporary job,0.18628,298,14430,0.15998,0.22555
310,310,2014,Indirect migration background,male,Permanent job,0.68879,367,14430,0.607,0.7842
311,311,2014,Indirect migration background,male,Temporary job,0.31121,147,14430,0.25909,0.36032
312,312,2014,Indirect migration background,female,Permanent job,0.68426,349,14430,0.6004,0.78166
313,313,2014,Indirect migration background,female,Temporary job,0.31574,169,14430,0.2659,0.38124
314,314,2015,No migration background,male,Permanent job,0.85236,4069,14397,0.82208,0.8827
315,315,2015,No migration background,male,Temporary job,0.14764,671,14397,0.1331,0.16211
316,316,2015,No migration background,female,Permanent job,0.84205,4433,14397,0.81743,0.87605
317,317,2015,No migration background,female,Temporary job,0.15795,859,14397,0.14352,0.17131
318,318,2015,Direct migration background,male,Permanent job,0.82937,1444,14397,0.76978,0.88898
319,319,2015,Direct migration background,male,Temporary job,0.17063,354,14397,0.14618,0.19229
320,320,2015,Direct migration background,female,Permanent job,0.78932,1230,14397,0.7229,0.87091
321,321,2015,Direct migration background,female,Temporary job,0.21068,392,14397,0.18335,0.25147
322,322,2015,Indirect migration background,male,Permanent job,0.69663,350,14397,0.62532,0.78767
323,323,2015,Indirect migration background,male,Temporary job,0.30337,132,14397,0.25105,0.36503
324,324,2015,Indirect migration background,female,Permanent job,0.67787,310,14397,0.58382,0.80082
325,325,2015,Indirect migration background,female,Temporary job,0.32213,153,14397,0.25924,0.39926
326,326,2016,No migration background,male,Permanent job,0.84471,3696,13406,0.81346,0.88305
327,327,2016,No migration background,male,Temporary job,0.15529,644,13406,0.1395,0.17059
328,328,2016,No migration background,female,Permanent job,0.84077,4208,13406,0.81004,0.87498
329,329,2016,No migration background,female,Temporary job,0.15923,787,13406,0.14723,0.17368
330,330,2016,Direct migration background,male,Permanent job,0.7906,1236,13406,0.72553,0.8508
331,331,2016,Direct migration background,male,Temporary job,0.2094,469,13406,0.17607,0.24617
332,332,2016,Direct migration background,female,Permanent job,0.81436,1100,13406,0.74509,0.87842
333,333,2016,Direct migration background,female,Temporary job,0.18564,348,13406,0.15466,0.21516
