,Unnamed: 0,year,regtyp,sex,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
110,110,1999,Urban regions,female,Permanent job,0.87862,1834,7314,0.84852,0.90746
111,111,1999,Urban regions,female,Temporary job,0.12138,293,7314,0.11069,0.13247
112,112,1999,Rural regions,male,Permanent job,0.84535,1160,7314,0.80848,0.88731
113,113,1999,Rural regions,male,Temporary job,0.15465,230,7314,0.13718,0.17273
114,114,1999,Rural regions,female,Permanent job,0.83767,945,7314,0.7959,0.88298
115,115,1999,Rural regions,female,Temporary job,0.16233,214,7314,0.14776,0.17879
116,116,2000,Urban regions,male,Permanent job,0.87375,3741,11680,0.85527,0.88971
117,117,2000,Urban regions,male,Temporary job,0.12625,525,11680,0.12026,0.13223
118,118,2000,Urban regions,female,Permanent job,0.86689,2941,11680,0.84974,0.88441
119,119,2000,Urban regions,female,Temporary job,0.13311,456,11680,0.12579,0.14086
120,120,2000,Rural regions,male,Permanent job,0.85011,1856,11680,0.82656,0.86877
121,121,2000,Rural regions,male,Temporary job,0.14989,347,11680,0.14137,0.1591
122,122,2000,Rural regions,female,Permanent job,0.82727,1476,11680,0.8052,0.85145
123,123,2000,Rural regions,female,Temporary job,0.17273,338,11680,0.16161,0.18184
124,124,2001,Urban regions,male,Permanent job,0.88401,3420,10626,0.86377,0.90309
125,125,2001,Urban regions,male,Temporary job,0.11599,456,10626,0.10873,0.12229
126,126,2001,Urban regions,female,Permanent job,0.86242,2715,10626,0.84355,0.88303
127,127,2001,Urban regions,female,Temporary job,0.13758,436,10626,0.12907,0.14506
128,128,2001,Rural regions,male,Permanent job,0.85904,1629,10626,0.8319,0.88945
129,129,2001,Rural regions,male,Temporary job,0.14096,297,10626,0.13102,0.15277
130,130,2001,Rural regions,female,Permanent job,0.81402,1357,10626,0.79032,0.83739
131,131,2001,Rural regions,female,Temporary job,0.18598,316,10626,0.17279,0.20182
132,132,2002,Urban regions,male,Permanent job,0.88081,3589,11155,0.854,0.90334
133,133,2002,Urban regions,male,Temporary job,0.11919,468,11155,0.10984,0.12836
134,134,2002,Urban regions,female,Permanent job,0.85928,2949,11155,0.82985,0.88689
135,135,2002,Urban regions,female,Temporary job,0.14072,465,11155,0.1314,0.15133
136,136,2002,Rural regions,male,Permanent job,0.85329,1652,11155,0.81643,0.88841
137,137,2002,Rural regions,male,Temporary job,0.14671,294,11155,0.13371,0.15878
138,138,2002,Rural regions,female,Permanent job,0.82307,1452,11155,0.78922,0.86051
139,139,2002,Rural regions,female,Temporary job,0.17693,286,11155,0.15905,0.194
140,140,2003,Urban regions,male,Permanent job,0.87718,3310,10453,0.85134,0.90326
141,141,2003,Urban regions,male,Temporary job,0.12282,447,10453,0.11352,0.13189
142,142,2003,Urban regions,female,Permanent job,0.85679,2806,10453,0.83233,0.88405
143,143,2003,Urban regions,female,Temporary job,0.14321,457,10453,0.13178,0.15535
144,144,2003,Rural regions,male,Permanent job,0.84726,1530,10453,0.8185,0.88331
145,145,2003,Rural regions,male,Temporary job,0.15274,286,10453,0.1407,0.16694
146,146,2003,Rural regions,female,Permanent job,0.84777,1367,10453,0.80599,0.88845
147,147,2003,Rural regions,female,Temporary job,0.15223,250,10453,0.13742,0.1689
148,148,2004,Urban regions,male,Permanent job,0.87155,3131,10074,0.83864,0.89379
149,149,2004,Urban regions,male,Temporary job,0.12845,445,10074,0.11907,0.13697
150,150,2004,Urban regions,female,Permanent job,0.84538,2747,10074,0.81951,0.87302
151,151,2004,Urban regions,female,Temporary job,0.15462,449,10074,0.14307,0.16839
152,152,2004,Rural regions,male,Permanent job,0.84747,1441,10074,0.81152,0.884
153,153,2004,Rural regions,male,Temporary job,0.15253,286,10074,0.13859,0.16719
154,154,2004,Rural regions,female,Permanent job,0.83625,1319,10074,0.8001,0.87409
155,155,2004,Rural regions,female,Temporary job,0.16375,256,10074,0.14756,0.18297
156,156,2005,Urban regions,male,Permanent job,0.86889,3081,9727,0.84554,0.89639
157,157,2005,Urban regions,male,Temporary job,0.13111,417,9727,0.12264,0.14442
158,158,2005,Urban regions,female,Permanent job,0.863,2647,9727,0.83365,0.89054
159,159,2005,Urban regions,female,Temporary job,0.137,401,9727,0.12588,0.14795
160,160,2005,Rural regions,male,Permanent job,0.85507,1438,9727,0.81653,0.89731
161,161,2005,Rural regions,male,Temporary job,0.14493,223,9727,0.12903,0.16124
162,162,2005,Rural regions,female,Permanent job,0.82682,1284,9727,0.78709,0.86867
163,163,2005,Rural regions,female,Temporary job,0.17318,236,9727,0.15286,0.19658
164,164,2006,Urban regions,male,Permanent job,0.86374,3153,10192,0.83422,0.88625
165,165,2006,Urban regions,male,Temporary job,0.13626,436,10192,0.1262,0.14687
166,166,2006,Urban regions,female,Permanent job,0.8468,2758,10192,0.81714,0.87866
167,167,2006,Urban regions,female,Temporary job,0.1532,450,10192,0.13979,0.16601
168,168,2006,Rural regions,male,Permanent job,0.84375,1476,10192,0.80522,0.8847
169,169,2006,Rural regions,male,Temporary job,0.15625,266,10192,0.13944,0.1701
170,170,2006,Rural regions,female,Permanent job,0.82625,1399,10192,0.78456,0.87274
171,171,2006,Rural regions,female,Temporary job,0.17375,254,10192,0.15291,0.19305
172,172,2007,Urban regions,male,Permanent job,0.86343,2928,9744,0.83044,0.89911
173,173,2007,Urban regions,male,Temporary job,0.13657,429,9744,0.12484,0.14659
174,174,2007,Urban regions,female,Permanent job,0.83403,2630,9744,0.80657,0.85814
175,175,2007,Urban regions,female,Temporary job,0.16597,461,9744,0.15295,0.1785
176,176,2007,Rural regions,male,Permanent job,0.84198,1459,9744,0.80567,0.87786
177,177,2007,Rural regions,male,Temporary job,0.15802,270,9744,0.14173,0.17251
178,178,2007,Rural regions,female,Permanent job,0.83108,1327,9744,0.79036,0.87599
179,179,2007,Rural regions,female,Temporary job,0.16892,240,9744,0.15151,0.1878
180,180,2008,Urban regions,male,Permanent job,0.86235,2821,9371,0.83262,0.8906
181,181,2008,Urban regions,male,Temporary job,0.13765,407,9371,0.12505,0.15038
182,182,2008,Urban regions,female,Permanent job,0.83312,2520,9371,0.79976,0.86126
183,183,2008,Urban regions,female,Temporary job,0.16688,461,9371,0.15531,0.18045
184,184,2008,Rural regions,male,Permanent job,0.85979,1416,9371,0.81681,0.89977
185,185,2008,Rural regions,male,Temporary job,0.14021,231,9371,0.12552,0.15679
186,186,2008,Rural regions,female,Permanent job,0.79453,1253,9371,0.75765,0.83418
187,187,2008,Rural regions,female,Temporary job,0.20547,262,9371,0.18253,0.23379
188,188,2009,Urban regions,male,Permanent job,0.84718,2516,8724,0.80709,0.88063
189,189,2009,Urban regions,male,Temporary job,0.15282,411,8724,0.13737,0.1712
190,190,2009,Urban regions,female,Permanent job,0.83486,2341,8724,0.80538,0.86847
191,191,2009,Urban regions,female,Temporary job,0.16514,436,8724,0.15207,0.17956
192,192,2009,Rural regions,male,Permanent job,0.87185,1326,8724,0.82756,0.92223
193,193,2009,Rural regions,male,Temporary job,0.12815,208,8724,0.11188,0.14882
194,194,2009,Rural regions,female,Permanent job,0.81933,1256,8724,0.77344,0.86736
195,195,2009,Rural regions,female,Temporary job,0.18067,230,8724,0.15545,0.20806
196,196,2010,Urban regions,male,Permanent job,0.85428,3518,11997,0.82053,0.8944
197,197,2010,Urban regions,male,Temporary job,0.14572,558,11997,0.13047,0.16118
198,198,2010,Urban regions,female,Permanent job,0.83519,3077,11997,0.79662,0.86944
199,199,2010,Urban regions,female,Temporary job,0.16481,634,11997,0.15007,0.18057
200,200,2010,Rural regions,male,Permanent job,0.85959,1888,11997,0.80031,0.91109
201,201,2010,Rural regions,male,Temporary job,0.14041,295,11997,0.12263,0.15788
202,202,2010,Rural regions,female,Permanent job,0.79658,1670,11997,0.74599,0.85931
203,203,2010,Rural regions,female,Temporary job,0.20342,357,11997,0.1726,0.23214
204,204,2011,Urban regions,male,Permanent job,0.85354,4043,14581,0.82565,0.88707
205,205,2011,Urban regions,male,Temporary job,0.14646,605,14581,0.13265,0.16027
206,206,2011,Urban regions,female,Permanent job,0.83116,3917,14581,0.79809,0.86004
207,207,2011,Urban regions,female,Temporary job,0.16884,753,14581,0.15497,0.18259
208,208,2011,Rural regions,male,Permanent job,0.84845,2268,14581,0.81283,0.88952
209,209,2011,Rural regions,male,Temporary job,0.15155,359,14581,0.13337,0.16965
210,210,2011,Rural regions,female,Permanent job,0.81297,2183,14581,0.77213,0.85629
211,211,2011,Rural regions,female,Temporary job,0.18703,453,14581,0.16237,0.21214
212,212,2012,Urban regions,male,Permanent job,0.84835,3823,14433,0.81513,0.87914
213,213,2012,Urban regions,male,Temporary job,0.15165,637,14433,0.13863,0.16289
214,214,2012,Urban regions,female,Permanent job,0.82538,3889,14433,0.79945,0.85262
215,215,2012,Urban regions,female,Temporary job,0.17462,790,14433,0.16048,0.1875
216,216,2012,Rural regions,male,Permanent job,0.85518,2225,14433,0.82018,0.9009
217,217,2012,Rural regions,male,Temporary job,0.14482,375,14433,0.13152,0.15811
218,218,2012,Rural regions,female,Permanent job,0.83485,2243,14433,0.78936,0.87608
219,219,2012,Rural regions,female,Temporary job,0.16515,451,14433,0.14774,0.18395
220,220,2013,Urban regions,male,Permanent job,0.83259,4340,16325,0.80357,0.86189
221,221,2013,Urban regions,male,Temporary job,0.16741,934,16325,0.15492,0.18239
222,222,2013,Urban regions,female,Permanent job,0.81805,4443,16325,0.79073,0.84989
223,223,2013,Urban regions,female,Temporary job,0.18195,1034,16325,0.16309,0.196
224,224,2013,Rural regions,male,Permanent job,0.86118,2313,16325,0.81661,0.91117
225,225,2013,Rural regions,male,Temporary job,0.13882,391,16325,0.1245,0.15316
226,226,2013,Rural regions,female,Permanent job,0.84591,2347,16325,0.80366,0.88707
227,227,2013,Rural regions,female,Temporary job,0.15409,523,16325,0.13775,0.16857
228,228,2014,Urban regions,male,Permanent job,0.83071,3839,14430,0.79079,0.85805
229,229,2014,Urban regions,male,Temporary job,0.16929,743,14430,0.1521,0.18677
230,230,2014,Urban regions,female,Permanent job,0.81143,3909,14430,0.77823,0.84688
231,231,2014,Urban regions,female,Temporary job,0.18857,943,14430,0.17212,0.20589
232,232,2014,Rural regions,male,Permanent job,0.83721,2084,14430,0.7927,0.87735
233,233,2014,Rural regions,male,Temporary job,0.16279,371,14430,0.14252,0.18656
234,234,2014,Rural regions,female,Permanent job,0.84992,2123,14430,0.80555,0.89907
235,235,2014,Rural regions,female,Temporary job,0.15008,418,14430,0.13297,0.17207
236,236,2015,Urban regions,male,Permanent job,0.8309,3791,14397,0.79457,0.8645
237,237,2015,Urban regions,male,Temporary job,0.1691,789,14397,0.15488,0.18208
238,238,2015,Urban regions,female,Permanent job,0.81358,3863,14397,0.77911,0.84843
239,239,2015,Urban regions,female,Temporary job,0.18642,955,14397,0.17059,0.20212
240,240,2015,Rural regions,male,Permanent job,0.85429,2072,14397,0.80982,0.9007
241,241,2015,Rural regions,male,Temporary job,0.14571,368,14397,0.12473,0.16815
242,242,2015,Rural regions,female,Permanent job,0.8491,2110,14397,0.80727,0.89888
243,243,2015,Rural regions,female,Temporary job,0.1509,449,14397,0.13147,0.17026
244,244,2016,Urban regions,male,Permanent job,0.81802,3397,13406,0.78374,0.85421
245,245,2016,Urban regions,male,Temporary job,0.18198,820,13406,0.16654,0.19791
246,246,2016,Urban regions,female,Permanent job,0.81591,3664,13406,0.78657,0.84991
247,247,2016,Urban regions,female,Temporary job,0.18409,880,13406,0.16945,0.19962
248,248,2016,Rural regions,male,Permanent job,0.84623,1855,13406,0.80074,0.91165
249,249,2016,Rural regions,male,Temporary job,0.15377,418,13406,0.13175,0.17392
250,250,2016,Rural regions,female,Permanent job,0.85266,1970,13406,0.80424,0.89971
251,251,2016,Rural regions,female,Temporary job,0.14734,402,13406,0.12832,0.1675
252,252,2017,Urban regions,male,Permanent job,0.83255,3916,15325,0.80239,0.85902
253,253,2017,Urban regions,male,Temporary job,0.16745,922,15325,0.15227,0.18425
254,254,2017,Urban regions,female,Permanent job,0.81949,4143,15325,0.79466,0.84711
255,255,2017,Urban regions,female,Temporary job,0.18051,938,15325,0.16735,0.19431
256,256,2017,Rural regions,male,Permanent job,0.84862,2160,15325,0.80393,0.89548
257,257,2017,Rural regions,male,Temporary job,0.15138,505,15325,0.1361,0.16619
258,258,2017,Rural regions,female,Permanent job,0.84727,2298,15325,0.80579,0.89041
259,259,2017,Rural regions,female,Temporary job,0.15273,443,15325,0.13505,0.17234
260,260,2018,Urban regions,male,Permanent job,0.82063,3808,15070,0.79316,0.8536
261,261,2018,Urban regions,male,Temporary job,0.17937,1081,15070,0.16453,0.19646
262,262,2018,Urban regions,female,Permanent job,0.8323,4076,15070,0.79693,0.86688
263,263,2018,Urban regions,female,Temporary job,0.1677,892,15070,0.15169,0.18083
264,264,2018,Rural regions,male,Permanent job,0.85614,2072,15070,0.81174,0.90774
265,265,2018,Rural regions,male,Temporary job,0.14386,500,15070,0.12301,0.16217
266,266,2018,Rural regions,female,Permanent job,0.86917,2234,15070,0.82685,0.90619
267,267,2018,Rural regions,female,Temporary job,0.13083,407,15070,0.11436,0.15295
268,268,2019,Urban regions,male,Permanent job,0.8305,3579,14273,0.79694,0.86526
269,269,2019,Urban regions,male,Temporary job,0.1695,1037,14273,0.1524,0.18716
270,270,2019,Urban regions,female,Permanent job,0.84149,3889,14273,0.80769,0.87809
271,271,2019,Urban regions,female,Temporary job,0.15851,841,14273,0.14272,0.17522
272,272,2019,Rural regions,male,Permanent job,0.86995,1974,14273,0.8243,0.91716
273,273,2019,Rural regions,male,Temporary job,0.13005,469,14273,0.11131,0.14787
274,274,2019,Rural regions,female,Permanent job,0.86459,2121,14273,0.81687,0.90171
275,275,2019,Rural regions,female,Temporary job,0.13541,363,14273,0.1162,0.15478
276,276,2020,Urban regions,male,Permanent job,0.84488,4125,15537,0.80933,0.88211
277,277,2020,Urban regions,male,Temporary job,0.15512,1363,15537,0.1351,0.17324
278,278,2020,Urban regions,female,Permanent job,0.82862,4043,15537,0.79554,0.86517
279,279,2020,Urban regions,female,Temporary job,0.17138,989,15537,0.15511,0.19016
280,280,2020,Rural regions,male,Permanent job,0.89186,2065,15537,0.83953,0.95339
281,281,2020,Rural regions,male,Temporary job,0.10814,464,15537,0.09535,0.12577
282,282,2020,Rural regions,female,Permanent job,0.88075,2119,15537,0.83279,0.93755
283,283,2020,Rural regions,female,Temporary job,0.11925,369,15537,0.10138,0.13617
284,284,2021,Urban regions,male,Permanent job,0.85741,2793,10199,0.81489,0.90622
285,285,2021,Urban regions,male,Temporary job,0.14259,698,10199,0.12545,0.15951
286,286,2021,Urban regions,female,Permanent job,0.85162,2880,10199,0.80062,0.89559
287,287,2021,Urban regions,female,Temporary job,0.14838,557,10199,0.13034,0.16605
288,288,2021,Rural regions,male,Permanent job,0.87867,1381,10199,0.80668,0.94634
289,289,2021,Rural regions,male,Temporary job,0.12133,217,10199,0.09619,0.15587
290,290,2021,Rural regions,female,Permanent job,0.89034,1444,10199,0.82198,0.95724
291,291,2021,Rural regions,female,Temporary job,0.10966,229,10199,0.0885,0.13009
