year,migback,sampreg,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Direct migration background,West,Temporary job,0.10292,128,1387,0.08692,0.11892
1995,Direct migration background,East,Permanent job,0.73563,39,39,0.59542,0.87585
1995,Indirect migration background,West,Permanent job,0.64555,185,277,0.58911,0.70198
1995,Indirect migration background,West,Temporary job,0.35445,92,277,0.29802,0.41089
1996,No migration background,West,Permanent job,0.90027,3099,3430,0.89024,0.91029
1996,No migration background,West,Temporary job,0.09973,331,3430,0.08971,0.10976
1996,No migration background,East,Permanent job,0.84455,1603,1915,0.82831,0.86078
1996,No migration background,East,Temporary job,0.15545,312,1915,0.13922,0.17169
1996,Direct migration background,West,Permanent job,0.89466,1169,1285,0.87787,0.91145
1996,Direct migration background,West,Temporary job,0.10534,116,1285,0.08855,0.12213
1996,Direct migration background,East,Permanent job,0.76279,38,38,0.62573,0.89986
1996,Indirect migration background,West,Permanent job,0.63134,188,278,0.57453,0.68816
1996,Indirect migration background,West,Temporary job,0.36866,90,278,0.31184,0.42547
1997,No migration background,West,Permanent job,0.88385,2941,3328,0.87296,0.89474
1997,No migration background,West,Temporary job,0.11615,387,3328,0.10526,0.12704
1997,No migration background,East,Permanent job,0.83466,1516,1837,0.81767,0.85165
1997,No migration background,East,Temporary job,0.16534,321,1837,0.14835,0.18233
1997,Direct migration background,West,Permanent job,0.88282,1083,1199,0.86460,0.90103
1997,Direct migration background,West,Temporary job,0.11718,116,1199,0.09897,0.13540
1997,Direct migration background,East,Permanent job,0.76450,34,34,0.61972,0.90927
1997,Indirect migration background,West,Permanent job,0.55821,202,321,0.50380,0.61262
1997,Indirect migration background,West,Temporary job,0.44179,119,321,0.38738,0.49620
1998,No migration background,West,Permanent job,0.89194,3500,3927,0.88223,0.90165
1998,No migration background,West,Temporary job,0.10806,427,3927,0.09835,0.11777
1998,No migration background,East,Permanent job,0.82096,1595,1938,0.80389,0.83803
1998,No migration background,East,Temporary job,0.17904,343,1938,0.16197,0.19611
1998,Direct migration background,West,Permanent job,0.86903,1034,1167,0.84966,0.88839
1998,Direct migration background,West,Temporary job,0.13097,133,1167,0.11161,0.15034
1998,Indirect migration background,West,Permanent job,0.58896,206,321,0.53505,0.64287
1998,Indirect migration background,West,Temporary job,0.41104,115,321,0.35713,0.46495
1999,No migration background,West,Permanent job,0.88258,3437,3900,0.87247,0.89268
1999,No migration background,West,Temporary job,0.11742,463,3900,0.10732,0.12753
1999,No migration background,East,Permanent job,0.81477,1563,1944,0.79750,0.83204
1999,No migration background,East,Temporary job,0.18523,381,1944,0.16796,0.20250
1999,Direct migration background,West,Permanent job,0.87253,957,1077,0.85260,0.89245
1999,Direct migration background,West,Temporary job,0.12747,120,1077,0.10755,0.14740
1999,Indirect migration background,West,Permanent job,0.62978,233,350,0.57912,0.68044
1999,Indirect migration background,West,Temporary job,0.37022,117,350,0.31956,0.42088
2000,No migration background,West,Permanent job,0.88180,6079,6893,0.87418,0.88943
2000,No migration background,West,Temporary job,0.11820,814,6893,0.11057,0.12582
2000,No migration background,East,Permanent job,0.81942,2265,2782,0.80513,0.83372
2000,No migration background,East,Temporary job,0.18058,517,2782,0.16628,0.19487
2000,Direct migration background,West,Permanent job,0.85352,1343,1540,0.83586,0.87119
2000,Direct migration background,West,Temporary job,0.14648,197,1540,0.12881,0.16414
2000,Indirect migration background,West,Permanent job,0.71040,296,420,0.66697,0.75383
2000,Indirect migration background,West,Temporary job,0.28960,124,420,0.24617,0.33303
2001,No migration background,West,Permanent job,0.89065,5504,6202,0.88288,0.89841
2001,No migration background,West,Temporary job,0.10935,698,6202,0.10159,0.11712
2001,No migration background,East,Permanent job,0.81165,2093,2589,0.79659,0.82672
2001,No migration background,East,Temporary job,0.18835,496,2589,0.17328,0.20341
2001,Direct migration background,West,Permanent job,0.84793,1216,1388,0.82903,0.86682
2001,Direct migration background,West,Temporary job,0.15207,172,1388,0.13318,0.17097
2001,Indirect migration background,West,Permanent job,0.69090,283,409,0.64606,0.73575
2001,Indirect migration background,West,Temporary job,0.30910,126,409,0.26425,0.35394
2002,No migration background,West,Permanent job,0.88957,6110,6885,0.88217,0.89698
2002,No migration background,West,Temporary job,0.11043,775,6885,0.10302,0.11783
2002,No migration background,East,Permanent job,0.81476,2113,2556,0.79970,0.82983
2002,No migration background,East,Temporary job,0.18524,443,2556,0.17017,0.20030
2002,Direct migration background,West,Permanent job,0.83601,1120,1284,0.81575,0.85627
2002,Direct migration background,West,Temporary job,0.16399,164,1284,0.14373,0.18425
2002,Indirect migration background,West,Permanent job,0.64304,272,393,0.59561,0.69047
2002,Indirect migration background,West,Temporary job,0.35696,121,393,0.30953,0.40439
2003,No migration background,West,Permanent job,0.88379,5668,6425,0.87595,0.89163
2003,No migration background,West,Temporary job,0.11621,757,6425,0.10837,0.12405
2003,No migration background,East,Permanent job,0.82873,2013,2418,0.81371,0.84375
2003,No migration background,East,Temporary job,0.17127,405,2418,0.15625,0.18629
2003,Direct migration background,West,Permanent job,0.84485,1024,1178,0.82416,0.86553
2003,Direct migration background,West,Temporary job,0.15515,154,1178,0.13447,0.17584
2003,Indirect migration background,West,Permanent job,0.68585,283,398,0.64019,0.73151
2003,Indirect migration background,West,Temporary job,0.31415,115,398,0.26849,0.35981
2004,No migration background,West,Permanent job,0.87603,5427,6196,0.86782,0.88423
2004,No migration background,West,Temporary job,0.12397,769,6196,0.11577,0.13218
2004,No migration background,East,Permanent job,0.81105,1926,2356,0.79524,0.82686
2004,No migration background,East,Temporary job,0.18895,430,2356,0.17314,0.20476
2004,Direct migration background,West,Permanent job,0.86560,978,1092,0.84537,0.88584
2004,Direct migration background,West,Temporary job,0.13440,114,1092,0.11416,0.15463
2004,Indirect migration background,West,Permanent job,0.66663,281,394,0.62002,0.71324
2004,Indirect migration background,West,Temporary job,0.33337,113,394,0.28676,0.37998
2005,No migration background,West,Permanent job,0.87988,5335,6024,0.87167,0.88809
2005,No migration background,West,Temporary job,0.12012,689,6024,0.11191,0.12833
2005,No migration background,East,Permanent job,0.81551,1881,2247,0.79947,0.83155
2005,No migration background,East,Temporary job,0.18449,366,2247,0.16845,0.20053
2005,Direct migration background,West,Permanent job,0.86582,921,1023,0.84493,0.88672
2005,Direct migration background,West,Temporary job,0.13418,102,1023,0.11328,0.15507
2005,Indirect migration background,West,Permanent job,0.69627,287,397,0.65098,0.74157
2005,Indirect migration background,West,Temporary job,0.30373,110,397,0.25843,0.34902
2006,No migration background,West,Permanent job,0.87371,5637,6380,0.86556,0.88186
2006,No migration background,West,Temporary job,0.12629,743,6380,0.11814,0.13444
2006,No migration background,East,Permanent job,0.80165,1936,2340,0.78549,0.81781
2006,No migration background,East,Temporary job,0.19835,404,2340,0.18219,0.21451
2006,Direct migration background,West,Permanent job,0.86058,913,1034,0.83946,0.88171
2006,Direct migration background,West,Temporary job,0.13942,121,1034,0.11829,0.16054
2006,Indirect migration background,West,Permanent job,0.66979,274,400,0.62364,0.71594
2006,Indirect migration background,West,Temporary job,0.33021,126,400,0.28406,0.37636
2007,No migration background,West,Permanent job,0.86935,5347,6086,0.86088,0.87782
2007,No migration background,West,Temporary job,0.13065,739,6086,0.12218,0.13912
2007,No migration background,East,Permanent job,0.80272,1874,2270,0.78634,0.81909
2007,No migration background,East,Temporary job,0.19728,396,2270,0.18091,0.21366
2007,Direct migration background,West,Permanent job,0.84757,800,927,0.82442,0.87072
2007,Direct migration background,West,Temporary job,0.15243,127,927,0.12928,0.17558
2007,Indirect migration background,West,Permanent job,0.70046,296,419,0.65655,0.74438
2007,Indirect migration background,West,Temporary job,0.29954,123,419,0.25562,0.34345
2008,No migration background,West,Permanent job,0.85830,5088,5832,0.84935,0.86726
2008,No migration background,West,Temporary job,0.14170,744,5832,0.13274,0.15065
2008,No migration background,East,Permanent job,0.81924,1841,2211,0.80320,0.83529
2008,No migration background,East,Temporary job,0.18076,370,2211,0.16471,0.19680
2008,Direct migration background,West,Permanent job,0.85338,745,859,0.82971,0.87705
2008,Direct migration background,West,Temporary job,0.14662,114,859,0.12295,0.17029
2008,Indirect migration background,West,Permanent job,0.73774,305,422,0.69572,0.77976
2008,Indirect migration background,West,Temporary job,0.26226,117,422,0.22024,0.30428
2009,No migration background,West,Permanent job,0.86091,4748,5457,0.85173,0.87009
2009,No migration background,West,Temporary job,0.13909,709,5457,0.12991,0.14827
2009,No migration background,East,Permanent job,0.81178,1738,2100,0.79506,0.82850
2009,No migration background,East,Temporary job,0.18822,362,2100,0.17150,0.20494
2009,Direct migration background,West,Permanent job,0.86459,636,725,0.83967,0.88952
2009,Direct migration background,West,Temporary job,0.13541,89,725,0.11048,0.16033
2009,Indirect migration background,West,Permanent job,0.73257,291,402,0.68924,0.77589
2009,Indirect migration background,West,Temporary job,0.26743,111,402,0.22411,0.31076
2010,No migration background,West,Permanent job,0.86113,6485,7503,0.85330,0.86896
2010,No migration background,West,Temporary job,0.13887,1018,7503,0.13104,0.14670
2010,No migration background,East,Permanent job,0.80093,2137,2596,0.78556,0.81629
2010,No migration background,East,Temporary job,0.19907,459,2596,0.18371,0.21444
2010,Direct migration background,West,Permanent job,0.84118,1074,1282,0.82116,0.86120
2010,Direct migration background,West,Temporary job,0.15882,208,1282,0.13880,0.17884
2010,Indirect migration background,West,Permanent job,0.71861,402,539,0.68061,0.75661
2010,Indirect migration background,West,Temporary job,0.28139,137,539,0.24339,0.31939
2011,No migration background,West,Permanent job,0.85629,8027,9243,0.84914,0.86344
2011,No migration background,West,Temporary job,0.14371,1216,9243,0.13656,0.15086
2011,No migration background,East,Permanent job,0.82056,2533,3045,0.80693,0.83419
2011,No migration background,East,Temporary job,0.17944,512,3045,0.16581,0.19307
2011,Direct migration background,West,Permanent job,0.83841,1281,1536,0.81999,0.85682
2011,Direct migration background,West,Temporary job,0.16159,255,1536,0.14318,0.18001
2011,Direct migration background,East,Permanent job,0.88902,35,35,0.78344,0.99460
2011,Indirect migration background,West,Permanent job,0.70641,511,666,0.67180,0.74103
2011,Indirect migration background,West,Temporary job,0.29359,155,666,0.25897,0.32820
2012,No migration background,West,Permanent job,0.85454,7779,9052,0.84728,0.86181
2012,No migration background,West,Temporary job,0.14546,1273,9052,0.13819,0.15272
2012,No migration background,East,Permanent job,0.83492,2508,3007,0.82164,0.84819
2012,No migration background,East,Temporary job,0.16508,499,3007,0.15181,0.17836
2012,Direct migration background,West,Permanent job,0.83980,1335,1608,0.82187,0.85774
2012,Direct migration background,West,Temporary job,0.16020,273,1608,0.14226,0.17813
2012,Direct migration background,East,Permanent job,0.74562,38,38,0.60529,0.88595
2012,Indirect migration background,West,Permanent job,0.68813,498,672,0.65307,0.72318
2012,Indirect migration background,West,Temporary job,0.31187,174,672,0.27682,0.34693
2013,No migration background,West,Permanent job,0.85166,7411,8700,0.84419,0.85913
2013,No migration background,West,Temporary job,0.14834,1289,8700,0.14087,0.15581
2013,No migration background,East,Permanent job,0.83070,2357,2821,0.81686,0.84454
2013,No migration background,East,Temporary job,0.16930,464,2821,0.15546,0.18314
2013,Direct migration background,West,Permanent job,0.82469,2737,3432,0.81196,0.83741
2013,Direct migration background,West,Temporary job,0.17531,695,3432,0.16259,0.18804
2013,Direct migration background,East,Permanent job,0.75316,144,215,0.69539,0.81093
2013,Direct migration background,East,Temporary job,0.24684,71,215,0.18907,0.30461
2013,Indirect migration background,West,Permanent job,0.70434,766,1102,0.67739,0.73130
2013,Indirect migration background,West,Temporary job,0.29566,336,1102,0.26870,0.32261
2014,No migration background,West,Permanent job,0.84659,6739,7903,0.83864,0.85453
2014,No migration background,West,Temporary job,0.15341,1164,7903,0.14547,0.16136
2014,No migration background,East,Permanent job,0.82737,2138,2554,0.81271,0.84203
2014,No migration background,East,Temporary job,0.17263,416,2554,0.15797,0.18729
2014,Direct migration background,West,Permanent job,0.81907,2264,2791,0.80478,0.83335
2014,Direct migration background,West,Temporary job,0.18093,527,2791,0.16665,0.19522
2014,Direct migration background,East,Permanent job,0.64310,117,168,0.57044,0.71576
2014,Direct migration background,East,Temporary job,0.35690,51,168,0.28424,0.42956
2014,Indirect migration background,West,Permanent job,0.67957,662,960,0.65003,0.70910
2014,Indirect migration background,West,Temporary job,0.32043,298,960,0.29090,0.34997
2014,Indirect migration background,East,Permanent job,0.76964,35,35,0.62811,0.91118
2015,No migration background,West,Permanent job,0.84820,6447,7593,0.84013,0.85627
2015,No migration background,West,Temporary job,0.15180,1146,7593,0.14373,0.15987
2015,No migration background,East,Permanent job,0.84383,2036,2415,0.82935,0.85832
2015,No migration background,East,Temporary job,0.15617,379,2415,0.14168,0.17065
2015,Direct migration background,West,Permanent job,0.81837,2557,3239,0.80509,0.83165
2015,Direct migration background,West,Temporary job,0.18163,682,3239,0.16835,0.19491
2015,Direct migration background,East,Permanent job,0.65711,154,222,0.59453,0.71969
2015,Direct migration background,East,Temporary job,0.34289,68,222,0.28031,0.40547
2015,Indirect migration background,West,Permanent job,0.68228,604,874,0.65139,0.71316
2015,Indirect migration background,West,Temporary job,0.31772,270,874,0.28684,0.34861
2015,Indirect migration background,East,Permanent job,0.73210,38,38,0.58940,0.87480
2016,No migration background,West,Permanent job,0.84338,5938,7005,0.83487,0.85189
2016,No migration background,West,Temporary job,0.15662,1067,7005,0.14811,0.16513
2016,No migration background,East,Permanent job,0.84175,1945,2301,0.82684,0.85667
2016,No migration background,East,Temporary job,0.15825,356,2301,0.14333,0.17316
2016,Direct migration background,West,Permanent job,0.80991,2221,2962,0.79578,0.82405
2016,Direct migration background,West,Temporary job,0.19009,741,2962,0.17595,0.20422
2016,Direct migration background,East,Permanent job,0.68887,152,234,0.62942,0.74831
2016,Direct migration background,East,Temporary job,0.31113,82,234,0.25169,0.37058
2016,Indirect migration background,West,Permanent job,0.70019,593,847,0.66931,0.73106
2016,Indirect migration background,West,Temporary job,0.29981,254,847,0.26894,0.33069
2016,Indirect migration background,East,Permanent job,0.66335,37,37,0.50898,0.81772
2017,No migration background,West,Permanent job,0.84546,7106,8354,0.83771,0.85321
2017,No migration background,West,Temporary job,0.15454,1248,8354,0.14679,0.16229
2017,No migration background,East,Permanent job,0.85749,2298,2687,0.84426,0.87071
2017,No migration background,East,Temporary job,0.14251,389,2687,0.12929,0.15574
2017,Direct migration background,West,Permanent job,0.81588,2249,3048,0.80212,0.82964
2017,Direct migration background,West,Temporary job,0.18412,799,3048,0.17036,0.19788
2017,Direct migration background,East,Permanent job,0.75585,176,253,0.70281,0.80889
2017,Direct migration background,East,Temporary job,0.24415,77,253,0.19111,0.29719
2017,Indirect migration background,West,Permanent job,0.70503,654,934,0.67577,0.73429
2017,Indirect migration background,West,Temporary job,0.29497,280,934,0.26571,0.32423
2017,Indirect migration background,East,Permanent job,0.82000,34,34,0.68892,0.95108
2018,No migration background,West,Permanent job,0.85636,6820,7956,0.84866,0.86407
2018,No migration background,West,Temporary job,0.14364,1136,7956,0.13593,0.15134
2018,No migration background,East,Permanent job,0.87066,2258,2628,0.85783,0.88349
2018,No migration background,East,Temporary job,0.12934,370,2628,0.11651,0.14217
2018,Direct migration background,West,Permanent job,0.80234,2229,3184,0.78850,0.81617
2018,Direct migration background,West,Temporary job,0.19766,955,3184,0.18383,0.21150
2018,Direct migration background,East,Permanent job,0.71871,193,301,0.66783,0.76959
2018,Direct migration background,East,Temporary job,0.28129,108,301,0.23041,0.33217
2018,Indirect migration background,West,Permanent job,0.69919,642,933,0.66974,0.72863
2018,Indirect migration background,West,Temporary job,0.30081,291,933,0.27137,0.33026
2018,Indirect migration background,East,Permanent job,0.67809,48,48,0.54451,0.81166
2019,No migration background,West,Permanent job,0.86334,6681,7743,0.85569,0.87099
2019,No migration background,West,Temporary job,0.13666,1062,7743,0.12901,0.14431
2019,No migration background,East,Permanent job,0.87194,2168,2515,0.85888,0.88500
2019,No migration background,East,Temporary job,0.12806,347,2515,0.11500,0.14112
2019,Direct migration background,West,Permanent job,0.80392,2054,3036,0.78979,0.81804
2019,Direct migration background,West,Temporary job,0.19608,982,3036,0.18196,0.21021
2019,Direct migration background,East,Permanent job,0.73434,187,290,0.68342,0.78527
2019,Direct migration background,East,Temporary job,0.26566,103,290,0.21473,0.31658
2019,Indirect migration background,West,Permanent job,0.71314,622,886,0.68334,0.74294
2019,Indirect migration background,West,Temporary job,0.28686,264,886,0.25706,0.31666
2019,Indirect migration background,East,Permanent job,0.84154,47,47,0.73601,0.94707
2020,No migration background,West,Permanent job,0.86843,6270,7266,0.86066,0.87620
2020,No migration background,West,Temporary job,0.13157,996,7266,0.12380,0.13934
2020,No migration background,East,Permanent job,0.88341,2057,2339,0.87040,0.89642
2020,No migration background,East,Temporary job,0.11659,282,2339,0.10358,0.12960
2020,Direct migration background,West,Permanent job,0.80487,3055,4532,0.79333,0.81641
2020,Direct migration background,West,Temporary job,0.19513,1477,4532,0.18359,0.20667
2020,Direct migration background,East,Permanent job,0.77536,291,461,0.73722,0.81350
2020,Direct migration background,East,Temporary job,0.22464,170,461,0.18650,0.26278
2020,Indirect migration background,West,Permanent job,0.73480,627,872,0.70548,0.76412
2020,Indirect migration background,West,Temporary job,0.26520,245,872,0.23588,0.29452
2020,Indirect migration background,East,Permanent job,0.84100,54,54,0.74255,0.93945
2021,No migration background,West,Permanent job,0.87804,4574,5236,0.86917,0.88690
2021,No migration background,West,Temporary job,0.12196,662,5236,0.11310,0.13083
2021,No migration background,East,Permanent job,0.89698,1466,1637,0.88225,0.91171
2021,No migration background,East,Temporary job,0.10302,171,1637,0.08829,0.11775
2021,Direct migration background,West,Permanent job,0.79978,1830,2482,0.78404,0.81553
2021,Direct migration background,West,Temporary job,0.20022,652,2482,0.18447,0.21596
2021,Direct migration background,East,Permanent job,0.85196,203,267,0.80929,0.89464
2021,Direct migration background,East,Temporary job,0.14804,64,267,0.10536,0.19071
2021,Indirect migration background,West,Permanent job,0.79780,396,535,0.76374,0.83187
2021,Indirect migration background,West,Temporary job,0.20220,139,535,0.16813,0.23626
2021,Indirect migration background,East,Permanent job,0.78474,31,31,0.63767,0.93182
2022,No migration background,West,Permanent job,0.88514,7033,7971,0.87814,0.89214
2022,No migration background,West,Temporary job,0.11486,938,7971,0.10786,0.12186
2022,No migration background,East,Permanent job,0.89165,2322,2636,0.87979,0.90352
2022,No migration background,East,Temporary job,0.10835,314,2636,0.09648,0.12021
2022,Direct migration background,West,Permanent job,0.84407,3421,4595,0.83357,0.85456
2022,Direct migration background,West,Temporary job,0.15593,1174,4595,0.14544,0.16643
2022,Direct migration background,East,Permanent job,0.81933,478,632,0.78931,0.84935
2022,Direct migration background,East,Temporary job,0.18067,154,632,0.15065,0.21069
2022,Indirect migration background,West,Permanent job,0.81809,697,846,0.79208,0.84410
2022,Indirect migration background,West,Temporary job,0.18191,149,846,0.15590,0.20792
2022,Indirect migration background,East,Permanent job,0.91296,85,85,0.85267,0.97324
