,Unnamed: 0,year,regtyp,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
25,25,1991,Urban regions,Temporary job,0.2155,234,1636,0.1909,0.23711
26,26,1991,Rural regions,Permanent job,0.75508,468,1636,0.71282,0.80375
27,27,1991,Rural regions,Temporary job,0.24492,143,1636,0.21605,0.26883
28,28,1992,Urban regions,Permanent job,0.78069,728,1575,0.74571,0.82605
29,29,1992,Urban regions,Temporary job,0.21931,212,1575,0.19741,0.24373
30,30,1992,Rural regions,Permanent job,0.72517,459,1575,0.67689,0.76663
31,31,1992,Rural regions,Temporary job,0.27483,176,1575,0.24618,0.30763
32,32,1993,Urban regions,Permanent job,0.79956,691,1368,0.75818,0.84365
33,33,1993,Urban regions,Temporary job,0.20044,186,1368,0.18482,0.22639
34,34,1993,Rural regions,Permanent job,0.71045,361,1368,0.66892,0.75707
35,35,1993,Rural regions,Temporary job,0.28955,130,1368,0.24669,0.33595
36,36,1994,Urban regions,Permanent job,0.7179,549,1242,0.67414,0.77047
37,37,1994,Urban regions,Temporary job,0.2821,238,1242,0.25875,0.30969
38,38,1994,Rural regions,Permanent job,0.61016,282,1242,0.55384,0.65625
39,39,1994,Rural regions,Temporary job,0.38984,173,1242,0.34283,0.43346
40,40,1995,Urban regions,Permanent job,0.89756,4179,7176,0.87735,0.92027
41,41,1995,Urban regions,Temporary job,0.10244,511,7176,0.09591,0.10847
42,42,1995,Rural regions,Permanent job,0.83774,2075,7176,0.81368,0.85971
43,43,1995,Rural regions,Temporary job,0.16226,411,7176,0.15233,0.17483
44,44,1996,Urban regions,Permanent job,0.8916,4045,6965,0.86949,0.91758
45,45,1996,Urban regions,Temporary job,0.1084,505,6965,0.10069,0.11596
46,46,1996,Rural regions,Permanent job,0.86455,2058,6965,0.83854,0.89581
47,47,1996,Rural regions,Temporary job,0.13545,357,6965,0.12137,0.14862
48,48,1997,Urban regions,Permanent job,0.87182,3811,6738,0.852,0.8913
49,49,1997,Urban regions,Temporary job,0.12818,584,6738,0.11975,0.13581
50,50,1997,Rural regions,Permanent job,0.85173,1971,6738,0.82289,0.87844
51,51,1997,Rural regions,Temporary job,0.14827,372,6738,0.13484,0.16206
52,52,1998,Urban regions,Permanent job,0.87233,4193,7397,0.85369,0.89086
53,53,1998,Urban regions,Temporary job,0.12767,633,7397,0.11994,0.13536
54,54,1998,Rural regions,Permanent job,0.85697,2176,7397,0.83023,0.88055
55,55,1998,Rural regions,Temporary job,0.14303,395,7397,0.13318,0.15202
56,56,1999,Urban regions,Permanent job,0.86834,4112,7314,0.84846,0.89063
57,57,1999,Urban regions,Temporary job,0.13166,653,7314,0.12374,0.13946
58,58,1999,Rural regions,Permanent job,0.84201,2105,7314,0.81391,0.87129
59,59,1999,Rural regions,Temporary job,0.15799,444,7314,0.14774,0.16944
60,60,2000,Urban regions,Permanent job,0.87077,6682,11680,0.85856,0.88343
61,61,2000,Urban regions,Temporary job,0.12923,981,11680,0.12429,0.1335
62,62,2000,Rural regions,Permanent job,0.8401,3332,11680,0.82251,0.85881
63,63,2000,Rural regions,Temporary job,0.1599,685,11680,0.15288,0.16611
64,64,2001,Urban regions,Permanent job,0.87459,6135,10626,0.86039,0.88895
65,65,2001,Urban regions,Temporary job,0.12541,892,10626,0.1205,0.13142
66,66,2001,Rural regions,Permanent job,0.8388,2986,10626,0.82185,0.85757
67,67,2001,Rural regions,Temporary job,0.1612,613,10626,0.15388,0.16977
68,68,2002,Urban regions,Permanent job,0.87133,6538,11155,0.85573,0.88387
69,69,2002,Urban regions,Temporary job,0.12867,933,11155,0.12228,0.13553
70,70,2002,Rural regions,Permanent job,0.83953,3104,11155,0.80984,0.8675
71,71,2002,Rural regions,Temporary job,0.16047,580,11155,0.15111,0.17288
72,72,2003,Urban regions,Permanent job,0.86811,6116,10453,0.85124,0.88873
73,73,2003,Urban regions,Temporary job,0.13189,904,10453,0.12594,0.13811
74,74,2003,Rural regions,Permanent job,0.84749,2897,10453,0.82523,0.87477
75,75,2003,Rural regions,Temporary job,0.15251,536,10453,0.14276,0.16331
76,76,2004,Urban regions,Permanent job,0.85965,5878,10074,0.84135,0.87789
77,77,2004,Urban regions,Temporary job,0.14035,894,10074,0.13286,0.1494
78,78,2004,Rural regions,Permanent job,0.84233,2760,10074,0.81448,0.87605
79,79,2004,Rural regions,Temporary job,0.15767,542,10074,0.14582,0.17028
80,80,2005,Urban regions,Permanent job,0.86626,5728,9727,0.84326,0.8888
81,81,2005,Urban regions,Temporary job,0.13374,818,9727,0.12509,0.14186
82,82,2005,Rural regions,Permanent job,0.84226,2722,9727,0.81053,0.87
83,83,2005,Rural regions,Temporary job,0.15774,459,9727,0.14444,0.17064
84,84,2006,Urban regions,Permanent job,0.85617,5911,10192,0.83978,0.87566
85,85,2006,Urban regions,Temporary job,0.14383,886,10192,0.13475,0.15186
86,86,2006,Rural regions,Permanent job,0.83574,2875,10192,0.81131,0.86511
87,87,2006,Rural regions,Temporary job,0.16426,520,10192,0.15296,0.17524
88,88,2007,Urban regions,Permanent job,0.85006,5558,9744,0.83325,0.87
89,89,2007,Urban regions,Temporary job,0.14994,890,9744,0.14133,0.15991
90,90,2007,Rural regions,Permanent job,0.83711,2786,9744,0.80862,0.86646
91,91,2007,Rural regions,Temporary job,0.16289,510,9744,0.15273,0.17768
92,92,2008,Urban regions,Permanent job,0.84913,5341,9371,0.82801,0.87034
93,93,2008,Urban regions,Temporary job,0.15087,868,9371,0.14392,0.15898
94,94,2008,Rural regions,Permanent job,0.83019,2669,9371,0.79884,0.86044
95,95,2008,Rural regions,Temporary job,0.16981,493,9371,0.15583,0.18455
96,96,2009,Urban regions,Permanent job,0.84151,4857,8724,0.82141,0.86684
97,97,2009,Urban regions,Temporary job,0.15849,847,8724,0.14656,0.16819
98,98,2009,Rural regions,Permanent job,0.84723,2582,8724,0.81323,0.88296
99,99,2009,Rural regions,Temporary job,0.15277,438,8724,0.13657,0.16892
100,100,2010,Urban regions,Permanent job,0.84534,6595,11997,0.82081,0.86918
101,101,2010,Urban regions,Temporary job,0.15466,1192,11997,0.14367,0.16546
102,102,2010,Rural regions,Permanent job,0.83019,3558,11997,0.79946,0.86407
103,103,2010,Rural regions,Temporary job,0.16981,652,11997,0.15353,0.18715
104,104,2011,Urban regions,Permanent job,0.84317,7960,14581,0.8202,0.86747
105,105,2011,Urban regions,Temporary job,0.15683,1358,14581,0.14627,0.16736
106,106,2011,Rural regions,Permanent job,0.83196,4451,14581,0.80568,0.8631
107,107,2011,Rural regions,Temporary job,0.16804,812,14581,0.15608,0.18308
108,108,2012,Urban regions,Permanent job,0.83755,7712,14433,0.81614,0.86203
109,109,2012,Urban regions,Temporary job,0.16245,1427,14433,0.15129,0.17304
110,110,2012,Rural regions,Permanent job,0.84564,4468,14433,0.81872,0.87399
111,111,2012,Rural regions,Temporary job,0.15436,826,14433,0.14336,0.16584
112,112,2013,Urban regions,Permanent job,0.82574,8783,16325,0.80315,0.84803
113,113,2013,Urban regions,Temporary job,0.17426,1968,16325,0.16246,0.18544
114,114,2013,Rural regions,Permanent job,0.85392,4660,16325,0.82241,0.88984
115,115,2013,Rural regions,Temporary job,0.14608,914,16325,0.13639,0.15751
116,116,2014,Urban regions,Permanent job,0.82151,7748,14430,0.79595,0.84402
117,117,2014,Urban regions,Temporary job,0.17849,1686,14430,0.16816,0.19226
118,118,2014,Rural regions,Permanent job,0.84306,4207,14430,0.80737,0.87482
119,119,2014,Rural regions,Temporary job,0.15694,789,14430,0.1413,0.17189
120,120,2015,Urban regions,Permanent job,0.82257,7654,14397,0.80223,0.8456
121,121,2015,Urban regions,Temporary job,0.17743,1744,14397,0.1668,0.18879
122,122,2015,Rural regions,Permanent job,0.85185,4182,14397,0.82208,0.88055
123,123,2015,Rural regions,Temporary job,0.14815,817,14397,0.13512,0.16269
124,124,2016,Urban regions,Permanent job,0.817,7061,13406,0.79323,0.8427
125,125,2016,Urban regions,Temporary job,0.183,1700,13406,0.17237,0.19576
126,126,2016,Rural regions,Permanent job,0.84929,3825,13406,0.81362,0.88457
127,127,2016,Rural regions,Temporary job,0.15071,820,13406,0.13589,0.16835
128,128,2017,Urban regions,Permanent job,0.82625,8059,15325,0.8036,0.84359
129,129,2017,Urban regions,Temporary job,0.17375,1860,15325,0.16464,0.18546
130,130,2017,Rural regions,Permanent job,0.84798,4458,15325,0.81652,0.87877
131,131,2017,Rural regions,Temporary job,0.15202,948,15325,0.14033,0.16435
132,132,2018,Urban regions,Permanent job,0.82623,7884,15070,0.80597,0.84827
133,133,2018,Urban regions,Temporary job,0.17377,1973,15070,0.16532,0.1841
134,134,2018,Rural regions,Permanent job,0.86233,4306,15070,0.82863,0.89827
135,135,2018,Rural regions,Temporary job,0.13767,907,15070,0.12504,0.14933
136,136,2019,Urban regions,Permanent job,0.83579,7468,14273,0.81383,0.8609
137,137,2019,Urban regions,Temporary job,0.16421,1878,14273,0.15523,0.17582
138,138,2019,Rural regions,Permanent job,0.8674,4095,14273,0.83675,0.9094
139,139,2019,Rural regions,Temporary job,0.1326,832,14273,0.12068,0.14691
140,140,2020,Urban regions,Permanent job,0.83695,8169,15541,0.81122,0.86075
141,141,2020,Urban regions,Temporary job,0.16305,2354,15541,0.15118,0.17405
142,142,2020,Rural regions,Permanent job,0.88661,4185,15541,0.85417,0.92167
143,143,2020,Rural regions,Temporary job,0.11339,833,15541,0.10221,0.12688
144,144,2021,Urban regions,Permanent job,0.85456,5674,10201,0.81795,0.89189
145,145,2021,Urban regions,Temporary job,0.14544,1256,10201,0.1328,0.15766
146,146,2021,Rural regions,Permanent job,0.88398,2825,10201,0.83674,0.92494
147,147,2021,Rural regions,Temporary job,0.11602,446,10201,0.09772,0.13641
