year,regtyp,sampreg,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,Rural regions,East,Yes,0.04435,66,1358,0.03340,0.05530
2021,Rural regions,East,No,0.86050,1292,1358,0.84206,0.87893
2022,Urban regions,West,Yes,0.04464,683,11472,0.04086,0.04842
2022,Urban regions,West,No,0.94013,10789,11472,0.93579,0.94447
2022,Urban regions,East,Yes,0.02759,53,1627,0.01963,0.03555
2022,Urban regions,East,No,0.95514,1574,1627,0.94508,0.96520
2022,Rural regions,West,Yes,0.07670,322,3493,0.06787,0.08552
2022,Rural regions,West,No,0.91530,3171,3493,0.90606,0.92453
2022,Rural regions,East,Yes,0.05325,177,2564,0.04456,0.06194
2022,Rural regions,East,No,0.93556,2387,2564,0.92605,0.94506
