year,hhtyp,rentown,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,Multi-generational household,Owner,No,0.99624,72,72,0.98200,1.01048
2012,Other Combinations,Owner,No,0.96917,44,44,0.91750,1.02084
2012,Other Combinations,Tenant,No,0.91907,50,50,0.84271,0.99543
2013,Single-person household,Owner,No,0.97518,1037,1037,0.96570,0.98465
2013,Single-person household,Tenant,No,0.99063,2761,2761,0.98703,0.99422
2013,Couple without children,Owner,Yes,0.04579,108,2521,0.03763,0.05395
2013,Couple without children,Owner,No,0.95298,2413,2521,0.94472,0.96125
2013,Couple without children,Tenant,Yes,0.01576,31,2116,0.01045,0.02106
2013,Couple without children,Tenant,No,0.98424,2085,2116,0.97894,0.98955
2013,Single parent,Owner,No,0.96123,475,475,0.94385,0.97861
2013,Single parent,Tenant,No,0.99309,1733,1733,0.98919,0.99699
2013,Couple with children,Owner,Yes,0.07478,319,3447,0.06599,0.08356
2013,Couple with children,Owner,No,0.92522,3128,3447,0.91644,0.93401
2013,Couple with children,Tenant,No,0.99235,3171,3171,0.98932,0.99539
2013,Multi-generational household,Owner,No,0.95253,73,73,0.90342,1.00165
2013,Other Combinations,Owner,No,0.95200,95,95,0.90878,0.99521
2013,Other Combinations,Tenant,No,0.99406,254,254,0.98459,1.00353
2014,Single-person household,Owner,No,0.96847,984,984,0.95754,0.97939
2014,Single-person household,Tenant,No,0.98285,2523,2523,0.97779,0.98792
2014,Couple without children,Owner,Yes,0.05495,129,2397,0.04582,0.06407
2014,Couple without children,Owner,No,0.94248,2268,2397,0.93316,0.95181
2014,Couple without children,Tenant,Yes,0.02039,34,1962,0.01413,0.02664
2014,Couple without children,Tenant,No,0.97939,1928,1962,0.97310,0.98568
2014,Single parent,Owner,No,0.97501,414,414,0.95996,0.99006
2014,Single parent,Tenant,No,0.99256,1370,1370,0.98801,0.99711
2014,Couple with children,Owner,Yes,0.08765,317,3064,0.07763,0.09766
2014,Couple with children,Owner,No,0.91225,2747,3064,0.90223,0.92227
2014,Couple with children,Tenant,Yes,0.01072,33,2634,0.00679,0.01466
2014,Couple with children,Tenant,No,0.98905,2601,2634,0.98508,0.99303
2014,Multi-generational household,Owner,No,0.95183,69,69,0.90094,1.00273
2014,Multi-generational household,Tenant,No,0.96992,50,50,0.92209,1.01775
2014,Other Combinations,Owner,No,0.95608,71,71,0.90807,1.00408
2015,Single-person household,Owner,No,0.97192,958,958,0.96145,0.98239
2015,Single-person household,Tenant,Yes,0.01264,31,2630,0.00837,0.01691
2015,Single-person household,Tenant,No,0.98303,2599,2630,0.97810,0.98797
2015,Couple without children,Owner,Yes,0.04501,116,2302,0.03654,0.05349
2015,Couple without children,Owner,No,0.95394,2186,2302,0.94538,0.96251
2015,Couple without children,Tenant,Yes,0.02563,36,2069,0.01882,0.03244
2015,Couple without children,Tenant,No,0.97018,2033,2069,0.96285,0.97751
2015,Single parent,Owner,No,0.97372,388,388,0.95779,0.98966
2015,Single parent,Tenant,No,0.99237,1290,1290,0.98763,0.99712
2015,Couple with children,Owner,Yes,0.07532,286,2908,0.06572,0.08491
2015,Couple with children,Owner,No,0.92444,2622,2908,0.91483,0.93404
2015,Couple with children,Tenant,Yes,0.01231,34,2746,0.00819,0.01644
2015,Couple with children,Tenant,No,0.98417,2712,2746,0.97950,0.98884
2015,Multi-generational household,Owner,No,0.91418,56,56,0.84015,0.98821
2015,Other Combinations,Owner,No,0.96302,68,68,0.91783,1.00821
2015,Other Combinations,Tenant,No,0.99767,179,179,0.99058,1.00475
2016,Single-person household,Owner,Yes,0.03361,31,930,0.02202,0.04520
2016,Single-person household,Owner,No,0.96596,899,930,0.95430,0.97762
2016,Single-person household,Tenant,No,0.98594,2425,2425,0.98125,0.99063
2016,Couple without children,Owner,Yes,0.05598,114,2222,0.04642,0.06554
2016,Couple without children,Owner,No,0.94402,2108,2222,0.93446,0.95358
2016,Couple without children,Tenant,No,0.98417,1845,1845,0.97847,0.98986
2016,Single parent,Owner,No,0.96391,362,362,0.94467,0.98315
2016,Single parent,Tenant,No,0.98324,1129,1129,0.97575,0.99073
2016,Couple with children,Owner,Yes,0.09345,268,2662,0.08239,0.10451
2016,Couple with children,Owner,No,0.90655,2394,2662,0.89549,0.91761
2016,Couple with children,Tenant,Yes,0.00771,32,2327,0.00415,0.01126
2016,Couple with children,Tenant,No,0.98806,2295,2327,0.98365,0.99248
2016,Multi-generational household,Owner,No,0.87909,47,47,0.78487,0.97331
2016,Other Combinations,Owner,No,0.99599,51,51,0.97848,1.01350
2017,Single-person household,Owner,Yes,0.03771,45,1017,0.02600,0.04943
2017,Single-person household,Owner,No,0.96198,972,1017,0.95022,0.97374
2017,Single-person household,Tenant,Yes,0.01363,37,2807,0.00934,0.01792
2017,Single-person household,Tenant,No,0.97620,2770,2807,0.97055,0.98184
2017,Couple without children,Owner,Yes,0.05857,152,2527,0.04941,0.06773
2017,Couple without children,Owner,No,0.93883,2375,2527,0.92949,0.94818
2017,Couple without children,Tenant,Yes,0.02071,37,2075,0.01458,0.02684
2017,Couple without children,Tenant,No,0.97271,2038,2075,0.96570,0.97972
2017,Single parent,Owner,No,0.95878,386,386,0.93893,0.97864
2017,Single parent,Tenant,No,0.96733,1110,1110,0.95686,0.97779
2017,Couple with children,Owner,Yes,0.09381,297,2956,0.08330,0.10432
2017,Couple with children,Owner,No,0.90523,2659,2956,0.89467,0.91579
2017,Couple with children,Tenant,Yes,0.01578,42,2358,0.01075,0.02081
2017,Couple with children,Tenant,No,0.96212,2316,2358,0.95441,0.96983
2017,Multi-generational household,Owner,No,0.92349,52,52,0.85054,0.99644
2017,Multi-generational household,Tenant,No,0.98014,57,57,0.94360,1.01668
2017,Other Combinations,Owner,No,0.97892,88,88,0.94874,1.00911
2017,Other Combinations,Tenant,No,0.93142,163,163,0.89250,0.97034
2018,Single-person household,Owner,Yes,0.03784,36,1006,0.02604,0.04963
2018,Single-person household,Owner,No,0.96114,970,1006,0.94920,0.97309
2018,Single-person household,Tenant,Yes,0.01262,31,3009,0.00863,0.01661
2018,Single-person household,Tenant,No,0.97248,2978,3009,0.96663,0.97833
2018,Couple without children,Owner,Yes,0.06494,153,2460,0.05520,0.07468
2018,Couple without children,Owner,No,0.93380,2307,2460,0.92397,0.94362
2018,Couple without children,Tenant,Yes,0.02144,36,2075,0.01521,0.02768
2018,Couple without children,Tenant,No,0.96926,2039,2075,0.96184,0.97669
2018,Single parent,Owner,No,0.96225,361,361,0.94257,0.98194
2018,Single parent,Tenant,No,0.97665,1113,1113,0.96777,0.98552
2018,Couple with children,Owner,Yes,0.10322,297,2758,0.09186,0.11458
2018,Couple with children,Owner,No,0.89498,2461,2758,0.88354,0.90642
2018,Couple with children,Tenant,Yes,0.02035,45,2256,0.01453,0.02618
2018,Couple with children,Tenant,No,0.94306,2211,2256,0.93349,0.95262
2018,Multi-generational household,Owner,No,0.96702,51,51,0.91752,1.01652
2018,Multi-generational household,Tenant,No,0.95624,61,61,0.90448,1.00800
2018,Other Combinations,Owner,No,0.96744,82,82,0.92880,1.00609
2018,Other Combinations,Tenant,No,0.89068,140,140,0.83880,0.94255
2019,Single-person household,Owner,Yes,0.02871,32,931,0.01798,0.03944
2019,Single-person household,Owner,No,0.92630,899,931,0.90951,0.94309
2019,Single-person household,Tenant,No,0.84532,2300,2300,0.83054,0.86010
2019,Couple without children,Owner,Yes,0.05719,129,2203,0.04749,0.06689
2019,Couple without children,Owner,No,0.88186,2074,2203,0.86838,0.89534
2019,Couple without children,Tenant,Yes,0.02227,37,1652,0.01515,0.02938
2019,Couple without children,Tenant,No,0.82177,1615,1652,0.80331,0.84023
2019,Single parent,Owner,No,0.89852,313,313,0.86502,0.93203
2019,Single parent,Tenant,No,0.86254,885,885,0.83984,0.88524
2019,Couple with children,Owner,Yes,0.08809,257,2354,0.07664,0.09955
2019,Couple with children,Owner,No,0.83284,2097,2354,0.81776,0.84792
2019,Couple with children,Tenant,Yes,0.01354,33,1657,0.00797,0.01911
2019,Couple with children,Tenant,No,0.80364,1624,1657,0.78451,0.82277
2019,Multi-generational household,Owner,No,0.85809,38,38,0.74564,0.97053
2019,Multi-generational household,Tenant,No,0.92512,43,43,0.84553,1.00472
2019,Other Combinations,Owner,No,0.77980,63,63,0.67665,0.88295
2019,Other Combinations,Tenant,No,0.73994,93,93,0.65030,0.82958
2020,Single-person household,Owner,Yes,0.02936,47,1098,0.01937,0.03935
2020,Single-person household,Owner,No,0.96962,1051,1098,0.95946,0.97978
2020,Single-person household,Tenant,Yes,0.01539,58,3470,0.01129,0.01949
2020,Single-person household,Tenant,No,0.96393,3412,3470,0.95773,0.97014
2020,Couple without children,Owner,Yes,0.04889,152,2629,0.04065,0.05714
2020,Couple without children,Owner,No,0.94572,2477,2629,0.93705,0.95438
2020,Couple without children,Tenant,Yes,0.02463,43,2373,0.01839,0.03087
2020,Couple without children,Tenant,No,0.96555,2330,2373,0.95821,0.97289
2020,Single parent,Owner,No,0.95683,345,345,0.93535,0.97831
2020,Single parent,Tenant,No,0.96597,958,958,0.95448,0.97745
2020,Couple with children,Owner,Yes,0.08505,296,2690,0.07451,0.09560
2020,Couple with children,Owner,No,0.91286,2394,2690,0.90220,0.92352
2020,Couple with children,Tenant,Yes,0.02255,42,2194,0.01633,0.02876
2020,Couple with children,Tenant,No,0.91952,2152,2194,0.90814,0.93091
2020,Multi-generational household,Owner,No,0.98487,50,50,0.95069,1.01905
2020,Multi-generational household,Tenant,No,0.96506,62,62,0.91898,1.01114
2020,Other Combinations,Owner,No,0.96947,90,90,0.93372,1.00521
2020,Other Combinations,Tenant,No,0.89619,197,197,0.85349,0.93889
2021,Single-person household,Owner,Yes,0.02860,35,792,0.01698,0.04022
2021,Single-person household,Owner,No,0.90614,757,792,0.88582,0.92646
2021,Single-person household,Tenant,No,0.83892,1966,1966,0.82266,0.85517
2021,Couple without children,Owner,Yes,0.05481,115,1770,0.04420,0.06541
2021,Couple without children,Owner,No,0.87342,1655,1770,0.85793,0.88892
2021,Couple without children,Tenant,No,0.87799,1321,1321,0.86033,0.89565
2021,Single parent,Owner,No,0.86004,215,215,0.81355,0.90652
2021,Single parent,Tenant,No,0.87828,582,582,0.85169,0.90487
2021,Couple with children,Owner,Yes,0.07530,176,1708,0.06278,0.08782
2021,Couple with children,Owner,No,0.81593,1532,1708,0.79755,0.83432
2021,Couple with children,Tenant,No,0.79210,1141,1141,0.76854,0.81566
2021,Multi-generational household,Owner,No,0.76741,34,34,0.62326,0.91155
2021,Multi-generational household,Tenant,No,0.91553,31,31,0.81601,1.01504
2021,Other Combinations,Owner,No,0.81899,85,85,0.73665,0.90133
2021,Other Combinations,Tenant,No,0.80532,130,130,0.73699,0.87365
2022,Single-person household,Owner,Yes,0.04361,79,1217,0.03213,0.05509
2022,Single-person household,Owner,No,0.95278,1138,1217,0.94086,0.96471
2022,Single-person household,Tenant,Yes,0.01783,123,4321,0.01388,0.02177
2022,Single-person household,Tenant,No,0.96268,4198,4321,0.95703,0.96833
2022,Couple without children,Owner,Yes,0.06996,236,2775,0.06047,0.07945
2022,Couple without children,Owner,No,0.92847,2539,2775,0.91888,0.93806
2022,Couple without children,Tenant,Yes,0.04589,113,2928,0.03831,0.05347
2022,Couple without children,Tenant,No,0.94448,2815,2928,0.93618,0.95278
2022,Single parent,Owner,No,0.93805,289,289,0.91020,0.96589
2022,Single parent,Tenant,No,0.96438,807,807,0.95159,0.97718
2022,Couple with children,Owner,Yes,0.13450,446,2921,0.12213,0.14688
2022,Couple with children,Owner,No,0.86412,2475,2921,0.85169,0.87655
2022,Couple with children,Tenant,Yes,0.04004,92,2215,0.03187,0.04820
2022,Couple with children,Tenant,No,0.90427,2123,2215,0.89201,0.91652
2022,Multi-generational household,Owner,No,0.88020,37,37,0.77412,0.98628
2022,Multi-generational household,Tenant,No,0.93307,38,38,0.85255,1.01360
2022,Other Combinations,Owner,Yes,0.05387,31,412,0.03204,0.07569
2022,Other Combinations,Owner,No,0.94120,381,412,0.91846,0.96395
2022,Other Combinations,Tenant,No,0.93220,667,667,0.91311,0.95130
