year,rentown,sampreg,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Tenant,East,No,0.99576,1902,1902,0.99284,0.99868
2017,Owner,West,Yes,0.06095,438,5746,0.05477,0.06714
2017,Owner,West,No,0.93905,5308,5746,0.93286,0.94523
2017,Owner,East,Yes,0.06334,88,1312,0.05015,0.07652
2017,Owner,East,No,0.93666,1224,1312,0.92348,0.94985
2017,Tenant,West,Yes,0.01874,119,6490,0.01544,0.02204
2017,Tenant,West,No,0.98126,6371,6490,0.97796,0.98456
2017,Tenant,East,No,0.99407,2083,2083,0.99077,0.99737
2018,Owner,West,Yes,0.06515,427,5494,0.05862,0.07168
2018,Owner,West,No,0.93485,5067,5494,0.92832,0.94138
2018,Owner,East,Yes,0.07053,88,1253,0.05634,0.08471
2018,Owner,East,No,0.92947,1165,1253,0.91529,0.94366
2018,Tenant,West,Yes,0.01731,108,6502,0.01414,0.02048
2018,Tenant,West,No,0.98269,6394,6502,0.97952,0.98586
2018,Tenant,East,No,0.98972,2148,2148,0.98545,0.99399
2019,Owner,West,Yes,0.05781,370,4816,0.05122,0.06441
2019,Owner,West,No,0.94219,4446,4816,0.93559,0.94878
2019,Owner,East,Yes,0.07580,80,1118,0.06028,0.09133
2019,Owner,East,No,0.92420,1038,1118,0.90867,0.93972
2019,Tenant,West,Yes,0.01911,93,4945,0.01529,0.02292
2019,Tenant,West,No,0.98089,4852,4945,0.97708,0.98471
2019,Tenant,East,No,0.99349,1708,1708,0.98968,0.99731
2020,Owner,West,Yes,0.04829,404,5585,0.04267,0.05392
2020,Owner,West,No,0.95171,5181,5585,0.94608,0.95733
2020,Owner,East,Yes,0.08121,123,1349,0.06663,0.09579
2020,Owner,East,No,0.91879,1226,1349,0.90421,0.93337
2020,Tenant,West,Yes,0.02193,133,7198,0.01855,0.02532
2020,Tenant,West,No,0.97807,7065,7198,0.97468,0.98145
2020,Tenant,East,No,0.99235,2046,2046,0.98858,0.99613
2021,Owner,West,Yes,0.05033,277,3772,0.04335,0.05731
2021,Owner,West,No,0.94967,3495,3772,0.94269,0.95665
2021,Owner,East,Yes,0.09577,78,869,0.07619,0.11535
2021,Owner,East,No,0.90423,791,869,0.88465,0.92381
2021,Tenant,West,Yes,0.02284,79,3977,0.01820,0.02748
2021,Tenant,West,No,0.97716,3898,3977,0.97252,0.98180
2021,Tenant,East,No,0.99338,1290,1290,0.98896,0.99781
2022,Owner,West,Yes,0.07640,672,6289,0.06984,0.08297
2022,Owner,West,No,0.92360,5617,6289,0.91703,0.93016
2022,Owner,East,Yes,0.08309,166,1540,0.06930,0.09688
2022,Owner,East,No,0.91691,1374,1540,0.90312,0.93070
2022,Tenant,West,Yes,0.03119,332,8664,0.02753,0.03485
2022,Tenant,West,No,0.96881,8332,8664,0.96515,0.97247
2022,Tenant,East,Yes,0.02027,64,2649,0.01490,0.02564
2022,Tenant,East,No,0.97973,2585,2649,0.97436,0.98510
