year,regtyp,rentown,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,Urban regions,Tenant,No,0.85598,4606,4681,0.84592,0.86604
2019,Rural regions,Owner,Yes,0.07541,208,2384,0.06481,0.08601
2019,Rural regions,Owner,No,0.88218,2176,2384,0.86924,0.89513
2019,Rural regions,Tenant,Yes,0.01656,35,1989,0.01095,0.02217
2019,Rural regions,Tenant,No,0.84420,1954,1989,0.82826,0.86015
2020,Urban regions,Owner,Yes,0.03919,285,4263,0.03336,0.04501
2020,Urban regions,Owner,No,0.95701,3978,4263,0.95092,0.96310
2020,Urban regions,Tenant,Yes,0.01894,99,6672,0.01567,0.02221
2020,Urban regions,Tenant,No,0.95413,6573,6672,0.94911,0.95915
2020,Rural regions,Owner,Yes,0.07844,242,2671,0.06824,0.08864
2020,Rural regions,Owner,No,0.92035,2429,2671,0.91008,0.93062
2020,Rural regions,Tenant,Yes,0.01726,55,2593,0.01225,0.02228
2020,Rural regions,Tenant,No,0.96247,2538,2593,0.95515,0.96979
2021,Urban regions,Owner,Yes,0.03596,186,2837,0.02911,0.04281
2021,Urban regions,Owner,No,0.87430,2651,2837,0.86210,0.88650
2021,Urban regions,Tenant,Yes,0.01823,64,3754,0.01395,0.02252
2021,Urban regions,Tenant,No,0.83079,3690,3754,0.81879,0.84278
2021,Rural regions,Owner,Yes,0.08171,169,1804,0.06907,0.09436
2021,Rural regions,Owner,No,0.85020,1635,1804,0.83373,0.86667
2021,Rural regions,Tenant,No,0.86482,1498,1498,0.84750,0.88214
2022,Urban regions,Owner,Yes,0.06568,454,4685,0.05858,0.07277
2022,Urban regions,Owner,No,0.93333,4231,4685,0.92619,0.94048
2022,Urban regions,Tenant,Yes,0.02550,282,8406,0.02213,0.02888
2022,Urban regions,Tenant,No,0.94785,8124,8406,0.94310,0.95261
2022,Rural regions,Owner,Yes,0.09788,384,3144,0.08749,0.10827
2022,Rural regions,Owner,No,0.89683,2760,3144,0.88619,0.90746
2022,Rural regions,Tenant,Yes,0.03577,114,2907,0.02902,0.04252
2022,Rural regions,Tenant,No,0.95113,2793,2907,0.94329,0.95897
