year,hhtyp,sampreg,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Single parent,West,No,0.98648,1395,1395,0.98041,0.99254
2014,Single parent,East,No,0.99601,389,389,0.98974,1.00228
2014,Couple with children,West,Yes,0.05777,297,4725,0.05112,0.06443
2014,Couple with children,West,No,0.94223,4428,4725,0.93557,0.94888
2014,Couple with children,East,Yes,0.05374,53,973,0.03956,0.06791
2014,Couple with children,East,No,0.94626,920,973,0.93209,0.96044
2014,Multi-generational household,West,No,0.94826,96,96,0.90372,0.99280
2014,Other Combinations,West,No,0.98444,230,230,0.96841,1.00047
2015,Single-person household,West,Yes,0.02014,51,2745,0.01488,0.02540
2015,Single-person household,West,No,0.97986,2694,2745,0.97460,0.98512
2015,Single-person household,East,No,0.99275,863,863,0.98708,0.99841
2015,Couple without children,West,Yes,0.03739,121,3306,0.03093,0.04386
2015,Couple without children,West,No,0.96261,3185,3306,0.95614,0.96907
2015,Couple without children,East,Yes,0.03467,31,1065,0.02368,0.04567
2015,Couple without children,East,No,0.96533,1034,1065,0.95433,0.97632
2015,Single parent,West,No,0.98831,1321,1321,0.98251,0.99411
2015,Single parent,East,No,0.98964,357,357,0.97912,1.00016
2015,Couple with children,West,Yes,0.04747,263,4736,0.04141,0.05353
2015,Couple with children,West,No,0.95253,4473,4736,0.94647,0.95859
2015,Couple with children,East,Yes,0.06796,57,918,0.05167,0.08425
2015,Couple with children,East,No,0.93204,861,918,0.91575,0.94833
2015,Multi-generational household,West,No,0.93447,108,108,0.88758,0.98136
2015,Other Combinations,West,No,0.98473,212,212,0.96818,1.00127
2016,Single-person household,West,Yes,0.02054,47,2529,0.01501,0.02607
2016,Single-person household,West,No,0.97946,2482,2529,0.97393,0.98499
2016,Single-person household,East,No,0.99106,843,843,0.98470,0.99742
2016,Couple without children,West,Yes,0.03746,109,3082,0.03076,0.04417
2016,Couple without children,West,No,0.96254,2973,3082,0.95583,0.96924
2016,Couple without children,East,No,0.96289,980,980,0.95104,0.97473
2016,Single parent,West,No,0.97654,1158,1158,0.96782,0.98526
2016,Single parent,East,No,0.98984,333,333,0.97906,1.00063
2016,Couple with children,West,Yes,0.05536,254,4168,0.04841,0.06230
2016,Couple with children,West,No,0.94464,3914,4168,0.93770,0.95159
2016,Couple with children,East,Yes,0.07981,46,821,0.06126,0.09836
2016,Couple with children,East,No,0.92019,775,821,0.90164,0.93874
2016,Multi-generational household,West,No,0.90561,79,79,0.84073,0.97050
2017,Single-person household,West,Yes,0.02502,72,2855,0.01929,0.03075
2017,Single-person household,West,No,0.97498,2783,2855,0.96925,0.98071
2017,Single-person household,East,No,0.99254,959,959,0.98709,0.99799
2017,Couple without children,West,Yes,0.04703,158,3472,0.03999,0.05408
2017,Couple without children,West,No,0.95297,3314,3472,0.94592,0.96001
2017,Couple without children,East,Yes,0.02685,31,1130,0.01742,0.03627
2017,Couple without children,East,No,0.97315,1099,1130,0.96373,0.98258
2017,Single parent,West,Yes,0.02568,31,1195,0.01671,0.03465
2017,Single parent,West,No,0.97432,1164,1195,0.96535,0.98329
2017,Single parent,East,No,0.97324,332,332,0.95585,0.99062
2017,Couple with children,West,Yes,0.05984,286,4404,0.05283,0.06684
2017,Couple with children,West,No,0.94016,4118,4404,0.93316,0.94717
2017,Couple with children,East,Yes,0.07980,53,910,0.06219,0.09742
2017,Couple with children,East,No,0.92020,857,910,0.90258,0.93781
2017,Multi-generational household,West,No,0.93570,84,84,0.88293,0.98847
2017,Other Combinations,West,No,0.98300,216,216,0.96573,1.00028
2018,Single-person household,West,Yes,0.02471,61,2995,0.01915,0.03027
2018,Single-person household,West,No,0.97529,2934,2995,0.96973,0.98085
2018,Single-person household,East,No,0.99400,1014,1014,0.98925,0.99876
2018,Couple without children,West,Yes,0.04925,152,3407,0.04198,0.05652
2018,Couple without children,West,No,0.95075,3255,3407,0.94348,0.95802
2018,Couple without children,East,Yes,0.03927,37,1128,0.02793,0.05061
2018,Couple without children,East,No,0.96073,1091,1128,0.94939,0.97207
2018,Single parent,West,No,0.98517,1145,1145,0.97817,0.99217
2018,Single parent,East,No,0.98029,329,329,0.96525,0.99533
2018,Couple with children,West,Yes,0.06726,285,4131,0.05962,0.07490
2018,Couple with children,West,No,0.93274,3846,4131,0.92510,0.94038
2018,Couple with children,East,Yes,0.09329,57,883,0.07409,0.11248
2018,Couple with children,East,No,0.90671,826,883,0.88752,0.92591
2018,Multi-generational household,West,No,0.96591,86,86,0.92734,1.00449
2018,Other Combinations,West,No,0.97358,195,195,0.95101,0.99615
2019,Single-person household,West,Yes,0.02284,54,2428,0.01689,0.02878
2019,Single-person household,West,No,0.97716,2374,2428,0.97122,0.98311
2019,Single-person household,East,No,0.99454,825,825,0.98951,0.99957
2019,Couple without children,West,Yes,0.04876,134,2877,0.04089,0.05663
2019,Couple without children,West,No,0.95124,2743,2877,0.94337,0.95911
2019,Couple without children,East,Yes,0.04321,32,978,0.03046,0.05596
2019,Couple without children,East,No,0.95679,946,978,0.94404,0.96954
2019,Single parent,West,No,0.97966,925,925,0.97056,0.98876
2019,Single parent,East,No,0.98019,273,273,0.96363,0.99675
2019,Couple with children,West,Yes,0.06131,238,3300,0.05313,0.06950
2019,Couple with children,West,No,0.93869,3062,3300,0.93050,0.94687
2019,Couple with children,East,Yes,0.09821,52,711,0.07632,0.12010
2019,Couple with children,East,No,0.90179,659,711,0.87990,0.92368
2019,Multi-generational household,West,No,0.95257,62,62,0.89923,1.00591
2019,Other Combinations,West,No,0.97039,132,132,0.94136,0.99942
2020,Single-person household,West,Yes,0.02302,86,3536,0.01807,0.02796
2020,Single-person household,West,No,0.97698,3450,3536,0.97204,0.98193
2020,Single-person household,East,No,0.99115,1013,1013,0.98537,0.99692
2020,Couple without children,West,Yes,0.03814,146,3838,0.03208,0.04420
2020,Couple without children,West,No,0.96186,3692,3838,0.95580,0.96792
2020,Couple without children,East,Yes,0.04424,49,1164,0.03242,0.05606
2020,Couple without children,East,No,0.95576,1115,1164,0.94394,0.96758
2020,Single parent,West,No,0.97351,1010,1010,0.96361,0.98342
2020,Single parent,East,No,0.98501,293,293,0.97107,0.99895
2020,Couple with children,West,Yes,0.05544,270,4030,0.04837,0.06251
2020,Couple with children,West,No,0.94456,3760,4030,0.93749,0.95163
2020,Couple with children,East,Yes,0.09839,68,854,0.07841,0.11838
2020,Couple with children,East,No,0.90161,786,854,0.88162,0.92159
2020,Multi-generational household,West,No,0.98624,87,87,0.96162,1.01086
2020,Other Combinations,West,No,0.98248,247,247,0.96609,0.99888
2020,Other Combinations,East,No,0.99949,40,40,0.99241,1.00657
2021,Single-person household,West,Yes,0.02595,55,2164,0.01925,0.03265
2021,Single-person household,West,No,0.97405,2109,2164,0.96735,0.98075
2021,Single-person household,East,No,0.98886,615,615,0.98056,0.99716
2021,Couple without children,West,Yes,0.04098,106,2360,0.03298,0.04898
2021,Couple without children,West,No,0.95902,2254,2360,0.95102,0.96702
2021,Couple without children,East,Yes,0.05539,34,756,0.03908,0.07171
2021,Couple without children,East,No,0.94461,722,756,0.92829,0.96092
2021,Single parent,West,No,0.97086,580,580,0.95716,0.98456
2021,Single parent,East,No,0.98156,217,217,0.96362,0.99950
2021,Couple with children,West,Yes,0.05703,163,2369,0.04769,0.06637
2021,Couple with children,West,No,0.94297,2206,2369,0.93363,0.95231
2021,Couple with children,East,Yes,0.10427,36,506,0.07762,0.13093
2021,Couple with children,East,No,0.89573,470,506,0.86907,0.92238
2021,Multi-generational household,West,No,0.99130,50,50,0.96530,1.01730
2021,Other Combinations,West,No,0.97919,177,177,0.95810,1.00028
2021,Other Combinations,East,No,0.98392,38,38,0.94339,1.02445
2022,No answer / don't know,West,No,0.92944,311,311,0.90093,0.95795
2022,No answer / don't know,East,No,0.90430,91,91,0.84352,0.96508
2022,Single-person household,West,Yes,0.02912,172,4268,0.02407,0.03416
2022,Single-person household,West,No,0.97088,4096,4268,0.96584,0.97593
2022,Single-person household,East,No,0.98250,1246,1246,0.97522,0.98979
2022,Couple without children,West,Yes,0.06319,279,4451,0.05604,0.07034
2022,Couple without children,West,No,0.93681,4172,4451,0.92966,0.94396
2022,Couple without children,East,Yes,0.04885,70,1254,0.03692,0.06079
2022,Couple without children,East,No,0.95115,1184,1254,0.93921,0.96308
2022,Single parent,West,Yes,0.02913,32,838,0.01774,0.04052
2022,Single parent,West,No,0.97087,806,838,0.95948,0.98226
2022,Single parent,East,No,0.96481,291,291,0.94361,0.98602
2022,Couple with children,West,Yes,0.09547,432,4119,0.08650,0.10445
2022,Couple with children,West,No,0.90453,3687,4119,0.89555,0.91350
2022,Couple with children,East,Yes,0.11361,106,1020,0.09413,0.13309
2022,Couple with children,East,No,0.88639,914,1020,0.86691,0.90587
2022,Multi-generational household,West,No,0.92191,56,56,0.85100,0.99282
2022,Other Combinations,West,Yes,0.04977,55,887,0.03545,0.06409
2022,Other Combinations,West,No,0.95023,832,887,0.93591,0.96455
2022,Other Combinations,East,No,0.97490,216,216,0.95400,0.99581
