year,sex,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,male,Not compensated,0.06551,534,2969,0.05661,0.07442
1999,female,Comp. time,0.12035,1114,1981,0.10602,0.13468
1999,female,Some of both,0.03499,333,1981,0.02690,0.04309
1999,female,Paid,0.02203,230,1981,0.01557,0.02850
1999,female,Not compensated,0.03253,304,1981,0.02472,0.04035
2000,male,Comp. time,0.13637,1966,4992,0.12685,0.14590
2000,male,Some of both,0.08038,1183,4992,0.07283,0.08792
2000,male,Paid,0.06237,929,4992,0.05566,0.06908
2000,male,Not compensated,0.06177,914,4992,0.05509,0.06845
2000,female,Comp. time,0.12140,1922,3272,0.11021,0.13259
2000,female,Some of both,0.03284,516,3272,0.02673,0.03895
2000,female,Paid,0.02361,377,3272,0.01841,0.02881
2000,female,Not compensated,0.02796,457,3272,0.02231,0.03360
2001,male,Comp. time,0.13166,1730,4543,0.12183,0.14149
2001,male,Some of both,0.08370,1142,4543,0.07564,0.09175
2001,male,Paid,0.06168,843,4543,0.05468,0.06868
2001,male,Not compensated,0.06083,828,4543,0.05388,0.06778
2001,female,Comp. time,0.12249,1783,3173,0.11108,0.13390
2001,female,Some of both,0.03830,562,3173,0.03162,0.04498
2001,female,Paid,0.02730,385,3173,0.02163,0.03297
2001,female,Not compensated,0.02996,443,3173,0.02402,0.03589
2002,male,Comp. time,0.12922,1736,4630,0.11956,0.13888
2002,male,Some of both,0.07699,1116,4630,0.06931,0.08467
2002,male,Paid,0.05063,675,4630,0.04431,0.05694
2002,male,Not compensated,0.06067,1103,4630,0.05379,0.06755
2002,female,Comp. time,0.12023,1886,3328,0.10918,0.13128
2002,female,Some of both,0.03288,541,3328,0.02682,0.03894
2002,female,Paid,0.02062,315,3328,0.01579,0.02545
2002,female,Not compensated,0.03216,586,3328,0.02616,0.03815
2003,male,Comp. time,0.13602,1718,4261,0.12573,0.14631
2003,male,Some of both,0.06928,962,4261,0.06165,0.07691
2003,male,Paid,0.04686,598,4261,0.04051,0.05320
2003,male,Not compensated,0.05914,983,4261,0.05206,0.06622
2003,female,Comp. time,0.12733,1903,3287,0.11593,0.13872
2003,female,Some of both,0.03381,524,3287,0.02763,0.03999
2003,female,Paid,0.02126,299,3287,0.01633,0.02619
2003,female,Not compensated,0.02989,561,3287,0.02406,0.03571
2004,male,Comp. time,0.13379,1661,4131,0.12340,0.14417
2004,male,Some of both,0.06528,903,4131,0.05775,0.07281
2004,male,Paid,0.04499,532,4131,0.03867,0.05132
2004,male,Not compensated,0.06647,1035,4131,0.05888,0.07407
2004,female,Comp. time,0.12433,1823,3152,0.11281,0.13585
2004,female,Some of both,0.03397,488,3152,0.02765,0.04030
2004,female,Paid,0.01914,275,3152,0.01436,0.02393
2004,female,Not compensated,0.03183,566,3152,0.02570,0.03796
2005,male,Comp. time,0.13499,1613,3817,0.12415,0.14583
2005,male,Some of both,0.07419,895,3817,0.06588,0.08251
2005,male,Paid,0.03746,439,3817,0.03144,0.04349
2005,male,Not compensated,0.06167,870,3817,0.05404,0.06930
2005,female,Comp. time,0.13046,1767,2962,0.11833,0.14259
2005,female,Some of both,0.03261,442,2962,0.02621,0.03901
2005,female,Paid,0.02080,250,2962,0.01566,0.02595
2005,female,Not compensated,0.03096,503,2962,0.02473,0.03720
2006,male,Comp. time,0.14146,1760,4093,0.13079,0.15214
2006,male,Some of both,0.06952,865,4093,0.06173,0.07731
2006,male,Paid,0.04267,466,4093,0.03647,0.04886
2006,male,Not compensated,0.06890,1002,4093,0.06114,0.07666
2006,female,Comp. time,0.13266,1969,3402,0.12126,0.14406
2006,female,Some of both,0.03555,524,3402,0.02933,0.04178
2006,female,Paid,0.02236,296,3402,0.01739,0.02733
2006,female,Not compensated,0.03844,613,3402,0.03198,0.04490
2007,male,Comp. time,0.13773,1602,3834,0.12682,0.14864
2007,male,Some of both,0.07632,874,3834,0.06791,0.08472
2007,male,Paid,0.03782,408,3834,0.03178,0.04386
2007,male,Not compensated,0.06959,950,3834,0.06154,0.07765
2007,female,Comp. time,0.13551,1843,3110,0.12348,0.14755
2007,female,Some of both,0.03823,496,3110,0.03149,0.04498
2007,female,Paid,0.01801,227,3110,0.01333,0.02268
2007,female,Not compensated,0.03625,544,3110,0.02968,0.04282
2008,male,Comp. time,0.14772,1544,3710,0.13630,0.15914
2008,male,Some of both,0.07906,821,3710,0.07038,0.08775
2008,male,Paid,0.04481,447,3710,0.03815,0.05147
2008,male,Not compensated,0.06920,898,3710,0.06104,0.07737
2008,female,Comp. time,0.14082,1777,3141,0.12865,0.15299
2008,female,Some of both,0.04501,545,3141,0.03776,0.05226
2008,female,Paid,0.01943,243,3141,0.01460,0.02425
2008,female,Not compensated,0.04249,576,3141,0.03544,0.04955
2009,male,Comp. time,0.14249,1399,3261,0.13049,0.15449
2009,male,Some of both,0.07716,715,3261,0.06800,0.08632
2009,male,Paid,0.03784,350,3261,0.03129,0.04439
2009,male,Not compensated,0.06784,797,3261,0.05921,0.07647
2009,female,Comp. time,0.13671,1577,2813,0.12402,0.14941
2009,female,Some of both,0.04668,507,2813,0.03888,0.05448
2009,female,Paid,0.02246,238,2813,0.01698,0.02794
2009,female,Not compensated,0.03971,491,2813,0.03249,0.04692
2010,male,Comp. time,0.14940,1999,4614,0.13911,0.15968
2010,male,Some of both,0.07024,997,4614,0.06287,0.07762
2010,male,Paid,0.03929,594,4614,0.03368,0.04489
2010,male,Not compensated,0.06621,1024,4614,0.05903,0.07338
2010,female,Comp. time,0.15531,2265,3817,0.14382,0.16680
2010,female,Some of both,0.04022,579,3817,0.03399,0.04646
2010,female,Paid,0.02341,368,3817,0.01861,0.02820
2010,female,Not compensated,0.04297,605,3817,0.03653,0.04940
2011,male,Comp. time,0.14178,2256,5397,0.13247,0.15109
2011,male,Some of both,0.07412,1195,5397,0.06713,0.08111
2011,male,Paid,0.04724,737,5397,0.04158,0.05290
2011,male,Not compensated,0.06910,1209,5397,0.06233,0.07587
2011,female,Comp. time,0.14923,2756,4742,0.13909,0.15937
2011,female,Some of both,0.04135,734,4742,0.03568,0.04702
2011,female,Paid,0.02402,505,4742,0.01966,0.02838
2011,female,Not compensated,0.04299,747,4742,0.03721,0.04876
2012,male,Comp. time,0.15565,2375,5385,0.14597,0.16533
2012,male,Some of both,0.08404,1227,5385,0.07663,0.09145
2012,male,Paid,0.04336,690,5385,0.03792,0.04880
2012,male,Not compensated,0.06403,1093,5385,0.05750,0.07057
2012,female,Comp. time,0.15823,2924,4989,0.14810,0.16836
2012,female,Some of both,0.04416,831,4989,0.03846,0.04986
2012,female,Paid,0.02683,519,4989,0.02234,0.03131
2012,female,Not compensated,0.03885,715,4989,0.03349,0.04421
2013,male,Comp. time,0.14866,2561,5789,0.13950,0.15783
2013,male,Some of both,0.07860,1347,5789,0.07167,0.08553
2013,male,Paid,0.04116,774,5789,0.03605,0.04628
2013,male,Not compensated,0.06213,1107,5789,0.05591,0.06835
2013,female,Comp. time,0.15057,3037,5238,0.14088,0.16026
2013,female,Some of both,0.04347,858,5238,0.03795,0.04899
2013,female,Paid,0.02618,626,5238,0.02186,0.03051
2013,female,Not compensated,0.03677,717,5238,0.03167,0.04186
2014,male,Comp. time,0.15230,2263,5164,0.14250,0.16210
2014,male,Some of both,0.08269,1268,5164,0.07517,0.09020
2014,male,Paid,0.04352,676,5164,0.03796,0.04909
2014,male,Not compensated,0.05772,957,5164,0.05136,0.06409
2014,female,Comp. time,0.15546,2822,4891,0.14531,0.16562
2014,female,Some of both,0.05069,895,4891,0.04454,0.05684
2014,female,Paid,0.02458,521,4891,0.02024,0.02892
2014,female,Not compensated,0.03968,653,4891,0.03421,0.04515
2018,male,Comp. time,0.16668,2283,4923,0.15627,0.17710
2018,male,Some of both,0.08789,1239,4923,0.07998,0.09580
2018,male,Paid,0.04316,649,4923,0.03749,0.04884
2018,male,Not compensated,0.05341,752,4923,0.04713,0.05969
2018,female,Comp. time,0.17513,2979,4949,0.16454,0.18572
2018,female,Some of both,0.05516,901,4949,0.04880,0.06152
2018,female,Paid,0.02728,542,4949,0.02274,0.03182
2018,female,Not compensated,0.03130,527,4949,0.02645,0.03615
2020,male,Comp. time,0.17136,2257,4894,0.16080,0.18192
2020,male,Some of both,0.09229,1234,4894,0.08418,0.10040
2020,male,Paid,0.03887,604,4894,0.03346,0.04429
2020,male,Not compensated,0.04818,799,4894,0.04218,0.05418
2020,female,Comp. time,0.19450,3030,5045,0.18358,0.20543
2020,female,Some of both,0.06042,990,5045,0.05385,0.06700
2020,female,Paid,0.02612,501,5045,0.02172,0.03053
2020,female,Not compensated,0.02689,524,5045,0.02243,0.03136
