study,dataset,version,variable,value,label,label_de
soep-core,p_statistics,v39,doctoryn,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,doctoryn,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,doctoryn,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,doctoryn,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,doctoryn,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,doctoryn,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,doctoryn,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,doctoryn,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,doctoryn,1,Yes,Ja
soep-core,p_statistics,v39,doctoryn,2,No,Nein
soep-core,p_statistics,v39,germborn,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,germborn,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,germborn,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,germborn,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,germborn,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,germborn,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,germborn,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,germborn,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,germborn,1,Born in Germany or immigrated <1950,in Deutschland geboren oder immigr.<1950
soep-core,p_statistics,v39,germborn,2,Not born in Germany,nicht in Deutschland geboren
soep-core,p_statistics,v39,hospitalyn,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,hospitalyn,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,hospitalyn,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,hospitalyn,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,hospitalyn,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,hospitalyn,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,hospitalyn,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,hospitalyn,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,hospitalyn,1,Yes,Ja
soep-core,p_statistics,v39,hospitalyn,2,No,Nein
soep-core,p_statistics,v39,m11124,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,m11124,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,m11124,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,m11124,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,m11124,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,m11124,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,m11124,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,m11124,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,m11124,0,Not Disabled (<= 30%),Keine Behinderung (<= 30%)
soep-core,p_statistics,v39,m11124,1,Disabled (> 30%),Behinderung (> 30%)
soep-core,p_statistics,v39,m11126,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,m11126,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,m11126,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,m11126,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,m11126,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,m11126,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,m11126,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,m11126,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,m11126,1,Very good,Sehr gut
soep-core,p_statistics,v39,m11126,2,Good,Gut
soep-core,p_statistics,v39,m11126,3,Satisfactory,Zufriedenstellend
soep-core,p_statistics,v39,m11126,4,Poor,Weniger gut
soep-core,p_statistics,v39,m11126,5,Bad,Schlecht
soep-core,p_statistics,v39,marstat,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,marstat,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,marstat,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,marstat,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,marstat,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,marstat,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,marstat,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,marstat,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,marstat,1,Married,Verheiratet
soep-core,p_statistics,v39,marstat,2,"Married, living apart","Verheiratet, getrennt lebend"
soep-core,p_statistics,v39,marstat,3,Single,Ledig
soep-core,p_statistics,v39,marstat,4,Divorced,Geschieden
soep-core,p_statistics,v39,marstat,5,Widowed,Verwitwet
soep-core,p_statistics,v39,migback,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,migback,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,migback,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,migback,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,migback,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,migback,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,migback,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,migback,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,migback,1,No migration background,kein Migrationshintergrund
soep-core,p_statistics,v39,migback,2,Direct migration background,direkter Migrationshintergrund
soep-core,p_statistics,v39,migback,3,Indirect migration background,indirekter Migrationshintergrund
soep-core,p_statistics,v39,occpos,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,occpos,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,occpos,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,occpos,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,occpos,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,occpos,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,occpos,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,occpos,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,occpos,1,Self-employed,Selbständige
soep-core,p_statistics,v39,occpos,2,Blue-collar worker,Arbeiter*innen
soep-core,p_statistics,v39,occpos,3,Civil servant,Beamte
soep-core,p_statistics,v39,occpos,4,White-collar worker,Angestellte
soep-core,p_statistics,v39,occpos,5,Apprentice/ Trainee/ Intern,Auszubildende/ Praktikant*innen
soep-core,p_statistics,v39,occpos,6,Not employed: Pensioner,Nicht erwerbstätig: Rentner*innen
soep-core,p_statistics,v39,occpos,7,Not employed: Military/Community Service,Nicht erwerbstätig: Wehr-/Zivildienst
soep-core,p_statistics,v39,occpos,8,Not employed: registered unemployed,Nicht erwerbstätig: arbeitslos gemeldet
soep-core,p_statistics,v39,occpos,9,Not employed: no further information,Nicht erwerbstätig: keine weitere Angaben
soep-core,p_statistics,v39,overyn,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,overyn,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,overyn,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,overyn,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,overyn,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,overyn,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,overyn,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,overyn,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,overyn,1,Yes,Ja
soep-core,p_statistics,v39,overyn,2,No,Nein
soep-core,p_statistics,v39,party,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,party,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,party,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,party,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,party,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,party,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,party,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,party,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,party,0,Not leaning towards specific party,keine Parteineigung
soep-core,p_statistics,v39,party,1,SPD,SPD
soep-core,p_statistics,v39,party,2,CDU/CSU,CDU/CSU
soep-core,p_statistics,v39,party,3,FDP,FDP
soep-core,p_statistics,v39,party,4,Bündnis90/Grüne,Bündnis90/Grüne
soep-core,p_statistics,v39,party,5,PDS/Linke,PDS/Linke
soep-core,p_statistics,v39,party,6,Far right parties,Rechtsextrem
soep-core,p_statistics,v39,party,7,AfD,AfD
soep-core,p_statistics,v39,party,8,Others,Sonstige
soep-core,p_statistics,v39,party,9,Party combinations,Partei-Kombinationen
soep-core,p_statistics,v39,pgcasmin,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,pgcasmin,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,pgcasmin,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,pgcasmin,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,pgcasmin,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,pgcasmin,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,pgcasmin,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,pgcasmin,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,pgcasmin,0,(0) No qualification (yet),(0) In der Schule
soep-core,p_statistics,v39,pgcasmin,1,(1a) Inadequately completed,(1a) Ohne Abschluss
soep-core,p_statistics,v39,pgcasmin,2,(1b) General Elementary School,(1b) Haupt-/Volksschulabschluss
soep-core,p_statistics,v39,pgcasmin,3,(1c) Basic Vocational Qualification,(1c) Haupt-/Volksschulabschluss mit Lehrausbildung
soep-core,p_statistics,v39,pgcasmin,5,(2) Intermediate General/Vocational Qualification,(2) Mittlere Reife
soep-core,p_statistics,v39,pgcasmin,6,(2c_gen) General Maturity Certificate,(2c_gen) (Fach-)Hochschulreife
soep-core,p_statistics,v39,pgcasmin,7,(2c_voc) Vocational Maturity Certificate,(2c_voc) (Fach-)Hochschulreife mit Lehrausbildung
soep-core,p_statistics,v39,pgcasmin,8,(3a) Lower Tertiary Education,(3a) Niedrige Tertiärbildung
soep-core,p_statistics,v39,pgcasmin,9,(3b) Higher Tertiary Education,(3b) Hohe Tertiärbildung
soep-core,p_statistics,v39,pgemplst,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,pgemplst,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,pgemplst,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,pgemplst,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,pgemplst,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,pgemplst,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,pgemplst,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,pgemplst,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,pgemplst,1,Full-Time Employment,Voll erwerbstätig
soep-core,p_statistics,v39,pgemplst,2,Regular Part-Time Employment,Teilzeitbeschäftigung
soep-core,p_statistics,v39,pgemplst,3,Vocational Training,"Ausbildung, Lehre"
soep-core,p_statistics,v39,pgemplst,4,"Marginal, Irregular Part-Time Employment","Unregelmässig, geringfügig erwerbstät."
soep-core,p_statistics,v39,pgemplst,5,Not Employed,Nicht erwerbstätig
soep-core,p_statistics,v39,pgemplst,6,Sheltered workshop (since 1998),Werkstatt für behinderte Menschen (seit 1998)
soep-core,p_statistics,v39,pgemplst,7,In short-time work (since 2021),in Kurzarbeit (seit 2021)
soep-core,p_statistics,v39,pgisced97,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,pgisced97,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,pgisced97,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,pgisced97,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,pgisced97,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,pgisced97,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,pgisced97,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,pgisced97,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,pgisced97,0,Pre-primary Level,Elementarbereich
soep-core,p_statistics,v39,pgisced97,1,Primary Level,Primarbereich
soep-core,p_statistics,v39,pgisced97,2,Lower Secondary Level,Sekundarbereich I
soep-core,p_statistics,v39,pgisced97,3,Upper Secondary Level,Sekundarbereich II
soep-core,p_statistics,v39,pgisced97,4,Post-secondary Non-tertiary Level,"Postsekundarer, nicht tertiärer Bereich"
soep-core,p_statistics,v39,pgisced97,5,First Stage of Tertiary Education,Tertiärbereich I
soep-core,p_statistics,v39,pgisced97,6,Second Stage of Tertiary Education,Tertiärbereich II
soep-core,p_statistics,v39,pgpsbil,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,pgpsbil,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,pgpsbil,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,pgpsbil,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,pgpsbil,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,pgpsbil,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,pgpsbil,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,pgpsbil,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,pgpsbil,1,Secondary School Degree,Hauptschulabschluss
soep-core,p_statistics,v39,pgpsbil,2,Intermediate School Degree,Realschulabschluss
soep-core,p_statistics,v39,pgpsbil,3,Technical School Degree,Fachhochschulreife
soep-core,p_statistics,v39,pgpsbil,4,Upper Secondary Degree,Abitur
soep-core,p_statistics,v39,pgpsbil,5,Other Degree,Anderer Abschluss
soep-core,p_statistics,v39,pgpsbil,6,"Dropout, No School Degree",Ohne Abschluss verlassen
soep-core,p_statistics,v39,pgpsbil,7,No School Degree Yet,Noch kein Abschluss
soep-core,p_statistics,v39,pgpsbil,8,No School Attended,Keine Schule besucht
soep-core,p_statistics,v39,plb0021,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,plb0021,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,plb0021,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,plb0021,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,plb0021,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,plb0021,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,plb0021,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,plb0021,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,plb0021,1,Yes,Ja
soep-core,p_statistics,v39,plb0021,2,No,Nein
soep-core,p_statistics,v39,plb0037_h,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,plb0037_h,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,plb0037_h,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,plb0037_h,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,plb0037_h,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,plb0037_h,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,plb0037_h,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,plb0037_h,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,plb0037_h,1,Permanent job,Unbefristet
soep-core,p_statistics,v39,plb0037_h,2,Temporary job,Befristet
soep-core,p_statistics,v39,plb0050,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,plb0050,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,plb0050,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,plb0050,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,plb0050,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,plb0050,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,plb0050,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,plb0050,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,plb0050,1,Yes,Ja
soep-core,p_statistics,v39,plb0050,2,No,Nein
soep-core,p_statistics,v39,plb0195_h,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,plb0195_h,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,plb0195_h,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,plb0195_h,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,plb0195_h,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,plb0195_h,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,plb0195_h,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,plb0195_h,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,plb0195_h,1,Comp. time,Abgefeiert
soep-core,p_statistics,v39,plb0195_h,2,Some of both,"Teils, teils"
soep-core,p_statistics,v39,plb0195_h,3,Paid,Bezahlt
soep-core,p_statistics,v39,plb0195_h,4,Not compensated,Nicht abgegolten
soep-core,p_statistics,v39,plb0218_v1,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,plb0218_v1,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,plb0218_v1,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,plb0218_v1,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,plb0218_v1,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,plb0218_v1,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,plb0218_v1,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,plb0218_v1,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,plb0218_v1,1,"No, never","Nein, nie"
soep-core,p_statistics,v39,plb0218_v1,2,"Yes, every week","Ja, jede Woche"
soep-core,p_statistics,v39,plb0218_v1,3,"Yes, every 2 weeks","Ja, alle 2 Wochen"
soep-core,p_statistics,v39,plb0218_v1,4,"Yes, every 3-4 weeks","Ja, alle 3-4 Wochen"
soep-core,p_statistics,v39,plb0218_v1,5,"Yes, less frequently",Seltener
soep-core,p_statistics,v39,plb0219_v1,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,plb0219_v1,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,plb0219_v1,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,plb0219_v1,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,plb0219_v1,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,plb0219_v1,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,plb0219_v1,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,plb0219_v1,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,plb0219_v1,1,"No, never","Nein, nie"
soep-core,p_statistics,v39,plb0219_v1,2,"Yes, every week","Ja, jede Woche"
soep-core,p_statistics,v39,plb0219_v1,3,"Yes, every 2 weeks","Ja, alle 2 Wochen"
soep-core,p_statistics,v39,plb0219_v1,4,"Yes, every 3-4 weeks","Ja, alle 3-4 Wochen"
soep-core,p_statistics,v39,plb0219_v1,5,"Yes, less frequently",Seltener
soep-core,p_statistics,v39,pld0043,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,pld0043,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,pld0043,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,pld0043,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,pld0043,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
